subsample value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
0.6,"[0.9926470588235294, 0.9950980392156863, 0.9926470588235294, 0.9901960784313726, 0.9975550122249389, 0.9926650366748166, 0.9902200488997555, 0.9926650366748166, 0.9975550122249389, 0.9926650366748166]","[0.9926470588235294, 0.9950980392156863, 0.9926470588235294, 0.9901960784313726, 0.9975550122249389, 0.9926650366748166, 0.9902200488997555, 0.9926650366748166, 0.9975550122249389, 0.9926650366748166]","[0.9926470588235294, 0.9950980392156863, 0.9926470588235294, 0.9901960784313726, 0.9975550122249389, 0.9926650366748166, 0.9902200488997555, 0.9926650366748166, 0.9975550122249389, 0.9926650366748166]","[0.9926470588235294, 0.9950980392156863, 0.9926470588235294, 0.9901960784313726, 0.9975550122249389, 0.9926650366748166, 0.9902200488997555, 0.9926650366748166, 0.9975550122249389, 0.9926650366748166]","[0.992842522974102, 0.9947222222222223, 0.9923678532901834, 0.9896496047811838, 0.9975490196078431, 0.9932799594261701, 0.9899290877188962, 0.9932799594261701, 0.9981481481481481, 0.9917528735632184]","[0.9937686567164179, 0.995634328358209, 0.9932924662402274, 0.9908172187154749, 0.9981481481481481, 0.992181947405828, 0.9909844204276204, 0.9923841631235757, 0.997191011235955, 0.993183833308704]","[0.9932943631912623, 0.9951670223672924, 0.9927756663270062, 0.9901932618874594, 0.9978391048766642, 0.992671299773281, 0.9904447866430639, 0.9927916286466926, 0.9976582025917291, 0.9924253503842169]","[0.9926558635149967, 0.9951252723311547, 0.9927694756435476, 0.9902853854092244, 0.9975789826933218, 0.9927599876563724, 0.9902300956234333, 0.9927599876563724, 0.9975731232454949, 0.9927530000281033]","[0.9926470588235294, 0.9950980392156863, 0.9926470588235294, 0.9901960784313726, 0.9975550122249389, 0.9926650366748166, 0.9902200488997555, 0.9926650366748166, 0.9975550122249389, 0.9926650366748166]","[0.9926401355847091, 0.9951002956787093, 0.9926521676683566, 0.9902034450279263, 0.9975564897753733, 0.9926595494591627, 0.9902134621004403, 0.9926748667064302, 0.997552650066754, 0.9926706419590061]","[array([[ 99,   0,   0,   1],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   1, 132]]), array([[ 99,   0,   1,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   0, 133]]), array([[101,   0,   0,   0],
       [  1,  83,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   1, 132]]), array([[100,   1,   0,   0],
       [  0,  83,   0,   1],
       [  0,   0,  89,   0],
       [  0,   0,   2, 132]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  1,  82,   0,   1],
       [  0,   0,  90,   0],
       [  1,   0,   0, 133]]), array([[100,   1,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  88,   1],
       [  1,   0,   1, 132]]), array([[101,   0,   0,   0],
       [  1,  84,   0,   0],
       [  0,   0,  88,   1],
       [  1,   0,   0, 133]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  88,   1],
       [  0,   0,   0, 134]]), array([[ 99,   2,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   0, 133]])]","[0.6956521739130435, 0.6956521739130435, 0.6739130434782609, 0.782608695652174, 0.7333333333333333, 0.8222222222222222, 0.7777777777777778, 0.7333333333333333, 0.7777777777777778, 0.6666666666666666]","[0.6956521739130435, 0.6956521739130435, 0.6739130434782609, 0.782608695652174, 0.7333333333333333, 0.8222222222222222, 0.7777777777777778, 0.7333333333333333, 0.7777777777777778, 0.6666666666666666]","[0.6956521739130435, 0.6956521739130435, 0.6739130434782609, 0.782608695652174, 0.7333333333333333, 0.8222222222222222, 0.7777777777777778, 0.7333333333333333, 0.7777777777777778, 0.6666666666666666]","[0.6956521739130435, 0.6956521739130435, 0.6739130434782609, 0.782608695652174, 0.7333333333333333, 0.8222222222222222, 0.7777777777777778, 0.7333333333333333, 0.7777777777777778, 0.6666666666666666]","[0.6899038461538461, 0.7087128879892037, 0.6708333333333334, 0.7910353535353535, 0.7285353535353536, 0.8305555555555555, 0.7859848484848484, 0.7232142857142857, 0.773117201426025, 0.6520833333333333]","[0.6930555555555555, 0.6680555555555556, 0.6590909090909092, 0.7674242424242423, 0.7233766233766233, 0.8078282828282828, 0.7762626262626262, 0.7012626262626263, 0.7568181818181818, 0.6479797979797981]","[0.6870432955791013, 0.6744852941176471, 0.6623889668069192, 0.7747208931419458, 0.7251979871308365, 0.8041132478632478, 0.7784690220174092, 0.7052508960573477, 0.7616792929292929, 0.6492327365728902]","[0.7025501672240803, 0.7071561638209236, 0.677536231884058, 0.786231884057971, 0.7328395061728395, 0.8370370370370371, 0.7844556677890011, 0.7400793650793651, 0.7800653594771242, 0.6675925925925926]","[0.6956521739130435, 0.6956521739130435, 0.6739130434782609, 0.782608695652174, 0.7333333333333333, 0.8222222222222222, 0.7777777777777778, 0.7333333333333333, 0.7777777777777778, 0.6666666666666666]","[0.694889676097282, 0.6881457800511509, 0.6733743927475252, 0.7797309479231675, 0.7323250655374067, 0.8158119658119658, 0.7784877965523127, 0.7303592194344882, 0.7756172839506174, 0.6664393293549303]","[array([[ 9,  3,  0,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  5, 10]]), array([[ 9,  2,  0,  1],
       [ 4,  5,  0,  0],
       [ 0,  0,  5,  5],
       [ 0,  1,  1, 13]]), array([[ 7,  4,  0,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  0,  2, 12]]), array([[ 7,  2,  0,  2],
       [ 3,  6,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  0, 14]]), array([[ 7,  3,  1,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  1, 12]]), array([[10,  1,  0,  0],
       [ 5,  5,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  0,  1, 14]]), array([[ 8,  2,  1,  0],
       [ 0,  7,  0,  2],
       [ 0,  0,  8,  2],
       [ 1,  0,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 4,  4,  0,  1],
       [ 2,  0,  7,  1],
       [ 0,  0,  1, 14]]), array([[ 8,  3,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 14]]), array([[ 7,  3,  1,  0],
       [ 4,  5,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  0,  3, 12]])]"
0.7,"[0.9950980392156863, 0.9901960784313726, 0.9975490196078431, 0.9975490196078431, 0.9902200488997555, 0.9951100244498777, 0.9902200488997555, 0.9951100244498777, 0.9951100244498777, 0.9951100244498777]","[0.9950980392156863, 0.9901960784313726, 0.9975490196078431, 0.9975490196078431, 0.9902200488997555, 0.9951100244498777, 0.9902200488997555, 0.9951100244498777, 0.9951100244498777, 0.9951100244498777]","[0.9950980392156863, 0.9901960784313726, 0.9975490196078431, 0.9975490196078431, 0.9902200488997555, 0.9951100244498777, 0.9902200488997555, 0.9951100244498777, 0.9951100244498777, 0.9951100244498777]","[0.9950980392156863, 0.9901960784313726, 0.9975490196078431, 0.9975490196078431, 0.9902200488997555, 0.9951100244498777, 0.9902200488997555, 0.9951100244498777, 0.9951100244498777, 0.9951100244498777]","[0.9947469746974698, 0.989330550702129, 0.9970588235294118, 0.9981481481481481, 0.9897905476822192, 0.9951456310679612, 0.9899290877188962, 0.9947712418300654, 0.9947712418300654, 0.9943152454780362]","[0.9962686567164178, 0.9908274802458297, 0.9981343283582089, 0.997191011235955, 0.9898877213831602, 0.9951581378820185, 0.9909844204276204, 0.9951931518876207, 0.9962686567164178, 0.9962686567164178]","[0.9954798716126596, 0.9900511329530166, 0.9975843804711566, 0.9976582025917291, 0.9898226014223793, 0.9951156840318043, 0.9904447866430639, 0.9949562053328678, 0.9954921256135909, 0.9952616644030934]","[0.9951495394637504, 0.9902718458120322, 0.9975778546712802, 0.9975671750181554, 0.9902775780238745, 0.9952049754314335, 0.9902300956234333, 0.9951611614490947, 0.9951611614490947, 0.9951656210711195]","[0.9950980392156863, 0.9901960784313726, 0.9975490196078431, 0.9975490196078431, 0.9902200488997555, 0.9951100244498777, 0.9902200488997555, 0.9951100244498777, 0.9951100244498777, 0.9951100244498777]","[0.9950925540717793, 0.990202787219765, 0.9975516811781999, 0.9975466516600549, 0.9902348432295547, 0.9951220959667887, 0.9902134621004403, 0.995111063841611, 0.9951044927953157, 0.9951056197450003]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   1, 132]]), array([[ 99,   1,   0,   0],
       [  1,  84,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   1, 132]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   1,   0, 133]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  88,   1],
       [  0,   0,   0, 134]]), array([[100,   1,   0,   0],
       [  1,  83,   0,   0],
       [  0,   0,  88,   1],
       [  0,   1,   0, 134]]), array([[101,   0,   0,   0],
       [  1,  83,   0,   0],
       [  0,   0,  90,   0],
       [  1,   0,   0, 133]]), array([[100,   1,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  88,   1],
       [  1,   0,   1, 132]]), array([[101,   0,   0,   0],
       [  1,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   1, 133]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   1, 132]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   1,   1, 132]])]","[0.6739130434782609, 0.6956521739130435, 0.782608695652174, 0.7391304347826086, 0.7555555555555555, 0.8222222222222222, 0.7777777777777778, 0.7555555555555555, 0.7333333333333333, 0.7111111111111111]","[0.6739130434782609, 0.6956521739130435, 0.782608695652174, 0.7391304347826086, 0.7555555555555555, 0.8222222222222222, 0.7777777777777778, 0.7555555555555555, 0.7333333333333333, 0.7111111111111111]","[0.6739130434782609, 0.6956521739130435, 0.782608695652174, 0.7391304347826086, 0.7555555555555555, 0.8222222222222222, 0.7777777777777778, 0.7555555555555555, 0.7333333333333333, 0.7111111111111111]","[0.6739130434782609, 0.6956521739130435, 0.782608695652174, 0.7391304347826085, 0.7555555555555555, 0.8222222222222222, 0.7777777777777778, 0.7555555555555555, 0.7333333333333333, 0.7111111111111111]","[0.668154761904762, 0.7058531746031746, 0.776981351981352, 0.7333333333333333, 0.7502705627705627, 0.8363095238095237, 0.7760416666666666, 0.7503968253968254, 0.7233630952380952, 0.7093728639781272]","[0.6680555555555555, 0.6680555555555556, 0.7840909090909092, 0.7196969696969697, 0.746103896103896, 0.8161616161616162, 0.7674242424242425, 0.7351010101010101, 0.7123737373737373, 0.6813131313131313]","[0.6660635257237691, 0.6733554435760318, 0.7770562770562771, 0.7233994076099339, 0.7453416149068323, 0.8184064076559004, 0.7651000668827495, 0.7371271929824562, 0.7148404628330995, 0.6878899286987522]","[0.6776656314699794, 0.7066511387163562, 0.7911877977095368, 0.7352657004830918, 0.757912457912458, 0.8391534391534391, 0.7847222222222222, 0.7617283950617284, 0.7322089947089947, 0.7106934001670845]","[0.6739130434782609, 0.6956521739130435, 0.782608695652174, 0.7391304347826086, 0.7555555555555555, 0.8222222222222222, 0.7777777777777778, 0.7555555555555555, 0.7333333333333333, 0.7111111111111111]","[0.6739691651500452, 0.6884780820202815, 0.7833615659702616, 0.7336919373532645, 0.7541752933057281, 0.8232682050126269, 0.774838366688961, 0.7536315789473684, 0.7301737572074178, 0.7032135076252722]","[array([[ 9,  3,  0,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  5, 10]]), array([[ 9,  2,  0,  1],
       [ 4,  5,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  1, 13]]), array([[ 7,  4,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  9,  1],
       [ 1,  0,  2, 12]]), array([[ 6,  3,  1,  1],
       [ 3,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  0, 14]]), array([[ 8,  2,  1,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 12]]), array([[10,  1,  0,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  8,  1],
       [ 1,  1,  0, 13]]), array([[ 7,  3,  1,  0],
       [ 1,  6,  0,  2],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]]), array([[ 9,  2,  0,  0],
       [ 3,  5,  0,  1],
       [ 2,  0,  7,  1],
       [ 0,  0,  2, 13]]), array([[ 8,  2,  1,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[ 7,  2,  1,  1],
       [ 3,  5,  0,  1],
       [ 1,  0,  6,  3],
       [ 0,  0,  1, 14]])]"
0.8,"[0.9926470588235294, 0.9926470588235294, 0.9926470588235294, 0.9926470588235294, 0.9902200488997555, 0.9877750611246944, 0.9951100244498777, 0.9902200488997555, 0.9926650366748166, 0.9975550122249389]","[0.9926470588235294, 0.9926470588235294, 0.9926470588235294, 0.9926470588235294, 0.9902200488997555, 0.9877750611246944, 0.9951100244498777, 0.9902200488997555, 0.9926650366748166, 0.9975550122249389]","[0.9926470588235294, 0.9926470588235294, 0.9926470588235294, 0.9926470588235294, 0.9902200488997555, 0.9877750611246944, 0.9951100244498777, 0.9902200488997555, 0.9926650366748166, 0.9975550122249389]","[0.9926470588235294, 0.9926470588235294, 0.9926470588235294, 0.9926470588235294, 0.9902200488997555, 0.9877750611246944, 0.9951100244498777, 0.9902200488997555, 0.9926650366748166, 0.9975550122249389]","[0.9928360644630823, 0.9918152454780362, 0.9928915425819451, 0.9917707842212793, 0.9904709706621251, 0.9881615095430885, 0.9947712418300654, 0.9909366096866097, 0.9918300653594772, 0.9975490196078431]","[0.9934596679523728, 0.9937686567164179, 0.9932924662402274, 0.992682890357266, 0.9905111170560608, 0.9873400852878464, 0.9951931518876207, 0.9883674818241903, 0.9933274802458296, 0.9981343283582089]","[0.9931382413773826, 0.9927616644030934, 0.9930658301096422, 0.9922155843663494, 0.9904549207665548, 0.9876058046355214, 0.9949562053328678, 0.9895086480422914, 0.9925509491430027, 0.997832143318389]","[0.9926528975321238, 0.9927027917109996, 0.9926798927345276, 0.9926742919389978, 0.9902967537038854, 0.9879951312360269, 0.9951611614490947, 0.9904497454008456, 0.9927161736740336, 0.9975789826933218]","[0.9926470588235294, 0.9926470588235294, 0.9926470588235294, 0.9926470588235294, 0.9902200488997555, 0.9877750611246944, 0.9951100244498777, 0.9902200488997555, 0.9926650366748166, 0.9975550122249389]","[0.9926393862369141, 0.9926426433228067, 0.9926388342175795, 0.9926493152865524, 0.990223065284631, 0.9877550683267741, 0.995111063841611, 0.9902054743008073, 0.9926595050202545, 0.9975564557335236]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  88,   1],
       [  1,   0,   1, 132]]), array([[ 99,   1,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   1, 132]]), array([[101,   0,   0,   0],
       [  0,  83,   0,   1],
       [  0,   0,  89,   0],
       [  1,   0,   1, 132]]), array([[100,   1,   0,   0],
       [  1,  83,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   1, 133]]), array([[101,   0,   0,   0],
       [  1,  83,   0,   0],
       [  0,   0,  88,   1],
       [  1,   0,   1, 133]]), array([[101,   0,   0,   0],
       [  2,  81,   0,   1],
       [  0,   0,  90,   0],
       [  1,   0,   1, 132]]), array([[101,   0,   0,   0],
       [  1,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   1, 133]]), array([[101,   0,   0,   0],
       [  3,  82,   0,   0],
       [  0,   0,  88,   1],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  1,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   1,   1, 132]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   0, 133]])]","[0.6521739130434783, 0.717391304347826, 0.6739130434782609, 0.717391304347826, 0.7555555555555555, 0.8666666666666667, 0.7111111111111111, 0.7111111111111111, 0.8222222222222222, 0.6222222222222222]","[0.6521739130434783, 0.717391304347826, 0.6739130434782609, 0.717391304347826, 0.7555555555555555, 0.8666666666666667, 0.7111111111111111, 0.7111111111111111, 0.8222222222222222, 0.6222222222222222]","[0.6521739130434783, 0.717391304347826, 0.6739130434782609, 0.717391304347826, 0.7555555555555555, 0.8666666666666667, 0.7111111111111111, 0.7111111111111111, 0.8222222222222222, 0.6222222222222222]","[0.6521739130434783, 0.717391304347826, 0.6739130434782609, 0.717391304347826, 0.7555555555555555, 0.8666666666666667, 0.7111111111111111, 0.7111111111111111, 0.8222222222222222, 0.6222222222222222]","[0.644854797979798, 0.7365288220551378, 0.6695418552036199, 0.7078431372549019, 0.7512626262626263, 0.8839285714285714, 0.7089832144979205, 0.6958333333333333, 0.8333333333333334, 0.6053571428571428]","[0.6430555555555555, 0.6888888888888889, 0.6553030303030303, 0.7030303030303031, 0.746103896103896, 0.8527777777777779, 0.697979797979798, 0.6734848484848485, 0.7962121212121211, 0.5974747474747475]","[0.6420658194851743, 0.6959841628959276, 0.6535445270785659, 0.7038768796992482, 0.7479252598581092, 0.8575711574952563, 0.7000350140056023, 0.6740970499035015, 0.8052778423622413, 0.5989831697054699]","[0.6538290513833992, 0.7303585049580473, 0.6789174699980326, 0.7116794543904518, 0.7550617283950618, 0.8809523809523808, 0.7120337360533439, 0.7164814814814815, 0.8333333333333334, 0.6198412698412699]","[0.6521739130434783, 0.717391304347826, 0.6739130434782609, 0.717391304347826, 0.7555555555555555, 0.8666666666666667, 0.7111111111111111, 0.7111111111111111, 0.8222222222222222, 0.6222222222222222]","[0.6510476433337583, 0.7081816840448554, 0.6680564537525288, 0.7128044295521413, 0.754547287759629, 0.863898798228969, 0.70807033924681, 0.7043421254173942, 0.8185176573923377, 0.6189340813464237]","[array([[ 7,  4,  0,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  4, 11]]), array([[10,  1,  0,  1],
       [ 4,  5,  0,  0],
       [ 0,  0,  5,  5],
       [ 0,  1,  1, 13]]), array([[ 5,  6,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  0,  2, 13]]), array([[ 6,  3,  1,  1],
       [ 3,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  1, 13]]), array([[ 8,  2,  1,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[11,  0,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  2],
       [ 0,  0,  1, 14]]), array([[ 7,  3,  1,  0],
       [ 1,  5,  0,  3],
       [ 0,  0,  8,  2],
       [ 1,  0,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 6,  3,  0,  0],
       [ 1,  0,  7,  2],
       [ 0,  0,  1, 14]]), array([[ 9,  2,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  0, 15]]), array([[ 6,  3,  1,  1],
       [ 5,  4,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  0,  3, 12]])]"
0.9,"[0.9877450980392157, 0.9950980392156863, 0.9926470588235294, 0.9975490196078431, 0.9951100244498777, 0.9926650366748166, 0.9951100244498777, 0.9902200488997555, 0.9853300733496333, 0.9902200488997555]","[0.9877450980392157, 0.9950980392156863, 0.9926470588235294, 0.9975490196078431, 0.9951100244498777, 0.9926650366748166, 0.9951100244498777, 0.9902200488997555, 0.9853300733496333, 0.9902200488997555]","[0.9877450980392157, 0.9950980392156863, 0.9926470588235294, 0.9975490196078431, 0.9951100244498777, 0.9926650366748166, 0.9951100244498777, 0.9902200488997555, 0.9853300733496333, 0.9902200488997555]","[0.9877450980392157, 0.9950980392156863, 0.9926470588235294, 0.9975490196078431, 0.9951100244498777, 0.9926650366748166, 0.9951100244498777, 0.9902200488997555, 0.9853300733496333, 0.9902200488997555]","[0.987143528306319, 0.9947469746974698, 0.9923203748698368, 0.9970588235294118, 0.9945835760046593, 0.9928915425819451, 0.9947712418300654, 0.9892355514621229, 0.9842613040373804, 0.9904881540420631]","[0.9890939963105819, 0.9962686567164178, 0.9928500920694114, 0.9975247524752475, 0.9956729006233956, 0.9934908789386401, 0.9962686567164178, 0.9902426568381157, 0.9861775723152412, 0.9903863037752414]","[0.9880886690655876, 0.9954798716126596, 0.9925369414145622, 0.9972769289646443, 0.9951160945046793, 0.9931817063645811, 0.9954921256135909, 0.9897272104501993, 0.985189444932648, 0.9903671923229149]","[0.9877909279756065, 0.9951495394637504, 0.9927610579115367, 0.9975778546712802, 0.9951387890119373, 0.9926706237764698, 0.9951611614490947, 0.9902769090805709, 0.9854042213227976, 0.9903237830454155]","[0.9877450980392157, 0.9950980392156863, 0.9926470588235294, 0.9975490196078431, 0.9951100244498777, 0.9926650366748166, 0.9951100244498777, 0.9902200488997555, 0.9853300733496333, 0.9902200488997555]","[0.9877359467423809, 0.9950925540717793, 0.9926628732473928, 0.997550174062972, 0.9951127135545775, 0.9926573229258168, 0.9951044927953157, 0.990236917532148, 0.9853352426017304, 0.9902080060592302]","[array([[ 99,   1,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  88,   1],
       [  1,   0,   2, 131]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   1, 132]]), array([[100,   1,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  88,   1],
       [  0,   1,   0, 133]]), array([[100,   1,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   1,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   1],
       [  1,   0,   1, 132]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   1, 132]]), array([[ 99,   2,   0,   0],
       [  1,  84,   0,   0],
       [  0,   0,  89,   0],
       [  1,   0,   0, 133]]), array([[100,   1,   0,   0],
       [  1,  84,   0,   0],
       [  0,   0,  88,   1],
       [  0,   1,   2, 131]]), array([[101,   0,   0,   0],
       [  1,  83,   0,   1],
       [  0,   0,  89,   0],
       [  1,   0,   1, 132]])]","[0.6521739130434783, 0.6956521739130435, 0.717391304347826, 0.782608695652174, 0.7111111111111111, 0.8444444444444444, 0.7333333333333333, 0.6888888888888889, 0.8, 0.6444444444444445]","[0.6521739130434783, 0.6956521739130435, 0.717391304347826, 0.782608695652174, 0.7111111111111111, 0.8444444444444444, 0.7333333333333333, 0.6888888888888889, 0.8, 0.6444444444444445]","[0.6521739130434783, 0.6956521739130435, 0.717391304347826, 0.782608695652174, 0.7111111111111111, 0.8444444444444444, 0.7333333333333333, 0.6888888888888889, 0.8, 0.6444444444444445]","[0.6521739130434783, 0.6956521739130435, 0.717391304347826, 0.782608695652174, 0.7111111111111111, 0.8444444444444444, 0.7333333333333333, 0.6888888888888889, 0.8000000000000002, 0.6444444444444445]","[0.644854797979798, 0.7058531746031746, 0.7093545751633987, 0.7886228354978355, 0.7074175824175823, 0.8950980392156862, 0.7224264705882353, 0.6808035714285714, 0.7996323529411764, 0.6311147186147187]","[0.6430555555555555, 0.6680555555555556, 0.696969696969697, 0.7734848484848484, 0.6961038961038961, 0.8305555555555555, 0.7146464646464648, 0.6623737373737374, 0.7795454545454545, 0.6285353535353535]","[0.6420658194851743, 0.6733554435760318, 0.697218899521531, 0.7743467653541081, 0.6956220419202164, 0.8317226890756304, 0.7168504901960785, 0.6637950664136623, 0.785317206592782, 0.6265151515151515]","[0.6538290513833992, 0.7066511387163562, 0.71993108837738, 0.7885669584039149, 0.7136019536019537, 0.8915032679738562, 0.7287908496732026, 0.6942460317460317, 0.8022875816993463, 0.6439153439153439]","[0.6521739130434783, 0.6956521739130435, 0.717391304347826, 0.782608695652174, 0.7111111111111111, 0.8444444444444444, 0.7333333333333333, 0.6888888888888889, 0.8, 0.6444444444444445]","[0.6510476433337583, 0.6884780820202815, 0.7128276471811941, 0.7796319820690031, 0.7067087371347006, 0.8395580454403984, 0.7292211328976035, 0.6843803499894582, 0.7969869912538284, 0.6414141414141414]","[array([[ 7,  4,  0,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  4, 11]]), array([[ 9,  2,  0,  1],
       [ 4,  5,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  1, 13]]), array([[ 5,  6,  0,  0],
       [ 3,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[ 8,  1,  1,  1],
       [ 3,  6,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  1, 13]]), array([[ 8,  2,  1,  0],
       [ 5,  5,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[11,  0,  0,  0],
       [ 5,  5,  0,  0],
       [ 0,  0,  8,  1],
       [ 1,  0,  0, 14]]), array([[ 7,  3,  1,  0],
       [ 2,  5,  0,  2],
       [ 0,  0,  8,  2],
       [ 1,  0,  1, 13]]), array([[ 8,  2,  1,  0],
       [ 4,  5,  0,  0],
       [ 2,  0,  5,  3],
       [ 0,  1,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 14]]), array([[ 7,  3,  1,  0],
       [ 4,  4,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  4, 11]])]"
