max_depth value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
3,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.717391304347826, 0.717391304347826, 0.6956521739130435, 0.8695652173913043, 0.7555555555555555, 0.8222222222222222, 0.6666666666666666, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333]","[0.717391304347826, 0.717391304347826, 0.6956521739130435, 0.8695652173913043, 0.7555555555555555, 0.8222222222222222, 0.6666666666666666, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333]","[0.717391304347826, 0.717391304347826, 0.6956521739130435, 0.8695652173913043, 0.7555555555555555, 0.8222222222222222, 0.6666666666666666, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333]","[0.717391304347826, 0.717391304347826, 0.6956521739130435, 0.8695652173913043, 0.7555555555555555, 0.8222222222222222, 0.6666666666666666, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333]","[0.725912975912976, 0.715945165945166, 0.6955128205128205, 0.876736111111111, 0.7630681818181818, 0.8451704545454546, 0.6648026315789474, 0.819047619047619, 0.6772875816993463, 0.7565934065934066]","[0.7277777777777777, 0.7027777777777777, 0.6863636363636363, 0.8666666666666667, 0.746103896103896, 0.8128787878787879, 0.6446969696969697, 0.805050505050505, 0.6669191919191919, 0.7401515151515151]","[0.7196952805648458, 0.7021520902931591, 0.6841280972417016, 0.8698604857163947, 0.7512626262626263, 0.8196153075535966, 0.6458548331613347, 0.7942678011643529, 0.6689144736842105, 0.736547619047619]","[0.7366980845241716, 0.7174665913796349, 0.7008082497212932, 0.8706219806763286, 0.7611111111111111, 0.8359848484848484, 0.6702923976608187, 0.8293121693121694, 0.6907044299201162, 0.7567277167277168]","[0.717391304347826, 0.717391304347826, 0.6956521739130435, 0.8695652173913043, 0.7555555555555555, 0.8222222222222222, 0.6666666666666666, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333]","[0.7189472153555331, 0.7104334737757224, 0.6920889485131207, 0.8683584685844131, 0.7550617283950618, 0.8213504307753957, 0.6590605052937354, 0.8107120465741156, 0.6865058479532163, 0.7343386243386243]","[array([[10,  2,  0,  0],
       [ 2,  7,  0,  0],
       [ 1,  0,  7,  2],
       [ 0,  0,  6,  9]]), array([[ 8,  3,  0,  1],
       [ 2,  7,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  0,  2, 13]]), array([[ 6,  5,  0,  0],
       [ 1,  8,  0,  1],
       [ 1,  0,  6,  3],
       [ 1,  0,  2, 12]]), array([[11,  0,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  1, 12]]), array([[ 9,  1,  0,  1],
       [ 1,  9,  0,  0],
       [ 1,  0,  6,  2],
       [ 1,  1,  0, 13]]), array([[ 6,  4,  1,  0],
       [ 1,  6,  0,  2],
       [ 1,  0,  5,  4],
       [ 0,  0,  2, 13]]), array([[10,  1,  0,  0],
       [ 4,  4,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  0,  2, 13]]), array([[ 6,  5,  0,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[ 8,  0,  2,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  1,  4, 10]])]"
5,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7391304347826086, 0.717391304347826, 0.6739130434782609, 0.7608695652173914, 0.8222222222222222, 0.8222222222222222, 0.6444444444444445, 0.7555555555555555, 0.6666666666666666, 0.7555555555555555]","[0.7391304347826086, 0.717391304347826, 0.6739130434782609, 0.7608695652173914, 0.8222222222222222, 0.8222222222222222, 0.6444444444444445, 0.7555555555555555, 0.6666666666666666, 0.7555555555555555]","[0.7391304347826086, 0.717391304347826, 0.6739130434782609, 0.7608695652173914, 0.8222222222222222, 0.8222222222222222, 0.6444444444444445, 0.7555555555555555, 0.6666666666666666, 0.7555555555555555]","[0.7391304347826086, 0.717391304347826, 0.6739130434782609, 0.7608695652173914, 0.8222222222222222, 0.8222222222222222, 0.6444444444444445, 0.7555555555555555, 0.6666666666666666, 0.7555555555555555]","[0.7423201798201798, 0.7144886363636364, 0.674066742081448, 0.7708333333333334, 0.8171328671328673, 0.8298611111111112, 0.6451388888888889, 0.7603785103785103, 0.6561507936507937, 0.7840909090909091]","[0.7375, 0.7180555555555556, 0.6613636363636364, 0.7545454545454546, 0.8211038961038961, 0.8146464646464646, 0.6169191919191919, 0.7267676767676767, 0.6563131313131313, 0.7452020202020202]","[0.7356909780403915, 0.7119604176406422, 0.658196669209255, 0.7476920062695924, 0.8174603174603174, 0.8179187510781438, 0.6213868003341687, 0.7323418003565063, 0.6557179743461603, 0.7573863636363636]","[0.7501683099509187, 0.7157855731225296, 0.679175683651387, 0.7774327122153208, 0.8261693861693863, 0.8299382716049383, 0.65, 0.7618233618233617, 0.6711640211640212, 0.7722783389450056]","[0.7391304347826086, 0.717391304347826, 0.6739130434782609, 0.7608695652173914, 0.8222222222222222, 0.8222222222222222, 0.6444444444444445, 0.7555555555555555, 0.6666666666666666, 0.7555555555555555]","[0.740871252353363, 0.712870025950092, 0.6675966459943179, 0.7557741583753578, 0.8225749559082891, 0.8220378356621241, 0.6365729137658962, 0.7480243612596554, 0.6683325004164584, 0.7568855218855219]","[array([[ 9,  2,  0,  1],
       [ 2,  6,  1,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[ 9,  2,  0,  1],
       [ 1,  8,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  3, 11]]), array([[ 6,  5,  0,  0],
       [ 1,  8,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  0,  3, 12]]), array([[ 9,  1,  1,  0],
       [ 4,  5,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 12]]), array([[ 7,  3,  0,  1],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  0, 14]]), array([[ 6,  4,  1,  0],
       [ 1,  5,  0,  3],
       [ 1,  0,  5,  4],
       [ 0,  0,  2, 13]]), array([[ 9,  2,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  0,  1, 14]]), array([[ 7,  4,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 11]]), array([[ 7,  0,  2,  2],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]])]"
7,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.8043478260869565, 0.7391304347826086, 0.6956521739130435, 0.782608695652174, 0.7777777777777778, 0.8222222222222222, 0.7555555555555555, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555]","[0.8043478260869565, 0.7391304347826086, 0.6956521739130435, 0.782608695652174, 0.7777777777777778, 0.8222222222222222, 0.7555555555555555, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555]","[0.8043478260869565, 0.7391304347826086, 0.6956521739130435, 0.782608695652174, 0.7777777777777778, 0.8222222222222222, 0.7555555555555555, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555]","[0.8043478260869565, 0.7391304347826086, 0.6956521739130435, 0.782608695652174, 0.7777777777777778, 0.8222222222222222, 0.7555555555555555, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555]","[0.8146353646353646, 0.7392533936651584, 0.7178342490842491, 0.7971521942110178, 0.7751748251748253, 0.8563550420168067, 0.75, 0.7712121212121212, 0.6840909090909091, 0.7451704545454546]","[0.8, 0.7208333333333333, 0.6840909090909091, 0.7628787878787879, 0.7782467532467532, 0.8083333333333333, 0.7340909090909091, 0.7712121212121212, 0.6868686868686869, 0.7446969696969696]","[0.8005434782608696, 0.7262622549019607, 0.6870005751416439, 0.7655263157894736, 0.7751322751322751, 0.8175694444444445, 0.7379984051036683, 0.7712121212121212, 0.6828947368421052, 0.7397526073247636]","[0.8162272510098597, 0.739745229195357, 0.7156892021022456, 0.7966650428287256, 0.7820357420357422, 0.8414098972922501, 0.7555555555555555, 0.7777777777777778, 0.690976430976431, 0.7559848484848484]","[0.8043478260869565, 0.7391304347826086, 0.6956521739130435, 0.782608695652174, 0.7777777777777778, 0.8222222222222222, 0.7555555555555555, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555]","[0.8045841209829867, 0.7358066922421141, 0.6924614945063599, 0.7764359267734554, 0.7783656672545561, 0.818783950617284, 0.7510154173312068, 0.7777777777777778, 0.6877582846003899, 0.7507478373352736]","[array([[10,  1,  0,  1],
       [ 1,  6,  1,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  3, 12]]), array([[ 9,  2,  0,  1],
       [ 3,  6,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  0,  2, 13]]), array([[ 7,  4,  0,  0],
       [ 0,  8,  0,  2],
       [ 1,  0,  5,  4],
       [ 0,  1,  2, 12]]), array([[ 9,  1,  1,  0],
       [ 4,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  0, 14]]), array([[ 8,  3,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 11]]), array([[11,  0,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  6,  3],
       [ 1,  1,  0, 13]]), array([[ 7,  3,  1,  0],
       [ 1,  6,  0,  2],
       [ 1,  0,  7,  2],
       [ 0,  0,  1, 14]]), array([[ 9,  2,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  2, 12]]), array([[ 7,  4,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  0,  3, 11]]), array([[ 6,  4,  0,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]])]"
9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7608695652173914, 0.6521739130434783, 0.782608695652174, 0.8043478260869565, 0.8, 0.8666666666666667, 0.7111111111111111, 0.8444444444444444, 0.7111111111111111, 0.7777777777777778]","[0.7608695652173914, 0.6521739130434783, 0.782608695652174, 0.8043478260869565, 0.8, 0.8666666666666667, 0.7111111111111111, 0.8444444444444444, 0.7111111111111111, 0.7777777777777778]","[0.7608695652173914, 0.6521739130434783, 0.782608695652174, 0.8043478260869565, 0.8, 0.8666666666666667, 0.7111111111111111, 0.8444444444444444, 0.7111111111111111, 0.7777777777777778]","[0.7608695652173914, 0.6521739130434783, 0.782608695652174, 0.8043478260869565, 0.8, 0.8666666666666667, 0.7111111111111111, 0.8444444444444444, 0.7111111111111111, 0.7777777777777778]","[0.7623376623376623, 0.6452380952380953, 0.7982905982905983, 0.8199920994038641, 0.8036931818181818, 0.8833333333333334, 0.70625, 0.8399621212121212, 0.7098039215686275, 0.7892857142857143]","[0.7680555555555555, 0.648611111111111, 0.7818181818181817, 0.793939393939394, 0.7889610389610391, 0.848989898989899, 0.6896464646464646, 0.8323232323232324, 0.6984848484848485, 0.7734848484848484]","[0.7608672936259142, 0.6416011748829086, 0.7844393592677346, 0.7984552373581011, 0.792063492063492, 0.8603084415584416, 0.6949057134815648, 0.8353226663922759, 0.7025375939849623, 0.7760700321184193]","[0.7716261998870695, 0.6462732919254658, 0.8004459308807135, 0.8128792208076095, 0.8043939393939395, 0.8755555555555555, 0.7096913580246913, 0.844753086419753, 0.712331154684096, 0.7836507936507936]","[0.7608695652173914, 0.6521739130434783, 0.782608695652174, 0.8043478260869565, 0.8, 0.8666666666666667, 0.7111111111111111, 0.8444444444444444, 0.7111111111111111, 0.7777777777777778]","[0.7622643223842624, 0.6444598610435197, 0.7864690080588995, 0.8007400614708126, 0.7980246913580247, 0.8653318903318905, 0.7069789744712346, 0.8437653272967364, 0.7099275967697021, 0.7761260841906004]","[array([[ 9,  3,  0,  0],
       [ 1,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  4, 11]]), array([[ 9,  1,  0,  2],
       [ 2,  7,  0,  0],
       [ 2,  1,  4,  3],
       [ 1,  1,  3, 10]]), array([[ 8,  3,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  2,  1, 12]]), array([[10,  1,  0,  0],
       [ 2,  6,  0,  2],
       [ 0,  0,  8,  2],
       [ 1,  0,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  7,  2],
       [ 0,  0,  0, 15]]), array([[ 7,  3,  1,  0],
       [ 1,  5,  0,  3],
       [ 1,  0,  7,  2],
       [ 1,  0,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[ 8,  3,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  3, 12]]), array([[ 8,  0,  0,  3],
       [ 2,  6,  0,  1],
       [ 0,  1,  9,  0],
       [ 0,  0,  3, 12]])]"
