subsample value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
0.6,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7391304347826086, 0.8043478260869565, 0.717391304347826, 0.8043478260869565, 0.7333333333333333, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333, 0.7555555555555555, 0.7555555555555555]","[0.7391304347826086, 0.8043478260869565, 0.717391304347826, 0.8043478260869565, 0.7333333333333333, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333, 0.7555555555555555, 0.7555555555555555]","[0.7391304347826086, 0.8043478260869565, 0.717391304347826, 0.8043478260869565, 0.7333333333333333, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333, 0.7555555555555555, 0.7555555555555555]","[0.7391304347826086, 0.8043478260869565, 0.717391304347826, 0.8043478260869565, 0.7333333333333333, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333, 0.7555555555555555, 0.7555555555555555]","[0.7755952380952381, 0.815359477124183, 0.7330086580086579, 0.8138888888888889, 0.7285214785214785, 0.8298902894491129, 0.6887820512820513, 0.746031746031746, 0.7822039072039072, 0.7532467532467533]","[0.726388888888889, 0.8013888888888889, 0.7136363636363636, 0.8068181818181819, 0.727922077922078, 0.8045454545454545, 0.6808080808080808, 0.7078282828282828, 0.7378787878787879, 0.7623737373737374]","[0.7325341325341326, 0.8055555555555555, 0.7042016806722688, 0.8068181818181819, 0.7175638371290546, 0.8124284897025171, 0.6757575757575758, 0.7106951871657754, 0.7484402852049912, 0.7551313628899836]","[0.7665631469979297, 0.8062659846547315, 0.7424712968191229, 0.8140096618357487, 0.7396381396381397, 0.8268025728810042, 0.703988603988604, 0.7407407407407408, 0.7718762718762718, 0.7584704184704185]","[0.7391304347826086, 0.8043478260869565, 0.717391304347826, 0.8043478260869565, 0.7333333333333333, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333, 0.7555555555555555, 0.7555555555555555]","[0.7379576944794337, 0.8025362318840579, 0.7120935330654, 0.8059288537549408, 0.7263706770953148, 0.8201055174167302, 0.6887542087542087, 0.7222341057635175, 0.7528223410576351, 0.7546725050173325]","[array([[11,  0,  0,  1],
       [ 2,  5,  1,  1],
       [ 1,  0,  7,  2],
       [ 0,  0,  4, 11]]), array([[11,  0,  0,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  1,  2, 12]]), array([[ 5,  5,  1,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  2, 12]]), array([[ 8,  2,  0,  1],
       [ 1,  8,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  2,  1, 12]]), array([[ 5,  5,  1,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 12]]), array([[ 9,  1,  0,  1],
       [ 2,  8,  0,  0],
       [ 1,  0,  6,  2],
       [ 0,  0,  1, 14]]), array([[ 6,  5,  0,  0],
       [ 2,  7,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  1,  2, 12]]), array([[10,  1,  0,  0],
       [ 3,  5,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  0,  2, 13]]), array([[ 9,  1,  0,  1],
       [ 3,  6,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  0,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 0,  8,  0,  1],
       [ 1,  0,  7,  2],
       [ 1,  0,  3, 11]])]"
0.7,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.782608695652174, 0.7391304347826086, 0.717391304347826, 0.8043478260869565, 0.7111111111111111, 0.8444444444444444, 0.7111111111111111, 0.7333333333333333, 0.6888888888888889, 0.7333333333333333]","[0.782608695652174, 0.7391304347826086, 0.717391304347826, 0.8043478260869565, 0.7111111111111111, 0.8444444444444444, 0.7111111111111111, 0.7333333333333333, 0.6888888888888889, 0.7333333333333333]","[0.782608695652174, 0.7391304347826086, 0.717391304347826, 0.8043478260869565, 0.7111111111111111, 0.8444444444444444, 0.7111111111111111, 0.7333333333333333, 0.6888888888888889, 0.7333333333333333]","[0.782608695652174, 0.7391304347826086, 0.717391304347826, 0.8043478260869565, 0.7111111111111111, 0.8444444444444444, 0.7111111111111111, 0.7333333333333333, 0.6888888888888889, 0.7333333333333333]","[0.8157467532467533, 0.7583333333333333, 0.7400793650793651, 0.812099358974359, 0.7043290043290042, 0.8555021367521367, 0.7127525252525252, 0.795138888888889, 0.6949175824175824, 0.7432255244755244]","[0.7680555555555555, 0.7194444444444444, 0.7136363636363636, 0.793939393939394, 0.702922077922078, 0.8300505050505049, 0.7007575757575757, 0.7078282828282828, 0.6901515151515151, 0.7452020202020202]","[0.7741344676828548, 0.7222787081339712, 0.7101579102486544, 0.7981277117524995, 0.6942702890978754, 0.8371003112620261, 0.7027589134125636, 0.7169763107263107, 0.690551048005409, 0.7334341288002615]","[0.8032891022021458, 0.755072463768116, 0.7522429261559695, 0.8112109810479374, 0.713054353054353, 0.8525403608736942, 0.7220538720538721, 0.7787037037037038, 0.6940781440781442, 0.7514180264180264]","[0.782608695652174, 0.7391304347826086, 0.717391304347826, 0.8043478260869565, 0.7111111111111111, 0.8444444444444444, 0.7111111111111111, 0.7333333333333333, 0.6888888888888889, 0.7333333333333333]","[0.7785732266798187, 0.7306272103182857, 0.7195609347822716, 0.8033041345767412, 0.7030380432679283, 0.8435216625793875, 0.712918317298623, 0.725442253220031, 0.6895800465780182, 0.7321252406378266]","[array([[11,  0,  0,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]]), array([[ 8,  3,  0,  1],
       [ 2,  7,  0,  0],
       [ 0,  0,  5,  5],
       [ 0,  0,  1, 14]]), array([[ 5,  6,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  2,  1, 12]]), array([[10,  1,  0,  0],
       [ 3,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  2,  0, 13]]), array([[ 5,  4,  2,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 12]]), array([[10,  1,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  2],
       [ 0,  1,  0, 14]]), array([[ 7,  4,  0,  0],
       [ 1,  6,  1,  1],
       [ 0,  0,  7,  3],
       [ 1,  1,  1, 12]]), array([[10,  0,  0,  1],
       [ 3,  5,  0,  1],
       [ 2,  0,  5,  3],
       [ 1,  0,  1, 13]]), array([[ 8,  2,  0,  1],
       [ 3,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 2,  0,  3, 10]]), array([[ 7,  3,  0,  1],
       [ 1,  7,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  1,  4, 10]])]"
0.8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7391304347826086, 0.8043478260869565, 0.782608695652174, 0.8043478260869565, 0.7555555555555555, 0.7777777777777778, 0.7111111111111111, 0.8222222222222222, 0.6888888888888889, 0.8]","[0.7391304347826086, 0.8043478260869565, 0.782608695652174, 0.8043478260869565, 0.7555555555555555, 0.7777777777777778, 0.7111111111111111, 0.8222222222222222, 0.6888888888888889, 0.8]","[0.7391304347826086, 0.8043478260869565, 0.782608695652174, 0.8043478260869565, 0.7555555555555555, 0.7777777777777778, 0.7111111111111111, 0.8222222222222222, 0.6888888888888889, 0.8]","[0.7391304347826086, 0.8043478260869565, 0.782608695652174, 0.8043478260869565, 0.7555555555555555, 0.7777777777777778, 0.7111111111111111, 0.8222222222222222, 0.6888888888888889, 0.8]","[0.7502289377289377, 0.826388888888889, 0.7834935897435897, 0.8536324786324787, 0.7583333333333333, 0.7786931818181818, 0.7022875816993464, 0.8555021367521367, 0.692929292929293, 0.8351010101010101]","[0.7374999999999999, 0.7944444444444444, 0.7712121212121211, 0.7962121212121213, 0.7532467532467533, 0.7679292929292929, 0.6924242424242424, 0.8022727272727272, 0.692929292929293, 0.8002525252525252]","[0.7390047021943573, 0.8056298276886511, 0.7736111111111111, 0.8051218708827406, 0.7513434841021047, 0.7723779541141971, 0.6939144736842104, 0.8148989898989899, 0.692929292929293, 0.798252315280179]","[0.7481684981684983, 0.8143115942028986, 0.7905518394648829, 0.842530657748049, 0.757037037037037, 0.7791666666666667, 0.7131735657225853, 0.8417378917378916, 0.6888888888888889, 0.8270033670033671]","[0.7391304347826086, 0.8043478260869565, 0.782608695652174, 0.8043478260869565, 0.7555555555555555, 0.7777777777777778, 0.7111111111111111, 0.8222222222222222, 0.6888888888888889, 0.8]","[0.7395318249965928, 0.8045157456922162, 0.7832125603864735, 0.8053101907544252, 0.7522250418802141, 0.7776091081593928, 0.7086111111111111, 0.819371492704826, 0.6888888888888889, 0.7940725253418752]","[array([[11,  1,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  5, 10]]), array([[10,  0,  0,  2],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 3,  7,  0,  0],
       [ 1,  0,  7,  2],
       [ 0,  1,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 0,  9,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  2,  0, 13]]), array([[ 8,  3,  0,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  0,  2, 11]]), array([[ 8,  2,  0,  1],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  2],
       [ 0,  1,  1, 13]]), array([[ 7,  4,  0,  0],
       [ 1,  6,  1,  1],
       [ 1,  0,  6,  3],
       [ 0,  0,  2, 13]]), array([[10,  0,  0,  1],
       [ 3,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 14]]), array([[ 8,  2,  0,  1],
       [ 2,  7,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  0,  4, 10]]), array([[ 6,  2,  0,  3],
       [ 0,  8,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]])]"
0.9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.782608695652174, 0.782608695652174, 0.7608695652173914, 0.782608695652174, 0.7777777777777778, 0.7333333333333333, 0.6888888888888889, 0.7777777777777778, 0.7555555555555555, 0.7333333333333333]","[0.782608695652174, 0.782608695652174, 0.7608695652173914, 0.782608695652174, 0.7777777777777778, 0.7333333333333333, 0.6888888888888889, 0.7777777777777778, 0.7555555555555555, 0.7333333333333333]","[0.782608695652174, 0.782608695652174, 0.7608695652173914, 0.782608695652174, 0.7777777777777778, 0.7333333333333333, 0.6888888888888889, 0.7777777777777778, 0.7555555555555555, 0.7333333333333333]","[0.782608695652174, 0.782608695652174, 0.7608695652173914, 0.782608695652174, 0.7777777777777778, 0.7333333333333333, 0.6888888888888889, 0.7777777777777778, 0.7555555555555555, 0.7333333333333333]","[0.803962703962704, 0.7982954545454546, 0.7720959595959596, 0.7972222222222223, 0.7753968253968254, 0.7457070707070708, 0.7098214285714286, 0.7714285714285715, 0.7946428571428571, 0.7749554367201426]","[0.7819444444444444, 0.7736111111111111, 0.7484848484848485, 0.7734848484848486, 0.7733766233766234, 0.7123737373737373, 0.6785353535353535, 0.766161616161616, 0.7517676767676768, 0.7358585858585858]","[0.78875, 0.7815107597716293, 0.7541125541125542, 0.7811802232854865, 0.7711038961038962, 0.7204545454545455, 0.6797541983300497, 0.7631465517241379, 0.7527720555306763, 0.7247023809523809]","[0.7938583155974461, 0.7913372859025034, 0.7692138779095302, 0.7910628019323672, 0.782716049382716, 0.7407407407407408, 0.7115079365079364, 0.7809523809523808, 0.7857142857142858, 0.7746880570409982]","[0.782608695652174, 0.782608695652174, 0.7608695652173914, 0.782608695652174, 0.7777777777777778, 0.7333333333333333, 0.6888888888888889, 0.7777777777777778, 0.7555555555555555, 0.7333333333333333]","[0.7848188405797102, 0.7823318248649062, 0.7587803500846979, 0.7823174537133347, 0.7771717171717171, 0.7292929292929293, 0.6865934890702693, 0.7741954022988505, 0.7535488878937155, 0.7244708994708995]","[array([[11,  0,  0,  1],
       [ 1,  7,  0,  1],
       [ 1,  0,  7,  2],
       [ 0,  0,  4, 11]]), array([[ 9,  1,  0,  2],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  2, 13]]), array([[ 8,  1,  1,  1],
       [ 1,  8,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  1, 13]]), array([[ 7,  4,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 12]]), array([[ 8,  2,  0,  1],
       [ 3,  7,  0,  0],
       [ 0,  0,  5,  4],
       [ 0,  1,  1, 13]]), array([[ 7,  4,  0,  0],
       [ 0,  7,  0,  2],
       [ 1,  0,  5,  4],
       [ 0,  1,  2, 12]]), array([[10,  1,  0,  0],
       [ 3,  5,  0,  1],
       [ 1,  0,  8,  1],
       [ 0,  1,  2, 12]]), array([[ 9,  0,  0,  2],
       [ 4,  5,  0,  0],
       [ 0,  0,  9,  1],
       [ 1,  0,  3, 11]]), array([[ 5,  4,  0,  2],
       [ 0,  8,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]])]"
