max_depth value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
None,"[0.8446389496717724, 0.8424507658643327, 0.8275109170305677, 0.8493449781659389, 0.8456521739130435, 0.8344226579520697, 0.8406113537117904, 0.8471615720524017, 0.8362445414847162, 0.8384279475982532]","[0.8446389496717724, 0.8424507658643327, 0.8275109170305677, 0.8493449781659389, 0.8456521739130435, 0.8344226579520697, 0.8406113537117904, 0.8471615720524017, 0.8362445414847162, 0.8384279475982532]","[0.8446389496717724, 0.8424507658643327, 0.8275109170305677, 0.8493449781659389, 0.8456521739130435, 0.8344226579520697, 0.8406113537117904, 0.8471615720524017, 0.8362445414847162, 0.8384279475982532]","[0.8446389496717724, 0.8424507658643327, 0.8275109170305677, 0.8493449781659389, 0.8456521739130435, 0.8344226579520697, 0.8406113537117904, 0.8471615720524017, 0.8362445414847162, 0.8384279475982532]","[0.8490945880709538, 0.8438102031730614, 0.8228447779213883, 0.8441845023663205, 0.8438714161823131, 0.828558598094322, 0.8351885720821933, 0.8435416907368894, 0.8293179810272664, 0.8324050952581812]","[0.8334143887305048, 0.8328010229750125, 0.8284910412892706, 0.8516327169359565, 0.8372416080559366, 0.8323358455248511, 0.8378563434911327, 0.8433375452252587, 0.8315708834844577, 0.8258900181482176]","[0.8383400825065063, 0.835381576347046, 0.8228922546737351, 0.8448649913544042, 0.8399734457981881, 0.8300180432533374, 0.8355013055790194, 0.8428761187376115, 0.8301438299035253, 0.8284759606249028]","[0.8465244795576337, 0.8434513542686235, 0.834964482543011, 0.8585899024446068, 0.8456552009682081, 0.8353357519882656, 0.8413504235609046, 0.8488674636738698, 0.8365106052084138, 0.8378277473536825]","[0.8446389496717724, 0.8424507658643327, 0.8275109170305677, 0.8493449781659389, 0.8456521739130435, 0.8344226579520697, 0.8406113537117904, 0.8471615720524017, 0.8362445414847162, 0.8384279475982532]","[0.842760789591103, 0.8402371138920047, 0.8285289215707632, 0.8509963517875351, 0.8450965730817814, 0.8344403336713987, 0.8401116187206005, 0.8475453677675515, 0.836065269043506, 0.837480647554545]","[array([[ 70,  23,   3,   4],
       [  6, 123,   2,   3],
       [  5,   0,  73,  11],
       [  2,   7,   5, 120]]), array([[ 69,  21,   3,   7],
       [  9, 122,   0,   3],
       [  1,   0,  75,  13],
       [  1,   2,  12, 119]]), array([[ 80,  11,   8,   2],
       [ 13, 117,   1,   3],
       [  6,   2,  77,   4],
       [  4,   6,  19, 105]]), array([[ 92,   3,   5,   1],
       [ 17, 115,   1,   1],
       [  4,   1,  74,  10],
       [  4,   2,  20, 108]]), array([[ 80,  15,   1,   5],
       [  5, 124,   1,   5],
       [  3,   0,  70,  16],
       [  5,   1,  14, 115]]), array([[ 81,  14,   2,   4],
       [ 12, 120,   0,   2],
       [  3,   0,  75,  12],
       [  7,   2,  18, 107]]), array([[ 77,  12,   3,   9],
       [  9, 123,   0,   2],
       [  2,   0,  77,  10],
       [  5,   2,  19, 108]]), array([[ 83,  10,   4,   4],
       [  7, 122,   0,   5],
       [  2,   0,  73,  14],
       [  2,   3,  19, 110]]), array([[ 79,  14,   4,   4],
       [  9, 122,   1,   2],
       [  4,   0,  73,  12],
       [  8,   2,  15, 109]]), array([[ 79,  10,   7,   5],
       [  7, 124,   0,   3],
       [  5,   1,  65,  18],
       [  2,   3,  13, 116]])]","[0.6739130434782609, 0.6521739130434783, 0.5434782608695652, 0.6521739130434783, 0.6, 0.7333333333333333, 0.6444444444444445, 0.6888888888888889, 0.7333333333333333, 0.6444444444444445]","[0.6739130434782609, 0.6521739130434783, 0.5434782608695652, 0.6521739130434783, 0.6, 0.7333333333333333, 0.6444444444444445, 0.6888888888888889, 0.7333333333333333, 0.6444444444444445]","[0.6739130434782609, 0.6521739130434783, 0.5434782608695652, 0.6521739130434783, 0.6, 0.7333333333333333, 0.6444444444444445, 0.6888888888888889, 0.7333333333333333, 0.6444444444444445]","[0.6739130434782609, 0.6521739130434783, 0.5434782608695652, 0.6521739130434783, 0.6, 0.7333333333333333, 0.6444444444444445, 0.6888888888888889, 0.7333333333333333, 0.6444444444444445]","[0.6915064102564102, 0.6694193061840121, 0.5337752525252526, 0.6464285714285715, 0.5935314685314685, 0.7202020202020202, 0.7102564102564102, 0.6921130952380952, 0.7437499999999999, 0.6698529411764705]","[0.6902777777777778, 0.6444444444444444, 0.5303030303030303, 0.6424242424242425, 0.5993506493506493, 0.7224747474747475, 0.652020202020202, 0.679040404040404, 0.729040404040404, 0.6585858585858586]","[0.6878304048892283, 0.6392045454545454, 0.5303379416282642, 0.6407662835249042, 0.5952380952380951, 0.7206349206349206, 0.630995670995671, 0.6825823983169705, 0.7296086810792694, 0.6590460526315789]","[0.6792781493868452, 0.6732113581218441, 0.5441644707949056, 0.6583850931677019, 0.6002331002331002, 0.7325252525252525, 0.727065527065527, 0.6905423280423281, 0.7609259259259259, 0.6531372549019607]","[0.6739130434782609, 0.6521739130434783, 0.5434782608695652, 0.6521739130434783, 0.6, 0.7333333333333333, 0.6444444444444445, 0.6888888888888889, 0.7333333333333333, 0.6444444444444445]","[0.673626731324941, 0.6472332015810277, 0.5421592199292059, 0.6518207562885224, 0.598941798941799, 0.7322751322751322, 0.637960557960558, 0.6871630045192458, 0.7396793475224848, 0.643640350877193]","[array([[9, 1, 0, 2],
       [1, 7, 0, 1],
       [1, 0, 7, 2],
       [2, 0, 5, 8]]), array([[ 6,  5,  0,  1],
       [ 2,  7,  0,  0],
       [ 1,  0,  5,  4],
       [ 1,  1,  1, 12]]), array([[ 5,  6,  0,  0],
       [ 3,  5,  0,  2],
       [ 1,  0,  5,  4],
       [ 0,  0,  5, 10]]), array([[ 7,  2,  1,  1],
       [ 5,  4,  0,  1],
       [ 0,  1,  8,  1],
       [ 2,  1,  1, 11]]), array([[5, 4, 1, 1],
       [4, 6, 0, 0],
       [0, 0, 7, 3],
       [1, 1, 3, 9]]), array([[ 6,  4,  0,  1],
       [ 3,  7,  0,  0],
       [ 1,  0,  7,  1],
       [ 0,  0,  2, 13]]), array([[ 4,  5,  2,  0],
       [ 0,  7,  1,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  4, 10]]), array([[ 8,  1,  0,  2],
       [ 4,  5,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  3, 11]]), array([[ 8,  3,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  9,  1],
       [ 3,  0,  1, 11]]), array([[6, 1, 1, 3],
       [0, 8, 0, 1],
       [0, 0, 6, 4],
       [2, 1, 3, 9]])]"
5,"[0.8315098468271335, 0.8227571115973742, 0.8187772925764192, 0.7991266375545851, 0.8108695652173913, 0.8082788671023965, 0.7969432314410481, 0.8209606986899564, 0.7925764192139738, 0.7903930131004366]","[0.8315098468271335, 0.8227571115973742, 0.8187772925764192, 0.7991266375545851, 0.8108695652173913, 0.8082788671023965, 0.7969432314410481, 0.8209606986899564, 0.7925764192139738, 0.7903930131004366]","[0.8315098468271335, 0.8227571115973742, 0.8187772925764192, 0.7991266375545851, 0.8108695652173913, 0.8082788671023965, 0.7969432314410481, 0.8209606986899564, 0.7925764192139738, 0.7903930131004366]","[0.8315098468271335, 0.8227571115973742, 0.8187772925764192, 0.7991266375545851, 0.8108695652173913, 0.8082788671023965, 0.7969432314410481, 0.8209606986899564, 0.7925764192139738, 0.7903930131004366]","[0.8347745840760545, 0.8335489355411, 0.8144669130970501, 0.7978579921177104, 0.8158192500188988, 0.8132119485526069, 0.7907189230726331, 0.8199204698458632, 0.7927013414299785, 0.7847117018815375]","[0.8241396947845044, 0.8087070266644307, 0.8124942923606465, 0.800797782696264, 0.8036260367609795, 0.7959320558921564, 0.7907896965279289, 0.8143599640024375, 0.7817900983457392, 0.776920755550316]","[0.8276548721079064, 0.8107882799579154, 0.809305256599071, 0.7939333929613092, 0.8054999640453857, 0.7999644250597278, 0.7852052618747956, 0.813586848184238, 0.7810703452260581, 0.7787618901558222]","[0.8345747635968386, 0.8284579062535992, 0.8224134858758295, 0.8117133819064367, 0.8161579106796617, 0.8090961153285013, 0.8014850446708277, 0.8228533481745802, 0.7933238639324067, 0.7891665161927867]","[0.8315098468271335, 0.8227571115973742, 0.8187772925764192, 0.7991266375545851, 0.8108695652173913, 0.8082788671023965, 0.7969432314410481, 0.8209606986899564, 0.7925764192139737, 0.7903930131004366]","[0.8311652326390212, 0.8160526029982187, 0.8168818823548035, 0.7996360815834709, 0.8091862259707012, 0.8042622303777857, 0.7945432059232753, 0.8185380353199925, 0.7873055891790355, 0.7878156762444273]","[array([[ 76,  11,   4,   9],
       [ 18, 110,   1,   5],
       [  2,   0,  71,  16],
       [  3,   4,   4, 123]]), array([[ 56,  25,   9,  10],
       [  4, 122,   0,   8],
       [  1,   0,  76,  12],
       [  3,   5,   4, 122]]), array([[ 66,  23,   8,   4],
       [  9, 121,   1,   3],
       [  4,   0,  77,   8],
       [  2,   2,  19, 111]]), array([[ 79,   6,  12,   4],
       [ 36,  92,   4,   2],
       [  3,   0,  74,  12],
       [  1,   4,   8, 121]]), array([[ 69,  26,   1,   5],
       [  6, 124,   0,   5],
       [  6,   3,  73,   7],
       [  1,   9,  18, 107]]), array([[ 61,  24,   4,  12],
       [ 12, 114,   1,   7],
       [  3,   0,  73,  14],
       [  2,   4,   5, 123]]), array([[ 61,  19,  12,   9],
       [ 13, 119,   0,   2],
       [  2,   0,  77,  10],
       [  2,   1,  23, 108]]), array([[ 66,  26,   6,   3],
       [  9, 121,   1,   3],
       [  2,   0,  77,  10],
       [  4,   5,  13, 112]]), array([[ 57,  26,   8,  10],
       [  9, 116,   2,   7],
       [  2,   0,  74,  13],
       [  3,   4,  11, 116]]), array([[ 66,  23,   4,   8],
       [ 10, 121,   1,   2],
       [  5,   0,  65,  19],
       [  3,   3,  18, 110]])]","[0.6521739130434783, 0.6521739130434783, 0.5434782608695652, 0.6739130434782609, 0.6444444444444445, 0.7333333333333333, 0.6222222222222222, 0.6888888888888889, 0.7333333333333333, 0.6666666666666666]","[0.6521739130434783, 0.6521739130434783, 0.5434782608695652, 0.6739130434782609, 0.6444444444444445, 0.7333333333333333, 0.6222222222222222, 0.6888888888888889, 0.7333333333333333, 0.6666666666666666]","[0.6521739130434783, 0.6521739130434783, 0.5434782608695652, 0.6739130434782609, 0.6444444444444445, 0.7333333333333333, 0.6222222222222222, 0.6888888888888889, 0.7333333333333333, 0.6666666666666666]","[0.6521739130434783, 0.6521739130434783, 0.5434782608695652, 0.6739130434782609, 0.6444444444444445, 0.7333333333333333, 0.6222222222222222, 0.6888888888888889, 0.7333333333333333, 0.6666666666666666]","[0.6792557932263815, 0.6989583333333333, 0.5405844155844155, 0.69253663003663, 0.6512820512820512, 0.7272435897435898, 0.6292124542124542, 0.6847222222222222, 0.7247159090909091, 0.69004329004329]","[0.6430555555555555, 0.6458333333333334, 0.5424242424242424, 0.6757575757575757, 0.6542207792207793, 0.728030303030303, 0.6191919191919192, 0.6886363636363636, 0.7224747474747474, 0.6734848484848485]","[0.6532738095238095, 0.6117460317460317, 0.5410695626212867, 0.6749713378604816, 0.6435159043854696, 0.7202135774218155, 0.6090392648287386, 0.6753703703703703, 0.7184493491794001, 0.6780797101449275]","[0.6690885840502209, 0.7024456521739131, 0.5460191981931112, 0.6925266762223284, 0.6633618233618235, 0.7371794871794871, 0.6495319495319496, 0.7080246913580247, 0.7355808080808081, 0.6758056758056757]","[0.6521739130434783, 0.6521739130434783, 0.5434782608695652, 0.6739130434782609, 0.6444444444444445, 0.7333333333333333, 0.6222222222222222, 0.6888888888888889, 0.7333333333333333, 0.6666666666666666]","[0.6541149068322981, 0.6212008281573499, 0.5442992789319626, 0.6751266310578726, 0.6439718091892005, 0.7282990083905416, 0.6213830873479996, 0.6871604938271605, 0.7294724265861788, 0.6681964573268921]","[array([[ 9,  1,  0,  2],
       [ 3,  5,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  5, 10]]), array([[ 5,  6,  0,  1],
       [ 0,  9,  0,  0],
       [ 1,  0,  3,  6],
       [ 0,  1,  1, 13]]), array([[7, 4, 0, 0],
       [3, 5, 0, 2],
       [1, 0, 5, 4],
       [0, 2, 5, 8]]), array([[ 7,  1,  2,  1],
       [ 3,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 2,  0,  3, 10]]), array([[6, 4, 1, 0],
       [3, 7, 0, 0],
       [0, 0, 8, 2],
       [1, 2, 3, 8]]), array([[ 6,  3,  1,  1],
       [ 1,  9,  0,  0],
       [ 1,  0,  6,  2],
       [ 0,  1,  2, 12]]), array([[ 5,  4,  2,  0],
       [ 2,  5,  1,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  4, 10]]), array([[ 5,  3,  3,  0],
       [ 2,  6,  0,  1],
       [ 1,  0,  9,  0],
       [ 1,  0,  3, 11]]), array([[ 6,  3,  2,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[8, 0, 0, 3],
       [2, 6, 0, 1],
       [0, 1, 7, 2],
       [2, 0, 4, 9]])]"
15,"[0.8643326039387309, 0.8708971553610503, 0.8362445414847162, 0.8427947598253275, 0.8260869565217391, 0.8278867102396514, 0.8384279475982532, 0.8537117903930131, 0.8384279475982532, 0.8187772925764192]","[0.8643326039387309, 0.8708971553610503, 0.8362445414847162, 0.8427947598253275, 0.8260869565217391, 0.8278867102396514, 0.8384279475982532, 0.8537117903930131, 0.8384279475982532, 0.8187772925764192]","[0.8643326039387309, 0.8708971553610503, 0.8362445414847162, 0.8427947598253275, 0.8260869565217391, 0.8278867102396514, 0.8384279475982532, 0.8537117903930131, 0.8384279475982532, 0.8187772925764192]","[0.8643326039387309, 0.8708971553610503, 0.8362445414847162, 0.8427947598253275, 0.8260869565217391, 0.8278867102396514, 0.8384279475982532, 0.8537117903930131, 0.8384279475982532, 0.8187772925764192]","[0.8646092870561859, 0.8687499094507493, 0.8307486159629205, 0.8421753684911579, 0.8201521338465652, 0.8269168220010003, 0.8329848652639351, 0.8504964857909294, 0.8380455459197236, 0.8154526210776654]","[0.8559307395606238, 0.8653010229750127, 0.837782455505319, 0.844990270031531, 0.8234904389315336, 0.8264363003464527, 0.8390385512641487, 0.8508211943951397, 0.8319994753122805, 0.8219716718443604]","[0.8593477110230393, 0.8666058022796881, 0.8316490654186179, 0.8391871973045031, 0.8212237184350388, 0.8261082465886285, 0.8350082800412211, 0.8502496608245091, 0.8331302228696573, 0.8140948652849673]","[0.8648662262066392, 0.8719701903665569, 0.8453118292339583, 0.8500111319003527, 0.8275834346148753, 0.8308353536022801, 0.8421582078821848, 0.8557111633527161, 0.8388480624737377, 0.8286952970029972]","[0.8643326039387309, 0.8708971553610503, 0.8362445414847162, 0.8427947598253275, 0.8260869565217391, 0.8278867102396514, 0.8384279475982532, 0.8537117903930131, 0.8384279475982532, 0.8187772925764192]","[0.8637145936243164, 0.8710042555229144, 0.838333046493731, 0.8423137188484732, 0.8263434082359814, 0.8287470612943741, 0.8393687583280366, 0.8542831583407412, 0.8366870126910172, 0.8192054867729658]","[array([[ 82,  10,   5,   3],
       [ 10, 118,   1,   5],
       [  4,   0,  71,  14],
       [  1,   5,   4, 124]]), array([[ 82,   8,   3,   7],
       [  9, 122,   0,   3],
       [  1,   0,  75,  13],
       [  2,   1,  12, 119]]), array([[ 83,   8,   8,   2],
       [ 16, 113,   1,   4],
       [  5,   0,  77,   7],
       [  5,   0,  19, 110]]), array([[ 81,  13,   3,   4],
       [  5, 125,   1,   3],
       [  1,   1,  80,   7],
       [  4,   4,  26, 100]]), array([[ 77,  13,   3,   8],
       [ 14, 117,   1,   3],
       [  2,   0,  75,  12],
       [  4,   1,  19, 111]]), array([[ 82,   8,   2,   9],
       [ 15, 113,   0,   6],
       [  3,   0,  74,  13],
       [  7,   3,  13, 111]]), array([[ 82,   7,   3,   9],
       [ 15, 117,   0,   2],
       [  2,   0,  77,  10],
       [  6,   1,  19, 108]]), array([[ 83,   9,   5,   4],
       [ 14, 115,   1,   4],
       [  3,   0,  75,  11],
       [  7,   2,   7, 118]]), array([[ 72,  22,   3,   4],
       [  6, 125,   0,   3],
       [  3,   0,  76,  10],
       [  7,   5,  11, 111]]), array([[ 80,  16,   4,   1],
       [ 10, 119,   1,   4],
       [  6,   0,  78,   5],
       [  7,   2,  27,  98]])]","[0.5869565217391305, 0.7391304347826086, 0.5869565217391305, 0.6304347826086957, 0.6444444444444445, 0.6888888888888889, 0.6666666666666666, 0.6666666666666666, 0.6888888888888889, 0.6888888888888889]","[0.5869565217391305, 0.7391304347826086, 0.5869565217391305, 0.6304347826086957, 0.6444444444444445, 0.6888888888888889, 0.6666666666666666, 0.6666666666666666, 0.6888888888888889, 0.6888888888888889]","[0.5869565217391305, 0.7391304347826086, 0.5869565217391305, 0.6304347826086957, 0.6444444444444445, 0.6888888888888889, 0.6666666666666666, 0.6666666666666666, 0.6888888888888889, 0.6888888888888889]","[0.5869565217391305, 0.7391304347826086, 0.5869565217391305, 0.6304347826086957, 0.6444444444444445, 0.6888888888888889, 0.6666666666666666, 0.6666666666666666, 0.6888888888888889, 0.6888888888888889]","[0.5884615384615385, 0.7541221033868093, 0.5763888888888888, 0.6333333333333333, 0.6457604895104896, 0.6882440476190477, 0.67633547008547, 0.6666666666666666, 0.6762265512265512, 0.6943181818181818]","[0.575, 0.7347222222222223, 0.5757575757575757, 0.6363636363636364, 0.6399350649350649, 0.6674242424242424, 0.6646464646464647, 0.6585858585858586, 0.6835858585858586, 0.7123737373737373]","[0.5693167701863354, 0.73125, 0.5754195270785659, 0.6318181818181818, 0.6395502645502645, 0.674351332398317, 0.6606302521008404, 0.6581581368406706, 0.6791934119520326, 0.6977152477152477]","[0.5906354515050167, 0.749283112454468, 0.5863526570048309, 0.6304347826086957, 0.6526418026418027, 0.6959656084656084, 0.6900522317188984, 0.6751322751322751, 0.6881673881673881, 0.6928619528619528]","[0.5869565217391305, 0.7391304347826086, 0.5869565217391305, 0.6304347826086957, 0.6444444444444445, 0.6888888888888889, 0.6666666666666666, 0.6666666666666666, 0.6888888888888889, 0.6888888888888889]","[0.5787847691061302, 0.732608695652174, 0.5860610884489106, 0.6276679841897234, 0.6454438565549676, 0.6894732741156304, 0.6690756302521008, 0.6670259567186104, 0.6877941981390256, 0.6851883918550585]","[array([[8, 2, 0, 2],
       [5, 3, 0, 1],
       [0, 0, 7, 3],
       [0, 0, 6, 9]]), array([[ 9,  2,  0,  1],
       [ 1,  8,  0,  0],
       [ 1,  0,  5,  4],
       [ 1,  1,  1, 12]]), array([[ 7,  4,  0,  0],
       [ 4,  5,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  0,  5, 10]]), array([[6, 2, 1, 2],
       [2, 6, 0, 2],
       [0, 0, 8, 2],
       [1, 2, 3, 9]]), array([[ 6,  3,  1,  1],
       [ 5,  5,  0,  0],
       [ 0,  0,  8,  2],
       [ 2,  0,  2, 10]]), array([[ 7,  4,  0,  0],
       [ 5,  5,  0,  0],
       [ 0,  0,  6,  3],
       [ 0,  1,  1, 13]]), array([[ 7,  2,  2,  0],
       [ 2,  5,  1,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  4, 10]]), array([[ 6,  2,  2,  1],
       [ 3,  5,  0,  1],
       [ 1,  0,  8,  1],
       [ 2,  0,  2, 11]]), array([[ 6,  3,  0,  2],
       [ 4,  5,  0,  0],
       [ 0,  0,  9,  1],
       [ 1,  1,  2, 11]]), array([[8, 2, 0, 1],
       [0, 8, 0, 1],
       [0, 1, 7, 2],
       [2, 0, 5, 8]])]"
20,"[0.8643326039387309, 0.8446389496717724, 0.8296943231441049, 0.8056768558951966, 0.8326086956521739, 0.8169934640522876, 0.8318777292576419, 0.851528384279476, 0.8537117903930131, 0.8122270742358079]","[0.8643326039387309, 0.8446389496717724, 0.8296943231441049, 0.8056768558951966, 0.8326086956521739, 0.8169934640522876, 0.8318777292576419, 0.851528384279476, 0.8537117903930131, 0.8122270742358079]","[0.8643326039387309, 0.8446389496717724, 0.8296943231441049, 0.8056768558951966, 0.8326086956521739, 0.8169934640522876, 0.8318777292576419, 0.851528384279476, 0.8537117903930131, 0.8122270742358079]","[0.8643326039387309, 0.8446389496717724, 0.8296943231441049, 0.8056768558951966, 0.8326086956521739, 0.8169934640522876, 0.8318777292576419, 0.851528384279476, 0.8537117903930131, 0.8122270742358079]","[0.8653444363913965, 0.843298690989353, 0.823531894934334, 0.7996244008898286, 0.8274034979940684, 0.814884198779159, 0.8306599588878071, 0.8465985706580367, 0.8504284400692812, 0.8089502193988813]","[0.8565650679188327, 0.8372040080496395, 0.8297471370481002, 0.8012865641754515, 0.8302927858328903, 0.8146696386056517, 0.8249074739773156, 0.8511758982371489, 0.8492683013899244, 0.8040673260685116]","[0.8600057754638897, 0.8390430120945886, 0.8248363082951149, 0.8002456230210466, 0.8280999132000069, 0.8145618049497866, 0.823573690152953, 0.8483512721120124, 0.8497080749690126, 0.8030545340139381]","[0.8651686376383765, 0.8445937915494732, 0.8348102525869061, 0.806223904008355, 0.8347179073948815, 0.8184735842449284, 0.8336870626042039, 0.8535862209880206, 0.8544482206837292, 0.8144682463649829]","[0.8643326039387309, 0.8446389496717724, 0.8296943231441049, 0.8056768558951966, 0.8326086956521739, 0.8169934640522876, 0.8318777292576419, 0.851528384279476, 0.8537117903930131, 0.8122270742358079]","[0.863874476402286, 0.8434838134147508, 0.8306775398562943, 0.8057550075193106, 0.8330495433379007, 0.817505333165127, 0.8289093066833839, 0.8520544195226787, 0.8539618791835234, 0.8099494881552171]","[array([[ 83,  10,   4,   3],
       [  8, 118,   1,   7],
       [  6,   0,  71,  12],
       [  2,   5,   4, 123]]), array([[ 73,  17,   3,   7],
       [ 11, 119,   0,   4],
       [  1,   0,  75,  13],
       [  2,   1,  12, 119]]), array([[ 79,  12,   8,   2],
       [ 12, 115,   1,   6],
       [  6,   0,  77,   6],
       [  3,   3,  19, 109]]), array([[ 83,  14,   3,   1],
       [ 16, 114,   1,   3],
       [  2,   0,  66,  21],
       [  6,   4,  18, 106]]), array([[ 79,  11,   3,   8],
       [ 12, 118,   2,   3],
       [  2,   0,  75,  12],
       [  3,   2,  19, 111]]), array([[ 78,  12,   2,   9],
       [ 18, 112,   0,   4],
       [  3,   0,  74,  13],
       [  6,   4,  13, 111]]), array([[ 68,  21,   3,   9],
       [  3, 128,   0,   3],
       [  2,   0,  77,  10],
       [  6,   1,  19, 108]]), array([[ 82,   8,   3,   8],
       [ 15, 116,   1,   2],
       [  2,   0,  78,   9],
       [  4,   2,  14, 114]]), array([[ 82,  11,   4,   4],
       [ 14, 118,   0,   2],
       [  5,   0,  74,  10],
       [  4,   5,   8, 117]]), array([[ 66,  26,   7,   2],
       [  4, 123,   2,   5],
       [  7,   0,  74,   8],
       [  6,   5,  14, 109]])]","[0.6521739130434783, 0.6521739130434783, 0.6304347826086957, 0.6956521739130435, 0.6666666666666666, 0.6666666666666666, 0.5777777777777777, 0.6666666666666666, 0.6666666666666666, 0.6]","[0.6521739130434783, 0.6521739130434783, 0.6304347826086957, 0.6956521739130435, 0.6666666666666666, 0.6666666666666666, 0.5777777777777777, 0.6666666666666666, 0.6666666666666666, 0.6]","[0.6521739130434783, 0.6521739130434783, 0.6304347826086957, 0.6956521739130435, 0.6666666666666666, 0.6666666666666666, 0.5777777777777777, 0.6666666666666666, 0.6666666666666666, 0.6]","[0.6521739130434783, 0.6521739130434783, 0.6304347826086957, 0.6956521739130435, 0.6666666666666666, 0.6666666666666666, 0.5777777777777777, 0.6666666666666666, 0.6666666666666666, 0.6]","[0.6620580808080808, 0.6665499533146593, 0.6297348484848485, 0.7065972222222222, 0.6657925407925408, 0.6674107142857143, 0.5798076923076922, 0.6762626262626262, 0.6596055088702147, 0.6049242424242425]","[0.6569444444444444, 0.6305555555555555, 0.6234848484848484, 0.6924242424242424, 0.6649350649350649, 0.6446969696969697, 0.5737373737373738, 0.6757575757575758, 0.6452020202020202, 0.6202020202020202]","[0.6550246584202442, 0.6364850427350428, 0.6260032412409322, 0.698014320513767, 0.6639908951121765, 0.6525886747660942, 0.5513690476190476, 0.6733709273182957, 0.6488844393592678, 0.6092947013999646]","[0.6622364953886692, 0.6691024235781269, 0.6313405797101449, 0.7018417874396136, 0.6713027713027713, 0.676605339105339, 0.6049287749287748, 0.671739618406285, 0.6650119306982053, 0.6011111111111112]","[0.6521739130434783, 0.6521739130434783, 0.6304347826086957, 0.6956521739130435, 0.6666666666666666, 0.6666666666666666, 0.5777777777777777, 0.6666666666666666, 0.6666666666666666, 0.6]","[0.6526800873150619, 0.649665551839465, 0.6302871484461505, 0.6973403384673648, 0.667651953286329, 0.6687233316265575, 0.5672222222222222, 0.6667390698969646, 0.6625349605898805, 0.5969756039931479]","[array([[ 7,  3,  0,  2],
       [ 1,  7,  0,  1],
       [ 1,  0,  6,  3],
       [ 0,  0,  5, 10]]), array([[ 8,  3,  0,  1],
       [ 4,  5,  0,  0],
       [ 1,  0,  5,  4],
       [ 1,  1,  1, 12]]), array([[ 8,  3,  0,  0],
       [ 2,  6,  0,  2],
       [ 1,  0,  5,  4],
       [ 0,  0,  5, 10]]), array([[ 7,  1,  1,  2],
       [ 2,  7,  0,  1],
       [ 1,  0,  7,  2],
       [ 2,  1,  1, 11]]), array([[ 6,  3,  1,  1],
       [ 4,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 2,  0,  2, 10]]), array([[ 6,  5,  0,  0],
       [ 5,  5,  0,  0],
       [ 0,  0,  6,  3],
       [ 0,  1,  1, 13]]), array([[ 3,  6,  2,  0],
       [ 2,  5,  1,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  4, 10]]), array([[7, 1, 0, 3],
       [2, 6, 0, 1],
       [0, 0, 8, 2],
       [0, 3, 3, 9]]), array([[ 7,  2,  0,  2],
       [ 5,  4,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[7, 2, 1, 1],
       [1, 7, 0, 1],
       [1, 0, 6, 3],
       [2, 1, 5, 7]])]"
