min_samples_split value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
2,"[0.9104477611940298, 0.9029850746268657, 0.8973880597014925, 0.9085820895522388, 0.9185185185185185, 0.8973880597014925, 0.8917910447761194, 0.9029850746268657, 0.9197761194029851, 0.8955223880597015]","[0.9104477611940298, 0.9029850746268657, 0.8973880597014925, 0.9085820895522388, 0.9185185185185185, 0.8973880597014925, 0.8917910447761194, 0.9029850746268657, 0.9197761194029851, 0.8955223880597015]","[0.9104477611940298, 0.9029850746268657, 0.8973880597014925, 0.9085820895522388, 0.9185185185185185, 0.8973880597014925, 0.8917910447761194, 0.9029850746268657, 0.9197761194029851, 0.8955223880597015]","[0.9104477611940298, 0.9029850746268657, 0.8973880597014925, 0.9085820895522388, 0.9185185185185185, 0.8973880597014925, 0.8917910447761194, 0.9029850746268657, 0.9197761194029851, 0.8955223880597015]","[0.9105105784210261, 0.9051157247098203, 0.9022076291192969, 0.9102431886193589, 0.9186265023069264, 0.898492023609049, 0.8920479457320656, 0.9042102584426508, 0.9216607584559074, 0.8981124951503646]","[0.9104477611940298, 0.9029850746268657, 0.8973880597014926, 0.9085820895522387, 0.9185185185185185, 0.8973880597014925, 0.8917910447761195, 0.9029850746268657, 0.9197761194029851, 0.8955223880597014]","[0.9104599114998838, 0.9029863957172832, 0.8973429541595924, 0.9084310959310959, 0.9184980410195576, 0.8977047024696535, 0.8916171632586428, 0.902787887959732, 0.9195827356157595, 0.8949923464906215]","[0.9105105784210261, 0.9051157247098203, 0.902207629119297, 0.9102431886193588, 0.9186265023069263, 0.898492023609049, 0.8920479457320655, 0.9042102584426509, 0.9216607584559074, 0.8981124951503647]","[0.9104477611940298, 0.9029850746268657, 0.8973880597014925, 0.9085820895522388, 0.9185185185185185, 0.8973880597014925, 0.8917910447761194, 0.9029850746268657, 0.9197761194029851, 0.8955223880597015]","[0.9104599114998837, 0.9029863957172832, 0.8973429541595924, 0.908431095931096, 0.9184980410195576, 0.8977047024696535, 0.8916171632586428, 0.902787887959732, 0.9195827356157595, 0.8949923464906214]","[array([[121,   6,   2,   5],
       [  7, 122,   1,   4],
       [  1,   0, 126,   7],
       [  5,   4,   6, 119]]), array([[122,   7,   4,   1],
       [ 10, 120,   3,   1],
       [  1,   0, 127,   6],
       [  5,   1,  13, 115]]), array([[126,   4,   2,   2],
       [ 14, 117,   3,   0],
       [  5,   1, 127,   1],
       [  6,   8,   9, 111]]), array([[118,   8,   3,   5],
       [  6, 126,   2,   0],
       [  0,   2, 127,   5],
       [  1,   3,  14, 116]]), array([[126,   7,   1,   1],
       [  8, 124,   1,   2],
       [  1,   0, 125,   9],
       [  4,   2,   8, 121]]), array([[122,   5,   1,   6],
       [  8, 122,   0,   4],
       [  2,   0, 121,  11],
       [  7,   5,   6, 116]]), array([[120,  10,   1,   3],
       [  8, 123,   0,   3],
       [  1,   1, 123,   9],
       [  8,   6,   8, 112]]), array([[125,   6,   1,   2],
       [  9, 121,   0,   4],
       [  2,   3, 125,   4],
       [  9,   1,  11, 113]]), array([[122,  11,   1,   0],
       [  1, 130,   3,   0],
       [  4,   1, 125,   4],
       [  7,   4,   7, 116]]), array([[124,   5,   3,   2],
       [ 11, 120,   1,   2],
       [  3,   2, 127,   2],
       [  4,   7,  14, 109]])]","[0.717391304347826, 0.6521739130434783, 0.5652173913043478, 0.6086956521739131, 0.6888888888888889, 0.5777777777777777, 0.5333333333333333, 0.5555555555555556, 0.7333333333333333, 0.5111111111111111]","[0.717391304347826, 0.6521739130434783, 0.5652173913043478, 0.6086956521739131, 0.6888888888888889, 0.5777777777777777, 0.5333333333333333, 0.5555555555555556, 0.7333333333333333, 0.5111111111111111]","[0.717391304347826, 0.6521739130434783, 0.5652173913043478, 0.6086956521739131, 0.6888888888888889, 0.5777777777777777, 0.5333333333333333, 0.5555555555555556, 0.7333333333333333, 0.5111111111111111]","[0.717391304347826, 0.6521739130434783, 0.5652173913043478, 0.6086956521739131, 0.6888888888888889, 0.5777777777777777, 0.5333333333333333, 0.5555555555555556, 0.7333333333333333, 0.5111111111111111]","[0.7222985347985348, 0.6366071428571428, 0.5680147058823529, 0.6327006327006327, 0.6797202797202797, 0.5797077922077922, 0.5329739704739705, 0.569047619047619, 0.7385416666666667, 0.5385780885780885]","[0.7097222222222223, 0.6236111111111111, 0.546969696969697, 0.603030303030303, 0.6827922077922078, 0.5608585858585858, 0.5441919191919192, 0.5452020202020202, 0.7373737373737373, 0.527020202020202]","[0.7069436702588876, 0.6241039426523297, 0.5461010061919505, 0.6099356738742928, 0.6798941798941799, 0.5668560606060606, 0.5318035426731079, 0.5481211317418214, 0.7363165979464792, 0.518009377664109]","[0.7401457238413761, 0.6487577639751553, 0.5778452685421995, 0.634495938843765, 0.6927428127428128, 0.591005291005291, 0.5408141241474576, 0.5728042328042329, 0.7328703703703703, 0.5312613312613312]","[0.717391304347826, 0.6521739130434783, 0.5652173913043478, 0.6086956521739131, 0.6888888888888889, 0.5777777777777777, 0.5333333333333333, 0.5555555555555556, 0.7333333333333333, 0.5111111111111111]","[0.71981383193576, 0.6449664952470002, 0.5610403486337326, 0.6147003224730346, 0.6894767783656672, 0.5815656565656566, 0.5303274288781535, 0.5562982611258473, 0.7315744558528938, 0.5072065927820404]","[array([[ 9,  2,  1,  0],
       [ 3,  5,  0,  1],
       [ 2,  0,  8,  0],
       [ 0,  0,  4, 11]]), array([[ 9,  1,  1,  1],
       [ 5,  4,  0,  0],
       [ 1,  1,  5,  3],
       [ 0,  1,  2, 12]]), array([[ 5,  6,  0,  0],
       [ 2,  6,  1,  1],
       [ 0,  1,  4,  5],
       [ 1,  1,  2, 11]]), array([[ 6,  4,  0,  1],
       [ 3,  6,  0,  1],
       [ 0,  1,  6,  3],
       [ 2,  2,  1, 10]]), array([[ 6,  4,  1,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  1,  2, 11]]), array([[ 5,  6,  0,  0],
       [ 5,  5,  0,  0],
       [ 0,  0,  5,  4],
       [ 1,  1,  2, 11]]), array([[5, 4, 1, 1],
       [2, 5, 1, 1],
       [0, 0, 7, 3],
       [2, 2, 4, 7]]), array([[7, 2, 1, 1],
       [4, 4, 0, 1],
       [2, 0, 5, 3],
       [2, 0, 4, 9]]), array([[ 8,  2,  0,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  0,  3, 11]]), array([[4, 3, 2, 2],
       [1, 7, 0, 1],
       [0, 0, 5, 5],
       [1, 1, 6, 7]])]"
4,"[0.9029850746268657, 0.9067164179104478, 0.8973880597014925, 0.917910447761194, 0.912962962962963, 0.8992537313432836, 0.9235074626865671, 0.8973880597014925, 0.8899253731343284, 0.9011194029850746]","[0.9029850746268657, 0.9067164179104478, 0.8973880597014925, 0.917910447761194, 0.912962962962963, 0.8992537313432836, 0.9235074626865671, 0.8973880597014925, 0.8899253731343284, 0.9011194029850746]","[0.9029850746268657, 0.9067164179104478, 0.8973880597014925, 0.917910447761194, 0.912962962962963, 0.8992537313432836, 0.9235074626865671, 0.8973880597014925, 0.8899253731343284, 0.9011194029850746]","[0.9029850746268657, 0.9067164179104478, 0.8973880597014925, 0.917910447761194, 0.912962962962963, 0.8992537313432836, 0.9235074626865671, 0.8973880597014925, 0.8899253731343284, 0.9011194029850746]","[0.9077880427339837, 0.9074323702613176, 0.9018406482447578, 0.9183705859352764, 0.9129818666699189, 0.8999129295504377, 0.9259051361871358, 0.8979836499817317, 0.8929367344850839, 0.9024250102216936]","[0.9029850746268657, 0.9067164179104478, 0.8973880597014925, 0.917910447761194, 0.9129629629629629, 0.8992537313432836, 0.9235074626865671, 0.8973880597014925, 0.8899253731343284, 0.9011194029850746]","[0.9032959938951751, 0.9060498726480881, 0.8965004287838535, 0.9178096780241225, 0.9129471108509738, 0.8990955966398522, 0.9236737752788495, 0.8973992374727668, 0.8890971617770351, 0.9010792335378379]","[0.9077880427339838, 0.9074323702613176, 0.9018406482447578, 0.9183705859352764, 0.912981866669919, 0.8999129295504377, 0.9259051361871359, 0.8979836499817317, 0.892936734485084, 0.9024250102216936]","[0.9029850746268657, 0.9067164179104478, 0.8973880597014925, 0.917910447761194, 0.912962962962963, 0.8992537313432836, 0.9235074626865671, 0.8973880597014925, 0.8899253731343284, 0.9011194029850746]","[0.903295993895175, 0.9060498726480881, 0.8965004287838536, 0.9178096780241224, 0.9129471108509739, 0.8990955966398521, 0.9236737752788496, 0.897399237472767, 0.8890971617770351, 0.9010792335378379]","[array([[127,   3,   3,   1],
       [ 10, 122,   0,   2],
       [  7,   1, 123,   3],
       [  9,   1,  12, 112]]), array([[125,   5,   2,   2],
       [  7, 121,   2,   4],
       [  2,   0, 129,   3],
       [  6,   7,  10, 111]]), array([[120,   9,   3,   2],
       [  6, 126,   1,   1],
       [  1,   3, 129,   1],
       [  5,   8,  15, 106]]), array([[127,   4,   1,   2],
       [  8, 125,   1,   0],
       [  1,   2, 122,   9],
       [  6,   4,   6, 118]]), array([[121,   5,   5,   4],
       [  8, 123,   2,   2],
       [  2,   3, 126,   4],
       [  4,   4,   4, 123]]), array([[119,  10,   3,   2],
       [  8, 124,   1,   1],
       [  1,   3, 124,   6],
       [  6,   2,  11, 115]]), array([[130,   2,   2,   0],
       [  9, 121,   0,   4],
       [  8,   0, 122,   4],
       [  3,   4,   5, 122]]), array([[122,   6,   3,   3],
       [  8, 123,   1,   2],
       [  2,   3, 117,  12],
       [  4,   6,   5, 119]]), array([[121,   4,   7,   2],
       [  9, 124,   0,   1],
       [  1,   1, 127,   5],
       [  8,   5,  16, 105]]), array([[122,   7,   2,   3],
       [  5, 125,   1,   3],
       [  3,   4, 122,   5],
       [  3,  10,   7, 114]])]","[0.717391304347826, 0.6086956521739131, 0.5217391304347826, 0.5869565217391305, 0.6888888888888889, 0.6444444444444445, 0.6222222222222222, 0.6888888888888889, 0.7333333333333333, 0.5777777777777777]","[0.717391304347826, 0.6086956521739131, 0.5217391304347826, 0.5869565217391305, 0.6888888888888889, 0.6444444444444445, 0.6222222222222222, 0.6888888888888889, 0.7333333333333333, 0.5777777777777777]","[0.717391304347826, 0.6086956521739131, 0.5217391304347826, 0.5869565217391305, 0.6888888888888889, 0.6444444444444445, 0.6222222222222222, 0.6888888888888889, 0.7333333333333333, 0.5777777777777777]","[0.717391304347826, 0.6086956521739131, 0.5217391304347826, 0.5869565217391305, 0.6888888888888889, 0.6444444444444445, 0.6222222222222222, 0.6888888888888889, 0.7333333333333333, 0.5777777777777777]","[0.7142857142857143, 0.6180555555555556, 0.4950980392156863, 0.5920138888888888, 0.6742909867909868, 0.6353174603174603, 0.6125541125541125, 0.7197916666666667, 0.75, 0.6107142857142858]","[0.7152777777777778, 0.6055555555555555, 0.49469696969696975, 0.5840909090909091, 0.685064935064935, 0.6391414141414141, 0.6141414141414141, 0.6767676767676768, 0.7462121212121212, 0.5853535353535354]","[0.699928774928775, 0.6007625272331154, 0.4923682621408594, 0.5868088875765852, 0.6761063011063011, 0.6358794287066993, 0.6098484848484849, 0.6833333333333333, 0.7340929658576718, 0.568709963200218]","[0.7251552795031057, 0.6204710144927537, 0.5117220801364024, 0.588617149758454, 0.6869291202624537, 0.6475837742504409, 0.617989417989418, 0.7152777777777778, 0.7633333333333334, 0.6209523809523809]","[0.717391304347826, 0.6086956521739131, 0.5217391304347826, 0.5869565217391305, 0.6888888888888889, 0.6444444444444445, 0.6222222222222222, 0.6888888888888889, 0.7333333333333333, 0.5777777777777777]","[0.7076551467855815, 0.6030122193805058, 0.5142167307841121, 0.5866147165584552, 0.6845224734113622, 0.6447372804825657, 0.6171717171717171, 0.6888888888888889, 0.7322254216371863, 0.5720700255932639]","[array([[ 9,  2,  0,  1],
       [ 4,  4,  0,  1],
       [ 0,  0, 10,  0],
       [ 1,  0,  4, 10]]), array([[10,  1,  0,  1],
       [ 4,  5,  0,  0],
       [ 1,  1,  5,  3],
       [ 3,  1,  3,  8]]), array([[ 6,  5,  0,  0],
       [ 5,  3,  1,  1],
       [ 1,  0,  4,  5],
       [ 0,  1,  3, 11]]), array([[7, 2, 0, 2],
       [3, 6, 0, 1],
       [0, 1, 5, 4],
       [2, 0, 4, 9]]), array([[ 5,  4,  1,  1],
       [ 4,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  1,  2, 11]]), array([[ 6,  4,  0,  1],
       [ 5,  5,  0,  0],
       [ 0,  0,  7,  2],
       [ 1,  0,  3, 11]]), array([[ 6,  3,  1,  1],
       [ 3,  4,  0,  2],
       [ 0,  0,  8,  2],
       [ 2,  0,  3, 10]]), array([[ 9,  1,  0,  1],
       [ 3,  5,  0,  1],
       [ 2,  0,  6,  2],
       [ 2,  0,  2, 11]]), array([[9, 1, 0, 1],
       [3, 6, 0, 0],
       [0, 1, 9, 0],
       [3, 0, 3, 9]]), array([[4, 4, 2, 1],
       [1, 7, 0, 1],
       [0, 1, 6, 3],
       [0, 2, 4, 9]])]"
6,"[0.9048507462686567, 0.8973880597014925, 0.9123134328358209, 0.9067164179104478, 0.9092592592592592, 0.8973880597014925, 0.9067164179104478, 0.914179104477612, 0.8917910447761194, 0.9048507462686567]","[0.9048507462686567, 0.8973880597014925, 0.9123134328358209, 0.9067164179104478, 0.9092592592592592, 0.8973880597014925, 0.9067164179104478, 0.914179104477612, 0.8917910447761194, 0.9048507462686567]","[0.9048507462686567, 0.8973880597014925, 0.9123134328358209, 0.9067164179104478, 0.9092592592592592, 0.8973880597014925, 0.9067164179104478, 0.914179104477612, 0.8917910447761194, 0.9048507462686567]","[0.9048507462686567, 0.8973880597014925, 0.9123134328358209, 0.9067164179104478, 0.9092592592592592, 0.8973880597014925, 0.9067164179104478, 0.914179104477612, 0.8917910447761194, 0.9048507462686567]","[0.9078315944901012, 0.8978508467560296, 0.9136082051161221, 0.9081602618808828, 0.9118171107720587, 0.8995307043473679, 0.9089621303995249, 0.9152087586453732, 0.8926849632899664, 0.9057854040733664]","[0.9048507462686567, 0.8973880597014925, 0.912313432835821, 0.9067164179104477, 0.9092592592592592, 0.8973880597014925, 0.9067164179104478, 0.914179104477612, 0.8917910447761194, 0.9048507462686568]","[0.9050719242734452, 0.8974674228299411, 0.9124057042566104, 0.9062689671507453, 0.9088325402246953, 0.897735851752054, 0.907032458744098, 0.9138715504994575, 0.8917883692736598, 0.9045393434747618]","[0.9078315944901012, 0.8978508467560296, 0.913608205116122, 0.908160261880883, 0.9118171107720587, 0.8995307043473679, 0.9089621303995249, 0.9152087586453732, 0.8926849632899665, 0.9057854040733664]","[0.9048507462686567, 0.8973880597014925, 0.9123134328358209, 0.9067164179104478, 0.9092592592592592, 0.8973880597014925, 0.9067164179104478, 0.914179104477612, 0.8917910447761194, 0.9048507462686567]","[0.9050719242734452, 0.897467422829941, 0.9124057042566104, 0.9062689671507455, 0.9088325402246952, 0.8977358517520541, 0.9070324587440981, 0.9138715504994575, 0.8917883692736598, 0.904539343474762]","[array([[128,   5,   1,   0],
       [  7, 120,   3,   4],
       [ 11,   0, 119,   4],
       [  6,   4,   6, 118]]), array([[122,   7,   1,   4],
       [  7, 120,   0,   7],
       [  4,   2, 123,   5],
       [  7,   4,   7, 116]]), array([[123,   6,   3,   2],
       [  8, 126,   0,   0],
       [  3,   3, 122,   6],
       [  6,   6,   4, 118]]), array([[121,   8,   2,   3],
       [  4, 127,   1,   2],
       [  3,   3, 126,   2],
       [  5,   4,  13, 112]]), array([[126,   4,   4,   1],
       [  9, 121,   0,   5],
       [  2,   2, 131,   0],
       [  2,   4,  16, 113]]), array([[122,   5,   3,   4],
       [  6, 120,   2,   6],
       [  4,   0, 117,  13],
       [  5,   4,   3, 122]]), array([[126,   5,   0,   3],
       [  9, 121,   0,   4],
       [  2,   0, 118,  14],
       [  4,   4,   5, 121]]), array([[129,   2,   1,   2],
       [  9, 123,   0,   2],
       [  3,   1, 124,   6],
       [  5,   4,  11, 114]]), array([[120,   7,   0,   7],
       [ 11, 121,   1,   1],
       [  6,   0, 124,   4],
       [  5,   7,   9, 113]]), array([[118,   9,   3,   4],
       [  6, 124,   1,   3],
       [  1,   1, 128,   4],
       [  2,   4,  13, 115]])]","[0.5869565217391305, 0.6739130434782609, 0.5869565217391305, 0.6521739130434783, 0.4888888888888889, 0.6888888888888889, 0.6222222222222222, 0.7111111111111111, 0.7555555555555555, 0.6]","[0.5869565217391305, 0.6739130434782609, 0.5869565217391305, 0.6521739130434783, 0.4888888888888889, 0.6888888888888889, 0.6222222222222222, 0.7111111111111111, 0.7555555555555555, 0.6]","[0.5869565217391305, 0.6739130434782609, 0.5869565217391305, 0.6521739130434783, 0.4888888888888889, 0.6888888888888889, 0.6222222222222222, 0.7111111111111111, 0.7555555555555555, 0.6]","[0.5869565217391305, 0.6739130434782609, 0.5869565217391305, 0.6521739130434783, 0.4888888888888889, 0.6888888888888889, 0.6222222222222222, 0.7111111111111111, 0.7555555555555555, 0.6]","[0.5882575757575758, 0.676948051948052, 0.5741421568627451, 0.6634615384615385, 0.4895833333333333, 0.681547619047619, 0.6234848484848485, 0.6961038961038961, 0.7867647058823529, 0.5914682539682539]","[0.5819444444444444, 0.673611111111111, 0.5734848484848485, 0.6613636363636364, 0.48863636363636365, 0.6964646464646465, 0.5929292929292929, 0.7030303030303029, 0.7555555555555555, 0.5974747474747475]","[0.5806100217864923, 0.6675495397097831, 0.5713911136536994, 0.650648360030511, 0.4778623188405797, 0.671957671957672, 0.5976911976911977, 0.6981246218995765, 0.74491341991342, 0.5873015873015872]","[0.6024703557312252, 0.6804065499717674, 0.5776854219948849, 0.6747491638795987, 0.5066666666666666, 0.7055555555555556, 0.6222222222222222, 0.713997113997114, 0.806318082788671, 0.6125396825396825]","[0.5869565217391305, 0.6739130434782609, 0.5869565217391305, 0.6521739130434783, 0.4888888888888889, 0.6888888888888889, 0.6222222222222222, 0.7111111111111111, 0.7555555555555555, 0.6]","[0.5896561523159988, 0.6703233225016451, 0.57991949391437, 0.6519749278678738, 0.48628019323671506, 0.6807760141093474, 0.6117813051146385, 0.7111725674339104, 0.7536796536796537, 0.5989417989417989]","[array([[7, 3, 1, 1],
       [4, 4, 0, 1],
       [2, 0, 7, 1],
       [2, 1, 3, 9]]), array([[ 9,  2,  0,  1],
       [ 2,  7,  0,  0],
       [ 1,  1,  5,  3],
       [ 2,  1,  2, 10]]), array([[ 8,  2,  1,  0],
       [ 3,  6,  0,  1],
       [ 1,  0,  3,  6],
       [ 0,  1,  4, 10]]), array([[6, 3, 1, 1],
       [2, 6, 0, 2],
       [0, 1, 9, 0],
       [0, 3, 3, 9]]), array([[5, 4, 2, 0],
       [7, 3, 0, 0],
       [0, 0, 7, 3],
       [0, 1, 6, 7]]), array([[ 4,  5,  1,  1],
       [ 2,  8,  0,  0],
       [ 1,  0,  8,  0],
       [ 0,  1,  3, 11]]), array([[ 8,  1,  1,  1],
       [ 3,  4,  1,  1],
       [ 0,  0,  4,  6],
       [ 0,  1,  2, 12]]), array([[ 6,  4,  1,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  2, 12]]), array([[11,  0,  0,  0],
       [ 4,  5,  0,  0],
       [ 2,  0,  8,  0],
       [ 0,  1,  4, 10]]), array([[6, 4, 0, 1],
       [4, 4, 0, 1],
       [0, 1, 8, 1],
       [0, 0, 6, 9]])]"
8,"[0.8843283582089553, 0.9104477611940298, 0.9123134328358209, 0.9029850746268657, 0.9018518518518519, 0.8955223880597015, 0.8973880597014925, 0.8992537313432836, 0.8824626865671642, 0.9029850746268657]","[0.8843283582089553, 0.9104477611940298, 0.9123134328358209, 0.9029850746268657, 0.9018518518518519, 0.8955223880597015, 0.8973880597014925, 0.8992537313432836, 0.8824626865671642, 0.9029850746268657]","[0.8843283582089553, 0.9104477611940298, 0.9123134328358209, 0.9029850746268657, 0.9018518518518519, 0.8955223880597015, 0.8973880597014925, 0.8992537313432836, 0.8824626865671642, 0.9029850746268657]","[0.8843283582089553, 0.9104477611940298, 0.9123134328358209, 0.9029850746268657, 0.9018518518518519, 0.8955223880597015, 0.8973880597014925, 0.8992537313432836, 0.8824626865671642, 0.9029850746268657]","[0.8875349824739169, 0.9117576484742249, 0.9145848444508066, 0.9037600304229689, 0.9033714888554273, 0.8964024609843937, 0.9034993905846247, 0.9009230036480496, 0.8858812372193893, 0.904000823838449]","[0.8843283582089552, 0.9104477611940298, 0.9123134328358209, 0.9029850746268656, 0.9018518518518519, 0.8955223880597014, 0.8973880597014925, 0.8992537313432836, 0.8824626865671641, 0.9029850746268656]","[0.8840352336507478, 0.9107533095347041, 0.9125504083696552, 0.9028939878416498, 0.902051683545845, 0.8950724763579616, 0.8974770243424327, 0.8995864855519586, 0.8819196344385675, 0.9029275854295935]","[0.8875349824739169, 0.9117576484742249, 0.9145848444508066, 0.9037600304229689, 0.9033714888554273, 0.8964024609843937, 0.9034993905846248, 0.9009230036480496, 0.8858812372193894, 0.904000823838449]","[0.8843283582089553, 0.9104477611940298, 0.9123134328358209, 0.9029850746268657, 0.9018518518518519, 0.8955223880597015, 0.8973880597014925, 0.8992537313432836, 0.8824626865671642, 0.9029850746268657]","[0.8840352336507478, 0.9107533095347041, 0.9125504083696552, 0.9028939878416496, 0.9020516835458449, 0.8950724763579616, 0.8974770243424327, 0.8995864855519586, 0.8819196344385675, 0.9029275854295934]","[array([[125,   7,   0,   2],
       [ 11, 119,   1,   3],
       [  5,   0, 123,   6],
       [ 11,   2,  14, 107]]), array([[122,   7,   2,   3],
       [ 10, 123,   0,   1],
       [  2,   2, 122,   8],
       [  5,   6,   2, 121]]), array([[124,   9,   1,   0],
       [  8, 125,   0,   1],
       [  5,   2, 123,   4],
       [  7,   3,   7, 117]]), array([[120,   9,   1,   4],
       [  9, 123,   0,   2],
       [  4,   3, 125,   2],
       [  2,   2,  14, 116]]), array([[125,   6,   3,   1],
       [ 11, 120,   0,   4],
       [  3,   0, 120,  12],
       [  5,   2,   6, 122]]), array([[112,  13,   5,   4],
       [  4, 129,   0,   1],
       [  4,   4, 117,   9],
       [  8,   1,   3, 122]]), array([[129,   2,   2,   1],
       [ 17, 114,   0,   3],
       [  3,   0, 125,   6],
       [  6,   0,  15, 113]]), array([[121,   5,   2,   6],
       [ 12, 119,   2,   1],
       [  5,   0, 120,   9],
       [  4,   2,   6, 122]]), array([[124,   8,   1,   1],
       [  8, 126,   0,   0],
       [  8,   1, 117,   8],
       [ 11,   6,  11, 106]]), array([[124,   7,   1,   2],
       [  7, 125,   0,   2],
       [  7,   1, 119,   7],
       [  5,   5,   8, 116]])]","[0.6521739130434783, 0.6521739130434783, 0.6521739130434783, 0.6956521739130435, 0.5333333333333333, 0.5111111111111111, 0.5555555555555556, 0.7111111111111111, 0.6666666666666666, 0.5777777777777777]","[0.6521739130434783, 0.6521739130434783, 0.6521739130434783, 0.6956521739130435, 0.5333333333333333, 0.5111111111111111, 0.5555555555555556, 0.7111111111111111, 0.6666666666666666, 0.5777777777777777]","[0.6521739130434783, 0.6521739130434783, 0.6521739130434783, 0.6956521739130435, 0.5333333333333333, 0.5111111111111111, 0.5555555555555556, 0.7111111111111111, 0.6666666666666666, 0.5777777777777777]","[0.6521739130434783, 0.6521739130434783, 0.6521739130434783, 0.6956521739130435, 0.5333333333333333, 0.5111111111111111, 0.5555555555555556, 0.7111111111111111, 0.6666666666666666, 0.5777777777777777]","[0.6580086580086579, 0.6330128205128205, 0.6823529411764706, 0.6931818181818181, 0.533022533022533, 0.5228625541125541, 0.5391414141414141, 0.7011634199134199, 0.7083333333333333, 0.6042582417582417]","[0.6666666666666666, 0.6583333333333333, 0.6378787878787879, 0.6984848484848484, 0.5314935064935065, 0.5191919191919192, 0.5414141414141413, 0.704040404040404, 0.6439393939393939, 0.5924242424242424]","[0.6538461538461539, 0.634702380952381, 0.6352756892230577, 0.6924315619967794, 0.5299426450742241, 0.5153248167954051, 0.5396825396825397, 0.7003503595795686, 0.6382733785110695, 0.5931372549019608]","[0.665725578769057, 0.6333612040133779, 0.6845694799658993, 0.7078392621870883, 0.5416040749374083, 0.5257936507936508, 0.5545454545454546, 0.7128306878306877, 0.7259259259259259, 0.5958363858363858]","[0.6521739130434783, 0.6521739130434783, 0.6521739130434783, 0.6956521739130435, 0.5333333333333333, 0.5111111111111111, 0.5555555555555556, 0.7111111111111111, 0.6666666666666666, 0.5777777777777777]","[0.6499442586399108, 0.6335714285714286, 0.6460989430096982, 0.697752572988868, 0.5350202429149798, 0.5127087872185911, 0.5544973544973544, 0.7099145614358595, 0.6619696009622438, 0.5819172113289761]","[array([[8, 3, 0, 1],
       [2, 6, 0, 1],
       [1, 0, 8, 1],
       [1, 0, 6, 8]]), array([[ 8,  2,  1,  1],
       [ 0,  9,  0,  0],
       [ 3,  0,  3,  4],
       [ 2,  1,  2, 10]]), array([[ 9,  2,  0,  0],
       [ 2,  6,  1,  1],
       [ 2,  1,  4,  3],
       [ 4,  0,  0, 11]]), array([[ 8,  3,  0,  0],
       [ 3,  6,  0,  1],
       [ 0,  1,  8,  1],
       [ 1,  1,  3, 10]]), array([[5, 4, 1, 1],
       [6, 4, 0, 0],
       [0, 0, 7, 3],
       [2, 1, 3, 8]]), array([[5, 4, 1, 1],
       [4, 6, 0, 0],
       [0, 0, 5, 4],
       [2, 4, 2, 7]]), array([[ 5,  5,  1,  0],
       [ 4,  4,  0,  1],
       [ 0,  0,  6,  4],
       [ 1,  0,  4, 10]]), array([[ 8,  2,  1,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  3, 11]]), array([[10,  1,  0,  0],
       [ 6,  3,  0,  0],
       [ 3,  0,  6,  1],
       [ 1,  0,  3, 11]]), array([[7, 1, 1, 2],
       [2, 6, 0, 1],
       [0, 1, 6, 3],
       [1, 0, 7, 7]])]"
