subsample value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
0.6,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7391304347826086, 0.7608695652173914, 0.7391304347826086, 0.8260869565217391, 0.7555555555555555, 0.7777777777777778, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.8]","[0.7391304347826086, 0.7608695652173914, 0.7391304347826086, 0.8260869565217391, 0.7555555555555555, 0.7777777777777778, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.8]","[0.7391304347826086, 0.7608695652173914, 0.7391304347826086, 0.8260869565217391, 0.7555555555555555, 0.7777777777777778, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.8]","[0.7391304347826085, 0.7608695652173914, 0.7391304347826085, 0.8260869565217391, 0.7555555555555555, 0.7777777777777778, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.8000000000000002]","[0.7673076923076922, 0.7583333333333333, 0.7444444444444445, 0.8472222222222222, 0.7555555555555555, 0.7951680672268908, 0.7638888888888888, 0.7575396825396825, 0.8042483660130719, 0.8016098484848485]","[0.7527777777777778, 0.75, 0.7151515151515151, 0.8166666666666667, 0.7483766233766235, 0.7517676767676769, 0.7540404040404041, 0.7595959595959596, 0.7361111111111112, 0.7979797979797979]","[0.7427819548872181, 0.7533523086654017, 0.717284255599473, 0.8249890206411944, 0.7479252598581092, 0.7608823529411765, 0.7506912442396314, 0.7563939891526099, 0.7370951417004048, 0.7952037351443124]","[0.7790969899665552, 0.7608695652173914, 0.7463768115942028, 0.8351449275362318, 0.76, 0.7967320261437908, 0.7672839506172839, 0.7611640211640212, 0.7873928830791577, 0.803942199775533]","[0.7391304347826086, 0.7608695652173914, 0.7391304347826086, 0.8260869565217391, 0.7555555555555555, 0.7777777777777778, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.8]","[0.7423014056881334, 0.7601270522234139, 0.7310749269633957, 0.823814706612438, 0.7539412271535683, 0.7756732026143791, 0.7541491722136884, 0.7562886666334943, 0.7436572199730094, 0.797815506508206]","[array([[ 8,  3,  0,  1],
       [ 0,  7,  1,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  5, 10]]), array([[10,  1,  0,  1],
       [ 2,  6,  1,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 3,  7,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  0,  1, 14]]), array([[11,  0,  0,  0],
       [ 1,  7,  0,  2],
       [ 0,  0,  7,  3],
       [ 0,  1,  1, 13]]), array([[ 7,  4,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[ 9,  0,  1,  1],
       [ 3,  7,  0,  0],
       [ 2,  0,  5,  2],
       [ 0,  0,  1, 14]]), array([[ 8,  3,  0,  0],
       [ 0,  8,  0,  1],
       [ 1,  0,  6,  3],
       [ 0,  1,  2, 12]]), array([[ 8,  2,  0,  1],
       [ 2,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[11,  0,  0,  0],
       [ 3,  4,  0,  2],
       [ 0,  0,  7,  3],
       [ 1,  0,  2, 12]]), array([[ 7,  3,  0,  1],
       [ 0,  8,  0,  1],
       [ 1,  0,  8,  1],
       [ 1,  0,  1, 13]])]"
0.7,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.8043478260869565, 0.717391304347826, 0.7608695652173914, 0.8260869565217391, 0.7777777777777778, 0.8, 0.7111111111111111, 0.8, 0.7555555555555555, 0.8222222222222222]","[0.8043478260869565, 0.717391304347826, 0.7608695652173914, 0.8260869565217391, 0.7777777777777778, 0.8, 0.7111111111111111, 0.8, 0.7555555555555555, 0.8222222222222222]","[0.8043478260869565, 0.717391304347826, 0.7608695652173914, 0.8260869565217391, 0.7777777777777778, 0.8, 0.7111111111111111, 0.8, 0.7555555555555555, 0.8222222222222222]","[0.8043478260869565, 0.717391304347826, 0.7608695652173914, 0.8260869565217391, 0.7777777777777778, 0.8000000000000002, 0.7111111111111111, 0.8000000000000002, 0.7555555555555555, 0.8222222222222222]","[0.8155282217782218, 0.7211134453781514, 0.7604946524064171, 0.827114898989899, 0.7829861111111112, 0.8016826923076923, 0.7120535714285714, 0.7932692307692308, 0.7829365079365078, 0.8363636363636364]","[0.8111111111111111, 0.7, 0.7484848484848485, 0.8212121212121212, 0.7662337662337664, 0.7883838383838384, 0.7025252525252526, 0.7962121212121211, 0.7545454545454546, 0.8318181818181818]","[0.8085810036158392, 0.7033371040723981, 0.7507440476190477, 0.8224593742420567, 0.7679292929292929, 0.7905597722960152, 0.6891460183886551, 0.7909539309795065, 0.76075841128019, 0.8260025062656643]","[0.8150626547365678, 0.718533065400073, 0.7618112066961172, 0.8271107817303469, 0.7854938271604938, 0.800534188034188, 0.7263888888888889, 0.8076923076923077, 0.7775308641975308, 0.8363636363636364]","[0.8043478260869565, 0.717391304347826, 0.7608695652173914, 0.8260869565217391, 0.7777777777777778, 0.8, 0.7111111111111111, 0.8, 0.7555555555555555, 0.8222222222222222]","[0.8054770568679853, 0.7112187684438325, 0.7576992753623187, 0.8249797003026501, 0.7751964085297418, 0.7961276266779114, 0.7026509445396776, 0.8000132859467897, 0.7592388353731367, 0.8218267891952103]","[array([[10,  1,  0,  1],
       [ 1,  7,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  4, 11]]), array([[10,  1,  0,  1],
       [ 3,  6,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  0,  2, 13]]), array([[ 9,  1,  1,  0],
       [ 1,  7,  0,  2],
       [ 0,  0,  9,  1],
       [ 0,  1,  1, 13]]), array([[ 7,  4,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 13]]), array([[10,  1,  0,  0],
       [ 3,  6,  0,  1],
       [ 0,  0,  7,  2],
       [ 0,  1,  1, 13]]), array([[ 5,  6,  0,  0],
       [ 1,  8,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  0,  2, 13]]), array([[ 9,  1,  1,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  1,  2, 12]]), array([[ 9,  1,  0,  1],
       [ 3,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 3,  0,  1, 11]]), array([[ 8,  2,  0,  1],
       [ 0,  9,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]])]"
0.8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.8260869565217391, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555, 0.8888888888888888]","[0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.8260869565217391, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555, 0.8888888888888888]","[0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.8260869565217391, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555, 0.8888888888888888]","[0.7608695652173914, 0.7391304347826085, 0.782608695652174, 0.8260869565217391, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555, 0.8888888888888888]","[0.7589285714285714, 0.7583333333333333, 0.7833333333333333, 0.8394886363636364, 0.7047619047619047, 0.7787990196078431, 0.6847222222222222, 0.7416666666666666, 0.8382352941176471, 0.8934343434343435]","[0.7583333333333333, 0.7222222222222221, 0.7772727272727273, 0.8212121212121212, 0.7032467532467532, 0.7595959595959596, 0.6696969696969697, 0.7424242424242424, 0.730050505050505, 0.8911616161616162]","[0.7562772758006024, 0.7318181818181818, 0.777606358111267, 0.826921286598706, 0.7032363517489375, 0.765212063086104, 0.6706539074960127, 0.7412280701754387, 0.7414249353587589, 0.8912698412698413]","[0.7652691511387163, 0.75, 0.7807971014492755, 0.8360918972332015, 0.7111111111111111, 0.7791394335511983, 0.6922222222222222, 0.7577777777777777, 0.8209150326797385, 0.8929292929292929]","[0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.8260869565217391, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555, 0.8888888888888888]","[0.7609777998701184, 0.7371541501976284, 0.7792345061690754, 0.828012644983192, 0.7103991863717264, 0.7745690063464999, 0.6836788942052099, 0.7559454191033138, 0.7515199669611434, 0.88994708994709]","[array([[10,  2,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[10,  0,  1,  1],
       [ 2,  5,  0,  2],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[10,  1,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  1,  2, 12]]), array([[ 9,  2,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  1,  0, 13]]), array([[ 8,  3,  0,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  3, 11]]), array([[ 8,  2,  0,  1],
       [ 3,  6,  0,  1],
       [ 1,  0,  7,  1],
       [ 0,  0,  1, 14]]), array([[ 6,  4,  1,  0],
       [ 1,  6,  0,  2],
       [ 1,  0,  6,  3],
       [ 0,  0,  2, 13]]), array([[ 7,  3,  0,  1],
       [ 3,  6,  0,  0],
       [ 0,  1,  8,  1],
       [ 0,  0,  2, 13]]), array([[10,  0,  0,  1],
       [ 5,  4,  0,  0],
       [ 0,  0,  7,  3],
       [ 2,  0,  0, 13]]), array([[10,  1,  0,  0],
       [ 0,  8,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]])]"
0.9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.717391304347826, 0.8043478260869565, 0.8043478260869565, 0.782608695652174, 0.7777777777777778, 0.7333333333333333, 0.7333333333333333, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333]","[0.717391304347826, 0.8043478260869565, 0.8043478260869565, 0.782608695652174, 0.7777777777777778, 0.7333333333333333, 0.7333333333333333, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333]","[0.717391304347826, 0.8043478260869565, 0.8043478260869565, 0.782608695652174, 0.7777777777777778, 0.7333333333333333, 0.7333333333333333, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333]","[0.717391304347826, 0.8043478260869565, 0.8043478260869565, 0.782608695652174, 0.7777777777777778, 0.7333333333333333, 0.7333333333333333, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333]","[0.7160714285714286, 0.8332550125313283, 0.8170454545454546, 0.7917446524064171, 0.7762626262626262, 0.7506302521008403, 0.7370580808080808, 0.8298902894491129, 0.6857142857142857, 0.7499999999999999]","[0.7097222222222223, 0.7902777777777777, 0.8045454545454545, 0.7757575757575758, 0.7711038961038962, 0.7078282828282829, 0.7113636363636363, 0.8045454545454547, 0.6739898989898989, 0.7429292929292929]","[0.7089015151515151, 0.8026960784313726, 0.8078341013824886, 0.77781171679198, 0.7720594589923084, 0.7089635854341736, 0.7144603934077618, 0.8124284897025171, 0.6716666666666666, 0.7429292929292929]","[0.7194616977225673, 0.8197736188296829, 0.8137351778656126, 0.7906155545222041, 0.7789001122334456, 0.758076563958917, 0.746127946127946, 0.8268025728810042, 0.6904761904761905, 0.7432098765432098]","[0.717391304347826, 0.8043478260869565, 0.8043478260869565, 0.782608695652174, 0.7777777777777778, 0.7333333333333333, 0.7333333333333333, 0.8222222222222222, 0.6888888888888889, 0.7333333333333333]","[0.7151679841897234, 0.80306905370844, 0.8061811260268484, 0.7806915386291817, 0.7767695099818512, 0.7275443510737628, 0.730053753913403, 0.8201055174167302, 0.6826666666666666, 0.7349494949494949]","[array([[ 9,  2,  0,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[11,  0,  0,  1],
       [ 1,  7,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  1,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 0,  9,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  3, 12]]), array([[ 7,  2,  1,  1],
       [ 1,  8,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[10,  1,  0,  0],
       [ 5,  5,  0,  0],
       [ 2,  0,  5,  2],
       [ 0,  1,  1, 13]]), array([[ 6,  5,  0,  0],
       [ 1,  6,  0,  2],
       [ 1,  0,  7,  2],
       [ 0,  0,  1, 14]]), array([[ 9,  1,  0,  1],
       [ 3,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[ 9,  2,  0,  0],
       [ 4,  4,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 11]]), array([[ 8,  1,  0,  2],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  4, 10]])]"
