min_child_weight value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[135,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0, 135,   0],
       [  0,   0,   0, 135]]), array([[134,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]])]","[0.7608695652173914, 0.7391304347826086, 0.717391304347826, 0.8043478260869565, 0.8, 0.7111111111111111, 0.6888888888888889, 0.7333333333333333, 0.7555555555555555, 0.7777777777777778]","[0.7608695652173914, 0.7391304347826086, 0.717391304347826, 0.8043478260869565, 0.8, 0.7111111111111111, 0.6888888888888889, 0.7333333333333333, 0.7555555555555555, 0.7777777777777778]","[0.7608695652173914, 0.7391304347826086, 0.717391304347826, 0.8043478260869565, 0.8, 0.7111111111111111, 0.6888888888888889, 0.7333333333333333, 0.7555555555555555, 0.7777777777777778]","[0.7608695652173914, 0.7391304347826086, 0.717391304347826, 0.8043478260869565, 0.8, 0.7111111111111111, 0.6888888888888889, 0.7333333333333333, 0.7555555555555555, 0.7777777777777778]","[0.7964285714285714, 0.76875, 0.7202380952380952, 0.8332004253056885, 0.8073232323232323, 0.6917582417582417, 0.6830808080808081, 0.727056277056277, 0.796875, 0.7816870629370629]","[0.7513888888888889, 0.726388888888889, 0.7007575757575758, 0.7878787878787878, 0.8009740259740259, 0.6979797979797979, 0.6608585858585858, 0.7207070707070706, 0.7388888888888889, 0.7868686868686869]","[0.7552614052614053, 0.7217261904761905, 0.7008467023172906, 0.800520686743597, 0.8034111532750372, 0.6916086912684009, 0.6631446039340776, 0.7198863636363637, 0.7424901860385731, 0.7730304020921869]","[0.7846790890269151, 0.7681159420289856, 0.7217046238785368, 0.8224002034070684, 0.8009876543209876, 0.7122588522588523, 0.6973905723905724, 0.7354497354497355, 0.7847222222222222, 0.7941530691530692]","[0.7608695652173914, 0.7391304347826086, 0.717391304347826, 0.8043478260869565, 0.8, 0.7111111111111111, 0.6888888888888889, 0.7333333333333333, 0.7555555555555555, 0.7777777777777778]","[0.7577205403292361, 0.7284161490683229, 0.7102883050453382, 0.803405572755418, 0.7997580157289775, 0.7086296520355807, 0.6843227597613563, 0.7310606060606061, 0.7482467618668336, 0.7752584359449347]","[array([[11,  0,  0,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[ 7,  4,  0,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  5,  5],
       [ 0,  0,  1, 14]]), array([[ 7,  4,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  5,  5],
       [ 0,  0,  2, 13]]), array([[ 9,  1,  0,  1],
       [ 2,  7,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  0, 14]]), array([[ 9,  1,  0,  1],
       [ 1,  9,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  2, 11]]), array([[ 7,  3,  1,  0],
       [ 6,  4,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  1, 13]]), array([[ 5,  6,  0,  0],
       [ 2,  5,  0,  2],
       [ 1,  0,  7,  2],
       [ 0,  0,  1, 14]]), array([[ 8,  2,  1,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]]), array([[11,  0,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  0,  2, 12]]), array([[ 7,  3,  0,  1],
       [ 1,  7,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  1,  3, 11]])]"
3,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[135,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0, 135,   0],
       [  0,   0,   0, 135]]), array([[134,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]])]","[0.782608695652174, 0.8260869565217391, 0.717391304347826, 0.7608695652173914, 0.7555555555555555, 0.8444444444444444, 0.6888888888888889, 0.7333333333333333, 0.7777777777777778, 0.7777777777777778]","[0.782608695652174, 0.8260869565217391, 0.717391304347826, 0.7608695652173914, 0.7555555555555555, 0.8444444444444444, 0.6888888888888889, 0.7333333333333333, 0.7777777777777778, 0.7777777777777778]","[0.782608695652174, 0.8260869565217391, 0.717391304347826, 0.7608695652173914, 0.7555555555555555, 0.8444444444444444, 0.6888888888888889, 0.7333333333333333, 0.7777777777777778, 0.7777777777777778]","[0.782608695652174, 0.8260869565217391, 0.717391304347826, 0.7608695652173914, 0.7555555555555555, 0.8444444444444444, 0.6888888888888889, 0.7333333333333333, 0.7777777777777778, 0.7777777777777778]","[0.8115842490842491, 0.8402777777777778, 0.7211538461538461, 0.764842796092796, 0.7569444444444444, 0.8551136363636364, 0.6947786690433749, 0.7556485911749069, 0.8250811688311689, 0.7838598901098901]","[0.7902777777777777, 0.8111111111111111, 0.7174242424242425, 0.737878787878788, 0.746103896103896, 0.8323232323232324, 0.6757575757575758, 0.7123737373737373, 0.7633838383838383, 0.7868686868686869]","[0.7942435032483758, 0.8207813428401664, 0.7152691511387164, 0.7411244800950684, 0.7496867167919798, 0.8395780966345483, 0.6791666666666666, 0.7238718453888733, 0.7602136050411912, 0.7731829573934836]","[0.8014811275680841, 0.832427536231884, 0.7342809364548495, 0.7646719222806179, 0.757283950617284, 0.8532828282828283, 0.7011751501947581, 0.7453541260558805, 0.8203102453102452, 0.7946703296703297]","[0.782608695652174, 0.8260869565217391, 0.717391304347826, 0.7608695652173914, 0.7555555555555555, 0.8444444444444444, 0.6888888888888889, 0.7333333333333333, 0.7777777777777778, 0.7777777777777778]","[0.786442376637768, 0.8242785915420187, 0.7218696552344944, 0.7529870314397169, 0.7544305207463101, 0.8453874381293736, 0.6892592592592592, 0.7297557619539042, 0.7704851413663674, 0.7745753272069061]","[array([[11,  0,  0,  1],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  5, 10]]), array([[10,  1,  0,  1],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 14]]), array([[ 7,  4,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  2,  2, 11]]), array([[ 9,  1,  1,  0],
       [ 4,  5,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  0, 14]]), array([[ 8,  3,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[ 9,  2,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  2],
       [ 0,  1,  0, 14]]), array([[ 7,  4,  0,  0],
       [ 1,  6,  0,  2],
       [ 1,  0,  6,  3],
       [ 0,  1,  2, 12]]), array([[ 8,  1,  0,  2],
       [ 3,  5,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[10,  0,  0,  1],
       [ 5,  4,  0,  0],
       [ 0,  0,  9,  1],
       [ 1,  0,  2, 12]]), array([[ 7,  2,  1,  1],
       [ 1,  7,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  1,  3, 11]])]"
5,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[135,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0, 135,   0],
       [  0,   0,   0, 135]]), array([[134,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]])]","[0.782608695652174, 0.8043478260869565, 0.717391304347826, 0.8695652173913043, 0.7777777777777778, 0.8444444444444444, 0.6888888888888889, 0.7555555555555555, 0.7111111111111111, 0.7555555555555555]","[0.782608695652174, 0.8043478260869565, 0.717391304347826, 0.8695652173913043, 0.7777777777777778, 0.8444444444444444, 0.6888888888888889, 0.7555555555555555, 0.7111111111111111, 0.7555555555555555]","[0.782608695652174, 0.8043478260869565, 0.717391304347826, 0.8695652173913043, 0.7777777777777778, 0.8444444444444444, 0.6888888888888889, 0.7555555555555555, 0.7111111111111111, 0.7555555555555555]","[0.782608695652174, 0.8043478260869565, 0.717391304347826, 0.8695652173913043, 0.7777777777777778, 0.8444444444444444, 0.6888888888888889, 0.7555555555555555, 0.7111111111111111, 0.7555555555555555]","[0.8115384615384615, 0.8244949494949495, 0.7159090909090909, 0.8803696303696305, 0.7753968253968254, 0.8499465811965812, 0.6819444444444445, 0.7655812324929971, 0.7124999999999999, 0.7630681818181818]","[0.7791666666666667, 0.7972222222222223, 0.7068181818181818, 0.875, 0.7733766233766234, 0.8411616161616161, 0.672979797979798, 0.7328282828282828, 0.7068181818181818, 0.7535353535353535]","[0.7851515151515152, 0.8075498558066871, 0.7086999022482894, 0.872571154898741, 0.7711038961038962, 0.8416666666666667, 0.6751273344651952, 0.7364583333333333, 0.7087169650468883, 0.7524456302045437]","[0.8004459308807135, 0.8132411067193676, 0.7198616600790513, 0.8771011597098552, 0.782716049382716, 0.8491452991452991, 0.6956790123456791, 0.7628384687208217, 0.7129629629629629, 0.7655050505050506]","[0.782608695652174, 0.8043478260869565, 0.717391304347826, 0.8695652173913043, 0.7777777777777778, 0.8444444444444444, 0.6888888888888889, 0.7555555555555555, 0.7111111111111111, 0.7555555555555555]","[0.7833201581027668, 0.8052030899099087, 0.7162225338943431, 0.868640084719545, 0.7771717171717171, 0.8432098765432099, 0.6899943406904357, 0.7478703703703704, 0.7112247797669792, 0.7548620655581607]","[array([[11,  0,  0,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[10,  0,  1,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  0,  2, 13]]), array([[ 8,  3,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  1,  2, 12]]), array([[11,  0,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  2, 12]]), array([[ 7,  4,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 12]]), array([[10,  0,  0,  1],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  1, 13]]), array([[ 7,  4,  0,  0],
       [ 1,  5,  1,  2],
       [ 1,  0,  7,  2],
       [ 0,  1,  2, 12]]), array([[10,  1,  0,  0],
       [ 3,  5,  0,  1],
       [ 1,  0,  6,  3],
       [ 0,  0,  2, 13]]), array([[ 8,  2,  0,  1],
       [ 3,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 11]]), array([[ 7,  3,  0,  1],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]])]"
