min_samples_leaf value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
5,"[0.8431372549019608, 0.8553921568627451, 0.8553921568627451, 0.8333333333333334, 0.8728606356968215, 0.8508557457212714, 0.8484107579462102, 0.8312958435207825, 0.8704156479217604, 0.843520782396088]","[0.8431372549019608, 0.8553921568627451, 0.8553921568627451, 0.8333333333333334, 0.8728606356968215, 0.8508557457212714, 0.8484107579462102, 0.8312958435207825, 0.8704156479217604, 0.843520782396088]","[0.8431372549019608, 0.8553921568627451, 0.8553921568627451, 0.8333333333333334, 0.8728606356968215, 0.8508557457212714, 0.8484107579462102, 0.8312958435207825, 0.8704156479217604, 0.843520782396088]","[0.8431372549019608, 0.8553921568627451, 0.8553921568627451, 0.8333333333333334, 0.8728606356968215, 0.8508557457212714, 0.8484107579462102, 0.8312958435207825, 0.8704156479217604, 0.843520782396088]","[0.8442830259844463, 0.8564343438563312, 0.8540854731934435, 0.8299711596842745, 0.8703437962746473, 0.8552396009820015, 0.8443647962179939, 0.8268805055376582, 0.8656067692055054, 0.840786597316448]","[0.8448595752236834, 0.8538077211431276, 0.8536967376932226, 0.8335734742289063, 0.8718679826784177, 0.8438947412864953, 0.8500456122794117, 0.8301991405747988, 0.8740079207139425, 0.843565142685856]","[0.8420372663644264, 0.8531606819532516, 0.8532365633959174, 0.8290321575521528, 0.8706547960287094, 0.8474014628353591, 0.8444138010455566, 0.8266974354968768, 0.8686412731812623, 0.8405329310853498]","[0.8461567828251438, 0.8579207719167147, 0.8560321639140637, 0.8387611313499291, 0.8738206997531764, 0.8538231961176234, 0.8527063579446021, 0.8337262371514088, 0.8736390724197864, 0.8446383146872145]","[0.8431372549019608, 0.8553921568627451, 0.8553921568627451, 0.8333333333333334, 0.8728606356968215, 0.8508557457212714, 0.8484107579462102, 0.8312958435207825, 0.8704156479217604, 0.843520782396088]","[0.8422618130274376, 0.854765460074147, 0.85507582224669, 0.8334567186655004, 0.8729090085036131, 0.8504739615339356, 0.8479549917693072, 0.8308022007647888, 0.8707628993706482, 0.8425397231738925]","[array([[ 74,  10,   6,  10],
       [  5,  75,   0,   5],
       [  1,   2,  80,   6],
       [  3,   7,   9, 115]]), array([[ 77,  12,   6,   5],
       [  6,  72,   0,   7],
       [  0,   0,  81,   8],
       [  2,   2,  11, 119]]), array([[ 81,   9,   6,   5],
       [  8,  70,   0,   6],
       [  0,   1,  80,   8],
       [  3,   5,   8, 118]]), array([[ 80,   9,   9,   3],
       [ 16,  65,   0,   3],
       [  1,   1,  83,   4],
       [  3,   3,  16, 112]]), array([[ 89,   6,   4,   2],
       [ 11,  70,   0,   3],
       [  1,   1,  80,   7],
       [  4,   3,  10, 118]]), array([[ 86,   4,   7,   4],
       [ 11,  64,   0,   9],
       [  3,   1,  78,   8],
       [  1,   1,  12, 120]]), array([[ 75,  15,   6,   5],
       [  9,  74,   0,   2],
       [  1,   1,  82,   5],
       [  1,   6,  11, 116]]), array([[ 76,  14,   7,   4],
       [ 10,  68,   0,   7],
       [  1,   2,  81,   5],
       [  2,   3,  14, 115]]), array([[ 85,  11,   4,   1],
       [  8,  75,   0,   2],
       [  3,   0,  82,   4],
       [  5,   4,  11, 114]]), array([[ 76,  12,   5,   8],
       [  9,  70,   0,   6],
       [  0,   2,  83,   4],
       [  3,   4,  11, 116]])]","[0.717391304347826, 0.7608695652173914, 0.5869565217391305, 0.6521739130434783, 0.6444444444444445, 0.7333333333333333, 0.6888888888888889, 0.6, 0.7333333333333333, 0.6]","[0.717391304347826, 0.7608695652173914, 0.5869565217391305, 0.6521739130434783, 0.6444444444444445, 0.7333333333333333, 0.6888888888888889, 0.6, 0.7333333333333333, 0.6]","[0.717391304347826, 0.7608695652173914, 0.5869565217391305, 0.6521739130434783, 0.6444444444444445, 0.7333333333333333, 0.6888888888888889, 0.6, 0.7333333333333333, 0.6]","[0.717391304347826, 0.7608695652173914, 0.5869565217391305, 0.6521739130434783, 0.6444444444444445, 0.7333333333333333, 0.6888888888888889, 0.6, 0.7333333333333333, 0.6]","[0.7351034382284383, 0.7566964285714286, 0.571875, 0.6339285714285714, 0.6348039215686275, 0.7458964646464646, 0.6755681818181818, 0.5535923141186299, 0.7272727272727273, 0.5951704545454546]","[0.7097222222222223, 0.7416666666666667, 0.571969696969697, 0.6492424242424243, 0.6279220779220779, 0.7275252525252526, 0.6752525252525252, 0.5631313131313131, 0.7229797979797981, 0.6047979797979798]","[0.7145622119815669, 0.7451223665644918, 0.5714669738863287, 0.6358274212176209, 0.6231071324449933, 0.7305094286518434, 0.6739405439595192, 0.5536764705882353, 0.7205988455988456, 0.585042735042735]","[0.7259330343569473, 0.7610636645962733, 0.5828804347826086, 0.6475155279503105, 0.6409041394335513, 0.7349326599326599, 0.6832828282828284, 0.5716327856678733, 0.7616161616161616, 0.6174803591470258]","[0.717391304347826, 0.7608695652173914, 0.5869565217391305, 0.6521739130434783, 0.6444444444444445, 0.7333333333333333, 0.6888888888888889, 0.6, 0.7333333333333333, 0.6]","[0.7153088893341348, 0.7571961355477568, 0.5844186201829961, 0.6445054984469488, 0.6343861173515954, 0.7276646756522918, 0.6847062839472706, 0.5804575163398692, 0.7423280423280422, 0.5935042735042736]","[array([[ 9,  1,  0,  2],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  3, 11]]), array([[10,  0,  1,  1],
       [ 3,  6,  0,  0],
       [ 1,  1,  6,  2],
       [ 0,  1,  1, 13]]), array([[ 5,  5,  0,  1],
       [ 4,  5,  0,  1],
       [ 1,  0,  6,  3],
       [ 0,  0,  4, 11]]), array([[ 4,  5,  0,  2],
       [ 4,  5,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  2,  2, 11]]), array([[ 5,  4,  2,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  5,  5],
       [ 0,  1,  1, 12]]), array([[ 5,  2,  0,  4],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  2,  0, 13]]), array([[ 6,  3,  1,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  2, 12]]), array([[ 4,  5,  1,  1],
       [ 4,  2,  0,  3],
       [ 0,  0,  8,  2],
       [ 1,  0,  1, 13]]), array([[ 7,  4,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  1,  9,  0],
       [ 0,  1,  2, 12]]), array([[4, 3, 3, 1],
       [3, 5, 0, 1],
       [1, 0, 9, 0],
       [1, 1, 4, 9]])]"
10,"[0.8235294117647058, 0.8161764705882353, 0.7916666666666666, 0.8235294117647058, 0.8190709046454768, 0.8117359413202934, 0.8337408312958435, 0.8264058679706602, 0.8215158924205379, 0.8264058679706602]","[0.8235294117647058, 0.8161764705882353, 0.7916666666666666, 0.8235294117647058, 0.8190709046454768, 0.8117359413202934, 0.8337408312958435, 0.8264058679706602, 0.8215158924205379, 0.8264058679706602]","[0.8235294117647058, 0.8161764705882353, 0.7916666666666666, 0.8235294117647058, 0.8190709046454768, 0.8117359413202934, 0.8337408312958435, 0.8264058679706602, 0.8215158924205379, 0.8264058679706602]","[0.8235294117647058, 0.8161764705882353, 0.7916666666666666, 0.8235294117647058, 0.8190709046454768, 0.8117359413202934, 0.8337408312958435, 0.8264058679706602, 0.8215158924205379, 0.8264058679706602]","[0.8164639894176071, 0.8111448967972421, 0.7884667660097757, 0.8174641666025785, 0.8168727389830666, 0.8259545103457218, 0.8262573462515697, 0.8206411123246823, 0.8227586842170176, 0.8229139993681913]","[0.8228468447583628, 0.8179778240325142, 0.7914857616783935, 0.8241734270813343, 0.8149091467466705, 0.7983782759939106, 0.8323985534558822, 0.8252486455252939, 0.8125150718305496, 0.8325128039137875]","[0.8184786747306491, 0.8129952540926785, 0.7866806659288597, 0.8183697902986397, 0.814687363212748, 0.8044766553152037, 0.8281604201072452, 0.8212366112113464, 0.8166235596042528, 0.8249088383115455]","[0.8261610400400452, 0.821193296878161, 0.7916204285245427, 0.8275459552038001, 0.8202676485999015, 0.8209001121341931, 0.8350858309171555, 0.8281079662110922, 0.8229763079294456, 0.8297638698689209]","[0.8235294117647058, 0.8161764705882353, 0.7916666666666666, 0.8235294117647058, 0.8190709046454768, 0.8117359413202934, 0.8337408312958435, 0.8264058679706602, 0.8215158924205379, 0.8264058679706602]","[0.8237190963389315, 0.8169266991355457, 0.7886984595674802, 0.8231951789994657, 0.8185001122622667, 0.8096729609821541, 0.8333113729494102, 0.8256733928300296, 0.8212592056802858, 0.8254070466715651]","[array([[ 73,  17,   6,   4],
       [ 14,  69,   0,   2],
       [  1,   2,  80,   6],
       [  5,   6,   9, 114]]), array([[ 82,  13,   5,   0],
       [ 15,  67,   0,   3],
       [  3,   1,  77,   8],
       [  5,   5,  17, 107]]), array([[ 69,  11,   6,  15],
       [ 18,  60,   0,   6],
       [  0,   1,  85,   3],
       [  2,   5,  18, 109]]), array([[ 75,  14,   8,   4],
       [ 15,  66,   0,   3],
       [  1,   1,  83,   4],
       [  3,   3,  16, 112]]), array([[ 74,  16,   4,   7],
       [ 12,  69,   0,   3],
       [  2,   0,  74,  13],
       [  1,   6,  10, 118]]), array([[ 86,   2,   6,   7],
       [ 24,  54,   0,   6],
       [  1,   1,  73,  15],
       [  2,   1,  12, 119]]), array([[ 75,  15,   6,   5],
       [ 15,  68,   0,   2],
       [  1,   1,  82,   5],
       [  2,   5,  11, 116]]), array([[ 74,  14,   7,   6],
       [ 14,  68,   0,   3],
       [  0,   2,  81,   6],
       [  2,   3,  14, 115]]), array([[ 80,  11,   4,   6],
       [ 18,  65,   0,   2],
       [  2,   1,  71,  15],
       [  5,   4,   5, 120]]), array([[ 74,  16,   5,   6],
       [  6,  73,   0,   6],
       [  1,   2,  83,   3],
       [  8,   4,  14, 108]])]","[0.6956521739130435, 0.7391304347826086, 0.6521739130434783, 0.6521739130434783, 0.6888888888888889, 0.8, 0.7111111111111111, 0.6222222222222222, 0.6222222222222222, 0.6]","[0.6956521739130435, 0.7391304347826086, 0.6521739130434783, 0.6521739130434783, 0.6888888888888889, 0.8, 0.7111111111111111, 0.6222222222222222, 0.6222222222222222, 0.6]","[0.6956521739130435, 0.7391304347826086, 0.6521739130434783, 0.6521739130434783, 0.6888888888888889, 0.8, 0.7111111111111111, 0.6222222222222222, 0.6222222222222222, 0.6]","[0.6956521739130435, 0.7391304347826086, 0.6521739130434783, 0.6521739130434783, 0.6888888888888889, 0.8, 0.7111111111111111, 0.6222222222222222, 0.6222222222222222, 0.6]","[0.685064935064935, 0.7416666666666667, 0.66875, 0.6339285714285714, 0.7017682072829132, 0.8072916666666666, 0.7069805194805194, 0.5842490842490843, 0.6037289915966386, 0.6105113636363637]","[0.6888888888888889, 0.7250000000000001, 0.6484848484848484, 0.6492424242424243, 0.6779220779220779, 0.7934343434343435, 0.697979797979798, 0.5858585858585859, 0.6017676767676767, 0.6108585858585859]","[0.6856233537366654, 0.728322440087146, 0.6547968160871386, 0.6358274212176209, 0.6669960995150749, 0.7985184477570464, 0.6993654866638737, 0.5833333333333334, 0.5926838235294117, 0.5937721102426985]","[0.7018633540372671, 0.7445652173913043, 0.6668478260869566, 0.6475155279503105, 0.7050575785869904, 0.8023148148148148, 0.7100288600288601, 0.6178266178266179, 0.6089402427637722, 0.6277777777777778]","[0.6956521739130435, 0.7391304347826086, 0.6521739130434783, 0.6521739130434783, 0.6888888888888889, 0.8, 0.7111111111111111, 0.6222222222222222, 0.6222222222222222, 0.6]","[0.6974570903498887, 0.7371412333049162, 0.6560779099348524, 0.6445054984469488, 0.6747745215170895, 0.7994604116098347, 0.7079322409967571, 0.6185185185185186, 0.6061470588235294, 0.5959376571141277]","[array([[ 8,  4,  0,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  3, 11]]), array([[10,  0,  1,  1],
       [ 3,  6,  0,  0],
       [ 1,  1,  6,  2],
       [ 1,  1,  1, 12]]), array([[ 8,  2,  1,  0],
       [ 1,  6,  0,  3],
       [ 1,  0,  6,  3],
       [ 0,  0,  5, 10]]), array([[ 4,  5,  0,  2],
       [ 4,  5,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  2,  2, 11]]), array([[ 5,  4,  2,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  5,  5],
       [ 0,  1,  1, 12]]), array([[ 9,  1,  0,  1],
       [ 3,  6,  0,  1],
       [ 0,  0,  8,  1],
       [ 0,  2,  0, 13]]), array([[ 7,  2,  1,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  2, 12]]), array([[ 5,  5,  1,  0],
       [ 7,  2,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 4,  5,  0,  0],
       [ 1,  0,  3,  6],
       [ 0,  1,  3, 11]]), array([[5, 2, 3, 1],
       [3, 5, 0, 1],
       [1, 0, 9, 0],
       [2, 1, 4, 8]])]"
15,"[0.8063725490196079, 0.7892156862745098, 0.7769607843137255, 0.7892156862745098, 0.7897310513447433, 0.7872860635696821, 0.8019559902200489, 0.8190709046454768, 0.7921760391198044, 0.7775061124694377]","[0.8063725490196079, 0.7892156862745098, 0.7769607843137255, 0.7892156862745098, 0.7897310513447433, 0.7872860635696821, 0.8019559902200489, 0.8190709046454768, 0.7921760391198044, 0.7775061124694377]","[0.8063725490196079, 0.7892156862745098, 0.7769607843137255, 0.7892156862745098, 0.7897310513447433, 0.7872860635696821, 0.8019559902200489, 0.8190709046454768, 0.7921760391198044, 0.7775061124694377]","[0.8063725490196079, 0.7892156862745098, 0.7769607843137255, 0.7892156862745098, 0.7897310513447433, 0.7872860635696821, 0.8019559902200489, 0.8190709046454768, 0.7921760391198044, 0.7775061124694377]","[0.8007394191898358, 0.7829565901934323, 0.7761061762989089, 0.7854838455883838, 0.784774511835682, 0.7834075525361199, 0.802131250466254, 0.8124752304678866, 0.7991302571600585, 0.7803457921413817]","[0.8011221404543706, 0.7868101330755344, 0.7730288719380072, 0.7882442277432505, 0.7837033475953268, 0.7817917426070965, 0.7887327438833396, 0.8159477279371109, 0.7818157931003564, 0.7674476296314166]","[0.8004582121310063, 0.7841264845356499, 0.7717129162538592, 0.7821601836522114, 0.7818166729736369, 0.7825188780388168, 0.7919491278701805, 0.8130810446733017, 0.7868394393702998, 0.769973692999092]","[0.8049356488738553, 0.78957429238002, 0.7772999103141991, 0.7952086341679266, 0.7915021867968859, 0.78696667683436, 0.8042293183493755, 0.8191831504445786, 0.7967311457628659, 0.781606836563064]","[0.8063725490196079, 0.7892156862745098, 0.7769607843137255, 0.7892156862745098, 0.7897310513447433, 0.7872860635696821, 0.8019559902200489, 0.8190709046454768, 0.7921760391198044, 0.7775061124694377]","[0.8051867334414913, 0.7887006296496526, 0.7742479433290993, 0.7878725503923343, 0.7883272241508896, 0.7870540405655023, 0.8000023997411719, 0.818081311004781, 0.7909645549983487, 0.7761074623587929]","[array([[ 71,  13,   6,  10],
       [ 17,  63,   0,   5],
       [  2,   1,  79,   7],
       [  2,   8,   8, 116]]), array([[ 72,  17,   5,   6],
       [ 19,  63,   0,   3],
       [  1,   0,  77,  11],
       [  3,   4,  17, 110]]), array([[ 64,  16,   6,  15],
       [ 15,  63,   0,   6],
       [  0,   1,  77,  11],
       [  2,   5,  14, 113]]), array([[ 64,  25,   7,   5],
       [ 12,  70,   0,   2],
       [  0,   2,  75,  12],
       [  3,   5,  13, 113]]), array([[ 65,  25,   4,   7],
       [ 15,  66,   0,   3],
       [  1,   1,  74,  13],
       [  3,   4,  10, 118]]), array([[ 73,  16,   6,   6],
       [ 19,  63,   0,   2],
       [  1,   1,  73,  15],
       [  8,   1,  12, 113]]), array([[ 82,   8,   4,   7],
       [ 30,  53,   0,   2],
       [  1,   1,  74,  13],
       [  2,   5,   8, 119]]), array([[ 73,  15,   6,   7],
       [ 16,  66,   0,   3],
       [  0,   2,  80,   7],
       [  2,   3,  13, 116]]), array([[ 75,  16,   4,   6],
       [ 15,  68,   0,   2],
       [  2,   1,  62,  24],
       [  8,   3,   4, 119]]), array([[ 81,   9,   5,   6],
       [ 27,  52,   0,   6],
       [  2,   1,  73,  13],
       [  8,   4,  10, 112]])]","[0.6304347826086957, 0.7608695652173914, 0.6956521739130435, 0.6739130434782609, 0.6666666666666666, 0.8444444444444444, 0.7555555555555555, 0.7333333333333333, 0.7333333333333333, 0.6666666666666666]","[0.6304347826086957, 0.7608695652173914, 0.6956521739130435, 0.6739130434782609, 0.6666666666666666, 0.8444444444444444, 0.7555555555555555, 0.7333333333333333, 0.7333333333333333, 0.6666666666666666]","[0.6304347826086957, 0.7608695652173914, 0.6956521739130435, 0.6739130434782609, 0.6666666666666666, 0.8444444444444444, 0.7555555555555555, 0.7333333333333333, 0.7333333333333333, 0.6666666666666666]","[0.6304347826086957, 0.7608695652173914, 0.6956521739130435, 0.6739130434782609, 0.6666666666666666, 0.8444444444444444, 0.7555555555555555, 0.7333333333333333, 0.7333333333333333, 0.6666666666666666]","[0.6256535947712418, 0.7584841628959276, 0.7216089466089466, 0.6799428104575164, 0.6827205882352941, 0.8650793650793651, 0.7661764705882352, 0.7187500000000001, 0.755874060150376, 0.6919372294372295]","[0.6222222222222222, 0.7416666666666667, 0.6878787878787879, 0.6636363636363636, 0.6551948051948052, 0.8457070707070707, 0.7373737373737373, 0.7146464646464648, 0.7133838383838385, 0.6840909090909091]","[0.6221275252525252, 0.7462622549019607, 0.6976827094474153, 0.665968899521531, 0.637437275985663, 0.8469320486815416, 0.7437047101449274, 0.7158994032395567, 0.7042016806722688, 0.6735200668896321]","[0.6283887468030691, 0.7598121188274641, 0.7116977225672878, 0.6815679170218812, 0.6873856209150327, 0.8696649029982363, 0.762309368191721, 0.7342592592592594, 0.7443400167084377, 0.6897787397787398]","[0.6304347826086957, 0.7608695652173914, 0.6956521739130435, 0.6739130434782609, 0.6666666666666666, 0.8444444444444444, 0.7555555555555555, 0.7333333333333333, 0.7333333333333333, 0.6666666666666666]","[0.6273468379446641, 0.7566762574595056, 0.6969309462915602, 0.6720667776159767, 0.6465392273994424, 0.849308091052513, 0.7519927536231884, 0.733105996021597, 0.7104014939309056, 0.6639204756596061]","[array([[ 6,  4,  0,  2],
       [ 3,  5,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 11]]), array([[10,  0,  1,  1],
       [ 3,  6,  0,  0],
       [ 0,  1,  6,  3],
       [ 0,  1,  1, 13]]), array([[ 9,  1,  0,  1],
       [ 1,  6,  0,  3],
       [ 1,  0,  6,  3],
       [ 0,  0,  4, 11]]), array([[ 5,  4,  0,  2],
       [ 3,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  2,  1, 12]]), array([[ 4,  5,  2,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  5,  5],
       [ 0,  1,  1, 12]]), array([[ 8,  3,  0,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  2,  0, 13]]), array([[ 8,  1,  1,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  1, 13]]), array([[ 7,  3,  1,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  1, 13]]), array([[10,  1,  0,  0],
       [ 2,  7,  0,  0],
       [ 1,  0,  3,  6],
       [ 1,  0,  1, 13]]), array([[7, 0, 2, 2],
       [2, 6, 0, 1],
       [1, 0, 9, 0],
       [2, 1, 4, 8]])]"
20,"[0.7892156862745098, 0.7720588235294118, 0.7671568627450981, 0.7696078431372549, 0.7628361858190709, 0.7579462102689487, 0.7677261613691931, 0.7628361858190709, 0.7726161369193154, 0.7750611246943765]","[0.7892156862745098, 0.7720588235294118, 0.7671568627450981, 0.7696078431372549, 0.7628361858190709, 0.7579462102689487, 0.7677261613691931, 0.7628361858190709, 0.7726161369193154, 0.7750611246943765]","[0.7892156862745098, 0.7720588235294118, 0.7671568627450981, 0.7696078431372549, 0.7628361858190709, 0.7579462102689487, 0.7677261613691931, 0.7628361858190709, 0.7726161369193154, 0.7750611246943765]","[0.7892156862745098, 0.7720588235294118, 0.7671568627450981, 0.7696078431372549, 0.7628361858190709, 0.7579462102689487, 0.7677261613691931, 0.7628361858190709, 0.7726161369193154, 0.7750611246943765]","[0.7913202679008894, 0.7688894251394252, 0.7657225510955862, 0.7861101267816364, 0.7663837468564466, 0.7548899437223238, 0.7668014175367116, 0.7636224282963413, 0.7787761686663922, 0.7775476340401247]","[0.7758946345601798, 0.7676837063854555, 0.7581184523246172, 0.7618390276894536, 0.7497191231964287, 0.7565595232231113, 0.7609004264406277, 0.7659353823437113, 0.7641478376019232, 0.7619015842306922]","[0.7809706377411497, 0.7658104872104317, 0.7594684990320664, 0.7606598015855383, 0.7549539354197634, 0.7517880948481962, 0.7606210230617769, 0.7584949844398091, 0.7695766854768347, 0.7673473132809503]","[0.790734847136236, 0.7755267084311201, 0.7658956073812698, 0.786373772676249, 0.7638012581195663, 0.7606113869496001, 0.7678955630559254, 0.7673412994291063, 0.774782724337169, 0.7754784439007689]","[0.7892156862745098, 0.7720588235294118, 0.7671568627450981, 0.7696078431372549, 0.7628361858190709, 0.7579462102689487, 0.7677261613691931, 0.7628361858190709, 0.7726161369193154, 0.7750611246943765]","[0.787486442038974, 0.7715407299774222, 0.764321555774285, 0.7646109419926644, 0.7597953142580197, 0.7555603629012702, 0.7650396802964329, 0.7592733130236802, 0.7718616273120775, 0.7726834461768836]","[array([[ 76,   8,   5,  11],
       [ 26,  54,   0,   5],
       [  2,   1,  73,  13],
       [  3,   7,   5, 119]]), array([[ 76,  13,   5,   6],
       [ 28,  55,   0,   2],
       [  1,   0,  77,  11],
       [  6,   4,  17, 107]]), array([[ 70,  10,   6,  15],
       [ 25,  53,   0,   6],
       [  0,   1,  77,  11],
       [  2,   5,  14, 113]]), array([[ 56,  25,   6,  14],
       [  7,  70,   0,   7],
       [  0,   2,  68,  19],
       [  0,   5,   9, 120]]), array([[ 64,  17,   4,  16],
       [ 18,  57,   0,   9],
       [  2,   0,  71,  16],
       [  2,   4,   9, 120]]), array([[ 63,  19,   7,  12],
       [ 16,  61,   0,   7],
       [  1,   1,  79,   9],
       [  0,   6,  21, 107]]), array([[ 73,   9,   6,  13],
       [ 24,  53,   0,   8],
       [  1,   1,  78,   9],
       [  1,   5,  18, 110]]), array([[ 62,  17,   7,  15],
       [ 13,  63,   0,   9],
       [  0,   2,  83,   4],
       [  3,   2,  25, 104]]), array([[ 74,  10,   4,  13],
       [ 19,  59,   0,   7],
       [  3,   0,  70,  16],
       [  5,   3,  13, 113]]), array([[ 71,  12,   5,  13],
       [ 21,  56,   0,   8],
       [  0,   2,  71,  16],
       [  2,   4,   9, 119]])]","[0.6956521739130435, 0.6521739130434783, 0.6739130434782609, 0.6956521739130435, 0.6222222222222222, 0.7777777777777778, 0.7111111111111111, 0.6222222222222222, 0.7111111111111111, 0.7111111111111111]","[0.6956521739130435, 0.6521739130434783, 0.6739130434782609, 0.6956521739130435, 0.6222222222222222, 0.7777777777777778, 0.7111111111111111, 0.6222222222222222, 0.7111111111111111, 0.7111111111111111]","[0.6956521739130435, 0.6521739130434783, 0.6739130434782609, 0.6956521739130435, 0.6222222222222222, 0.7777777777777778, 0.7111111111111111, 0.6222222222222222, 0.7111111111111111, 0.7111111111111111]","[0.6956521739130435, 0.6521739130434783, 0.6739130434782609, 0.6956521739130435, 0.6222222222222222, 0.7777777777777778, 0.7111111111111111, 0.6222222222222222, 0.7111111111111111, 0.7111111111111111]","[0.7181749622926094, 0.6400401069518716, 0.6986111111111112, 0.7050420168067227, 0.6079731134878193, 0.7976190476190477, 0.7238344988344989, 0.5415337586390218, 0.7639705882352942, 0.7242521367521367]","[0.6847222222222222, 0.6305555555555555, 0.662878787878788, 0.6886363636363637, 0.6029220779220779, 0.7886363636363636, 0.7063131313131313, 0.577020202020202, 0.6934343434343435, 0.7174242424242424]","[0.6935416666666667, 0.6318053966437833, 0.6685688405797101, 0.6877525252525253, 0.6002944188428059, 0.7707974805167075, 0.7047430830039526, 0.5535014005602241, 0.7058150183150182, 0.7100420168067227]","[0.706816840448554, 0.6525226691467101, 0.6902173913043479, 0.705334307636098, 0.6155113223740675, 0.8027513227513227, 0.7205128205128204, 0.5694075255478763, 0.7486274509803922, 0.7298670465337133]","[0.6956521739130435, 0.6521739130434783, 0.6739130434782609, 0.6956521739130435, 0.6222222222222222, 0.7777777777777778, 0.7111111111111111, 0.6222222222222222, 0.7111111111111111, 0.7111111111111111]","[0.6946195652173913, 0.6489538768945046, 0.6708412098298677, 0.6916447079490559, 0.6135233543835694, 0.769126602849246, 0.7072463768115942, 0.5894304388422035, 0.7102360602360602, 0.7103828197945845]","[array([[ 9,  1,  0,  2],
       [ 3,  5,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 11]]), array([[ 6,  4,  1,  1],
       [ 4,  5,  0,  0],
       [ 0,  1,  6,  3],
       [ 1,  0,  1, 13]]), array([[ 9,  1,  0,  1],
       [ 2,  5,  0,  3],
       [ 1,  0,  6,  3],
       [ 0,  0,  4, 11]]), array([[ 5,  4,  0,  2],
       [ 2,  6,  0,  2],
       [ 0,  0,  9,  1],
       [ 0,  2,  1, 12]]), array([[ 5,  4,  2,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  5,  5],
       [ 0,  1,  1, 12]]), array([[ 5,  4,  0,  2],
       [ 1,  9,  0,  0],
       [ 0,  0,  9,  0],
       [ 0,  2,  1, 12]]), array([[ 7,  1,  1,  2],
       [ 3,  5,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  3, 11]]), array([[ 4,  5,  1,  1],
       [ 5,  1,  0,  3],
       [ 0,  0,  9,  1],
       [ 0,  0,  1, 14]]), array([[ 9,  0,  0,  2],
       [ 4,  5,  0,  0],
       [ 1,  0,  6,  3],
       [ 1,  0,  2, 12]]), array([[ 7,  0,  2,  2],
       [ 2,  6,  0,  1],
       [ 0,  1,  9,  0],
       [ 0,  1,  4, 10]])]"
