metric value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
euclidean,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.6956521739130435, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.6444444444444445, 0.7777777777777778, 0.7555555555555555, 0.8, 0.8, 0.8]","[0.6956521739130435, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.6444444444444445, 0.7777777777777778, 0.7555555555555555, 0.8, 0.8, 0.8]","[0.6956521739130435, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.6444444444444445, 0.7777777777777778, 0.7555555555555555, 0.8, 0.8, 0.8]","[0.6956521739130435, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.6444444444444445, 0.7777777777777778, 0.7555555555555555, 0.8, 0.8, 0.8]","[0.759090909090909, 0.8248355263157895, 0.78125, 0.834375, 0.6280075187969925, 0.7888188608776845, 0.7592105263157894, 0.8499795751633987, 0.8309027777777778, 0.8438693659281895]","[0.6638888888888889, 0.7208333333333333, 0.7022727272727273, 0.7689393939393939, 0.6237012987012986, 0.7601010101010102, 0.7212121212121212, 0.7666666666666666, 0.7805555555555556, 0.7712121212121212]","[0.6409090909090909, 0.7217553688141922, 0.6941137566137566, 0.7627197473971667, 0.5797619047619047, 0.7543055555555556, 0.7169191422388352, 0.7579800194931774, 0.7839978357805183, 0.7618452380952381]","[0.7470355731225296, 0.805491990846682, 0.7744565217391305, 0.8274456521739131, 0.6397660818713451, 0.7872082166199814, 0.7567251461988305, 0.8400962236746551, 0.8229320987654322, 0.8336728630846277]","[0.6956521739130435, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.6444444444444445, 0.7777777777777778, 0.7555555555555555, 0.8, 0.8, 0.8]","[0.6638998682476943, 0.7404193561482565, 0.7128479411088107, 0.7705017179070474, 0.6, 0.7639629629629628, 0.7358996218331256, 0.7779781243231535, 0.7930073322263476, 0.7793068783068782]","[array([[12,  0,  0,  0],
       [ 6,  2,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  4, 11]]), array([[11,  0,  0,  1],
       [ 5,  3,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 14]]), array([[10,  1,  0,  0],
       [ 6,  3,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  0, 15]]), array([[10,  0,  0,  1],
       [ 5,  4,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  1, 13]]), array([[10,  1,  0,  0],
       [ 9,  1,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  3, 11]]), array([[ 9,  1,  0,  1],
       [ 5,  4,  0,  1],
       [ 0,  0,  8,  1],
       [ 0,  0,  1, 14]]), array([[ 9,  1,  1,  0],
       [ 3,  3,  0,  3],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[11,  0,  0,  0],
       [ 5,  3,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[11,  0,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[ 9,  0,  0,  2],
       [ 5,  3,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  0,  1, 14]])]"
manhattan,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.6956521739130435, 0.7608695652173914, 0.6956521739130435, 0.6956521739130435, 0.6444444444444445, 0.8666666666666667, 0.7111111111111111, 0.7777777777777778, 0.7333333333333333, 0.6888888888888889]","[0.6956521739130435, 0.7608695652173914, 0.6956521739130435, 0.6956521739130435, 0.6444444444444445, 0.8666666666666667, 0.7111111111111111, 0.7777777777777778, 0.7333333333333333, 0.6888888888888889]","[0.6956521739130435, 0.7608695652173914, 0.6956521739130435, 0.6956521739130435, 0.6444444444444445, 0.8666666666666667, 0.7111111111111111, 0.7777777777777778, 0.7333333333333333, 0.6888888888888889]","[0.6956521739130435, 0.7608695652173914, 0.6956521739130435, 0.6956521739130435, 0.6444444444444445, 0.8666666666666667, 0.7111111111111111, 0.7777777777777778, 0.7333333333333333, 0.6888888888888889]","[0.759090909090909, 0.8504464285714286, 0.742296918767507, 0.7881161236424394, 0.625, 0.8916666666666666, 0.7791666666666666, 0.8571428571428572, 0.8003472222222222, 0.753030303030303]","[0.6638888888888889, 0.7097222222222221, 0.6522727272727273, 0.6666666666666666, 0.6188311688311688, 0.8583333333333334, 0.6661616161616162, 0.7356060606060606, 0.6972222222222222, 0.6530303030303031]","[0.6409090909090909, 0.7015533486121721, 0.6304945054945055, 0.6406355645706558, 0.578735632183908, 0.8483805668016193, 0.6498834498834498, 0.7392156862745098, 0.6744522089935122, 0.6558080808080808]","[0.7470355731225296, 0.8253105590062112, 0.7359030568749239, 0.7729741019214703, 0.6377777777777779, 0.8925925925925925, 0.7629629629629628, 0.8349206349206348, 0.7930555555555555, 0.7333333333333333]","[0.6956521739130435, 0.7608695652173914, 0.6956521739130435, 0.6956521739130435, 0.6444444444444445, 0.8666666666666667, 0.7111111111111111, 0.7777777777777778, 0.7333333333333333, 0.6888888888888889]","[0.6638998682476943, 0.7268824525857774, 0.6543637521898391, 0.6566863627010023, 0.6017879948914432, 0.8555705503073924, 0.6755762755762755, 0.7563398692810457, 0.7014804682856906, 0.6703703703703703]","[array([[12,  0,  0,  0],
       [ 6,  2,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  4, 11]]), array([[11,  0,  0,  1],
       [ 5,  2,  0,  2],
       [ 0,  0,  7,  3],
       [ 0,  0,  0, 15]]), array([[10,  1,  0,  0],
       [ 7,  2,  0,  1],
       [ 0,  0,  5,  5],
       [ 0,  0,  0, 15]]), array([[11,  0,  0,  0],
       [ 6,  2,  0,  2],
       [ 0,  0,  6,  4],
       [ 1,  0,  1, 13]]), array([[ 9,  1,  1,  0],
       [ 9,  1,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[11,  0,  0,  0],
       [ 4,  5,  0,  1],
       [ 0,  0,  9,  0],
       [ 0,  0,  1, 14]]), array([[10,  0,  1,  0],
       [ 4,  2,  0,  3],
       [ 1,  0,  6,  3],
       [ 0,  0,  1, 14]]), array([[10,  0,  0,  1],
       [ 4,  3,  0,  2],
       [ 0,  0,  7,  3],
       [ 0,  0,  0, 15]]), array([[11,  0,  0,  0],
       [ 7,  2,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[ 6,  0,  1,  4],
       [ 5,  3,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]])]"
minkowski,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.6956521739130435, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.6444444444444445, 0.7777777777777778, 0.7555555555555555, 0.8, 0.8, 0.8]","[0.6956521739130435, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.6444444444444445, 0.7777777777777778, 0.7555555555555555, 0.8, 0.8, 0.8]","[0.6956521739130435, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.6444444444444445, 0.7777777777777778, 0.7555555555555555, 0.8, 0.8, 0.8]","[0.6956521739130435, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.6444444444444445, 0.7777777777777778, 0.7555555555555555, 0.8, 0.8, 0.8]","[0.759090909090909, 0.8248355263157895, 0.78125, 0.834375, 0.6280075187969925, 0.7888188608776845, 0.7592105263157894, 0.8499795751633987, 0.8309027777777778, 0.8438693659281895]","[0.6638888888888889, 0.7208333333333333, 0.7022727272727273, 0.7689393939393939, 0.6237012987012986, 0.7601010101010102, 0.7212121212121212, 0.7666666666666666, 0.7805555555555556, 0.7712121212121212]","[0.6409090909090909, 0.7217553688141922, 0.6941137566137566, 0.7627197473971667, 0.5797619047619047, 0.7543055555555556, 0.7169191422388352, 0.7579800194931774, 0.7839978357805183, 0.7618452380952381]","[0.7470355731225296, 0.805491990846682, 0.7744565217391305, 0.8274456521739131, 0.6397660818713451, 0.7872082166199814, 0.7567251461988305, 0.8400962236746551, 0.8229320987654322, 0.8336728630846277]","[0.6956521739130435, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.6444444444444445, 0.7777777777777778, 0.7555555555555555, 0.8, 0.8, 0.8]","[0.6638998682476943, 0.7404193561482565, 0.7128479411088107, 0.7705017179070474, 0.6, 0.7639629629629628, 0.7358996218331256, 0.7779781243231535, 0.7930073322263476, 0.7793068783068782]","[array([[12,  0,  0,  0],
       [ 6,  2,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  4, 11]]), array([[11,  0,  0,  1],
       [ 5,  3,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 14]]), array([[10,  1,  0,  0],
       [ 6,  3,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  0, 15]]), array([[10,  0,  0,  1],
       [ 5,  4,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  1, 13]]), array([[10,  1,  0,  0],
       [ 9,  1,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  3, 11]]), array([[ 9,  1,  0,  1],
       [ 5,  4,  0,  1],
       [ 0,  0,  8,  1],
       [ 0,  0,  1, 14]]), array([[ 9,  1,  1,  0],
       [ 3,  3,  0,  3],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[11,  0,  0,  0],
       [ 5,  3,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[11,  0,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[ 9,  0,  0,  2],
       [ 5,  3,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  0,  1, 14]])]"
