max_features value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
None,"[0.7843137254901961, 0.7794117647058824, 0.803921568627451, 0.7965686274509803, 0.80440097799511, 0.7921760391198044, 0.7946210268948656, 0.78239608801956, 0.8019559902200489, 0.8117359413202934]","[0.7843137254901961, 0.7794117647058824, 0.803921568627451, 0.7965686274509803, 0.80440097799511, 0.7921760391198044, 0.7946210268948656, 0.78239608801956, 0.8019559902200489, 0.8117359413202934]","[0.7843137254901961, 0.7794117647058824, 0.803921568627451, 0.7965686274509803, 0.80440097799511, 0.7921760391198044, 0.7946210268948656, 0.78239608801956, 0.8019559902200489, 0.8117359413202934]","[0.7843137254901961, 0.7794117647058824, 0.803921568627451, 0.7965686274509803, 0.80440097799511, 0.7921760391198044, 0.7946210268948656, 0.78239608801956, 0.8019559902200489, 0.8117359413202934]","[0.7951338634265464, 0.809347133640417, 0.804214213491261, 0.8041967213114753, 0.810189801165737, 0.7850379461272396, 0.7902586709178305, 0.786594755130714, 0.8038218606106536, 0.8202294792586055]","[0.7796696540430694, 0.7595843239190696, 0.79908883146526, 0.7881551638609394, 0.7938804688387512, 0.7886562296954642, 0.784670618786731, 0.7770001179863673, 0.7969293706062165, 0.8018324147228624]","[0.7818277487872232, 0.7661970005185273, 0.8001780626780627, 0.7888688949613644, 0.7988571058752802, 0.7865117104906738, 0.7865842007929139, 0.776028219181626, 0.7958197247648245, 0.807302329668128]","[0.7965001249613874, 0.8080992465046373, 0.811715565902802, 0.8102867245258759, 0.8127567512757686, 0.7931972639536733, 0.7950130927360155, 0.7892335440569523, 0.8075945325365695, 0.8149988454823834]","[0.7843137254901961, 0.7794117647058824, 0.803921568627451, 0.7965686274509803, 0.80440097799511, 0.7921760391198044, 0.7946210268948656, 0.78239608801956, 0.8019559902200489, 0.8117359413202934]","[0.7851744534409245, 0.7774795267714202, 0.8063525657455876, 0.796975618255146, 0.8056713124509539, 0.7923716129605276, 0.7940037280827493, 0.7804283645443869, 0.8002839201920406, 0.8099449877898628]","[array([[ 87,   8,   3,   2],
       [ 21,  58,   0,   6],
       [  7,   1,  69,  12],
       [ 15,   3,  10, 106]]), array([[ 89,   7,   3,   1],
       [ 37,  46,   0,   2],
       [  7,   0,  64,  18],
       [ 11,   0,   4, 119]]), array([[ 79,  17,   4,   1],
       [ 18,  64,   0,   2],
       [  5,   2,  72,  10],
       [ 13,   3,   5, 113]]), array([[ 81,   8,   9,   3],
       [ 30,  53,   0,   1],
       [  3,   0,  78,   8],
       [  8,   0,  13, 113]]), array([[ 82,  14,   4,   1],
       [ 22,  60,   0,   2],
       [  5,   0,  69,  15],
       [ 12,   0,   5, 118]]), array([[ 73,  17,   8,   3],
       [ 17,  65,   0,   2],
       [  1,   2,  74,  13],
       [  6,   5,  11, 112]]), array([[ 83,  14,   3,   1],
       [ 22,  60,   0,   3],
       [  2,   2,  67,  18],
       [  3,   4,  12, 115]]), array([[ 63,  27,   3,   8],
       [  5,  72,   0,   8],
       [  7,   1,  68,  13],
       [  5,   5,   7, 117]]), array([[ 67,  17,  10,   7],
       [  8,  70,   0,   7],
       [  1,   2,  73,  13],
       [  1,   7,   8, 118]]), array([[ 78,   6,   3,  14],
       [ 20,  57,   0,   8],
       [  2,   0,  78,   9],
       [  3,   3,   9, 119]])]","[0.6304347826086957, 0.6739130434782609, 0.5652173913043478, 0.6521739130434783, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666, 0.6444444444444445, 0.6, 0.6]","[0.6304347826086957, 0.6739130434782609, 0.5652173913043478, 0.6521739130434783, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666, 0.6444444444444445, 0.6, 0.6]","[0.6304347826086957, 0.6739130434782609, 0.5652173913043478, 0.6521739130434783, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666, 0.6444444444444445, 0.6, 0.6]","[0.6304347826086957, 0.6739130434782609, 0.5652173913043478, 0.6521739130434783, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666, 0.6444444444444445, 0.6, 0.6]","[0.7232142857142857, 0.7233317669172932, 0.5426014957264957, 0.6274038461538461, 0.6215909090909091, 0.7271634615384616, 0.6752558479532165, 0.6195054945054945, 0.5932672311348782, 0.6070075757575757]","[0.6097222222222222, 0.6375, 0.5424242424242425, 0.6424242424242425, 0.6172077922077922, 0.7164141414141414, 0.6507575757575758, 0.6330808080808081, 0.5886363636363636, 0.5992424242424242]","[0.5929565047021944, 0.646693913297329, 0.539626957177891, 0.6301406926406926, 0.617670011148272, 0.706966794815092, 0.6570261437908497, 0.6220020241979851, 0.585763888888889, 0.588461190927984]","[0.7009316770186337, 0.7215899803857471, 0.5582613340765514, 0.6492474916387959, 0.6358585858585859, 0.7348290598290599, 0.6728719948018194, 0.6379731379731379, 0.5994685416254044, 0.6127104377104376]","[0.6304347826086957, 0.6739130434782609, 0.5652173913043478, 0.6521739130434783, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666, 0.6444444444444445, 0.6, 0.6]","[0.6050667847894234, 0.668718625652872, 0.5590608416787645, 0.6460333145115753, 0.6270779140344358, 0.7091117688640908, 0.6631953522149601, 0.6373063701575916, 0.5948456790123456, 0.5925203056132847]","[array([[11,  0,  0,  1],
       [ 6,  2,  0,  1],
       [ 0,  0,  7,  3],
       [ 3,  0,  3,  9]]), array([[ 9,  1,  1,  1],
       [ 6,  3,  0,  0],
       [ 2,  0,  6,  2],
       [ 2,  0,  0, 13]]), array([[ 7,  4,  0,  0],
       [ 6,  4,  0,  0],
       [ 0,  1,  4,  5],
       [ 0,  0,  4, 11]]), array([[ 7,  3,  1,  0],
       [ 6,  3,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  2,  2, 11]]), array([[ 5,  4,  2,  0],
       [ 3,  7,  0,  0],
       [ 2,  0,  6,  2],
       [ 2,  0,  2, 10]]), array([[ 5,  5,  1,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  7,  2],
       [ 2,  2,  0, 11]]), array([[ 7,  2,  1,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  5,  5],
       [ 0,  1,  2, 12]]), array([[ 5,  4,  1,  1],
       [ 4,  4,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  3, 11]]), array([[ 5,  4,  0,  2],
       [ 3,  6,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  3, 11]]), array([[ 4,  4,  0,  3],
       [ 2,  6,  0,  1],
       [ 0,  1,  7,  2],
       [ 0,  1,  4, 10]])]"
sqrt,"[0.6372549019607843, 0.5882352941176471, 0.5906862745098039, 0.6299019607843137, 0.6259168704156479, 0.6234718826405868, 0.6112469437652812, 0.58679706601467, 0.6234718826405868, 0.6552567237163814]","[0.6372549019607843, 0.5882352941176471, 0.5906862745098039, 0.6299019607843137, 0.6259168704156479, 0.6234718826405868, 0.6112469437652812, 0.58679706601467, 0.6234718826405868, 0.6552567237163814]","[0.6372549019607843, 0.5882352941176471, 0.5906862745098039, 0.6299019607843137, 0.6259168704156479, 0.6234718826405868, 0.6112469437652812, 0.58679706601467, 0.6234718826405868, 0.6552567237163814]","[0.6372549019607843, 0.5882352941176471, 0.5906862745098039, 0.6299019607843137, 0.6259168704156479, 0.6234718826405868, 0.6112469437652812, 0.58679706601467, 0.6234718826405868, 0.6552567237163814]","[0.6379557028966005, 0.5979050189576506, 0.6084313725490196, 0.6355068571150888, 0.6176769268480582, 0.6205715131360613, 0.606675366698815, 0.5916512592781495, 0.6174600176038795, 0.6750527973503607]","[0.6243725029840882, 0.5641301259729115, 0.5630630746826869, 0.6306246043197549, 0.6017139922927552, 0.6027761065019082, 0.6060741296234564, 0.566076150433009, 0.6175819416785964, 0.641270915842805]","[0.6254896116220133, 0.5685525514970196, 0.5605544729722978, 0.626922139173514, 0.6033863132890706, 0.6052161513015707, 0.6004749093574019, 0.563760553626102, 0.6148728206610911, 0.6461362754641385]","[0.645385959276876, 0.5950577486955195, 0.6093608227604768, 0.6475814001874349, 0.6223378576352206, 0.6240439793878679, 0.6145941270198657, 0.5942325834013072, 0.6345699340648346, 0.6758104010448704]","[0.6372549019607843, 0.5882352941176471, 0.5906862745098039, 0.6299019607843137, 0.6259168704156479, 0.6234718826405868, 0.6112469437652812, 0.58679706601467, 0.6234718826405868, 0.6552567237163814]","[0.6363482969193648, 0.5797931892492986, 0.5772948885615047, 0.6330601731993712, 0.6179414297500249, 0.6175120192164093, 0.6078281150771982, 0.5767337959697838, 0.6264016232855185, 0.6540645198553676]","[array([[66, 20,  7,  7],
       [10, 52,  6, 17],
       [12, 13, 44, 20],
       [13, 17,  6, 98]]), array([[ 64,   9,  10,  17],
       [ 17,  38,   6,  24],
       [ 20,   3,  37,  29],
       [ 16,   7,  10, 101]]), array([[77,  7,  1, 16],
       [28, 31,  6, 19],
       [33,  3, 34, 19],
       [16,  9, 10, 99]]), array([[59, 20,  9, 13],
       [ 6, 57,  9, 12],
       [ 6, 16, 55, 12],
       [ 7, 18, 23, 86]]), array([[ 69,  10,   7,  15],
       [  9,  31,  15,  29],
       [  9,   9,  52,  19],
       [  8,   7,  16, 104]]), array([[ 73,   8,   8,  12],
       [ 23,  39,   1,  21],
       [  8,  13,  43,  26],
       [  7,  16,  11, 100]]), array([[65,  8, 12, 16],
       [16, 36, 19, 14],
       [ 6,  5, 65, 13],
       [12, 15, 23, 84]]), array([[74,  5,  6, 16],
       [29, 40,  4, 12],
       [18, 12, 32, 27],
       [19, 12,  9, 94]]), array([[60, 20, 14,  7],
       [10, 47, 14, 14],
       [10, 13, 58,  8],
       [12,  8, 24, 90]]), array([[ 60,  24,   3,  14],
       [  8,  57,   1,  19],
       [  6,  12,  46,  25],
       [  4,  14,  11, 105]])]","[0.5869565217391305, 0.43478260869565216, 0.43478260869565216, 0.45652173913043476, 0.6, 0.5555555555555556, 0.4888888888888889, 0.4444444444444444, 0.4, 0.5111111111111111]","[0.5869565217391305, 0.43478260869565216, 0.43478260869565216, 0.45652173913043476, 0.6, 0.5555555555555556, 0.4888888888888889, 0.4444444444444444, 0.4, 0.5111111111111111]","[0.5869565217391305, 0.43478260869565216, 0.43478260869565216, 0.45652173913043476, 0.6, 0.5555555555555556, 0.4888888888888889, 0.4444444444444444, 0.4, 0.5111111111111111]","[0.5869565217391305, 0.43478260869565216, 0.43478260869565216, 0.45652173913043476, 0.6, 0.5555555555555556, 0.4888888888888889, 0.4444444444444444, 0.4, 0.5111111111111111]","[0.5990790255496138, 0.43104395604395596, 0.49562289562289563, 0.4940422322775264, 0.618122009569378, 0.5226244343891403, 0.6216911764705882, 0.44588989441930615, 0.38964646464646463, 0.5689935064935064]","[0.5791666666666666, 0.4125, 0.42727272727272725, 0.4492424242424242, 0.5733766233766233, 0.516919191919192, 0.48964646464646466, 0.4340909090909091, 0.3904040404040404, 0.49924242424242427]","[0.5848214285714286, 0.413109243697479, 0.39055330634278007, 0.45568783068783064, 0.5670995670995671, 0.5104813664596273, 0.48397958075377434, 0.42894736842105263, 0.38159951159951155, 0.49624624624624625]","[0.6042005735100364, 0.43084089823220256, 0.49831649831649827, 0.505187225391829, 0.6197235513024987, 0.547430869783811, 0.5876143790849673, 0.45421484833249537, 0.41878787878787876, 0.5578643578643578]","[0.5869565217391305, 0.43478260869565216, 0.43478260869565216, 0.45652173913043476, 0.6, 0.5555555555555556, 0.4888888888888889, 0.4444444444444444, 0.4, 0.5111111111111111]","[0.5909679089026916, 0.42456704420898794, 0.40122044241037375, 0.46664366229583615, 0.5828763828763829, 0.5434437543133195, 0.4799488312033115, 0.4390643274853801, 0.4004395604395604, 0.4983459650126317]","[array([[ 7,  2,  2,  1],
       [ 0,  6,  1,  2],
       [ 1,  1,  4,  4],
       [ 1,  0,  4, 10]]), array([[7, 2, 2, 1],
       [1, 3, 0, 5],
       [1, 1, 2, 6],
       [4, 0, 3, 8]]), array([[10,  1,  0,  0],
       [ 4,  2,  1,  3],
       [ 6,  0,  2,  2],
       [ 7,  2,  0,  6]]), array([[4, 5, 1, 1],
       [3, 5, 0, 2],
       [1, 3, 4, 2],
       [2, 4, 1, 8]]), array([[ 7,  0,  2,  2],
       [ 2,  3,  2,  3],
       [ 2,  1,  5,  2],
       [ 0,  0,  2, 12]]), array([[ 6,  2,  0,  3],
       [ 2,  5,  1,  2],
       [ 2,  5,  2,  0],
       [ 0,  1,  2, 12]]), array([[7, 0, 2, 2],
       [1, 2, 1, 5],
       [0, 0, 7, 3],
       [2, 0, 7, 6]]), array([[7, 0, 1, 3],
       [2, 3, 3, 1],
       [5, 0, 3, 2],
       [3, 3, 2, 7]]), array([[3, 4, 3, 1],
       [4, 2, 2, 1],
       [1, 1, 6, 2],
       [2, 2, 4, 7]]), array([[ 4,  3,  0,  4],
       [ 0,  6,  0,  3],
       [ 1,  1,  3,  5],
       [ 2,  2,  1, 10]])]"
log2,"[0.6519607843137255, 0.6495098039215687, 0.6642156862745098, 0.6470588235294118, 0.6356968215158925, 0.6528117359413202, 0.6479217603911981, 0.6356968215158925, 0.6503667481662592, 0.6772616136919315]","[0.6519607843137255, 0.6495098039215687, 0.6642156862745098, 0.6470588235294118, 0.6356968215158925, 0.6528117359413202, 0.6479217603911981, 0.6356968215158925, 0.6503667481662592, 0.6772616136919315]","[0.6519607843137255, 0.6495098039215687, 0.6642156862745098, 0.6470588235294118, 0.6356968215158925, 0.6528117359413202, 0.6479217603911981, 0.6356968215158925, 0.6503667481662592, 0.6772616136919315]","[0.6519607843137255, 0.6495098039215687, 0.6642156862745098, 0.6470588235294118, 0.6356968215158925, 0.6528117359413202, 0.6479217603911981, 0.6356968215158925, 0.6503667481662592, 0.6772616136919315]","[0.6467874792693991, 0.6447867062840325, 0.6527493362999074, 0.6493261853697578, 0.618145989782238, 0.6430338215938445, 0.6423535926448602, 0.6412586806203827, 0.6440141619821705, 0.6730117998691385]","[0.6479961971372483, 0.6346785323218671, 0.6476658166583291, 0.6347772899879289, 0.6109909245338658, 0.6469415651586481, 0.6329886147062389, 0.6399829232314083, 0.6536054260445725, 0.6564914722129896]","[0.6464980230388437, 0.636624389150553, 0.639232458787269, 0.6338304308345089, 0.6069441300191428, 0.6430185148971865, 0.6340921465693434, 0.6330098521311532, 0.6460441489213192, 0.6559133211814046]","[0.6537783133356041, 0.653351391338966, 0.6599697493361609, 0.6587323607387543, 0.6311838821831668, 0.650203858254419, 0.6450640002312932, 0.6626408697365364, 0.6531047369721782, 0.6820039835471416]","[0.6519607843137255, 0.6495098039215687, 0.6642156862745098, 0.6470588235294118, 0.6356968215158925, 0.6528117359413202, 0.6479217603911981, 0.6356968215158925, 0.6503667481662592, 0.6772616136919315]","[0.6519358583871814, 0.6485739508069875, 0.6528095996437899, 0.6450841936819093, 0.6268185603517916, 0.6497948546035047, 0.6432525526665968, 0.6408366445596313, 0.6489779468977779, 0.671657932445233]","[array([[69, 19,  6,  6],
       [13, 46,  5, 21],
       [11,  7, 62,  9],
       [20,  9, 16, 89]]), array([[ 69,  14,   9,   8],
       [ 24,  45,   5,  11],
       [ 14,   7,  51,  17],
       [ 14,  11,   9, 100]]), array([[75,  7, 11,  8],
       [27, 29, 11, 17],
       [ 4,  3, 68, 14],
       [12,  9, 14, 99]]), array([[81,  8,  6,  6],
       [28, 42,  5,  9],
       [ 9, 14, 49, 17],
       [22, 13,  7, 92]]), array([[ 71,  13,   9,   8],
       [ 25,  29,  13,  17],
       [ 16,   6,  55,  12],
       [ 13,   5,  12, 105]]), array([[68,  9, 10, 14],
       [21, 40,  9, 14],
       [ 7,  3, 69, 11],
       [ 9, 19, 16, 90]]), array([[69,  9,  7, 16],
       [16, 38, 13, 18],
       [10,  4, 59, 16],
       [13, 12, 10, 99]]), array([[66,  8, 18,  9],
       [18, 54,  8,  5],
       [ 7, 17, 60,  5],
       [ 3, 26, 25, 80]]), array([[62, 20, 10,  9],
       [10, 48, 10, 17],
       [ 6,  4, 72,  7],
       [18, 15, 17, 84]]), array([[ 79,  12,   7,   3],
       [ 31,  36,   7,  11],
       [ 13,   3,  56,  17],
       [ 13,   8,   7, 106]])]","[0.5434782608695652, 0.3695652173913043, 0.391304347826087, 0.5217391304347826, 0.6222222222222222, 0.4444444444444444, 0.37777777777777777, 0.4, 0.4444444444444444, 0.4222222222222222]","[0.5434782608695652, 0.3695652173913043, 0.391304347826087, 0.5217391304347826, 0.6222222222222222, 0.4444444444444444, 0.37777777777777777, 0.4, 0.4444444444444444, 0.4222222222222222]","[0.5434782608695652, 0.3695652173913043, 0.391304347826087, 0.5217391304347826, 0.6222222222222222, 0.4444444444444444, 0.37777777777777777, 0.4, 0.4444444444444444, 0.4222222222222222]","[0.5434782608695652, 0.3695652173913043, 0.391304347826087, 0.5217391304347826, 0.6222222222222222, 0.4444444444444444, 0.37777777777777777, 0.4, 0.4444444444444444, 0.4222222222222222]","[0.5269230769230769, 0.3242559523809524, 0.41517857142857145, 0.5244047619047618, 0.6099547511312218, 0.43124999999999997, 0.38273809523809527, 0.44007936507936507, 0.4483901515151515, 0.40318627450980393]","[0.5305555555555556, 0.3402777777777778, 0.39469696969696966, 0.4818181818181818, 0.6103896103896104, 0.4265151515151515, 0.3924242424242424, 0.4242424242424242, 0.4431818181818181, 0.3891414141414141]","[0.5164285714285715, 0.3284722222222222, 0.36398467432950193, 0.46339285714285716, 0.5947089947089947, 0.40350877192982454, 0.37989130434782614, 0.4044286680189317, 0.4401759530791789, 0.37628481432360744]","[0.5414715719063545, 0.34860248447204967, 0.40799689440993786, 0.5512422360248447, 0.6210155857214681, 0.42462962962962963, 0.38544973544973543, 0.44377425044091706, 0.4421296296296297, 0.41906318082788674]","[0.5434782608695652, 0.3695652173913043, 0.391304347826087, 0.5217391304347826, 0.6222222222222222, 0.4444444444444444, 0.37777777777777777, 0.4, 0.4444444444444444, 0.4222222222222222]","[0.5319875776397516, 0.35537439613526567, 0.3636515075795435, 0.5007763975155279, 0.6071722516166961, 0.4086369770580297, 0.3731884057971015, 0.3962226729772369, 0.43861844248941023, 0.4027519893899204]","[array([[10,  1,  1,  0],
       [ 1,  2,  2,  4],
       [ 2,  0,  6,  2],
       [ 0,  2,  6,  7]]), array([[7, 1, 3, 1],
       [5, 1, 1, 2],
       [2, 1, 2, 5],
       [2, 4, 2, 7]]), array([[6, 0, 3, 2],
       [5, 1, 1, 3],
       [0, 0, 6, 4],
       [5, 1, 4, 5]]), array([[ 8,  1,  1,  1],
       [ 7,  1,  0,  2],
       [ 5,  2,  3,  0],
       [ 1,  2,  0, 12]]), array([[ 8,  2,  0,  1],
       [ 6,  2,  1,  1],
       [ 1,  0,  8,  1],
       [ 2,  1,  1, 10]]), array([[ 3,  0,  2,  6],
       [ 2,  1,  0,  7],
       [ 2,  0,  6,  1],
       [ 1,  2,  2, 10]]), array([[7, 1, 1, 2],
       [3, 3, 2, 1],
       [1, 2, 4, 3],
       [1, 8, 3, 3]]), array([[4, 4, 2, 1],
       [2, 6, 1, 0],
       [0, 2, 4, 4],
       [3, 8, 0, 4]]), array([[3, 1, 2, 5],
       [1, 3, 2, 3],
       [2, 0, 7, 1],
       [5, 2, 1, 7]]), array([[6, 3, 0, 2],
       [5, 1, 1, 2],
       [3, 0, 3, 4],
       [4, 0, 2, 9]])]"
