max_features value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
None,"[0.7794117647058824, 0.7720588235294118, 0.7965686274509803, 0.7965686274509803, 0.7970660146699267, 0.7970660146699267, 0.7946210268948656, 0.7701711491442543, 0.8117359413202934, 0.8117359413202934]","[0.7794117647058824, 0.7720588235294118, 0.7965686274509803, 0.7965686274509803, 0.7970660146699267, 0.7970660146699267, 0.7946210268948656, 0.7701711491442543, 0.8117359413202934, 0.8117359413202934]","[0.7794117647058824, 0.7720588235294118, 0.7965686274509803, 0.7965686274509803, 0.7970660146699267, 0.7970660146699267, 0.7946210268948656, 0.7701711491442543, 0.8117359413202934, 0.8117359413202934]","[0.7794117647058824, 0.7720588235294118, 0.7965686274509803, 0.7965686274509803, 0.7970660146699267, 0.7970660146699267, 0.7946210268948656, 0.7701711491442543, 0.8117359413202934, 0.8117359413202934]","[0.7939076778117874, 0.7784740860004153, 0.7963268817351223, 0.8041967213114753, 0.7984931918821305, 0.7894724900779126, 0.7902586709178305, 0.7684667701229818, 0.8104469168263659, 0.8181102226762615]","[0.770278408025964, 0.7675842203391502, 0.8012062174150623, 0.7881551638609394, 0.7968950586872491, 0.7960359975229933, 0.784670618786731, 0.7733316625109354, 0.8098504063741548, 0.8008890976006086]","[0.7751326199633525, 0.7665968460670769, 0.7958126794261249, 0.7888688949613644, 0.7936867619262389, 0.7917322069425845, 0.7865842007929139, 0.7661147024510646, 0.8067269658806347, 0.8058212156070472]","[0.7925123841051855, 0.7884443889966121, 0.8070985257323582, 0.8102867245258759, 0.8075237294781978, 0.799850079550412, 0.7950130927360155, 0.7756920714106867, 0.8147171046060109, 0.8144784430250254]","[0.7794117647058824, 0.7720588235294118, 0.7965686274509803, 0.7965686274509803, 0.7970660146699267, 0.7970660146699267, 0.7946210268948656, 0.7701711491442543, 0.8117359413202934, 0.8117359413202934]","[0.7796038662450653, 0.7739281300141093, 0.7983490540419195, 0.796975618255146, 0.7981180045413014, 0.7974215524087326, 0.7940037280827493, 0.7685393900830971, 0.809931837273703, 0.8097591686168375]","[array([[ 87,   8,   4,   1],
       [ 21,  58,   0,   6],
       [  7,   1,  63,  18],
       [ 15,   3,   6, 110]]), array([[ 82,  14,   3,   1],
       [ 29,  54,   0,   2],
       [  7,   0,  74,   8],
       [ 11,   0,  18, 105]]), array([[ 80,  16,   4,   1],
       [ 15,  67,   0,   2],
       [  6,   1,  76,   6],
       [ 14,   2,  16, 102]]), array([[ 81,   8,   9,   3],
       [ 30,  53,   0,   1],
       [  3,   0,  78,   8],
       [  8,   0,  13, 113]]), array([[ 85,  11,   4,   1],
       [ 22,  60,   0,   2],
       [  4,   1,  76,   8],
       [ 10,   2,  18, 105]]), array([[ 73,  17,   8,   3],
       [ 17,  65,   0,   2],
       [  1,   2,  78,   9],
       [  6,   5,  13, 110]]), array([[ 83,  14,   3,   1],
       [ 22,  60,   0,   3],
       [  2,   2,  67,  18],
       [  3,   4,  12, 115]]), array([[ 63,  27,   3,   8],
       [  5,  72,   0,   8],
       [  7,   1,  74,   7],
       [  5,   5,  18, 106]]), array([[ 68,  16,  10,   7],
       [  7,  71,   0,   7],
       [  1,   2,  77,   9],
       [  4,   4,  10, 116]]), array([[ 78,   6,   6,  11],
       [ 20,  57,   0,   8],
       [  2,   0,  77,  10],
       [  3,   3,   8, 120]])]","[0.6521739130434783, 0.6739130434782609, 0.5652173913043478, 0.6521739130434783, 0.7111111111111111, 0.7555555555555555, 0.6666666666666666, 0.6444444444444445, 0.6444444444444445, 0.6666666666666666]","[0.6521739130434783, 0.6739130434782609, 0.5652173913043478, 0.6521739130434783, 0.7111111111111111, 0.7555555555555555, 0.6666666666666666, 0.6444444444444445, 0.6444444444444445, 0.6666666666666666]","[0.6521739130434783, 0.6739130434782609, 0.5652173913043478, 0.6521739130434783, 0.7111111111111111, 0.7555555555555555, 0.6666666666666666, 0.6444444444444445, 0.6444444444444445, 0.6666666666666666]","[0.6521739130434783, 0.6739130434782609, 0.5652173913043478, 0.6521739130434783, 0.7111111111111111, 0.7555555555555555, 0.6666666666666666, 0.6444444444444445, 0.6444444444444445, 0.6666666666666666]","[0.7486111111111111, 0.6910714285714286, 0.5509740259740259, 0.6274038461538461, 0.7236652236652237, 0.771875, 0.6752558479532165, 0.6195054945054945, 0.6395833333333333, 0.6583333333333332]","[0.6263888888888889, 0.6555555555555557, 0.546969696969697, 0.6424242424242425, 0.7103896103896103, 0.771969696969697, 0.6507575757575758, 0.6330808080808081, 0.6335858585858586, 0.6575757575757576]","[0.6136612838915471, 0.6657738095238095, 0.5485296312882519, 0.6301406926406926, 0.7108771929824562, 0.7530364372469636, 0.6570261437908497, 0.6220020241979851, 0.6358269394714408, 0.6423223834988541]","[0.7256038647342996, 0.6940993788819876, 0.5743929983060417, 0.6492474916387959, 0.7367644700978034, 0.7911111111111111, 0.6728719948018194, 0.6379731379731379, 0.6472222222222223, 0.6777777777777778]","[0.6521739130434783, 0.6739130434782609, 0.5652173913043478, 0.6521739130434783, 0.7111111111111111, 0.7555555555555555, 0.6666666666666666, 0.6444444444444445, 0.6444444444444445, 0.6666666666666666]","[0.6280684418556273, 0.677148033126294, 0.5693224816163347, 0.6460333145115753, 0.7172241715399611, 0.7540260908681962, 0.6631953522149601, 0.6373063701575916, 0.6451832907075874, 0.6576012223071046]","[array([[11,  0,  0,  1],
       [ 6,  2,  0,  1],
       [ 0,  0,  7,  3],
       [ 3,  0,  2, 10]]), array([[ 8,  2,  1,  1],
       [ 4,  5,  0,  0],
       [ 2,  0,  6,  2],
       [ 2,  0,  1, 12]]), array([[ 5,  6,  0,  0],
       [ 6,  4,  0,  0],
       [ 0,  1,  6,  3],
       [ 0,  0,  4, 11]]), array([[ 7,  3,  1,  0],
       [ 6,  3,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  2,  2, 11]]), array([[ 8,  1,  2,  0],
       [ 3,  7,  0,  0],
       [ 2,  0,  7,  1],
       [ 1,  1,  2, 10]]), array([[ 5,  5,  1,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  9,  0],
       [ 2,  2,  0, 11]]), array([[ 7,  2,  1,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  5,  5],
       [ 0,  1,  2, 12]]), array([[ 5,  4,  1,  1],
       [ 4,  4,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  3, 11]]), array([[ 6,  3,  0,  2],
       [ 4,  5,  0,  0],
       [ 1,  0,  7,  2],
       [ 1,  0,  3, 11]]), array([[ 4,  4,  2,  1],
       [ 2,  6,  0,  1],
       [ 0,  1,  8,  1],
       [ 0,  1,  2, 12]])]"
sqrt,"[0.6887254901960784, 0.6519607843137255, 0.7303921568627451, 0.6666666666666666, 0.6772616136919315, 0.7017114914425427, 0.6503667481662592, 0.6674816625916871, 0.6625916870415648, 0.7017114914425427]","[0.6887254901960784, 0.6519607843137255, 0.7303921568627451, 0.6666666666666666, 0.6772616136919315, 0.7017114914425427, 0.6503667481662592, 0.6674816625916871, 0.6625916870415648, 0.7017114914425427]","[0.6887254901960784, 0.6519607843137255, 0.7303921568627451, 0.6666666666666666, 0.6772616136919315, 0.7017114914425427, 0.6503667481662592, 0.6674816625916871, 0.6625916870415648, 0.7017114914425427]","[0.6887254901960784, 0.6519607843137255, 0.7303921568627451, 0.6666666666666666, 0.6772616136919315, 0.7017114914425427, 0.6503667481662592, 0.6674816625916871, 0.6625916870415648, 0.7017114914425427]","[0.691885829338934, 0.6531845553278595, 0.7237854030050389, 0.6610362606103706, 0.6765069725596041, 0.6948753452005223, 0.6582508485211489, 0.6674599271794792, 0.6578570795676059, 0.7038304739759784]","[0.6694819770940407, 0.6359542176756666, 0.7197503712782337, 0.6668685688494103, 0.6623767600141501, 0.6872885396215527, 0.6563879118278502, 0.6560121941059363, 0.6509049642275687, 0.6915293724033598]","[0.6740334115543636, 0.636667870786536, 0.7200138254549757, 0.6616677018633541, 0.6660944063483485, 0.6875810593201898, 0.6477666680420122, 0.6522434468024798, 0.6519271659669899, 0.6928991147741148]","[0.6934899489088838, 0.653979851142665, 0.7339168543207775, 0.6732053510000027, 0.6805653168090435, 0.7024570866527776, 0.677044787258309, 0.6790822812108345, 0.6658208430116808, 0.7065318364445053]","[0.6887254901960784, 0.6519607843137255, 0.7303921568627451, 0.6666666666666666, 0.6772616136919315, 0.7017114914425427, 0.6503667481662592, 0.6674816625916871, 0.6625916870415648, 0.7017114914425427]","[0.6849198090028482, 0.6444999043941081, 0.7304460394296027, 0.6675857995372061, 0.6758254791555871, 0.6990811157708149, 0.6542570145117339, 0.6648676475783745, 0.6619978396797379, 0.6992892668320541]","[array([[ 73,  11,   5,  11],
       [ 26,  49,   3,   7],
       [ 13,   4,  49,  23],
       [  8,   5,  11, 110]]), array([[ 46,  15,  13,  26],
       [ 15,  51,   8,  11],
       [  4,   5,  59,  21],
       [  3,   7,  14, 110]]), array([[ 79,  13,   2,   7],
       [ 24,  54,   2,   4],
       [ 14,   5,  59,  11],
       [  2,   6,  20, 106]]), array([[72, 16,  8,  5],
       [20, 59,  2,  3],
       [ 7,  9, 53, 20],
       [ 7, 16, 23, 88]]), array([[ 72,  10,   1,  18],
       [ 30,  47,   1,   6],
       [  7,  12,  54,  16],
       [  8,   7,  16, 104]]), array([[ 72,  15,   6,   8],
       [ 25,  43,  11,   5],
       [  6,   1,  66,  17],
       [ 12,   5,  11, 106]]), array([[60, 30, 11,  0],
       [15, 64,  1,  5],
       [ 5, 11, 58, 15],
       [ 7, 20, 23, 84]]), array([[73, 13,  7,  8],
       [27, 38, 16,  4],
       [11,  0, 65, 13],
       [13,  5, 19, 97]]), array([[73, 18,  4,  6],
       [26, 49,  1,  9],
       [ 6, 10, 51, 22],
       [ 9, 11, 16, 98]]), array([[ 60,  20,   7,  14],
       [ 14,  62,   5,   4],
       [  1,   5,  56,  27],
       [  4,  10,  11, 109]])]","[0.5217391304347826, 0.5217391304347826, 0.5, 0.45652173913043476, 0.4888888888888889, 0.7111111111111111, 0.5777777777777777, 0.5555555555555556, 0.4444444444444444, 0.5111111111111111]","[0.5217391304347826, 0.5217391304347826, 0.5, 0.45652173913043476, 0.4888888888888889, 0.7111111111111111, 0.5777777777777777, 0.5555555555555556, 0.4444444444444444, 0.5111111111111111]","[0.5217391304347826, 0.5217391304347826, 0.5, 0.45652173913043476, 0.4888888888888889, 0.7111111111111111, 0.5777777777777777, 0.5555555555555556, 0.4444444444444444, 0.5111111111111111]","[0.5217391304347826, 0.5217391304347826, 0.5, 0.45652173913043476, 0.4888888888888889, 0.7111111111111111, 0.5777777777777777, 0.5555555555555556, 0.4444444444444444, 0.5111111111111111]","[0.4829545454545454, 0.5113636363636364, 0.49936868686868685, 0.465625, 0.48769841269841263, 0.7203525641025641, 0.614354066985646, 0.5463286713286714, 0.44573863636363636, 0.4986111111111111]","[0.4902777777777777, 0.5111111111111111, 0.5007575757575757, 0.4590909090909091, 0.4792207792207792, 0.7058080808080809, 0.5987373737373737, 0.5414141414141413, 0.44520202020202027, 0.4904040404040404]","[0.47634973721930246, 0.507257448433919, 0.4935149061464851, 0.4546296296296296, 0.48042510121457493, 0.7096937589264954, 0.5632738095238096, 0.5402896336400173, 0.43766130383777446, 0.48222025652366207]","[0.49654150197628455, 0.5135046113306982, 0.5142731664470795, 0.46875, 0.5022927689594355, 0.7345441595441596, 0.6389580010632642, 0.5700854700854701, 0.4554292929292929, 0.504320987654321]","[0.5217391304347826, 0.5217391304347826, 0.5, 0.45652173913043476, 0.4888888888888889, 0.7111111111111111, 0.5777777777777777, 0.5555555555555556, 0.4444444444444444, 0.5111111111111111]","[0.4994495107916658, 0.5133025542232703, 0.4998457377862412, 0.4549114331723027, 0.4924120557804768, 0.7193705413654262, 0.5674338624338624, 0.55926602525068, 0.4413794387650597, 0.4946287286844563]","[array([[ 7,  1,  1,  3],
       [ 4,  1,  1,  3],
       [ 0,  0,  6,  4],
       [ 0,  2,  3, 10]]), array([[ 4,  2,  2,  4],
       [ 5,  4,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  2,  3, 10]]), array([[7, 4, 0, 0],
       [4, 5, 0, 1],
       [2, 1, 4, 3],
       [1, 2, 5, 7]]), array([[7, 3, 0, 1],
       [4, 3, 1, 2],
       [2, 0, 5, 3],
       [3, 4, 2, 6]]), array([[6, 3, 0, 2],
       [7, 3, 0, 0],
       [0, 3, 5, 2],
       [1, 1, 4, 8]]), array([[ 6,  4,  1,  0],
       [ 3,  7,  0,  0],
       [ 1,  0,  7,  1],
       [ 2,  1,  0, 12]]), array([[3, 7, 0, 1],
       [0, 8, 1, 0],
       [2, 0, 7, 1],
       [0, 4, 3, 8]]), array([[ 5,  4,  2,  0],
       [ 2,  4,  2,  1],
       [ 2,  0,  6,  2],
       [ 2,  0,  3, 10]]), array([[7, 1, 1, 2],
       [5, 4, 0, 0],
       [2, 2, 3, 3],
       [2, 1, 6, 6]]), array([[ 3,  1,  3,  4],
       [ 2,  5,  0,  2],
       [ 1,  2,  4,  3],
       [ 0,  2,  2, 11]])]"
log2,"[0.6200980392156863, 0.6053921568627451, 0.6053921568627451, 0.6053921568627451, 0.6503667481662592, 0.6185819070904646, 0.6014669926650367, 0.6185819070904646, 0.6405867970660146, 0.6063569682151589]","[0.6200980392156863, 0.6053921568627451, 0.6053921568627451, 0.6053921568627451, 0.6503667481662592, 0.6185819070904646, 0.6014669926650367, 0.6185819070904646, 0.6405867970660146, 0.6063569682151589]","[0.6200980392156863, 0.6053921568627451, 0.6053921568627451, 0.6053921568627451, 0.6503667481662592, 0.6185819070904646, 0.6014669926650367, 0.6185819070904646, 0.6405867970660146, 0.6063569682151589]","[0.6200980392156863, 0.6053921568627451, 0.6053921568627451, 0.6053921568627451, 0.6503667481662592, 0.6185819070904646, 0.6014669926650367, 0.6185819070904646, 0.6405867970660146, 0.6063569682151589]","[0.6247968051845548, 0.6187681679336958, 0.6094722945238962, 0.6057767282862224, 0.6467394507307873, 0.6146538442109517, 0.599314158653152, 0.6091843302073927, 0.6512741306133625, 0.6057587196305001]","[0.6103367827090589, 0.6092326947549102, 0.5949770263315591, 0.6092537497263298, 0.6343110421261495, 0.621573591261045, 0.6060198588246234, 0.6118847677548728, 0.633775262927443, 0.6073521915528207]","[0.6131714098982268, 0.6071571190022116, 0.5992571514907332, 0.6047105450777184, 0.6334210768954938, 0.6153699321689381, 0.5984959333972508, 0.6094006244402597, 0.6370788959346385, 0.6046249225842641]","[0.6319490337853908, 0.6211214436641, 0.613072035151416, 0.6126423728565012, 0.6477790352384872, 0.6269768879737133, 0.6138765217981932, 0.6161168263215697, 0.652982819252114, 0.6140459718157213]","[0.6200980392156863, 0.6053921568627451, 0.6053921568627451, 0.6053921568627451, 0.6503667481662592, 0.6185819070904646, 0.6014669926650367, 0.6185819070904646, 0.6405867970660146, 0.6063569682151589]","[0.6220480301634496, 0.6061311748246089, 0.606529668844438, 0.606420444866752, 0.6427192903104978, 0.6198376273298299, 0.6029911283179941, 0.6163752042177364, 0.6417832073925471, 0.6079691516397658]","[array([[60, 16,  8, 16],
       [20, 52,  4,  9],
       [21,  9, 47, 12],
       [20, 12,  8, 94]]), array([[71,  7, 10, 12],
       [22, 47,  3, 13],
       [20,  2, 56, 11],
       [28, 18, 15, 73]]), array([[61, 16,  8, 16],
       [14, 44,  4, 22],
       [21,  8, 51,  9],
       [22, 13,  8, 91]]), array([[53, 23, 13, 12],
       [14, 57,  2, 11],
       [13,  5, 56, 15],
       [20, 21, 12, 81]]), array([[ 58,  12,  13,  18],
       [ 18,  36,   7,  23],
       [  9,   1,  68,  11],
       [ 11,   7,  13, 104]]), array([[57, 16, 14, 14],
       [13, 50, 12,  9],
       [ 8,  9, 65,  8],
       [20, 23, 10, 81]]), array([[54, 21, 16, 10],
       [14, 50, 10, 11],
       [15,  4, 64,  6],
       [19, 22, 15, 78]]), array([[53, 19, 14, 15],
       [15, 43,  7, 20],
       [15,  2, 65,  7],
       [15, 12, 15, 92]]), array([[70,  6, 11, 14],
       [23, 46,  6, 10],
       [19,  0, 56, 14],
       [20, 14, 10, 90]]), array([[60, 15, 11, 15],
       [18, 47,  5, 15],
       [20,  4, 61,  4],
       [19, 18, 17, 80]])]","[0.4782608695652174, 0.4782608695652174, 0.43478260869565216, 0.5869565217391305, 0.37777777777777777, 0.3111111111111111, 0.4444444444444444, 0.3333333333333333, 0.4888888888888889, 0.5111111111111111]","[0.4782608695652174, 0.4782608695652174, 0.43478260869565216, 0.5869565217391305, 0.37777777777777777, 0.3111111111111111, 0.4444444444444444, 0.3333333333333333, 0.4888888888888889, 0.5111111111111111]","[0.4782608695652174, 0.4782608695652174, 0.43478260869565216, 0.5869565217391305, 0.37777777777777777, 0.3111111111111111, 0.4444444444444444, 0.3333333333333333, 0.4888888888888889, 0.5111111111111111]","[0.4782608695652174, 0.4782608695652174, 0.43478260869565216, 0.5869565217391305, 0.37777777777777777, 0.3111111111111111, 0.4444444444444444, 0.3333333333333333, 0.4888888888888889, 0.5111111111111111]","[0.4742063492063492, 0.45833333333333337, 0.47048611111111105, 0.5815850815850816, 0.3715277777777778, 0.35, 0.44330669330669326, 0.349025974025974, 0.5719696969696969, 0.4968137254901961]","[0.4444444444444444, 0.46805555555555556, 0.4303030303030303, 0.5803030303030303, 0.36558441558441557, 0.3330808080808081, 0.4553030303030303, 0.3315656565656566, 0.48131313131313136, 0.5287878787878788]","[0.4184704184704185, 0.45779110444777615, 0.4393202298550346, 0.5759954618650271, 0.34514652014652014, 0.31647403829567017, 0.4394492975055635, 0.32960934305574485, 0.48190406085142923, 0.4944960440316477]","[0.47774327122153204, 0.4690635451505017, 0.4639190821256039, 0.6061872909698997, 0.3771604938271605, 0.35, 0.4459096459096459, 0.35555555555555557, 0.5713804713804713, 0.5005010893246188]","[0.4782608695652174, 0.4782608695652174, 0.43478260869565216, 0.5869565217391305, 0.37777777777777777, 0.3111111111111111, 0.4444444444444444, 0.3333333333333333, 0.4888888888888889, 0.5111111111111111]","[0.4429230190099755, 0.4691037090150577, 0.43946715423795224, 0.5912623398445706, 0.3564265364265364, 0.3002434209265329, 0.4367474526042301, 0.3352740296518408, 0.4902084270505323, 0.48835887831415864]","[array([[ 4,  1,  3,  4],
       [ 1,  1,  2,  5],
       [ 3,  0,  6,  1],
       [ 1,  0,  3, 11]]), array([[7, 0, 3, 2],
       [3, 2, 2, 2],
       [0, 1, 6, 3],
       [3, 3, 2, 7]]), array([[5, 1, 2, 3],
       [3, 4, 0, 3],
       [2, 1, 4, 3],
       [5, 3, 0, 7]]), array([[ 5,  2,  4,  0],
       [ 2,  7,  0,  1],
       [ 2,  2,  5,  1],
       [ 2,  2,  1, 10]]), array([[1, 1, 6, 3],
       [2, 2, 3, 3],
       [2, 0, 6, 2],
       [4, 1, 1, 8]]), array([[5, 2, 2, 2],
       [6, 3, 1, 0],
       [3, 1, 4, 1],
       [6, 6, 1, 2]]), array([[5, 1, 2, 3],
       [1, 6, 0, 2],
       [3, 2, 3, 2],
       [2, 5, 2, 6]]), array([[2, 4, 0, 5],
       [3, 4, 1, 1],
       [5, 0, 3, 2],
       [1, 6, 2, 6]]), array([[7, 1, 1, 2],
       [6, 2, 0, 1],
       [3, 0, 6, 1],
       [6, 0, 2, 7]]), array([[2, 0, 4, 5],
       [2, 6, 1, 0],
       [1, 1, 8, 0],
       [1, 3, 4, 7]])]"
