min_samples_leaf value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
5,"[0.8823529411764706, 0.8676470588235294, 0.8970588235294118, 0.8872549019607843, 0.8899755501222494, 0.8606356968215159, 0.8875305623471883, 0.8948655256723717, 0.8801955990220048, 0.882640586797066]","[0.8823529411764706, 0.8676470588235294, 0.8970588235294118, 0.8872549019607843, 0.8899755501222494, 0.8606356968215159, 0.8875305623471883, 0.8948655256723717, 0.8801955990220048, 0.882640586797066]","[0.8823529411764706, 0.8676470588235294, 0.8970588235294118, 0.8872549019607843, 0.8899755501222494, 0.8606356968215159, 0.8875305623471883, 0.8948655256723717, 0.8801955990220048, 0.882640586797066]","[0.8823529411764706, 0.8676470588235294, 0.8970588235294118, 0.8872549019607843, 0.8899755501222494, 0.8606356968215159, 0.8875305623471883, 0.8948655256723717, 0.8801955990220048, 0.882640586797066]","[0.8793157986697437, 0.8631967495601387, 0.8952062722717051, 0.8849307071095049, 0.8890265527183889, 0.8582410591382825, 0.8836498772869255, 0.8923208245243128, 0.8786423594380056, 0.8806598039603377]","[0.8815008730307484, 0.8718947480048533, 0.8986144016104972, 0.888606102949961, 0.88774842973864, 0.8584460418323282, 0.8852781875340565, 0.8949128463615319, 0.875511341000038, 0.8816790319570178]","[0.8798699319131907, 0.8663552356705895, 0.896440351714882, 0.8847523018825325, 0.8880034032898468, 0.8574698325563571, 0.8840594327148574, 0.8929270367305974, 0.8762123800550587, 0.8805856921023396]","[0.8834392105771912, 0.8710197253884776, 0.8986439891860883, 0.8914712794639421, 0.8907236639514287, 0.8617030430116269, 0.8887999975997443, 0.8975567645523295, 0.8820750814505038, 0.8845266106058001]","[0.8823529411764706, 0.8676470588235294, 0.8970588235294118, 0.8872549019607843, 0.8899755501222494, 0.8606356968215159, 0.8875305623471883, 0.8948655256723717, 0.8801955990220048, 0.882640586797066]","[0.8823649430012549, 0.868009123884739, 0.8973177513127502, 0.8876033828821467, 0.8900131795427241, 0.8603698425000575, 0.8877324057827743, 0.8954421591678576, 0.8803097544251502, 0.8829872723974267]","[array([[ 90,   6,   2,   2],
       [  7,  71,   1,   6],
       [  4,   2,  81,   2],
       [  4,   2,  10, 118]]), array([[ 87,  12,   1,   0],
       [  6,  76,   0,   3],
       [  4,   1,  79,   5],
       [  5,   3,  14, 112]]), array([[ 92,   6,   1,   2],
       [  5,  75,   0,   4],
       [  4,   2,  81,   2],
       [  7,   2,   7, 118]]), array([[ 88,  10,   2,   1],
       [  4,  80,   0,   0],
       [  4,   3,  75,   7],
       [  4,   6,   5, 119]]), array([[ 89,   7,   2,   3],
       [  7,  76,   0,   1],
       [  4,   1,  76,   8],
       [  4,   3,   5, 123]]), array([[ 88,   9,   2,   2],
       [ 11,  66,   0,   7],
       [  3,   1,  82,   4],
       [  5,   1,  12, 116]]), array([[ 92,   7,   1,   1],
       [  9,  72,   1,   3],
       [  3,   3,  79,   4],
       [  4,   1,   9, 120]]), array([[ 92,   7,   1,   1],
       [  9,  74,   0,   2],
       [  4,   1,  81,   3],
       [  5,   4,   6, 119]]), array([[ 92,   7,   1,   1],
       [ 12,  69,   0,   4],
       [  6,   0,  78,   5],
       [  2,   4,   7, 121]]), array([[ 92,   8,   0,   1],
       [  8,  73,   0,   4],
       [  4,   2,  78,   5],
       [  5,   4,   7, 118]])]","[0.7391304347826086, 0.6521739130434783, 0.6304347826086957, 0.7608695652173914, 0.6222222222222222, 0.7333333333333333, 0.6666666666666666, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666]","[0.7391304347826086, 0.6521739130434783, 0.6304347826086957, 0.7608695652173914, 0.6222222222222222, 0.7333333333333333, 0.6666666666666666, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666]","[0.7391304347826086, 0.6521739130434783, 0.6304347826086957, 0.7608695652173914, 0.6222222222222222, 0.7333333333333333, 0.6666666666666666, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666]","[0.7391304347826086, 0.6521739130434783, 0.6304347826086957, 0.7608695652173914, 0.6222222222222222, 0.7333333333333333, 0.6666666666666666, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666]","[0.7385531135531136, 0.6519230769230769, 0.6152777777777777, 0.7705033936651584, 0.615034965034965, 0.737937062937063, 0.6571067821067821, 0.6470238095238096, 0.7352647352647352, 0.6696969696969697]","[0.7430555555555555, 0.6499999999999999, 0.6174242424242424, 0.7462121212121212, 0.614935064935065, 0.7345959595959596, 0.6441919191919192, 0.6585858585858586, 0.7007575757575757, 0.6762626262626263]","[0.7297685185185185, 0.6493233082706766, 0.6157704042715484, 0.751736111111111, 0.6144059644059644, 0.7290823211875843, 0.6414141414141414, 0.6405797101449275, 0.7086122379986477, 0.6666666666666666]","[0.7473721930243669, 0.6658862876254181, 0.6274154589371981, 0.7681733228408419, 0.6271950271950272, 0.7651748251748252, 0.667869167869168, 0.6605820105820105, 0.7486513486513486, 0.6834343434343434]","[0.7391304347826086, 0.6521739130434783, 0.6304347826086957, 0.7608695652173914, 0.6222222222222222, 0.7333333333333333, 0.6666666666666666, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666]","[0.7328140096618357, 0.6571722785223929, 0.6283951845587504, 0.7583031400966184, 0.624103468547913, 0.7405308142150246, 0.6576879910213245, 0.6413526570048309, 0.7214611975058222, 0.6687830687830688]","[array([[ 9,  1,  1,  1],
       [ 3,  5,  0,  1],
       [ 0,  0, 10,  0],
       [ 1,  1,  3, 10]]), array([[ 6,  4,  1,  1],
       [ 3,  6,  0,  0],
       [ 2,  0,  7,  1],
       [ 2,  0,  2, 11]]), array([[ 7,  4,  0,  0],
       [ 4,  4,  0,  2],
       [ 1,  0,  7,  2],
       [ 0,  1,  3, 11]]), array([[ 9,  1,  1,  0],
       [ 3,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  1,  0, 13]]), array([[ 6,  4,  1,  0],
       [ 4,  6,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  0,  4, 10]]), array([[ 8,  3,  0,  0],
       [ 3,  7,  0,  0],
       [ 2,  0,  7,  0],
       [ 0,  1,  3, 11]]), array([[ 5,  4,  2,  0],
       [ 2,  5,  0,  2],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[6, 5, 0, 0],
       [0, 8, 0, 1],
       [2, 0, 6, 2],
       [1, 1, 4, 9]]), array([[ 7,  4,  0,  0],
       [ 3,  6,  0,  0],
       [ 1,  0,  7,  2],
       [ 2,  1,  0, 12]]), array([[8, 3, 0, 0],
       [1, 7, 0, 1],
       [1, 1, 6, 2],
       [0, 1, 5, 9]])]"
10,"[0.7892156862745098, 0.8112745098039216, 0.8382352941176471, 0.8235294117647058, 0.8337408312958435, 0.8117359413202934, 0.80440097799511, 0.8092909535452323, 0.8019559902200489, 0.8166259168704156]","[0.7892156862745098, 0.8112745098039216, 0.8382352941176471, 0.8235294117647058, 0.8337408312958435, 0.8117359413202934, 0.80440097799511, 0.8092909535452323, 0.8019559902200489, 0.8166259168704156]","[0.7892156862745098, 0.8112745098039216, 0.8382352941176471, 0.8235294117647058, 0.8337408312958435, 0.8117359413202934, 0.80440097799511, 0.8092909535452323, 0.8019559902200489, 0.8166259168704156]","[0.7892156862745098, 0.8112745098039216, 0.8382352941176471, 0.8235294117647058, 0.8337408312958435, 0.8117359413202934, 0.80440097799511, 0.8092909535452323, 0.8019559902200489, 0.8166259168704156]","[0.8011295521081288, 0.8236754854404872, 0.845635809015095, 0.8172894794590162, 0.8366203548667288, 0.8124729030037385, 0.8097346505794418, 0.8280885130893496, 0.8013476904767936, 0.8249250025895085]","[0.7812782501898966, 0.8102492823391305, 0.8271956591816437, 0.8181811074785158, 0.8190518055283325, 0.8041292828643205, 0.7936397509940694, 0.7998208570400795, 0.8080519273825164, 0.8066042747007829]","[0.7842557867108757, 0.8049012496248678, 0.8321199483510876, 0.817005933991697, 0.824067978040452, 0.8057728068256653, 0.7971776076866129, 0.8036264268811057, 0.7995871590495478, 0.8099002055861757]","[0.8018431876841136, 0.8272779395082991, 0.8471010321309047, 0.8251653094741009, 0.8364706891748043, 0.8174224755393564, 0.810223941048391, 0.8276654312837023, 0.8139376123864566, 0.8232547569497797]","[0.7892156862745098, 0.8112745098039216, 0.8382352941176471, 0.8235294117647058, 0.8337408312958435, 0.8117359413202934, 0.80440097799511, 0.8092909535452323, 0.8019559902200489, 0.8166259168704156]","[0.7893871404950255, 0.8084308435328239, 0.8387867053665988, 0.8237294762644924, 0.8317447626684253, 0.8122195497822957, 0.803258938515927, 0.809024393986223, 0.8022874804492538, 0.8148464419145568]","[array([[ 83,   8,   4,   5],
       [ 26,  54,   0,   5],
       [  5,   0,  74,  10],
       [ 11,   0,  12, 111]]), array([[ 92,   4,   3,   1],
       [ 26,  53,   0,   6],
       [  0,   0,  82,   7],
       [  4,   1,  25, 104]]), array([[ 88,   7,   3,   3],
       [ 22,  60,   0,   2],
       [  7,   0,  73,   9],
       [  6,   2,   5, 121]]), array([[ 78,  17,   4,   2],
       [ 12,  70,   0,   2],
       [  6,   2,  70,  11],
       [  2,   4,  10, 118]]), array([[ 86,   8,   4,   3],
       [ 20,  57,   0,   7],
       [  4,   1,  73,  11],
       [  2,   0,   8, 125]]), array([[ 86,   9,   4,   2],
       [ 22,  60,   0,   2],
       [  6,   1,  72,  11],
       [  6,   3,  11, 114]]), array([[ 89,   8,   3,   1],
       [ 24,  58,   0,   3],
       [  4,   0,  67,  18],
       [  5,   2,  12, 115]]), array([[ 95,   1,   3,   2],
       [ 27,  56,   0,   2],
       [  8,   0,  68,  13],
       [  9,   6,   7, 112]]), array([[85, 11,  4,  1],
       [19, 64,  0,  2],
       [ 4,  0, 80,  5],
       [ 4,  7, 24, 99]]), array([[ 85,   7,   3,   6],
       [ 24,  54,   0,   7],
       [  1,   1,  78,   9],
       [  8,   0,   9, 117]])]","[0.7608695652173914, 0.7391304347826086, 0.6521739130434783, 0.7391304347826086, 0.7333333333333333, 0.8222222222222222, 0.6444444444444445, 0.6666666666666666, 0.6888888888888889, 0.5555555555555556]","[0.7608695652173914, 0.7391304347826086, 0.6521739130434783, 0.7391304347826086, 0.7333333333333333, 0.8222222222222222, 0.6444444444444445, 0.6666666666666666, 0.6888888888888889, 0.5555555555555556]","[0.7608695652173914, 0.7391304347826086, 0.6521739130434783, 0.7391304347826086, 0.7333333333333333, 0.8222222222222222, 0.6444444444444445, 0.6666666666666666, 0.6888888888888889, 0.5555555555555556]","[0.7608695652173914, 0.7391304347826086, 0.6521739130434783, 0.7391304347826086, 0.7333333333333333, 0.8222222222222222, 0.6444444444444445, 0.6666666666666666, 0.6888888888888889, 0.5555555555555556]","[0.7711038961038962, 0.761545745920746, 0.6398405516052575, 0.7393939393939394, 0.7379599567099567, 0.8288461538461539, 0.6518070745044429, 0.663986013986014, 0.7027972027972027, 0.5623647186147187]","[0.7541666666666667, 0.726388888888889, 0.6318181818181818, 0.7257575757575757, 0.7233766233766233, 0.8318181818181818, 0.622979797979798, 0.689141414141414, 0.6924242424242424, 0.5608585858585858]","[0.7579496652772515, 0.7321428571428571, 0.6297084623323013, 0.7316473000683527, 0.7275707384403036, 0.8234535614398314, 0.6307003862150921, 0.6673554706163402, 0.6863095238095238, 0.5603521768527502]","[0.7730095990965556, 0.7688887199756765, 0.6464873574847999, 0.7509881422924901, 0.7451178451178452, 0.8456410256410256, 0.647827903091061, 0.6702097902097902, 0.7356643356643358, 0.5587421837421837]","[0.7608695652173914, 0.7391304347826086, 0.6521739130434783, 0.7391304347826086, 0.7333333333333333, 0.8222222222222222, 0.6444444444444445, 0.6666666666666666, 0.6888888888888889, 0.5555555555555556]","[0.7628376745693088, 0.7432712215320911, 0.6435870686947548, 0.7442519341832842, 0.7364465915190553, 0.8266027387308851, 0.6393064633260712, 0.6587237882890057, 0.6985714285714285, 0.555983446185404]","[array([[ 9,  1,  1,  1],
       [ 2,  6,  0,  1],
       [ 2,  0,  8,  0],
       [ 1,  0,  2, 12]]), array([[ 9,  1,  1,  1],
       [ 4,  5,  0,  0],
       [ 2,  0,  8,  0],
       [ 1,  0,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 4,  4,  0,  2],
       [ 1,  0,  6,  3],
       [ 0,  0,  3, 12]]), array([[ 7,  4,  0,  0],
       [ 4,  5,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  2,  0, 13]]), array([[ 7,  1,  2,  1],
       [ 3,  7,  0,  0],
       [ 2,  0,  7,  1],
       [ 0,  0,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  9,  0],
       [ 0,  2,  1, 12]]), array([[ 7,  2,  1,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  5,  5],
       [ 1,  0,  2, 12]]), array([[6, 3, 1, 1],
       [1, 7, 0, 1],
       [0, 0, 9, 1],
       [3, 1, 3, 8]]), array([[ 7,  4,  0,  0],
       [ 3,  6,  0,  0],
       [ 2,  0,  8,  0],
       [ 1,  1,  3, 10]]), array([[5, 3, 0, 3],
       [3, 5, 0, 1],
       [1, 0, 7, 2],
       [3, 0, 4, 8]])]"
15,"[0.7794117647058824, 0.7720588235294118, 0.7916666666666666, 0.7892156862745098, 0.7995110024449877, 0.7872860635696821, 0.7799511002444988, 0.7726161369193154, 0.7726161369193154, 0.78239608801956]","[0.7794117647058824, 0.7720588235294118, 0.7916666666666666, 0.7892156862745098, 0.7995110024449877, 0.7872860635696821, 0.7799511002444988, 0.7726161369193154, 0.7726161369193154, 0.78239608801956]","[0.7794117647058824, 0.7720588235294118, 0.7916666666666666, 0.7892156862745098, 0.7995110024449877, 0.7872860635696821, 0.7799511002444988, 0.7726161369193154, 0.7726161369193154, 0.78239608801956]","[0.7794117647058824, 0.7720588235294118, 0.7916666666666666, 0.7892156862745098, 0.7995110024449877, 0.7872860635696821, 0.7799511002444988, 0.7726161369193154, 0.7726161369193154, 0.78239608801956]","[0.7937979631117555, 0.770008234187, 0.8154456451901707, 0.7868912337662337, 0.8172629947690269, 0.787123169141252, 0.7759129970538081, 0.7775254179363768, 0.7724189915722175, 0.7805319148936171]","[0.7709856122559706, 0.7702312791626796, 0.7793169115011691, 0.7836791589546823, 0.787460099675029, 0.7842202237281297, 0.7698191336382161, 0.760110193699821, 0.7771412645501461, 0.7721294444258326]","[0.7749427285132704, 0.7677357740139301, 0.7877570173047429, 0.7840173900076619, 0.7921426572693945, 0.7842127216519491, 0.7721397794193541, 0.7662949707054892, 0.7715733108258882, 0.7747399064563575]","[0.7941844998579111, 0.7821069205392718, 0.8124694211534057, 0.7945398045581868, 0.8185170343338392, 0.7925246485575357, 0.7812050142692261, 0.7769672653786931, 0.7757958822455234, 0.7798408156895387]","[0.7794117647058824, 0.7720588235294118, 0.7916666666666666, 0.7892156862745098, 0.7995110024449877, 0.7872860635696821, 0.7799511002444988, 0.7726161369193154, 0.7726161369193154, 0.78239608801956]","[0.780166907687212, 0.7744193873152931, 0.7933353865353586, 0.7906694507656864, 0.7998863488254633, 0.7885302116104329, 0.7799072790392396, 0.7724146366517388, 0.7712811751394667, 0.7794419345407676]","[array([[ 83,   8,   4,   5],
       [ 26,  54,   0,   5],
       [  7,   0,  71,  11],
       [ 12,   0,  12, 110]]), array([[ 76,  20,   3,   1],
       [ 23,  60,   0,   2],
       [  7,   0,  74,   8],
       [ 10,   1,  18, 105]]), array([[ 87,   9,   3,   2],
       [ 25,  57,   0,   2],
       [  7,   0,  64,  18],
       [ 16,   0,   3, 115]]), array([[ 78,  18,   4,   1],
       [ 18,  65,   0,   1],
       [  8,   0,  67,  14],
       [  8,   5,   9, 112]]), array([[ 89,   7,   4,   1],
       [ 30,  52,   0,   2],
       [  5,   0,  71,  13],
       [ 12,   0,   8, 115]]), array([[ 79,  17,   3,   2],
       [ 16,  66,   0,   2],
       [  7,   0,  68,  15],
       [ 10,   6,   9, 109]]), array([[ 77,  20,   3,   1],
       [ 22,  60,   0,   3],
       [  4,   0,  67,  18],
       [  6,   1,  12, 115]]), array([[ 74,  16,   3,   8],
       [ 20,  57,   0,   8],
       [  8,   0,  68,  13],
       [  9,   1,   7, 117]]), array([[ 73,  11,   4,  13],
       [ 16,  62,   0,   7],
       [  3,   0,  81,   5],
       [  1,   7,  26, 100]]), array([[ 66,  18,   3,  14],
       [ 20,  57,   0,   8],
       [  2,   0,  78,   9],
       [  6,   0,   9, 119]])]","[0.6739130434782609, 0.6739130434782609, 0.6956521739130435, 0.6956521739130435, 0.6222222222222222, 0.6888888888888889, 0.6444444444444445, 0.7111111111111111, 0.7111111111111111, 0.6444444444444445]","[0.6739130434782609, 0.6739130434782609, 0.6956521739130435, 0.6956521739130435, 0.6222222222222222, 0.6888888888888889, 0.6444444444444445, 0.7111111111111111, 0.7111111111111111, 0.6444444444444445]","[0.6739130434782609, 0.6739130434782609, 0.6956521739130435, 0.6956521739130435, 0.6222222222222222, 0.6888888888888889, 0.6444444444444445, 0.7111111111111111, 0.7111111111111111, 0.6444444444444445]","[0.6739130434782609, 0.6739130434782609, 0.6956521739130435, 0.6956521739130435, 0.6222222222222222, 0.6888888888888889, 0.6444444444444445, 0.7111111111111111, 0.7111111111111111, 0.6444444444444445]","[0.6976190476190476, 0.6910714285714286, 0.6979166666666666, 0.7072916666666667, 0.6559714795008913, 0.7176470588235294, 0.6518070745044429, 0.7233516483516483, 0.7, 0.6465909090909091]","[0.6708333333333333, 0.6555555555555557, 0.6712121212121213, 0.678030303030303, 0.6126623376623377, 0.7075757575757575, 0.622979797979798, 0.7214646464646465, 0.7030303030303029, 0.6497474747474747]","[0.6787280701754385, 0.6657738095238095, 0.668010752688172, 0.6883931480705674, 0.6166666666666667, 0.6902534113060428, 0.6307003862150921, 0.6921255281450185, 0.700751879699248, 0.6437464629315223]","[0.6865424430641821, 0.6940993788819876, 0.707427536231884, 0.7163949275362319, 0.6730441671618141, 0.7401307189542483, 0.647827903091061, 0.7343833943833944, 0.7111111111111111, 0.6425252525252525]","[0.6739130434782609, 0.6739130434782609, 0.6956521739130435, 0.6956521739130435, 0.6222222222222222, 0.6888888888888889, 0.6444444444444445, 0.7111111111111111, 0.7111111111111111, 0.6444444444444445]","[0.6753432494279177, 0.677148033126294, 0.6865357643758766, 0.7021891930727836, 0.6303703703703704, 0.690751570283734, 0.6393064633260712, 0.6944633743734193, 0.7104427736006683, 0.6392253034018738]","[array([[ 9,  1,  0,  2],
       [ 2,  6,  0,  1],
       [ 2,  0,  6,  2],
       [ 2,  0,  3, 10]]), array([[ 8,  2,  1,  1],
       [ 4,  5,  0,  0],
       [ 2,  0,  6,  2],
       [ 2,  0,  1, 12]]), array([[ 9,  2,  0,  0],
       [ 6,  4,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  0,  2, 13]]), array([[ 6,  5,  0,  0],
       [ 4,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  2,  0, 13]]), array([[ 7,  2,  2,  0],
       [ 6,  4,  0,  0],
       [ 2,  0,  7,  1],
       [ 2,  0,  2, 10]]), array([[ 4,  7,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  9,  0],
       [ 2,  2,  1, 10]]), array([[ 7,  2,  1,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  5,  5],
       [ 1,  0,  2, 12]]), array([[ 4,  5,  1,  1],
       [ 0,  8,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  3, 11]]), array([[ 6,  3,  0,  2],
       [ 3,  6,  0,  0],
       [ 1,  0,  8,  1],
       [ 0,  1,  2, 12]]), array([[ 5,  3,  0,  3],
       [ 1,  7,  0,  1],
       [ 1,  0,  7,  2],
       [ 1,  0,  4, 10]])]"
20,"[0.7524509803921569, 0.7573529411764706, 0.7622549019607843, 0.7622549019607843, 0.7481662591687042, 0.7555012224938875, 0.7750611246943765, 0.7628361858190709, 0.7506112469437652, 0.7555012224938875]","[0.7524509803921569, 0.7573529411764706, 0.7622549019607843, 0.7622549019607843, 0.7481662591687042, 0.7555012224938875, 0.7750611246943765, 0.7628361858190709, 0.7506112469437652, 0.7555012224938875]","[0.7524509803921569, 0.7573529411764706, 0.7622549019607843, 0.7622549019607843, 0.7481662591687042, 0.7555012224938875, 0.7750611246943765, 0.7628361858190709, 0.7506112469437652, 0.7555012224938875]","[0.7524509803921569, 0.7573529411764706, 0.7622549019607843, 0.7622549019607843, 0.7481662591687042, 0.7555012224938875, 0.7750611246943765, 0.7628361858190709, 0.7506112469437652, 0.7555012224938875]","[0.7502519418660452, 0.7583176961336214, 0.7810749535250385, 0.7636541865519482, 0.7781076066790351, 0.7557612233507374, 0.7708463692976968, 0.7651065569227358, 0.7526240711724582, 0.7545901795352139]","[0.7600327509840092, 0.7529419903128113, 0.7486362448204285, 0.7588383511933522, 0.7341318180774739, 0.7484554478902048, 0.7626711815660757, 0.7541660224461251, 0.7487038274562676, 0.7506293615521302]","[0.7511314393151157, 0.7534714509530803, 0.7528946794187108, 0.7584907218959038, 0.7366439050233247, 0.7502423435620873, 0.7652700999056598, 0.7574641997953993, 0.7451897462920065, 0.7486912198873386]","[0.7631606857912056, 0.7573431740060218, 0.7778110068929647, 0.764584044502612, 0.7698824228513367, 0.7557410554688837, 0.7763026693939562, 0.7673088980913592, 0.7557343899721057, 0.7573745006738591]","[0.7524509803921569, 0.7573529411764706, 0.7622549019607843, 0.7622549019607843, 0.7481662591687042, 0.7555012224938875, 0.7750611246943765, 0.7628361858190709, 0.7506112469437652, 0.7555012224938875]","[0.7532157053669146, 0.755118977462494, 0.7578169210468071, 0.7606257511657666, 0.742605035161478, 0.7540096492030909, 0.7743133414980615, 0.76307067392857, 0.7478755433447325, 0.7525097904479788]","[array([[72, 22,  5,  1],
       [17, 65,  1,  2],
       [ 2,  1, 76, 10],
       [14,  5, 21, 94]]), array([[ 63,  19,   3,  15],
       [ 14,  62,   0,   9],
       [  2,   0,  74,  13],
       [  4,   2,  18, 110]]), array([[ 57,  25,   3,  16],
       [ 12,  66,   0,   6],
       [  1,   1,  64,  23],
       [  1,   6,   3, 124]]), array([[ 65,  18,   4,  14],
       [ 13,  64,   0,   7],
       [  3,   0,  72,  14],
       [  0,   5,  19, 110]]), array([[ 78,   3,   4,  16],
       [ 34,  41,   0,   9],
       [  2,   0,  76,  11],
       [  6,   0,  18, 111]]), array([[ 73,  11,   4,  13],
       [ 23,  54,   0,   7],
       [  3,   0,  74,  13],
       [  2,   5,  19, 108]]), array([[ 80,  17,   3,   1],
       [ 26,  56,   0,   3],
       [  4,   0,  66,  19],
       [  3,   4,  12, 115]]), array([[ 69,  22,   3,   7],
       [ 14,  63,   0,   8],
       [  6,   2,  66,  15],
       [  8,   6,   6, 114]]), array([[ 59,  25,   4,  13],
       [ 11,  67,   0,   7],
       [  3,   0,  72,  14],
       [  1,   7,  17, 109]]), array([[ 60,  24,   4,  13],
       [ 14,  63,   0,   8],
       [  1,   1,  74,  13],
       [  2,   4,  16, 112]])]","[0.6521739130434783, 0.717391304347826, 0.6739130434782609, 0.6739130434782609, 0.6444444444444445, 0.7333333333333333, 0.6888888888888889, 0.6666666666666666, 0.6888888888888889, 0.6444444444444445]","[0.6521739130434783, 0.717391304347826, 0.6739130434782609, 0.6739130434782609, 0.6444444444444445, 0.7333333333333333, 0.6888888888888889, 0.6666666666666666, 0.6888888888888889, 0.6444444444444445]","[0.6521739130434783, 0.717391304347826, 0.6739130434782609, 0.6739130434782609, 0.6444444444444445, 0.7333333333333333, 0.6888888888888889, 0.6666666666666666, 0.6888888888888889, 0.6444444444444445]","[0.6521739130434783, 0.717391304347826, 0.6739130434782609, 0.6739130434782609, 0.6444444444444445, 0.7333333333333333, 0.6888888888888889, 0.6666666666666666, 0.6888888888888889, 0.6444444444444445]","[0.6798878205128205, 0.7370098039215687, 0.68125, 0.6617965367965368, 0.6680194805194805, 0.7301510989010989, 0.7078947368421054, 0.6803571428571429, 0.6774725274725275, 0.6679487179487179]","[0.675, 0.6930555555555555, 0.6507575757575758, 0.665909090909091, 0.6282467532467533, 0.7386363636363635, 0.6785353535353535, 0.6737373737373737, 0.6853535353535354, 0.652020202020202]","[0.6519175027870681, 0.703125, 0.6579365079365079, 0.6563910999394871, 0.6183862433862434, 0.727491517399195, 0.683780529755762, 0.639064558629776, 0.6702020202020202, 0.6325757575757576]","[0.6985785953177258, 0.7319693094629156, 0.6782608695652174, 0.6694193487671748, 0.6747474747474748, 0.738150183150183, 0.7033040935672514, 0.6902116402116403, 0.6918192918192918, 0.6736182336182337]","[0.6521739130434783, 0.717391304347826, 0.6739130434782609, 0.6739130434782609, 0.6444444444444445, 0.7333333333333333, 0.6888888888888889, 0.6666666666666666, 0.6888888888888889, 0.6444444444444445]","[0.6463806892540351, 0.7142210144927535, 0.6673567977915804, 0.6645881779121611, 0.6326866549088771, 0.7292564244193692, 0.6862362878874747, 0.6429688186209925, 0.6803591470258137, 0.6333333333333333]","[array([[8, 3, 0, 1],
       [2, 6, 1, 0],
       [1, 0, 9, 0],
       [2, 0, 6, 7]]), array([[ 9,  1,  1,  1],
       [ 4,  5,  0,  0],
       [ 1,  0,  6,  3],
       [ 1,  0,  1, 13]]), array([[ 7,  3,  0,  1],
       [ 2,  5,  0,  3],
       [ 1,  0,  6,  3],
       [ 0,  0,  2, 13]]), array([[ 4,  5,  0,  2],
       [ 3,  5,  0,  2],
       [ 0,  0, 10,  0],
       [ 0,  2,  1, 12]]), array([[ 8,  1,  2,  0],
       [ 7,  3,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  2, 11]]), array([[ 5,  4,  0,  2],
       [ 3,  7,  0,  0],
       [ 0,  0,  9,  0],
       [ 0,  2,  1, 12]]), array([[ 7,  2,  1,  1],
       [ 1,  7,  0,  1],
       [ 0,  0,  5,  5],
       [ 0,  1,  2, 12]]), array([[ 3,  6,  1,  1],
       [ 0,  8,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  3, 11]]), array([[ 4,  5,  0,  2],
       [ 2,  7,  0,  0],
       [ 1,  0,  8,  1],
       [ 0,  1,  2, 12]]), array([[ 4,  4,  0,  3],
       [ 1,  7,  0,  1],
       [ 0,  1,  8,  1],
       [ 0,  1,  4, 10]])]"
