max_depth value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
3,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.782608695652174, 0.8260869565217391, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.7777777777777778, 0.6888888888888889, 0.7777777777777778, 0.6666666666666666, 0.7555555555555555]","[0.782608695652174, 0.8260869565217391, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.7777777777777778, 0.6888888888888889, 0.7777777777777778, 0.6666666666666666, 0.7555555555555555]","[0.782608695652174, 0.8260869565217391, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.7777777777777778, 0.6888888888888889, 0.7777777777777778, 0.6666666666666666, 0.7555555555555555]","[0.782608695652174, 0.8260869565217391, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.7777777777777778, 0.6888888888888889, 0.7777777777777778, 0.6666666666666666, 0.7555555555555555]","[0.8145299145299145, 0.8333333333333333, 0.7611111111111111, 0.805952380952381, 0.7555555555555555, 0.779029304029304, 0.6972402597402597, 0.7870098039215687, 0.6732259570494864, 0.7873737373737374]","[0.8013888888888888, 0.8263888888888888, 0.7568181818181818, 0.8068181818181819, 0.7483766233766235, 0.7628787878787878, 0.678030303030303, 0.76010101010101, 0.6462121212121212, 0.7502525252525253]","[0.795079365079365, 0.8291478023014525, 0.7565048986101617, 0.8041909240185102, 0.7479252598581092, 0.7666666666666667, 0.6768817204301074, 0.7654438405797102, 0.6417228415867253, 0.7484402852049912]","[0.8160535117056856, 0.8266908212560387, 0.766183574879227, 0.8113871635610765, 0.76, 0.7851037851037851, 0.71002886002886, 0.7826797385620915, 0.6841560327834837, 0.7861952861952862]","[0.782608695652174, 0.8260869565217391, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.7777777777777778, 0.6888888888888889, 0.7777777777777778, 0.6666666666666666, 0.7555555555555555]","[0.7869565217391304, 0.8256809625747398, 0.7613500153545921, 0.805814625154955, 0.7539412271535683, 0.7777777777777778, 0.6891756272401434, 0.7732487922705314, 0.6594733961340131, 0.7507308377896613]","[array([[ 9,  1,  1,  1],
       [ 0,  8,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  5, 10]]), array([[11,  0,  0,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 1,  8,  0,  1],
       [ 1,  0,  7,  2],
       [ 0,  1,  2, 12]]), array([[ 8,  2,  1,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  2,  0, 12]]), array([[ 7,  4,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[ 9,  2,  0,  0],
       [ 3,  7,  0,  0],
       [ 1,  0,  6,  2],
       [ 0,  1,  1, 13]]), array([[ 6,  4,  1,  0],
       [ 0,  6,  1,  2],
       [ 1,  0,  7,  2],
       [ 0,  1,  2, 12]]), array([[ 9,  1,  0,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 13]]), array([[ 9,  2,  0,  0],
       [ 6,  3,  0,  0],
       [ 0,  0,  7,  3],
       [ 2,  0,  2, 11]]), array([[ 6,  3,  1,  1],
       [ 0,  8,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]])]"
5,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7391304347826086, 0.782608695652174, 0.8260869565217391, 0.8043478260869565, 0.7555555555555555, 0.8444444444444444, 0.6666666666666666, 0.7777777777777778, 0.7333333333333333, 0.7777777777777778]","[0.7391304347826086, 0.782608695652174, 0.8260869565217391, 0.8043478260869565, 0.7555555555555555, 0.8444444444444444, 0.6666666666666666, 0.7777777777777778, 0.7333333333333333, 0.7777777777777778]","[0.7391304347826086, 0.782608695652174, 0.8260869565217391, 0.8043478260869565, 0.7555555555555555, 0.8444444444444444, 0.6666666666666666, 0.7777777777777778, 0.7333333333333333, 0.7777777777777778]","[0.7391304347826086, 0.782608695652174, 0.8260869565217391, 0.8043478260869565, 0.7555555555555555, 0.8444444444444444, 0.6666666666666666, 0.7777777777777778, 0.7333333333333333, 0.7777777777777778]","[0.7529761904761905, 0.7847222222222222, 0.826388888888889, 0.8072916666666666, 0.7617694805194805, 0.8639880952380953, 0.6802584670231729, 0.7906746031746033, 0.7510416666666667, 0.8011363636363636]","[0.7347222222222223, 0.7777777777777777, 0.8212121212121212, 0.7962121212121213, 0.7555194805194805, 0.842929292929293, 0.6525252525252525, 0.7606060606060606, 0.7222222222222222, 0.7813131313131312]","[0.7313218390804597, 0.7805366911903415, 0.8228451563691839, 0.8000664353731454, 0.7518512189564821, 0.8414086687306502, 0.6500350140056023, 0.7685276679841897, 0.7203703703703703, 0.7784690220174091]","[0.7546583850931677, 0.7832125603864735, 0.8291062801932366, 0.8066123188405798, 0.7664141414141413, 0.867063492063492, 0.6915230738760151, 0.7825396825396825, 0.7458333333333333, 0.8015151515151515]","[0.7391304347826086, 0.782608695652174, 0.8260869565217391, 0.8043478260869565, 0.7555555555555555, 0.8444444444444444, 0.6666666666666666, 0.7777777777777778, 0.7333333333333333, 0.7777777777777778]","[0.7365067466266867, 0.7822027017051746, 0.8267336583424535, 0.8038872716885818, 0.7545277334751018, 0.8446279096433895, 0.6631030189853719, 0.7733347972478408, 0.7251028806584361, 0.7775001422313251]","[array([[ 9,  1,  1,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  4, 11]]), array([[10,  1,  0,  1],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[ 9,  2,  0,  0],
       [ 1,  8,  0,  1],
       [ 1,  0,  8,  1],
       [ 1,  0,  1, 13]]), array([[ 9,  1,  1,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  1,  0, 13]]), array([[ 7,  3,  1,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  3, 11]]), array([[ 8,  3,  0,  0],
       [ 0, 10,  0,  0],
       [ 0,  0,  7,  2],
       [ 0,  1,  1, 13]]), array([[ 5,  5,  1,  0],
       [ 1,  5,  0,  3],
       [ 0,  0,  8,  2],
       [ 0,  1,  2, 12]]), array([[10,  1,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  2, 13]]), array([[11,  0,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  1,  2, 11]]), array([[ 7,  3,  0,  1],
       [ 0,  8,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]])]"
7,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.6956521739130435, 0.782608695652174, 0.7608695652173914, 0.782608695652174, 0.7111111111111111, 0.8222222222222222, 0.7111111111111111, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555]","[0.6956521739130435, 0.782608695652174, 0.7608695652173914, 0.782608695652174, 0.7111111111111111, 0.8222222222222222, 0.7111111111111111, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555]","[0.6956521739130435, 0.782608695652174, 0.7608695652173914, 0.782608695652174, 0.7111111111111111, 0.8222222222222222, 0.7111111111111111, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555]","[0.6956521739130435, 0.782608695652174, 0.7608695652173914, 0.782608695652174, 0.7111111111111111, 0.8222222222222222, 0.7111111111111111, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555]","[0.7021291208791208, 0.7847222222222222, 0.7864145658263305, 0.8318181818181818, 0.7007575757575757, 0.8207070707070707, 0.7202205882352941, 0.6918859649122806, 0.7694444444444444, 0.7873737373737374]","[0.7013888888888888, 0.7777777777777777, 0.7439393939393939, 0.7628787878787879, 0.7006493506493506, 0.8207070707070707, 0.7007575757575757, 0.6595959595959596, 0.7411616161616161, 0.7502525252525253]","[0.68622002997003, 0.7805366911903415, 0.7483738687782806, 0.7714285714285714, 0.6985632183908046, 0.8198412698412698, 0.7046052631578947, 0.6650895140664961, 0.7431848852901484, 0.7484402852049912]","[0.7090659340659341, 0.7832125603864735, 0.7814517111192302, 0.8189723320158102, 0.7088215488215488, 0.8238383838383839, 0.7247385620915032, 0.6910331384015594, 0.7691358024691358, 0.7861952861952862]","[0.6956521739130435, 0.782608695652174, 0.7608695652173914, 0.782608695652174, 0.7111111111111111, 0.8222222222222222, 0.7111111111111111, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555]","[0.6884338487599357, 0.7822027017051746, 0.7557975113122172, 0.7763975155279503, 0.7078416347381864, 0.8222222222222222, 0.7119883040935673, 0.6797650847778725, 0.7517768780926676, 0.7507308377896613]","[array([[ 7,  2,  1,  2],
       [ 3,  5,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  0,  5, 10]]), array([[10,  1,  0,  1],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[10,  1,  0,  0],
       [ 3,  6,  0,  1],
       [ 1,  0,  6,  3],
       [ 1,  0,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  5,  5],
       [ 0,  1,  0, 14]]), array([[ 6,  4,  1,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[ 8,  2,  0,  1],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  1, 13]]), array([[ 7,  3,  1,  0],
       [ 1,  6,  0,  2],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[ 8,  2,  0,  1],
       [ 4,  4,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  2, 13]]), array([[10,  1,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  2, 12]]), array([[ 6,  3,  1,  1],
       [ 0,  8,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]])]"
9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.8043478260869565, 0.8043478260869565, 0.7391304347826086, 0.8695652173913043, 0.8, 0.7555555555555555, 0.6888888888888889, 0.8, 0.7333333333333333, 0.7333333333333333]","[0.8043478260869565, 0.8043478260869565, 0.7391304347826086, 0.8695652173913043, 0.8, 0.7555555555555555, 0.6888888888888889, 0.8, 0.7333333333333333, 0.7333333333333333]","[0.8043478260869565, 0.8043478260869565, 0.7391304347826086, 0.8695652173913043, 0.8, 0.7555555555555555, 0.6888888888888889, 0.8, 0.7333333333333333, 0.7333333333333333]","[0.8043478260869565, 0.8043478260869565, 0.7391304347826086, 0.8695652173913043, 0.8, 0.7555555555555555, 0.6888888888888889, 0.8, 0.7333333333333333, 0.7333333333333333]","[0.8418560606060607, 0.8092171717171717, 0.753932178932179, 0.86875, 0.8036931818181818, 0.7559659090909091, 0.7026515151515151, 0.8035714285714286, 0.7442557442557443, 0.7440247252747252]","[0.8194444444444444, 0.8055555555555556, 0.7234848484848485, 0.8628787878787878, 0.7889610389610391, 0.7452020202020202, 0.6803030303030303, 0.7828282828282828, 0.7356060606060605, 0.7368686868686869]","[0.8136341818407036, 0.8056765335498635, 0.7305831423478482, 0.8650921658986175, 0.792063492063492, 0.7488931056293485, 0.6739405439595192, 0.7833333333333333, 0.7327380952380953, 0.7319892685236329]","[0.8404150197628458, 0.8073232323232323, 0.7514869188782233, 0.8701086956521739, 0.8043939393939395, 0.7583585858585858, 0.7153198653198652, 0.8079365079365081, 0.743856143856144, 0.7525457875457875]","[0.8043478260869565, 0.8043478260869565, 0.7391304347826086, 0.8695652173913043, 0.8, 0.7555555555555555, 0.6888888888888889, 0.8, 0.7333333333333333, 0.7333333333333333]","[0.8068087263503143, 0.8042403099033638, 0.7374918346785355, 0.8690643157683831, 0.7980246913580247, 0.7553868859371705, 0.6854532494001184, 0.7955555555555555, 0.7317989417989419, 0.7349483153160261]","[array([[10,  0,  1,  1],
       [ 1,  7,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  0,  5, 10]]), array([[10,  1,  0,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  1,  1, 13]]), array([[ 9,  1,  1,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  1,  0, 14]]), array([[ 8,  3,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 13]]), array([[ 7,  3,  0,  1],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  2],
       [ 0,  1,  1, 13]]), array([[ 5,  5,  1,  0],
       [ 1,  6,  0,  2],
       [ 0,  0,  8,  2],
       [ 0,  1,  2, 12]]), array([[10,  1,  0,  0],
       [ 3,  5,  0,  1],
       [ 1,  0,  8,  1],
       [ 0,  0,  2, 13]]), array([[10,  1,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  4, 10]]), array([[ 7,  3,  1,  0],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]])]"
