max_depth value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
None,"[0.8809034907597536, 0.8788501026694046, 0.845679012345679, 0.8806584362139918, 0.885480572597137, 0.8724279835390947, 0.8767967145790554, 0.8993839835728953, 0.8850102669404517, 0.8829568788501027]","[0.8809034907597536, 0.8788501026694046, 0.845679012345679, 0.8806584362139918, 0.885480572597137, 0.8724279835390947, 0.8767967145790554, 0.8993839835728953, 0.8850102669404517, 0.8829568788501027]","[0.8809034907597536, 0.8788501026694046, 0.845679012345679, 0.8806584362139918, 0.885480572597137, 0.8724279835390947, 0.8767967145790554, 0.8993839835728953, 0.8850102669404517, 0.8829568788501027]","[0.8809034907597536, 0.8788501026694046, 0.845679012345679, 0.8806584362139918, 0.885480572597137, 0.8724279835390947, 0.8767967145790554, 0.8993839835728953, 0.8850102669404517, 0.8829568788501027]","[0.8981816223600978, 0.8734565605022176, 0.842254051713174, 0.8757364533807768, 0.8933220608599124, 0.8674926652096249, 0.8771753019640866, 0.900972866748689, 0.8812953667561881, 0.8759561243429569]","[0.8573748902546093, 0.8673397717295874, 0.8267590618336887, 0.8806858564321252, 0.8681878306878307, 0.8654495380241649, 0.8708516242317822, 0.8989025460930641, 0.8793898156277435, 0.8785996488147497]","[0.866377486723003, 0.869810256337032, 0.8312573175726864, 0.8763145213909316, 0.8758094437715417, 0.8661125165751071, 0.8733051180463566, 0.8998441973018587, 0.8802065861567707, 0.8766283955753289]","[0.8915958270366131, 0.8777113833714906, 0.8459869634888367, 0.884841639679911, 0.8888180124794436, 0.872679855999534, 0.8775533747398769, 0.8994948392151524, 0.8851109145307958, 0.884716482735666]","[0.8809034907597536, 0.8788501026694046, 0.845679012345679, 0.8806584362139918, 0.885480572597137, 0.8724279835390947, 0.8767967145790554, 0.8993839835728953, 0.8850102669404517, 0.8829568788501027]","[0.8773682400072478, 0.8778280246692672, 0.8431941004423588, 0.8809291147277246, 0.8834321556777677, 0.872170500208076, 0.8765089033999466, 0.899349397167275, 0.8849227861328455, 0.8831885421527234]","[array([[130,   2,   1,   1],
       [ 27,  53,   2,   3],
       [  3,   0, 122,   9],
       [  4,   0,   6, 124]]), array([[116,  13,   3,   2],
       [ 15,  64,   0,   6],
       [  1,   0, 126,   7],
       [  2,   0,  10, 122]]), array([[116,  11,   4,   3],
       [ 28,  54,   0,   2],
       [  1,   0, 126,   7],
       [  1,   2,  16, 115]]), array([[112,  18,   3,   1],
       [  8,  74,   0,   2],
       [  3,   0, 127,   4],
       [  1,   2,  16, 115]]), array([[126,   4,   4,   1],
       [ 18,  59,   2,   5],
       [  1,   0, 121,  13],
       [  2,   0,   6, 127]]), array([[116,  14,   3,   1],
       [ 12,  67,   1,   4],
       [  2,   1, 124,   7],
       [  2,   0,  15, 117]]), array([[117,   8,   6,   3],
       [ 15,  69,   0,   1],
       [  2,   0, 124,   8],
       [  0,   2,  15, 117]]), array([[123,   7,   2,   2],
       [  6,  76,   0,   3],
       [  4,   0, 121,   9],
       [  5,   0,  11, 118]]), array([[120,  13,   0,   1],
       [ 11,  70,   2,   2],
       [  4,   0, 122,   8],
       [  2,   0,  13, 119]]), array([[117,  14,   2,   1],
       [  9,  71,   1,   4],
       [  2,   1, 126,   5],
       [  1,   4,  13, 116]])]","[0.6739130434782609, 0.6521739130434783, 0.5217391304347826, 0.6521739130434783, 0.7111111111111111, 0.7333333333333333, 0.7111111111111111, 0.6888888888888889, 0.7111111111111111, 0.5555555555555556]","[0.6739130434782609, 0.6521739130434783, 0.5217391304347826, 0.6521739130434783, 0.7111111111111111, 0.7333333333333333, 0.7111111111111111, 0.6888888888888889, 0.7111111111111111, 0.5555555555555556]","[0.6739130434782609, 0.6521739130434783, 0.5217391304347826, 0.6521739130434783, 0.7111111111111111, 0.7333333333333333, 0.7111111111111111, 0.6888888888888889, 0.7111111111111111, 0.5555555555555556]","[0.6739130434782609, 0.6521739130434783, 0.5217391304347826, 0.6521739130434783, 0.7111111111111111, 0.7333333333333333, 0.7111111111111111, 0.6888888888888889, 0.7111111111111111, 0.5555555555555556]","[0.6825980392156863, 0.6566017316017315, 0.4947916666666667, 0.6556110556110556, 0.7217171717171718, 0.7279491341991342, 0.6931245225362872, 0.7488344988344988, 0.7266483516483517, 0.5451388888888888]","[0.6458333333333334, 0.6375, 0.5015151515151515, 0.646969696969697, 0.714935064935065, 0.7351010101010101, 0.6868686868686869, 0.6628787878787878, 0.6767676767676767, 0.5419191919191919]","[0.6383731211317418, 0.6379679144385026, 0.49500308689612593, 0.6410628019323672, 0.7070676691729323, 0.7225925925925927, 0.6872159090909091, 0.6609848484848484, 0.6770833333333333, 0.5430363543266769]","[0.6851023017902813, 0.6619988706945229, 0.5131340579710145, 0.6653346653346653, 0.7356677890011222, 0.7470418470418471, 0.7025210084033613, 0.7328671328671328, 0.7231990231990232, 0.555]","[0.6739130434782609, 0.6521739130434783, 0.5217391304347826, 0.6521739130434783, 0.7111111111111111, 0.7333333333333333, 0.7111111111111111, 0.6888888888888889, 0.7111111111111111, 0.5555555555555556]","[0.6577672702110483, 0.6484305975354568, 0.5144413053544227, 0.6492333543373242, 0.7123141186299081, 0.7310617283950617, 0.7041666666666667, 0.6739057239057239, 0.6935185185185185, 0.5547363031233999]","[array([[11,  1,  0,  0],
       [ 5,  3,  0,  1],
       [ 1,  0,  6,  3],
       [ 0,  0,  4, 11]]), array([[ 7,  4,  0,  1],
       [ 2,  6,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  1,  2, 12]]), array([[ 3,  5,  3,  0],
       [ 4,  5,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  0,  4, 11]]), array([[ 5,  4,  1,  1],
       [ 2,  7,  0,  1],
       [ 0,  1,  7,  2],
       [ 0,  1,  3, 11]]), array([[ 6,  2,  3,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  9,  1],
       [ 1,  0,  3, 10]]), array([[ 9,  2,  0,  0],
       [ 5,  5,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  3, 11]]), array([[ 7,  3,  1,  0],
       [ 3,  4,  0,  2],
       [ 0,  0,  8,  2],
       [ 1,  0,  1, 13]]), array([[ 9,  0,  1,  1],
       [ 4,  3,  0,  2],
       [ 0,  0,  7,  3],
       [ 0,  0,  3, 12]]), array([[ 9,  2,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  4,  6],
       [ 0,  0,  1, 14]]), array([[ 6,  3,  2,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  4,  6],
       [ 0,  1,  4, 10]])]"
5,"[0.8049281314168378, 0.7802874743326489, 0.8004115226337448, 0.8148148148148148, 0.8098159509202454, 0.779835390946502, 0.8213552361396304, 0.8049281314168378, 0.7987679671457906, 0.7741273100616016]","[0.8049281314168378, 0.7802874743326489, 0.8004115226337448, 0.8148148148148148, 0.8098159509202454, 0.779835390946502, 0.8213552361396304, 0.8049281314168378, 0.7987679671457906, 0.7741273100616016]","[0.8049281314168378, 0.7802874743326489, 0.8004115226337448, 0.8148148148148148, 0.8098159509202454, 0.779835390946502, 0.8213552361396304, 0.8049281314168378, 0.7987679671457906, 0.7741273100616016]","[0.8049281314168378, 0.7802874743326489, 0.8004115226337448, 0.8148148148148148, 0.8098159509202454, 0.779835390946502, 0.8213552361396304, 0.8049281314168378, 0.7987679671457906, 0.7741273100616016]","[0.8447353954837502, 0.7895944673515042, 0.8237162459425722, 0.8217520762637536, 0.8264895923768302, 0.8324011198003298, 0.8178911843669949, 0.8034873351049822, 0.8030849909258202, 0.7698255998499474]","[0.7657594381035996, 0.7455223880597015, 0.7579513148543, 0.7932213930348259, 0.7783068783068784, 0.73818407960199, 0.8107989464442494, 0.7861940298507463, 0.768766461808604, 0.7582089552238807]","[0.7679346060474272, 0.7463670173613646, 0.7571600399548319, 0.7973762227097583, 0.7831132121511976, 0.7371989548816873, 0.8118669986172171, 0.7887355329939971, 0.7708991162818288, 0.7594887443487777]","[0.8350318786867897, 0.7894834670511184, 0.8207095658470972, 0.8262761810462613, 0.8239266351008985, 0.8151584366522158, 0.8256537546702526, 0.8110250751874136, 0.807951587393774, 0.7788634938800242]","[0.8049281314168378, 0.7802874743326489, 0.8004115226337448, 0.8148148148148148, 0.8098159509202454, 0.779835390946502, 0.8213552361396304, 0.8049281314168378, 0.7987679671457906, 0.7741273100616016]","[0.7910883114270029, 0.7680112347139454, 0.7844887041756159, 0.8108237078993766, 0.8010963116435741, 0.7616021395402971, 0.8208193521803705, 0.8018831301734288, 0.7901357889642937, 0.7717627658540961]","[array([[132,   2,   0,   0],
       [ 49,  32,   0,   4],
       [  6,   0, 111,  17],
       [  5,   0,  12, 117]]), array([[124,   6,   2,   2],
       [ 46,  34,   1,   4],
       [  3,   1, 120,  10],
       [  2,   2,  28, 102]]), array([[124,   4,   4,   2],
       [ 52,  29,   1,   2],
       [  2,   0, 128,   4],
       [  3,   1,  22, 108]]), array([[117,  12,   5,   0],
       [ 32,  49,   1,   2],
       [  2,   0, 130,   2],
       [  6,   2,  26, 100]]), array([[129,   2,   3,   1],
       [ 41,  40,   1,   2],
       [  3,   0, 124,   8],
       [  5,   5,  22, 103]]), array([[129,   0,   1,   4],
       [ 50,  28,   1,   5],
       [  4,   0, 119,  11],
       [  3,   0,  28, 103]]), array([[107,  20,   7,   0],
       [ 25,  60,   0,   0],
       [  1,   0, 125,   8],
       [  1,   1,  24, 108]]), array([[116,  17,   0,   1],
       [ 29,  51,   1,   4],
       [  6,   0, 125,   3],
       [  2,   2,  30, 100]]), array([[122,  10,   1,   1],
       [ 41,  40,   2,   2],
       [  0,   1, 100,  33],
       [  1,   2,   4, 127]]), array([[117,  13,   3,   1],
       [ 32,  51,   1,   1],
       [  2,   2,  95,  35],
       [  2,   9,   9, 114]])]","[0.6304347826086957, 0.6521739130434783, 0.5869565217391305, 0.6304347826086957, 0.6666666666666666, 0.7777777777777778, 0.6444444444444445, 0.6888888888888889, 0.7777777777777778, 0.5777777777777777]","[0.6304347826086957, 0.6521739130434783, 0.5869565217391305, 0.6304347826086957, 0.6666666666666666, 0.7777777777777778, 0.6444444444444445, 0.6888888888888889, 0.7777777777777778, 0.5777777777777777]","[0.6304347826086957, 0.6521739130434783, 0.5869565217391305, 0.6304347826086957, 0.6666666666666666, 0.7777777777777778, 0.6444444444444445, 0.6888888888888889, 0.7777777777777778, 0.5777777777777777]","[0.6304347826086957, 0.6521739130434783, 0.5869565217391305, 0.6304347826086957, 0.6666666666666666, 0.7777777777777778, 0.6444444444444445, 0.6888888888888889, 0.7777777777777778, 0.5777777777777777]","[0.5899122807017544, 0.6628021101705311, 0.5655915775401069, 0.6232142857142857, 0.6973214285714285, 0.799264705882353, 0.6480769230769231, 0.7479166666666667, 0.8244047619047619, 0.5784313725490196]","[0.586111111111111, 0.6263888888888889, 0.5628787878787879, 0.6386363636363637, 0.6795454545454546, 0.7833333333333333, 0.6452020202020202, 0.6994949494949494, 0.7411616161616161, 0.5558080808080808]","[0.5631720430107527, 0.6059907834101382, 0.5226574500768049, 0.6232142857142857, 0.6592266556972438, 0.7555860805860806, 0.633299232736573, 0.6857648953301128, 0.7476190476190476, 0.560643115942029]","[0.6101258581235698, 0.670640572242403, 0.5780559753545687, 0.6343167701863355, 0.710952380952381, 0.819281045751634, 0.6760683760683761, 0.7712962962962961, 0.8134920634920636, 0.5823529411764706]","[0.6304347826086957, 0.6521739130434783, 0.5869565217391305, 0.6304347826086957, 0.6666666666666666, 0.7777777777777778, 0.6444444444444445, 0.6888888888888889, 0.7777777777777778, 0.5777777777777777]","[0.5982935951379149, 0.628197422026314, 0.5455987444065985, 0.6247412008281573, 0.6579295214589332, 0.764061864061864, 0.6449195794259732, 0.6885095723743067, 0.7627513227513227, 0.5744806763285024]","[array([[10,  2,  0,  0],
       [ 7,  1,  0,  1],
       [ 1,  0,  6,  3],
       [ 1,  0,  2, 12]]), array([[11,  0,  0,  1],
       [ 7,  2,  0,  0],
       [ 1,  0,  7,  2],
       [ 0,  1,  4, 10]]), array([[ 9,  1,  0,  1],
       [ 7,  1,  1,  1],
       [ 1,  0,  6,  3],
       [ 0,  0,  4, 11]]), array([[5, 4, 1, 1],
       [3, 6, 0, 1],
       [0, 0, 9, 1],
       [2, 0, 4, 9]]), array([[9, 1, 1, 0],
       [5, 5, 0, 0],
       [0, 0, 9, 1],
       [1, 1, 5, 7]]), array([[11,  0,  0,  0],
       [ 6,  4,  0,  0],
       [ 0,  0,  9,  0],
       [ 0,  1,  3, 11]]), array([[7, 3, 1, 0],
       [4, 4, 0, 1],
       [1, 0, 9, 0],
       [2, 1, 3, 9]]), array([[10,  1,  0,  0],
       [ 4,  5,  0,  0],
       [ 2,  0,  8,  0],
       [ 0,  0,  7,  8]]), array([[10,  1,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  5,  5],
       [ 0,  0,  0, 15]]), array([[ 6,  1,  2,  2],
       [ 5,  4,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  3, 11]])]"
15,"[0.891170431211499, 0.8521560574948666, 0.8559670781893004, 0.823045267489712, 0.8568507157464212, 0.8786008230452675, 0.8891170431211499, 0.891170431211499, 0.8850102669404517, 0.86652977412731]","[0.891170431211499, 0.8521560574948666, 0.8559670781893004, 0.823045267489712, 0.8568507157464212, 0.8786008230452675, 0.8891170431211499, 0.891170431211499, 0.8850102669404517, 0.86652977412731]","[0.891170431211499, 0.8521560574948666, 0.8559670781893004, 0.823045267489712, 0.8568507157464212, 0.8786008230452675, 0.8891170431211499, 0.891170431211499, 0.8850102669404517, 0.86652977412731]","[0.891170431211499, 0.8521560574948666, 0.8559670781893004, 0.823045267489712, 0.8568507157464212, 0.8786008230452675, 0.8891170431211499, 0.891170431211499, 0.8850102669404517, 0.86652977412731]","[0.9041586164924543, 0.844351165344807, 0.8483046776651428, 0.8259028642590286, 0.8646410506892864, 0.8794740828204761, 0.8882002580059747, 0.9066492583414337, 0.8834006972019832, 0.873576606818486]","[0.869929762949956, 0.8463125548726953, 0.8427505330490405, 0.810678749111585, 0.8433862433862434, 0.8632729211087419, 0.8788191395961369, 0.8742317822651449, 0.8697102721685689, 0.8464661984196664]","[0.8784051433480475, 0.8447996229692833, 0.8449186787273268, 0.813026109821199, 0.8487418374990272, 0.8688224017794893, 0.8823616864857047, 0.883002561058767, 0.8743265365214676, 0.8536689259041883]","[0.8979849560828939, 0.854403381616096, 0.856439853429996, 0.8291314976246483, 0.8614202977120039, 0.8791779039772668, 0.8901903628588398, 0.8989061214774807, 0.8858402097555794, 0.8707530459668504]","[0.891170431211499, 0.8521560574948666, 0.8559670781893004, 0.823045267489712, 0.8568507157464212, 0.8786008230452675, 0.8891170431211499, 0.891170431211499, 0.8850102669404517, 0.86652977412731]","[0.887982616954684, 0.8527568745616755, 0.8556365735819139, 0.820657036429891, 0.8543778955520887, 0.8769858500890534, 0.8886487698416005, 0.8891486655539207, 0.8836109050410551, 0.8637551048572215]","[array([[127,   1,   3,   3],
       [ 24,  56,   0,   5],
       [  2,   0, 130,   2],
       [  1,   1,  11, 121]]), array([[119,  15,   0,   0],
       [ 15,  67,   1,   2],
       [  5,   1, 116,  12],
       [  2,   7,  12, 113]]), array([[116,  17,   0,   1],
       [ 21,  60,   0,   3],
       [  4,   1, 122,   7],
       [  3,   0,  13, 118]]), array([[115,  15,   2,   2],
       [ 20,  58,   0,   6],
       [  3,   0, 128,   3],
       [  0,   0,  35,  99]]), array([[126,   6,   0,   3],
       [ 19,  60,   0,   5],
       [  3,   0, 128,   4],
       [  3,   1,  26, 105]]), array([[122,   7,   4,   1],
       [ 17,  60,   2,   5],
       [  3,   1, 122,   8],
       [  2,   0,   9, 123]]), array([[124,   9,   0,   1],
       [ 15,  66,   0,   4],
       [  5,   0, 123,   6],
       [  3,   1,  10, 120]]), array([[132,   1,   0,   1],
       [ 20,  60,   0,   5],
       [  4,   0, 124,   6],
       [  3,   0,  13, 118]]), array([[123,  10,   1,   0],
       [ 20,  61,   0,   4],
       [  1,   0, 127,   6],
       [  4,   0,  10, 120]]), array([[124,   2,   5,   3],
       [ 28,  55,   0,   2],
       [  0,   1, 121,  12],
       [  2,   3,   7, 122]])]","[0.6956521739130435, 0.6086956521739131, 0.5, 0.717391304347826, 0.6, 0.6666666666666666, 0.6444444444444445, 0.6222222222222222, 0.8444444444444444, 0.4888888888888889]","[0.6956521739130435, 0.6086956521739131, 0.5, 0.717391304347826, 0.6, 0.6666666666666666, 0.6444444444444445, 0.6222222222222222, 0.8444444444444444, 0.4888888888888889]","[0.6956521739130435, 0.6086956521739131, 0.5, 0.717391304347826, 0.6, 0.6666666666666666, 0.6444444444444445, 0.6222222222222222, 0.8444444444444444, 0.4888888888888889]","[0.6956521739130435, 0.6086956521739131, 0.5, 0.717391304347826, 0.6, 0.6666666666666666, 0.6444444444444445, 0.6222222222222222, 0.8444444444444444, 0.4888888888888889]","[0.6740384615384616, 0.6041666666666666, 0.47916666666666663, 0.74004329004329, 0.6141414141414141, 0.6767379679144385, 0.651154401154401, 0.6073717948717949, 0.8616071428571428, 0.4856459330143541]","[0.6791666666666667, 0.5847222222222221, 0.48484848484848486, 0.709090909090909, 0.6113636363636363, 0.6512626262626262, 0.6224747474747474, 0.5957070707070707, 0.8272727272727274, 0.45757575757575764]","[0.6676406926406926, 0.5842304625199362, 0.48030303030303023, 0.7173796791443852, 0.597888198757764, 0.640079365079365, 0.6262626262626263, 0.5805907055907056, 0.8355286738351255, 0.4593837535014006]","[0.6933110367892976, 0.6123188405797101, 0.49637681159420294, 0.7298136645962733, 0.6283726150392817, 0.708972073677956, 0.662049062049062, 0.6339031339031339, 0.8599206349206349, 0.49156831472620943]","[0.6956521739130435, 0.6086956521739131, 0.5, 0.717391304347826, 0.6, 0.6666666666666666, 0.6444444444444445, 0.6222222222222222, 0.8444444444444444, 0.4888888888888889]","[0.6862507058159232, 0.6009985437903058, 0.49664031620553356, 0.7166937921413625, 0.5982608695652173, 0.6648677248677248, 0.6424242424242425, 0.6097133319355541, 0.8441616885702907, 0.47917833800186743]","[array([[ 9,  3,  0,  0],
       [ 5,  3,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  3, 11]]), array([[ 7,  4,  0,  1],
       [ 4,  5,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  1,  2, 12]]), array([[ 3,  6,  2,  0],
       [ 4,  5,  0,  1],
       [ 0,  1,  5,  4],
       [ 2,  0,  3, 10]]), array([[ 7,  1,  0,  3],
       [ 3,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  2, 12]]), array([[6, 4, 1, 0],
       [4, 6, 0, 0],
       [0, 0, 8, 2],
       [0, 1, 6, 7]]), array([[ 8,  1,  2,  0],
       [ 7,  3,  0,  0],
       [ 2,  0,  7,  0],
       [ 0,  1,  2, 12]]), array([[ 6,  4,  1,  0],
       [ 1,  4,  1,  3],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[ 8,  2,  1,  0],
       [ 7,  2,  0,  0],
       [ 1,  0,  7,  2],
       [ 0,  0,  4, 11]]), array([[10,  1,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  0, 14]]), array([[ 4,  2,  3,  2],
       [ 6,  3,  0,  0],
       [ 0,  0,  4,  6],
       [ 0,  0,  4, 11]])]"
20,"[0.8829568788501027, 0.8706365503080082, 0.8683127572016461, 0.8868312757201646, 0.869120654396728, 0.8806584362139918, 0.8726899383983573, 0.8993839835728953, 0.8788501026694046, 0.8973305954825462]","[0.8829568788501027, 0.8706365503080082, 0.8683127572016461, 0.8868312757201646, 0.869120654396728, 0.8806584362139918, 0.8726899383983573, 0.8993839835728953, 0.8788501026694046, 0.8973305954825462]","[0.8829568788501027, 0.8706365503080082, 0.8683127572016461, 0.8868312757201646, 0.869120654396728, 0.8806584362139918, 0.8726899383983573, 0.8993839835728953, 0.8788501026694046, 0.8973305954825462]","[0.8829568788501027, 0.8706365503080082, 0.8683127572016461, 0.8868312757201646, 0.869120654396728, 0.8806584362139918, 0.8726899383983573, 0.8993839835728953, 0.8788501026694046, 0.8973305954825462]","[0.8824734287132661, 0.8650198622997993, 0.8794542032904407, 0.8911458333333333, 0.8712839175314027, 0.8739927425985262, 0.8840065179445475, 0.8958139351236861, 0.8788052429338986, 0.9079500173250173]","[0.8775241439859526, 0.8652546093064091, 0.8639392324093818, 0.8685145700071073, 0.862367724867725, 0.8795753375977255, 0.8563652326602282, 0.8956760316066725, 0.870566286215979, 0.8830553116769095]","[0.8789133635727151, 0.8644512429251539, 0.8658457633182817, 0.8750498405530858, 0.8654746542176728, 0.8752312702901522, 0.8630402332095933, 0.8950738253297756, 0.8724161573699006, 0.8907974316871454]","[0.8843122767514681, 0.8722558053946103, 0.8789232175574218, 0.8895919067215363, 0.8702102027631248, 0.8840130098740072, 0.8801963421319867, 0.9005405461406196, 0.8818945547992878, 0.9017841921846028]","[0.8829568788501027, 0.8706365503080082, 0.8683127572016461, 0.8868312757201646, 0.869120654396728, 0.8806584362139918, 0.8726899383983573, 0.8993839835728953, 0.8788501026694046, 0.8973305954825462]","[0.882489243675885, 0.8707020795061815, 0.867285466144046, 0.8844393525663884, 0.868392256191295, 0.8808903804947849, 0.8701934206834194, 0.8992265155376143, 0.8779845482226142, 0.895908466908234]","[array([[120,  10,   2,   2],
       [ 10,  70,   1,   4],
       [  3,   0, 127,   4],
       [  2,   1,  18, 113]]), array([[118,  15,   1,   0],
       [ 14,  69,   0,   2],
       [  3,   0, 124,   7],
       [  2,   3,  16, 113]]), array([[126,   8,   0,   0],
       [ 13,  69,   1,   1],
       [  7,   0, 126,   1],
       [  5,   1,  27, 101]]), array([[123,   6,   4,   1],
       [ 21,  58,   0,   5],
       [  0,   0, 120,  14],
       [  0,   0,   4, 130]]), array([[127,   4,   2,   2],
       [ 15,  67,   0,   2],
       [  6,   0, 119,  10],
       [  1,   5,  17, 112]]), array([[110,  20,   3,   1],
       [  6,  73,   1,   4],
       [  2,   0, 126,   6],
       [  2,   1,  12, 119]]), array([[132,   1,   1,   0],
       [ 23,  59,   0,   3],
       [  5,   0, 124,   5],
       [  2,   4,  18, 110]]), array([[118,  13,   2,   1],
       [  9,  73,   0,   3],
       [  2,   0, 129,   3],
       [  2,   0,  14, 118]]), array([[122,   9,   1,   2],
       [ 15,  67,   1,   2],
       [  3,   0, 129,   2],
       [  4,   3,  17, 110]]), array([[126,   2,   3,   3],
       [ 17,  63,   0,   5],
       [  2,   0, 129,   3],
       [  3,   0,  12, 119]])]","[0.782608695652174, 0.6521739130434783, 0.43478260869565216, 0.6739130434782609, 0.6444444444444445, 0.6666666666666666, 0.6222222222222222, 0.6, 0.6888888888888889, 0.6222222222222222]","[0.782608695652174, 0.6521739130434783, 0.43478260869565216, 0.6739130434782609, 0.6444444444444445, 0.6666666666666666, 0.6222222222222222, 0.6, 0.6888888888888889, 0.6222222222222222]","[0.782608695652174, 0.6521739130434783, 0.43478260869565216, 0.6739130434782609, 0.6444444444444445, 0.6666666666666666, 0.6222222222222222, 0.6, 0.6888888888888889, 0.6222222222222222]","[0.782608695652174, 0.6521739130434783, 0.43478260869565216, 0.6739130434782609, 0.6444444444444445, 0.6666666666666666, 0.6222222222222222, 0.6, 0.6888888888888889, 0.6222222222222222]","[0.780448717948718, 0.6584821428571428, 0.45535714285714285, 0.7061853351327037, 0.6424242424242425, 0.6771708683473389, 0.6089743589743589, 0.6551470588235294, 0.6856060606060607, 0.6208333333333333]","[0.7833333333333333, 0.6555555555555556, 0.4386363636363636, 0.6568181818181819, 0.6448051948051948, 0.6484848484848484, 0.6141414141414141, 0.5924242424242424, 0.6896464646464646, 0.6035353535353536]","[0.7768846669102424, 0.6402212872058595, 0.4374538221085536, 0.6606811145510836, 0.641917502787068, 0.6493930905695611, 0.6084714518218355, 0.5835327635327636, 0.6806060072650462, 0.6052042160737813]","[0.7905518394648829, 0.6675077639751553, 0.4593685300207039, 0.6961020164681492, 0.6506734006734007, 0.7086834733893558, 0.6267806267806267, 0.6767973856209151, 0.7122895622895623, 0.6314814814814815]","[0.782608695652174, 0.6521739130434783, 0.43478260869565216, 0.6739130434782609, 0.6444444444444445, 0.6666666666666666, 0.6222222222222222, 0.6, 0.6888888888888889, 0.6222222222222222]","[0.7818422264936219, 0.644817095893381, 0.43815560250565255, 0.6657244133351281, 0.6456583673974978, 0.6738873327108621, 0.6213652786542813, 0.6008838239949351, 0.6922838666545761, 0.6211155028546332]","[array([[10,  2,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  4, 11]]), array([[ 6,  5,  0,  1],
       [ 1,  8,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  3, 11]]), array([[5, 3, 3, 0],
       [4, 4, 0, 2],
       [1, 0, 5, 4],
       [2, 0, 7, 6]]), array([[ 8,  1,  0,  2],
       [ 4,  4,  0,  2],
       [ 0,  0,  7,  3],
       [ 1,  0,  2, 12]]), array([[7, 3, 1, 0],
       [4, 6, 0, 0],
       [0, 0, 7, 3],
       [1, 1, 3, 9]]), array([[ 8,  1,  2,  0],
       [ 6,  4,  0,  0],
       [ 3,  0,  6,  0],
       [ 0,  2,  1, 12]]), array([[ 6,  4,  1,  0],
       [ 3,  4,  0,  2],
       [ 1,  0,  8,  1],
       [ 2,  0,  3, 10]]), array([[7, 1, 3, 0],
       [6, 3, 0, 0],
       [1, 0, 8, 1],
       [0, 0, 6, 9]]), array([[ 7,  4,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  9,  1],
       [ 1,  1,  3, 10]]), array([[ 7,  2,  2,  0],
       [ 5,  4,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  0,  4, 11]])]"
