max_features value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
None,"[0.8336755646817249, 0.8562628336755647, 0.8353909465020576, 0.8497942386831275, 0.8486707566462167, 0.8477366255144033, 0.8521560574948666, 0.8295687885010267, 0.8418891170431212, 0.8583162217659137]","[0.8336755646817249, 0.8562628336755647, 0.8353909465020576, 0.8497942386831275, 0.8486707566462167, 0.8477366255144033, 0.8521560574948666, 0.8295687885010267, 0.8418891170431212, 0.8583162217659137]","[0.8336755646817249, 0.8562628336755647, 0.8353909465020576, 0.8497942386831275, 0.8486707566462167, 0.8477366255144033, 0.8521560574948666, 0.8295687885010267, 0.8418891170431212, 0.8583162217659137]","[0.8336755646817249, 0.8562628336755647, 0.8353909465020576, 0.8497942386831275, 0.8486707566462167, 0.8477366255144033, 0.8521560574948666, 0.8295687885010267, 0.8418891170431212, 0.8583162217659137]","[0.8303603364044156, 0.8715031977651095, 0.8334524196872085, 0.8457187114191118, 0.8626953716193045, 0.8448899423746985, 0.8475526069270765, 0.8310312453503943, 0.8541351025686679, 0.8610841549449444]","[0.8166154521510096, 0.8382133450395083, 0.8329779673063256, 0.8449271499644634, 0.8326058201058202, 0.8408404406538735, 0.8484635645302897, 0.8236391571553995, 0.8305311676909569, 0.8476075504828797]","[0.8209489589316339, 0.8460481013806646, 0.8317250714058396, 0.8453008539352621, 0.8404810204390005, 0.8420274827246819, 0.8478954581718519, 0.8263579022410499, 0.837644250334073, 0.8523127297350649]","[0.8337067131381397, 0.865282095829087, 0.8396998627900827, 0.8496785669496119, 0.8567861020454619, 0.8482222409729184, 0.8521031700709258, 0.8307996184280863, 0.847081183139481, 0.859683998050288]","[0.8336755646817249, 0.8562628336755647, 0.8353909465020576, 0.8497942386831275, 0.8486707566462167, 0.8477366255144033, 0.8521560574948666, 0.8295687885010267, 0.8418891170431212, 0.8583162217659137]","[0.831680989707096, 0.8534568921518836, 0.8359459970218103, 0.8497150148770753, 0.8467031354373029, 0.8471040831254446, 0.8520084310697942, 0.8292568398356792, 0.840632267362532, 0.857319881670767]","[array([[118,   9,   6,   1],
       [ 26,  55,   1,   3],
       [  2,   0, 117,  15],
       [  3,   5,  10, 116]]), array([[128,   3,   1,   2],
       [ 24,  56,   2,   3],
       [  8,   0, 109,  17],
       [  1,   1,   8, 124]]), array([[108,  16,   2,   8],
       [ 10,  68,   0,   6],
       [  6,   0, 111,  17],
       [  3,   4,   8, 119]]), array([[117,  10,   6,   1],
       [ 14,  67,   1,   2],
       [  3,   0, 115,  16],
       [  2,   6,  12, 114]]), array([[130,   3,   1,   1],
       [ 23,  57,   2,   2],
       [  7,   0, 117,  11],
       [  6,   2,  16, 111]]), array([[121,  10,   3,   0],
       [ 14,  65,   2,   3],
       [  4,   0, 118,  12],
       [  4,   5,  17, 108]]), array([[116,  12,   3,   3],
       [ 10,  69,   0,   6],
       [  1,   3, 120,  10],
       [  8,   2,  14, 110]]), array([[115,  11,   3,   5],
       [ 14,  65,   3,   3],
       [  7,   0, 108,  19],
       [  5,   2,  11, 116]]), array([[126,   5,   0,   3],
       [ 17,  61,   2,   5],
       [ 10,   0, 113,  11],
       [  4,   0,  20, 110]]), array([[124,   3,   6,   1],
       [ 18,  63,   0,   4],
       [  5,   0, 115,  14],
       [  2,   6,  10, 116]])]","[0.6086956521739131, 0.6521739130434783, 0.43478260869565216, 0.6521739130434783, 0.6666666666666666, 0.6222222222222222, 0.5777777777777777, 0.7555555555555555, 0.7111111111111111, 0.6666666666666666]","[0.6086956521739131, 0.6521739130434783, 0.43478260869565216, 0.6521739130434783, 0.6666666666666666, 0.6222222222222222, 0.5777777777777777, 0.7555555555555555, 0.7111111111111111, 0.6666666666666666]","[0.6086956521739131, 0.6521739130434783, 0.43478260869565216, 0.6521739130434783, 0.6666666666666666, 0.6222222222222222, 0.5777777777777777, 0.7555555555555555, 0.7111111111111111, 0.6666666666666666]","[0.6086956521739131, 0.6521739130434783, 0.43478260869565216, 0.6521739130434783, 0.6666666666666666, 0.6222222222222222, 0.5777777777777777, 0.7555555555555555, 0.7111111111111111, 0.6666666666666666]","[0.604326923076923, 0.6591478696741854, 0.4202694235588972, 0.6555555555555556, 0.676948051948052, 0.6190476190476191, 0.5659854851031322, 0.7795138888888888, 0.7333104395604395, 0.7196969696969697]","[0.5916666666666667, 0.6222222222222222, 0.4121212121212121, 0.6446969696969697, 0.6675324675324675, 0.6095959595959596, 0.5631313131313131, 0.7595959595959596, 0.7323232323232323, 0.648989898989899]","[0.5827922077922078, 0.6262726244343891, 0.40824655220940054, 0.6492709045340624, 0.6664102564102563, 0.6095614035087719, 0.557422201336675, 0.765119889598068, 0.7197953964194373, 0.6531135531135531]","[0.6148829431438128, 0.6568595401547346, 0.4280946932548763, 0.6616161616161615, 0.6810966810966811, 0.6243386243386243, 0.5765809354044648, 0.7695987654320987, 0.7355616605616606, 0.7123232323232324]","[0.6086956521739131, 0.6521739130434783, 0.43478260869565216, 0.6521739130434783, 0.6666666666666666, 0.6222222222222222, 0.5777777777777777, 0.7555555555555555, 0.7111111111111111, 0.6666666666666666]","[0.5983907396950875, 0.6408739917371631, 0.42351227988595064, 0.6561512476844286, 0.6681253561253562, 0.6190175438596491, 0.5700559268541724, 0.7584367393096046, 0.7086285876669508, 0.6637362637362637]","[array([[10,  2,  0,  0],
       [ 5,  3,  0,  1],
       [ 1,  0,  6,  3],
       [ 0,  0,  6,  9]]), array([[ 8,  2,  1,  1],
       [ 4,  5,  0,  0],
       [ 1,  0,  4,  5],
       [ 1,  0,  1, 13]]), array([[ 2,  8,  0,  1],
       [ 3,  4,  0,  3],
       [ 1,  0,  4,  5],
       [ 2,  0,  3, 10]]), array([[ 6,  3,  0,  2],
       [ 4,  5,  0,  1],
       [ 1,  0,  8,  1],
       [ 0,  3,  1, 11]]), array([[8, 2, 1, 0],
       [4, 6, 0, 0],
       [0, 0, 7, 3],
       [2, 0, 3, 9]]), array([[ 8,  3,  0,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  4,  5],
       [ 2,  0,  3, 10]]), array([[ 4,  5,  1,  1],
       [ 2,  5,  1,  1],
       [ 0,  0,  6,  4],
       [ 1,  0,  3, 11]]), array([[ 8,  1,  0,  2],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[9, 1, 0, 1],
       [2, 7, 0, 0],
       [1, 0, 8, 1],
       [2, 0, 5, 8]]), array([[ 9,  0,  2,  0],
       [ 5,  4,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  0,  3, 11]])]"
sqrt,"[0.7597535934291582, 0.7145790554414785, 0.7263374485596708, 0.7551440329218106, 0.7484662576687117, 0.7674897119341564, 0.7186858316221766, 0.7453798767967146, 0.7412731006160165, 0.728952772073922]","[0.7597535934291582, 0.7145790554414785, 0.7263374485596708, 0.7551440329218106, 0.7484662576687117, 0.7674897119341564, 0.7186858316221766, 0.7453798767967146, 0.7412731006160165, 0.728952772073922]","[0.7597535934291582, 0.7145790554414785, 0.7263374485596708, 0.7551440329218106, 0.7484662576687117, 0.7674897119341564, 0.7186858316221766, 0.7453798767967146, 0.7412731006160165, 0.728952772073922]","[0.7597535934291582, 0.7145790554414785, 0.7263374485596708, 0.7551440329218106, 0.7484662576687117, 0.7674897119341564, 0.7186858316221766, 0.7453798767967146, 0.7412731006160165, 0.728952772073922]","[0.7534710121919425, 0.7085923295418793, 0.7157444261254609, 0.7793654031600029, 0.7443500237703488, 0.7604003629004846, 0.7179129640564765, 0.7422155017921146, 0.7347913005905228, 0.7225224316004029]","[0.7580553116769095, 0.7062554872695347, 0.7063343994314144, 0.7446695095948828, 0.7362433862433863, 0.7503109452736318, 0.7099868305531167, 0.7342405618964003, 0.740188762071993, 0.7107111501316945]","[0.7537659814192903, 0.7063388798484258, 0.7062871770311115, 0.7526306939274559, 0.736818367541709, 0.7534583242982412, 0.7100576527479198, 0.7363718810896865, 0.7350216659413538, 0.7135411460936198]","[0.7646005390859982, 0.7206364128930017, 0.7213211714533415, 0.7713636074827546, 0.7506222412962844, 0.7655706751807575, 0.7190445216993937, 0.743844284383614, 0.7498721966283977, 0.7276418389663694]","[0.7597535934291582, 0.7145790554414785, 0.7263374485596708, 0.7551440329218106, 0.7484662576687117, 0.7674897119341564, 0.7186858316221766, 0.7453798767967146, 0.7412731006160165, 0.728952772073922]","[0.7603303103135663, 0.7164633256647972, 0.719569684127554, 0.754476045406513, 0.7458730439110898, 0.7650771975987811, 0.7148427143180391, 0.7429608019354271, 0.7436552250923167, 0.7257595408859208]","[array([[108,  19,   1,   6],
       [ 18,  63,   1,   3],
       [ 10,   1, 107,  16],
       [  7,  15,  20,  92]]), array([[102,  15,   0,  17],
       [ 22,  53,   1,   9],
       [  3,  10,  99,  22],
       [ 10,  12,  18,  94]]), array([[114,   8,   3,   9],
       [ 22,  43,   1,  18],
       [  9,   3, 114,   8],
       [  4,  11,  37,  82]]), array([[120,   6,   4,   4],
       [ 26,  54,   2,   2],
       [ 11,   1, 101,  21],
       [ 25,   2,  15,  92]]), array([[106,   9,  11,   9],
       [ 27,  52,   0,   5],
       [  2,   8, 118,   7],
       [ 12,   7,  26,  90]]), array([[105,  11,  11,   7],
       [ 26,  49,   1,   8],
       [  1,   0, 113,  20],
       [  1,   9,  18, 106]]), array([[109,  14,   8,   3],
       [ 24,  53,   1,   7],
       [  5,   0, 109,  20],
       [ 18,   8,  29,  79]]), array([[107,  12,   7,   8],
       [ 12,  53,  10,  10],
       [  4,   1, 113,  16],
       [ 21,   7,  16,  90]]), array([[ 94,  31,   8,   1],
       [ 17,  62,   4,   2],
       [  4,   3, 102,  25],
       [ 10,  10,  11, 103]]), array([[108,  10,   6,  10],
       [ 29,  45,   8,   3],
       [  8,   5,  97,  24],
       [  6,   7,  16, 105]])]","[0.5, 0.5217391304347826, 0.5217391304347826, 0.5, 0.6222222222222222, 0.5555555555555556, 0.4666666666666667, 0.5555555555555556, 0.5111111111111111, 0.6222222222222222]","[0.5, 0.5217391304347826, 0.5217391304347826, 0.5, 0.6222222222222222, 0.5555555555555556, 0.4666666666666667, 0.5555555555555556, 0.5111111111111111, 0.6222222222222222]","[0.5, 0.5217391304347826, 0.5217391304347826, 0.5, 0.6222222222222222, 0.5555555555555556, 0.4666666666666667, 0.5555555555555556, 0.5111111111111111, 0.6222222222222222]","[0.5, 0.5217391304347826, 0.5217391304347826, 0.5, 0.6222222222222222, 0.5555555555555556, 0.4666666666666667, 0.5555555555555556, 0.5111111111111111, 0.6222222222222222]","[0.5055555555555555, 0.5130997474747474, 0.5445075757575757, 0.5271825396825397, 0.6399572649572649, 0.5041666666666667, 0.4681818181818182, 0.5629084967320261, 0.49404761904761907, 0.6420634920634921]","[0.5180555555555556, 0.513888888888889, 0.5234848484848484, 0.5128787878787879, 0.6269480519480519, 0.5280303030303031, 0.46590909090909094, 0.5714646464646465, 0.49696969696969695, 0.6136363636363636]","[0.5048821548821548, 0.5124381781944342, 0.5094031931402719, 0.49748327174672924, 0.6194050343249428, 0.5089330024813896, 0.45607142857142857, 0.5440789473684211, 0.49499925361994324, 0.6232142857142857]","[0.5021739130434782, 0.5201608476064997, 0.5782553798858147, 0.5225500345065562, 0.658974358974359, 0.5255555555555556, 0.4967676767676768, 0.5855482933914306, 0.5132756132756133, 0.6306878306878307]","[0.5, 0.5217391304347826, 0.5217391304347826, 0.5, 0.6222222222222222, 0.5555555555555556, 0.4666666666666667, 0.5555555555555556, 0.5111111111111111, 0.6222222222222222]","[0.4929732103645147, 0.5199546827309752, 0.5211158722698147, 0.48869513111216284, 0.6248624459699974, 0.5338479919125081, 0.4694179894179894, 0.5456335282651072, 0.5116584564860427, 0.6219576719576719]","[array([[7, 4, 0, 1],
       [3, 5, 0, 1],
       [1, 0, 6, 3],
       [4, 0, 6, 5]]), array([[6, 2, 1, 3],
       [3, 5, 0, 1],
       [1, 2, 4, 3],
       [1, 1, 4, 9]]), array([[8, 3, 0, 0],
       [6, 2, 1, 1],
       [3, 0, 7, 0],
       [1, 4, 3, 7]]), array([[9, 1, 1, 0],
       [3, 5, 1, 1],
       [2, 0, 4, 4],
       [6, 1, 3, 5]]), array([[7, 3, 1, 0],
       [5, 5, 0, 0],
       [1, 0, 8, 1],
       [1, 1, 4, 8]]), array([[ 6,  3,  1,  1],
       [ 6,  1,  2,  1],
       [ 1,  0,  6,  2],
       [ 2,  1,  0, 12]]), array([[4, 5, 2, 0],
       [3, 3, 1, 2],
       [2, 0, 7, 1],
       [1, 3, 4, 7]]), array([[4, 4, 2, 1],
       [3, 5, 0, 1],
       [0, 1, 9, 0],
       [2, 0, 6, 7]]), array([[5, 5, 0, 1],
       [3, 3, 2, 1],
       [1, 0, 6, 3],
       [2, 1, 3, 9]]), array([[ 5,  1,  2,  3],
       [ 1,  6,  0,  2],
       [ 2,  0,  6,  2],
       [ 2,  0,  2, 11]])]"
log2,"[0.7371663244353183, 0.7227926078028748, 0.7489711934156379, 0.7695473251028807, 0.7341513292433538, 0.7407407407407407, 0.728952772073922, 0.7700205338809035, 0.7515400410677618, 0.7782340862422998]","[0.7371663244353183, 0.7227926078028748, 0.7489711934156379, 0.7695473251028807, 0.7341513292433538, 0.7407407407407407, 0.728952772073922, 0.7700205338809035, 0.7515400410677618, 0.7782340862422998]","[0.7371663244353183, 0.7227926078028748, 0.7489711934156379, 0.7695473251028807, 0.7341513292433538, 0.7407407407407407, 0.728952772073922, 0.7700205338809035, 0.7515400410677618, 0.7782340862422998]","[0.7371663244353183, 0.7227926078028748, 0.7489711934156379, 0.7695473251028807, 0.7341513292433538, 0.7407407407407407, 0.728952772073922, 0.7700205338809035, 0.7515400410677618, 0.7782340862422998]","[0.7412722040163706, 0.723185095080953, 0.7415944511122731, 0.772011739385287, 0.7341242444784666, 0.7344321699971854, 0.7738258472884985, 0.7665649593501809, 0.7703748499366964, 0.7854920687381475]","[0.714947322212467, 0.7158691834942932, 0.7301883439943141, 0.7632818052594172, 0.7289021164021166, 0.72272565742715, 0.6902765583845478, 0.762006145741879, 0.7419885864793679, 0.7716198419666374]","[0.7144543828499307, 0.7181673140320977, 0.7325593311333135, 0.7666349846765937, 0.7291561036800648, 0.725518458150037, 0.6879328341838209, 0.7639010650044281, 0.7463420526920342, 0.7718316959379818]","[0.7429961863081826, 0.7231348760731034, 0.747255694623916, 0.7694103445383724, 0.7334843461454503, 0.7382863338889024, 0.7582559633401132, 0.7707470599829505, 0.7688314570145158, 0.7899947690910694]","[0.7371663244353183, 0.7227926078028748, 0.7489711934156379, 0.7695473251028807, 0.7341513292433538, 0.7407407407407407, 0.728952772073922, 0.7700205338809035, 0.7515400410677618, 0.7782340862422998]","[0.7272368222265833, 0.7216825861429962, 0.7452432619928305, 0.7686719745571101, 0.7313547949795479, 0.7370601376579284, 0.7108487198278364, 0.770025638591147, 0.7500311020421832, 0.7767558568290972]","[array([[123,   5,   0,   6],
       [ 32,  42,   0,  11],
       [ 11,   1, 116,   6],
       [ 15,  10,  31,  78]]), array([[ 88,  16,  11,  19],
       [ 22,  55,   2,   6],
       [ 11,   0, 103,  20],
       [  5,   5,  18, 106]]), array([[118,   6,   1,   9],
       [ 23,  46,   3,  12],
       [ 12,   5, 102,  15],
       [  4,  10,  22,  98]]), array([[107,   9,   4,  14],
       [ 17,  59,   1,   7],
       [  5,   1, 113,  15],
       [ 10,   5,  24,  95]]), array([[ 98,  18,   8,  11],
       [ 14,  57,   3,  10],
       [  5,   1, 118,  11],
       [ 19,   1,  29,  86]]), array([[105,  14,   3,  12],
       [ 26,  46,   2,  10],
       [  3,   0, 115,  16],
       [  2,   6,  32,  94]]), array([[117,   1,   5,  11],
       [ 40,  26,   7,  12],
       [ 12,   0, 115,   7],
       [  8,   1,  28,  97]]), array([[106,  10,   1,  17],
       [ 24,  58,   0,   3],
       [  8,   2, 109,  15],
       [  3,  10,  19, 102]]), array([[119,   9,   5,   1],
       [ 27,  55,   2,   1],
       [ 10,   3,  87,  34],
       [ 21,   3,   5, 105]]), array([[119,   9,   5,   1],
       [ 22,  60,   0,   3],
       [  7,   1, 114,  12],
       [ 25,  11,  12,  86]])]","[0.5217391304347826, 0.7391304347826086, 0.43478260869565216, 0.6304347826086957, 0.6, 0.4222222222222222, 0.5333333333333333, 0.6444444444444445, 0.4666666666666667, 0.5555555555555556]","[0.5217391304347826, 0.7391304347826086, 0.43478260869565216, 0.6304347826086957, 0.6, 0.4222222222222222, 0.5333333333333333, 0.6444444444444445, 0.4666666666666667, 0.5555555555555556]","[0.5217391304347826, 0.7391304347826086, 0.43478260869565216, 0.6304347826086957, 0.6, 0.4222222222222222, 0.5333333333333333, 0.6444444444444445, 0.4666666666666667, 0.5555555555555556]","[0.5217391304347826, 0.7391304347826086, 0.43478260869565216, 0.6304347826086957, 0.6, 0.4222222222222222, 0.5333333333333333, 0.6444444444444445, 0.4666666666666667, 0.5555555555555556]","[0.5530899859943976, 0.741540404040404, 0.44791666666666663, 0.630811403508772, 0.6011363636363636, 0.422809829059829, 0.5612554112554112, 0.638888888888889, 0.4474556489262371, 0.5779411764705882]","[0.5402777777777777, 0.7388888888888889, 0.4257575757575758, 0.6113636363636363, 0.6136363636363636, 0.41641414141414146, 0.5025252525252525, 0.6457070707070707, 0.43585858585858583, 0.5535353535353535]","[0.5145863395863396, 0.7396836527972572, 0.4074150825228412, 0.615359477124183, 0.600378787878788, 0.41559829059829057, 0.4997474747474747, 0.6385595081247255, 0.43294172932330827, 0.5526470588235294]","[0.5530233832663499, 0.7386363636363636, 0.45108695652173914, 0.6316742944317315, 0.6066666666666666, 0.4331908831908832, 0.5523809523809524, 0.6537037037037037, 0.46214545077290176, 0.6006535947712419]","[0.5217391304347826, 0.7391304347826086, 0.43478260869565216, 0.6304347826086957, 0.6, 0.4222222222222222, 0.5333333333333333, 0.6444444444444445, 0.4666666666666667, 0.5555555555555556]","[0.5033481816090513, 0.7382767241904995, 0.41625861748612875, 0.6248650184711566, 0.5956228956228956, 0.4236467236467236, 0.5148148148148148, 0.6447957839262187, 0.4568212197159565, 0.5630065359477124]","[array([[9, 2, 1, 0],
       [4, 4, 0, 1],
       [1, 0, 7, 2],
       [2, 0, 9, 4]]), array([[ 8,  1,  2,  1],
       [ 1,  8,  0,  0],
       [ 1,  0,  6,  3],
       [ 1,  0,  2, 12]]), array([[7, 1, 0, 3],
       [8, 1, 0, 1],
       [2, 0, 5, 3],
       [4, 1, 3, 7]]), array([[ 6,  2,  1,  2],
       [ 2,  5,  2,  1],
       [ 0,  0,  6,  4],
       [ 1,  1,  1, 12]]), array([[5, 4, 0, 2],
       [2, 8, 0, 0],
       [2, 0, 7, 1],
       [2, 0, 5, 7]]), array([[5, 4, 0, 2],
       [5, 3, 0, 2],
       [3, 0, 4, 2],
       [2, 1, 5, 7]]), array([[ 5,  1,  1,  4],
       [ 4,  2,  0,  3],
       [ 1,  0,  6,  3],
       [ 1,  0,  3, 11]]), array([[8, 2, 1, 0],
       [3, 5, 0, 1],
       [1, 0, 7, 2],
       [0, 2, 4, 9]]), array([[ 5,  3,  1,  2],
       [ 6,  2,  1,  0],
       [ 1,  0,  4,  5],
       [ 2,  0,  3, 10]]), array([[7, 3, 0, 1],
       [5, 4, 0, 0],
       [3, 0, 6, 1],
       [2, 1, 4, 8]])]"
