weights value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
uniform,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[135,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0, 135,   0],
       [  0,   0,   0, 135]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]])]","[0.6304347826086957, 0.8260869565217391, 0.8043478260869565, 0.7608695652173914, 0.7777777777777778, 0.8, 0.7111111111111111, 0.7333333333333333, 0.7333333333333333, 0.7333333333333333]","[0.6304347826086957, 0.8260869565217391, 0.8043478260869565, 0.7608695652173914, 0.7777777777777778, 0.8, 0.7111111111111111, 0.7333333333333333, 0.7333333333333333, 0.7333333333333333]","[0.6304347826086957, 0.8260869565217391, 0.8043478260869565, 0.7608695652173914, 0.7777777777777778, 0.8, 0.7111111111111111, 0.7333333333333333, 0.7333333333333333, 0.7333333333333333]","[0.6304347826086957, 0.8260869565217391, 0.8043478260869565, 0.7608695652173914, 0.7777777777777778, 0.8, 0.7111111111111111, 0.7333333333333333, 0.7333333333333333, 0.7333333333333333]","[0.6548076923076923, 0.8273809523809524, 0.8017857142857143, 0.7628787878787879, 0.7844967532467533, 0.808603896103896, 0.7400568181818181, 0.7413194444444444, 0.7808493589743589, 0.7373626373626374]","[0.6222222222222222, 0.8125, 0.8045454545454545, 0.7628787878787879, 0.775974025974026, 0.8055555555555556, 0.7118686868686869, 0.7083333333333333, 0.7277777777777777, 0.7212121212121212]","[0.6303030303030304, 0.8157051282051283, 0.8025487256371815, 0.7628787878787879, 0.7770013802622497, 0.7917127534774594, 0.7135304659498207, 0.6968472325008828, 0.717939467939468, 0.7250000000000001]","[0.6499442586399109, 0.8291925465838509, 0.8066770186335404, 0.7608695652173914, 0.7838383838383839, 0.8207455507455508, 0.7422979797979798, 0.740895061728395, 0.7726139601139601, 0.7406593406593406]","[0.6304347826086957, 0.8260869565217391, 0.8043478260869565, 0.7608695652173914, 0.7777777777777778, 0.8, 0.7111111111111111, 0.7333333333333333, 0.7333333333333333, 0.7333333333333333]","[0.633596837944664, 0.8239966555183946, 0.8048367120787433, 0.7608695652173914, 0.7779004677555403, 0.7953052902072509, 0.7148307447232178, 0.7132918532277144, 0.7219652775208332, 0.7333333333333333]","[array([[10,  1,  1,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  5,  5],
       [ 0,  0,  6,  9]]), array([[11,  1,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 13]]), array([[ 9,  2,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  2, 12]]), array([[ 9,  2,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 11]]), array([[ 9,  1,  0,  1],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 11]]), array([[11,  0,  0,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  3, 11]]), array([[ 7,  3,  1,  0],
       [ 0,  7,  0,  2],
       [ 0,  0,  7,  3],
       [ 0,  1,  3, 11]]), array([[11,  0,  0,  0],
       [ 5,  3,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[11,  0,  0,  0],
       [ 4,  4,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  4, 10]]), array([[ 9,  1,  1,  0],
       [ 3,  6,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  0,  3, 12]])]"
distance,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[135,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0, 135,   0],
       [  0,   0,   0, 135]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]])]","[0.6521739130434783, 0.8478260869565217, 0.782608695652174, 0.6956521739130435, 0.8222222222222222, 0.8222222222222222, 0.6666666666666666, 0.7555555555555555, 0.7111111111111111, 0.8]","[0.6521739130434783, 0.8478260869565217, 0.782608695652174, 0.6956521739130435, 0.8222222222222222, 0.8222222222222222, 0.6666666666666666, 0.7555555555555555, 0.7111111111111111, 0.8]","[0.6521739130434783, 0.8478260869565217, 0.782608695652174, 0.6956521739130435, 0.8222222222222222, 0.8222222222222222, 0.6666666666666666, 0.7555555555555555, 0.7111111111111111, 0.8]","[0.6521739130434783, 0.8478260869565217, 0.782608695652174, 0.6956521739130435, 0.8222222222222222, 0.8222222222222222, 0.6666666666666666, 0.7555555555555555, 0.7111111111111111, 0.8]","[0.6767399267399268, 0.8474025974025974, 0.7808566433566434, 0.6996794871794871, 0.8204642579642579, 0.8261634199134199, 0.7027777777777778, 0.7572916666666667, 0.7707390648567118, 0.8003434065934066]","[0.6472222222222223, 0.8375, 0.7878787878787878, 0.6946969696969697, 0.8237012987012986, 0.8305555555555555, 0.6590909090909091, 0.7272727272727273, 0.7, 0.7967171717171717]","[0.6522738630684658, 0.8374621068586586, 0.7825569358178053, 0.6901411136536995, 0.8183680354732986, 0.8181481481481482, 0.6690058479532164, 0.7173697270471464, 0.6818181818181819, 0.7961122379986476]","[0.6736741519350216, 0.8533314511575382, 0.787283368805108, 0.7044314381270903, 0.8278770612103945, 0.8375180375180374, 0.7014814814814815, 0.761574074074074, 0.7627283391989275, 0.8043040293040292]","[0.6521739130434783, 0.8478260869565217, 0.782608695652174, 0.6956521739130435, 0.8222222222222222, 0.8222222222222222, 0.6666666666666666, 0.7555555555555555, 0.7111111111111111, 0.8]","[0.6549507854768268, 0.8461641432031237, 0.7829012512377352, 0.6935628295691971, 0.8211704474862369, 0.8195555555555555, 0.6719948018193632, 0.7376895505927764, 0.6917748917748918, 0.7998272105777177]","[array([[10,  1,  1,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  6,  9]]), array([[11,  1,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]]), array([[ 9,  2,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  1,  2, 11]]), array([[ 6,  5,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 11]]), array([[10,  1,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  1,  2, 11]]), array([[11,  0,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  3, 11]]), array([[ 7,  3,  1,  0],
       [ 0,  6,  0,  3],
       [ 0,  0,  6,  4],
       [ 0,  1,  3, 11]]), array([[10,  1,  0,  0],
       [ 5,  3,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 13]]), array([[11,  0,  0,  0],
       [ 5,  3,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  4, 10]]), array([[10,  1,  0,  0],
       [ 2,  7,  0,  0],
       [ 1,  0,  7,  2],
       [ 0,  0,  3, 12]])]"
