n_neighbors value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[135,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0, 135,   0],
       [  0,   0,   0, 135]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]])]","[0.6521739130434783, 0.8695652173913043, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8222222222222222, 0.6666666666666666, 0.7555555555555555, 0.7111111111111111, 0.7555555555555555]","[0.6521739130434783, 0.8695652173913043, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8222222222222222, 0.6666666666666666, 0.7555555555555555, 0.7111111111111111, 0.7555555555555555]","[0.6521739130434783, 0.8695652173913043, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8222222222222222, 0.6666666666666666, 0.7555555555555555, 0.7111111111111111, 0.7555555555555555]","[0.6521739130434783, 0.8695652173913043, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8222222222222222, 0.6666666666666666, 0.7555555555555555, 0.7111111111111111, 0.7555555555555555]","[0.6767399267399268, 0.880952380952381, 0.7984848484848485, 0.7682178932178932, 0.8062499999999999, 0.8312499999999999, 0.6784945038621509, 0.8074959150326797, 0.7777777777777778, 0.7595238095238095]","[0.6472222222222223, 0.861111111111111, 0.7984848484848485, 0.7689393939393939, 0.7938311688311689, 0.8305555555555555, 0.6563131313131313, 0.725, 0.7, 0.7439393939393939]","[0.6522738630684658, 0.8661858974358975, 0.7976190476190476, 0.7669980799074146, 0.7969931700816258, 0.8202129254760834, 0.661641081871345, 0.7160392300194932, 0.6816585394171601, 0.7453947368421052]","[0.6736741519350216, 0.8757763975155279, 0.8059288537549408, 0.7637712529016878, 0.8044444444444445, 0.8392592592592593, 0.6821004159239453, 0.7957970225127088, 0.7753086419753086, 0.7608465608465609]","[0.6521739130434783, 0.8695652173913043, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8222222222222222, 0.6666666666666666, 0.7555555555555555, 0.7111111111111111, 0.7555555555555555]","[0.6549507854768268, 0.8685200668896321, 0.8043478260869565, 0.7608209625164534, 0.7993928961445204, 0.8197031039136302, 0.6685428849902534, 0.733752978124323, 0.6939703548898951, 0.7525730994152047]","[array([[10,  1,  1,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  6,  9]]), array([[12,  0,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 13]]), array([[ 8,  3,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 13]]), array([[10,  1,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  4, 10]]), array([[ 9,  1,  0,  1],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 12]]), array([[11,  0,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  1],
       [ 1,  1,  2, 11]]), array([[ 7,  3,  1,  0],
       [ 1,  5,  0,  3],
       [ 0,  0,  7,  3],
       [ 0,  1,  3, 11]]), array([[11,  0,  0,  0],
       [ 5,  3,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[11,  0,  0,  0],
       [ 6,  3,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  4, 10]]), array([[10,  1,  0,  0],
       [ 3,  6,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  0,  3, 12]])]"
2,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[135,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0, 135,   0],
       [  0,   0,   0, 135]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]])]","[0.6304347826086957, 0.8478260869565217, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8444444444444444, 0.6666666666666666, 0.7555555555555555, 0.7333333333333333, 0.7111111111111111]","[0.6304347826086957, 0.8478260869565217, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8444444444444444, 0.6666666666666666, 0.7555555555555555, 0.7333333333333333, 0.7111111111111111]","[0.6304347826086957, 0.8478260869565217, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8444444444444444, 0.6666666666666666, 0.7555555555555555, 0.7333333333333333, 0.7111111111111111]","[0.6304347826086957, 0.8478260869565217, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8444444444444444, 0.6666666666666666, 0.7555555555555555, 0.7333333333333333, 0.7111111111111111]","[0.6548076923076923, 0.8474025974025974, 0.8017857142857143, 0.7628787878787879, 0.8061938061938062, 0.8447455322455323, 0.7027777777777778, 0.7593749999999999, 0.7480769230769232, 0.7202380952380952]","[0.6222222222222222, 0.8375, 0.8045454545454545, 0.7628787878787879, 0.7938311688311689, 0.8555555555555556, 0.6590909090909091, 0.7333333333333334, 0.730050505050505, 0.6994949494949495]","[0.6303030303030304, 0.8374621068586586, 0.8025487256371815, 0.7628787878787879, 0.7925420168067228, 0.8433966861598441, 0.6690058479532164, 0.719088319088319, 0.7160021942630639, 0.7000000000000001]","[0.6499442586399109, 0.8533314511575382, 0.8066770186335404, 0.7608695652173914, 0.8081918081918082, 0.8553785720452388, 0.7014814814814815, 0.7625, 0.7545868945868947, 0.7190476190476192]","[0.6304347826086957, 0.8478260869565217, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8444444444444444, 0.6666666666666666, 0.7555555555555555, 0.7333333333333333, 0.7111111111111111]","[0.633596837944664, 0.8461641432031237, 0.8048367120787433, 0.7608695652173914, 0.7973389355742297, 0.8428135152696556, 0.6719948018193632, 0.735929091484647, 0.7231465260450768, 0.7066666666666667]","[array([[10,  1,  1,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  5,  5],
       [ 0,  0,  6,  9]]), array([[11,  1,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]]), array([[ 9,  2,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  2, 12]]), array([[ 9,  2,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 11]]), array([[ 9,  1,  0,  1],
       [ 4,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 12]]), array([[11,  0,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  3, 11]]), array([[ 7,  3,  1,  0],
       [ 0,  6,  0,  3],
       [ 0,  0,  6,  4],
       [ 0,  1,  3, 11]]), array([[11,  0,  0,  0],
       [ 5,  3,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  2, 12]]), array([[10,  1,  0,  0],
       [ 4,  4,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  4, 10]]), array([[10,  1,  0,  0],
       [ 3,  5,  0,  1],
       [ 1,  0,  6,  3],
       [ 0,  0,  4, 11]])]"
3,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[135,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0, 135,   0],
       [  0,   0,   0, 135]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]])]","[0.717391304347826, 0.8043478260869565, 0.6956521739130435, 0.8260869565217391, 0.8, 0.8444444444444444, 0.7333333333333333, 0.7777777777777778, 0.6888888888888889, 0.7777777777777778]","[0.717391304347826, 0.8043478260869565, 0.6956521739130435, 0.8260869565217391, 0.8, 0.8444444444444444, 0.7333333333333333, 0.7777777777777778, 0.6888888888888889, 0.7777777777777778]","[0.717391304347826, 0.8043478260869565, 0.6956521739130435, 0.8260869565217391, 0.8, 0.8444444444444444, 0.7333333333333333, 0.7777777777777778, 0.6888888888888889, 0.7777777777777778]","[0.717391304347826, 0.8043478260869565, 0.6956521739130435, 0.8260869565217391, 0.8, 0.8444444444444444, 0.7333333333333333, 0.7777777777777778, 0.6888888888888889, 0.7777777777777778]","[0.7351190476190477, 0.8052884615384615, 0.6964015151515152, 0.8298888611388612, 0.8052884615384616, 0.8481060606060606, 0.7327380952380952, 0.817948717948718, 0.7450980392156863, 0.8083333333333333]","[0.7180555555555556, 0.7986111111111112, 0.6962121212121212, 0.8272727272727272, 0.8009740259740259, 0.8638888888888888, 0.7207070707070706, 0.7694444444444445, 0.6861111111111111, 0.7638888888888888]","[0.7115384615384615, 0.8008823529411764, 0.6876271876271876, 0.82396004378763, 0.7983457766066462, 0.8469143175664915, 0.7220927593911466, 0.7574653607262303, 0.6760323010323009, 0.7651098901098901]","[0.736801242236025, 0.8049749163879598, 0.7091897233201582, 0.8315325978369456, 0.8076923076923077, 0.8604377104377104, 0.7365608465608466, 0.8151566951566952, 0.7377995642701526, 0.8014814814814814]","[0.717391304347826, 0.8043478260869565, 0.6956521739130435, 0.8260869565217391, 0.8, 0.8444444444444444, 0.7333333333333333, 0.7777777777777778, 0.6888888888888889, 0.7777777777777778]","[0.713489409141583, 0.8037340153452684, 0.6935021500238892, 0.8245579591156804, 0.7994599782039395, 0.8426076339119817, 0.7309240639885802, 0.7657323352975526, 0.6787767787767788, 0.771916971916972]","[array([[11,  1,  0,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  6,  9]]), array([[11,  1,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  3, 12]]), array([[ 9,  2,  0,  0],
       [ 5,  5,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  1,  3, 10]]), array([[10,  1,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  2, 12]]), array([[ 9,  1,  0,  1],
       [ 3,  7,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  3, 11]]), array([[11,  0,  0,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  4, 10]]), array([[ 8,  2,  1,  0],
       [ 2,  5,  0,  2],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]]), array([[11,  0,  0,  0],
       [ 4,  4,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  4, 11]]), array([[11,  0,  0,  0],
       [ 5,  4,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  5,  9]]), array([[11,  0,  0,  0],
       [ 3,  5,  0,  1],
       [ 1,  0,  7,  2],
       [ 0,  0,  3, 12]])]"
4,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[135,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0, 135,   0],
       [  0,   0,   0, 135]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]])]","[0.6739130434782609, 0.8478260869565217, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8, 0.7111111111111111, 0.7555555555555555, 0.7333333333333333, 0.7777777777777778]","[0.6739130434782609, 0.8478260869565217, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8, 0.7111111111111111, 0.7555555555555555, 0.7333333333333333, 0.7777777777777778]","[0.6739130434782609, 0.8478260869565217, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8, 0.7111111111111111, 0.7555555555555555, 0.7333333333333333, 0.7777777777777778]","[0.6739130434782609, 0.8478260869565217, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8, 0.7111111111111111, 0.7555555555555555, 0.7333333333333333, 0.7777777777777778]","[0.6927655677655677, 0.8603896103896104, 0.8058261183261183, 0.7632284382284383, 0.8114073426573427, 0.7973484848484848, 0.7410714285714286, 0.7572916666666667, 0.796875, 0.7847985347985347]","[0.6791666666666666, 0.8444444444444443, 0.8045454545454545, 0.7734848484848484, 0.8058441558441558, 0.8101010101010101, 0.7202020202020202, 0.7272727272727273, 0.7361111111111112, 0.7712121212121212]","[0.6776213922953054, 0.8468919729695592, 0.8035512319028455, 0.7617897400506095, 0.7984299516908213, 0.7987253487253487, 0.7153430860327412, 0.7173697270471464, 0.7175498575498576, 0.7711038961038962]","[0.6903965599617774, 0.8568605307735742, 0.8101904134512831, 0.7716479173000913, 0.8191530691530691, 0.8126262626262627, 0.7473544973544973, 0.761574074074074, 0.8013888888888889, 0.7964997964997964]","[0.6739130434782609, 0.8478260869565217, 0.8043478260869565, 0.7608695652173914, 0.8, 0.8, 0.7111111111111111, 0.7555555555555555, 0.7333333333333333, 0.7777777777777778]","[0.6741331814583232, 0.8474948652047603, 0.8057084566575817, 0.7595043058181055, 0.799345142243693, 0.8009171075837742, 0.7149580092108828, 0.7376895505927764, 0.7222538778094332, 0.7806637806637806]","[array([[11,  1,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  0,  7,  8]]), array([[12,  0,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]]), array([[ 9,  2,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  1,  1, 12]]), array([[ 8,  3,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  4, 10]]), array([[10,  1,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  4, 10]]), array([[ 9,  2,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  3, 11]]), array([[ 7,  3,  1,  0],
       [ 0,  7,  0,  2],
       [ 0,  0,  8,  2],
       [ 0,  2,  3, 10]]), array([[10,  1,  0,  0],
       [ 5,  3,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 13]]), array([[11,  0,  0,  0],
       [ 5,  4,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  6,  9]]), array([[ 9,  1,  1,  0],
       [ 3,  6,  0,  0],
       [ 1,  0,  8,  1],
       [ 0,  0,  3, 12]])]"
5,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[135,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0, 135,   0],
       [  0,   0,   0, 135]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]])]","[0.782608695652174, 0.8695652173913043, 0.7391304347826086, 0.8260869565217391, 0.7777777777777778, 0.8222222222222222, 0.6888888888888889, 0.7777777777777778, 0.7777777777777778, 0.7333333333333333]","[0.782608695652174, 0.8695652173913043, 0.7391304347826086, 0.8260869565217391, 0.7777777777777778, 0.8222222222222222, 0.6888888888888889, 0.7777777777777778, 0.7777777777777778, 0.7333333333333333]","[0.782608695652174, 0.8695652173913043, 0.7391304347826086, 0.8260869565217391, 0.7777777777777778, 0.8222222222222222, 0.6888888888888889, 0.7777777777777778, 0.7777777777777778, 0.7333333333333333]","[0.782608695652174, 0.8695652173913043, 0.7391304347826086, 0.8260869565217391, 0.7777777777777778, 0.8222222222222222, 0.6888888888888889, 0.7777777777777778, 0.7777777777777778, 0.7333333333333333]","[0.825, 0.8866883116883117, 0.7475961538461537, 0.8210470085470085, 0.7848290598290598, 0.8175213675213675, 0.6953983516483517, 0.7824592074592074, 0.7815934065934065, 0.7440476190476191]","[0.7916666666666666, 0.8583333333333333, 0.7340909090909091, 0.8295454545454546, 0.7879870129870129, 0.8244949494949494, 0.6896464646464646, 0.766161616161616, 0.7689393939393938, 0.7295454545454545]","[0.7822222222222222, 0.8606458675424192, 0.7350241545893719, 0.8214211417872745, 0.7756960335621663, 0.8173558897243108, 0.6838554407007023, 0.7654761904761904, 0.7708333333333333, 0.7318982554177456]","[0.8282608695652174, 0.8850084697910785, 0.752257525083612, 0.8305927164622817, 0.7947198480531813, 0.8285660018993352, 0.7058302808302809, 0.7829836829836829, 0.7816849816849817, 0.7462962962962962]","[0.782608695652174, 0.8695652173913043, 0.7391304347826086, 0.8260869565217391, 0.7777777777777778, 0.8222222222222222, 0.6888888888888889, 0.7777777777777778, 0.7777777777777778, 0.7333333333333333]","[0.7797101449275362, 0.8670950239166132, 0.7406007141356857, 0.8244601881055964, 0.7746927705737774, 0.8215817321080479, 0.6891782179085896, 0.773015873015873, 0.775925925925926, 0.7355920524586191]","[array([[12,  0,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  6,  9]]), array([[12,  0,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]]), array([[ 7,  4,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  1,  1, 12]]), array([[ 9,  2,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0, 10,  0],
       [ 1,  0,  2, 12]]), array([[10,  1,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  1,  4,  9]]), array([[10,  1,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  2, 12]]), array([[ 7,  3,  1,  0],
       [ 1,  5,  0,  3],
       [ 0,  0,  9,  1],
       [ 0,  2,  3, 10]]), array([[10,  1,  0,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]]), array([[10,  1,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  3, 12]]), array([[ 9,  1,  1,  0],
       [ 2,  6,  0,  1],
       [ 1,  0,  7,  2],
       [ 0,  0,  4, 11]])]"
