min_samples_leaf value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
5,"[0.7964989059080962, 0.8074398249452954, 0.8231441048034934, 0.8449781659388647, 0.8456521739130435, 0.8191721132897604, 0.8406113537117904, 0.8275109170305677, 0.8056768558951966, 0.8144104803493449]","[0.7964989059080962, 0.8074398249452954, 0.8231441048034934, 0.8449781659388647, 0.8456521739130435, 0.8191721132897604, 0.8406113537117904, 0.8275109170305677, 0.8056768558951966, 0.8144104803493449]","[0.7964989059080962, 0.8074398249452954, 0.8231441048034934, 0.8449781659388647, 0.8456521739130435, 0.8191721132897604, 0.8406113537117904, 0.8275109170305677, 0.8056768558951966, 0.8144104803493449]","[0.7964989059080962, 0.8074398249452954, 0.8231441048034934, 0.8449781659388647, 0.8456521739130435, 0.8191721132897604, 0.8406113537117904, 0.8275109170305677, 0.8056768558951966, 0.8144104803493449]","[0.806691822542634, 0.8164212039491019, 0.8271060471378002, 0.8478878572046273, 0.8454340540245169, 0.8391052308430439, 0.8410640273823717, 0.8368058892812225, 0.8192230994075038, 0.8463324557554484]","[0.781033456313936, 0.82412669797082, 0.8327420910798106, 0.833591595366144, 0.8426947750954872, 0.8059106283762705, 0.8496699116498938, 0.8240060820604952, 0.7841026262612846, 0.7901145346800319]","[0.7889820555881928, 0.8092106161027571, 0.8234064402444171, 0.8385332742139932, 0.8409063603610031, 0.8099053918250347, 0.8382784267995497, 0.8210533183274931, 0.7925453845391401, 0.8018589521299819]","[0.8021244546645502, 0.8315529010163673, 0.8392610815209355, 0.8461767959448939, 0.8519030499959216, 0.8351973715292581, 0.8550022280160202, 0.8423503531322296, 0.8121851038851922, 0.8327292799965256]","[0.7964989059080962, 0.8074398249452954, 0.8231441048034934, 0.8449781659388647, 0.8456521739130435, 0.8191721132897604, 0.8406113537117904, 0.8275109170305677, 0.8056768558951966, 0.8144104803493449]","[0.7947983353218377, 0.8085295576587822, 0.8247183696961005, 0.8436602874799496, 0.8453627727569526, 0.8163542207309714, 0.8408432137795753, 0.8255215633234396, 0.8005860888145887, 0.8095012245114511]","[array([[ 67,  33,   0,   0],
       [ 14, 118,   1,   1],
       [  4,   1,  63,  21],
       [  3,   8,   7, 116]]), array([[ 89,  11,   0,   0],
       [ 38,  93,   2,   1],
       [  2,   0,  84,   3],
       [  5,   4,  22, 103]]), array([[ 90,   8,   2,   1],
       [ 34,  98,   0,   2],
       [  2,   2,  79,   6],
       [  5,   2,  17, 110]]), array([[ 84,  16,   0,   1],
       [ 12, 121,   0,   1],
       [  2,   5,  64,  18],
       [  1,   5,  10, 118]]), array([[ 78,  22,   0,   1],
       [  7, 126,   1,   1],
       [  4,   3,  77,   5],
       [  4,   3,  20, 108]]), array([[ 89,  10,   0,   2],
       [ 22, 108,   1,   3],
       [  4,   0,  55,  31],
       [  4,   4,   2, 124]]), array([[ 84,  15,   2,   0],
       [ 15, 117,   0,   2],
       [  2,   0,  85,   2],
       [  7,   1,  27,  99]]), array([[ 68,  30,   2,   1],
       [  4, 128,   1,   1],
       [  3,   2,  80,   4],
       [  3,   5,  23, 103]]), array([[ 61,  37,   2,   1],
       [  9, 121,   0,   4],
       [  6,   0,  62,  21],
       [  3,   3,   3, 125]]), array([[ 71,  29,   0,   1],
       [  8, 123,   0,   3],
       [  4,   1,  54,  30],
       [  3,   6,   0, 125]])]","[0.6739130434782609, 0.6521739130434783, 0.43478260869565216, 0.6739130434782609, 0.6666666666666666, 0.6444444444444445, 0.6222222222222222, 0.6888888888888889, 0.5777777777777777, 0.6]","[0.6739130434782609, 0.6521739130434783, 0.43478260869565216, 0.6739130434782609, 0.6666666666666666, 0.6444444444444445, 0.6222222222222222, 0.6888888888888889, 0.5777777777777777, 0.6]","[0.6739130434782609, 0.6521739130434783, 0.43478260869565216, 0.6739130434782609, 0.6666666666666666, 0.6444444444444445, 0.6222222222222222, 0.6888888888888889, 0.5777777777777777, 0.6]","[0.6739130434782609, 0.6521739130434783, 0.43478260869565216, 0.6739130434782609, 0.6666666666666666, 0.6444444444444445, 0.6222222222222222, 0.6888888888888889, 0.5777777777777777, 0.6]","[0.6702380952380953, 0.6310515873015874, 0.4136363636363637, 0.6702380952380953, 0.6670454545454546, 0.6332264957264957, 0.6275564713064713, 0.7002719502719503, 0.5595238095238095, 0.6136363636363636]","[0.6652777777777779, 0.625, 0.4204545454545454, 0.6590909090909091, 0.6698051948051947, 0.6257575757575757, 0.6191919191919192, 0.7035353535353536, 0.5691919191919191, 0.5669191919191919]","[0.6595588235294119, 0.6262919742795905, 0.41666666666666663, 0.6583236456637991, 0.6639920948616601, 0.6275670794633643, 0.6129811438366838, 0.688986013986014, 0.5370082815734989, 0.5607142857142857]","[0.6824534161490683, 0.6523895790200138, 0.42924901185770753, 0.6824534161490684, 0.6786195286195287, 0.6470560303893637, 0.6307997557997558, 0.718691185357852, 0.5649029982363316, 0.620909090909091]","[0.6739130434782609, 0.6521739130434783, 0.43478260869565216, 0.6739130434782609, 0.6666666666666666, 0.6444444444444445, 0.6222222222222222, 0.6888888888888889, 0.5777777777777777, 0.6]","[0.6713554987212277, 0.6506414570757013, 0.4316770186335404, 0.6726443799723016, 0.6677417654808959, 0.6440029813094829, 0.6165567156684502, 0.6907692307692307, 0.5470669427191166, 0.5825396825396825]","[array([[ 7,  5,  0,  0],
       [ 2,  7,  0,  0],
       [ 2,  0,  5,  3],
       [ 1,  0,  2, 12]]), array([[ 8,  3,  0,  1],
       [ 6,  3,  0,  0],
       [ 0,  1,  7,  2],
       [ 0,  1,  2, 12]]), array([[2, 6, 2, 1],
       [5, 4, 0, 1],
       [1, 0, 5, 4],
       [2, 0, 4, 9]]), array([[ 7,  1,  3,  0],
       [ 4,  5,  0,  1],
       [ 1,  0,  7,  2],
       [ 0,  1,  2, 12]]), array([[7, 3, 1, 0],
       [4, 6, 0, 0],
       [0, 0, 8, 2],
       [1, 1, 3, 9]]), array([[ 7,  4,  0,  0],
       [ 6,  4,  0,  0],
       [ 0,  0,  6,  3],
       [ 0,  1,  2, 12]]), array([[ 5,  4,  1,  1],
       [ 1,  5,  0,  3],
       [ 0,  0,  8,  2],
       [ 1,  0,  4, 10]]), array([[7, 3, 1, 0],
       [2, 7, 0, 0],
       [0, 0, 8, 2],
       [0, 3, 3, 9]]), array([[ 5,  5,  0,  1],
       [ 1,  8,  0,  0],
       [ 2,  0,  2,  6],
       [ 1,  1,  2, 11]]), array([[ 6,  5,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  3,  7],
       [ 0,  1,  1, 13]])]"
10,"[0.7921225382932167, 0.8030634573304157, 0.8056768558951966, 0.8144104803493449, 0.8260869565217391, 0.7973856209150327, 0.8275109170305677, 0.7751091703056768, 0.7751091703056768, 0.8078602620087336]","[0.7921225382932167, 0.8030634573304157, 0.8056768558951966, 0.8144104803493449, 0.8260869565217391, 0.7973856209150327, 0.8275109170305677, 0.7751091703056768, 0.7751091703056768, 0.8078602620087336]","[0.7921225382932167, 0.8030634573304157, 0.8056768558951966, 0.8144104803493449, 0.8260869565217391, 0.7973856209150327, 0.8275109170305677, 0.7751091703056768, 0.7751091703056768, 0.8078602620087336]","[0.7921225382932167, 0.8030634573304157, 0.8056768558951966, 0.8144104803493449, 0.8260869565217391, 0.7973856209150327, 0.8275109170305677, 0.7751091703056768, 0.7751091703056768, 0.8078602620087336]","[0.798167812503487, 0.8079923988374692, 0.8028802939086082, 0.8145003877778426, 0.8251732047645243, 0.7984118321203265, 0.8242968720729833, 0.77785294173386, 0.7785783183358509, 0.8061729252017448]","[0.7716095086365924, 0.7952020794901895, 0.8001253190051523, 0.8049180756579766, 0.8168345673518662, 0.8030667619000706, 0.8180124380876793, 0.7761104783126308, 0.7576494820369175, 0.805604237683537]","[0.7785579061050758, 0.7972669210351692, 0.8012864737826915, 0.8064149980072514, 0.8201038393880135, 0.795166140793454, 0.817730170761555, 0.7713050685025461, 0.7638228579102875, 0.8034883477685363]","[0.7956580087097471, 0.8108420520692841, 0.8060376989223637, 0.8176219699372773, 0.8258964590272897, 0.8107644169238383, 0.8307799794191622, 0.7885608822847645, 0.7776691928242656, 0.8116246124967682]","[0.7921225382932167, 0.8030634573304157, 0.8056768558951966, 0.8144104803493449, 0.8260869565217391, 0.7973856209150327, 0.8275109170305677, 0.7751091703056768, 0.7751091703056768, 0.8078602620087336]","[0.7879913985095438, 0.803314256300648, 0.805680419830172, 0.8130605701147862, 0.8251263062682871, 0.7985798419560689, 0.8257066414813619, 0.7757139928744952, 0.7724542616592011, 0.8073046992931789]","[array([[ 61,  37,   2,   0],
       [  9, 121,   0,   4],
       [ 10,   0,  61,  18],
       [  3,   5,   7, 119]]), array([[ 82,  18,   0,   0],
       [ 27, 104,   0,   3],
       [  9,   0,  62,  18],
       [  2,   4,   9, 119]]), array([[ 78,  18,   1,   4],
       [ 18, 111,   0,   5],
       [  7,   1,  68,  13],
       [  1,   6,  15, 112]]), array([[ 86,  13,   1,   1],
       [ 21, 108,   0,   5],
       [  5,   1,  60,  23],
       [  1,   2,  12, 119]]), array([[ 74,  22,   4,   1],
       [ 15, 117,   0,   3],
       [  2,   1,  70,  16],
       [  1,   5,  10, 119]]), array([[ 91,   9,   0,   1],
       [ 27, 100,   0,   7],
       [ 11,   0,  71,   8],
       [  2,   4,  24, 104]]), array([[ 69,  28,   3,   1],
       [  7, 126,   0,   1],
       [  6,   0,  73,  10],
       [  2,   1,  20, 111]]), array([[ 83,   9,   6,   3],
       [ 35,  92,   0,   7],
       [  2,   0,  67,  20],
       [  3,   1,  17, 113]]), array([[ 62,  36,   0,   3],
       [ 13, 117,   0,   4],
       [ 12,   0,  61,  16],
       [  4,   5,  10, 115]]), array([[ 70,  22,   7,   2],
       [ 17, 116,   0,   1],
       [  2,   1,  77,   9],
       [  2,  10,  15, 107]])]","[0.5434782608695652, 0.6304347826086957, 0.5434782608695652, 0.6304347826086957, 0.6666666666666666, 0.6666666666666666, 0.6, 0.7111111111111111, 0.6444444444444445, 0.6444444444444445]","[0.5434782608695652, 0.6304347826086957, 0.5434782608695652, 0.6304347826086957, 0.6666666666666666, 0.6666666666666666, 0.6, 0.7111111111111111, 0.6444444444444445, 0.6444444444444445]","[0.5434782608695652, 0.6304347826086957, 0.5434782608695652, 0.6304347826086957, 0.6666666666666666, 0.6666666666666666, 0.6, 0.7111111111111111, 0.6444444444444445, 0.6444444444444445]","[0.5434782608695652, 0.6304347826086957, 0.5434782608695652, 0.6304347826086957, 0.6666666666666666, 0.6666666666666666, 0.6, 0.7111111111111111, 0.6444444444444445, 0.6444444444444445]","[0.5281905594405594, 0.6444444444444445, 0.5359477124183006, 0.6291666666666667, 0.691281512605042, 0.6722222222222223, 0.6043233082706767, 0.7330128205128205, 0.6582166199813259, 0.6479166666666666]","[0.5375, 0.6152777777777778, 0.5303030303030303, 0.6090909090909091, 0.6646103896103897, 0.6535353535353536, 0.5803030303030303, 0.7012626262626263, 0.6358585858585859, 0.6424242424242423]","[0.5286630036630037, 0.6015245623941277, 0.53125, 0.6085483870967743, 0.638095238095238, 0.656545209176788, 0.5758636788048553, 0.6932275132275132, 0.6197463768115942, 0.6437464629315224]","[0.5444283976892672, 0.6521739130434783, 0.5420574026712134, 0.6394927536231884, 0.7009803921568627, 0.7017283950617285, 0.6121136173767752, 0.7493162393162394, 0.6631600788463534, 0.6475925925925926]","[0.5434782608695652, 0.6304347826086957, 0.5434782608695652, 0.6304347826086957, 0.6666666666666666, 0.6666666666666666, 0.6, 0.7111111111111111, 0.6444444444444445, 0.6444444444444445]","[0.539950629081064, 0.6161752551166539, 0.5407608695652174, 0.6254978962131837, 0.6459259259259259, 0.6770430349377717, 0.5899574644672684, 0.7088536155202821, 0.6298711755233494, 0.6446833930704899]","[array([[7, 5, 0, 0],
       [2, 6, 1, 0],
       [3, 0, 3, 4],
       [2, 0, 4, 9]]), array([[ 5,  6,  0,  1],
       [ 2,  7,  0,  0],
       [ 2,  0,  4,  4],
       [ 0,  1,  1, 13]]), array([[ 5,  4,  1,  1],
       [ 3,  5,  0,  2],
       [ 1,  0,  5,  4],
       [ 0,  1,  4, 10]]), array([[ 7,  1,  2,  1],
       [ 5,  4,  0,  1],
       [ 2,  0,  6,  2],
       [ 0,  1,  2, 12]]), array([[ 3,  6,  2,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  2,  1, 11]]), array([[ 7,  4,  0,  0],
       [ 6,  4,  0,  0],
       [ 2,  0,  7,  0],
       [ 0,  1,  2, 12]]), array([[ 5,  5,  1,  0],
       [ 1,  6,  0,  2],
       [ 1,  0,  4,  5],
       [ 0,  1,  2, 12]]), array([[ 8,  1,  2,  0],
       [ 5,  4,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  4, 11]]), array([[ 5,  6,  0,  0],
       [ 1,  8,  0,  0],
       [ 1,  0,  4,  5],
       [ 2,  0,  1, 12]]), array([[ 7,  2,  1,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  6,  4],
       [ 1,  2,  2, 10]])]"
15,"[0.7833698030634574, 0.7921225382932167, 0.7489082969432315, 0.8013100436681223, 0.7652173913043478, 0.7647058823529411, 0.7510917030567685, 0.759825327510917, 0.7751091703056768, 0.7707423580786026]","[0.7833698030634574, 0.7921225382932167, 0.7489082969432315, 0.8013100436681223, 0.7652173913043478, 0.7647058823529411, 0.7510917030567685, 0.759825327510917, 0.7751091703056768, 0.7707423580786026]","[0.7833698030634574, 0.7921225382932167, 0.7489082969432315, 0.8013100436681223, 0.7652173913043478, 0.7647058823529411, 0.7510917030567685, 0.759825327510917, 0.7751091703056768, 0.7707423580786026]","[0.7833698030634574, 0.7921225382932167, 0.7489082969432315, 0.8013100436681223, 0.7652173913043478, 0.7647058823529411, 0.7510917030567685, 0.759825327510917, 0.7751091703056768, 0.7707423580786026]","[0.791343294843669, 0.7867464539007092, 0.7533334400158973, 0.8067989368743278, 0.7681870694223636, 0.7601180967821408, 0.7620303715891952, 0.7812724772583034, 0.7885605219339371, 0.7707171306217311]","[0.7710099781988932, 0.7911919335904746, 0.7396884749685768, 0.7774834250153172, 0.7645608006493534, 0.7504186985862765, 0.7272717649930346, 0.7382623953322718, 0.7557049411967861, 0.7650642244335115]","[0.7674924498577269, 0.7879412972433901, 0.7402715175169314, 0.7837091364888107, 0.7601197228282545, 0.7532116442439308, 0.7185309580936561, 0.7478505503356738, 0.7638674243091996, 0.766477421623361]","[0.792129508176083, 0.795330408857575, 0.7560105361210397, 0.8049328169533617, 0.7774185802170458, 0.7639684341118547, 0.7585710740154614, 0.7715403844679317, 0.7827037621800974, 0.7750273295499623]","[0.7833698030634574, 0.7921225382932167, 0.7489082969432315, 0.8013100436681223, 0.7652173913043478, 0.7647058823529411, 0.7510917030567685, 0.759825327510917, 0.7751091703056768, 0.7707423580786026]","[0.7755106835208415, 0.792659574644409, 0.7464671194966666, 0.7952068627090294, 0.7646198974334222, 0.7622482231708263, 0.7306228992772934, 0.7553074896980381, 0.7717454792488125, 0.7715312440061731]","[array([[ 51,  29,   9,  11],
       [  4, 122,   1,   7],
       [  2,   0,  75,  12],
       [  2,   4,  18, 110]]), array([[ 77,  15,   8,   0],
       [ 28, 101,   0,   5],
       [  1,   0,  71,  17],
       [  2,   4,  15, 113]]), array([[ 77,  13,   7,   4],
       [ 39,  90,   2,   3],
       [  0,   3,  56,  30],
       [  2,   7,   5, 120]]), array([[ 64,  29,   7,   1],
       [  8, 122,   1,   3],
       [  2,   0,  57,  30],
       [  1,   2,   7, 124]]), array([[ 81,  13,   4,   3],
       [ 39,  88,   3,   5],
       [  2,   0,  65,  22],
       [  3,   1,  13, 118]]), array([[ 67,  25,   8,   1],
       [ 14, 118,   1,   1],
       [  2,   4,  60,  24],
       [  7,   8,  13, 106]]), array([[ 35,  44,   8,  14],
       [  6, 123,   0,   5],
       [  2,   0,  68,  19],
       [  1,   3,  12, 118]]), array([[ 64,  29,   2,   6],
       [ 12, 121,   0,   1],
       [  2,   1,  53,  33],
       [  9,  12,   3, 110]]), array([[ 65,  30,   3,   3],
       [ 17, 110,   0,   7],
       [  4,   1,  57,  27],
       [  8,   1,   2, 123]]), array([[ 71,  21,   6,   3],
       [ 32,  99,   0,   3],
       [  2,   0,  67,  20],
       [  7,   3,   8, 116]])]","[0.6304347826086957, 0.717391304347826, 0.5434782608695652, 0.6956521739130435, 0.6666666666666666, 0.6666666666666666, 0.4888888888888889, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666]","[0.6304347826086957, 0.717391304347826, 0.5434782608695652, 0.6956521739130435, 0.6666666666666666, 0.6666666666666666, 0.4888888888888889, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666]","[0.6304347826086957, 0.717391304347826, 0.5434782608695652, 0.6956521739130435, 0.6666666666666666, 0.6666666666666666, 0.4888888888888889, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666]","[0.6304347826086957, 0.717391304347826, 0.5434782608695652, 0.6956521739130435, 0.6666666666666666, 0.6666666666666666, 0.4888888888888889, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666]","[0.65625, 0.7175420168067227, 0.5240696803196804, 0.7029970760233918, 0.6555194805194805, 0.6734203296703297, 0.5301587301587302, 0.659780578898226, 0.762719298245614, 0.6868686868686869]","[0.6402777777777777, 0.7069444444444444, 0.5348484848484848, 0.678030303030303, 0.6577922077922078, 0.658080808080808, 0.4686868686868687, 0.6386363636363636, 0.6979797979797979, 0.6590909090909091]","[0.6259367872271098, 0.7062693498452013, 0.5246530869903394, 0.6849108064278343, 0.6559523809523808, 0.662261306321629, 0.47441520467836257, 0.6378315580618212, 0.6911764705882353, 0.6688948306595365]","[0.6621376811594203, 0.7180672268907563, 0.5415046909612127, 0.6987159928807525, 0.6658585858585858, 0.6855006105006105, 0.5330511463844797, 0.6631289552858181, 0.754736842105263, 0.6759259259259259]","[0.6304347826086957, 0.717391304347826, 0.5434782608695652, 0.6956521739130435, 0.6666666666666666, 0.6666666666666666, 0.4888888888888889, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666]","[0.6240809214161248, 0.7122593888814106, 0.5380475829427555, 0.691117179137101, 0.6656084656084655, 0.6729120967060821, 0.4851851851851852, 0.6429975401466629, 0.6972300031123561, 0.6671023965141613]","[array([[ 5,  5,  0,  2],
       [ 1,  7,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  5, 10]]), array([[ 9,  2,  0,  1],
       [ 2,  7,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  2, 12]]), array([[ 3,  5,  2,  1],
       [ 4,  6,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  0,  5, 10]]), array([[ 6,  2,  1,  2],
       [ 3,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  1, 13]]), array([[ 6,  3,  2,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 11]]), array([[ 5,  6,  0,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  7,  2],
       [ 1,  1,  1, 12]]), array([[ 4,  5,  1,  1],
       [ 1,  4,  0,  4],
       [ 0,  0,  4,  6],
       [ 0,  1,  4, 10]]), array([[ 5,  4,  0,  2],
       [ 2,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  2,  2, 11]]), array([[ 7,  4,  0,  0],
       [ 1,  8,  0,  0],
       [ 0,  0,  4,  6],
       [ 2,  0,  0, 13]]), array([[ 7,  2,  0,  2],
       [ 2,  6,  0,  1],
       [ 0,  0,  6,  4],
       [ 2,  0,  2, 11]])]"
20,"[0.7527352297592997, 0.7680525164113785, 0.75764192139738, 0.7620087336244541, 0.7630434782608696, 0.7472766884531591, 0.7794759825327511, 0.7838427947598253, 0.7248908296943232, 0.7336244541484717]","[0.7527352297592997, 0.7680525164113785, 0.75764192139738, 0.7620087336244541, 0.7630434782608696, 0.7472766884531591, 0.7794759825327511, 0.7838427947598253, 0.7248908296943232, 0.7336244541484717]","[0.7527352297592997, 0.7680525164113785, 0.75764192139738, 0.7620087336244541, 0.7630434782608696, 0.7472766884531591, 0.7794759825327511, 0.7838427947598253, 0.7248908296943232, 0.7336244541484717]","[0.7527352297592997, 0.7680525164113785, 0.75764192139738, 0.7620087336244541, 0.7630434782608696, 0.7472766884531591, 0.7794759825327511, 0.7838427947598253, 0.7248908296943232, 0.7336244541484717]","[0.7507182826322952, 0.768139905148185, 0.7603490449475723, 0.7559568419606199, 0.7761722778283289, 0.7389855153496365, 0.7814116716755843, 0.7773327019621545, 0.7243891544739003, 0.7472359069446641]","[0.7616430488009391, 0.7763130974341775, 0.7328550815839592, 0.7504024404620573, 0.7383083439430085, 0.7379271136068831, 0.7770118702294513, 0.7747053612790425, 0.7310512599977087, 0.7282669697457755]","[0.7495928174452529, 0.7655752955518735, 0.7366426853615173, 0.7483584008925945, 0.7419678443067033, 0.7381632185164462, 0.7738927723555791, 0.7754172577251591, 0.7215749977456272, 0.7129711538065271]","[0.7648923378314703, 0.7831881361716968, 0.7585323196017751, 0.7630754156502517, 0.7706949928129657, 0.7485187430666014, 0.792352542037028, 0.7831988507636561, 0.7393023749140987, 0.7534071242992634]","[0.7527352297592997, 0.7680525164113785, 0.75764192139738, 0.7620087336244541, 0.7630434782608696, 0.7472766884531591, 0.7794759825327511, 0.7838427947598253, 0.7248908296943232, 0.7336244541484717]","[0.7529199946657633, 0.7696734898517292, 0.7487051307377941, 0.7577241547959592, 0.7525431126196346, 0.7476023245042769, 0.7801904319798689, 0.7828833098941564, 0.7263778599853941, 0.721491113792937]","[array([[67, 13,  8, 12],
       [30, 97,  1,  6],
       [ 2,  0, 82,  5],
       [ 3,  3, 30, 98]]), array([[ 74,  15,   8,   3],
       [ 27, 100,   1,   6],
       [  1,   0,  79,   9],
       [  0,   2,  34,  98]]), array([[ 52,  38,   7,   4],
       [ 10, 119,   2,   3],
       [  2,   1,  57,  29],
       [  6,   3,   6, 119]]), array([[ 53,  40,   7,   1],
       [ 16, 117,   1,   0],
       [  4,   0,  71,  14],
       [  5,   4,  17, 108]]), array([[ 48,  46,   4,   3],
       [  8, 120,   1,   6],
       [  2,   0,  61,  26],
       [  2,   2,   9, 122]]), array([[ 68,  24,   8,   1],
       [ 21, 110,   1,   2],
       [  6,   0,  62,  22],
       [ 11,   4,  16, 103]]), array([[ 83,   8,   7,   3],
       [ 31,  95,   0,   8],
       [  5,   0,  64,  20],
       [  3,   1,  15, 115]]), array([[ 70,  22,   6,   3],
       [ 15, 116,   1,   2],
       [  4,   1,  66,  18],
       [  5,   6,  16, 107]]), array([[64, 26,  8,  3],
       [33, 96,  3,  2],
       [ 4,  0, 77,  8],
       [ 3,  6, 30, 95]]), array([[ 41,  42,   7,  11],
       [  8, 116,   7,   3],
       [  2,   0,  81,   6],
       [  0,   5,  31,  98]])]","[0.6521739130434783, 0.6521739130434783, 0.5434782608695652, 0.717391304347826, 0.6444444444444445, 0.6666666666666666, 0.5777777777777777, 0.6666666666666666, 0.6666666666666666, 0.6444444444444445]","[0.6521739130434783, 0.6521739130434783, 0.5434782608695652, 0.717391304347826, 0.6444444444444445, 0.6666666666666666, 0.5777777777777777, 0.6666666666666666, 0.6666666666666666, 0.6444444444444445]","[0.6521739130434783, 0.6521739130434783, 0.5434782608695652, 0.717391304347826, 0.6444444444444445, 0.6666666666666666, 0.5777777777777777, 0.6666666666666666, 0.6666666666666666, 0.6444444444444445]","[0.6521739130434783, 0.6521739130434783, 0.5434782608695652, 0.717391304347826, 0.6444444444444445, 0.6666666666666666, 0.5777777777777777, 0.6666666666666666, 0.6666666666666666, 0.6444444444444445]","[0.6745607333842627, 0.6503342245989305, 0.5328449328449328, 0.7073863636363636, 0.6378517316017316, 0.669551282051282, 0.5558608058608059, 0.668939393939394, 0.6715811965811966, 0.6662660256410257]","[0.6638888888888889, 0.6416666666666666, 0.5325757575757576, 0.7136363636363636, 0.6422077922077922, 0.6691919191919191, 0.553030303030303, 0.6696969696969696, 0.672979797979798, 0.6542929292929293]","[0.6506758639910813, 0.640530303030303, 0.5296656183186602, 0.7060797154175762, 0.6348257006151743, 0.663712421149492, 0.5520833333333334, 0.6598401598401599, 0.6603743961352657, 0.6183150183150183]","[0.6817185372172585, 0.6564636131132295, 0.5496788235918671, 0.7102272727272727, 0.6443602693602694, 0.6903418803418804, 0.5763125763125763, 0.6978451178451178, 0.6965811965811965, 0.6814102564102564]","[0.6521739130434783, 0.6521739130434783, 0.5434782608695652, 0.717391304347826, 0.6444444444444445, 0.6666666666666666, 0.5777777777777777, 0.6666666666666666, 0.6666666666666666, 0.6444444444444445]","[0.6493535213998353, 0.6491765480895915, 0.54382289077756, 0.7095754814807002, 0.6394774815827448, 0.6723701362908076, 0.575, 0.6719946719946719, 0.6676167471819645, 0.6230525030525031]","[array([[8, 2, 0, 2],
       [3, 5, 1, 0],
       [0, 0, 9, 1],
       [0, 0, 7, 8]]), array([[ 6,  4,  0,  2],
       [ 3,  6,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  1,  2, 12]]), array([[ 4,  4,  2,  1],
       [ 5,  5,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  0,  5, 10]]), array([[ 5,  3,  1,  2],
       [ 2,  7,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  1,  1, 12]]), array([[ 5,  4,  2,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  0,  3, 10]]), array([[ 5,  6,  0,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  8,  1],
       [ 1,  1,  2, 11]]), array([[ 6,  3,  1,  1],
       [ 5,  3,  1,  0],
       [ 1,  0,  6,  3],
       [ 1,  1,  2, 11]]), array([[ 6,  3,  2,  0],
       [ 3,  6,  0,  0],
       [ 1,  0,  8,  1],
       [ 0,  3,  2, 10]]), array([[7, 4, 0, 0],
       [4, 5, 0, 0],
       [0, 0, 9, 1],
       [2, 0, 4, 9]]), array([[ 3,  4,  3,  1],
       [ 1,  7,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  1,  4, 10]])]"
