gamma value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
0.001,"[0.914179104477612, 0.9160447761194029, 0.9235074626865671, 0.9197761194029851, 0.9148148148148149, 0.9048507462686567, 0.9048507462686567, 0.8992537313432836, 0.9123134328358209, 0.9067164179104478]","[0.914179104477612, 0.9160447761194029, 0.9235074626865671, 0.9197761194029851, 0.9148148148148149, 0.9048507462686567, 0.9048507462686567, 0.8992537313432836, 0.9123134328358209, 0.9067164179104478]","[0.914179104477612, 0.9160447761194029, 0.9235074626865671, 0.9197761194029851, 0.9148148148148149, 0.9048507462686567, 0.9048507462686567, 0.8992537313432836, 0.9123134328358209, 0.9067164179104478]","[0.914179104477612, 0.9160447761194029, 0.9235074626865671, 0.9197761194029851, 0.9148148148148149, 0.9048507462686567, 0.9048507462686567, 0.8992537313432836, 0.9123134328358209, 0.9067164179104478]","[0.9150554838391212, 0.9166426440401172, 0.9251302920031926, 0.920653449683609, 0.9156293789567975, 0.9059492510347988, 0.9080396473550418, 0.9005953225801, 0.913035550587769, 0.9086054381846635]","[0.914179104477612, 0.916044776119403, 0.9235074626865671, 0.9197761194029851, 0.9148148148148147, 0.9048507462686567, 0.9048507462686568, 0.8992537313432836, 0.9123134328358209, 0.9067164179104478]","[0.9140739064559009, 0.9159082209425459, 0.9232890143243832, 0.919732019093731, 0.9146231833092561, 0.9046844214022209, 0.9046442394787509, 0.8989261542119049, 0.9122882622179559, 0.9066300593904597]","[0.9150554838391212, 0.9166426440401171, 0.9251302920031926, 0.920653449683609, 0.9156293789567975, 0.905949251034799, 0.908039647355042, 0.9005953225801001, 0.913035550587769, 0.9086054381846637]","[0.914179104477612, 0.9160447761194029, 0.9235074626865671, 0.9197761194029851, 0.9148148148148149, 0.9048507462686567, 0.9048507462686567, 0.8992537313432836, 0.9123134328358209, 0.9067164179104478]","[0.9140739064559009, 0.915908220942546, 0.9232890143243833, 0.919732019093731, 0.9146231833092562, 0.904684421402221, 0.9046442394787509, 0.898926154211905, 0.912288262217956, 0.9066300593904598]","[array([[118,  16,   0,   0],
       [  9, 123,   0,   2],
       [  0,   0, 129,   5],
       [  1,   1,  12, 120]]), array([[122,  12,   0,   0],
       [  9, 123,   0,   2],
       [  0,   0, 128,   6],
       [  1,   1,  14, 118]]), array([[122,  12,   0,   0],
       [  5, 125,   0,   4],
       [  1,   0, 131,   2],
       [  1,   0,  16, 117]]), array([[122,  11,   0,   1],
       [  6, 127,   0,   1],
       [  0,   0, 126,   8],
       [  0,   0,  16, 118]]), array([[123,  12,   0,   0],
       [ 11, 121,   0,   3],
       [  1,   0, 131,   3],
       [  2,   1,  13, 119]]), array([[120,  14,   0,   0],
       [ 11, 121,   0,   2],
       [  1,   0, 128,   5],
       [  2,   0,  16, 116]]), array([[123,  11,   0,   0],
       [ 17, 116,   0,   1],
       [  1,   0, 131,   2],
       [  1,   1,  17, 115]]), array([[119,  15,   0,   0],
       [ 11, 120,   0,   3],
       [  0,   0, 129,   5],
       [  2,   0,  18, 114]]), array([[117,  17,   0,   0],
       [ 11, 121,   0,   2],
       [  0,   0, 129,   5],
       [  0,   2,  10, 122]]), array([[117,  17,   0,   0],
       [  8, 125,   0,   1],
       [  0,   0, 127,   7],
       [  0,   2,  15, 117]])]","[0.7608695652173914, 0.8260869565217391, 0.6956521739130435, 0.782608695652174, 0.7555555555555555, 0.8888888888888888, 0.7777777777777778, 0.8222222222222222, 0.7333333333333333, 0.8666666666666667]","[0.7608695652173914, 0.8260869565217391, 0.6956521739130435, 0.782608695652174, 0.7555555555555555, 0.8888888888888888, 0.7777777777777778, 0.8222222222222222, 0.7333333333333333, 0.8666666666666667]","[0.7608695652173914, 0.8260869565217391, 0.6956521739130435, 0.782608695652174, 0.7555555555555555, 0.8888888888888888, 0.7777777777777778, 0.8222222222222222, 0.7333333333333333, 0.8666666666666667]","[0.7608695652173914, 0.8260869565217391, 0.6956521739130435, 0.782608695652174, 0.7555555555555555, 0.8888888888888888, 0.7777777777777778, 0.8222222222222222, 0.7333333333333333, 0.8666666666666667]","[0.7678571428571428, 0.8212121212121212, 0.7045693277310924, 0.7851190476190476, 0.7569444444444444, 0.8874313186813187, 0.8017676767676768, 0.8068181818181819, 0.7371309246309247, 0.8839285714285714]","[0.7513888888888889, 0.826388888888889, 0.6803030303030303, 0.7818181818181817, 0.7581168831168832, 0.8916666666666667, 0.7674242424242425, 0.8068181818181819, 0.7406565656565657, 0.8694444444444445]","[0.7496784824371032, 0.8228451563691838, 0.6778412022703818, 0.7814636512912374, 0.753988574354707, 0.8845911474087518, 0.7723665223665224, 0.8068181818181819, 0.7366522366522367, 0.8655176767676768]","[0.7691511387163561, 0.8264822134387352, 0.7093761417610522, 0.7932712215320911, 0.7635802469135803, 0.8908058608058609, 0.8003367003367003, 0.8222222222222222, 0.7415954415954417, 0.892063492063492]","[0.7608695652173914, 0.8260869565217391, 0.6956521739130435, 0.782608695652174, 0.7555555555555555, 0.8888888888888888, 0.7777777777777778, 0.8222222222222222, 0.7333333333333333, 0.8666666666666667]","[0.7566496472043699, 0.8254402547010248, 0.689183997397586, 0.7860517793051526, 0.7559794388169675, 0.8852378391700836, 0.77655924322591, 0.8222222222222222, 0.7350649350649352, 0.8682255892255891]","[array([[11,  1,  0,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[ 9,  2,  0,  1],
       [ 1,  8,  0,  0],
       [ 1,  0,  8,  1],
       [ 0,  0,  2, 13]]), array([[ 5,  6,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  0,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  2,  1, 12]]), array([[ 9,  2,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 10]]), array([[11,  0,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  9,  0],
       [ 0,  1,  1, 13]]), array([[ 7,  3,  0,  1],
       [ 0,  6,  0,  3],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]]), array([[ 8,  3,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  1, 14]]), array([[ 9,  2,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  5, 10]]), array([[11,  0,  0,  0],
       [ 2,  7,  0,  0],
       [ 1,  0,  9,  0],
       [ 0,  0,  3, 12]])]"
0.005,"[0.9794776119402985, 0.9813432835820896, 0.9794776119402985, 0.9738805970149254, 0.975925925925926, 0.9757462686567164, 0.9757462686567164, 0.9738805970149254, 0.9757462686567164, 0.9682835820895522]","[0.9794776119402985, 0.9813432835820896, 0.9794776119402985, 0.9738805970149254, 0.975925925925926, 0.9757462686567164, 0.9757462686567164, 0.9738805970149254, 0.9757462686567164, 0.9682835820895522]","[0.9794776119402985, 0.9813432835820896, 0.9794776119402985, 0.9738805970149254, 0.975925925925926, 0.9757462686567164, 0.9757462686567164, 0.9738805970149254, 0.9757462686567164, 0.9682835820895522]","[0.9794776119402985, 0.9813432835820896, 0.9794776119402985, 0.9738805970149254, 0.975925925925926, 0.9757462686567164, 0.9757462686567164, 0.9738805970149254, 0.9757462686567164, 0.9682835820895522]","[0.9797574032991989, 0.9816872456455772, 0.9802016181308273, 0.9743453491471215, 0.9764046188202105, 0.9766007220882773, 0.9762246327624617, 0.9743043764615174, 0.9762896006598315, 0.9696980074045183]","[0.9794776119402986, 0.9813432835820896, 0.9794776119402986, 0.9738805970149254, 0.9759259259259259, 0.9757462686567164, 0.9757462686567164, 0.9738805970149254, 0.9757462686567164, 0.9682835820895522]","[0.9794736190552907, 0.9813386583410421, 0.9794582731273974, 0.9738712411087705, 0.9759184793384881, 0.9757331427868954, 0.9757368348226705, 0.9738807988979102, 0.9757392271301353, 0.9682559336034327]","[0.9797574032991989, 0.9816872456455773, 0.9802016181308272, 0.9743453491471216, 0.9764046188202105, 0.9766007220882773, 0.9762246327624617, 0.9743043764615174, 0.9762896006598315, 0.9696980074045183]","[0.9794776119402985, 0.9813432835820896, 0.9794776119402985, 0.9738805970149254, 0.975925925925926, 0.9757462686567164, 0.9757462686567164, 0.9738805970149254, 0.9757462686567164, 0.9682835820895522]","[0.9794736190552907, 0.9813386583410421, 0.9794582731273973, 0.9738712411087705, 0.975918479338488, 0.9757331427868953, 0.9757368348226704, 0.9738807988979102, 0.9757392271301353, 0.9682559336034328]","[array([[132,   2,   0,   0],
       [  1, 133,   0,   0],
       [  1,   0, 132,   1],
       [  0,   0,   6, 128]]), array([[132,   2,   0,   0],
       [  1, 133,   0,   0],
       [  0,   0, 133,   1],
       [  0,   0,   6, 128]]), array([[133,   1,   0,   0],
       [  1, 132,   0,   1],
       [  0,   0, 134,   0],
       [  0,   0,   8, 126]]), array([[132,   2,   0,   0],
       [  2, 132,   0,   0],
       [  0,   0, 132,   2],
       [  0,   0,   8, 126]]), array([[132,   3,   0,   0],
       [  2, 133,   0,   0],
       [  0,   0, 134,   1],
       [  0,   0,   7, 128]]), array([[130,   4,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 133,   1],
       [  0,   0,   8, 126]]), array([[133,   1,   0,   0],
       [  2, 132,   0,   0],
       [  0,   0, 132,   2],
       [  0,   0,   8, 126]]), array([[131,   3,   0,   0],
       [  2, 132,   0,   0],
       [  1,   0, 132,   1],
       [  0,   0,   7, 127]]), array([[128,   6,   0,   0],
       [  1, 133,   0,   0],
       [  0,   0, 133,   1],
       [  0,   0,   5, 129]]), array([[129,   5,   0,   0],
       [  2, 132,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,  10, 124]])]","[0.7391304347826086, 0.7391304347826086, 0.6739130434782609, 0.7608695652173914, 0.7111111111111111, 0.8222222222222222, 0.7555555555555555, 0.8222222222222222, 0.6888888888888889, 0.8444444444444444]","[0.7391304347826086, 0.7391304347826086, 0.6739130434782609, 0.7608695652173914, 0.7111111111111111, 0.8222222222222222, 0.7555555555555555, 0.8222222222222222, 0.6888888888888889, 0.8444444444444444]","[0.7391304347826086, 0.7391304347826086, 0.6739130434782609, 0.7608695652173914, 0.7111111111111111, 0.8222222222222222, 0.7555555555555555, 0.8222222222222222, 0.6888888888888889, 0.8444444444444444]","[0.7391304347826086, 0.7391304347826086, 0.6739130434782609, 0.7608695652173914, 0.7111111111111111, 0.8222222222222222, 0.7555555555555555, 0.8222222222222222, 0.6888888888888889, 0.8444444444444444]","[0.7510504201680673, 0.7309027777777778, 0.6730614973262032, 0.7680555555555555, 0.7138278388278388, 0.8250000000000001, 0.7584935897435896, 0.8184343434343434, 0.6840909090909091, 0.8381410256410257]","[0.7152777777777777, 0.725, 0.6613636363636364, 0.7568181818181818, 0.7103896103896105, 0.8222222222222222, 0.7507575757575757, 0.8156565656565656, 0.698989898989899, 0.843939393939394]","[0.7144088669950739, 0.7272212790039615, 0.6636904761904762, 0.7600934153565733, 0.7016853564168142, 0.8138934557489057, 0.7465293668954995, 0.8159489633173843, 0.6873188405797102, 0.8342988710635769]","[0.7569967117281695, 0.7383756038647343, 0.6750406882120437, 0.7722222222222223, 0.7222629222629223, 0.8282539682539682, 0.7677350427350427, 0.8264197530864198, 0.693939393939394, 0.8565527065527065]","[0.7391304347826086, 0.7391304347826086, 0.6739130434782609, 0.7608695652173914, 0.7111111111111111, 0.8222222222222222, 0.7555555555555555, 0.8222222222222222, 0.6888888888888889, 0.8444444444444444]","[0.7317412722210324, 0.7380231785635196, 0.6710662525879918, 0.7644704646992977, 0.7069112000058292, 0.8162569778062465, 0.7540300025425883, 0.8233918128654971, 0.6868599033816426, 0.8431966726084372]","[array([[11,  1,  0,  0],
       [ 5,  4,  0,  0],
       [ 1,  0,  7,  2],
       [ 0,  0,  3, 12]]), array([[ 8,  3,  0,  1],
       [ 3,  6,  0,  0],
       [ 1,  0,  7,  2],
       [ 0,  0,  2, 13]]), array([[ 6,  4,  0,  1],
       [ 3,  7,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  0,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  2,  1, 12]]), array([[ 8,  2,  0,  1],
       [ 5,  5,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  4, 10]]), array([[11,  0,  0,  0],
       [ 3,  6,  0,  1],
       [ 0,  0,  8,  1],
       [ 0,  1,  2, 12]]), array([[ 7,  3,  1,  0],
       [ 1,  6,  0,  2],
       [ 0,  0,  9,  1],
       [ 0,  0,  3, 12]]), array([[ 9,  2,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  1,  1, 13]]), array([[9, 2, 0, 0],
       [2, 7, 0, 0],
       [1, 0, 6, 3],
       [0, 2, 4, 9]]), array([[10,  1,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0, 10,  0],
       [ 0,  1,  2, 12]])]"
0.01,"[0.996268656716418, 0.9888059701492538, 0.9981343283582089, 0.9944029850746269, 0.9907407407407407, 0.9981343283582089, 0.9944029850746269, 0.9906716417910447, 0.9981343283582089, 0.9944029850746269]","[0.996268656716418, 0.9888059701492538, 0.9981343283582089, 0.9944029850746269, 0.9907407407407407, 0.9981343283582089, 0.9944029850746269, 0.9906716417910447, 0.9981343283582089, 0.9944029850746269]","[0.996268656716418, 0.9888059701492538, 0.9981343283582089, 0.9944029850746269, 0.9907407407407407, 0.9981343283582089, 0.9944029850746269, 0.9906716417910447, 0.9981343283582089, 0.9944029850746269]","[0.996268656716418, 0.9888059701492538, 0.9981343283582089, 0.9944029850746269, 0.9907407407407407, 0.9981343283582089, 0.9944029850746269, 0.9906716417910447, 0.9981343283582089, 0.9944029850746269]","[0.9962962962962962, 0.9889404811285906, 0.9981481481481481, 0.9944716775599128, 0.9908082227334774, 0.9981481481481481, 0.994416597048176, 0.9906852537645938, 0.9981481481481481, 0.994416804864566]","[0.9962686567164178, 0.9888059701492536, 0.9981343283582089, 0.9944029850746268, 0.9907407407407407, 0.9981343283582089, 0.9944029850746268, 0.9906716417910448, 0.9981343283582089, 0.9944029850746268]","[0.9962686047644904, 0.9888047751247084, 0.9981343023822452, 0.9944027512822731, 0.9907404612995951, 0.9981343023822453, 0.9944029071467357, 0.9906715638631536, 0.9981343023822452, 0.994402959098663]","[0.9962962962962963, 0.9889404811285905, 0.9981481481481481, 0.9944716775599128, 0.9908082227334771, 0.9981481481481481, 0.994416597048176, 0.9906852537645939, 0.9981481481481481, 0.9944168048645661]","[0.996268656716418, 0.9888059701492538, 0.9981343283582089, 0.9944029850746269, 0.9907407407407407, 0.9981343283582089, 0.9944029850746269, 0.9906716417910447, 0.9981343283582089, 0.9944029850746269]","[0.9962686047644906, 0.9888047751247085, 0.9981343023822453, 0.9944027512822732, 0.9907404612995951, 0.9981343023822453, 0.9944029071467357, 0.9906715638631537, 0.9981343023822453, 0.9944029590986633]","[array([[133,   1,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   1, 133]]), array([[133,   1,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 133,   1],
       [  0,   0,   4, 130]]), array([[133,   1,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[133,   1,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   2, 132]]), array([[133,   2,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0, 134,   1],
       [  0,   0,   2, 133]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   1, 133]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 133,   1],
       [  0,   0,   2, 132]]), array([[133,   1,   0,   0],
       [  1, 133,   0,   0],
       [  0,   0, 133,   1],
       [  0,   0,   2, 132]]), array([[133,   1,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[133,   1,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 133,   1],
       [  0,   0,   1, 133]])]","[0.6956521739130435, 0.6739130434782609, 0.7608695652173914, 0.7391304347826086, 0.7555555555555555, 0.7333333333333333, 0.7555555555555555, 0.8, 0.6888888888888889, 0.8444444444444444]","[0.6956521739130435, 0.6739130434782609, 0.7608695652173914, 0.7391304347826086, 0.7555555555555555, 0.7333333333333333, 0.7555555555555555, 0.8, 0.6888888888888889, 0.8444444444444444]","[0.6956521739130435, 0.6739130434782609, 0.7608695652173914, 0.7391304347826086, 0.7555555555555555, 0.7333333333333333, 0.7555555555555555, 0.8, 0.6888888888888889, 0.8444444444444444]","[0.6956521739130435, 0.6739130434782609, 0.7608695652173914, 0.7391304347826086, 0.7555555555555555, 0.7333333333333333, 0.7555555555555555, 0.8, 0.6888888888888889, 0.8444444444444444]","[0.7560160427807487, 0.6726190476190477, 0.7847222222222222, 0.7422619047619048, 0.7499999999999999, 0.7292124542124542, 0.7486111111111111, 0.7892857142857143, 0.6865530303030303, 0.859107905982906]","[0.6861111111111111, 0.6625000000000001, 0.7484848484848484, 0.7401515151515152, 0.7532467532467532, 0.736111111111111, 0.7507575757575757, 0.793939393939394, 0.6906565656565656, 0.8361111111111111]","[0.6796529619805483, 0.6622536945812807, 0.7597716293368466, 0.7392222719808927, 0.7478916964042822, 0.7213792399550913, 0.7462121212121213, 0.7909545227386306, 0.6851010101010101, 0.8418046123372949]","[0.7552894675656824, 0.6925465838509316, 0.7753623188405797, 0.74824016563147, 0.7629629629629628, 0.7343996743996744, 0.7567901234567902, 0.8005291005291005, 0.6883838383838383, 0.8505104463437797]","[0.6956521739130435, 0.6739130434782609, 0.7608695652173914, 0.7391304347826086, 0.7555555555555555, 0.7333333333333333, 0.7555555555555555, 0.8, 0.6888888888888889, 0.8444444444444444]","[0.6888574943297583, 0.6787677589776541, 0.7614328540604534, 0.741823893248181, 0.7554652314377714, 0.7230202202338426, 0.752929292929293, 0.7995335665500583, 0.685679012345679, 0.8423866566056719]","[array([[12,  0,  0,  0],
       [ 4,  4,  1,  0],
       [ 1,  0,  7,  2],
       [ 0,  0,  6,  9]]), array([[ 7,  5,  0,  0],
       [ 3,  6,  0,  0],
       [ 2,  0,  6,  2],
       [ 0,  1,  2, 12]]), array([[ 8,  1,  0,  2],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  2,  2, 11]]), array([[ 8,  3,  0,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  3, 11]]), array([[11,  0,  0,  0],
       [ 4,  5,  0,  1],
       [ 0,  0,  7,  2],
       [ 0,  2,  3, 10]]), array([[ 7,  3,  1,  0],
       [ 1,  6,  0,  2],
       [ 0,  0,  9,  1],
       [ 1,  0,  2, 12]]), array([[10,  1,  0,  0],
       [ 2,  6,  1,  0],
       [ 0,  0,  8,  2],
       [ 0,  2,  1, 12]]), array([[ 9,  2,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  5,  5],
       [ 0,  2,  3, 10]]), array([[11,  0,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]])]"
0.05,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[135,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0, 135,   0],
       [  0,   0,   0, 135]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]]), array([[134,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0, 134,   0],
       [  0,   0,   0, 134]])]","[0.5869565217391305, 0.7608695652173914, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.8222222222222222, 0.8, 0.6888888888888889, 0.7111111111111111, 0.8]","[0.5869565217391305, 0.7608695652173914, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.8222222222222222, 0.8, 0.6888888888888889, 0.7111111111111111, 0.8]","[0.5869565217391305, 0.7608695652173914, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.8222222222222222, 0.8, 0.6888888888888889, 0.7111111111111111, 0.8]","[0.5869565217391305, 0.7608695652173914, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.8222222222222222, 0.8, 0.6888888888888889, 0.7111111111111111, 0.8]","[0.5630681818181817, 0.766729797979798, 0.7635416666666667, 0.8045454545454545, 0.7753496503496503, 0.8239087301587301, 0.815625, 0.6913555194805194, 0.7221861471861472, 0.796672077922078]","[0.5722222222222222, 0.7486111111111111, 0.7484848484848484, 0.8045454545454545, 0.7649350649350649, 0.8194444444444444, 0.7952020202020202, 0.679040404040404, 0.6967171717171716, 0.781818181818182]","[0.5496794871794872, 0.7482323232323232, 0.7530349072775441, 0.8045454545454545, 0.7498188405797102, 0.8157854406130268, 0.7928778446605272, 0.6821542033235581, 0.691486674245295, 0.7856008239072756]","[0.5871541501976285, 0.7712450592885375, 0.7667572463768115, 0.8043478260869565, 0.7890553890553891, 0.8277777777777777, 0.8219444444444444, 0.6912157287157287, 0.7262818662818663, 0.8024891774891775]","[0.5869565217391305, 0.7608695652173914, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.8222222222222222, 0.8, 0.6888888888888889, 0.7111111111111111, 0.8]","[0.5697165153686893, 0.7566315327184894, 0.761099931567643, 0.8043478260869565, 0.7524315619967794, 0.8193682418050234, 0.798879952134055, 0.6874850657108722, 0.7033416136864413, 0.7981652159071514]","[array([[10,  2,  0,  0],
       [ 5,  2,  1,  1],
       [ 1,  0,  7,  2],
       [ 0,  1,  6,  8]]), array([[ 7,  4,  0,  1],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 14]]), array([[ 8,  3,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  2, 12]]), array([[ 6,  4,  1,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  4, 10]]), array([[11,  0,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  2],
       [ 0,  1,  2, 12]]), array([[ 7,  3,  1,  0],
       [ 0,  7,  0,  2],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]]), array([[ 8,  1,  0,  2],
       [ 3,  5,  1,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  3, 11]]), array([[10,  1,  0,  0],
       [ 5,  4,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  4, 11]]), array([[ 8,  1,  2,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]])]"
