min_samples_leaf value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
5,"[0.7824175824175824, 0.795045045045045, 0.7995642701525054, 0.8135964912280702, 0.8239130434782609, 0.775377969762419, 0.824945295404814, 0.774617067833698, 0.8144104803493449, 0.7933333333333333]","[0.7824175824175824, 0.795045045045045, 0.7995642701525054, 0.8135964912280702, 0.8239130434782609, 0.775377969762419, 0.824945295404814, 0.774617067833698, 0.8144104803493449, 0.7933333333333333]","[0.7824175824175824, 0.795045045045045, 0.7995642701525054, 0.8135964912280702, 0.8239130434782609, 0.775377969762419, 0.824945295404814, 0.774617067833698, 0.8144104803493449, 0.7933333333333333]","[0.7824175824175824, 0.795045045045045, 0.7995642701525054, 0.8135964912280702, 0.8239130434782609, 0.775377969762419, 0.824945295404814, 0.774617067833698, 0.8144104803493449, 0.7933333333333333]","[0.7845797457500937, 0.7973034235073311, 0.7940415319447578, 0.8110620400831452, 0.8302587712758026, 0.7771156996907653, 0.8235292351324908, 0.7764543387649702, 0.8074568311698546, 0.7919022851654612]","[0.76954287551009, 0.7831846871132313, 0.7962831176068582, 0.8090437806567845, 0.8103985117612885, 0.769107593757429, 0.8102307744578253, 0.7620416365323076, 0.8034230892483849, 0.7820958466201906]","[0.7746816372277701, 0.7880336617405583, 0.7938010961788169, 0.80974020367153, 0.8159331230717387, 0.7700628779783756, 0.8148387750585142, 0.7660942421337958, 0.8042593279553527, 0.7851185528959571]","[0.7839174205746916, 0.7975138520680622, 0.801137220281222, 0.8140407275270903, 0.8294174873505241, 0.7832282197343611, 0.8245626195113592, 0.77679550825049, 0.8144204231762759, 0.7934150329149336]","[0.7824175824175824, 0.795045045045045, 0.7995642701525054, 0.8135964912280702, 0.8239130434782609, 0.775377969762419, 0.824945295404814, 0.774617067833698, 0.8144104803493449, 0.7933333333333333]","[0.7809220668078176, 0.7939840086391812, 0.7990704528326201, 0.8134630036596071, 0.8227547339086508, 0.7761432950635943, 0.8228768995120604, 0.77267702766369, 0.8134486008461506, 0.7915298553808182]","[array([[ 69,  19,   2,  10],
       [ 15, 110,   0,   7],
       [  6,   0,  62,  21],
       [  2,   5,  12, 115]]), array([[ 72,  11,   6,  11],
       [ 15, 102,   0,   4],
       [  3,   0,  62,  24],
       [  2,   4,  11, 117]]), array([[ 68,  26,   5,   2],
       [ 16, 113,   1,   5],
       [  5,   1,  76,   7],
       [  4,   3,  17, 110]]), array([[ 80,  15,   3,   3],
       [ 18, 107,   1,   6],
       [  2,   0,  69,  18],
       [  1,   4,  14, 115]]), array([[ 82,  12,   1,   6],
       [ 15, 116,   0,   4],
       [  3,   0,  60,  26],
       [  4,   2,   8, 121]]), array([[ 78,  11,   2,  10],
       [ 29, 105,   0,   4],
       [  3,   0,  63,  24],
       [  3,   3,  15, 113]]), array([[ 75,  15,   3,   8],
       [  8, 123,   0,   2],
       [  5,   1,  63,  20],
       [  4,   3,  11, 116]]), array([[ 65,  20,   5,  11],
       [ 12, 114,   0,   7],
       [  2,   0,  64,  23],
       [  2,   5,  16, 111]]), array([[ 82,  12,   2,   5],
       [  9, 123,   0,   2],
       [  9,   0,  61,  19],
       [ 10,   2,  15, 107]]), array([[ 69,  20,   7,   5],
       [ 10, 107,   0,   9],
       [  6,   0,  65,  18],
       [  1,   4,  13, 116]])]","[0.6086956521739131, 0.5869565217391305, 0.5652173913043478, 0.6739130434782609, 0.7111111111111111, 0.7111111111111111, 0.5777777777777777, 0.7111111111111111, 0.6666666666666666, 0.5555555555555556]","[0.6086956521739131, 0.5869565217391305, 0.5652173913043478, 0.6739130434782609, 0.7111111111111111, 0.7111111111111111, 0.5777777777777777, 0.7111111111111111, 0.6666666666666666, 0.5555555555555556]","[0.6086956521739131, 0.5869565217391305, 0.5652173913043478, 0.6739130434782609, 0.7111111111111111, 0.7111111111111111, 0.5777777777777777, 0.7111111111111111, 0.6666666666666666, 0.5555555555555556]","[0.6086956521739131, 0.5869565217391305, 0.5652173913043478, 0.6739130434782609, 0.7111111111111111, 0.7111111111111111, 0.5777777777777777, 0.7111111111111111, 0.6666666666666666, 0.5555555555555556]","[0.6024350649350649, 0.5833333333333333, 0.5560966810966811, 0.6854166666666667, 0.7032467532467532, 0.7226190476190476, 0.5720779220779221, 0.6869517543859649, 0.6683760683760683, 0.5573529411764706]","[0.5777777777777777, 0.5638888888888889, 0.5553030303030303, 0.6613636363636364, 0.7077922077922078, 0.7007575757575757, 0.5803030303030303, 0.6775252525252525, 0.6797979797979797, 0.5575757575757576]","[0.5808549506759225, 0.5622529644268774, 0.5539927404718693, 0.669119769119769, 0.7047619047619047, 0.7082223001402526, 0.5742200328407224, 0.6768575851393189, 0.6661540214171793, 0.5537828947368421]","[0.6073546019198194, 0.5935441370223979, 0.5710835058661147, 0.6815217391304348, 0.7082828282828283, 0.7195767195767195, 0.578932178932179, 0.696799870045484, 0.6747958214624881, 0.5520261437908497]","[0.6086956521739131, 0.5869565217391305, 0.5652173913043478, 0.6739130434782609, 0.7111111111111111, 0.7111111111111111, 0.5777777777777777, 0.7111111111111111, 0.6666666666666666, 0.5555555555555556]","[0.5982907340630014, 0.5797817494414848, 0.5665767594671564, 0.6733170211431081, 0.708994708994709, 0.7124123422159888, 0.5766320014595877, 0.6977296181630547, 0.6638059795954533, 0.5500730994152048]","[array([[ 6,  4,  0,  2],
       [ 4,  4,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  0,  2, 13]]), array([[ 6,  5,  0,  1],
       [ 4,  5,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  1,  2, 12]]), array([[ 5,  6,  0,  0],
       [ 4,  6,  0,  0],
       [ 1,  0,  5,  4],
       [ 1,  0,  4, 10]]), array([[ 6,  3,  0,  2],
       [ 3,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  1,  1, 12]]), array([[ 6,  3,  1,  1],
       [ 2,  8,  0,  0],
       [ 1,  0,  7,  2],
       [ 1,  0,  2, 11]]), array([[ 7,  2,  0,  2],
       [ 3,  7,  0,  0],
       [ 1,  0,  6,  2],
       [ 1,  1,  1, 12]]), array([[5, 4, 1, 1],
       [1, 6, 1, 1],
       [1, 0, 6, 3],
       [3, 1, 2, 9]]), array([[ 5,  3,  2,  1],
       [ 3,  5,  0,  1],
       [ 1,  0,  7,  2],
       [ 0,  0,  0, 15]]), array([[ 4,  5,  0,  2],
       [ 1,  8,  0,  0],
       [ 1,  0,  8,  1],
       [ 4,  0,  1, 10]]), array([[4, 3, 1, 3],
       [2, 6, 0, 1],
       [0, 0, 6, 4],
       [2, 1, 3, 9]])]"
10,"[0.7956043956043956, 0.7567567567567568, 0.8235294117647058, 0.7850877192982456, 0.7847826086956522, 0.7494600431965442, 0.7964989059080962, 0.7592997811816192, 0.7532751091703057, 0.7711111111111111]","[0.7956043956043956, 0.7567567567567568, 0.8235294117647058, 0.7850877192982456, 0.7847826086956522, 0.7494600431965442, 0.7964989059080962, 0.7592997811816192, 0.7532751091703057, 0.7711111111111111]","[0.7956043956043956, 0.7567567567567568, 0.8235294117647058, 0.7850877192982456, 0.7847826086956522, 0.7494600431965442, 0.7964989059080962, 0.7592997811816192, 0.7532751091703057, 0.7711111111111111]","[0.7956043956043956, 0.7567567567567568, 0.8235294117647058, 0.7850877192982456, 0.7847826086956522, 0.7494600431965442, 0.7964989059080962, 0.7592997811816192, 0.7532751091703057, 0.7711111111111111]","[0.7988308893716467, 0.7659811405855709, 0.8180574863288623, 0.7876154881371075, 0.7854510577158229, 0.7569784360276646, 0.7985170308618359, 0.7609862517832158, 0.7729007674659849, 0.7677225985924752]","[0.7869953856864808, 0.7490203881234556, 0.8219743945997261, 0.7752442945116247, 0.7712090497439258, 0.7427228900696687, 0.7824130635781618, 0.7524570314552584, 0.7530130109271198, 0.7744408101359717]","[0.7906108597285068, 0.7532117230637065, 0.8180043767739293, 0.771431665449685, 0.7759927956874014, 0.7457614346272251, 0.7872597501424177, 0.7549094461540709, 0.7500427146466471, 0.7688828073276173]","[0.799771582224431, 0.7640432109192802, 0.8278774308642588, 0.7955007974922597, 0.7855301272236223, 0.7598080880288621, 0.8002664965546799, 0.7638676378722632, 0.7839449549863449, 0.7775498073553281]","[0.7956043956043956, 0.7567567567567568, 0.8235294117647058, 0.7850877192982456, 0.7847826086956522, 0.7494600431965442, 0.7964989059080962, 0.7592997811816192, 0.7532751091703057, 0.7711111111111111]","[0.7954669764624516, 0.7560789391342378, 0.8239586541571792, 0.7809585961351442, 0.782922841309087, 0.7500980179659369, 0.7953667570760556, 0.7595297114860687, 0.7551760595083881, 0.7722446060640491]","[array([[ 79,  12,   2,   7],
       [ 19, 107,   0,   6],
       [  2,   0,  62,  25],
       [  4,   4,  12, 114]]), array([[ 75,  15,   2,   8],
       [ 27,  85,   0,   9],
       [  2,   0,  61,  26],
       [  4,   4,  11, 115]]), array([[ 75,  16,   8,   2],
       [ 14, 116,   1,   4],
       [  4,   1,  77,   7],
       [  1,   4,  19, 110]]), array([[ 56,  35,   9,   1],
       [  9, 120,   1,   2],
       [  4,   1,  74,  10],
       [  0,   3,  23, 108]]), array([[ 68,  18,   4,  11],
       [ 16, 116,   0,   3],
       [  2,   0,  63,  24],
       [  1,   7,  13, 114]]), array([[ 71,  12,   2,  16],
       [ 28, 100,   0,  10],
       [  2,   0,  63,  25],
       [  2,   4,  15, 113]]), array([[ 71,  16,   2,  12],
       [ 22, 110,   0,   1],
       [  5,   0,  62,  22],
       [  3,   1,   9, 121]]), array([[ 71,  13,   4,  13],
       [ 24, 101,   0,   8],
       [  2,   0,  64,  23],
       [  2,   5,  16, 111]]), array([[ 85,   4,   4,   8],
       [ 40,  87,   0,   7],
       [  7,   0,  61,  21],
       [  8,   1,  13, 112]]), array([[ 77,  15,   7,   2],
       [ 21,  95,   2,   8],
       [  6,   0,  73,  10],
       [  6,   5,  21, 102]])]","[0.717391304347826, 0.6086956521739131, 0.6739130434782609, 0.6739130434782609, 0.7111111111111111, 0.7333333333333333, 0.6, 0.7555555555555555, 0.6444444444444445, 0.6666666666666666]","[0.717391304347826, 0.6086956521739131, 0.6739130434782609, 0.6739130434782609, 0.7111111111111111, 0.7333333333333333, 0.6, 0.7555555555555555, 0.6444444444444445, 0.6666666666666666]","[0.717391304347826, 0.6086956521739131, 0.6739130434782609, 0.6739130434782609, 0.7111111111111111, 0.7333333333333333, 0.6, 0.7555555555555555, 0.6444444444444445, 0.6666666666666666]","[0.717391304347826, 0.6086956521739131, 0.6739130434782609, 0.6739130434782609, 0.7111111111111111, 0.7333333333333333, 0.6, 0.7555555555555555, 0.6444444444444445, 0.6666666666666666]","[0.7417124542124542, 0.6083333333333333, 0.6834935897435898, 0.6691121378621379, 0.7157148407148407, 0.7490079365079365, 0.6013888888888889, 0.7569444444444444, 0.6510416666666666, 0.6721611721611721]","[0.6888888888888889, 0.5916666666666666, 0.6757575757575757, 0.671969696969697, 0.7126623376623378, 0.7151515151515151, 0.6080808080808081, 0.728030303030303, 0.6363636363636364, 0.679040404040404]","[0.6994397759103642, 0.586038961038961, 0.6715293668954996, 0.6638842233018829, 0.7095221711926517, 0.7250494071146245, 0.5995614035087719, 0.7328615656789031, 0.6411874707807386, 0.6667169887278582]","[0.7309483994266605, 0.6166666666666667, 0.6858277591973244, 0.6808273248490639, 0.7244064577397912, 0.7417989417989418, 0.6006172839506173, 0.7561728395061729, 0.6513888888888889, 0.6693528693528694]","[0.717391304347826, 0.6086956521739131, 0.6739130434782609, 0.6739130434782609, 0.7111111111111111, 0.7333333333333333, 0.6, 0.7555555555555555, 0.6444444444444445, 0.6666666666666666]","[0.7092436974789915, 0.5999435347261434, 0.6724206546612277, 0.6711910471701057, 0.7132038569109508, 0.7308227199531547, 0.595906432748538, 0.7450194112732812, 0.6455768531504857, 0.6594068706387547]","[array([[10,  1,  0,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  5,  5],
       [ 0,  0,  2, 13]]), array([[ 6,  5,  0,  1],
       [ 3,  6,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  1,  2, 12]]), array([[ 7,  4,  0,  0],
       [ 0,  9,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  0,  5, 10]]), array([[ 5,  4,  1,  1],
       [ 2,  7,  0,  1],
       [ 0,  1,  8,  1],
       [ 1,  1,  2, 11]]), array([[ 7,  2,  2,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  3, 10]]), array([[ 8,  1,  0,  2],
       [ 4,  6,  0,  0],
       [ 0,  0,  6,  3],
       [ 0,  1,  1, 13]]), array([[5, 4, 1, 1],
       [0, 7, 0, 2],
       [1, 0, 6, 3],
       [3, 1, 2, 9]]), array([[ 6,  2,  2,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  0, 15]]), array([[ 6,  3,  0,  2],
       [ 3,  6,  0,  0],
       [ 1,  0,  6,  3],
       [ 2,  0,  2, 11]]), array([[8, 0, 0, 3],
       [3, 5, 0, 1],
       [0, 1, 9, 0],
       [2, 1, 4, 8]])]"
15,"[0.7582417582417582, 0.7364864864864865, 0.7973856209150327, 0.7675438596491229, 0.7543478260869565, 0.7451403887688985, 0.7527352297592997, 0.7352297592997812, 0.75764192139738, 0.72]","[0.7582417582417582, 0.7364864864864865, 0.7973856209150327, 0.7675438596491229, 0.7543478260869565, 0.7451403887688985, 0.7527352297592997, 0.7352297592997812, 0.75764192139738, 0.72]","[0.7582417582417582, 0.7364864864864865, 0.7973856209150327, 0.7675438596491229, 0.7543478260869565, 0.7451403887688985, 0.7527352297592997, 0.7352297592997812, 0.75764192139738, 0.72]","[0.7582417582417582, 0.7364864864864865, 0.7973856209150327, 0.7675438596491229, 0.7543478260869565, 0.7451403887688985, 0.7527352297592997, 0.7352297592997812, 0.75764192139738, 0.72]","[0.7794428200129955, 0.7410070602757072, 0.7943494562994048, 0.7641170418234033, 0.7558081051531635, 0.7588667551147296, 0.7536979275228538, 0.7308865046430368, 0.7504581661401861, 0.7245636747219026]","[0.735982269449484, 0.7355002681827191, 0.8009575043534876, 0.7580324253287312, 0.7559249370629948, 0.7395734949873962, 0.7386999820563991, 0.7224274125288781, 0.751925653742634, 0.7123206687717956]","[0.7404812387285558, 0.7308252556622121, 0.7950486985813907, 0.7584994231899584, 0.7510050930020211, 0.7416216587645159, 0.7431773825041011, 0.7250498880089242, 0.7508124584211541, 0.7154759079755398]","[0.7712950467336434, 0.7506896191653817, 0.8044526986548622, 0.7695507506061903, 0.766921560361554, 0.7630567752882937, 0.7522184005909524, 0.7342631924012238, 0.7599432206293384, 0.7245548801877916]","[0.7582417582417582, 0.7364864864864865, 0.7973856209150327, 0.7675438596491229, 0.7543478260869565, 0.7451403887688985, 0.7527352297592997, 0.7352297592997812, 0.75764192139738, 0.72]","[0.7486727859487653, 0.7358824917520569, 0.7984114650089423, 0.7661880950988879, 0.7554338953978469, 0.7459806213647621, 0.7496224651180631, 0.7331163776376272, 0.7583870629152573, 0.7191318729459371]","[array([[ 48,  35,   2,  15],
       [  4, 120,   0,   8],
       [  3,   0,  62,  24],
       [  2,   5,  12, 115]]), array([[ 78,  12,   7,   3],
       [ 40,  73,   2,   6],
       [  3,   0,  65,  21],
       [  3,   1,  19, 111]]), array([[ 77,   9,   8,   7],
       [ 17, 105,   1,  12],
       [  4,   0,  77,   8],
       [  6,   2,  19, 107]]), array([[ 65,  27,   7,   2],
       [ 14, 112,   1,   5],
       [  2,   1,  66,  20],
       [  1,   4,  22, 107]]), array([[ 82,  11,   5,   3],
       [ 32,  93,   1,   9],
       [  2,   0,  65,  22],
       [  6,   1,  21, 107]]), array([[ 76,   9,   1,  15],
       [ 33,  95,   0,  10],
       [  3,   0,  60,  27],
       [  3,   3,  14, 114]]), array([[ 59,  26,   3,  13],
       [ 23, 108,   0,   2],
       [  3,   0,  63,  23],
       [  1,   8,  11, 114]]), array([[ 60,  23,   4,  14],
       [ 28, 103,   1,   1],
       [  2,   0,  61,  26],
       [  2,   5,  15, 112]]), array([[ 74,  15,   8,   4],
       [ 22, 104,   1,   7],
       [  5,   2,  63,  19],
       [  5,   4,  19, 106]]), array([[ 66,  21,   3,  11],
       [ 31,  85,   1,   9],
       [  2,   0,  61,  26],
       [  5,   4,  13, 112]])]","[0.6304347826086957, 0.6086956521739131, 0.6304347826086957, 0.6086956521739131, 0.6888888888888889, 0.6666666666666666, 0.6, 0.7555555555555555, 0.7111111111111111, 0.6888888888888889]","[0.6304347826086957, 0.6086956521739131, 0.6304347826086957, 0.6086956521739131, 0.6888888888888889, 0.6666666666666666, 0.6, 0.7555555555555555, 0.7111111111111111, 0.6888888888888889]","[0.6304347826086957, 0.6086956521739131, 0.6304347826086957, 0.6086956521739131, 0.6888888888888889, 0.6666666666666666, 0.6, 0.7555555555555555, 0.7111111111111111, 0.6888888888888889]","[0.6304347826086957, 0.6086956521739131, 0.6304347826086957, 0.6086956521739131, 0.6888888888888889, 0.6666666666666666, 0.6, 0.7555555555555555, 0.7111111111111111, 0.6888888888888889]","[0.6482683982683983, 0.6041666666666666, 0.640625, 0.5943497474747474, 0.6955128205128206, 0.6658653846153846, 0.6271493212669683, 0.7569444444444444, 0.7312687312687312, 0.6992647058823529]","[0.6125, 0.5847222222222221, 0.6295454545454545, 0.5992424242424242, 0.6876623376623376, 0.6507575757575756, 0.5909090909090909, 0.728030303030303, 0.7151515151515152, 0.6840909090909091]","[0.6091933264533884, 0.5842304625199362, 0.6324801309022908, 0.5952764976958524, 0.6850613154960981, 0.6547411975542905, 0.5832386363636364, 0.7328615656789031, 0.7165476190476191, 0.6900122549019607]","[0.6501976284584979, 0.6123188405797101, 0.6345108695652174, 0.601215963987703, 0.7052706552706554, 0.6705128205128206, 0.6368828557063851, 0.7561728395061729, 0.7291375291375292, 0.6923529411764706]","[0.6304347826086957, 0.6086956521739131, 0.6304347826086957, 0.6086956521739131, 0.6888888888888889, 0.6666666666666666, 0.6, 0.7555555555555555, 0.7111111111111111, 0.6888888888888889]","[0.6180755597433482, 0.6009985437903058, 0.6301095595259874, 0.6034662392306152, 0.6908460299764647, 0.6652903694333169, 0.5938131313131313, 0.7450194112732812, 0.7138518518518518, 0.6888616557734205]","[array([[ 5,  5,  0,  2],
       [ 2,  6,  0,  1],
       [ 0,  0,  5,  5],
       [ 0,  0,  2, 13]]), array([[ 7,  4,  0,  1],
       [ 4,  5,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  1,  2, 12]]), array([[9, 2, 0, 0],
       [1, 6, 0, 3],
       [1, 0, 5, 4],
       [1, 0, 5, 9]]), array([[ 4,  4,  1,  2],
       [ 3,  6,  0,  1],
       [ 1,  0,  7,  2],
       [ 1,  1,  2, 11]]), array([[ 7,  2,  2,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  3, 10]]), array([[ 7,  2,  0,  2],
       [ 5,  5,  0,  0],
       [ 1,  0,  6,  2],
       [ 0,  1,  2, 12]]), array([[ 4,  5,  1,  1],
       [ 1,  6,  1,  1],
       [ 0,  0,  6,  4],
       [ 0,  2,  2, 11]]), array([[ 6,  2,  2,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  0, 15]]), array([[ 8,  1,  0,  2],
       [ 3,  6,  0,  0],
       [ 1,  0,  8,  1],
       [ 2,  0,  3, 10]]), array([[ 7,  1,  0,  3],
       [ 2,  6,  0,  1],
       [ 1,  0,  7,  2],
       [ 0,  1,  3, 11]])]"
20,"[0.7472527472527473, 0.722972972972973, 0.7429193899782135, 0.7390350877192983, 0.7369565217391304, 0.7213822894168467, 0.7111597374179431, 0.7308533916849015, 0.740174672489083, 0.7422222222222222]","[0.7472527472527473, 0.722972972972973, 0.7429193899782135, 0.7390350877192983, 0.7369565217391304, 0.7213822894168467, 0.7111597374179431, 0.7308533916849015, 0.740174672489083, 0.7422222222222222]","[0.7472527472527473, 0.722972972972973, 0.7429193899782135, 0.7390350877192983, 0.7369565217391304, 0.7213822894168467, 0.7111597374179431, 0.7308533916849015, 0.740174672489083, 0.7422222222222222]","[0.7472527472527473, 0.722972972972973, 0.7429193899782135, 0.7390350877192983, 0.7369565217391304, 0.7213822894168467, 0.7111597374179431, 0.7308533916849015, 0.740174672489083, 0.7422222222222222]","[0.7421507064364208, 0.7359943977591037, 0.7399317978533095, 0.753130903206891, 0.734479800820718, 0.7195320981280073, 0.7084177405605978, 0.7306174362829627, 0.7439906372578708, 0.7373920121386668]","[0.7391242967999634, 0.7215684808384487, 0.7352944828274544, 0.7458730937239288, 0.736122956864975, 0.7158319644423885, 0.7116794508841147, 0.7165476279634484, 0.7268554186460068, 0.732006242777077]","[0.7397194191118566, 0.7193607796892524, 0.7279467952766506, 0.7380645239152372, 0.7321432256265964, 0.7164242485698612, 0.7078852850562805, 0.7203606404637333, 0.7322041352863271, 0.731729510978786]","[0.7475138153317118, 0.7424588454000219, 0.7428368137157466, 0.769738567510924, 0.7456005115224575, 0.7240281966843679, 0.715801218739637, 0.7306102675809389, 0.7423638990845963, 0.7416622119936012]","[0.7472527472527473, 0.722972972972973, 0.7429193899782135, 0.7390350877192983, 0.7369565217391304, 0.7213822894168467, 0.7111597374179431, 0.7308533916849015, 0.740174672489083, 0.7422222222222222]","[0.7464238966614984, 0.7225965816013387, 0.7340774673489647, 0.7428583951155048, 0.7379259576793165, 0.7212503905912203, 0.7111417741708793, 0.7275890238149706, 0.7381732535707533, 0.739188170143882]","[array([[ 64,  19,   7,  10],
       [ 22, 102,   1,   7],
       [  3,   0,  65,  21],
       [  2,   5,  18, 109]]), array([[ 74,   8,   7,  11],
       [ 38,  72,   1,  10],
       [  2,   0,  65,  22],
       [  5,   1,  18, 110]]), array([[ 46,  35,   8,  12],
       [ 18, 114,   1,   2],
       [  1,   0,  77,  11],
       [  0,  11,  19, 104]]), array([[86,  7,  6,  2],
       [42, 87,  1,  2],
       [ 8,  0, 66, 15],
       [11,  4, 21, 98]]), array([[ 74,  18,   5,   4],
       [ 40,  90,   1,   4],
       [  3,   0,  65,  21],
       [  2,   2,  21, 110]]), array([[ 65,  21,   3,  12],
       [ 30,  98,   1,   9],
       [  3,   0,  64,  23],
       [  3,   5,  19, 107]]), array([[ 64,  19,   5,  13],
       [ 37,  88,   0,   8],
       [  2,   0,  69,  18],
       [  2,   4,  24, 104]]), array([[ 58,  27,   3,  13],
       [ 23, 104,   0,   6],
       [  3,   0,  60,  26],
       [  0,   6,  16, 112]]), array([[ 62,  24,   3,  12],
       [ 18, 106,   1,   9],
       [  3,   0,  60,  26],
       [  5,   6,  12, 111]]), array([[ 58,  27,   7,   9],
       [ 17, 103,   1,   5],
       [  3,   0,  65,  21],
       [  1,   4,  21, 108]])]","[0.6086956521739131, 0.5869565217391305, 0.5434782608695652, 0.6739130434782609, 0.6888888888888889, 0.7111111111111111, 0.6, 0.6444444444444445, 0.7111111111111111, 0.6444444444444445]","[0.6086956521739131, 0.5869565217391305, 0.5434782608695652, 0.6739130434782609, 0.6888888888888889, 0.7111111111111111, 0.6, 0.6444444444444445, 0.7111111111111111, 0.6444444444444445]","[0.6086956521739131, 0.5869565217391305, 0.5434782608695652, 0.6739130434782609, 0.6888888888888889, 0.7111111111111111, 0.6, 0.6444444444444445, 0.7111111111111111, 0.6444444444444445]","[0.6086956521739131, 0.5869565217391305, 0.5434782608695652, 0.6739130434782609, 0.6888888888888889, 0.7111111111111111, 0.6, 0.6444444444444445, 0.7111111111111111, 0.6444444444444445]","[0.6058114035087718, 0.5833333333333333, 0.5595238095238095, 0.7100694444444444, 0.6955128205128206, 0.7085858585858587, 0.6066017316017316, 0.6738636363636363, 0.7077380952380952, 0.6450980392156862]","[0.5930555555555557, 0.55, 0.5492424242424242, 0.6712121212121213, 0.6876623376623376, 0.7085858585858587, 0.5858585858585859, 0.6242424242424243, 0.7108585858585859, 0.6409090909090909]","[0.5909442724458204, 0.5496753246753248, 0.5344242471524419, 0.6737938596491228, 0.6850613154960981, 0.7085858585858587, 0.5873015873015873, 0.6284774436090226, 0.6979134664618536, 0.6292349774838164]","[0.6117467581998474, 0.5905797101449275, 0.5631469979296067, 0.7021437198067634, 0.7052706552706554, 0.7111111111111111, 0.6106301106301106, 0.6702020202020201, 0.7134920634920636, 0.646797385620915]","[0.6086956521739131, 0.5869565217391305, 0.5434782608695652, 0.6739130434782609, 0.6888888888888889, 0.7111111111111111, 0.6, 0.6444444444444445, 0.7111111111111111, 0.6444444444444445]","[0.6008884102840222, 0.5731789949181254, 0.5349169306749341, 0.6728642257818459, 0.6908460299764647, 0.7111111111111111, 0.5961199294532628, 0.6372096908939013, 0.7018034932013427, 0.6321312974950746]","[array([[ 5,  5,  0,  2],
       [ 3,  5,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  3, 12]]), array([[ 8,  3,  0,  1],
       [ 6,  3,  0,  0],
       [ 1,  0,  4,  5],
       [ 1,  0,  2, 12]]), array([[4, 6, 0, 1],
       [1, 8, 0, 1],
       [1, 0, 5, 4],
       [0, 2, 5, 8]]), array([[ 9,  0,  0,  2],
       [ 4,  5,  0,  1],
       [ 1,  0,  7,  2],
       [ 2,  1,  2, 10]]), array([[ 7,  2,  2,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  3, 10]]), array([[ 6,  3,  0,  2],
       [ 4,  6,  0,  0],
       [ 0,  0,  8,  1],
       [ 1,  1,  1, 12]]), array([[ 5,  3,  1,  2],
       [ 2,  5,  1,  1],
       [ 0,  0,  6,  4],
       [ 0,  1,  3, 11]]), array([[ 4,  4,  0,  3],
       [ 2,  6,  0,  1],
       [ 1,  0,  6,  3],
       [ 1,  1,  0, 13]]), array([[ 5,  4,  0,  2],
       [ 1,  8,  0,  0],
       [ 1,  0,  7,  2],
       [ 0,  0,  3, 12]]), array([[ 4,  3,  1,  3],
       [ 2,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  3, 11]])]"
