max_depth value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
None,"[0.8446389496717724, 0.8687089715536105, 0.8864628820960698, 0.851528384279476, 0.8565217391304348, 0.8496732026143791, 0.8580786026200873, 0.8537117903930131, 0.851528384279476, 0.8406113537117904]","[0.8446389496717724, 0.8687089715536105, 0.8864628820960698, 0.851528384279476, 0.8565217391304348, 0.8496732026143791, 0.8580786026200873, 0.8537117903930131, 0.851528384279476, 0.8406113537117904]","[0.8446389496717724, 0.8687089715536105, 0.8864628820960698, 0.851528384279476, 0.8565217391304348, 0.8496732026143791, 0.8580786026200873, 0.8537117903930131, 0.851528384279476, 0.8406113537117904]","[0.8446389496717724, 0.8687089715536105, 0.8864628820960698, 0.851528384279476, 0.8565217391304348, 0.8496732026143791, 0.8580786026200873, 0.8537117903930131, 0.851528384279476, 0.8406113537117904]","[0.8411923661347045, 0.8623702170626236, 0.8868702971006784, 0.856418538059163, 0.8519878884357902, 0.8530836253417953, 0.8560248966238939, 0.8512395681719951, 0.8489164339089471, 0.8533938751931459]","[0.841969646151266, 0.8644440717759517, 0.8796337729530121, 0.845618110360424, 0.8563178040650506, 0.8454136085250317, 0.8516067731207131, 0.8476575017890855, 0.8435714546634943, 0.8264786314284622]","[0.8408000175067836, 0.8621346169109789, 0.8823476154215731, 0.8460996299002776, 0.853777724913499, 0.8454482768436257, 0.8527512617711656, 0.8491719876687088, 0.8456767258597524, 0.8343773977328972]","[0.8477183876253124, 0.8707817297699305, 0.8872890664774824, 0.8603890688702369, 0.8577473152953364, 0.8552996081762511, 0.8594637346331152, 0.8541191807145718, 0.8515467709359826, 0.8478732702785908]","[0.8446389496717724, 0.8687089715536105, 0.8864628820960698, 0.851528384279476, 0.8565217391304348, 0.8496732026143791, 0.8580786026200873, 0.8537117903930131, 0.851528384279476, 0.8406113537117904]","[0.8453301553149332, 0.8685390617063887, 0.8861404589251932, 0.8518217255955202, 0.8568135177723021, 0.8491901838915062, 0.8578389301013905, 0.853649770087815, 0.8510539848489678, 0.8395349916204289]","[array([[ 82,  16,   0,   2],
       [ 13, 118,   1,   2],
       [  9,   0,  74,   6],
       [  3,   5,  14, 112]]), array([[ 94,   6,   0,   0],
       [ 10, 117,   4,   3],
       [  7,   0,  68,  14],
       [  2,   1,  13, 118]]), array([[ 89,  10,   0,   2],
       [  8, 123,   1,   2],
       [  5,   0,  72,  12],
       [  3,   3,   6, 122]]), array([[ 93,   7,   0,   1],
       [ 18, 115,   0,   1],
       [  9,   2,  65,  13],
       [  6,   4,   7, 117]]), array([[ 85,  11,   1,   4],
       [ 13, 116,   3,   3],
       [  2,   2,  77,   8],
       [  1,   3,  15, 116]]), array([[ 93,   7,   0,   1],
       [ 20, 110,   0,   4],
       [  7,   2,  67,  14],
       [  1,   5,   8, 120]]), array([[ 89,  10,   0,   2],
       [ 10, 118,   0,   6],
       [  7,   0,  68,  14],
       [  3,   1,  12, 118]]), array([[ 84,  10,   6,   1],
       [  9, 118,   1,   6],
       [  1,   3,  71,  14],
       [  1,   4,  11, 118]]), array([[ 85,  13,   1,   2],
       [ 10, 119,   0,   5],
       [  6,   0,  68,  15],
       [  2,   2,  12, 118]]), array([[ 80,  20,   0,   1],
       [ 10, 122,   0,   2],
       [  7,   4,  63,  15],
       [  4,   7,   3, 120]])]","[0.5652173913043478, 0.6956521739130435, 0.5652173913043478, 0.6739130434782609, 0.6444444444444445, 0.6666666666666666, 0.7777777777777778, 0.6444444444444445, 0.7111111111111111, 0.5777777777777777]","[0.5652173913043478, 0.6956521739130435, 0.5652173913043478, 0.6739130434782609, 0.6444444444444445, 0.6666666666666666, 0.7777777777777778, 0.6444444444444445, 0.7111111111111111, 0.5777777777777777]","[0.5652173913043478, 0.6956521739130435, 0.5652173913043478, 0.6739130434782609, 0.6444444444444445, 0.6666666666666666, 0.7777777777777778, 0.6444444444444445, 0.7111111111111111, 0.5777777777777777]","[0.5652173913043478, 0.6956521739130435, 0.5652173913043478, 0.6739130434782609, 0.6444444444444445, 0.6666666666666666, 0.7777777777777778, 0.6444444444444445, 0.7111111111111111, 0.5777777777777777]","[0.6126814362108479, 0.7192460317460317, 0.5498997326203209, 0.7543859649122807, 0.6399350649350649, 0.6595238095238094, 0.8023026315789473, 0.6471185064935064, 0.7458333333333333, 0.5418552036199096]","[0.5875, 0.6888888888888889, 0.553030303030303, 0.6484848484848484, 0.6399350649350649, 0.6429292929292929, 0.7628787878787878, 0.6492424242424242, 0.6805555555555556, 0.562121212121212]","[0.5681671790367443, 0.6771327404479579, 0.5491071428571428, 0.66224128540305, 0.6399350649350649, 0.6433333333333333, 0.7763772175536882, 0.6264957264957265, 0.6758241758241759, 0.5363636363636364]","[0.6417444448134985, 0.724120082815735, 0.5551557777261101, 0.7412280701754387, 0.6444444444444445, 0.673015873015873, 0.792514619883041, 0.6768037518037519, 0.7292592592592592, 0.5587129210658623]","[0.5652173913043478, 0.6956521739130435, 0.5652173913043478, 0.6739130434782609, 0.6444444444444445, 0.6666666666666666, 0.7777777777777778, 0.6444444444444445, 0.7111111111111111, 0.5777777777777777]","[0.5667685041976157, 0.6854141605086784, 0.5578416149068323, 0.6718646395756369, 0.6444444444444445, 0.6631111111111111, 0.778441747069198, 0.6388983855650523, 0.6862026862026862, 0.5535353535353534]","[array([[7, 5, 0, 0],
       [2, 6, 1, 0],
       [2, 0, 7, 1],
       [0, 0, 9, 6]]), array([[ 6,  5,  0,  1],
       [ 1,  8,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  1, 13]]), array([[ 6,  4,  0,  1],
       [ 1,  7,  0,  2],
       [ 3,  0,  3,  4],
       [ 0,  0,  5, 10]]), array([[ 8,  1,  0,  2],
       [ 4,  5,  0,  1],
       [ 2,  0,  5,  3],
       [ 2,  0,  0, 13]]), array([[ 6,  3,  1,  1],
       [ 4,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  1,  2, 10]]), array([[ 8,  3,  0,  0],
       [ 4,  6,  0,  0],
       [ 2,  0,  4,  3],
       [ 0,  1,  2, 12]]), array([[ 9,  1,  0,  1],
       [ 1,  6,  0,  2],
       [ 0,  0,  7,  3],
       [ 0,  1,  1, 13]]), array([[ 4,  5,  2,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  5, 10]]), array([[11,  0,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  3,  7],
       [ 0,  0,  2, 13]]), array([[ 2,  6,  2,  1],
       [ 3,  6,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  1,  2, 12]])]"
5,"[0.811816192560175, 0.8052516411378556, 0.8253275109170306, 0.777292576419214, 0.8282608695652174, 0.7995642701525054, 0.8165938864628821, 0.7969432314410481, 0.8013100436681223, 0.7969432314410481]","[0.811816192560175, 0.8052516411378556, 0.8253275109170306, 0.777292576419214, 0.8282608695652174, 0.7995642701525054, 0.8165938864628821, 0.7969432314410481, 0.8013100436681223, 0.7969432314410481]","[0.811816192560175, 0.8052516411378556, 0.8253275109170306, 0.777292576419214, 0.8282608695652174, 0.7995642701525054, 0.8165938864628821, 0.7969432314410481, 0.8013100436681223, 0.7969432314410481]","[0.811816192560175, 0.8052516411378556, 0.8253275109170306, 0.777292576419214, 0.8282608695652174, 0.7995642701525054, 0.8165938864628821, 0.7969432314410481, 0.8013100436681223, 0.7969432314410481]","[0.8290970038299376, 0.8185714285714286, 0.8225540576030368, 0.7917330273871469, 0.8347741142038732, 0.8055038968051887, 0.8222717503578633, 0.7939412116480098, 0.8105567263073186, 0.8031865330520395]","[0.7919465872882777, 0.8008737212812342, 0.8189188112170265, 0.7620250621406262, 0.8248070687218535, 0.7948721737845427, 0.8167685878096447, 0.7963779943313801, 0.7937819524028539, 0.7854056284380744]","[0.7997340966638425, 0.7995863046931142, 0.8195000427159842, 0.757815063428174, 0.8241740662534278, 0.7948518101136726, 0.8138815272514373, 0.7937889849595253, 0.7967880441060822, 0.7898883216178364]","[0.8224149300356023, 0.8232614358653746, 0.8253202914581474, 0.7917498426463668, 0.8370604861962816, 0.8099833262572926, 0.8281321685410801, 0.8006253668444582, 0.8116928602818784, 0.8006365196936477]","[0.811816192560175, 0.8052516411378556, 0.8253275109170306, 0.777292576419214, 0.8282608695652174, 0.7995642701525054, 0.8165938864628821, 0.7969432314410481, 0.8013100436681223, 0.7969432314410481]","[0.8081401604708135, 0.8045750902507479, 0.8241177215490847, 0.7667603609354018, 0.8271804818618853, 0.7986548319278094, 0.8167873716735156, 0.7973292001370148, 0.801979429698254, 0.7944627847512271]","[array([[ 77,  21,   0,   2],
       [ 12, 117,   0,   5],
       [  9,   0,  54,  26],
       [  3,   5,   3, 123]]), array([[ 88,  10,   0,   2],
       [ 36,  94,   0,   4],
       [  7,   0,  62,  20],
       [  1,   1,   8, 124]]), array([[ 72,  25,   0,   4],
       [  9, 120,   1,   4],
       [  4,   0,  74,  11],
       [  4,   1,  17, 112]]), array([[ 46,  46,   7,   2],
       [  6, 124,   0,   4],
       [  2,   0,  74,  13],
       [  0,   4,  18, 112]]), array([[ 70,  24,   1,   6],
       [  9, 123,   2,   1],
       [  0,   6,  79,   4],
       [  1,   6,  19, 109]]), array([[ 73,  27,   0,   1],
       [  7, 124,   0,   3],
       [  7,   6,  72,   5],
       [  6,   9,  21,  98]]), array([[ 90,   9,   0,   2],
       [ 29,  98,   0,   7],
       [  7,   0,  68,  14],
       [  2,   2,  12, 118]]), array([[ 81,  12,   6,   2],
       [ 27, 101,   0,   6],
       [  1,   1,  70,  17],
       [  3,   4,  14, 113]]), array([[ 83,  15,   0,   3],
       [ 27, 104,   0,   3],
       [ 10,   0,  62,  17],
       [  3,   6,   7, 118]]), array([[ 63,  37,   0,   1],
       [  6, 118,   0,  10],
       [  8,   1,  70,  10],
       [  2,   4,  14, 114]])]","[0.6739130434782609, 0.782608695652174, 0.4782608695652174, 0.6304347826086957, 0.6888888888888889, 0.7111111111111111, 0.6888888888888889, 0.6222222222222222, 0.6222222222222222, 0.6666666666666666]","[0.6739130434782609, 0.782608695652174, 0.4782608695652174, 0.6304347826086957, 0.6888888888888889, 0.7111111111111111, 0.6888888888888889, 0.6222222222222222, 0.6222222222222222, 0.6666666666666666]","[0.6739130434782609, 0.782608695652174, 0.4782608695652174, 0.6304347826086957, 0.6888888888888889, 0.7111111111111111, 0.6888888888888889, 0.6222222222222222, 0.6222222222222222, 0.6666666666666666]","[0.6739130434782609, 0.782608695652174, 0.4782608695652174, 0.6304347826086957, 0.6888888888888889, 0.7111111111111111, 0.6888888888888889, 0.6222222222222222, 0.6222222222222222, 0.6666666666666666]","[0.6607142857142857, 0.8040674603174603, 0.4625, 0.6181372549019608, 0.7089743589743589, 0.7299242424242425, 0.6917506835269993, 0.6251456876456876, 0.625, 0.6859943977591036]","[0.6513888888888889, 0.7652777777777778, 0.4636363636363636, 0.6204545454545455, 0.6944805194805195, 0.7068181818181818, 0.6618686868686869, 0.6280303030303029, 0.6090909090909091, 0.6631313131313132]","[0.6525730225919979, 0.7706405114493349, 0.46264302059496565, 0.5941666666666667, 0.6720033670033669, 0.7085218702865762, 0.6697118241235888, 0.6218708827404479, 0.6062280701754386, 0.6443077803203661]","[0.6704192546583851, 0.7928312629399588, 0.47644927536231885, 0.6251065643648764, 0.7163532763532765, 0.7551178451178452, 0.6923558897243107, 0.6363247863247863, 0.6348148148148147, 0.6932835356364768]","[0.6739130434782609, 0.782608695652174, 0.4782608695652174, 0.6304347826086957, 0.6888888888888889, 0.7111111111111111, 0.6888888888888889, 0.6222222222222222, 0.6222222222222222, 0.6666666666666666]","[0.6689188855676769, 0.774647666911094, 0.47696746592378864, 0.6039855072463768, 0.6742910587355032, 0.721803251215016, 0.6832970225127087, 0.6241545893719808, 0.6187602339181287, 0.6517035341978134]","[array([[ 9,  3,  0,  0],
       [ 3,  5,  0,  1],
       [ 2,  0,  5,  3],
       [ 0,  0,  3, 12]]), array([[11,  0,  0,  1],
       [ 2,  7,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  1, 13]]), array([[5, 5, 0, 1],
       [4, 5, 0, 1],
       [3, 0, 3, 4],
       [0, 0, 6, 9]]), array([[ 2,  6,  1,  2],
       [ 2,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  2,  1, 12]]), array([[ 4,  5,  1,  1],
       [ 1,  9,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  1,  3, 10]]), array([[ 8,  3,  0,  0],
       [ 3,  7,  0,  0],
       [ 3,  0,  6,  0],
       [ 1,  1,  2, 11]]), array([[ 7,  3,  0,  1],
       [ 3,  4,  0,  2],
       [ 0,  0,  7,  3],
       [ 1,  0,  1, 13]]), array([[6, 3, 2, 0],
       [2, 6, 0, 1],
       [1, 0, 7, 2],
       [2, 0, 4, 9]]), array([[ 7,  4,  0,  0],
       [ 3,  6,  0,  0],
       [ 2,  0,  4,  4],
       [ 2,  0,  2, 11]]), array([[ 4,  5,  1,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  1,  2, 12]])]"
15,"[0.8533916849015317, 0.838074398249453, 0.8668122270742358, 0.8580786026200873, 0.8478260869565217, 0.8540305010893247, 0.8406113537117904, 0.834061135371179, 0.8537117903930131, 0.8558951965065502]","[0.8533916849015317, 0.838074398249453, 0.8668122270742358, 0.8580786026200873, 0.8478260869565217, 0.8540305010893247, 0.8406113537117904, 0.834061135371179, 0.8537117903930131, 0.8558951965065502]","[0.8533916849015317, 0.838074398249453, 0.8668122270742358, 0.8580786026200873, 0.8478260869565217, 0.8540305010893247, 0.8406113537117904, 0.834061135371179, 0.8537117903930131, 0.8558951965065502]","[0.8533916849015317, 0.838074398249453, 0.8668122270742358, 0.8580786026200873, 0.8478260869565217, 0.8540305010893247, 0.8406113537117904, 0.834061135371179, 0.8537117903930131, 0.8558951965065502]","[0.8516126235461143, 0.8362719927508873, 0.86880089846862, 0.8563831068550959, 0.8508824957850487, 0.8568273381294964, 0.8378101031259759, 0.8297744360902255, 0.856728778467909, 0.86277228367672]","[0.8481636760020124, 0.8370560120744592, 0.860404424645047, 0.8541029832481822, 0.847795865728895, 0.8485353759256522, 0.8415717053845247, 0.8346397255019816, 0.8425492683429, 0.8453582571069449]","[0.8487421259033193, 0.8343486082181372, 0.8635492601363406, 0.854404105050642, 0.84441326843343, 0.8491020373373315, 0.8391642181888579, 0.8316535422183161, 0.8462371862700113, 0.850061851681916]","[0.8555960585781982, 0.8416608329497364, 0.8683263526313937, 0.8594032994060916, 0.8545899519652258, 0.8598099925288527, 0.8432417629726168, 0.8358794365827233, 0.8565646839711772, 0.8604030824914344]","[0.8533916849015317, 0.838074398249453, 0.8668122270742358, 0.8580786026200873, 0.8478260869565217, 0.8540305010893247, 0.8406113537117904, 0.834061135371179, 0.8537117903930131, 0.8558951965065502]","[0.8531637548121028, 0.8377574841904789, 0.8666487362513393, 0.8580061927428247, 0.846797203306565, 0.8538349576411859, 0.8414135280580122, 0.8344299010067653, 0.8523945155710143, 0.8548478459428654]","[array([[ 80,  18,   0,   2],
       [  7, 124,   1,   2],
       [  7,   2,  74,   6],
       [  3,   5,  14, 112]]), array([[ 92,   6,   0,   2],
       [ 21, 108,   1,   4],
       [  5,   4,  68,  12],
       [  1,   5,  13, 115]]), array([[ 85,  12,   0,   4],
       [ 13, 117,   1,   3],
       [  3,   1,  72,  13],
       [  3,   2,   6, 123]]), array([[ 90,   8,   2,   1],
       [ 12, 117,   0,   5],
       [  3,   1,  70,  15],
       [  5,   3,  10, 116]]), array([[ 74,  20,   1,   6],
       [  6, 123,   3,   3],
       [  2,   0,  83,   4],
       [  0,   5,  20, 110]]), array([[ 92,   8,   0,   1],
       [ 17, 113,   0,   4],
       [  9,   0,  67,  14],
       [  2,   4,   8, 120]]), array([[ 80,  10,   3,   8],
       [ 17, 116,   0,   1],
       [  0,   1,  79,   9],
       [ 12,   2,  10, 110]]), array([[ 84,   9,   6,   2],
       [ 18, 110,   0,   6],
       [  2,   0,  75,  12],
       [  1,   6,  14, 113]]), array([[ 88,  10,   0,   3],
       [  9, 122,   0,   3],
       [  8,   2,  63,  16],
       [  5,   4,   7, 118]]), array([[ 88,  12,   0,   1],
       [  9, 118,   0,   7],
       [  9,   0,  64,  16],
       [  3,   4,   5, 122]])]","[0.5869565217391305, 0.6086956521739131, 0.6086956521739131, 0.6739130434782609, 0.6888888888888889, 0.6, 0.6222222222222222, 0.6, 0.6, 0.7333333333333333]","[0.5869565217391305, 0.6086956521739131, 0.6086956521739131, 0.6739130434782609, 0.6888888888888889, 0.6, 0.6222222222222222, 0.6, 0.6, 0.7333333333333333]","[0.5869565217391305, 0.6086956521739131, 0.6086956521739131, 0.6739130434782609, 0.6888888888888889, 0.6, 0.6222222222222222, 0.6, 0.6, 0.7333333333333333]","[0.5869565217391305, 0.6086956521739131, 0.6086956521739131, 0.6739130434782609, 0.6888888888888889, 0.6, 0.6222222222222222, 0.6, 0.6, 0.7333333333333333]","[0.6338935574229692, 0.5887896825396826, 0.5982905982905983, 0.6618548118548119, 0.6812499999999999, 0.5944444444444444, 0.6016081871345029, 0.6079174093879977, 0.6, 0.758688387635756]","[0.6083333333333333, 0.586111111111111, 0.5984848484848485, 0.6651515151515152, 0.685064935064935, 0.5702020202020202, 0.5914141414141414, 0.6080808080808081, 0.5813131313131313, 0.7290404040404039]","[0.5905546695020379, 0.5838611727830743, 0.5955008488964346, 0.6581232492997199, 0.678052301600396, 0.5732118758434548, 0.5917182662538699, 0.5831352743117448, 0.5799122807017544, 0.7340557275541796]","[0.6603215199123127, 0.5985593512767425, 0.6015654031958381, 0.6686139947009512, 0.6846296296296296, 0.6128395061728396, 0.6120207927225472, 0.6381263616557734, 0.6148148148148148, 0.7465404251369163]","[0.5869565217391305, 0.6086956521739131, 0.6086956521739131, 0.6739130434782609, 0.6888888888888889, 0.6, 0.6222222222222222, 0.6, 0.6, 0.7333333333333333]","[0.5880698672460687, 0.6004068456825525, 0.6024458059594989, 0.6664839848983072, 0.6818420136024492, 0.5985245164192533, 0.6115927072583419, 0.5920600338900992, 0.5977076023391813, 0.7299896800825593]","[array([[8, 4, 0, 0],
       [2, 6, 1, 0],
       [2, 0, 7, 1],
       [0, 0, 9, 6]]), array([[10,  1,  0,  1],
       [ 4,  4,  1,  0],
       [ 0,  1,  4,  5],
       [ 0,  1,  4, 10]]), array([[ 8,  2,  0,  1],
       [ 2,  7,  0,  1],
       [ 3,  0,  3,  4],
       [ 0,  0,  5, 10]]), array([[ 8,  1,  1,  1],
       [ 5,  4,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  2,  2, 11]]), array([[ 5,  4,  1,  1],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  2, 11]]), array([[ 7,  4,  0,  0],
       [ 6,  4,  0,  0],
       [ 2,  0,  4,  3],
       [ 0,  1,  2, 12]]), array([[ 5,  4,  1,  1],
       [ 3,  4,  1,  1],
       [ 0,  0,  6,  4],
       [ 1,  0,  1, 13]]), array([[ 5,  4,  2,  0],
       [ 4,  4,  0,  1],
       [ 0,  0, 10,  0],
       [ 2,  0,  5,  8]]), array([[ 7,  4,  0,  0],
       [ 4,  5,  0,  0],
       [ 2,  0,  4,  4],
       [ 1,  1,  2, 11]]), array([[ 8,  1,  1,  1],
       [ 0,  8,  0,  1],
       [ 0,  0,  5,  5],
       [ 1,  1,  1, 12]])]"
20,"[0.8446389496717724, 0.8468271334792122, 0.8646288209606987, 0.8558951965065502, 0.8521739130434782, 0.8649237472766884, 0.8624454148471615, 0.8558951965065502, 0.8493449781659389, 0.8646288209606987]","[0.8446389496717724, 0.8468271334792122, 0.8646288209606987, 0.8558951965065502, 0.8521739130434782, 0.8649237472766884, 0.8624454148471615, 0.8558951965065502, 0.8493449781659389, 0.8646288209606987]","[0.8446389496717724, 0.8468271334792122, 0.8646288209606987, 0.8558951965065502, 0.8521739130434782, 0.8649237472766884, 0.8624454148471615, 0.8558951965065502, 0.8493449781659389, 0.8646288209606987]","[0.8446389496717724, 0.8468271334792122, 0.8646288209606987, 0.8558951965065502, 0.8521739130434782, 0.8649237472766884, 0.8624454148471615, 0.8558951965065502, 0.8493449781659389, 0.8646288209606987]","[0.8425299653680656, 0.848432794349493, 0.864325778218644, 0.8539037598204265, 0.8502861331998394, 0.8667888288236201, 0.8617286294778341, 0.8548889358388015, 0.8437129982008749, 0.8643497951606708]","[0.8385380680865335, 0.8388260942478618, 0.8532125915090251, 0.853064815537398, 0.8452907463030948, 0.8584733100175689, 0.8501856746969347, 0.8494652668352529, 0.8498039892870722, 0.8578712705246712]","[0.8388511876990922, 0.8410855708303141, 0.8574778079922485, 0.8499342617242298, 0.8474001992936193, 0.8597723417379906, 0.854326208946082, 0.8512311726734803, 0.8456337199229452, 0.8596715005368852]","[0.8463259228848666, 0.8506536902439887, 0.8644871458400585, 0.862720945505516, 0.852352398874455, 0.8684208912005547, 0.862563373526017, 0.8571532618093082, 0.8530962358018822, 0.866997193242762]","[0.8446389496717724, 0.8468271334792122, 0.8646288209606987, 0.8558951965065502, 0.8521739130434782, 0.8649237472766884, 0.8624454148471615, 0.8558951965065502, 0.8493449781659389, 0.8646288209606987]","[0.8438458274359707, 0.8466624707059178, 0.8633832612560562, 0.8560235323554685, 0.8519065639797084, 0.8642439546221415, 0.8609271379957293, 0.8556955833887308, 0.850123306844922, 0.864410586349619]","[array([[ 87,  13,   0,   0],
       [  9, 123,   0,   2],
       [ 10,   0,  67,  12],
       [  3,   9,  13, 109]]), array([[ 86,  14,   0,   0],
       [ 14, 115,   0,   5],
       [ 10,   0,  66,  13],
       [  3,   3,   8, 120]]), array([[ 84,  14,   0,   3],
       [  4, 127,   1,   2],
       [  4,   0,  67,  18],
       [  3,   2,  11, 118]]), array([[ 96,   4,   0,   1],
       [ 18, 113,   1,   2],
       [  9,   0,  67,  13],
       [  2,   3,  13, 116]]), array([[ 84,  11,   4,   2],
       [ 12, 119,   0,   4],
       [  2,   0,  70,  17],
       [  3,   4,   9, 119]]), array([[ 93,   7,   0,   1],
       [ 11, 117,   0,   6],
       [  9,   0,  67,  14],
       [  2,   4,   8, 120]]), array([[ 79,  19,   0,   3],
       [  5, 127,   1,   1],
       [  6,   0,  69,  14],
       [  0,   2,  12, 120]]), array([[ 87,  11,   0,   3],
       [ 11, 117,   0,   6],
       [  7,   0,  69,  13],
       [  2,   2,  11, 119]]), array([[ 89,   5,   6,   1],
       [ 17, 113,   2,   2],
       [  3,   0,  74,  12],
       [  2,   6,  13, 113]]), array([[ 87,   6,   7,   1],
       [ 14, 115,   0,   5],
       [  3,   0,  70,  16],
       [  3,   4,   3, 124]])]","[0.7608695652173914, 0.6304347826086957, 0.5434782608695652, 0.5869565217391305, 0.6666666666666666, 0.6888888888888889, 0.7333333333333333, 0.7333333333333333, 0.7111111111111111, 0.7111111111111111]","[0.7608695652173914, 0.6304347826086957, 0.5434782608695652, 0.5869565217391305, 0.6666666666666666, 0.6888888888888889, 0.7333333333333333, 0.7333333333333333, 0.7111111111111111, 0.7111111111111111]","[0.7608695652173914, 0.6304347826086957, 0.5434782608695652, 0.5869565217391305, 0.6666666666666666, 0.6888888888888889, 0.7333333333333333, 0.7333333333333333, 0.7111111111111111, 0.7111111111111111]","[0.7608695652173914, 0.6304347826086957, 0.5434782608695652, 0.5869565217391305, 0.6666666666666666, 0.6888888888888889, 0.7333333333333333, 0.7333333333333333, 0.7111111111111111, 0.7111111111111111]","[0.8075894693541753, 0.6455415499533147, 0.5283088235294118, 0.6395424836601307, 0.6599431818181818, 0.6796037296037296, 0.7888888888888889, 0.7416958041958042, 0.6928071928071928, 0.722875816993464]","[0.7555555555555555, 0.6125, 0.5303030303030303, 0.5651515151515152, 0.6577922077922078, 0.6679292929292929, 0.7068181818181818, 0.7378787878787879, 0.692929292929293, 0.7123737373737373]","[0.7516887160815197, 0.6088574016563146, 0.5083417678812415, 0.568139367816092, 0.6555555555555556, 0.6666666666666667, 0.7190058479532163, 0.7301913240212473, 0.689039408866995, 0.7139802631578948]","[0.8100173483805196, 0.6592985020094995, 0.5369245524296675, 0.6361182154021029, 0.6610606060606061, 0.6918414918414919, 0.7817283950617284, 0.759013209013209, 0.712043512043512, 0.7164270152505445]","[0.7608695652173914, 0.6304347826086957, 0.5434782608695652, 0.5869565217391305, 0.6666666666666666, 0.6888888888888889, 0.7333333333333333, 0.7333333333333333, 0.7111111111111111, 0.7111111111111111]","[0.7577084606287395, 0.6271182149608425, 0.5214127501026814, 0.5807564967516242, 0.6605996472663139, 0.6844444444444444, 0.7292787524366471, 0.7355094323125014, 0.7081372012406495, 0.7101023391812865]","[array([[12,  0,  0,  0],
       [ 4,  5,  0,  0],
       [ 1,  0,  8,  1],
       [ 0,  0,  5, 10]]), array([[ 5,  6,  0,  1],
       [ 3,  6,  0,  0],
       [ 1,  1,  5,  3],
       [ 0,  1,  1, 13]]), array([[ 5,  6,  0,  0],
       [ 0,  8,  0,  2],
       [ 3,  0,  2,  5],
       [ 0,  2,  3, 10]]), array([[ 8,  1,  0,  2],
       [ 5,  4,  0,  1],
       [ 3,  0,  4,  3],
       [ 2,  0,  2, 11]]), array([[ 6,  3,  2,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  5,  5],
       [ 2,  0,  1, 11]]), array([[ 8,  3,  0,  0],
       [ 3,  7,  0,  0],
       [ 2,  0,  4,  3],
       [ 0,  1,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 1,  6,  0,  2],
       [ 0,  0,  5,  5],
       [ 0,  1,  0, 14]]), array([[ 9,  2,  0,  0],
       [ 3,  6,  0,  0],
       [ 1,  0,  8,  1],
       [ 0,  0,  5, 10]]), array([[ 8,  3,  0,  0],
       [ 5,  4,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]]), array([[ 8,  1,  2,  0],
       [ 0,  8,  0,  1],
       [ 0,  0,  5,  5],
       [ 1,  1,  2, 11]])]"
