min_samples_split value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
2,"[0.8339552238805971, 0.8190298507462687, 0.8264925373134329, 0.835820895522388, 0.7925925925925926, 0.8414179104477612, 0.8097014925373134, 0.7910447761194029, 0.8059701492537313, 0.8152985074626866]","[0.8339552238805971, 0.8190298507462687, 0.8264925373134329, 0.835820895522388, 0.7925925925925926, 0.8414179104477612, 0.8097014925373134, 0.7910447761194029, 0.8059701492537313, 0.8152985074626866]","[0.8339552238805971, 0.8190298507462687, 0.8264925373134329, 0.835820895522388, 0.7925925925925926, 0.8414179104477612, 0.8097014925373134, 0.7910447761194029, 0.8059701492537313, 0.8152985074626866]","[0.8339552238805971, 0.8190298507462687, 0.8264925373134329, 0.835820895522388, 0.7925925925925926, 0.8414179104477612, 0.8097014925373134, 0.7910447761194029, 0.8059701492537313, 0.8152985074626866]","[0.8461290031402641, 0.8238756270541429, 0.8382792115528688, 0.8504781206670626, 0.797868224908254, 0.8435083091353753, 0.8180374631334066, 0.7947675693404879, 0.8063969816763682, 0.827597798448106]","[0.8339552238805971, 0.8190298507462687, 0.8264925373134329, 0.835820895522388, 0.7925925925925926, 0.8414179104477612, 0.8097014925373134, 0.791044776119403, 0.8059701492537313, 0.8152985074626866]","[0.8345596986244084, 0.8195149995382845, 0.8260859901398602, 0.8349076306083334, 0.7917188184301597, 0.8417357118157587, 0.8100144646792387, 0.7884170572107935, 0.8057242548428465, 0.8144322405227891]","[0.846129003140264, 0.8238756270541429, 0.8382792115528689, 0.8504781206670625, 0.797868224908254, 0.8435083091353752, 0.8180374631334068, 0.7947675693404879, 0.8063969816763682, 0.827597798448106]","[0.8339552238805971, 0.8190298507462687, 0.8264925373134329, 0.835820895522388, 0.7925925925925926, 0.8414179104477612, 0.8097014925373134, 0.7910447761194029, 0.8059701492537313, 0.8152985074626866]","[0.8345596986244084, 0.8195149995382844, 0.8260859901398602, 0.8349076306083334, 0.7917188184301598, 0.8417357118157586, 0.8100144646792387, 0.7884170572107934, 0.8057242548428464, 0.814432240522789]","[array([[107,  19,   2,   6],
       [ 14, 115,   0,   5],
       [  0,   2, 102,  30],
       [  1,   7,   3, 123]]), array([[114,  17,   3,   0],
       [ 24, 105,   0,   5],
       [  6,   0, 106,  22],
       [  8,   1,  11, 114]]), array([[120,  11,   0,   3],
       [ 31,  97,   2,   4],
       [  6,   0, 104,  24],
       [  4,   2,   6, 122]]), array([[122,  11,   0,   1],
       [ 20, 111,   0,   3],
       [ 14,   0,  93,  27],
       [  5,   3,   4, 122]]), array([[ 94,  26,   7,   8],
       [  8, 119,   1,   7],
       [  5,   0, 103,  27],
       [  6,   6,  11, 112]]), array([[113,  10,   9,   2],
       [ 12, 117,   2,   3],
       [  3,   0, 115,  16],
       [  2,   4,  22, 106]]), array([[116,  14,   1,   3],
       [ 14, 113,   0,   7],
       [ 13,   1,  97,  23],
       [ 13,   4,   9, 108]]), array([[ 94,  22,   4,  14],
       [ 12, 109,   0,  13],
       [  2,   0, 127,   5],
       [  2,   3,  35,  94]]), array([[101,  20,   9,   4],
       [ 21, 110,   1,   2],
       [  3,   1, 107,  23],
       [  4,   6,  10, 114]]), array([[121,   5,   3,   5],
       [ 37,  91,   0,   6],
       [  3,   0, 111,  20],
       [  3,   3,  14, 114]])]","[0.6739130434782609, 0.6086956521739131, 0.5652173913043478, 0.7391304347826086, 0.7111111111111111, 0.7555555555555555, 0.5777777777777777, 0.6444444444444445, 0.6666666666666666, 0.8]","[0.6739130434782609, 0.6086956521739131, 0.5652173913043478, 0.7391304347826086, 0.7111111111111111, 0.7555555555555555, 0.5777777777777777, 0.6444444444444445, 0.6666666666666666, 0.8]","[0.6739130434782609, 0.6086956521739131, 0.5652173913043478, 0.7391304347826086, 0.7111111111111111, 0.7555555555555555, 0.5777777777777777, 0.6444444444444445, 0.6666666666666666, 0.8]","[0.6739130434782609, 0.6086956521739131, 0.5652173913043478, 0.7391304347826086, 0.7111111111111111, 0.7555555555555555, 0.5777777777777777, 0.6444444444444445, 0.6666666666666666, 0.8]","[0.6590713208360267, 0.6000763941940412, 0.5408653846153846, 0.7528409090909092, 0.7128787878787879, 0.75, 0.5514705882352942, 0.6889768728004022, 0.6647727272727273, 0.8099264705882353]","[0.648611111111111, 0.5958333333333333, 0.5340909090909091, 0.7257575757575757, 0.7198051948051948, 0.759090909090909, 0.5446969696969697, 0.6563131313131313, 0.6618686868686868, 0.7929292929292929]","[0.6503947368421052, 0.5916959718670077, 0.5228174603174602, 0.73471557682084, 0.7103030303030302, 0.7491702741702742, 0.5450589656152316, 0.6511904761904761, 0.6545002056766763, 0.7994835434173669]","[0.6675098132898645, 0.6079483176669878, 0.5472408026755853, 0.7469806763285025, 0.7219528619528619, 0.7737373737373736, 0.57140522875817, 0.6795653874085247, 0.6919191919191919, 0.8032352941176469]","[0.6739130434782609, 0.6086956521739131, 0.5652173913043478, 0.7391304347826086, 0.7111111111111111, 0.7555555555555555, 0.5777777777777777, 0.6444444444444445, 0.6666666666666666, 0.8]","[0.6675171624713959, 0.6026680473701768, 0.541839199447895, 0.7383561010563299, 0.7101952861952863, 0.7588359788359788, 0.5715812573016323, 0.643068783068783, 0.6692349741761507, 0.7995603797074384]","[array([[ 9,  3,  0,  0],
       [ 4,  4,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  3, 12]]), array([[ 7,  4,  0,  1],
       [ 3,  6,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  1,  3, 11]]), array([[ 7,  3,  0,  1],
       [ 3,  5,  0,  2],
       [ 3,  0,  2,  5],
       [ 0,  0,  3, 12]]), array([[ 7,  1,  1,  2],
       [ 2,  7,  0,  1],
       [ 1,  0,  7,  2],
       [ 1,  1,  0, 13]]), array([[7, 2, 2, 0],
       [1, 9, 0, 0],
       [1, 0, 7, 2],
       [1, 1, 3, 9]]), array([[ 7,  4,  0,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  9,  0],
       [ 0,  1,  2, 12]]), array([[ 6,  4,  1,  0],
       [ 5,  3,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  1,  2, 12]]), array([[7, 1, 1, 2],
       [2, 5, 0, 2],
       [0, 0, 9, 1],
       [0, 0, 7, 8]]), array([[ 7,  4,  0,  0],
       [ 5,  4,  0,  0],
       [ 0,  0,  9,  1],
       [ 2,  0,  3, 10]]), array([[ 8,  1,  0,  2],
       [ 2,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 13]])]"
4,"[0.8264925373134329, 0.8470149253731343, 0.8134328358208955, 0.8041044776119403, 0.8407407407407408, 0.8395522388059702, 0.8246268656716418, 0.835820895522388, 0.8376865671641791, 0.8152985074626866]","[0.8264925373134329, 0.8470149253731343, 0.8134328358208955, 0.8041044776119403, 0.8407407407407408, 0.8395522388059702, 0.8246268656716418, 0.835820895522388, 0.8376865671641791, 0.8152985074626866]","[0.8264925373134329, 0.8470149253731343, 0.8134328358208955, 0.8041044776119403, 0.8407407407407408, 0.8395522388059702, 0.8246268656716418, 0.835820895522388, 0.8376865671641791, 0.8152985074626866]","[0.8264925373134329, 0.8470149253731343, 0.8134328358208955, 0.8041044776119403, 0.8407407407407408, 0.8395522388059702, 0.8246268656716418, 0.835820895522388, 0.8376865671641791, 0.8152985074626866]","[0.8311413994160083, 0.8495435570922585, 0.8229670467966466, 0.8131365506605523, 0.8443672950145334, 0.8421103414273364, 0.8256818242500297, 0.8378923139330801, 0.8378799017574492, 0.8170412003957719]","[0.8264925373134328, 0.8470149253731343, 0.8134328358208955, 0.8041044776119403, 0.8407407407407407, 0.8395522388059701, 0.8246268656716418, 0.8358208955223881, 0.8376865671641791, 0.8152985074626866]","[0.8265082598187219, 0.84705749265051, 0.8137916926800406, 0.8034855360232379, 0.8405466293638532, 0.8393788594443775, 0.8248087778974478, 0.8359255517397381, 0.8376540096840281, 0.8155242419318989]","[0.8311413994160084, 0.8495435570922584, 0.8229670467966466, 0.8131365506605523, 0.8443672950145334, 0.8421103414273364, 0.8256818242500297, 0.8378923139330801, 0.8378799017574491, 0.817041200395772]","[0.8264925373134329, 0.8470149253731343, 0.8134328358208955, 0.8041044776119403, 0.8407407407407408, 0.8395522388059702, 0.8246268656716418, 0.835820895522388, 0.8376865671641791, 0.8152985074626866]","[0.826508259818722, 0.84705749265051, 0.8137916926800406, 0.8034855360232379, 0.8405466293638532, 0.8393788594443775, 0.8248087778974478, 0.8359255517397381, 0.837654009684028, 0.8155242419318988]","[array([[107,  20,   2,   5],
       [ 14, 117,   0,   3],
       [  4,   0, 103,  27],
       [  2,   6,  10, 116]]), array([[120,  12,   0,   2],
       [ 16, 108,   1,   9],
       [  7,   0, 112,  15],
       [  4,   1,  15, 114]]), array([[101,  28,   0,   5],
       [ 17, 115,   0,   2],
       [ 11,   0, 100,  23],
       [  8,   2,   4, 120]]), array([[102,  27,   3,   2],
       [ 21, 110,   0,   3],
       [  7,   0,  96,  31],
       [  5,   2,   4, 123]]), array([[119,   9,   6,   1],
       [ 20, 110,   1,   4],
       [  4,   0, 105,  26],
       [  2,   4,   9, 120]]), array([[111,  19,   2,   2],
       [ 14, 116,   2,   2],
       [  3,   4, 119,   8],
       [  9,   5,  16, 104]]), array([[103,  19,   3,   9],
       [ 22, 110,   0,   2],
       [  3,   0, 114,  17],
       [  6,   1,  12, 115]]), array([[115,   9,   9,   1],
       [ 21, 107,   4,   2],
       [  3,   1, 115,  15],
       [  3,   5,  15, 111]]), array([[109,  17,   6,   2],
       [ 16, 114,   1,   3],
       [  2,   0, 113,  19],
       [  2,   6,  13, 113]]), array([[106,  21,   5,   2],
       [ 17, 109,   0,   8],
       [  1,   1, 109,  23],
       [  5,   4,  12, 113]])]","[0.6521739130434783, 0.6739130434782609, 0.5217391304347826, 0.6521739130434783, 0.5777777777777777, 0.6666666666666666, 0.6222222222222222, 0.6444444444444445, 0.6888888888888889, 0.6666666666666666]","[0.6521739130434783, 0.6739130434782609, 0.5217391304347826, 0.6521739130434783, 0.5777777777777777, 0.6666666666666666, 0.6222222222222222, 0.6444444444444445, 0.6888888888888889, 0.6666666666666666]","[0.6521739130434783, 0.6739130434782609, 0.5217391304347826, 0.6521739130434783, 0.5777777777777777, 0.6666666666666666, 0.6222222222222222, 0.6444444444444445, 0.6888888888888889, 0.6666666666666666]","[0.6521739130434783, 0.6739130434782609, 0.5217391304347826, 0.6521739130434783, 0.5777777777777777, 0.6666666666666666, 0.6222222222222222, 0.6444444444444445, 0.6888888888888889, 0.6666666666666666]","[0.6417124542124543, 0.670995670995671, 0.5126869658119658, 0.7041666666666666, 0.5879464285714286, 0.672979797979798, 0.6138888888888889, 0.6871794871794872, 0.674908424908425, 0.6875]","[0.6402777777777777, 0.6749999999999999, 0.49924242424242427, 0.6257575757575757, 0.5626623376623376, 0.6684343434343435, 0.6085858585858586, 0.654040404040404, 0.6762626262626262, 0.6835858585858586]","[0.6357392607392608, 0.6724137931034483, 0.5034427466515752, 0.6382142857142857, 0.5582010582010583, 0.6586324786324786, 0.6105517416730231, 0.6471794871794871, 0.6699134199134199, 0.6714061800268696]","[0.6571508201942985, 0.6756070016939583, 0.5272319769602378, 0.6938405797101449, 0.5958333333333333, 0.6991919191919191, 0.6259259259259259, 0.6948717948717948, 0.6949124949124948, 0.6867724867724868]","[0.6521739130434783, 0.6739130434782609, 0.5217391304347826, 0.6521739130434783, 0.5777777777777777, 0.6666666666666666, 0.6222222222222222, 0.6444444444444445, 0.6888888888888889, 0.6666666666666666]","[0.6496872692524867, 0.6741629185407296, 0.5221615281776203, 0.6478881987577639, 0.5711934156378601, 0.6684900284900285, 0.623442664632596, 0.6463817663817663, 0.6864838864838865, 0.6636546084821947]","[array([[ 9,  3,  0,  0],
       [ 5,  4,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  5, 10]]), array([[ 8,  2,  0,  2],
       [ 3,  6,  0,  0],
       [ 1,  0,  7,  2],
       [ 0,  1,  4, 10]]), array([[ 4,  4,  2,  1],
       [ 5,  5,  0,  0],
       [ 2,  0,  4,  4],
       [ 2,  0,  2, 11]]), array([[ 7,  2,  0,  2],
       [ 5,  4,  0,  1],
       [ 0,  0,  6,  4],
       [ 2,  0,  0, 13]]), array([[ 7,  2,  2,  0],
       [ 7,  3,  0,  0],
       [ 0,  0,  6,  4],
       [ 2,  0,  2, 10]]), array([[9, 2, 0, 0],
       [3, 7, 0, 0],
       [2, 1, 5, 1],
       [1, 1, 4, 9]]), array([[ 6,  4,  1,  0],
       [ 3,  5,  0,  1],
       [ 1,  0,  6,  3],
       [ 2,  0,  2, 11]]), array([[8, 1, 2, 0],
       [3, 5, 1, 0],
       [0, 0, 8, 2],
       [2, 0, 5, 8]]), array([[ 8,  3,  0,  0],
       [ 5,  4,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[6, 3, 1, 1],
       [0, 8, 0, 1],
       [0, 0, 7, 3],
       [1, 1, 4, 9]])]"
6,"[0.835820895522388, 0.8208955223880597, 0.832089552238806, 0.8227611940298507, 0.8388888888888889, 0.835820895522388, 0.8264925373134329, 0.8432835820895522, 0.8526119402985075, 0.8041044776119403]","[0.835820895522388, 0.8208955223880597, 0.832089552238806, 0.8227611940298507, 0.8388888888888889, 0.835820895522388, 0.8264925373134329, 0.8432835820895522, 0.8526119402985075, 0.8041044776119403]","[0.835820895522388, 0.8208955223880597, 0.832089552238806, 0.8227611940298507, 0.8388888888888889, 0.835820895522388, 0.8264925373134329, 0.8432835820895522, 0.8526119402985075, 0.8041044776119403]","[0.835820895522388, 0.8208955223880597, 0.832089552238806, 0.8227611940298507, 0.8388888888888889, 0.835820895522388, 0.8264925373134329, 0.8432835820895522, 0.8526119402985075, 0.8041044776119403]","[0.8359339673369348, 0.8257841624216145, 0.8351134751773049, 0.8234166944144544, 0.8393268521063226, 0.8470809182428309, 0.8430482357667857, 0.8448721500859109, 0.8570884932920537, 0.805472454809678]","[0.8358208955223881, 0.8208955223880596, 0.832089552238806, 0.8227611940298507, 0.8388888888888888, 0.835820895522388, 0.8264925373134329, 0.8432835820895522, 0.8526119402985074, 0.8041044776119404]","[0.8350535398618852, 0.8209335803795015, 0.8319318061632579, 0.8226614476515947, 0.838787956846818, 0.8349016013623622, 0.8256973137642849, 0.8435059054947833, 0.8527550608309356, 0.8042141337921246]","[0.8359339673369348, 0.8257841624216146, 0.835113475177305, 0.8234166944144544, 0.8393268521063227, 0.8470809182428309, 0.8430482357667857, 0.8448721500859109, 0.8570884932920537, 0.8054724548096779]","[0.835820895522388, 0.8208955223880597, 0.832089552238806, 0.8227611940298507, 0.8388888888888889, 0.835820895522388, 0.8264925373134329, 0.8432835820895522, 0.8526119402985075, 0.8041044776119403]","[0.8350535398618852, 0.8209335803795015, 0.8319318061632579, 0.8226614476515944, 0.838787956846818, 0.8349016013623622, 0.8256973137642849, 0.8435059054947834, 0.8527550608309356, 0.8042141337921245]","[array([[105,  13,   2,  14],
       [ 12, 117,   1,   4],
       [  7,   1, 121,   5],
       [  1,   5,  23, 105]]), array([[106,  20,   3,   5],
       [ 17, 112,   0,   5],
       [  2,   0, 103,  29],
       [  1,   2,  12, 119]]), array([[117,  14,   3,   0],
       [ 22, 104,   1,   7],
       [  7,   0, 117,  10],
       [  4,   2,  20, 108]]), array([[108,  17,   8,   1],
       [ 16, 117,   1,   0],
       [  6,   1, 110,  17],
       [  5,   4,  19, 106]]), array([[110,  18,   7,   0],
       [ 11, 118,   1,   5],
       [  4,   1, 114,  16],
       [  3,   4,  17, 111]]), array([[ 97,  24,   4,   9],
       [  9, 120,   0,   5],
       [  3,   1, 105,  25],
       [  1,   4,   3, 126]]), array([[126,   2,   3,   3],
       [ 36,  92,   0,   6],
       [  2,   0, 113,  19],
       [  6,   1,  15, 112]]), array([[113,  15,   4,   2],
       [ 14, 113,   1,   6],
       [  2,   0, 110,  22],
       [  0,   5,  13, 116]]), array([[113,  16,   3,   2],
       [  9, 118,   0,   7],
       [  7,   0, 106,  21],
       [  7,   2,   5, 120]]), array([[105,  22,   5,   2],
       [ 18, 114,   1,   1],
       [  6,   0, 108,  20],
       [ 10,   7,  13, 104]])]","[0.5652173913043478, 0.6739130434782609, 0.5, 0.5869565217391305, 0.6222222222222222, 0.7111111111111111, 0.6222222222222222, 0.6666666666666666, 0.6888888888888889, 0.6444444444444445]","[0.5652173913043478, 0.6739130434782609, 0.5, 0.5869565217391305, 0.6222222222222222, 0.7111111111111111, 0.6222222222222222, 0.6666666666666666, 0.6888888888888889, 0.6444444444444445]","[0.5652173913043478, 0.6739130434782609, 0.5, 0.5869565217391305, 0.6222222222222222, 0.7111111111111111, 0.6222222222222222, 0.6666666666666666, 0.6888888888888889, 0.6444444444444445]","[0.5652173913043478, 0.6739130434782609, 0.5, 0.5869565217391305, 0.6222222222222222, 0.7111111111111111, 0.6222222222222222, 0.6666666666666666, 0.6888888888888889, 0.6444444444444445]","[0.5684640522875817, 0.6982905982905983, 0.49576118326118324, 0.5936004784688995, 0.6433982683982684, 0.7073717948717948, 0.6041666666666667, 0.6847527472527473, 0.6797619047619047, 0.6361111111111111]","[0.5736111111111111, 0.6597222222222223, 0.49242424242424243, 0.5719696969696969, 0.6243506493506493, 0.7118686868686869, 0.6058080808080808, 0.6484848484848484, 0.6818181818181819, 0.6174242424242424]","[0.5514141414141415, 0.6413419913419913, 0.4931124663232293, 0.5750896849968058, 0.6143207282913166, 0.7063966735019366, 0.6029284441049146, 0.6384798534798535, 0.6802348825587206, 0.618825910931174]","[0.5933503836317136, 0.6982998885172799, 0.5058896417592069, 0.592690347410027, 0.6475709475709476, 0.7227920227920227, 0.6207407407407407, 0.6987179487179488, 0.6915343915343914, 0.6535802469135803]","[0.5652173913043478, 0.6739130434782609, 0.5, 0.5869565217391305, 0.6222222222222222, 0.7111111111111111, 0.6222222222222222, 0.6666666666666666, 0.6888888888888889, 0.6444444444444445]","[0.5591567852437417, 0.6516092603049125, 0.5019959781469187, 0.5818521153694124, 0.6162776221599751, 0.7136502873344979, 0.6196587725999491, 0.6588050468050468, 0.6895885390638015, 0.6420332883490778]","[array([[5, 5, 1, 1],
       [4, 4, 0, 1],
       [1, 0, 9, 0],
       [0, 0, 7, 8]]), array([[ 7,  4,  0,  1],
       [ 1,  8,  0,  0],
       [ 1,  0,  3,  6],
       [ 0,  1,  1, 13]]), array([[7, 3, 1, 0],
       [3, 5, 0, 2],
       [2, 1, 3, 4],
       [0, 0, 7, 8]]), array([[ 5,  3,  1,  2],
       [ 3,  6,  0,  1],
       [ 0,  0,  5,  5],
       [ 0,  2,  2, 11]]), array([[5, 4, 2, 0],
       [1, 9, 0, 0],
       [0, 0, 5, 5],
       [0, 1, 4, 9]]), array([[ 7,  4,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  2],
       [ 0,  1,  3, 11]]), array([[ 6,  4,  1,  0],
       [ 3,  4,  1,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 11]]), array([[ 8,  1,  2,  0],
       [ 6,  3,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[ 8,  3,  0,  0],
       [ 3,  6,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  0,  4, 11]]), array([[ 7,  2,  1,  1],
       [ 6,  3,  0,  0],
       [ 1,  0,  7,  2],
       [ 1,  1,  1, 12]])]"
8,"[0.8283582089552238, 0.8302238805970149, 0.8227611940298507, 0.8264925373134329, 0.8407407407407408, 0.7947761194029851, 0.8134328358208955, 0.8115671641791045, 0.8376865671641791, 0.8022388059701493]","[0.8283582089552238, 0.8302238805970149, 0.8227611940298507, 0.8264925373134329, 0.8407407407407408, 0.7947761194029851, 0.8134328358208955, 0.8115671641791045, 0.8376865671641791, 0.8022388059701493]","[0.8283582089552238, 0.8302238805970149, 0.8227611940298507, 0.8264925373134329, 0.8407407407407408, 0.7947761194029851, 0.8134328358208955, 0.8115671641791045, 0.8376865671641791, 0.8022388059701493]","[0.8283582089552238, 0.8302238805970149, 0.8227611940298507, 0.8264925373134329, 0.8407407407407408, 0.7947761194029851, 0.8134328358208955, 0.8115671641791045, 0.8376865671641791, 0.8022388059701493]","[0.8296269459667732, 0.8475423443870045, 0.8258095061515847, 0.8323934918380539, 0.8429674890056535, 0.7976919823780577, 0.816598738285317, 0.8149874145635361, 0.8408357032262141, 0.8138301314486893]","[0.8283582089552239, 0.8302238805970149, 0.8227611940298507, 0.8264925373134329, 0.8407407407407408, 0.794776119402985, 0.8134328358208955, 0.8115671641791045, 0.8376865671641791, 0.8022388059701493]","[0.8277755317653012, 0.8295113168421699, 0.8225609327826908, 0.8274943742491768, 0.840023865558942, 0.7949864745659437, 0.8139724581240757, 0.8111281352457409, 0.8372925111868621, 0.8027855693865035]","[0.8296269459667732, 0.8475423443870046, 0.8258095061515845, 0.8323934918380538, 0.8429674890056537, 0.7976919823780576, 0.816598738285317, 0.8149874145635361, 0.8408357032262143, 0.8138301314486893]","[0.8283582089552238, 0.8302238805970149, 0.8227611940298507, 0.8264925373134329, 0.8407407407407408, 0.7947761194029851, 0.8134328358208955, 0.8115671641791045, 0.8376865671641791, 0.8022388059701493]","[0.8277755317653012, 0.8295113168421698, 0.8225609327826909, 0.8274943742491768, 0.840023865558942, 0.794986474565944, 0.8139724581240758, 0.8111281352457409, 0.8372925111868621, 0.8027855693865035]","[array([[114,  17,   1,   2],
       [ 10, 119,   1,   4],
       [  9,   0, 100,  25],
       [  4,   4,  15, 111]]), array([[124,  10,   0,   0],
       [ 31,  98,   0,   5],
       [  9,   0,  99,  26],
       [  4,   2,   4, 124]]), array([[114,  10,   9,   1],
       [ 30, 101,   1,   2],
       [  1,   2, 110,  21],
       [  2,   2,  14, 116]]), array([[113,  12,   3,   6],
       [ 19, 106,   0,   9],
       [ 12,   0, 110,  12],
       [  8,   2,  10, 114]]), array([[105,  26,   1,   3],
       [  6, 126,   0,   3],
       [  7,   0, 113,  15],
       [  5,   5,  15, 110]]), array([[107,  14,  10,   3],
       [ 32, 100,   1,   1],
       [  2,   2, 106,  24],
       [  6,   4,  11, 113]]), array([[105,  16,   6,   7],
       [ 18, 108,   0,   8],
       [  5,   0, 109,  20],
       [  8,   0,  12, 114]]), array([[ 99,  25,   9,   1],
       [ 11, 117,   3,   3],
       [  1,   2, 112,  19],
       [  3,   5,  19, 107]]), array([[108,  21,   2,   3],
       [  8, 125,   0,   1],
       [ 13,   1, 110,  10],
       [  8,   7,  13, 106]]), array([[107,  23,   2,   2],
       [ 16, 112,   0,   6],
       [  7,   1,  96,  30],
       [ 11,   5,   3, 115]])]","[0.6304347826086957, 0.6304347826086957, 0.5434782608695652, 0.6739130434782609, 0.6888888888888889, 0.7333333333333333, 0.6, 0.6, 0.5555555555555556, 0.5555555555555556]","[0.6304347826086957, 0.6304347826086957, 0.5434782608695652, 0.6739130434782609, 0.6888888888888889, 0.7333333333333333, 0.6, 0.6, 0.5555555555555556, 0.5555555555555556]","[0.6304347826086957, 0.6304347826086957, 0.5434782608695652, 0.6739130434782609, 0.6888888888888889, 0.7333333333333333, 0.6, 0.6, 0.5555555555555556, 0.5555555555555556]","[0.6304347826086957, 0.6304347826086957, 0.5434782608695652, 0.6739130434782609, 0.6888888888888889, 0.7333333333333333, 0.6, 0.6, 0.5555555555555556, 0.5555555555555556]","[0.6185897435897435, 0.65, 0.5414141414141415, 0.6799428104575164, 0.6893939393939394, 0.7236263736263736, 0.5874594155844156, 0.6295770202020202, 0.5553571428571429, 0.5684476342371079]","[0.6236111111111111, 0.6041666666666667, 0.5196969696969697, 0.6590909090909091, 0.6948051948051949, 0.7267676767676767, 0.5881313131313132, 0.6174242424242424, 0.5797979797979799, 0.552020202020202]","[0.6180366692131398, 0.5948051948051949, 0.5161490683229814, 0.6656973048563437, 0.6875757575757575, 0.7155360119756404, 0.5801971326164874, 0.6062062937062938, 0.556675505188091, 0.544969040247678]","[0.6340579710144927, 0.6554347826086956, 0.5480895915678525, 0.6806621199204319, 0.6996632996632997, 0.7413431013431013, 0.6011724386724386, 0.6453703703703704, 0.5546560846560846, 0.5644397188256838]","[0.6304347826086957, 0.6304347826086957, 0.5434782608695652, 0.6739130434782609, 0.6888888888888889, 0.7333333333333333, 0.6, 0.6, 0.5555555555555556, 0.5555555555555556]","[0.6291805892317403, 0.6132128740824393, 0.5326311999279864, 0.6736214749223405, 0.6893198653198652, 0.7279412709753266, 0.5933492632417364, 0.602991452991453, 0.5454425112701238, 0.5446783625730994]","[array([[ 7,  4,  0,  1],
       [ 4,  4,  0,  1],
       [ 1,  0,  8,  1],
       [ 1,  0,  4, 10]]), array([[ 7,  4,  0,  1],
       [ 3,  6,  0,  0],
       [ 0,  1,  3,  6],
       [ 0,  1,  1, 13]]), array([[ 6,  2,  2,  1],
       [ 5,  3,  0,  2],
       [ 1,  0,  5,  4],
       [ 0,  0,  4, 11]]), array([[ 7,  3,  0,  1],
       [ 3,  5,  0,  2],
       [ 1,  0,  7,  2],
       [ 1,  1,  1, 12]]), array([[7, 3, 1, 0],
       [3, 7, 0, 0],
       [0, 0, 8, 2],
       [1, 1, 3, 9]]), array([[ 9,  2,  0,  0],
       [ 6,  4,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  2, 12]]), array([[ 4,  5,  1,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  3, 11]]), array([[7, 2, 2, 0],
       [2, 6, 1, 0],
       [0, 1, 7, 2],
       [2, 0, 6, 7]]), array([[4, 5, 0, 2],
       [1, 8, 0, 0],
       [1, 0, 6, 3],
       [4, 1, 3, 7]]), array([[ 4,  3,  2,  2],
       [ 1,  7,  0,  1],
       [ 0,  0,  4,  6],
       [ 1,  1,  3, 10]])]"
