weights value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
uniform,"[0.8030634573304157, 0.8205689277899344, 0.8144104803493449, 0.8253275109170306, 0.8260869565217391, 0.7886710239651417, 0.8231441048034934, 0.8013100436681223, 0.8100436681222707, 0.8034934497816594]","[0.8030634573304157, 0.8205689277899344, 0.8144104803493449, 0.8253275109170306, 0.8260869565217391, 0.7886710239651417, 0.8231441048034934, 0.8013100436681223, 0.8100436681222707, 0.8034934497816594]","[0.8030634573304157, 0.8205689277899344, 0.8144104803493449, 0.8253275109170306, 0.8260869565217391, 0.7886710239651417, 0.8231441048034934, 0.8013100436681223, 0.8100436681222707, 0.8034934497816594]","[0.8030634573304157, 0.8205689277899344, 0.8144104803493449, 0.8253275109170306, 0.8260869565217391, 0.7886710239651417, 0.8231441048034934, 0.8013100436681223, 0.8100436681222707, 0.8034934497816594]","[0.8022254066942262, 0.8229918229918229, 0.811811038375269, 0.8236588034536909, 0.8264963162358214, 0.7893010097075974, 0.8206651312774339, 0.7986223263423224, 0.8158903798524526, 0.8016094408894272]","[0.7992189334227737, 0.8116560456146235, 0.8135237429495088, 0.8210233735095798, 0.8202852869556618, 0.7818908756547296, 0.8219876532345504, 0.7967856235564861, 0.7977029968634965, 0.7979838127196922]","[0.7997887650263913, 0.8156765202517298, 0.812446070382176, 0.8220063973049374, 0.8226771931511986, 0.7844211391878786, 0.8211461009968473, 0.7973196583366139, 0.8036207472045396, 0.7992959629145712]","[0.8022952833048548, 0.8218127403028934, 0.8147368177490538, 0.8252166020907453, 0.826887581406925, 0.7886631278562763, 0.822939826479602, 0.8009962964226859, 0.8125711812438884, 0.8034195904350403]","[0.8030634573304157, 0.8205689277899344, 0.8144104803493449, 0.8253275109170306, 0.8260869565217391, 0.7886710239651417, 0.8231441048034934, 0.8013100436681223, 0.8100436681222707, 0.8034934497816594]","[0.8018304454399936, 0.8195639029560026, 0.8143258548211736, 0.8249562879462506, 0.825782313509594, 0.787492350854694, 0.8228935062996198, 0.8007568679020521, 0.8082751730510775, 0.8029058770431049]","[array([[ 69,  27,   2,   2],
       [ 19, 107,   0,   8],
       [  0,   0,  75,  14],
       [  0,   3,  15, 116]]), array([[ 74,  22,   2,   2],
       [ 14, 112,   0,   8],
       [  0,   0,  69,  20],
       [  0,   1,  13, 120]]), array([[ 80,  17,   2,   2],
       [ 22, 106,   0,   6],
       [  0,   0,  73,  16],
       [  0,   4,  16, 114]]), array([[ 77,  20,   1,   3],
       [ 16, 113,   0,   5],
       [  0,   0,  73,  16],
       [  1,   2,  16, 115]]), array([[ 78,  19,   2,   2],
       [ 13, 114,   0,   8],
       [  0,   0,  71,  18],
       [  1,   2,  15, 117]]), array([[ 70,  25,   2,   4],
       [ 20, 106,   0,   8],
       [  0,   0,  70,  20],
       [  0,   3,  15, 116]]), array([[ 77,  21,   1,   2],
       [ 19, 110,   0,   5],
       [  0,   0,  76,  13],
       [  1,   3,  16, 114]]), array([[ 74,  23,   2,   2],
       [ 20, 107,   0,   7],
       [  0,   0,  71,  18],
       [  1,   1,  17, 115]]), array([[ 71,  25,   2,   3],
       [ 13, 114,   0,   7],
       [  0,   0,  66,  23],
       [  1,   2,  11, 120]]), array([[ 76,  22,   2,   1],
       [ 21, 106,   0,   7],
       [  0,   0,  69,  20],
       [  1,   1,  15, 117]])]","[0.7391304347826086, 0.8043478260869565, 0.7608695652173914, 0.782608695652174, 0.7777777777777778, 0.8, 0.7111111111111111, 0.8, 0.7777777777777778, 0.8444444444444444]","[0.7391304347826086, 0.8043478260869565, 0.7608695652173914, 0.782608695652174, 0.7777777777777778, 0.8, 0.7111111111111111, 0.8, 0.7777777777777778, 0.8444444444444444]","[0.7391304347826086, 0.8043478260869565, 0.7608695652173914, 0.782608695652174, 0.7777777777777778, 0.8, 0.7111111111111111, 0.8, 0.7777777777777778, 0.8444444444444444]","[0.7391304347826086, 0.8043478260869565, 0.7608695652173914, 0.782608695652174, 0.7777777777777778, 0.8, 0.7111111111111111, 0.8, 0.7777777777777778, 0.8444444444444444]","[0.7461538461538462, 0.8092171717171717, 0.7698412698412698, 0.7881944444444444, 0.7811507936507935, 0.8138888888888889, 0.7497668997668998, 0.7996323529411764, 0.7651515151515152, 0.8524305555555556]","[0.748611111111111, 0.8055555555555556, 0.7424242424242424, 0.7651515151515151, 0.7782467532467532, 0.8002525252525252, 0.7141414141414142, 0.7845959595959597, 0.7651515151515152, 0.842929292929293]","[0.7412404529109335, 0.8056765335498635, 0.7454099821746881, 0.7720418470418471, 0.775974025974026, 0.7930555555555555, 0.709371021135727, 0.7878811612364244, 0.7651515151515152, 0.8428324995687425]","[0.7563545150501673, 0.8073232323232323, 0.7708764665286403, 0.7873188405797101, 0.7839506172839507, 0.8190476190476191, 0.7581973581973582, 0.8045098039215687, 0.7777777777777778, 0.8483024691358025]","[0.7391304347826086, 0.8043478260869565, 0.7608695652173914, 0.782608695652174, 0.7777777777777778, 0.8, 0.7111111111111111, 0.8, 0.7777777777777778, 0.8444444444444444]","[0.7417514830210084, 0.8042403099033638, 0.7556265984654731, 0.7801304975218019, 0.7773737373737374, 0.7962962962962962, 0.7135783606371842, 0.7981179801355239, 0.7777777777777778, 0.841851532401817]","[array([[ 9,  3,  0,  0],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  5, 10]]), array([[10,  1,  0,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[ 7,  4,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  0,  1, 14]]), array([[ 8,  2,  1,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  0, 14]]), array([[ 8,  3,  0,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  3, 11]]), array([[ 6,  4,  0,  1],
       [ 1,  9,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  1, 13]]), array([[ 6,  4,  1,  0],
       [ 0,  7,  0,  2],
       [ 0,  0,  8,  2],
       [ 0,  2,  2, 11]]), array([[ 8,  3,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 14]]), array([[ 8,  3,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 13]]), array([[ 8,  1,  0,  2],
       [ 1,  7,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  0,  2, 13]])]"
distance,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7608695652173914, 0.8260869565217391, 0.7391304347826086, 0.782608695652174, 0.7777777777777778, 0.8666666666666667, 0.7111111111111111, 0.8222222222222222, 0.7555555555555555, 0.8222222222222222]","[0.7608695652173914, 0.8260869565217391, 0.7391304347826086, 0.782608695652174, 0.7777777777777778, 0.8666666666666667, 0.7111111111111111, 0.8222222222222222, 0.7555555555555555, 0.8222222222222222]","[0.7608695652173914, 0.8260869565217391, 0.7391304347826086, 0.782608695652174, 0.7777777777777778, 0.8666666666666667, 0.7111111111111111, 0.8222222222222222, 0.7555555555555555, 0.8222222222222222]","[0.7608695652173914, 0.8260869565217391, 0.7391304347826086, 0.782608695652174, 0.7777777777777778, 0.8666666666666667, 0.7111111111111111, 0.8222222222222222, 0.7555555555555555, 0.8222222222222222]","[0.7678710178710179, 0.8351158645276292, 0.7698412698412699, 0.7881944444444444, 0.7811507936507935, 0.86010101010101, 0.7199675324675325, 0.8326388888888889, 0.7496392496392497, 0.8366941473559121]","[0.7694444444444445, 0.8222222222222223, 0.728030303030303, 0.7651515151515151, 0.7782467532467532, 0.86010101010101, 0.7030303030303029, 0.8073232323232324, 0.7535353535353535, 0.817929292929293]","[0.7643202208419599, 0.8269490528858378, 0.7276069518716577, 0.7720418470418471, 0.775974025974026, 0.86010101010101, 0.7006912442396314, 0.8152958152958153, 0.7473727422003283, 0.8232930672268908]","[0.7739434478564913, 0.8295099330904957, 0.7665631469979297, 0.7873188405797101, 0.7839506172839507, 0.8666666666666667, 0.7302308802308802, 0.8292592592592591, 0.764726631393298, 0.8290040932197794]","[0.7608695652173914, 0.8260869565217391, 0.7391304347826086, 0.782608695652174, 0.7777777777777778, 0.8666666666666667, 0.7111111111111111, 0.8222222222222222, 0.7555555555555555, 0.8222222222222222]","[0.7631650013502566, 0.8258848622027659, 0.7328334495853678, 0.7801304975218019, 0.7773737373737374, 0.8666666666666667, 0.7103396484041645, 0.8207471540804875, 0.7562853493887978, 0.8215709617180205]","[array([[10,  2,  0,  0],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  5, 10]]), array([[10,  1,  0,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[ 6,  5,  0,  0],
       [ 0,  9,  0,  1],
       [ 0,  0,  6,  4],
       [ 1,  0,  1, 13]]), array([[ 8,  2,  1,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  0, 14]]), array([[ 8,  3,  0,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  3, 11]]), array([[ 9,  2,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  0,  1, 14]]), array([[ 6,  4,  1,  0],
       [ 1,  6,  0,  2],
       [ 0,  0,  8,  2],
       [ 0,  1,  2, 12]]), array([[ 9,  2,  0,  0],
       [ 1,  7,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 14]]), array([[ 7,  4,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]]), array([[ 8,  1,  0,  2],
       [ 1,  7,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]])]"
