degree value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
1,"[0.8676470588235294, 0.8872549019607843, 0.8676470588235294, 0.8897058823529411, 0.8973105134474327, 0.882640586797066, 0.8973105134474327, 0.8801955990220048, 0.8850855745721271, 0.8777506112469438]","[0.8676470588235294, 0.8872549019607843, 0.8676470588235294, 0.8897058823529411, 0.8973105134474327, 0.882640586797066, 0.8973105134474327, 0.8801955990220048, 0.8850855745721271, 0.8777506112469438]","[0.8676470588235294, 0.8872549019607843, 0.8676470588235294, 0.8897058823529411, 0.8973105134474327, 0.882640586797066, 0.8973105134474327, 0.8801955990220048, 0.8850855745721271, 0.8777506112469438]","[0.8676470588235294, 0.8872549019607843, 0.8676470588235294, 0.8897058823529411, 0.8973105134474327, 0.882640586797066, 0.8973105134474327, 0.8801955990220048, 0.8850855745721271, 0.8777506112469438]","[0.86716651070864, 0.8867325347043271, 0.8658601683567483, 0.8893287102224725, 0.8968921517591213, 0.8822784589995635, 0.8987650379409557, 0.8798226725760749, 0.8846540242642275, 0.8785532321667145]","[0.8635714356176816, 0.8849395783804046, 0.8626841744031618, 0.887131713458833, 0.8952512138586786, 0.8783792611670549, 0.8935569188016452, 0.8771155966550084, 0.8809277649953787, 0.8718912228202824]","[0.8651436277314041, 0.8853422913596042, 0.8640454475405932, 0.8879600565272803, 0.895619865076128, 0.8796344342671318, 0.8956211473134745, 0.8783666819149901, 0.8824238764456156, 0.8747183295607721]","[0.867533650527284, 0.8874993150042858, 0.8675945032215653, 0.8898064650388458, 0.89764493952309, 0.8829282451820402, 0.8975542820241983, 0.8800309284087983, 0.885090218168068, 0.8778736361456048]","[0.8676470588235294, 0.8872549019607843, 0.8676470588235294, 0.8897058823529411, 0.8973105134474327, 0.882640586797066, 0.8973105134474327, 0.8801955990220048, 0.8850855745721271, 0.8777506112469438]","[0.8673814394135025, 0.8869353813526737, 0.8674112696956786, 0.8895112608053849, 0.8970875714205874, 0.8821888510430975, 0.8969358872828677, 0.8800117995023972, 0.8847552632021646, 0.87733206744582]","[array([[ 90,   9,   0,   1],
       [ 12,  70,   0,   3],
       [  0,   0,  75,  14],
       [  1,   2,  12, 119]]), array([[ 94,   6,   0,   0],
       [ 11,  71,   0,   3],
       [  0,   0,  78,  11],
       [  1,   2,  12, 119]]), array([[ 90,  11,   0,   0],
       [ 13,  69,   0,   2],
       [  0,   0,  75,  14],
       [  2,   1,  11, 120]]), array([[ 94,   7,   0,   0],
       [ 10,  72,   0,   2],
       [  0,   0,  77,  12],
       [  2,   1,  11, 120]]), array([[ 95,   5,   0,   1],
       [ 10,  71,   0,   3],
       [  0,   0,  80,   9],
       [  0,   2,  12, 121]]), array([[ 94,   7,   0,   0],
       [ 12,  68,   0,   4],
       [  0,   0,  79,  11],
       [  0,   1,  13, 120]]), array([[ 96,   5,   0,   0],
       [ 10,  74,   0,   1],
       [  0,   0,  75,  14],
       [  1,   1,  10, 122]]), array([[ 92,   9,   0,   0],
       [  9,  74,   0,   2],
       [  0,   0,  74,  15],
       [  1,   1,  12, 120]]), array([[ 93,   8,   0,   0],
       [ 11,  70,   0,   4],
       [  0,   0,  78,  11],
       [  2,   2,   9, 121]]), array([[ 92,   8,   0,   1],
       [ 12,  70,   0,   3],
       [  0,   0,  75,  14],
       [  0,   1,  11, 122]])]","[0.782608695652174, 0.8478260869565217, 0.782608695652174, 0.8695652173913043, 0.7777777777777778, 0.8888888888888888, 0.7777777777777778, 0.8444444444444444, 0.7555555555555555, 0.8444444444444444]","[0.782608695652174, 0.8478260869565217, 0.782608695652174, 0.8695652173913043, 0.7777777777777778, 0.8888888888888888, 0.7777777777777778, 0.8444444444444444, 0.7555555555555555, 0.8444444444444444]","[0.782608695652174, 0.8478260869565217, 0.782608695652174, 0.8695652173913043, 0.7777777777777778, 0.8888888888888888, 0.7777777777777778, 0.8444444444444444, 0.7555555555555555, 0.8444444444444444]","[0.782608695652174, 0.8478260869565218, 0.782608695652174, 0.8695652173913043, 0.7777777777777778, 0.8888888888888888, 0.7777777777777778, 0.8444444444444444, 0.7555555555555555, 0.8444444444444444]","[0.8104395604395604, 0.852114898989899, 0.7864583333333333, 0.8628787878787878, 0.7823863636363637, 0.8902777777777777, 0.7751623376623377, 0.8517156862745099, 0.7607600732600732, 0.866003787878788]","[0.7833333333333333, 0.85, 0.7757575757575758, 0.8628787878787878, 0.7711038961038962, 0.888888888888889, 0.7684343434343435, 0.8300505050505051, 0.7439393939393939, 0.8356060606060606]","[0.7832537028189202, 0.8461606729433555, 0.7770219169624942, 0.8628787878787878, 0.7736353684629547, 0.8885456394609713, 0.7686295559279431, 0.836468101733447, 0.7472764572722128, 0.8413544379883792]","[0.8038700430004778, 0.8549763943785684, 0.7891002415458938, 0.8695652173913043, 0.7827272727272728, 0.8882716049382716, 0.7746753246753246, 0.8476579520697167, 0.7576109076109075, 0.8563552188552189]","[0.782608695652174, 0.8478260869565217, 0.782608695652174, 0.8695652173913043, 0.7777777777777778, 0.8888888888888888, 0.7777777777777778, 0.8444444444444444, 0.7555555555555555, 0.8444444444444444]","[0.7814724028334613, 0.8469164591959306, 0.7820527188173163, 0.8695652173913043, 0.7774007176306027, 0.8876175947114163, 0.7735407066052228, 0.8417724416658773, 0.7521190970257184, 0.8426064694227388]","[array([[12,  0,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  5, 10]]), array([[10,  2,  0,  0],
       [ 0,  9,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[ 7,  4,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  1,  0, 14]]), array([[ 8,  3,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  1, 12]]), array([[11,  0,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  8,  1],
       [ 0,  1,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 1,  5,  0,  3],
       [ 0,  0,  9,  1],
       [ 1,  0,  2, 12]]), array([[10,  1,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 14]]), array([[10,  1,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  0,  3, 12]]), array([[10,  0,  0,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]])]"
2,"[0.9166666666666666, 0.9142156862745098, 0.9093137254901961, 0.9142156862745098, 0.9119804400977995, 0.902200488997555, 0.921760391198044, 0.902200488997555, 0.9119804400977995, 0.9168704156479217]","[0.9166666666666666, 0.9142156862745098, 0.9093137254901961, 0.9142156862745098, 0.9119804400977995, 0.902200488997555, 0.921760391198044, 0.902200488997555, 0.9119804400977995, 0.9168704156479217]","[0.9166666666666666, 0.9142156862745098, 0.9093137254901961, 0.9142156862745098, 0.9119804400977995, 0.902200488997555, 0.921760391198044, 0.902200488997555, 0.9119804400977995, 0.9168704156479217]","[0.9166666666666666, 0.9142156862745098, 0.9093137254901961, 0.9142156862745098, 0.9119804400977995, 0.902200488997555, 0.921760391198044, 0.902200488997555, 0.9119804400977995, 0.9168704156479217]","[0.9258064239681887, 0.9258027893011314, 0.917291620636691, 0.923977259646075, 0.9225560654115212, 0.9146792515505245, 0.9291024700415749, 0.9151475556963362, 0.9239293794440854, 0.9283741793490435]","[0.9132073028775488, 0.9099571376429156, 0.9053300743157375, 0.9102305052143411, 0.9056948424912047, 0.8986444779872443, 0.9184137480098347, 0.8969430616153525, 0.9061716539510636, 0.9109670428328605]","[0.9183191256124633, 0.9163155674701718, 0.9101356639015304, 0.9161200583077331, 0.9120387080461415, 0.9054156220306968, 0.9227525587540362, 0.904407024127639, 0.9130616801538263, 0.9180870482022683]","[0.9195290424204784, 0.9180603818530176, 0.9117551035270588, 0.9169520978855246, 0.9157197364360706, 0.9062765728647404, 0.9238486463473772, 0.9064657160876376, 0.9160943651487301, 0.920533014019277]","[0.9166666666666666, 0.9142156862745098, 0.9093137254901961, 0.9142156862745098, 0.9119804400977995, 0.902200488997555, 0.921760391198044, 0.902200488997555, 0.9119804400977995, 0.9168704156479217]","[0.9169898573114084, 0.9146350629761475, 0.909465319076783, 0.914564030539603, 0.9119466429127132, 0.9029365927315884, 0.9218828362791079, 0.9026204738584694, 0.9121411370420862, 0.9170653917702798]","[array([[ 95,   0,   0,   5],
       [  7,  75,   0,   3],
       [  0,   0,  79,  10],
       [  0,   0,   9, 125]]), array([[ 96,   0,   0,   4],
       [  5,  74,   0,   6],
       [  0,   0,  78,  11],
       [  0,   0,   9, 125]]), array([[ 96,   1,   0,   4],
       [  8,  73,   0,   3],
       [  0,   0,  78,  11],
       [  0,   0,  10, 124]]), array([[ 94,   1,   0,   6],
       [  6,  76,   0,   2],
       [  0,   0,  77,  12],
       [  0,   0,   8, 126]]), array([[ 97,   0,   0,   4],
       [  8,  71,   1,   4],
       [  0,   0,  78,  11],
       [  0,   0,   8, 127]]), array([[ 93,   1,   0,   7],
       [  5,  75,   0,   4],
       [  0,   0,  77,  13],
       [  0,   0,  10, 124]]), array([[ 98,   0,   0,   3],
       [  7,  76,   0,   2],
       [  0,   0,  78,  11],
       [  0,   0,   9, 125]]), array([[ 95,   1,   0,   5],
       [  5,  76,   0,   4],
       [  0,   0,  73,  16],
       [  0,   0,   9, 125]]), array([[ 97,   0,   0,   4],
       [  7,  73,   0,   5],
       [  0,   0,  77,  12],
       [  0,   0,   8, 126]]), array([[ 95,   1,   0,   5],
       [  6,  76,   0,   3],
       [  0,   0,  76,  13],
       [  0,   0,   6, 128]])]","[0.6086956521739131, 0.8043478260869565, 0.6956521739130435, 0.8260869565217391, 0.6888888888888889, 0.8666666666666667, 0.7333333333333333, 0.7555555555555555, 0.6888888888888889, 0.7555555555555555]","[0.6086956521739131, 0.8043478260869565, 0.6956521739130435, 0.8260869565217391, 0.6888888888888889, 0.8666666666666667, 0.7333333333333333, 0.7555555555555555, 0.6888888888888889, 0.7555555555555555]","[0.6086956521739131, 0.8043478260869565, 0.6956521739130435, 0.8260869565217391, 0.6888888888888889, 0.8666666666666667, 0.7333333333333333, 0.7555555555555555, 0.6888888888888889, 0.7555555555555555]","[0.6086956521739131, 0.8043478260869565, 0.6956521739130435, 0.8260869565217391, 0.6888888888888889, 0.8666666666666667, 0.7333333333333333, 0.7555555555555555, 0.6888888888888889, 0.7555555555555555]","[0.699134199134199, 0.8333333333333334, 0.6944444444444444, 0.853203781512605, 0.6868686868686869, 0.9125, 0.7135642135642135, 0.8188131313131313, 0.7291666666666666, 0.7904970760233918]","[0.5833333333333334, 0.7944444444444444, 0.6840909090909091, 0.8106060606060606, 0.6805194805194805, 0.8462121212121212, 0.7012626262626263, 0.7363636363636363, 0.6795454545454546, 0.7452020202020202]","[0.5945479641131814, 0.8082635566188198, 0.6878275632981472, 0.8190767973856209, 0.6813218390804598, 0.8654135338345865, 0.7031499202551834, 0.7576102418207682, 0.6938977879481312, 0.7608036635706914]","[0.6747600225861096, 0.817632850241546, 0.6980676328502416, 0.846958348556814, 0.6930190796857463, 0.8922222222222221, 0.7241622574955908, 0.7929854096520763, 0.7104938271604939, 0.7720207927225472]","[0.6086956521739131, 0.8043478260869565, 0.6956521739130435, 0.8260869565217391, 0.6888888888888889, 0.8666666666666667, 0.7333333333333333, 0.7555555555555555, 0.6888888888888889, 0.7555555555555555]","[0.6027995319110631, 0.8056870189307258, 0.6954949114355498, 0.8247406933788007, 0.6886079182630906, 0.865764411027569, 0.7243487506645401, 0.7537727200885096, 0.6904856343757946, 0.7566076138057564]","[array([[ 8,  0,  0,  4],
       [ 3,  3,  1,  2],
       [ 0,  0,  6,  4],
       [ 0,  0,  4, 11]]), array([[10,  0,  0,  2],
       [ 1,  7,  0,  1],
       [ 1,  0,  7,  2],
       [ 0,  0,  2, 13]]), array([[ 7,  3,  0,  1],
       [ 3,  6,  1,  0],
       [ 0,  0,  7,  3],
       [ 2,  0,  1, 12]]), array([[10,  1,  0,  0],
       [ 2,  7,  0,  1],
       [ 1,  0,  7,  2],
       [ 1,  0,  0, 14]]), array([[ 7,  2,  1,  1],
       [ 2,  7,  1,  0],
       [ 0,  1,  6,  3],
       [ 0,  1,  2, 11]]), array([[ 9,  0,  0,  2],
       [ 0,  9,  0,  1],
       [ 1,  0,  6,  2],
       [ 0,  0,  0, 15]]), array([[ 8,  2,  1,  0],
       [ 2,  4,  0,  3],
       [ 1,  1,  7,  1],
       [ 0,  0,  1, 14]]), array([[ 6,  0,  0,  5],
       [ 2,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[ 9,  0,  0,  2],
       [ 1,  6,  1,  1],
       [ 1,  0,  5,  4],
       [ 1,  0,  3, 11]]), array([[ 7,  0,  0,  4],
       [ 1,  7,  0,  1],
       [ 2,  0,  7,  1],
       [ 0,  0,  2, 13]])]"
3,"[0.8995098039215687, 0.9044117647058824, 0.8921568627450981, 0.8872549019607843, 0.8899755501222494, 0.8997555012224939, 0.9070904645476773, 0.8973105134474327, 0.8997555012224939, 0.8973105134474327]","[0.8995098039215687, 0.9044117647058824, 0.8921568627450981, 0.8872549019607843, 0.8899755501222494, 0.8997555012224939, 0.9070904645476773, 0.8973105134474327, 0.8997555012224939, 0.8973105134474327]","[0.8995098039215687, 0.9044117647058824, 0.8921568627450981, 0.8872549019607843, 0.8899755501222494, 0.8997555012224939, 0.9070904645476773, 0.8973105134474327, 0.8997555012224939, 0.8973105134474327]","[0.8995098039215687, 0.9044117647058824, 0.8921568627450981, 0.8872549019607843, 0.8899755501222494, 0.8997555012224939, 0.9070904645476773, 0.8973105134474327, 0.8997555012224939, 0.8973105134474327]","[0.9244128810944667, 0.9278449048538334, 0.918495514147688, 0.9153851899274434, 0.9115038611575512, 0.9211727475800446, 0.9253663615209446, 0.9197088320284769, 0.9211540491157709, 0.9227271709956598]","[0.8882380809107141, 0.8958302670388967, 0.8783951262630635, 0.8752232947115415, 0.8789999505568535, 0.8908052265780948, 0.8997310877766806, 0.887621181424453, 0.8907639114277903, 0.8868100520087423]","[0.9006358806827391, 0.9075102635766432, 0.8910256441412724, 0.8888788186991463, 0.8902924792242163, 0.9017462348963516, 0.909494116648732, 0.8990919412634816, 0.9019746514584257, 0.8991428619213273]","[0.9111159418299858, 0.9145712170003136, 0.9050636679792691, 0.9007148849723415, 0.8992837495807744, 0.9087616006447146, 0.9141292022907292, 0.9070528158772951, 0.9088529407452897, 0.9089738406289709]","[0.8995098039215687, 0.9044117647058824, 0.8921568627450981, 0.8872549019607843, 0.8899755501222494, 0.8997555012224939, 0.9070904645476773, 0.8973105134474327, 0.8997555012224939, 0.8973105134474327]","[0.8995710430333625, 0.9049791585308059, 0.8913856630701366, 0.8874029098923051, 0.8897757463714293, 0.8999322636800083, 0.9074626611730897, 0.8975338252347147, 0.9002187882690607, 0.8974088085640652]","[array([[ 93,   0,   0,   7],
       [  8,  73,   0,   4],
       [  0,   0,  70,  19],
       [  1,   0,   2, 131]]), array([[ 94,   0,   0,   6],
       [  3,  76,   0,   6],
       [  0,   0,  70,  19],
       [  1,   0,   4, 129]]), array([[ 96,   0,   0,   5],
       [ 11,  69,   0,   4],
       [  0,   0,  68,  21],
       [  1,   0,   2, 131]]), array([[ 93,   0,   0,   8],
       [  7,  72,   0,   5],
       [  0,   0,  67,  22],
       [  0,   0,   4, 130]]), array([[ 95,   0,   0,   6],
       [ 10,  70,   0,   4],
       [  0,   0,  70,  19],
       [  1,   0,   5, 129]]), array([[ 94,   0,   0,   7],
       [  7,  74,   0,   3],
       [  0,   0,  71,  19],
       [  1,   0,   4, 129]]), array([[ 95,   0,   0,   6],
       [  5,  76,   0,   4],
       [  0,   0,  72,  17],
       [  1,   0,   5, 128]]), array([[ 94,   0,   0,   7],
       [  7,  74,   0,   4],
       [  0,   0,  70,  19],
       [  1,   0,   4, 129]]), array([[ 93,   0,   0,   8],
       [  7,  74,   0,   4],
       [  0,   0,  72,  17],
       [  1,   0,   4, 129]]), array([[ 94,   0,   0,   7],
       [  6,  75,   0,   4],
       [  0,   0,  68,  21],
       [  1,   0,   3, 130]])]","[0.7391304347826086, 0.8260869565217391, 0.782608695652174, 0.782608695652174, 0.7555555555555555, 0.8, 0.8, 0.7111111111111111, 0.7777777777777778, 0.7777777777777778]","[0.7391304347826086, 0.8260869565217391, 0.782608695652174, 0.782608695652174, 0.7555555555555555, 0.8, 0.8, 0.7111111111111111, 0.7777777777777778, 0.7777777777777778]","[0.7391304347826086, 0.8260869565217391, 0.782608695652174, 0.782608695652174, 0.7555555555555555, 0.8, 0.8, 0.7111111111111111, 0.7777777777777778, 0.7777777777777778]","[0.7391304347826085, 0.8260869565217391, 0.782608695652174, 0.782608695652174, 0.7555555555555555, 0.8000000000000002, 0.8000000000000002, 0.7111111111111111, 0.7777777777777778, 0.7777777777777778]","[0.796875, 0.8831168831168832, 0.8125, 0.8583333333333334, 0.7512626262626263, 0.8337301587301587, 0.8073232323232323, 0.8087121212121213, 0.7905416951469584, 0.7850076394194041]","[0.7041666666666666, 0.8069444444444445, 0.7545454545454545, 0.7583333333333333, 0.746103896103896, 0.7818181818181817, 0.7767676767676768, 0.6739898989898989, 0.7545454545454546, 0.7674242424242425]","[0.7026087947140577, 0.8286178601875531, 0.7641045548654244, 0.7657051282051281, 0.7479252598581092, 0.7980263157894736, 0.7833333333333334, 0.6941287878787878, 0.7633689839572193, 0.7715773809523809]","[0.7795893719806763, 0.8594014680971204, 0.8043478260869565, 0.8384057971014492, 0.7550617283950618, 0.8195767195767195, 0.8037037037037037, 0.7796296296296297, 0.7860902255639097, 0.7792598251421781]","[0.7391304347826086, 0.8260869565217391, 0.782608695652174, 0.782608695652174, 0.7555555555555555, 0.8, 0.8, 0.7111111111111111, 0.7777777777777778, 0.7777777777777778]","[0.7198950934648873, 0.8261217057711553, 0.7746196777387703, 0.7711817168338907, 0.754547287759629, 0.7993567251461988, 0.793939393939394, 0.7012820512820512, 0.7725490196078432, 0.7742724867724868]","[array([[11,  0,  0,  1],
       [ 5,  3,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[ 9,  0,  0,  3],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  0, 15]]), array([[ 9,  2,  0,  0],
       [ 3,  6,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  0, 15]]), array([[11,  0,  0,  0],
       [ 3,  5,  0,  2],
       [ 0,  0,  6,  4],
       [ 1,  0,  0, 14]]), array([[ 8,  3,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[ 8,  1,  0,  2],
       [ 1,  8,  0,  1],
       [ 0,  0,  6,  3],
       [ 0,  0,  1, 14]]), array([[ 9,  1,  1,  0],
       [ 2,  5,  0,  2],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[ 9,  0,  0,  2],
       [ 2,  4,  0,  3],
       [ 0,  0,  5,  5],
       [ 0,  0,  1, 14]]), array([[ 9,  2,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  1, 14]]), array([[ 7,  1,  0,  3],
       [ 3,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]])]"
4,"[0.7598039215686274, 0.7549019607843137, 0.7524509803921569, 0.7328431372549019, 0.7432762836185819, 0.7579462102689487, 0.7872860635696821, 0.7555012224938875, 0.7457212713936431, 0.7530562347188264]","[0.7598039215686274, 0.7549019607843137, 0.7524509803921569, 0.7328431372549019, 0.7432762836185819, 0.7579462102689487, 0.7872860635696821, 0.7555012224938875, 0.7457212713936431, 0.7530562347188264]","[0.7598039215686274, 0.7549019607843137, 0.7524509803921569, 0.7328431372549019, 0.7432762836185819, 0.7579462102689487, 0.7872860635696821, 0.7555012224938875, 0.7457212713936431, 0.7530562347188264]","[0.7598039215686274, 0.7549019607843137, 0.7524509803921569, 0.7328431372549018, 0.743276283618582, 0.7579462102689487, 0.7872860635696821, 0.7555012224938874, 0.745721271393643, 0.7530562347188264]","[0.8913984566158479, 0.8931623931623931, 0.8925531914893617, 0.8878600823045267, 0.8871811310568227, 0.8937768240343348, 0.8938013037180106, 0.8931623931623931, 0.8907563025210083, 0.8925531914893617]","[0.7307732980832783, 0.7263912756113682, 0.7247935969359376, 0.7036566517807479, 0.7133897779826137, 0.7303355335533553, 0.7616580395646967, 0.7277482936661148, 0.7169154456754334, 0.7241396347169416]","[0.7677237991925345, 0.7645799177056932, 0.7626947131835686, 0.7420925446805466, 0.75206121056387, 0.7679996128458209, 0.7944243723028059, 0.7655200254939997, 0.7555313362012352, 0.7621553295415742]","[0.8585351136502033, 0.859644712585889, 0.8588443888193577, 0.8526789316549666, 0.8523867918519767, 0.8607930994679791, 0.86401009870856, 0.8599878795477818, 0.8568346654065049, 0.8591895125630756]","[0.7598039215686274, 0.7549019607843137, 0.7524509803921569, 0.7328431372549019, 0.7432762836185819, 0.7579462102689487, 0.7872860635696821, 0.7555012224938875, 0.7457212713936431, 0.7530562347188264]","[0.764768466775322, 0.7607113988303459, 0.7580601124680333, 0.737466910824367, 0.74819290641622, 0.7638755712629743, 0.7913555022819609, 0.7613562139602831, 0.7515268648883142, 0.758723591984473]","[array([[ 68,   0,   0,  32],
       [  1,  56,   0,  28],
       [  0,   0,  52,  37],
       [  0,   0,   0, 134]]), array([[ 64,   0,   0,  36],
       [  0,  56,   0,  29],
       [  0,   0,  54,  35],
       [  0,   0,   0, 134]]), array([[ 62,   0,   0,  39],
       [  0,  57,   0,  27],
       [  0,   0,  54,  35],
       [  0,   0,   0, 134]]), array([[ 58,   0,   0,  43],
       [  0,  57,   0,  27],
       [  0,   0,  50,  39],
       [  0,   0,   0, 134]]), array([[ 61,   0,   0,  40],
       [  1,  54,   0,  29],
       [  0,   0,  54,  35],
       [  0,   0,   0, 135]]), array([[ 65,   0,   0,  36],
       [  0,  56,   0,  28],
       [  0,   0,  55,  35],
       [  0,   0,   0, 134]]), array([[ 73,   0,   0,  28],
       [  3,  60,   0,  22],
       [  0,   0,  55,  34],
       [  0,   0,   0, 134]]), array([[ 64,   0,   0,  37],
       [  0,  57,   0,  28],
       [  0,   0,  54,  35],
       [  0,   0,   0, 134]]), array([[ 62,   0,   0,  39],
       [  0,  55,   0,  30],
       [  0,   0,  54,  35],
       [  0,   0,   0, 134]]), array([[ 66,   0,   0,  35],
       [  0,  56,   0,  29],
       [  0,   0,  52,  37],
       [  0,   0,   0, 134]])]","[0.6086956521739131, 0.6304347826086957, 0.5869565217391305, 0.6304347826086957, 0.6444444444444445, 0.6666666666666666, 0.5555555555555556, 0.5333333333333333, 0.5777777777777777, 0.5777777777777777]","[0.6086956521739131, 0.6304347826086957, 0.5869565217391305, 0.6304347826086957, 0.6444444444444445, 0.6666666666666666, 0.5555555555555556, 0.5333333333333333, 0.5777777777777777, 0.5777777777777777]","[0.6086956521739131, 0.6304347826086957, 0.5869565217391305, 0.6304347826086957, 0.6444444444444445, 0.6666666666666666, 0.5555555555555556, 0.5333333333333333, 0.5777777777777777, 0.5777777777777777]","[0.6086956521739131, 0.6304347826086957, 0.5869565217391305, 0.6304347826086957, 0.6444444444444445, 0.6666666666666666, 0.5555555555555556, 0.5333333333333333, 0.5777777777777777, 0.5777777777777777]","[0.8084677419354839, 0.7916666666666667, 0.7671875, 0.8125, 0.7298534798534798, 0.875, 0.8102941176470588, 0.743560606060606, 0.7173611111111111, 0.6776785714285714]","[0.5597222222222222, 0.5902777777777778, 0.5386363636363636, 0.5863636363636363, 0.6136363636363636, 0.632070707070707, 0.4964646464646465, 0.4825757575757576, 0.5525252525252526, 0.5292929292929293]","[0.5676780593660389, 0.6156517094017093, 0.5586816109422492, 0.5953947368421052, 0.6253676470588235, 0.6582633053221288, 0.5106369820655534, 0.5029761904761905, 0.5863408521303257, 0.5390802587865011]","[0.7773492286115007, 0.7572463768115942, 0.7398097826086957, 0.7771739130434783, 0.7151404151404153, 0.8333333333333334, 0.769281045751634, 0.7036363636363636, 0.6787037037037037, 0.6524603174603174]","[0.6086956521739131, 0.6304347826086957, 0.5869565217391305, 0.6304347826086957, 0.6444444444444445, 0.6666666666666666, 0.5555555555555556, 0.5333333333333333, 0.5777777777777777, 0.5777777777777777]","[0.5821918731403887, 0.6185897435897436, 0.5687772565085238, 0.6039282990083905, 0.6311764705882352, 0.6528478057889823, 0.5256977942692228, 0.5119047619047619, 0.5805068226120856, 0.5510209632608654]","[array([[ 5,  0,  0,  7],
       [ 0,  2,  2,  5],
       [ 0,  0,  6,  4],
       [ 0,  0,  0, 15]]), array([[ 5,  0,  0,  7],
       [ 1,  4,  1,  3],
       [ 0,  0,  5,  5],
       [ 0,  0,  0, 15]]), array([[ 5,  2,  0,  4],
       [ 0,  3,  0,  7],
       [ 0,  0,  4,  6],
       [ 0,  0,  0, 15]]), array([[ 6,  0,  0,  5],
       [ 2,  2,  0,  6],
       [ 0,  0,  6,  4],
       [ 0,  0,  0, 15]]), array([[ 5,  2,  0,  4],
       [ 1,  5,  1,  3],
       [ 0,  0,  5,  5],
       [ 0,  0,  0, 14]]), array([[ 3,  0,  0,  8],
       [ 0,  7,  0,  3],
       [ 0,  0,  5,  4],
       [ 0,  0,  0, 15]]), array([[ 4,  0,  1,  6],
       [ 0,  2,  0,  7],
       [ 0,  0,  4,  6],
       [ 0,  0,  0, 15]]), array([[ 4,  0,  0,  7],
       [ 1,  3,  0,  5],
       [ 0,  0,  3,  7],
       [ 0,  0,  1, 14]]), array([[ 5,  0,  0,  6],
       [ 1,  5,  0,  3],
       [ 0,  0,  4,  6],
       [ 2,  0,  1, 12]]), array([[ 3,  1,  0,  7],
       [ 2,  4,  0,  3],
       [ 3,  0,  4,  3],
       [ 0,  0,  0, 15]])]"
