max_features value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
None,"[0.9059080962800875, 0.9148471615720524, 0.9047619047619048, 0.8845315904139434, 0.9172113289760349, 0.9092872570194385, 0.9150326797385621, 0.8995633187772926, 0.9080962800875274, 0.9128540305010894]","[0.9059080962800875, 0.9148471615720524, 0.9047619047619048, 0.8845315904139434, 0.9172113289760349, 0.9092872570194385, 0.9150326797385621, 0.8995633187772926, 0.9080962800875274, 0.9128540305010894]","[0.9059080962800875, 0.9148471615720524, 0.9047619047619048, 0.8845315904139434, 0.9172113289760349, 0.9092872570194385, 0.9150326797385621, 0.8995633187772926, 0.9080962800875274, 0.9128540305010894]","[0.9059080962800875, 0.9148471615720524, 0.9047619047619048, 0.8845315904139434, 0.9172113289760349, 0.9092872570194385, 0.9150326797385621, 0.8995633187772926, 0.9080962800875274, 0.9128540305010894]","[0.908211671786303, 0.9140520029167626, 0.9044659767316017, 0.8936549247998166, 0.9138689440464908, 0.9063031935996084, 0.9102020399730324, 0.8976867334678065, 0.9086792250935625, 0.9110576240958691]","[0.9005353848733859, 0.9134344351898435, 0.9031347726968046, 0.8766983397987627, 0.9149631642408469, 0.9055026560410746, 0.9136768014662722, 0.8947610927451961, 0.9065681332059625, 0.9174269457523202]","[0.9034127118664108, 0.9128863633596338, 0.9027725475486035, 0.8816871743536125, 0.9141155567336177, 0.9056180433897825, 0.9115737859122158, 0.8940331827929112, 0.9075454896681217, 0.9121259517731252]","[0.907380339826607, 0.9164446918964668, 0.9073322803639362, 0.8900400106702893, 0.9180078624454843, 0.9097047423465757, 0.9163404568117768, 0.9030347871615567, 0.9081831547139538, 0.9177694699748102]","[0.9059080962800875, 0.9148471615720524, 0.9047619047619048, 0.8845315904139434, 0.9172113289760349, 0.9092872570194385, 0.9150326797385621, 0.8995633187772926, 0.9080962800875274, 0.9128540305010894]","[0.9057834417889664, 0.9146582124548155, 0.9050317890394988, 0.8844223529287886, 0.9173501010127677, 0.9092455919341073, 0.915334461776973, 0.8994174562859332, 0.9080757621583765, 0.9131559875883486]","[array([[ 89,  10,   0,   1],
       [  7, 121,   0,   6],
       [  5,   0,  76,   8],
       [  2,   0,   4, 128]]), array([[ 93,   7,   0,   0],
       [  4, 130,   0,   1],
       [  4,   2,  79,   4],
       [  2,   6,   9, 117]]), array([[ 94,   3,   0,   4],
       [ 11, 123,   0,   4],
       [  4,   0,  77,   8],
       [  1,   2,   7, 124]]), array([[ 90,  10,   0,   1],
       [ 12, 120,   0,   3],
       [  5,   0,  70,  14],
       [  3,   4,   1, 126]]), array([[ 90,   6,   4,   1],
       [  5, 123,   2,   4],
       [  2,   1,  81,   5],
       [  0,   1,   7, 127]]), array([[ 93,   6,   1,   1],
       [  6, 127,   2,   3],
       [  5,   0,  77,   8],
       [  2,   2,   6, 124]]), array([[ 94,   5,   2,   0],
       [  8, 125,   2,   0],
       [  2,   0,  79,   8],
       [  4,   1,   7, 122]]), array([[ 97,   3,   0,   1],
       [ 10, 122,   1,   1],
       [  8,   2,  71,   8],
       [  3,   2,   7, 122]]), array([[ 92,   8,   0,   1],
       [  3, 122,   0,   8],
       [  5,   1,  79,   4],
       [  2,   3,   7, 122]]), array([[ 97,   3,   1,   0],
       [ 10, 124,   0,   1],
       [  4,   1,  83,   1],
       [  4,   6,   9, 115]])]","[0.6086956521739131, 0.717391304347826, 0.6086956521739131, 0.717391304347826, 0.7333333333333333, 0.7333333333333333, 0.6888888888888889, 0.6444444444444445, 0.6888888888888889, 0.6888888888888889]","[0.6086956521739131, 0.717391304347826, 0.6086956521739131, 0.717391304347826, 0.7333333333333333, 0.7333333333333333, 0.6888888888888889, 0.6444444444444445, 0.6888888888888889, 0.6888888888888889]","[0.6086956521739131, 0.717391304347826, 0.6086956521739131, 0.717391304347826, 0.7333333333333333, 0.7333333333333333, 0.6888888888888889, 0.6444444444444445, 0.6888888888888889, 0.6888888888888889]","[0.6086956521739131, 0.717391304347826, 0.6086956521739131, 0.717391304347826, 0.7333333333333333, 0.7333333333333333, 0.6888888888888889, 0.6444444444444445, 0.6888888888888889, 0.6888888888888889]","[0.6446078431372548, 0.7286324786324787, 0.5845238095238094, 0.7951388888888888, 0.7211038961038961, 0.7274475524475524, 0.6939102564102564, 0.6606227106227107, 0.6760249554367201, 0.7046037296037296]","[0.6291666666666665, 0.6986111111111111, 0.5909090909090909, 0.7022727272727272, 0.7256493506493507, 0.7396464646464647, 0.6656565656565656, 0.6494949494949495, 0.6702020202020202, 0.6941919191919192]","[0.614231078904992, 0.6945135566188196, 0.566679292929293, 0.7032637675018099, 0.7226190476190476, 0.7305194805194806, 0.6693181818181817, 0.638992474916388, 0.6622159090909091, 0.6788770053475935]","[0.6601662404092071, 0.7269788182831661, 0.593167701863354, 0.785024154589372, 0.7305050505050505, 0.7386169386169387, 0.6914529914529914, 0.6750508750508751, 0.6858783917607446, 0.7126392126392127]","[0.6086956521739131, 0.717391304347826, 0.6086956521739131, 0.717391304347826, 0.7333333333333333, 0.7333333333333333, 0.6888888888888889, 0.6444444444444445, 0.6888888888888889, 0.6888888888888889]","[0.6089406987327591, 0.7048498717148604, 0.581477821695213, 0.7106776872700363, 0.7312169312169312, 0.7330158730158729, 0.6805723905723906, 0.6423095503530286, 0.6775, 0.6818379877203407]","[array([[9, 3, 0, 0],
       [2, 6, 1, 0],
       [1, 0, 7, 2],
       [0, 0, 9, 6]]), array([[ 9,  2,  0,  1],
       [ 2,  7,  0,  0],
       [ 2,  0,  4,  4],
       [ 0,  1,  1, 13]]), array([[ 4,  6,  0,  1],
       [ 0,  9,  0,  1],
       [ 3,  0,  3,  4],
       [ 0,  0,  3, 12]]), array([[10,  0,  0,  1],
       [ 5,  4,  0,  1],
       [ 1,  0,  7,  2],
       [ 2,  0,  1, 12]]), array([[ 6,  3,  2,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  1, 12]]), array([[ 7,  3,  0,  1],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  1],
       [ 1,  0,  3, 11]]), array([[ 9,  1,  1,  0],
       [ 3,  4,  0,  2],
       [ 0,  0,  6,  4],
       [ 1,  1,  1, 12]]), array([[10,  1,  0,  0],
       [ 4,  5,  0,  0],
       [ 1,  1,  6,  2],
       [ 0,  0,  7,  8]]), array([[ 7,  3,  0,  1],
       [ 2,  7,  0,  0],
       [ 2,  1,  4,  3],
       [ 0,  0,  2, 13]]), array([[ 5,  4,  1,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  3, 11]])]"
sqrt,"[0.838074398249453, 0.8013100436681223, 0.8138528138528138, 0.8148148148148148, 0.775599128540305, 0.8077753779697624, 0.8061002178649237, 0.7925764192139738, 0.7964989059080962, 0.8082788671023965]","[0.838074398249453, 0.8013100436681223, 0.8138528138528138, 0.8148148148148148, 0.775599128540305, 0.8077753779697624, 0.8061002178649237, 0.7925764192139738, 0.7964989059080962, 0.8082788671023965]","[0.838074398249453, 0.8013100436681223, 0.8138528138528138, 0.8148148148148148, 0.775599128540305, 0.8077753779697624, 0.8061002178649237, 0.7925764192139738, 0.7964989059080962, 0.8082788671023965]","[0.838074398249453, 0.8013100436681223, 0.8138528138528138, 0.8148148148148148, 0.775599128540305, 0.8077753779697624, 0.8061002178649237, 0.7925764192139738, 0.7964989059080962, 0.8082788671023965]","[0.8424705914240798, 0.7930181941012187, 0.8067897295067172, 0.806134779676259, 0.7813558905243881, 0.8021057720575786, 0.7988585516895762, 0.7837475034373194, 0.7949200298058627, 0.8076894723633854]","[0.8329410531611605, 0.7926393159048701, 0.8029765367804672, 0.8039476801109592, 0.7844415547262145, 0.8002955697905937, 0.7979522189180179, 0.7811668241283293, 0.7865585637848446, 0.8068155071418596]","[0.8354341556870625, 0.7925581749771398, 0.8044533651568498, 0.8038503960878262, 0.7750411483962092, 0.7999780817141894, 0.7971049479727351, 0.782110395492106, 0.7886299106311139, 0.8038844140367623]","[0.8412983105304107, 0.8018283158764213, 0.8142031940709128, 0.8157515654143351, 0.7947468898682546, 0.8099036178194577, 0.8072199496764468, 0.7917184927590948, 0.79840403476252, 0.8138014264896901]","[0.838074398249453, 0.8013100436681223, 0.8138528138528138, 0.8148148148148148, 0.775599128540305, 0.8077753779697624, 0.8061002178649237, 0.7925764192139738, 0.7964989059080962, 0.8082788671023965]","[0.8377527050194968, 0.8013383769215581, 0.8136290275579626, 0.814241819532978, 0.777247297831714, 0.8077793068888665, 0.805454178674513, 0.7918112381917181, 0.7951217034113723, 0.8071414668461315]","[array([[ 87,   8,   3,   2],
       [ 11, 118,   1,   4],
       [  2,   8,  67,  12],
       [ 10,   9,   4, 111]]), array([[ 79,   9,   7,   5],
       [  8, 116,   4,   7],
       [  9,   4,  63,  13],
       [ 10,   4,  11, 109]]), array([[ 78,  10,   7,   6],
       [  5, 119,  10,   4],
       [  5,   6,  64,  14],
       [  5,   5,   9, 115]]), array([[ 84,  12,   3,   2],
       [ 13, 117,   2,   3],
       [ 11,   8,  60,  10],
       [  4,   2,  15, 113]]), array([[ 88,   8,   3,   2],
       [ 19, 102,   8,   5],
       [  8,   5,  72,   4],
       [ 20,   7,  14,  94]]), array([[ 83,  10,   3,   5],
       [ 12, 119,   1,   6],
       [ 13,   4,  64,   9],
       [  6,   6,  14, 108]]), array([[ 71,  13,   6,  11],
       [  7, 120,   7,   1],
       [  8,   4,  70,   7],
       [  4,   7,  14, 109]]), array([[ 73,   9,  12,   7],
       [ 10, 117,   0,   7],
       [  9,   6,  63,  11],
       [  2,   8,  14, 110]]), array([[ 76,  13,   6,   6],
       [  5, 121,   4,   3],
       [  6,  10,  63,  10],
       [  7,  12,  11, 104]]), array([[ 81,  11,   6,   3],
       [  8, 123,   0,   4],
       [  6,   7,  71,   5],
       [ 10,  13,  15,  96]])]","[0.5434782608695652, 0.43478260869565216, 0.5217391304347826, 0.5, 0.4666666666666667, 0.5777777777777777, 0.6, 0.4222222222222222, 0.5555555555555556, 0.4222222222222222]","[0.5434782608695652, 0.43478260869565216, 0.5217391304347826, 0.5, 0.4666666666666667, 0.5777777777777777, 0.6, 0.4222222222222222, 0.5555555555555556, 0.4222222222222222]","[0.5434782608695652, 0.43478260869565216, 0.5217391304347826, 0.5, 0.4666666666666667, 0.5777777777777777, 0.6, 0.4222222222222222, 0.5555555555555556, 0.4222222222222222]","[0.5434782608695652, 0.43478260869565216, 0.5217391304347826, 0.5, 0.4666666666666667, 0.5777777777777777, 0.6, 0.4222222222222222, 0.5555555555555556, 0.4222222222222222]","[0.5506993006993007, 0.4322871572871573, 0.4979166666666667, 0.49175824175824173, 0.4948412698412698, 0.5987554112554112, 0.5952380952380952, 0.4111111111111111, 0.6, 0.470734126984127]","[0.5472222222222223, 0.4375, 0.5098484848484849, 0.5090909090909091, 0.45876623376623377, 0.5691919191919191, 0.5825757575757575, 0.40808080808080804, 0.5590909090909091, 0.4492424242424242]","[0.5412124107776282, 0.4314745244883891, 0.4900403225806451, 0.49152031827223647, 0.46422689629211367, 0.5768329070758739, 0.5769973060994733, 0.406203007518797, 0.5591767881241565, 0.4268170426065163]","[0.5712982669504408, 0.4248917748917748, 0.5081521739130435, 0.4928332537028189, 0.5277601410934744, 0.6054593554593555, 0.6031746031746031, 0.4296296296296296, 0.5896296296296296, 0.4905202821869488]","[0.5434782608695652, 0.43478260869565216, 0.5217391304347826, 0.5, 0.4666666666666667, 0.5777777777777777, 0.6, 0.4222222222222222, 0.5555555555555556, 0.4222222222222222]","[0.5495122394933359, 0.4264821602341428, 0.5027699859747545, 0.48789206419807996, 0.4829474872953134, 0.5853651605569764, 0.5903528875665098, 0.4229741019214703, 0.554236017393912, 0.4181654135338345]","[array([[8, 3, 0, 1],
       [1, 5, 2, 1],
       [1, 2, 5, 2],
       [1, 3, 4, 7]]), array([[5, 1, 2, 4],
       [1, 6, 1, 1],
       [1, 1, 2, 6],
       [4, 2, 2, 7]]), array([[ 3,  5,  1,  2],
       [ 0,  8,  1,  1],
       [ 3,  1,  3,  3],
       [ 3,  1,  1, 10]]), array([[7, 1, 0, 3],
       [2, 7, 0, 1],
       [3, 2, 3, 2],
       [2, 3, 4, 6]]), array([[4, 4, 3, 0],
       [3, 5, 1, 1],
       [1, 5, 4, 0],
       [2, 0, 4, 8]]), array([[ 5,  1,  3,  2],
       [ 3,  6,  0,  1],
       [ 2,  0,  5,  2],
       [ 2,  0,  3, 10]]), array([[ 4,  4,  1,  2],
       [ 2,  6,  0,  1],
       [ 1,  1,  5,  3],
       [ 1,  1,  1, 12]]), array([[5, 1, 4, 1],
       [2, 4, 0, 3],
       [1, 4, 2, 3],
       [1, 3, 3, 8]]), array([[7, 0, 1, 3],
       [1, 6, 0, 2],
       [1, 3, 4, 2],
       [6, 1, 0, 8]]), array([[4, 5, 1, 1],
       [2, 6, 1, 0],
       [2, 2, 5, 1],
       [6, 3, 2, 4]])]"
log2,"[0.7943107221006565, 0.7969432314410481, 0.8246753246753247, 0.7908496732026143, 0.775599128540305, 0.8099352051835853, 0.8017429193899782, 0.7947598253275109, 0.7702407002188184, 0.7995642701525054]","[0.7943107221006565, 0.7969432314410481, 0.8246753246753247, 0.7908496732026143, 0.775599128540305, 0.8099352051835853, 0.8017429193899782, 0.7947598253275109, 0.7702407002188184, 0.7995642701525054]","[0.7943107221006565, 0.7969432314410481, 0.8246753246753247, 0.7908496732026143, 0.775599128540305, 0.8099352051835853, 0.8017429193899782, 0.7947598253275109, 0.7702407002188184, 0.7995642701525054]","[0.7943107221006565, 0.7969432314410481, 0.8246753246753247, 0.7908496732026143, 0.775599128540305, 0.8099352051835853, 0.8017429193899782, 0.7947598253275109, 0.7702407002188184, 0.7995642701525054]","[0.7913034543031688, 0.7997839403129752, 0.8188360234748459, 0.7967756824322407, 0.7741281082631727, 0.8092017263861889, 0.804352127694858, 0.7906791286030409, 0.7733782601920142, 0.7972532517987064]","[0.8021981385208787, 0.7895862913894944, 0.8225060452548691, 0.7829756161652277, 0.783349408505611, 0.8045898717061842, 0.8041840140467733, 0.7936269121629587, 0.7801284473064929, 0.8004593477403529]","[0.7930436671913945, 0.7904595958991559, 0.8197987019043491, 0.787796787590829, 0.7742120840296427, 0.8044378929182179, 0.80127862212576, 0.7908490413968501, 0.7719925328039536, 0.7964641624797875]","[0.7987409583527838, 0.806247307365906, 0.828836333644774, 0.793410330422546, 0.7829885299141843, 0.8118003047336311, 0.8112605304861087, 0.797801527194754, 0.7787244345394414, 0.8075981807413775]","[0.7943107221006565, 0.7969432314410481, 0.8246753246753247, 0.7908496732026143, 0.775599128540305, 0.8099352051835853, 0.8017429193899782, 0.7947598253275109, 0.7702407002188184, 0.7995642701525054]","[0.7927359610197287, 0.7978276049706833, 0.8258753148804557, 0.7900452418060452, 0.7745864799685989, 0.8084025756887053, 0.8035876002470719, 0.7948366726611825, 0.7694999963503696, 0.80123694034029]","[array([[ 81,   7,   8,   4],
       [  6, 114,   5,   9],
       [  4,   2,  78,   5],
       [ 19,  13,  12,  90]]), array([[ 83,  14,   3,   0],
       [ 16, 114,   3,   2],
       [ 11,   6,  61,  11],
       [ 12,   8,   7, 107]]), array([[ 82,   5,   8,   6],
       [ 14, 115,   3,   6],
       [  5,   4,  72,   8],
       [ 10,   3,   9, 112]]), array([[ 74,  12,   5,  10],
       [ 10, 118,   0,   7],
       [  1,  11,  66,  11],
       [  4,  14,  11, 105]]), array([[ 83,  11,   2,   5],
       [  9, 110,   8,   7],
       [  7,   3,  74,   5],
       [ 18,  11,  17,  89]]), array([[ 67,  11,   6,  17],
       [ 11, 113,   4,  10],
       [  3,   2,  77,   8],
       [  5,   3,   8, 118]]), array([[ 84,  11,   3,   3],
       [ 16, 109,   4,   6],
       [  8,   4,  72,   5],
       [ 16,   7,   8, 103]]), array([[ 78,   9,   8,   6],
       [ 13, 115,   2,   4],
       [  4,   7,  71,   7],
       [ 12,  10,  12, 100]]), array([[ 84,   7,   5,   5],
       [ 19, 104,   4,   6],
       [  5,   4,  75,   5],
       [ 14,  19,  12,  89]]), array([[ 84,   7,   4,   6],
       [ 15, 107,   9,   4],
       [  6,   3,  70,  10],
       [ 16,   4,   8, 106]])]","[0.43478260869565216, 0.5652173913043478, 0.45652173913043476, 0.5434782608695652, 0.5111111111111111, 0.6222222222222222, 0.5111111111111111, 0.5111111111111111, 0.4444444444444444, 0.4666666666666667]","[0.43478260869565216, 0.5652173913043478, 0.45652173913043476, 0.5434782608695652, 0.5111111111111111, 0.6222222222222222, 0.5111111111111111, 0.5111111111111111, 0.4444444444444444, 0.4666666666666667]","[0.43478260869565216, 0.5652173913043478, 0.45652173913043476, 0.5434782608695652, 0.5111111111111111, 0.6222222222222222, 0.5111111111111111, 0.5111111111111111, 0.4444444444444444, 0.4666666666666667]","[0.43478260869565216, 0.5652173913043478, 0.45652173913043476, 0.5434782608695652, 0.5111111111111111, 0.6222222222222222, 0.5111111111111111, 0.5111111111111111, 0.4444444444444444, 0.4666666666666667]","[0.4474431818181818, 0.5659271284271284, 0.4714285714285714, 0.5540674603174603, 0.5009920634920635, 0.6202380952380953, 0.5468514328808447, 0.5204545454545455, 0.43655303030303033, 0.46984126984126984]","[0.4527777777777777, 0.5486111111111112, 0.46590909090909094, 0.5325757575757576, 0.5301948051948052, 0.6196969696969696, 0.508080808080808, 0.5424242424242424, 0.45530303030303027, 0.46691919191919196]","[0.4302675585284281, 0.5538258038258038, 0.46136363636363636, 0.5304884669675958, 0.5086538461538461, 0.6152709359605911, 0.48094839942666034, 0.5139045736871823, 0.43891812577873957, 0.4637908496732026]","[0.46492094861660077, 0.5976143421795596, 0.48136645962732916, 0.5718599033816425, 0.4922398589065256, 0.6343915343915344, 0.5631221719457014, 0.5234343434343435, 0.43947811447811447, 0.4666666666666667]","[0.43478260869565216, 0.5652173913043478, 0.45652173913043476, 0.5434782608695652, 0.5111111111111111, 0.6222222222222222, 0.5111111111111111, 0.5111111111111111, 0.4444444444444444, 0.4666666666666667]","[0.42783190344627015, 0.577215055475925, 0.4603162055335968, 0.5459186735916791, 0.4952136752136752, 0.6241707717569785, 0.4966342835908053, 0.49848171152518983, 0.43470318636559047, 0.4624313725490196]","[array([[4, 4, 3, 1],
       [3, 4, 1, 1],
       [1, 1, 7, 1],
       [3, 2, 5, 5]]), array([[ 5,  5,  2,  0],
       [ 5,  4,  0,  0],
       [ 3,  0,  6,  1],
       [ 1,  0,  3, 11]]), array([[4, 4, 2, 1],
       [3, 5, 1, 1],
       [2, 0, 6, 2],
       [5, 1, 3, 6]]), array([[ 4,  4,  2,  1],
       [ 2,  6,  0,  2],
       [ 1,  3,  5,  1],
       [ 0,  3,  2, 10]]), array([[4, 2, 1, 4],
       [2, 5, 1, 2],
       [0, 0, 9, 1],
       [3, 3, 3, 5]]), array([[ 6,  1,  2,  2],
       [ 2,  6,  1,  1],
       [ 1,  1,  6,  1],
       [ 0,  2,  3, 10]]), array([[5, 4, 0, 2],
       [2, 7, 0, 0],
       [4, 2, 2, 2],
       [1, 4, 1, 9]]), array([[7, 2, 0, 2],
       [2, 6, 0, 1],
       [1, 2, 6, 1],
       [1, 5, 5, 4]]), array([[5, 1, 1, 4],
       [1, 3, 3, 2],
       [1, 2, 7, 0],
       [5, 2, 3, 5]]), array([[6, 3, 0, 2],
       [2, 5, 1, 1],
       [2, 0, 3, 5],
       [4, 1, 3, 7]])]"
