ccp_alpha value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
0.0,"[0.7965686274509803, 0.8406862745098039, 0.8382352941176471, 0.8431372549019608, 0.8190709046454768, 0.80440097799511, 0.8141809290953546, 0.8141809290953546, 0.8312958435207825, 0.80440097799511]","[0.7965686274509803, 0.8406862745098039, 0.8382352941176471, 0.8431372549019608, 0.8190709046454768, 0.80440097799511, 0.8141809290953546, 0.8141809290953546, 0.8312958435207825, 0.80440097799511]","[0.7965686274509803, 0.8406862745098039, 0.8382352941176471, 0.8431372549019608, 0.8190709046454768, 0.80440097799511, 0.8141809290953546, 0.8141809290953546, 0.8312958435207825, 0.80440097799511]","[0.7965686274509803, 0.8406862745098039, 0.8382352941176471, 0.8431372549019607, 0.8190709046454768, 0.80440097799511, 0.8141809290953546, 0.8141809290953546, 0.8312958435207825, 0.80440097799511]","[0.8012654705255161, 0.8361204410207732, 0.8338364612540337, 0.8448557623388769, 0.8222939645252729, 0.8039083254425419, 0.8351067946138369, 0.8165594821927689, 0.8265781516118489, 0.8005583719399509]","[0.7890201832871334, 0.8402858805772855, 0.839302733428514, 0.8394273477502274, 0.8105685240808725, 0.7961747134201693, 0.8033228130450338, 0.8039280840859929, 0.8311588322123489, 0.7983219589135916]","[0.7932439425458873, 0.8368288285805708, 0.8356871671186723, 0.841908347247655, 0.8150718383091747, 0.799080748977384, 0.8113159051273724, 0.8082763931295144, 0.8283030202499204, 0.7990297283695033]","[0.7988908485787903, 0.8435970840333749, 0.8414191541484962, 0.8433629610328197, 0.8205254273993848, 0.803907881505136, 0.8290315314661882, 0.8153649714478295, 0.8329509852266735, 0.8050222135442828]","[0.7965686274509803, 0.8406862745098039, 0.8382352941176471, 0.8431372549019608, 0.8190709046454768, 0.80440097799511, 0.8141809290953546, 0.8141809290953546, 0.8312958435207825, 0.80440097799511]","[0.7960149067849048, 0.8408553464756845, 0.8388279837485026, 0.8430049219422342, 0.818535292477885, 0.8031825599402267, 0.8145463710536971, 0.8125565728379409, 0.8315611117083263, 0.8043338413580224]","[array([[ 76,   7,   6,  11],
       [ 19,  61,   0,   5],
       [  2,   1,  73,  13],
       [  5,   2,  12, 115]]), array([[ 78,  14,   5,   3],
       [ 10,  71,   1,   3],
       [  0,   2,  79,   8],
       [  2,   4,  13, 115]]), array([[ 86,   8,   5,   2],
       [  9,  72,   1,   2],
       [  7,   2,  73,   7],
       [  6,   7,  10, 111]]), array([[ 85,   8,   3,   5],
       [  9,  71,   1,   3],
       [  2,   1,  71,  15],
       [  5,   1,  11, 117]]), array([[ 84,   8,   2,   7],
       [ 15,  63,   1,   5],
       [  5,   0,  70,  14],
       [  3,   3,  11, 118]]), array([[ 74,  11,   7,   9],
       [ 16,  62,   0,   6],
       [  3,   0,  75,  12],
       [  3,   3,  10, 118]]), array([[ 88,   3,   3,   7],
       [ 24,  58,   0,   3],
       [  4,   0,  70,  15],
       [ 10,   2,   5, 117]]), array([[ 72,  14,   2,  13],
       [ 15,  65,   1,   4],
       [  2,   1,  73,  13],
       [  0,   4,   7, 123]]), array([[ 82,  12,   4,   3],
       [ 10,  69,   1,   5],
       [  5,   0,  77,   7],
       [  2,   5,  15, 112]]), array([[ 83,   9,   4,   5],
       [ 16,  64,   1,   4],
       [  6,   3,  69,  11],
       [  3,   4,  14, 113]])]","[0.6739130434782609, 0.7391304347826086, 0.6304347826086957, 0.6521739130434783, 0.7111111111111111, 0.6666666666666666, 0.5333333333333333, 0.5555555555555556, 0.6666666666666666, 0.5333333333333333]","[0.6739130434782609, 0.7391304347826086, 0.6304347826086957, 0.6521739130434783, 0.7111111111111111, 0.6666666666666666, 0.5333333333333333, 0.5555555555555556, 0.6666666666666666, 0.5333333333333333]","[0.6739130434782609, 0.7391304347826086, 0.6304347826086957, 0.6521739130434783, 0.7111111111111111, 0.6666666666666666, 0.5333333333333333, 0.5555555555555556, 0.6666666666666666, 0.5333333333333333]","[0.6739130434782609, 0.7391304347826085, 0.6304347826086957, 0.6521739130434783, 0.7111111111111111, 0.6666666666666666, 0.5333333333333333, 0.5555555555555556, 0.6666666666666666, 0.5333333333333333]","[0.6907852564102565, 0.7549603174603176, 0.6284722222222222, 0.6567460317460317, 0.7024475524475524, 0.6668258212375859, 0.5094405594405594, 0.5434466848940533, 0.6431818181818182, 0.5411027568922305]","[0.6569444444444444, 0.7166666666666667, 0.6234848484848484, 0.6409090909090909, 0.7077922077922078, 0.6446969696969697, 0.5146464646464647, 0.5242424242424242, 0.6474747474747475, 0.5242424242424242]","[0.6593674067867616, 0.7219979775126834, 0.6246770502694323, 0.639819245082403, 0.7037037037037037, 0.6519886363636364, 0.5048534798534798, 0.5277963458110517, 0.6444868856633563, 0.5248366013071896]","[0.6881201226309921, 0.7497412008281574, 0.6289251207729469, 0.6559696342305038, 0.7129448329448329, 0.6707749766573295, 0.5327220927220927, 0.551796157059315, 0.6616161616161617, 0.53734335839599]","[0.6739130434782609, 0.7391304347826086, 0.6304347826086957, 0.6521739130434783, 0.7111111111111111, 0.6666666666666666, 0.5333333333333333, 0.5555555555555556, 0.6666666666666666, 0.5333333333333333]","[0.6693837999307845, 0.7315628744656877, 0.6284465355718096, 0.6450777800892217, 0.7106407995296883, 0.6652777777777777, 0.5262271062271062, 0.5473311546840959, 0.6634298163709929, 0.5269426289034133]","[array([[ 9,  1,  1,  1],
       [ 4,  4,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  4, 11]]), array([[10,  1,  0,  1],
       [ 3,  6,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 2,  6,  0,  2],
       [ 1,  0,  5,  4],
       [ 1,  0,  4, 10]]), array([[ 4,  4,  0,  3],
       [ 3,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  2,  1, 12]]), array([[ 6,  4,  1,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  2, 11]]), array([[ 6,  3,  0,  2],
       [ 5,  5,  0,  0],
       [ 0,  1,  6,  2],
       [ 0,  1,  1, 13]]), array([[7, 3, 1, 0],
       [6, 2, 1, 0],
       [0, 0, 6, 4],
       [2, 1, 3, 9]]), array([[ 4,  4,  0,  3],
       [ 5,  3,  0,  1],
       [ 1,  0,  6,  3],
       [ 1,  0,  2, 12]]), array([[ 6,  3,  0,  2],
       [ 5,  4,  0,  0],
       [ 0,  1,  8,  1],
       [ 0,  0,  3, 12]]), array([[ 4,  3,  2,  2],
       [ 2,  6,  0,  1],
       [ 0,  0,  4,  6],
       [ 1,  0,  4, 10]])]"
0.01,"[0.7867647058823529, 0.8357843137254902, 0.8382352941176471, 0.8284313725490197, 0.80440097799511, 0.80440097799511, 0.8092909535452323, 0.8068459657701712, 0.8312958435207825, 0.7921760391198044]","[0.7867647058823529, 0.8357843137254902, 0.8382352941176471, 0.8284313725490197, 0.80440097799511, 0.80440097799511, 0.8092909535452323, 0.8068459657701712, 0.8312958435207825, 0.7921760391198044]","[0.7867647058823529, 0.8357843137254902, 0.8382352941176471, 0.8284313725490197, 0.80440097799511, 0.80440097799511, 0.8092909535452323, 0.8068459657701712, 0.8312958435207825, 0.7921760391198044]","[0.7867647058823529, 0.8357843137254903, 0.8382352941176471, 0.8284313725490197, 0.80440097799511, 0.80440097799511, 0.8092909535452323, 0.8068459657701712, 0.8312958435207825, 0.7921760391198045]","[0.7846457946505306, 0.833486879613627, 0.8371231575701068, 0.8331008521272197, 0.7989390756833297, 0.8026014608974582, 0.8130296896086371, 0.8047121581188461, 0.8280523037787186, 0.7904653334201899]","[0.7885348373795267, 0.8321976452831679, 0.8348606580909164, 0.8205683189902085, 0.8006699252054686, 0.7981784852259214, 0.8071036290477357, 0.8021043376496353, 0.8264422466010793, 0.7922501880407729]","[0.783473927388401, 0.8313174359109001, 0.8355521771585888, 0.8247752781890754, 0.7994378530252981, 0.7987969125540283, 0.8085282144558487, 0.8023088177156527, 0.8271669991819536, 0.7883574050554139]","[0.78914896131713, 0.8383271628089587, 0.8393925187174133, 0.8312740977978642, 0.8052446383026259, 0.8046265517948936, 0.8135299222289314, 0.8064809749239418, 0.8311671606194203, 0.7984630762143564]","[0.7867647058823529, 0.8357843137254902, 0.8382352941176471, 0.8284313725490197, 0.80440097799511, 0.80440097799511, 0.8092909535452323, 0.8068459657701712, 0.8312958435207825, 0.7921760391198044]","[0.7850483575377152, 0.8357026887781466, 0.838407275611686, 0.828027442265585, 0.804481736800771, 0.8028410687054205, 0.8099988575021397, 0.805539950680871, 0.8311478486411308, 0.7925119011734424]","[array([[ 66,  17,   6,  11],
       [ 11,  69,   0,   5],
       [  2,   1,  78,   8],
       [  3,   4,  19, 108]]), array([[ 83,   9,   5,   3],
       [ 17,  64,   1,   3],
       [  2,   0,  79,   8],
       [  4,   2,  13, 115]]), array([[ 86,   8,   5,   2],
       [  9,  68,   1,   6],
       [  7,   0,  73,   9],
       [  6,   3,  10, 115]]), array([[ 87,   6,   3,   5],
       [ 17,  63,   1,   3],
       [  2,   1,  71,  15],
       [  5,   1,  11, 117]]), array([[ 78,  14,   3,   6],
       [ 14,  64,   1,   5],
       [  2,   3,  74,  10],
       [  1,   5,  16, 113]]), array([[ 70,  15,   7,   9],
       [ 12,  66,   0,   6],
       [  2,   1,  75,  12],
       [  2,   4,  10, 118]]), array([[ 82,   9,   3,   7],
       [ 18,  64,   0,   3],
       [  4,   0,  75,  10],
       [ 10,   2,  12, 110]]), array([[ 72,  14,   2,  13],
       [ 15,  65,   1,   4],
       [  2,   1,  77,   9],
       [  0,   4,  14, 116]]), array([[ 82,  12,   4,   3],
       [ 10,  69,   1,   5],
       [  5,   0,  72,  12],
       [  2,   5,  10, 117]]), array([[ 72,  14,  10,   5],
       [ 12,  68,   1,   4],
       [  0,   3,  75,  11],
       [  1,   5,  19, 109]])]","[0.6956521739130435, 0.7391304347826086, 0.6304347826086957, 0.6086956521739131, 0.6888888888888889, 0.6888888888888889, 0.6, 0.5777777777777777, 0.6666666666666666, 0.5555555555555556]","[0.6956521739130435, 0.7391304347826086, 0.6304347826086957, 0.6086956521739131, 0.6888888888888889, 0.6888888888888889, 0.6, 0.5777777777777777, 0.6666666666666666, 0.5555555555555556]","[0.6956521739130435, 0.7391304347826086, 0.6304347826086957, 0.6086956521739131, 0.6888888888888889, 0.6888888888888889, 0.6, 0.5777777777777777, 0.6666666666666666, 0.5555555555555556]","[0.6956521739130435, 0.7391304347826085, 0.6304347826086957, 0.6086956521739131, 0.6888888888888889, 0.6888888888888889, 0.6, 0.5777777777777777, 0.6666666666666666, 0.5555555555555556]","[0.6982905982905983, 0.7549603174603176, 0.6284722222222222, 0.6, 0.6842220279720279, 0.691825821237586, 0.592948717948718, 0.5591630591630591, 0.6431818181818182, 0.5803030303030303]","[0.6958333333333333, 0.7166666666666667, 0.6234848484848484, 0.5909090909090909, 0.685064935064935, 0.6696969696969697, 0.5952020202020202, 0.5492424242424243, 0.6474747474747475, 0.5603535353535354]","[0.6905797101449276, 0.7219979775126834, 0.6246770502694323, 0.5928457507404876, 0.6779327545917935, 0.6763392857142856, 0.5892379679144385, 0.5506877990430621, 0.6444868856633563, 0.5572688405505742]","[0.7062430323299889, 0.7497412008281574, 0.6289251207729469, 0.6028985507246377, 0.6972999222999223, 0.694209320091673, 0.6112535612535612, 0.5696649029982362, 0.6616161616161617, 0.5706397306397306]","[0.6956521739130435, 0.7391304347826086, 0.6304347826086957, 0.6086956521739131, 0.6888888888888889, 0.6888888888888889, 0.6, 0.5777777777777777, 0.6666666666666666, 0.5555555555555556]","[0.6947069943289225, 0.7315628744656877, 0.6284465355718096, 0.6028510010203374, 0.6867307829423264, 0.6874999999999999, 0.6003466032877798, 0.5700558213716108, 0.6634298163709929, 0.5500393884294813]","[array([[ 7,  3,  1,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[10,  1,  0,  1],
       [ 3,  6,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 2,  6,  0,  2],
       [ 1,  0,  5,  4],
       [ 1,  0,  4, 10]]), array([[ 4,  4,  0,  3],
       [ 5,  4,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  1,  1, 12]]), array([[ 5,  5,  1,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  1,  2, 11]]), array([[ 6,  3,  0,  2],
       [ 4,  6,  0,  0],
       [ 0,  1,  6,  2],
       [ 0,  1,  1, 13]]), array([[7, 3, 1, 0],
       [4, 4, 1, 0],
       [0, 0, 7, 3],
       [2, 1, 3, 9]]), array([[ 4,  4,  0,  3],
       [ 5,  3,  0,  1],
       [ 1,  0,  7,  2],
       [ 1,  0,  2, 12]]), array([[ 6,  3,  0,  2],
       [ 5,  4,  0,  0],
       [ 0,  1,  8,  1],
       [ 0,  0,  3, 12]]), array([[4, 3, 1, 3],
       [1, 7, 0, 1],
       [0, 0, 5, 5],
       [1, 0, 5, 9]])]"
0.1,"[0.5171568627450981, 0.5147058823529411, 0.5171568627450981, 0.5220588235294118, 0.5134474327628362, 0.5183374083129584, 0.5158924205378973, 0.511002444987775, 0.5183374083129584, 0.5183374083129584]","[0.5171568627450981, 0.5147058823529411, 0.5171568627450981, 0.5220588235294118, 0.5134474327628362, 0.5183374083129584, 0.5158924205378973, 0.511002444987775, 0.5183374083129584, 0.5183374083129584]","[0.5171568627450981, 0.5147058823529411, 0.5171568627450981, 0.5220588235294118, 0.5134474327628362, 0.5183374083129584, 0.5158924205378973, 0.511002444987775, 0.5183374083129584, 0.5183374083129584]","[0.5171568627450981, 0.5147058823529411, 0.5171568627450981, 0.5220588235294118, 0.5134474327628362, 0.5183374083129584, 0.5158924205378973, 0.511002444987775, 0.5183374083129584, 0.5183374083129584]","[0.26018837058243316, 0.25502172863351036, 0.2560882800608828, 0.26237373737373737, 0.2541065416065416, 0.2601016746411483, 0.255838373655914, 0.2532962678322686, 0.2570608578702147, 0.2610424451470729]","[0.4507462686567164, 0.4450746268656717, 0.44486109058667056, 0.45285946505098273, 0.4406307297396406, 0.45099379340919166, 0.44547066646963207, 0.4411297473030885, 0.44794591399438455, 0.4516033692921531]","[0.3274739899554113, 0.3238048589341693, 0.32471427175930445, 0.3300371905628947, 0.3219766877124818, 0.3279119180992853, 0.3245383740264286, 0.3213924346201743, 0.3262375466998755, 0.32831499710480605]","[0.30627107099004347, 0.2981864401965518, 0.30048198883815325, 0.30963804713804716, 0.2989885465435588, 0.305736128496391, 0.2995598857691195, 0.29646383998254366, 0.3005525209657202, 0.30724994980946335]","[0.5171568627450981, 0.5147058823529411, 0.5171568627450981, 0.5220588235294118, 0.5134474327628362, 0.5183374083129584, 0.5158924205378973, 0.511002444987775, 0.5183374083129584, 0.5183374083129584]","[0.38197941672661917, 0.3771148349621981, 0.37972943206783544, 0.3862451888127505, 0.37751917457022716, 0.3823633118651096, 0.3784983149119434, 0.3747678327299522, 0.38001214881845885, 0.38298107293482064]","[array([[ 90,   0,   0,  10],
       [ 81,   0,   0,   4],
       [ 27,   0,   0,  62],
       [ 13,   0,   0, 121]]), array([[ 84,   0,   0,  16],
       [ 77,   0,   0,   8],
       [ 21,   0,   0,  68],
       [  8,   0,   0, 126]]), array([[ 84,   0,   0,  17],
       [ 78,   0,   0,   6],
       [ 20,   0,   0,  69],
       [  7,   0,   0, 127]]), array([[ 91,   0,   0,  10],
       [ 80,   0,   0,   4],
       [ 27,   0,   0,  62],
       [ 12,   0,   0, 122]]), array([[ 83,   0,   0,  18],
       [ 76,   0,   0,   8],
       [ 22,   0,   0,  67],
       [  8,   0,   0, 127]]), array([[ 91,   0,   0,  10],
       [ 79,   0,   0,   5],
       [ 26,   0,   0,  64],
       [ 13,   0,   0, 121]]), array([[ 85,   0,   0,  16],
       [ 78,   0,   0,   7],
       [ 21,   0,   0,  68],
       [  8,   0,   0, 126]]), array([[ 84,   0,   0,  17],
       [ 78,   0,   0,   7],
       [ 20,   0,   0,  69],
       [  9,   0,   0, 125]]), array([[ 86,   0,   0,  15],
       [ 77,   0,   0,   8],
       [ 20,   0,   0,  69],
       [  8,   0,   0, 126]]), array([[ 92,   0,   0,   9],
       [ 81,   0,   0,   4],
       [ 26,   0,   0,  63],
       [ 14,   0,   0, 120]])]","[0.5, 0.5217391304347826, 0.5, 0.45652173913043476, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.4888888888888889]","[0.5, 0.5217391304347826, 0.5, 0.45652173913043476, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.4888888888888889]","[0.5, 0.5217391304347826, 0.5, 0.45652173913043476, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.4888888888888889]","[0.5, 0.5217391304347826, 0.5, 0.45652173913043476, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.4888888888888889]","[0.25, 0.25946969696969696, 0.24905303030303028, 0.23011363636363635, 0.2672924901185771, 0.2525, 0.2525, 0.27529761904761907, 0.2455533596837945, 0.24107142857142858]","[0.42500000000000004, 0.44166666666666665, 0.44393939393939397, 0.40454545454545454, 0.48214285714285715, 0.42121212121212126, 0.43787878787878787, 0.4772727272727273, 0.42121212121212126, 0.41515151515151516]","[0.31390977443609025, 0.3265460030165913, 0.31818181818181823, 0.29073359073359073, 0.3423202614379085, 0.3107142857142857, 0.32016129032258067, 0.3485576923076923, 0.30802861685214633, 0.3044871794871795]","[0.29773156899810965, 0.30879446640316205, 0.28532608695652173, 0.2675395256916996, 0.3007465963987703, 0.3046666666666667, 0.2966666666666667, 0.3247354497354497, 0.29262187088274044, 0.2875661375661375]","[0.5, 0.5217391304347826, 0.5, 0.45652173913043476, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.4888888888888889]","[0.37218045112781956, 0.3875663977965768, 0.36231884057971014, 0.334497230149404, 0.3828612926652143, 0.3698412698412698, 0.37526881720430116, 0.4091880341880341, 0.3636459989401166, 0.36153846153846153]","[array([[10,  0,  0,  2],
       [ 8,  0,  0,  1],
       [ 3,  0,  0,  7],
       [ 2,  0,  0, 13]]), array([[10,  0,  0,  2],
       [ 9,  0,  0,  0],
       [ 2,  0,  0,  8],
       [ 1,  0,  0, 14]]), array([[10,  0,  0,  1],
       [ 7,  0,  0,  3],
       [ 3,  0,  0,  7],
       [ 2,  0,  0, 13]]), array([[ 9,  0,  0,  2],
       [ 9,  0,  0,  1],
       [ 3,  0,  0,  7],
       [ 3,  0,  0, 12]]), array([[11,  0,  0,  0],
       [10,  0,  0,  0],
       [ 1,  0,  0,  9],
       [ 1,  0,  0, 13]]), array([[ 9,  0,  0,  2],
       [10,  0,  0,  0],
       [ 4,  0,  0,  5],
       [ 2,  0,  0, 13]]), array([[ 9,  0,  0,  2],
       [ 8,  0,  0,  1],
       [ 2,  0,  0,  8],
       [ 1,  0,  0, 14]]), array([[10,  0,  0,  1],
       [ 8,  0,  0,  1],
       [ 3,  0,  0,  7],
       [ 0,  0,  0, 15]]), array([[ 9,  0,  0,  2],
       [ 9,  0,  0,  0],
       [ 3,  0,  0,  7],
       [ 2,  0,  0, 13]]), array([[ 8,  0,  0,  3],
       [ 8,  0,  0,  1],
       [ 4,  0,  0,  6],
       [ 1,  0,  0, 14]])]"
