ccp_alpha value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
0.0,"[0.8480392156862745, 0.8651960784313726, 0.8578431372549019, 0.8725490196078431, 0.8581907090464548, 0.8410757946210269, 0.8801955990220048, 0.8606356968215159, 0.8484107579462102, 0.843520782396088]","[0.8480392156862745, 0.8651960784313726, 0.8578431372549019, 0.8725490196078431, 0.8581907090464548, 0.8410757946210269, 0.8801955990220048, 0.8606356968215159, 0.8484107579462102, 0.843520782396088]","[0.8480392156862745, 0.8651960784313726, 0.8578431372549019, 0.8725490196078431, 0.8581907090464548, 0.8410757946210269, 0.8801955990220048, 0.8606356968215159, 0.8484107579462102, 0.843520782396088]","[0.8480392156862745, 0.8651960784313726, 0.8578431372549019, 0.8725490196078431, 0.8581907090464548, 0.8410757946210269, 0.8801955990220048, 0.8606356968215159, 0.8484107579462102, 0.843520782396088]","[0.8470163247869154, 0.8625560134919842, 0.8552915398996362, 0.870332169522064, 0.8553255179610413, 0.842941999403768, 0.8783461989991771, 0.8651342668463784, 0.8495140478117946, 0.854265416274943]","[0.8523747176214105, 0.8618825650333922, 0.8552214878359976, 0.8749060339720276, 0.8565057468828745, 0.8369231752599567, 0.8818900888619013, 0.8553177129671022, 0.8447008371660182, 0.8383754737401707]","[0.8474368672472429, 0.8619001831038765, 0.8549791447687356, 0.8714686931855196, 0.8542640969635498, 0.8385267218033783, 0.8794027807751013, 0.8586857087051607, 0.8465975735949254, 0.8418210399643226]","[0.8537309037041975, 0.8655460589434015, 0.8582483214049296, 0.875160643539642, 0.8613936325508996, 0.8452460976523788, 0.8827930969463584, 0.8647103699453105, 0.8492072424893072, 0.852341095584208]","[0.8480392156862745, 0.8651960784313726, 0.8578431372549019, 0.8725490196078431, 0.8581907090464548, 0.8410757946210269, 0.8801955990220048, 0.8606356968215159, 0.8484107579462102, 0.843520782396088]","[0.8483109525081535, 0.865096472660129, 0.8577735273420624, 0.8727066457723495, 0.8580620056589835, 0.8418240369971977, 0.8806869834390041, 0.8612632263822534, 0.8483394487453693, 0.8438948770809553]","[array([[ 91,   8,   0,   1],
       [ 10,  72,   2,   1],
       [  6,   0,  76,   7],
       [  8,   4,  15, 107]]), array([[ 89,   6,   2,   3],
       [ 10,  69,   4,   2],
       [  1,   1,  77,  10],
       [  2,   4,  10, 118]]), array([[ 90,   8,   0,   3],
       [ 11,  69,   3,   1],
       [  2,   1,  75,  11],
       [  4,   3,  11, 116]]), array([[ 91,   8,   1,   1],
       [  8,  71,   3,   2],
       [  0,   0,  81,   8],
       [  4,   2,  15, 113]]), array([[ 95,   4,   1,   1],
       [ 12,  68,   2,   2],
       [  6,   2,  74,   7],
       [  3,   5,  13, 114]]), array([[ 87,  10,   1,   3],
       [ 12,  68,   1,   3],
       [  6,   2,  73,   9],
       [ 10,   1,   7, 116]]), array([[ 89,   5,   3,   4],
       [ 10,  74,   0,   1],
       [  3,   2,  81,   3],
       [  7,   3,   8, 116]]), array([[ 88,   6,   3,   4],
       [ 14,  69,   0,   2],
       [  5,   0,  75,   9],
       [  7,   2,   5, 120]]), array([[ 87,   9,   1,   4],
       [ 10,  71,   1,   3],
       [  3,   1,  72,  13],
       [  6,   3,   8, 117]]), array([[ 92,   3,   1,   5],
       [ 15,  64,   2,   4],
       [  7,   0,  74,   8],
       [  8,   1,  10, 115]])]","[0.6956521739130435, 0.6521739130434783, 0.5869565217391305, 0.6956521739130435, 0.6888888888888889, 0.6, 0.6, 0.6444444444444445, 0.6222222222222222, 0.6222222222222222]","[0.6956521739130435, 0.6521739130434783, 0.5869565217391305, 0.6956521739130435, 0.6888888888888889, 0.6, 0.6, 0.6444444444444445, 0.6222222222222222, 0.6222222222222222]","[0.6956521739130435, 0.6521739130434783, 0.5869565217391305, 0.6956521739130435, 0.6888888888888889, 0.6, 0.6, 0.6444444444444445, 0.6222222222222222, 0.6222222222222222]","[0.6956521739130435, 0.6521739130434783, 0.5869565217391305, 0.6956521739130435, 0.6888888888888889, 0.6, 0.6, 0.6444444444444445, 0.6222222222222222, 0.6222222222222222]","[0.6846153846153846, 0.6504551820728292, 0.5839869281045752, 0.7152777777777778, 0.6847319347319347, 0.6021634615384616, 0.6113636363636363, 0.6771739130434783, 0.6312091503267974, 0.6352813852813852]","[0.6791666666666667, 0.6444444444444445, 0.571969696969697, 0.6757575757575758, 0.689935064935065, 0.5840909090909091, 0.6053030303030302, 0.6058080808080808, 0.6007575757575757, 0.634090909090909]","[0.6658902691511387, 0.638006907308378, 0.556875, 0.6866049103227727, 0.6836700336700336, 0.5858621226268285, 0.5948809523809524, 0.6166510025062657, 0.6032283834586466, 0.632583440899871]","[0.7003344481605351, 0.6580471318962369, 0.5902244955953396, 0.7131642512077295, 0.6918414918414919, 0.6223290598290598, 0.6424242424242423, 0.6680837359098228, 0.6307480029048657, 0.6256613756613757]","[0.6956521739130435, 0.6521739130434783, 0.5869565217391305, 0.6956521739130435, 0.6888888888888889, 0.6, 0.6, 0.6444444444444445, 0.6222222222222222, 0.6222222222222222]","[0.68410748042128, 0.646644675656824, 0.569836956521739, 0.6959192609669296, 0.6868836513280958, 0.6039042777604868, 0.606031746031746, 0.6308521303258144, 0.6155125313283208, 0.6220542135349437]","[array([[ 9,  2,  0,  1],
       [ 5,  3,  1,  0],
       [ 0,  0,  9,  1],
       [ 1,  0,  3, 11]]), array([[ 8,  3,  0,  1],
       [ 1,  7,  0,  1],
       [ 1,  1,  4,  4],
       [ 0,  1,  3, 11]]), array([[ 5,  6,  0,  0],
       [ 1,  8,  0,  1],
       [ 2,  0,  3,  5],
       [ 1,  1,  2, 11]]), array([[ 7,  2,  0,  2],
       [ 4,  5,  0,  1],
       [ 0,  1,  7,  2],
       [ 1,  1,  0, 13]]), array([[ 6,  4,  1,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 10]]), array([[ 7,  4,  0,  0],
       [ 7,  3,  0,  0],
       [ 1,  0,  6,  2],
       [ 1,  1,  2, 11]]), array([[5, 4, 2, 0],
       [2, 6, 1, 0],
       [2, 0, 7, 1],
       [1, 1, 4, 9]]), array([[ 6,  2,  0,  3],
       [ 4,  4,  0,  1],
       [ 0,  0,  5,  5],
       [ 0,  0,  1, 14]]), array([[ 7,  2,  0,  2],
       [ 5,  3,  0,  1],
       [ 0,  0,  7,  3],
       [ 2,  0,  2, 11]]), array([[7, 1, 0, 3],
       [2, 6, 0, 1],
       [1, 0, 7, 2],
       [1, 1, 5, 8]])]"
0.01,"[0.8186274509803921, 0.8480392156862745, 0.8406862745098039, 0.8602941176470589, 0.8288508557457213, 0.8166259168704156, 0.8361858190709046, 0.8312958435207825, 0.8264058679706602, 0.8215158924205379]","[0.8186274509803921, 0.8480392156862745, 0.8406862745098039, 0.8602941176470589, 0.8288508557457213, 0.8166259168704156, 0.8361858190709046, 0.8312958435207825, 0.8264058679706602, 0.8215158924205379]","[0.8186274509803921, 0.8480392156862745, 0.8406862745098039, 0.8602941176470589, 0.8288508557457213, 0.8166259168704156, 0.8361858190709046, 0.8312958435207825, 0.8264058679706602, 0.8215158924205379]","[0.8186274509803921, 0.8480392156862745, 0.8406862745098039, 0.8602941176470589, 0.8288508557457213, 0.8166259168704156, 0.8361858190709046, 0.8312958435207825, 0.8264058679706602, 0.8215158924205379]","[0.8187066325972975, 0.8453689667717681, 0.8372692889986852, 0.8611842105263158, 0.8307399728564147, 0.81612439747868, 0.8337688803303739, 0.8297657948366999, 0.8275166919761866, 0.8236020185488271]","[0.8197440096280001, 0.8557453315050655, 0.8356158108983079, 0.8600257437760738, 0.819969233413443, 0.8172600575622594, 0.8396810422181202, 0.8313724554183921, 0.8177414015237237, 0.8236496982801436]","[0.8164885099979506, 0.847200766429962, 0.8364013624863231, 0.8587409253106928, 0.823080957105649, 0.8149241482694994, 0.8351371749839396, 0.8259830753065469, 0.8215676527085884, 0.8213744473431861]","[0.8261354062631895, 0.8559697591543691, 0.8404744071229638, 0.8644999001298314, 0.8314493500574054, 0.8221107306588049, 0.8402506433642914, 0.8374424442624873, 0.8273702625024117, 0.8274804354292468]","[0.8186274509803921, 0.8480392156862745, 0.8406862745098039, 0.8602941176470589, 0.8288508557457213, 0.8166259168704156, 0.8361858190709046, 0.8312958435207825, 0.8264058679706602, 0.8215158924205379]","[0.8194070106253978, 0.8484655478345405, 0.8405405937475392, 0.8605455791274303, 0.828082329179652, 0.8174405506975202, 0.8365431054223508, 0.8300711638583628, 0.8258791096175365, 0.8221466906243972]","[array([[ 88,  11,   0,   1],
       [ 16,  66,   2,   1],
       [  6,   0,  74,   9],
       [  9,   3,  16, 106]]), array([[ 84,  13,   1,   2],
       [  7,  74,   3,   1],
       [  2,   0,  82,   5],
       [  3,   6,  19, 106]]), array([[ 86,   9,   3,   3],
       [ 13,  67,   2,   2],
       [  0,   2,  73,  14],
       [  2,   4,  11, 117]]), array([[ 92,   7,   1,   1],
       [ 13,  68,   1,   2],
       [  3,   0,  78,   8],
       [  7,   1,  13, 113]]), array([[ 90,   7,   2,   2],
       [ 15,  64,   2,   3],
       [  6,   1,  67,  15],
       [  5,   2,  10, 118]]), array([[ 86,  11,   1,   3],
       [ 14,  66,   1,   3],
       [  7,   1,  75,   7],
       [  9,   2,  16, 107]]), array([[ 85,   7,   4,   5],
       [ 14,  70,   0,   1],
       [  2,   2,  79,   6],
       [  4,   4,  18, 108]]), array([[ 70,  18,   7,   6],
       [  5,  76,   3,   1],
       [  3,   0,  77,   9],
       [  1,   4,  12, 117]]), array([[ 84,  10,   3,   4],
       [ 15,  65,   2,   3],
       [  2,   1,  70,  16],
       [  6,   2,   7, 119]]), array([[ 87,   8,   1,   5],
       [ 14,  67,   1,   3],
       [  7,   0,  76,   6],
       [  9,   3,  16, 106]])]","[0.6956521739130435, 0.717391304347826, 0.6304347826086957, 0.6739130434782609, 0.6888888888888889, 0.6222222222222222, 0.5777777777777777, 0.6, 0.6444444444444445, 0.6444444444444445]","[0.6956521739130435, 0.717391304347826, 0.6304347826086957, 0.6739130434782609, 0.6888888888888889, 0.6222222222222222, 0.5777777777777777, 0.6, 0.6444444444444445, 0.6444444444444445]","[0.6956521739130435, 0.717391304347826, 0.6304347826086957, 0.6739130434782609, 0.6888888888888889, 0.6222222222222222, 0.5777777777777777, 0.6, 0.6444444444444445, 0.6444444444444445]","[0.6956521739130435, 0.717391304347826, 0.6304347826086957, 0.6739130434782609, 0.6888888888888889, 0.6222222222222222, 0.5777777777777777, 0.6, 0.6444444444444445, 0.6444444444444445]","[0.6806318681318682, 0.7115800865800865, 0.6321924603174603, 0.6984126984126984, 0.6847319347319347, 0.6238283775048481, 0.5886363636363636, 0.6285714285714286, 0.649264705882353, 0.6507575757575758]","[0.6861111111111111, 0.7222222222222222, 0.621969696969697, 0.6507575757575758, 0.689935064935065, 0.6068181818181818, 0.5747474747474748, 0.5835858585858585, 0.6285353535353535, 0.6558080808080807]","[0.6792006269592477, 0.7119391432103497, 0.6161448450347882, 0.6604991087344029, 0.6836700336700336, 0.6039915966386554, 0.5651295763060469, 0.5962875939849623, 0.6323822463768116, 0.6508771929824562]","[0.6915910176779742, 0.721296819122906, 0.6365381297446515, 0.6966873706004142, 0.6918414918414919, 0.6423220570279394, 0.6222222222222222, 0.6206349206349207, 0.6471677559912854, 0.6443771043771044]","[0.6956521739130435, 0.717391304347826, 0.6304347826086957, 0.6739130434782609, 0.6888888888888889, 0.6222222222222222, 0.5777777777777777, 0.6, 0.6444444444444445, 0.6444444444444445]","[0.6900245331879514, 0.7152188861437212, 0.6237865412644722, 0.6721599627993491, 0.6868836513280958, 0.6211951447245565, 0.5819808949220713, 0.6000208855472013, 0.6401811594202899, 0.6421832358674463]","[array([[ 8,  3,  0,  1],
       [ 4,  4,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  0,  3, 11]]), array([[ 8,  3,  0,  1],
       [ 1,  8,  0,  0],
       [ 2,  0,  6,  2],
       [ 0,  1,  3, 11]]), array([[ 5,  6,  0,  0],
       [ 1,  8,  0,  1],
       [ 1,  0,  5,  4],
       [ 2,  0,  2, 11]]), array([[ 7,  2,  0,  2],
       [ 5,  4,  0,  1],
       [ 1,  0,  7,  2],
       [ 1,  1,  0, 13]]), array([[ 6,  4,  1,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 10]]), array([[ 8,  3,  0,  0],
       [ 7,  3,  0,  0],
       [ 1,  0,  6,  2],
       [ 1,  1,  2, 11]]), array([[5, 4, 2, 0],
       [3, 4, 2, 0],
       [1, 0, 8, 1],
       [2, 0, 4, 9]]), array([[ 6,  2,  0,  3],
       [ 2,  5,  1,  1],
       [ 0,  0,  5,  5],
       [ 0,  0,  4, 11]]), array([[ 7,  2,  0,  2],
       [ 4,  4,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 11]]), array([[6, 2, 0, 3],
       [1, 7, 0, 1],
       [1, 0, 7, 2],
       [1, 1, 4, 9]])]"
0.1,"[0.5171568627450981, 0.5171568627450981, 0.5196078431372549, 0.5220588235294118, 0.5158924205378973, 0.5183374083129584, 0.5183374083129584, 0.5134474327628362, 0.5158924205378973, 0.5183374083129584]","[0.5171568627450981, 0.5171568627450981, 0.5196078431372549, 0.5220588235294118, 0.5158924205378973, 0.5183374083129584, 0.5183374083129584, 0.5134474327628362, 0.5158924205378973, 0.5183374083129584]","[0.5171568627450981, 0.5171568627450981, 0.5196078431372549, 0.5220588235294118, 0.5158924205378973, 0.5183374083129584, 0.5183374083129584, 0.5134474327628362, 0.5158924205378973, 0.5183374083129584]","[0.5171568627450981, 0.5171568627450981, 0.5196078431372549, 0.5220588235294118, 0.5158924205378973, 0.5183374083129584, 0.5183374083129584, 0.5134474327628362, 0.5158924205378973, 0.5183374083129584]","[0.26018837058243316, 0.2564178348251985, 0.2574843070980203, 0.2589699074074074, 0.2555034847392454, 0.25987251243781095, 0.25723229706390327, 0.2541913571325336, 0.2576641637572337, 0.25756649892163913]","[0.4507462686567164, 0.4475746268656716, 0.44733633811142304, 0.4498115856361755, 0.4431059772643931, 0.45099379340919166, 0.44794591399438455, 0.4429954189448796, 0.4479089700014778, 0.44855548987734595]","[0.3274739899554113, 0.32553528945281524, 0.326445837238363, 0.32818625060945883, 0.3237084279806628, 0.32784620586388447, 0.32625850340136053, 0.32279962546816476, 0.32579334365325074, 0.32655716060888473]","[0.30627107099004347, 0.299777130916545, 0.3020794870338285, 0.30398681463326066, 0.3005875374372227, 0.3052669111654442, 0.3011536626254693, 0.2968778435483455, 0.30229831657288697, 0.3015466173567766]","[0.5171568627450981, 0.5171568627450981, 0.5196078431372549, 0.5220588235294118, 0.5158924205378973, 0.5183374083129584, 0.5183374083129584, 0.5134474327628362, 0.5158924205378973, 0.5183374083129584]","[0.38197941672661917, 0.3789813043906434, 0.38160935844190846, 0.3836662173401784, 0.37939776315446566, 0.3821238952057667, 0.3803629226751825, 0.37596723533236265, 0.3797136033669677, 0.380528091534752]","[array([[ 90,   0,   0,  10],
       [ 81,   0,   0,   4],
       [ 27,   0,   0,  62],
       [ 13,   0,   0, 121]]), array([[ 85,   0,   0,  15],
       [ 77,   0,   0,   8],
       [ 21,   0,   0,  68],
       [  8,   0,   0, 126]]), array([[ 85,   0,   0,  16],
       [ 78,   0,   0,   6],
       [ 20,   0,   0,  69],
       [  7,   0,   0, 127]]), array([[ 86,   0,   0,  15],
       [ 78,   0,   0,   6],
       [ 21,   0,   0,  68],
       [  7,   0,   0, 127]]), array([[ 84,   0,   0,  17],
       [ 76,   0,   0,   8],
       [ 22,   0,   0,  67],
       [  8,   0,   0, 127]]), array([[ 91,   0,   0,  10],
       [ 79,   0,   0,   5],
       [ 25,   0,   0,  65],
       [ 13,   0,   0, 121]]), array([[ 86,   0,   0,  15],
       [ 78,   0,   0,   7],
       [ 21,   0,   0,  68],
       [  8,   0,   0, 126]]), array([[ 84,   0,   0,  17],
       [ 77,   0,   0,   8],
       [ 18,   0,   0,  71],
       [  8,   0,   0, 126]]), array([[ 89,   0,   0,  12],
       [ 80,   0,   0,   5],
       [ 22,   0,   0,  67],
       [ 12,   0,   0, 122]]), array([[ 87,   0,   0,  14],
       [ 79,   0,   0,   6],
       [ 20,   0,   0,  69],
       [  9,   0,   0, 125]])]","[0.5, 0.5217391304347826, 0.5, 0.4782608695652174, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.4888888888888889]","[0.5, 0.5217391304347826, 0.5, 0.4782608695652174, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.4888888888888889]","[0.5, 0.5217391304347826, 0.5, 0.4782608695652174, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.4888888888888889]","[0.5, 0.5217391304347826, 0.5, 0.4782608695652174, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.4888888888888889]","[0.25, 0.25946969696969696, 0.25, 0.23714285714285716, 0.2672924901185771, 0.2525, 0.2525, 0.275, 0.24851190476190477, 0.24000000000000002]","[0.42500000000000004, 0.44166666666666665, 0.44393939393939397, 0.42121212121212126, 0.48214285714285715, 0.42121212121212126, 0.43787878787878787, 0.4772727272727273, 0.42121212121212126, 0.41515151515151516]","[0.31390977443609025, 0.32654600301659126, 0.31811145510835914, 0.303125, 0.3423202614379085, 0.3107142857142857, 0.32016129032258067, 0.34879032258064513, 0.30912698412698414, 0.3040322580645161]","[0.29773156899810965, 0.30879446640316205, 0.2882797731568998, 0.27204968944099384, 0.3007465963987703, 0.3046666666666667, 0.2966666666666667, 0.32222222222222224, 0.298015873015873, 0.28444444444444444]","[0.5, 0.5217391304347826, 0.5, 0.4782608695652174, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.4888888888888889]","[0.37218045112781956, 0.3875663977965768, 0.3637770897832817, 0.34646739130434784, 0.38286129266521424, 0.3698412698412698, 0.37526881720430105, 0.4077060931899642, 0.3664550264550265, 0.35949820788530473]","[array([[10,  0,  0,  2],
       [ 8,  0,  0,  1],
       [ 3,  0,  0,  7],
       [ 2,  0,  0, 13]]), array([[10,  0,  0,  2],
       [ 9,  0,  0,  0],
       [ 2,  0,  0,  8],
       [ 1,  0,  0, 14]]), array([[10,  0,  0,  1],
       [ 8,  0,  0,  2],
       [ 3,  0,  0,  7],
       [ 2,  0,  0, 13]]), array([[ 9,  0,  0,  2],
       [ 8,  0,  0,  2],
       [ 2,  0,  0,  8],
       [ 2,  0,  0, 13]]), array([[11,  0,  0,  0],
       [10,  0,  0,  0],
       [ 1,  0,  0,  9],
       [ 1,  0,  0, 13]]), array([[ 9,  0,  0,  2],
       [10,  0,  0,  0],
       [ 4,  0,  0,  5],
       [ 2,  0,  0, 13]]), array([[ 9,  0,  0,  2],
       [ 8,  0,  0,  1],
       [ 2,  0,  0,  8],
       [ 1,  0,  0, 14]]), array([[10,  0,  0,  1],
       [ 7,  0,  0,  2],
       [ 3,  0,  0,  7],
       [ 0,  0,  0, 15]]), array([[ 9,  0,  0,  2],
       [ 9,  0,  0,  0],
       [ 4,  0,  0,  6],
       [ 2,  0,  0, 13]]), array([[ 8,  0,  0,  3],
       [ 8,  0,  0,  1],
       [ 3,  0,  0,  7],
       [ 1,  0,  0, 14]])]"
