max_depth value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
3,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7391304347826086, 0.7391304347826086, 0.8260869565217391, 0.8260869565217391, 0.7555555555555555, 0.8222222222222222, 0.7333333333333333, 0.8, 0.8, 0.8444444444444444]","[0.7391304347826086, 0.7391304347826086, 0.8260869565217391, 0.8260869565217391, 0.7555555555555555, 0.8222222222222222, 0.7333333333333333, 0.8, 0.8, 0.8444444444444444]","[0.7391304347826086, 0.7391304347826086, 0.8260869565217391, 0.8260869565217391, 0.7555555555555555, 0.8222222222222222, 0.7333333333333333, 0.8, 0.8, 0.8444444444444444]","[0.7391304347826086, 0.7391304347826086, 0.8260869565217391, 0.8260869565217391, 0.7555555555555555, 0.8222222222222222, 0.7333333333333333, 0.8, 0.8, 0.8444444444444444]","[0.75503663003663, 0.7459150326797386, 0.8530416951469584, 0.8202020202020203, 0.7555555555555555, 0.830109126984127, 0.7378472222222222, 0.8082399626517274, 0.8694444444444445, 0.8558823529411765]","[0.7416666666666666, 0.7319444444444445, 0.812878787878788, 0.8212121212121212, 0.7483766233766235, 0.8055555555555556, 0.7196969696969696, 0.7856060606060605, 0.7777777777777778, 0.8373737373737373]","[0.7421601699150425, 0.736111111111111, 0.8216386554621848, 0.8197083618136249, 0.7479252598581092, 0.806870401810979, 0.7209556148435605, 0.7922268306636155, 0.7823902151488359, 0.8398026315789473]","[0.7517916865742953, 0.7410485933503838, 0.8436060506998722, 0.8252086078173034, 0.76, 0.8270943562610229, 0.7516975308641974, 0.8028737420894283, 0.8604938271604938, 0.8567320261437907]","[0.7391304347826086, 0.7391304347826086, 0.8260869565217391, 0.8260869565217391, 0.7555555555555555, 0.8222222222222222, 0.7333333333333333, 0.8, 0.8, 0.8444444444444444]","[0.740246724463855, 0.7373188405797101, 0.8235476799415418, 0.8247793396534816, 0.7539412271535683, 0.8151488398415394, 0.7353760745950899, 0.7971364098652428, 0.7949372891901627, 0.8437134502923975]","[array([[10,  1,  0,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  5, 10]]), array([[ 9,  1,  0,  2],
       [ 2,  7,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  1,  2, 12]]), array([[ 9,  2,  0,  0],
       [ 0,  9,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  1, 14]]), array([[ 9,  1,  1,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  1,  1, 13]]), array([[ 7,  4,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[11,  0,  0,  0],
       [ 2,  8,  0,  0],
       [ 1,  0,  5,  3],
       [ 0,  1,  1, 13]]), array([[ 6,  5,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  1, 13]]), array([[10,  1,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[11,  0,  0,  0],
       [ 5,  4,  0,  0],
       [ 0,  0,  8,  2],
       [ 2,  0,  0, 13]]), array([[ 8,  2,  1,  0],
       [ 0,  8,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]])]"
5,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7391304347826086, 0.8043478260869565, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.8888888888888888, 0.7333333333333333, 0.7777777777777778, 0.8444444444444444, 0.8222222222222222]","[0.7391304347826086, 0.8043478260869565, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.8888888888888888, 0.7333333333333333, 0.7777777777777778, 0.8444444444444444, 0.8222222222222222]","[0.7391304347826086, 0.8043478260869565, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.8888888888888888, 0.7333333333333333, 0.7777777777777778, 0.8444444444444444, 0.8222222222222222]","[0.7391304347826086, 0.8043478260869565, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.8888888888888888, 0.7333333333333333, 0.7777777777777778, 0.8444444444444444, 0.8222222222222222]","[0.7506410256410256, 0.8092171717171717, 0.7708333333333333, 0.7983766233766234, 0.7569444444444444, 0.8861832611832612, 0.723989898989899, 0.7862619406737054, 0.855982905982906, 0.8318181818181818]","[0.7305555555555556, 0.8055555555555556, 0.7568181818181818, 0.8045454545454545, 0.746103896103896, 0.8911616161616162, 0.7229797979797981, 0.7578282828282829, 0.8472222222222221, 0.8267676767676768]","[0.7318181818181819, 0.8056765335498635, 0.7595770952307455, 0.8007277205553067, 0.7496867167919798, 0.8879185948151466, 0.7208646616541354, 0.7623355263157895, 0.848671310629515, 0.8260025062656642]","[0.7477703455964325, 0.8073232323232323, 0.7711352657004831, 0.8051948051948051, 0.757283950617284, 0.8913419913419913, 0.7386083052749719, 0.7824423216580079, 0.846343779677113, 0.8327272727272726]","[0.7391304347826086, 0.8043478260869565, 0.7608695652173914, 0.8043478260869565, 0.7555555555555555, 0.8888888888888888, 0.7333333333333333, 0.7777777777777778, 0.8444444444444444, 0.8222222222222222]","[0.7363636363636364, 0.8042403099033638, 0.7620445989383761, 0.8040265581494966, 0.7544305207463101, 0.8893267651888341, 0.7335171261487051, 0.7716130604288499, 0.8427187249168674, 0.824399888610415]","[array([[10,  1,  0,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[10,  1,  0,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[ 9,  1,  1,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  2,  1, 12]]), array([[ 8,  3,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[10,  1,  0,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  1, 13]]), array([[ 7,  3,  1,  0],
       [ 2,  5,  0,  2],
       [ 0,  0,  9,  1],
       [ 0,  2,  1, 12]]), array([[10,  1,  0,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[11,  0,  0,  0],
       [ 1,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  2, 12]]), array([[ 9,  1,  1,  0],
       [ 0,  8,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  2, 12]])]"
7,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.782608695652174, 0.782608695652174, 0.8043478260869565, 0.8043478260869565, 0.6888888888888889, 0.8, 0.6, 0.8, 0.7555555555555555, 0.8888888888888888]","[0.782608695652174, 0.782608695652174, 0.8043478260869565, 0.8043478260869565, 0.6888888888888889, 0.8, 0.6, 0.8, 0.7555555555555555, 0.8888888888888888]","[0.782608695652174, 0.782608695652174, 0.8043478260869565, 0.8043478260869565, 0.6888888888888889, 0.8, 0.6, 0.8, 0.7555555555555555, 0.8888888888888888]","[0.782608695652174, 0.782608695652174, 0.8043478260869565, 0.8043478260869565, 0.6888888888888889, 0.8, 0.6, 0.8, 0.7555555555555555, 0.8888888888888888]","[0.8130952380952381, 0.7982954545454546, 0.8330033936651584, 0.7958333333333333, 0.6808080808080808, 0.8122803666921314, 0.6136363636363636, 0.7997835497835498, 0.7649267399267399, 0.8946428571428571]","[0.7722222222222223, 0.7736111111111111, 0.7984848484848485, 0.7962121212121213, 0.6756493506493506, 0.7878787878787878, 0.5691919191919192, 0.780050505050505, 0.7522727272727272, 0.8962121212121212]","[0.7722670050256257, 0.7815107597716293, 0.8037479341469616, 0.7952135774218154, 0.6768213637542131, 0.7953869047619048, 0.5694444444444444, 0.7738095238095238, 0.7541666666666667, 0.8905254908430952]","[0.8054865424430642, 0.7913372859025034, 0.8292101121385008, 0.8025362318840579, 0.6896071829405164, 0.8079466938290467, 0.6200096200096199, 0.8053102453102453, 0.7594627594627594, 0.9006349206349207]","[0.782608695652174, 0.782608695652174, 0.8043478260869565, 0.8043478260869565, 0.6888888888888889, 0.8, 0.6, 0.8, 0.7555555555555555, 0.8888888888888888]","[0.7771146894085426, 0.7823318248649062, 0.8055331006312251, 0.8027061983882201, 0.6878806210929623, 0.7996693121693123, 0.5876543209876542, 0.7892063492063491, 0.7537037037037038, 0.8901424407413518]","[array([[12,  0,  0,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[ 9,  1,  0,  2],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 0,  9,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  1, 13]]), array([[ 9,  1,  1,  0],
       [ 3,  6,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  2,  0, 13]]), array([[ 6,  5,  0,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[ 9,  2,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  6,  3],
       [ 0,  1,  1, 13]]), array([[ 5,  5,  1,  0],
       [ 2,  5,  0,  2],
       [ 0,  0,  4,  6],
       [ 0,  1,  1, 13]]), array([[10,  1,  0,  0],
       [ 4,  4,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]]), array([[10,  1,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 11]]), array([[ 9,  1,  1,  0],
       [ 0,  9,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]])]"
9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7608695652173914, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.7555555555555555, 0.8222222222222222, 0.7111111111111111, 0.7555555555555555, 0.8222222222222222, 0.8666666666666667]","[0.7608695652173914, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.7555555555555555, 0.8222222222222222, 0.7111111111111111, 0.7555555555555555, 0.8222222222222222, 0.8666666666666667]","[0.7608695652173914, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.7555555555555555, 0.8222222222222222, 0.7111111111111111, 0.7555555555555555, 0.8222222222222222, 0.8666666666666667]","[0.7608695652173914, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.7555555555555555, 0.8222222222222222, 0.7111111111111111, 0.7555555555555555, 0.8222222222222222, 0.8666666666666667]","[0.7994505494505494, 0.766748366013072, 0.7545405982905983, 0.777922077922078, 0.7513888888888889, 0.8246527777777778, 0.71984126984127, 0.7641923436041083, 0.8425324675324676, 0.8763888888888889]","[0.7555555555555555, 0.7527777777777778, 0.7340909090909091, 0.7818181818181817, 0.7435064935064934, 0.8133838383838383, 0.6919191919191919, 0.730050505050505, 0.8166666666666667, 0.8684343434343434]","[0.7557266009852217, 0.7569444444444444, 0.735882483206614, 0.7783251231527093, 0.7437551559148655, 0.8171616029596307, 0.6952153110047847, 0.7301926691729324, 0.8173727422003284, 0.8684343434343434]","[0.7922838031533684, 0.7627877237851663, 0.7566657376439985, 0.7870129870129869, 0.7597530864197531, 0.8223765432098765, 0.7280423280423282, 0.7623446415603278, 0.8393939393939394, 0.8777777777777778]","[0.7608695652173914, 0.7608695652173914, 0.7391304347826086, 0.782608695652174, 0.7555555555555555, 0.8222222222222222, 0.7111111111111111, 0.7555555555555555, 0.8222222222222222, 0.8666666666666667]","[0.7588669950738918, 0.7590579710144927, 0.7400675907709392, 0.7833226244020846, 0.7541425140699188, 0.8205788513579689, 0.7086301612617402, 0.7444172932330828, 0.8202853493887976, 0.8684848484848484]","[array([[10,  0,  1,  1],
       [ 3,  5,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  4, 11]]), array([[10,  1,  0,  1],
       [ 2,  7,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  1,  2, 12]]), array([[ 7,  4,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[ 8,  2,  1,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  2,  1, 12]]), array([[ 6,  5,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 13]]), array([[10,  1,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  7,  2],
       [ 0,  1,  1, 13]]), array([[ 6,  4,  1,  0],
       [ 1,  5,  0,  3],
       [ 0,  0,  8,  2],
       [ 0,  1,  1, 13]]), array([[10,  1,  0,  0],
       [ 4,  4,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[11,  0,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]]), array([[ 9,  1,  1,  0],
       [ 0,  8,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]])]"
