colsample_bytree value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
0.6,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7391304347826086, 0.7608695652173914, 0.717391304347826, 0.8260869565217391, 0.7333333333333333, 0.7333333333333333, 0.6444444444444445, 0.8, 0.7777777777777778, 0.7777777777777778]","[0.7391304347826086, 0.7608695652173914, 0.717391304347826, 0.8260869565217391, 0.7333333333333333, 0.7333333333333333, 0.6444444444444445, 0.8, 0.7777777777777778, 0.7777777777777778]","[0.7391304347826086, 0.7608695652173914, 0.717391304347826, 0.8260869565217391, 0.7333333333333333, 0.7333333333333333, 0.6444444444444445, 0.8, 0.7777777777777778, 0.7777777777777778]","[0.7391304347826086, 0.7608695652173914, 0.717391304347826, 0.8260869565217391, 0.7333333333333333, 0.7333333333333333, 0.6444444444444445, 0.8, 0.7777777777777778, 0.7777777777777778]","[0.7606060606060605, 0.7715336134453782, 0.7390873015873015, 0.8226190476190477, 0.7274475524475524, 0.7457070707070708, 0.6293290043290043, 0.8138354700854701, 0.7983193277310924, 0.7847222222222222]","[0.7638888888888888, 0.7416666666666667, 0.7113636363636364, 0.8272727272727272, 0.7305194805194806, 0.7123737373737373, 0.6007575757575758, 0.7800505050505051, 0.7606060606060606, 0.7762626262626262]","[0.7479176201372998, 0.7483738687782806, 0.7110922467458969, 0.824287856071964, 0.7275132275132274, 0.7204545454545455, 0.6005941770647653, 0.7825868983957219, 0.7670955882352941, 0.7777589134125638]","[0.7704874835309617, 0.7687705516989404, 0.7428398895790201, 0.8266045548654245, 0.7373892773892774, 0.7407407407407408, 0.6365079365079365, 0.8074786324786325, 0.7914098972922501, 0.7850617283950617]","[0.7391304347826086, 0.7608695652173914, 0.717391304347826, 0.8260869565217391, 0.7333333333333333, 0.7333333333333333, 0.6444444444444445, 0.8, 0.7777777777777778, 0.7777777777777778]","[0.7394289125460153, 0.7571746507967737, 0.7169853104008268, 0.8256306629294048, 0.7339212228101116, 0.7292929292929293, 0.6255337690631808, 0.7901267577738166, 0.7732516339869281, 0.7787662705149971]","[array([[10,  2,  0,  0],
       [ 1,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  7,  8]]), array([[10,  1,  0,  1],
       [ 3,  6,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  1,  1, 13]]), array([[ 6,  5,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[10,  1,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  1,  2, 12]]), array([[ 7,  4,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 11]]), array([[ 8,  2,  0,  1],
       [ 3,  7,  0,  0],
       [ 0,  0,  5,  4],
       [ 0,  1,  1, 13]]), array([[ 7,  3,  1,  0],
       [ 3,  3,  0,  3],
       [ 1,  0,  5,  4],
       [ 0,  0,  1, 14]]), array([[10,  1,  0,  0],
       [ 2,  7,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  0,  1, 14]]), array([[10,  1,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  0,  1, 13]]), array([[ 8,  2,  0,  1],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  2, 12]])]"
0.7,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.782608695652174, 0.782608695652174, 0.7391304347826086, 0.8043478260869565, 0.8222222222222222, 0.8444444444444444, 0.6666666666666666, 0.8222222222222222, 0.6888888888888889, 0.7555555555555555]","[0.782608695652174, 0.782608695652174, 0.7391304347826086, 0.8043478260869565, 0.8222222222222222, 0.8444444444444444, 0.6666666666666666, 0.8222222222222222, 0.6888888888888889, 0.7555555555555555]","[0.782608695652174, 0.782608695652174, 0.7391304347826086, 0.8043478260869565, 0.8222222222222222, 0.8444444444444444, 0.6666666666666666, 0.8222222222222222, 0.6888888888888889, 0.7555555555555555]","[0.782608695652174, 0.782608695652174, 0.7391304347826086, 0.8043478260869565, 0.8222222222222222, 0.8444444444444444, 0.6666666666666666, 0.8222222222222222, 0.6888888888888889, 0.7555555555555555]","[0.7937271062271062, 0.7795454545454545, 0.7309027777777778, 0.8127042483660131, 0.8212121212121212, 0.8374999999999999, 0.6670008912655971, 0.8218531468531469, 0.7395833333333333, 0.7797827903091061]","[0.7791666666666667, 0.7819444444444443, 0.7234848484848485, 0.7939393939393938, 0.8282467532467532, 0.8323232323232324, 0.6530303030303031, 0.8078282828282828, 0.6633838383838384, 0.7474747474747475]","[0.7802348825587206, 0.779862700228833, 0.7256957259909943, 0.79917127510806, 0.8208458208458209, 0.8339562674802949, 0.6532894736842105, 0.805952380952381, 0.667003367003367, 0.7522875816993464]","[0.7968227424749164, 0.7851778656126482, 0.7383756038647343, 0.8079354930377948, 0.8292255892255892, 0.8475308641975308, 0.6758665082194494, 0.8254079254079253, 0.7305555555555555, 0.7709273182957393]","[0.782608695652174, 0.782608695652174, 0.7391304347826086, 0.8043478260869565, 0.8222222222222222, 0.8444444444444444, 0.6666666666666666, 0.8222222222222222, 0.6888888888888889, 0.7555555555555555]","[0.7844746105208265, 0.7831061585911848, 0.7373267304489042, 0.8021503526459501, 0.8217856217856216, 0.8451055174167302, 0.6647368421052632, 0.8164021164021165, 0.6783090160867938, 0.7511982570806098]","[array([[11,  1,  0,  0],
       [ 1,  6,  1,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[ 9,  1,  0,  2],
       [ 2,  7,  0,  0],
       [ 0,  1,  8,  1],
       [ 0,  1,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 3,  6,  0,  1],
       [ 1,  0,  7,  2],
       [ 0,  0,  2, 13]]), array([[10,  1,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  9,  1],
       [ 1,  0,  2, 11]]), array([[ 9,  1,  1,  0],
       [ 2,  8,  0,  0],
       [ 1,  0,  7,  1],
       [ 0,  0,  1, 14]]), array([[ 6,  4,  1,  0],
       [ 1,  6,  0,  2],
       [ 1,  0,  6,  3],
       [ 0,  1,  2, 12]]), array([[10,  1,  0,  0],
       [ 3,  5,  0,  1],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]]), array([[10,  1,  0,  0],
       [ 4,  4,  0,  1],
       [ 0,  0,  5,  5],
       [ 2,  1,  0, 12]]), array([[ 6,  2,  0,  3],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 13]])]"
0.8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.6956521739130435, 0.782608695652174, 0.6956521739130435, 0.782608695652174, 0.7777777777777778, 0.8222222222222222, 0.7333333333333333, 0.8666666666666667, 0.7777777777777778, 0.7555555555555555]","[0.6956521739130435, 0.782608695652174, 0.6956521739130435, 0.782608695652174, 0.7777777777777778, 0.8222222222222222, 0.7333333333333333, 0.8666666666666667, 0.7777777777777778, 0.7555555555555555]","[0.6956521739130435, 0.782608695652174, 0.6956521739130435, 0.782608695652174, 0.7777777777777778, 0.8222222222222222, 0.7333333333333333, 0.8666666666666667, 0.7777777777777778, 0.7555555555555555]","[0.6956521739130435, 0.782608695652174, 0.6956521739130435, 0.782608695652174, 0.7777777777777778, 0.8222222222222222, 0.7333333333333333, 0.8666666666666667, 0.7777777777777778, 0.7555555555555555]","[0.6923076923076923, 0.7887955182072829, 0.7033653846153847, 0.7993867243867244, 0.7749999999999999, 0.8208333333333333, 0.7444444444444445, 0.8680555555555556, 0.7682158119658119, 0.7714832144979205]","[0.6958333333333332, 0.7694444444444445, 0.6863636363636363, 0.7712121212121212, 0.7711038961038962, 0.8184343434343434, 0.7063131313131313, 0.8550505050505051, 0.76010101010101, 0.7535353535353535]","[0.6918290043290043, 0.7721394478844169, 0.6894755003450657, 0.7779857397504457, 0.7723727422003284, 0.8187515891177218, 0.7154798761609906, 0.8596064246913795, 0.7617518059855521, 0.7566311612364244]","[0.7037346711259755, 0.7900438436244063, 0.7116220735785952, 0.7914078674948241, 0.7777777777777778, 0.8228395061728395, 0.7450617283950618, 0.8679012345679012, 0.780650522317189, 0.7663547237076649]","[0.6956521739130435, 0.782608695652174, 0.6956521739130435, 0.782608695652174, 0.7777777777777778, 0.8222222222222222, 0.7333333333333333, 0.8666666666666667, 0.7777777777777778, 0.7555555555555555]","[0.697346132128741, 0.7799544016691344, 0.6989227953311129, 0.77993489886073, 0.7770479839445356, 0.8217137045512333, 0.7281733746130031, 0.8654760405675519, 0.7770037839697282, 0.7549846839320523]","[array([[ 9,  3,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  5, 10]]), array([[10,  1,  0,  1],
       [ 2,  7,  0,  0],
       [ 0,  1,  6,  3],
       [ 0,  1,  1, 13]]), array([[ 6,  5,  0,  0],
       [ 2,  7,  0,  1],
       [ 1,  0,  7,  2],
       [ 1,  1,  1, 12]]), array([[ 9,  2,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  6,  4],
       [ 1,  0,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 12]]), array([[ 9,  1,  0,  1],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  1, 13]]), array([[ 7,  3,  1,  0],
       [ 0,  5,  0,  4],
       [ 1,  0,  7,  2],
       [ 0,  0,  1, 14]]), array([[10,  1,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[ 9,  2,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  1,  1, 13]]), array([[ 7,  2,  0,  2],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]])]"
0.9,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0,  84,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0,  85,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7391304347826086, 0.7608695652173914, 0.7391304347826086, 0.8043478260869565, 0.7111111111111111, 0.7777777777777778, 0.7111111111111111, 0.8222222222222222, 0.8, 0.7777777777777778]","[0.7391304347826086, 0.7608695652173914, 0.7391304347826086, 0.8043478260869565, 0.7111111111111111, 0.7777777777777778, 0.7111111111111111, 0.8222222222222222, 0.8, 0.7777777777777778]","[0.7391304347826086, 0.7608695652173914, 0.7391304347826086, 0.8043478260869565, 0.7111111111111111, 0.7777777777777778, 0.7111111111111111, 0.8222222222222222, 0.8, 0.7777777777777778]","[0.7391304347826086, 0.7608695652173914, 0.7391304347826086, 0.8043478260869565, 0.7111111111111111, 0.7777777777777778, 0.7111111111111111, 0.8222222222222222, 0.8, 0.7777777777777778]","[0.7538461538461539, 0.7536764705882353, 0.7462568681318681, 0.802114898989899, 0.7007575757575757, 0.7939327485380118, 0.6996753246753247, 0.8232600732600733, 0.8194444444444444, 0.7938311688311689]","[0.7347222222222222, 0.7416666666666667, 0.7257575757575758, 0.7962121212121213, 0.6983766233766233, 0.7489898989898991, 0.6868686868686869, 0.8106060606060607, 0.7795454545454545, 0.7628787878787878]","[0.7294685990338163, 0.7447916666666666, 0.7267277177350604, 0.7984334002160828, 0.6988821976571523, 0.7549179855008363, 0.6874458874458874, 0.8125000000000001, 0.7901263272107262, 0.773225677830941]","[0.7598662207357859, 0.760230179028133, 0.752451624462494, 0.8035929951690821, 0.7081481481481482, 0.7864782326185835, 0.7067660734327401, 0.8261294261294261, 0.8148148148148148, 0.7850088183421517]","[0.7391304347826086, 0.7608695652173914, 0.7391304347826086, 0.8043478260869565, 0.7111111111111111, 0.7777777777777778, 0.7111111111111111, 0.8222222222222222, 0.8, 0.7777777777777778]","[0.7357697962612896, 0.7576992753623187, 0.7375939948514316, 0.8032405698678674, 0.7089332526719097, 0.7672343689573463, 0.703049543049543, 0.8203703703703705, 0.7983156371903175, 0.7763689526847422]","[array([[11,  1,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  5, 10]]), array([[10,  1,  0,  1],
       [ 2,  6,  1,  0],
       [ 0,  1,  6,  3],
       [ 0,  1,  1, 13]]), array([[ 7,  4,  0,  0],
       [ 2,  8,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  1,  1, 13]]), array([[ 9,  1,  1,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  1, 13]]), array([[ 7,  3,  1,  0],
       [ 4,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[ 9,  1,  0,  1],
       [ 2,  8,  0,  0],
       [ 1,  0,  4,  4],
       [ 0,  0,  1, 14]]), array([[ 7,  3,  1,  0],
       [ 1,  4,  0,  4],
       [ 1,  0,  8,  1],
       [ 0,  0,  2, 13]]), array([[10,  1,  0,  0],
       [ 2,  6,  0,  1],
       [ 1,  0,  8,  1],
       [ 0,  0,  2, 13]]), array([[ 9,  2,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  0, 14]]), array([[ 9,  1,  0,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]])]"
