Algorithm,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
"KNN ({'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}):","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[100,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 135,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 135]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  90,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]]), array([[101,   0,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  89,   0],
       [  0,   0,   0, 134]])]","[0.7608695652173914, 0.8478260869565217, 0.8043478260869565, 0.8043478260869565, 0.7777777777777778, 0.8222222222222222, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555, 0.7111111111111111]","[0.7608695652173914, 0.8478260869565217, 0.8043478260869565, 0.8043478260869565, 0.7777777777777778, 0.8222222222222222, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555, 0.7111111111111111]","[0.7608695652173914, 0.8478260869565217, 0.8043478260869565, 0.8043478260869565, 0.7777777777777778, 0.8222222222222222, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555, 0.7111111111111111]","[0.7608695652173914, 0.8478260869565217, 0.8043478260869565, 0.8043478260869565, 0.7777777777777778, 0.8222222222222222, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555, 0.7111111111111111]","[0.7723214285714286, 0.8531045751633988, 0.8340336134453782, 0.8048926767676767, 0.7762626262626262, 0.8298076923076922, 0.7076465201465201, 0.7545454545454546, 0.7581168831168832, 0.7083333333333334]","[0.7652777777777777, 0.8430555555555557, 0.7984848484848485, 0.7962121212121213, 0.7711038961038962, 0.8212121212121213, 0.6886363636363636, 0.7462121212121211, 0.7406565656565657, 0.7045454545454546]","[0.7665537218022005, 0.8443480861244019, 0.7984552373581012, 0.7997491896897669, 0.7720594589923083, 0.8188618925831201, 0.6776230868522959, 0.7495644298775228, 0.7430184194890077, 0.705456095481671]","[0.7700569358178054, 0.8530832622904235, 0.8301059554256485, 0.8060084541062801, 0.7789001122334456, 0.8320512820512821, 0.7245828245828246, 0.7555555555555555, 0.7550264550264549, 0.7111111111111111]","[0.7608695652173914, 0.8478260869565217, 0.8043478260869565, 0.8043478260869565, 0.7777777777777778, 0.8222222222222222, 0.6888888888888889, 0.7555555555555555, 0.7555555555555555, 0.7111111111111111]","[0.7634832316462089, 0.8465909090909092, 0.8009307555974337, 0.8043847346275927, 0.776769509981851, 0.8210798522307474, 0.6875735038006844, 0.7547965422728231, 0.7489007724301843, 0.7102585961921]","[array([[11,  1,  0,  0],
       [ 1,  7,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  5, 10]]), array([[ 9,  2,  0,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[ 8,  3,  0,  0],
       [ 0, 10,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  1,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 2,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[ 9,  2,  0,  0],
       [ 0, 10,  0,  0],
       [ 0,  0,  6,  3],
       [ 0,  1,  2, 12]]), array([[ 5,  5,  1,  0],
       [ 1,  6,  0,  2],
       [ 0,  0,  9,  1],
       [ 0,  2,  2, 11]]), array([[ 9,  2,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  3, 12]]), array([[ 9,  2,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  5,  5],
       [ 0,  0,  2, 13]]), array([[ 9,  2,  0,  0],
       [ 2,  6,  0,  1],
       [ 1,  0,  6,  3],
       [ 0,  0,  4, 11]])]"
"NLSVM ({'C': 5, 'degree': 3}):","[0.9212253829321663, 0.9234135667396062, 0.9104803493449781, 0.9213973799126638, 0.9130434782608695, 0.9215686274509803, 0.9235807860262009, 0.9192139737991266, 0.9192139737991266, 0.9148471615720524]","[0.9212253829321663, 0.9234135667396062, 0.9104803493449781, 0.9213973799126638, 0.9130434782608695, 0.9215686274509803, 0.9235807860262009, 0.9192139737991266, 0.9192139737991266, 0.9148471615720524]","[0.9212253829321663, 0.9234135667396062, 0.9104803493449781, 0.9213973799126638, 0.9130434782608695, 0.9215686274509803, 0.9235807860262009, 0.9192139737991266, 0.9192139737991266, 0.9148471615720524]","[0.9212253829321663, 0.9234135667396062, 0.9104803493449781, 0.9213973799126638, 0.9130434782608695, 0.9215686274509803, 0.9235807860262009, 0.9192139737991266, 0.9192139737991266, 0.9148471615720524]","[0.935945112911029, 0.9351329748897458, 0.9229698797758097, 0.9345642164537966, 0.924555594257444, 0.9328104392620521, 0.930540322939857, 0.9331344649950347, 0.9321338508717352, 0.9291870597859242]","[0.9117248029515345, 0.9154934596679525, 0.9019269820659745, 0.9103699297482993, 0.9033765548839529, 0.9109317275011084, 0.91561722204419, 0.9106667269946851, 0.9097813164680546, 0.9038295977006723]","[0.9202274704771406, 0.9223273643317638, 0.9089996740742562, 0.9188160465240656, 0.9107064296524227, 0.9188585421764197, 0.9207827670922863, 0.9185722705876718, 0.9178818017045577, 0.9123619986715225]","[0.9296108794708117, 0.930636163066456, 0.9186071171211063, 0.9294350627268829, 0.9203874651248674, 0.9277637000034921, 0.9286579790047552, 0.9276765561376046, 0.926463104928136, 0.9234403589015425]","[0.9212253829321663, 0.9234135667396062, 0.9104803493449781, 0.9213973799126638, 0.9130434782608695, 0.9215686274509803, 0.9235807860262009, 0.9192139737991266, 0.9192139737991266, 0.9148471615720524]","[0.9219151450367077, 0.9240762841061473, 0.911138981373401, 0.9218843170973534, 0.9135442414055504, 0.9218015663392349, 0.9238800915927704, 0.9201505426588974, 0.9198409639217793, 0.9151911584329966]","[array([[ 92,   2,   0,   6],
       [  1, 127,   0,   6],
       [  0,   0,  72,  17],
       [  0,   1,   3, 130]]), array([[ 95,   1,   0,   4],
       [  1, 126,   0,   7],
       [  0,   0,  72,  17],
       [  1,   0,   4, 129]]), array([[ 95,   1,   0,   5],
       [  3, 124,   0,   7],
       [  0,   0,  70,  19],
       [  0,   1,   5, 128]]), array([[ 92,   2,   0,   7],
       [  1, 129,   0,   4],
       [  0,   0,  71,  18],
       [  0,   0,   4, 130]]), array([[ 94,   2,   0,   5],
       [  2, 127,   0,   6],
       [  0,   0,  70,  19],
       [  1,   0,   5, 129]]), array([[ 92,   3,   0,   6],
       [  0, 131,   0,   3],
       [  0,   0,  72,  18],
       [  0,   1,   5, 128]]), array([[ 96,   0,   0,   5],
       [  4, 127,   0,   3],
       [  0,   0,  72,  17],
       [  1,   0,   5, 128]]), array([[ 94,   2,   0,   5],
       [  0, 126,   0,   8],
       [  0,   0,  72,  17],
       [  1,   0,   4, 129]]), array([[ 91,   4,   0,   6],
       [  0, 128,   0,   6],
       [  0,   0,  73,  16],
       [  1,   0,   4, 129]]), array([[ 92,   3,   0,   6],
       [  2, 127,   0,   5],
       [  0,   0,  70,  19],
       [  1,   0,   3, 130]])]","[0.8478260869565217, 0.8478260869565217, 0.8478260869565217, 0.782608695652174, 0.8, 0.8222222222222222, 0.8, 0.7555555555555555, 0.7777777777777778, 0.8]","[0.8478260869565217, 0.8478260869565217, 0.8478260869565217, 0.782608695652174, 0.8, 0.8222222222222222, 0.8, 0.7555555555555555, 0.7777777777777778, 0.8]","[0.8478260869565217, 0.8478260869565217, 0.8478260869565217, 0.782608695652174, 0.8, 0.8222222222222222, 0.8, 0.7555555555555555, 0.7777777777777778, 0.8]","[0.8478260869565217, 0.8478260869565217, 0.8478260869565217, 0.782608695652174, 0.8, 0.8222222222222222, 0.8, 0.7555555555555555, 0.7777777777777778, 0.8]","[0.8663901458019105, 0.8819444444444444, 0.8869949494949495, 0.825, 0.7989898989898989, 0.8642857142857143, 0.8041666666666667, 0.8355072463768116, 0.7905416951469584, 0.8037743506493507]","[0.8361111111111111, 0.8388888888888888, 0.8272727272727273, 0.7628787878787879, 0.7938311688311689, 0.8045454545454545, 0.781818181818182, 0.7295454545454545, 0.7545454545454546, 0.7901515151515152]","[0.8460855263157895, 0.8492063492063492, 0.8395847573479153, 0.7767857142857142, 0.7956525325853819, 0.8240079365079365, 0.7885918003565062, 0.7547462406015037, 0.7633689839572193, 0.7932813154587348]","[0.8548975889129341, 0.8677536231884058, 0.8725845410628018, 0.8130434782608695, 0.7995061728395062, 0.846984126984127, 0.8043209876543209, 0.8080837359098229, 0.7860902255639097, 0.8018578643578643]","[0.8478260869565217, 0.8478260869565217, 0.8478260869565217, 0.782608695652174, 0.8, 0.8222222222222222, 0.8, 0.7555555555555555, 0.7777777777777778, 0.8]","[0.8467591533180778, 0.8454106280193237, 0.8430042497548217, 0.7810559006211181, 0.7989917322040735, 0.823721340388007, 0.7973380867498515, 0.7540267335004177, 0.7725490196078432, 0.7978238607270864]","[array([[12,  0,  0,  0],
       [ 1,  7,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 13]]), array([[ 8,  1,  0,  3],
       [ 1,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  0, 15]]), array([[10,  1,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  0, 15]]), array([[ 9,  2,  0,  0],
       [ 1,  7,  0,  2],
       [ 0,  0,  6,  4],
       [ 0,  1,  0, 14]]), array([[ 9,  2,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  2, 12]]), array([[ 9,  0,  0,  2],
       [ 1,  8,  0,  1],
       [ 0,  0,  6,  3],
       [ 0,  0,  1, 14]]), array([[ 8,  2,  1,  0],
       [ 1,  6,  0,  2],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[ 9,  0,  0,  2],
       [ 1,  6,  0,  2],
       [ 0,  0,  5,  5],
       [ 0,  0,  1, 14]]), array([[ 9,  2,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  1, 14]]), array([[ 8,  1,  0,  2],
       [ 3,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]])]"
"GSVM ({'C': 5, 'gamma': 0.01}):","[0.9671772428884027, 0.962800875273523, 0.9563318777292577, 0.9606986899563319, 0.9543478260869566, 0.9564270152505446, 0.9563318777292577, 0.9519650655021834, 0.9672489082969432, 0.9519650655021834]","[0.9671772428884027, 0.962800875273523, 0.9563318777292577, 0.9606986899563319, 0.9543478260869566, 0.9564270152505446, 0.9563318777292577, 0.9519650655021834, 0.9672489082969432, 0.9519650655021834]","[0.9671772428884027, 0.962800875273523, 0.9563318777292577, 0.9606986899563319, 0.9543478260869566, 0.9564270152505446, 0.9563318777292577, 0.9519650655021834, 0.9672489082969432, 0.9519650655021834]","[0.9671772428884027, 0.962800875273523, 0.9563318777292577, 0.9606986899563319, 0.9543478260869566, 0.9564270152505446, 0.9563318777292577, 0.9519650655021834, 0.9672489082969432, 0.9519650655021834]","[0.9646326438672778, 0.960564286370738, 0.954703362373101, 0.9575108470078146, 0.9532066142029144, 0.9538141334096126, 0.9531877454657782, 0.950925925925926, 0.9654500762389127, 0.9496493952271985]","[0.9698029515344625, 0.9629326681200738, 0.9570845710262792, 0.9610917489535302, 0.9534981026192507, 0.9559947785823358, 0.9554737714254404, 0.9495799592536815, 0.9679658222404497, 0.9511328522588969]","[0.9667044244450318, 0.9615733301214611, 0.9554941652754136, 0.9590724452809989, 0.9532071730762233, 0.9547604471489965, 0.9541182558264449, 0.9501833063053633, 0.9664771833686501, 0.9503160836206329]","[0.9682124663301113, 0.9632763593093938, 0.9573315378542474, 0.9614405692401946, 0.9548512427599432, 0.9569830644256693, 0.9568367078926167, 0.9523936600355813, 0.9679280089478159, 0.9524746292349442]","[0.9671772428884027, 0.962800875273523, 0.9563318777292577, 0.9606986899563319, 0.9543478260869566, 0.9564270152505446, 0.9563318777292577, 0.9519650655021834, 0.9672489082969432, 0.9519650655021834]","[0.9672270474654842, 0.9628789883544824, 0.9564765787517159, 0.9608691876289228, 0.9544708499377469, 0.956580008587836, 0.956380160868999, 0.9521167743092149, 0.967394515979003, 0.9521582477535124]","[array([[ 98,   2,   0,   0],
       [  2, 131,   0,   1],
       [  0,   0,  88,   1],
       [  0,   1,   8, 125]]), array([[ 99,   1,   0,   0],
       [  0, 133,   0,   1],
       [  0,   0,  84,   5],
       [  0,   1,   9, 124]]), array([[ 98,   3,   0,   0],
       [  0, 132,   0,   2],
       [  0,   0,  85,   4],
       [  0,   1,  10, 123]]), array([[100,   1,   0,   0],
       [  1, 132,   0,   1],
       [  0,   0,  84,   5],
       [  0,   0,  10, 124]]), array([[ 98,   3,   0,   0],
       [  0, 133,   0,   2],
       [  0,   0,  83,   6],
       [  0,   1,   9, 125]]), array([[ 99,   2,   0,   0],
       [  1, 132,   0,   1],
       [  0,   0,  84,   6],
       [  0,   0,  10, 124]]), array([[100,   1,   0,   0],
       [  0, 134,   0,   0],
       [  0,   0,  82,   7],
       [  0,   1,  11, 122]]), array([[ 98,   3,   0,   0],
       [  0, 132,   0,   2],
       [  0,   0,  81,   8],
       [  0,   0,   9, 125]]), array([[ 99,   2,   0,   0],
       [  0, 132,   0,   2],
       [  0,   0,  86,   3],
       [  0,   0,   8, 126]]), array([[ 99,   2,   0,   0],
       [  1, 131,   0,   2],
       [  0,   0,  82,   7],
       [  0,   0,  10, 124]])]","[0.7608695652173914, 0.8478260869565217, 0.8478260869565217, 0.8043478260869565, 0.8, 0.9111111111111111, 0.7777777777777778, 0.8222222222222222, 0.7555555555555555, 0.8888888888888888]","[0.7608695652173914, 0.8478260869565217, 0.8478260869565217, 0.8043478260869565, 0.8, 0.9111111111111111, 0.7777777777777778, 0.8222222222222222, 0.7555555555555555, 0.8888888888888888]","[0.7608695652173914, 0.8478260869565217, 0.8478260869565217, 0.8043478260869565, 0.8, 0.9111111111111111, 0.7777777777777778, 0.8222222222222222, 0.7555555555555555, 0.8888888888888888]","[0.7608695652173914, 0.8478260869565217, 0.8478260869565217, 0.8043478260869565, 0.8, 0.9111111111111111, 0.7777777777777778, 0.8222222222222222, 0.7555555555555555, 0.8888888888888888]","[0.793956043956044, 0.8526199494949496, 0.8656045751633987, 0.814236111111111, 0.799963924963925, 0.9138888888888889, 0.7997159090909091, 0.8107954545454545, 0.7797619047619048, 0.9038461538461539]","[0.7583333333333332, 0.8472222222222222, 0.8401515151515153, 0.7984848484848485, 0.8009740259740259, 0.9138888888888889, 0.7724747474747474, 0.8045454545454547, 0.75, 0.8944444444444444]","[0.7645877061469265, 0.849290945924887, 0.8443480861244019, 0.8020219169624943, 0.7994702665755297, 0.9138888888888889, 0.7656934621355874, 0.806822494393652, 0.7533333333333334, 0.8875301932367149]","[0.7864309603440038, 0.8499258893280632, 0.8639528275078148, 0.8156702898550724, 0.7991021324354658, 0.9111111111111111, 0.8092171717171717, 0.8194444444444444, 0.7698412698412698, 0.9111111111111111]","[0.7608695652173914, 0.8478260869565217, 0.8478260869565217, 0.8043478260869565, 0.8, 0.9111111111111111, 0.7777777777777778, 0.8222222222222222, 0.7555555555555555, 0.8888888888888888]","[0.7641692197379572, 0.8481614732605647, 0.8476310588724776, 0.805965762295577, 0.7986633249791143, 0.9111111111111111, 0.7739370938991432, 0.8200295171832173, 0.7528888888888888, 0.8886070853462157]","[array([[12,  0,  0,  0],
       [ 1,  6,  1,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  5, 10]]), array([[10,  1,  0,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  2, 13]]), array([[ 8,  3,  0,  0],
       [ 0,  9,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[ 8,  3,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  2, 11]]), array([[11,  0,  0,  0],
       [ 0,  9,  0,  1],
       [ 0,  0,  8,  1],
       [ 0,  1,  1, 13]]), array([[ 6,  4,  1,  0],
       [ 0,  7,  0,  2],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]]), array([[ 9,  2,  0,  0],
       [ 2,  6,  1,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[11,  0,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  0,  4, 11]]), array([[11,  0,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0, 10,  0],
       [ 0,  0,  3, 12]])]"
LSVM ({'C': 0.05}):,"[0.8708971553610503, 0.888402625820569, 0.8930131004366813, 0.888646288209607, 0.8956521739130435, 0.8736383442265795, 0.8908296943231441, 0.8733624454148472, 0.8951965065502183, 0.8580786026200873]","[0.8708971553610503, 0.888402625820569, 0.8930131004366813, 0.888646288209607, 0.8956521739130435, 0.8736383442265795, 0.8908296943231441, 0.8733624454148472, 0.8951965065502183, 0.8580786026200873]","[0.8708971553610503, 0.888402625820569, 0.8930131004366813, 0.888646288209607, 0.8956521739130435, 0.8736383442265795, 0.8908296943231441, 0.8733624454148472, 0.8951965065502183, 0.8580786026200873]","[0.8708971553610503, 0.888402625820569, 0.8930131004366813, 0.888646288209607, 0.8956521739130435, 0.8736383442265795, 0.8908296943231441, 0.8733624454148472, 0.8951965065502183, 0.8580786026200873]","[0.8702944772331468, 0.8888377926421405, 0.8945293655042065, 0.8893873707555576, 0.8945741314629492, 0.8735017176690145, 0.8894596443228454, 0.8749287076400916, 0.8962704117000947, 0.860390603229938]","[0.8659353513332215, 0.8843250041925206, 0.8862320115962627, 0.8828344095519731, 0.8947264763929577, 0.8680491929789994, 0.8865288088426484, 0.8663930874053363, 0.8909276346048155, 0.852114234146876]","[0.8678723607988856, 0.8859430744514515, 0.8895216913072059, 0.8854664060997841, 0.894360649200031, 0.870248432606896, 0.8879001816315248, 0.8695139434272884, 0.8931742082119851, 0.8553748108775283]","[0.8708522389295319, 0.8892200844536493, 0.8938334667615425, 0.8891702960148734, 0.8960717714368701, 0.8740136689749473, 0.890705081870262, 0.8743857725912954, 0.8955948228701256, 0.8586830254069509]","[0.8708971553610503, 0.888402625820569, 0.8930131004366813, 0.888646288209607, 0.8956521739130435, 0.8736383442265795, 0.8908296943231441, 0.8733624454148472, 0.8951965065502183, 0.8580786026200873]","[0.8706427197315979, 0.8881785794551551, 0.8925826889614918, 0.8882725579315548, 0.8956070408047172, 0.8733179041037348, 0.8906839752854222, 0.8727460090697431, 0.8949690574056572, 0.8575397817880492]","[array([[ 83,  16,   0,   1],
       [ 10, 121,   0,   3],
       [  0,   0,  75,  14],
       [  2,   1,  12, 119]]), array([[ 84,  16,   0,   0],
       [  7, 125,   0,   2],
       [  0,   0,  78,  11],
       [  1,   2,  12, 119]]), array([[ 86,  15,   0,   0],
       [  4, 128,   0,   2],
       [  0,   0,  75,  14],
       [  2,   1,  11, 120]]), array([[ 85,  16,   0,   0],
       [  6, 126,   0,   2],
       [  0,   0,  76,  13],
       [  2,   1,  11, 120]]), array([[ 87,  13,   0,   1],
       [  9, 123,   0,   3],
       [  0,   0,  81,   8],
       [  0,   2,  12, 121]]), array([[ 83,  18,   0,   0],
       [ 10, 122,   0,   2],
       [  0,   0,  76,  14],
       [  0,   1,  13, 120]]), array([[ 88,  13,   0,   0],
       [ 11, 122,   0,   1],
       [  0,   0,  76,  13],
       [  1,   1,  10, 122]]), array([[ 81,  20,   0,   0],
       [  7, 125,   0,   2],
       [  0,   0,  75,  14],
       [  2,   1,  12, 119]]), array([[ 86,  15,   0,   0],
       [  7, 125,   0,   2],
       [  0,   0,  78,  11],
       [  2,   2,   9, 121]]), array([[ 79,  21,   0,   1],
       [ 11, 119,   0,   4],
       [  0,   0,  75,  14],
       [  1,   2,  11, 120]])]","[0.717391304347826, 0.8043478260869565, 0.7391304347826086, 0.8695652173913043, 0.7555555555555555, 0.8666666666666667, 0.8444444444444444, 0.8222222222222222, 0.7111111111111111, 0.8888888888888888]","[0.717391304347826, 0.8043478260869565, 0.7391304347826086, 0.8695652173913043, 0.7555555555555555, 0.8666666666666667, 0.8444444444444444, 0.8222222222222222, 0.7111111111111111, 0.8888888888888888]","[0.717391304347826, 0.8043478260869565, 0.7391304347826086, 0.8695652173913043, 0.7555555555555555, 0.8666666666666667, 0.8444444444444444, 0.8222222222222222, 0.7111111111111111, 0.8888888888888888]","[0.717391304347826, 0.8043478260869565, 0.7391304347826086, 0.8695652173913043, 0.7555555555555555, 0.8666666666666667, 0.8444444444444444, 0.8222222222222222, 0.7111111111111111, 0.8888888888888888]","[0.7173659673659674, 0.8175213675213675, 0.7712418300653595, 0.8722222222222222, 0.7604166666666667, 0.8668650793650794, 0.852114898989899, 0.8236222519310754, 0.7026515151515151, 0.8984848484848486]","[0.7208333333333333, 0.8125, 0.7325757575757575, 0.8651515151515152, 0.7483766233766235, 0.8684343434343434, 0.8406565656565657, 0.8073232323232324, 0.6984848484848485, 0.8911616161616162]","[0.7148033126293996, 0.8030416951469583, 0.718859649122807, 0.8651515151515152, 0.7498258446534308, 0.8651913220878739, 0.8434075780849974, 0.8121843434343434, 0.699927972423728, 0.893519225872167]","[0.728488902401946, 0.8262727610553698, 0.7822392725206023, 0.8792270531400966, 0.7625925925925927, 0.873968253968254, 0.8526515151515152, 0.8245098039215686, 0.7092592592592593, 0.8929292929292929]","[0.717391304347826, 0.8043478260869565, 0.7391304347826086, 0.8695652173913043, 0.7555555555555555, 0.8666666666666667, 0.8444444444444444, 0.8222222222222222, 0.7111111111111111, 0.8888888888888888]","[0.7187415608965704, 0.8047341674343962, 0.7301678108314265, 0.8711462450592886, 0.7548898951197802, 0.8679703438324129, 0.8456016385048644, 0.8200617283950618, 0.7095265044331259, 0.8898225957049486]","[array([[ 9,  3,  0,  0],
       [ 2,  6,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  5, 10]]), array([[ 9,  3,  0,  0],
       [ 0,  9,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[ 4,  7,  0,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  1,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 1,  8,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  1,  0, 14]]), array([[ 7,  4,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  1, 12]]), array([[ 9,  2,  0,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  8,  1],
       [ 0,  1,  1, 13]]), array([[ 9,  2,  0,  0],
       [ 0,  7,  0,  2],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]]), array([[ 9,  2,  0,  0],
       [ 2,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  0,  1, 14]]), array([[ 8,  3,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  6,  4],
       [ 0,  0,  3, 12]]), array([[10,  0,  0,  1],
       [ 1,  8,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  2, 13]])]"
