max_features value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
None,"[0.7426470588235294, 0.7401960784313726, 0.7794117647058824, 0.7769607843137255, 0.784841075794621, 0.7506112469437652, 0.7530562347188264, 0.7677261613691931, 0.7530562347188264, 0.7628361858190709]","[0.7426470588235294, 0.7401960784313726, 0.7794117647058824, 0.7769607843137255, 0.784841075794621, 0.7506112469437652, 0.7530562347188264, 0.7677261613691931, 0.7530562347188264, 0.7628361858190709]","[0.7426470588235294, 0.7401960784313726, 0.7794117647058824, 0.7769607843137255, 0.784841075794621, 0.7506112469437652, 0.7530562347188264, 0.7677261613691931, 0.7530562347188264, 0.7628361858190709]","[0.7426470588235294, 0.7401960784313726, 0.7794117647058824, 0.7769607843137255, 0.784841075794621, 0.7506112469437652, 0.7530562347188264, 0.7677261613691931, 0.7530562347188264, 0.7628361858190709]","[0.7478959052411208, 0.7470443948092553, 0.7812191974691974, 0.7759211878841794, 0.7887822817914352, 0.75327116087732, 0.7612415436855164, 0.7814683600713013, 0.7599167410050549, 0.7648629732367596]","[0.7387633790729105, 0.7447532331731954, 0.7658379974877294, 0.7684559607047166, 0.789594822243059, 0.7427678908615807, 0.761124622514436, 0.755750660914115, 0.7509719957208455, 0.7565709665046665]","[0.7332235960445203, 0.7315447395020435, 0.7714468177165306, 0.7688918653994823, 0.7839455350577011, 0.7443959630094819, 0.7469114225859517, 0.7609860295303064, 0.7484815868777861, 0.7549209549538949]","[0.7520857758539858, 0.7559286811640308, 0.7809723324061559, 0.781678994538263, 0.7973257743060745, 0.7531476032626065, 0.76866467457267, 0.7811152369371842, 0.7629318624147289, 0.7669302749571936]","[0.7426470588235294, 0.7401960784313726, 0.7794117647058824, 0.7769607843137255, 0.784841075794621, 0.7506112469437652, 0.7530562347188264, 0.7677261613691931, 0.7530562347188264, 0.7628361858190709]","[0.7375363451394185, 0.7345676933627039, 0.7780936917752569, 0.7763854446638693, 0.7859008693814, 0.7482414696982015, 0.7474159152608203, 0.7675023678708646, 0.7520085859894808, 0.7599873216529426]","[array([[ 53,  25,  10,  12],
       [ 11,  66,   0,   8],
       [  0,   1,  73,  15],
       [  0,   5,  18, 111]]), array([[ 52,  27,   7,  14],
       [ 10,  66,   4,   5],
       [  1,   0,  82,   6],
       [  0,   3,  29, 102]]), array([[ 75,  13,   6,   7],
       [ 18,  59,   1,   6],
       [  5,   1,  65,  18],
       [  6,   4,   5, 119]]), array([[ 85,   9,   6,   1],
       [ 27,  55,   1,   1],
       [  3,   0,  68,  18],
       [  2,   4,  19, 109]]), array([[83, 11,  5,  2],
       [17, 62,  1,  4],
       [ 3,  0, 77,  9],
       [ 2,  2, 32, 99]]), array([[ 64,  14,  10,  13],
       [ 17,  58,   0,   9],
       [  0,   1,  73,  16],
       [  1,   3,  18, 112]]), array([[ 54,  23,  10,  14],
       [  9,  70,   0,   6],
       [  2,   0,  83,   4],
       [  0,   2,  31, 101]]), array([[ 86,   8,   4,   3],
       [ 29,  54,   1,   1],
       [  5,   0,  63,  21],
       [ 12,   4,   7, 111]]), array([[ 70,   9,  10,  12],
       [ 21,  55,   4,   5],
       [  1,   0,  79,   9],
       [  3,   2,  25, 104]]), array([[ 74,   8,   6,  13],
       [ 27,  51,   1,   6],
       [  2,   0,  79,   8],
       [  0,   4,  22, 108]])]","[0.6521739130434783, 0.6521739130434783, 0.6521739130434783, 0.6739130434782609, 0.7111111111111111, 0.7777777777777778, 0.5777777777777777, 0.6222222222222222, 0.6888888888888889, 0.6666666666666666]","[0.6521739130434783, 0.6521739130434783, 0.6521739130434783, 0.6739130434782609, 0.7111111111111111, 0.7777777777777778, 0.5777777777777777, 0.6222222222222222, 0.6888888888888889, 0.6666666666666666]","[0.6521739130434783, 0.6521739130434783, 0.6521739130434783, 0.6739130434782609, 0.7111111111111111, 0.7777777777777778, 0.5777777777777777, 0.6222222222222222, 0.6888888888888889, 0.6666666666666666]","[0.6521739130434783, 0.6521739130434783, 0.6521739130434783, 0.6739130434782609, 0.7111111111111111, 0.7777777777777778, 0.5777777777777777, 0.6222222222222222, 0.6888888888888889, 0.6666666666666666]","[0.6746794871794871, 0.6580128205128205, 0.6585891812865496, 0.6764705882352942, 0.7320075757575757, 0.7944444444444444, 0.5724789915966386, 0.677457264957265, 0.7097319347319347, 0.6736694677871148]","[0.6652777777777777, 0.6638888888888889, 0.634090909090909, 0.6590909090909092, 0.722077922077922, 0.7618686868686868, 0.5553030303030303, 0.6151515151515151, 0.6896464646464646, 0.6585858585858586]","[0.6461352657004831, 0.6484848484848484, 0.640359477124183, 0.6642353165522502, 0.7046265328874024, 0.7725378787878788, 0.5503472222222222, 0.6072286933456348, 0.6843290043290043, 0.6599431818181818]","[0.6826923076923077, 0.6638795986622074, 0.6582443427409103, 0.6776427962489343, 0.7543771043771044, 0.7859259259259259, 0.5871148459383754, 0.6953941120607787, 0.711965811965812, 0.669654528478058]","[0.6521739130434783, 0.6521739130434783, 0.6521739130434783, 0.6739130434782609, 0.7111111111111111, 0.7777777777777778, 0.5777777777777777, 0.6222222222222222, 0.6888888888888889, 0.6666666666666666]","[0.643982356647763, 0.6466403162055336, 0.6487780619494175, 0.6723501807448679, 0.709233246624551, 0.7763468013468013, 0.5695987654320988, 0.6217629646715104, 0.686984126984127, 0.662449494949495]","[array([[ 5,  5,  0,  2],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  5, 10]]), array([[ 6,  4,  0,  2],
       [ 1,  8,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  1,  4, 10]]), array([[ 7,  4,  0,  0],
       [ 1,  6,  0,  3],
       [ 1,  0,  5,  4],
       [ 0,  0,  3, 12]]), array([[ 7,  2,  1,  1],
       [ 3,  6,  0,  1],
       [ 1,  0,  6,  3],
       [ 1,  1,  1, 12]]), array([[ 6,  3,  2,  0],
       [ 3,  7,  0,  0],
       [ 0,  0, 10,  0],
       [ 0,  1,  4,  9]]), array([[ 7,  2,  0,  2],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  2],
       [ 0,  1,  0, 14]]), array([[ 5,  3,  1,  2],
       [ 2,  3,  3,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  3, 11]]), array([[8, 1, 2, 0],
       [6, 3, 0, 0],
       [1, 0, 8, 1],
       [3, 0, 3, 9]]), array([[ 7,  1,  1,  2],
       [ 4,  5,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  5, 10]]), array([[ 6,  1,  1,  3],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  3, 11]])]"
sqrt,"[0.6078431372549019, 0.6151960784313726, 0.5980392156862745, 0.6274509803921569, 0.5794621026894865, 0.589242053789731, 0.6552567237163814, 0.628361858190709, 0.6039119804400978, 0.6405867970660146]","[0.6078431372549019, 0.6151960784313726, 0.5980392156862745, 0.6274509803921569, 0.5794621026894865, 0.589242053789731, 0.6552567237163814, 0.628361858190709, 0.6039119804400978, 0.6405867970660146]","[0.6078431372549019, 0.6151960784313726, 0.5980392156862745, 0.6274509803921569, 0.5794621026894865, 0.589242053789731, 0.6552567237163814, 0.628361858190709, 0.6039119804400978, 0.6405867970660146]","[0.6078431372549019, 0.6151960784313726, 0.5980392156862745, 0.6274509803921569, 0.5794621026894865, 0.589242053789731, 0.6552567237163814, 0.628361858190709, 0.6039119804400978, 0.6405867970660146]","[0.6104307271250258, 0.6125747185807923, 0.5898686197523407, 0.6392284384313432, 0.5862115010233115, 0.5933216272032062, 0.6552712477396021, 0.6193481688554484, 0.6093621226862787, 0.6426648811121833]","[0.6000609395191919, 0.6065342159000108, 0.5808125927108415, 0.6188169760592648, 0.5688340275975163, 0.5876171359140179, 0.6432733632785599, 0.6102643988540867, 0.5971916753976253, 0.6271255957066246]","[0.6005176272665033, 0.6066992509920767, 0.5757549397837104, 0.6206219520284642, 0.573693609215192, 0.5853392344944869, 0.6430301506005731, 0.6131279156820715, 0.5993217276901729, 0.6277602764572237]","[0.6149950573960242, 0.6268559281851336, 0.5952628789359296, 0.6410777805574066, 0.5883997760663121, 0.5963322358734789, 0.6631910406451583, 0.6262022375424852, 0.6118944254717072, 0.6568859046744826]","[0.6078431372549019, 0.6151960784313726, 0.5980392156862745, 0.6274509803921569, 0.5794621026894865, 0.589242053789731, 0.6552567237163814, 0.628361858190709, 0.6039119804400978, 0.6405867970660146]","[0.60697218958633, 0.6182638464962353, 0.5882519923138093, 0.6268321790594571, 0.5804713510866437, 0.5878335565145357, 0.6531956427011353, 0.6256048425696169, 0.6044565374832276, 0.6418983341248022]","[array([[71,  8, 11, 10],
       [30, 42,  1, 12],
       [ 8, 10, 50, 21],
       [22, 15, 12, 85]]), array([[62, 16, 12, 10],
       [30, 49,  1,  5],
       [13, 12, 49, 15],
       [11, 19, 13, 91]]), array([[72,  6,  7, 16],
       [34, 26,  3, 21],
       [10, 10, 56, 13],
       [16,  8, 20, 90]]), array([[67, 15,  4, 15],
       [18, 53,  1, 12],
       [20,  6, 44, 19],
       [13, 20,  9, 92]]), array([[59, 27,  6,  9],
       [14, 42,  2, 26],
       [13,  8, 48, 20],
       [29,  7, 11, 88]]), array([[47, 20, 12, 22],
       [13, 50,  7, 14],
       [ 3,  6, 59, 22],
       [ 9, 23, 17, 85]]), array([[ 54,  22,  11,  14],
       [ 11,  57,   2,  15],
       [  7,  14,  52,  16],
       [  3,  12,  14, 105]]), array([[ 58,  12,  11,  20],
       [ 29,  44,   2,  10],
       [ 11,  12,  51,  15],
       [  8,   7,  15, 104]]), array([[61, 18,  6, 16],
       [15, 51,  2, 17],
       [12, 11, 47, 19],
       [15, 19, 12, 88]]), array([[75, 13,  6,  7],
       [35, 44,  2,  4],
       [15, 11, 48, 15],
       [11, 17, 11, 95]])]","[0.43478260869565216, 0.6956521739130435, 0.5, 0.5869565217391305, 0.5333333333333333, 0.5555555555555556, 0.5333333333333333, 0.6, 0.5111111111111111, 0.4]","[0.43478260869565216, 0.6956521739130435, 0.5, 0.5869565217391305, 0.5333333333333333, 0.5555555555555556, 0.5333333333333333, 0.6, 0.5111111111111111, 0.4]","[0.43478260869565216, 0.6956521739130435, 0.5, 0.5869565217391305, 0.5333333333333333, 0.5555555555555556, 0.5333333333333333, 0.6, 0.5111111111111111, 0.4]","[0.43478260869565216, 0.6956521739130435, 0.5, 0.5869565217391305, 0.5333333333333333, 0.5555555555555556, 0.5333333333333333, 0.6, 0.5111111111111111, 0.4]","[0.4487179487179487, 0.6991185897435898, 0.509090909090909, 0.6173076923076923, 0.5622214795008912, 0.5141369047619048, 0.5629186602870814, 0.6087285902503293, 0.49354636591478696, 0.4305555555555556]","[0.44027777777777777, 0.6875, 0.5113636363636364, 0.5734848484848485, 0.5412337662337662, 0.5482323232323233, 0.503030303030303, 0.5563131313131313, 0.48484848484848486, 0.3941919191919192]","[0.44238250855897915, 0.6917846799161091, 0.5042735042735043, 0.5795766733266734, 0.5371808143547274, 0.5246415770609318, 0.5129551820728291, 0.5578221120984279, 0.48194014447884415, 0.39834139947570074]","[0.4439799331103679, 0.6964534559643255, 0.5057312252964428, 0.6319955406911929, 0.5681620122796593, 0.5267857142857143, 0.5719723551302498, 0.60914653784219, 0.5058925090504037, 0.4580246913580247]","[0.43478260869565216, 0.6956521739130435, 0.5, 0.5869565217391305, 0.5333333333333333, 0.5555555555555556, 0.5333333333333333, 0.6, 0.5111111111111111, 0.4]","[0.4371371737100637, 0.6946498247929866, 0.49684132292827937, 0.5949973939104375, 0.5349819799095161, 0.5353245718837117, 0.5338873327108622, 0.5796574770258981, 0.50067652792111, 0.4123613631780601]","[array([[5, 2, 1, 4],
       [3, 4, 1, 1],
       [2, 1, 5, 2],
       [5, 1, 3, 6]]), array([[ 9,  0,  0,  3],
       [ 2,  6,  1,  0],
       [ 2,  0,  6,  2],
       [ 0,  2,  2, 11]]), array([[6, 2, 1, 2],
       [4, 4, 0, 2],
       [1, 0, 7, 2],
       [4, 2, 3, 6]]), array([[ 8,  3,  0,  0],
       [ 4,  4,  0,  2],
       [ 1,  3,  5,  1],
       [ 2,  2,  1, 10]]), array([[7, 2, 1, 1],
       [4, 6, 0, 0],
       [1, 2, 5, 2],
       [5, 1, 2, 6]]), array([[ 2,  5,  2,  2],
       [ 2,  5,  1,  2],
       [ 1,  0,  7,  1],
       [ 2,  0,  2, 11]]), array([[ 6,  4,  0,  1],
       [ 3,  3,  0,  3],
       [ 1,  1,  4,  4],
       [ 0,  3,  1, 11]]), array([[ 7,  0,  1,  3],
       [ 4,  2,  0,  3],
       [ 0,  1,  5,  4],
       [ 0,  2,  0, 13]]), array([[ 3,  4,  2,  2],
       [ 1,  3,  0,  5],
       [ 1,  2,  6,  1],
       [ 2,  1,  1, 11]]), array([[5, 3, 2, 1],
       [6, 2, 0, 1],
       [1, 3, 5, 1],
       [6, 1, 2, 6]])]"
log2,"[0.5833333333333334, 0.5759803921568627, 0.5686274509803921, 0.5661764705882353, 0.5378973105134475, 0.5745721271393643, 0.58679706601467, 0.5721271393643031, 0.5843520782396088, 0.5647921760391198]","[0.5833333333333334, 0.5759803921568627, 0.5686274509803921, 0.5661764705882353, 0.5378973105134475, 0.5745721271393643, 0.58679706601467, 0.5721271393643031, 0.5843520782396088, 0.5647921760391198]","[0.5833333333333334, 0.5759803921568627, 0.5686274509803921, 0.5661764705882353, 0.5378973105134475, 0.5745721271393643, 0.58679706601467, 0.5721271393643031, 0.5843520782396088, 0.5647921760391198]","[0.5833333333333334, 0.5759803921568627, 0.5686274509803921, 0.5661764705882353, 0.5378973105134475, 0.5745721271393643, 0.58679706601467, 0.5721271393643031, 0.5843520782396088, 0.5647921760391198]","[0.5809430065392103, 0.5614856753512215, 0.5517872352120397, 0.5706347606492329, 0.5257536437966583, 0.5857565120970595, 0.583875248623686, 0.572922216588593, 0.578452156519585, 0.5576241869249294]","[0.5546632172909411, 0.5533812678182124, 0.5347401522812016, 0.5393638738589367, 0.4987734420847114, 0.5588569411312134, 0.5481498384866256, 0.5612444939288298, 0.545529315363593, 0.557862939202543]","[0.5587227601436279, 0.5381340157947803, 0.5324561097816912, 0.5357179491778468, 0.4959914551148522, 0.566761956802477, 0.545787505324886, 0.5620863393149274, 0.5335851972575025, 0.5560538082990478]","[0.5827289690148509, 0.5741680615012301, 0.5594659410836545, 0.5737060082908918, 0.5297099477886897, 0.5860897372184047, 0.5861768084120628, 0.5801368714853019, 0.579943272364861, 0.5723827461750796]","[0.5833333333333334, 0.5759803921568627, 0.5686274509803921, 0.5661764705882353, 0.5378973105134475, 0.5745721271393643, 0.58679706601467, 0.5721271393643031, 0.5843520782396088, 0.5647921760391198]","[0.5732603894321074, 0.558005408383742, 0.5533909243211569, 0.5522390060123028, 0.516871171397534, 0.5745728220680083, 0.5663294235157559, 0.5717784543027036, 0.5547547184709843, 0.5667568569632424]","[array([[ 56,  14,   9,  21],
       [ 17,  33,   6,  29],
       [  8,  12,  42,  27],
       [ 10,   7,  10, 107]]), array([[65, 17,  8, 10],
       [16, 51,  1, 17],
       [24, 24, 20, 21],
       [14, 13,  8, 99]]), array([[ 62,  14,   9,  16],
       [ 20,  28,   3,  33],
       [ 21,  15,  35,  18],
       [ 11,   2,  14, 107]]), array([[71,  9,  5, 16],
       [23, 34,  1, 26],
       [25, 15, 29, 20],
       [20,  6, 11, 97]]), array([[ 51,  11,   7,  32],
       [ 18,  30,  13,  23],
       [ 17,  12,  27,  33],
       [ 11,   5,   7, 112]]), array([[58, 15,  4, 24],
       [17, 38,  5, 24],
       [ 6, 10, 47, 27],
       [ 7, 23, 12, 92]]), array([[ 64,   7,   5,  25],
       [ 25,  29,   1,  30],
       [ 15,  18,  32,  24],
       [  3,   5,  11, 115]]), array([[65, 17,  0, 19],
       [17, 44,  4, 20],
       [11, 25, 40, 13],
       [16, 14, 19, 85]]), array([[ 67,   7,   6,  21],
       [ 21,  38,   2,  24],
       [ 22,  14,  19,  34],
       [  6,   6,   7, 115]]), array([[60, 15, 20,  6],
       [15, 41, 14, 15],
       [11, 14, 49, 15],
       [25, 10, 18, 81]])]","[0.5652173913043478, 0.5434782608695652, 0.5, 0.41304347826086957, 0.37777777777777777, 0.4444444444444444, 0.4222222222222222, 0.5111111111111111, 0.4666666666666667, 0.4]","[0.5652173913043478, 0.5434782608695652, 0.5, 0.41304347826086957, 0.37777777777777777, 0.4444444444444444, 0.4222222222222222, 0.5111111111111111, 0.4666666666666667, 0.4]","[0.5652173913043478, 0.5434782608695652, 0.5, 0.41304347826086957, 0.37777777777777777, 0.4444444444444444, 0.4222222222222222, 0.5111111111111111, 0.4666666666666667, 0.4]","[0.5652173913043478, 0.5434782608695652, 0.5, 0.41304347826086957, 0.37777777777777777, 0.4444444444444444, 0.4222222222222222, 0.5111111111111111, 0.4666666666666667, 0.4]","[0.5277777777777778, 0.5357142857142857, 0.4705128205128205, 0.47124811463046756, 0.34461152882205515, 0.4022041062801932, 0.40183080808080807, 0.5146183473389356, 0.3805555555555556, 0.40032051282051284]","[0.5222222222222221, 0.5111111111111111, 0.4651515151515151, 0.39469696969696966, 0.3516233766233766, 0.40429292929292926, 0.3909090909090909, 0.5015151515151515, 0.421969696969697, 0.41085858585858587]","[0.5147869674185463, 0.5104166666666666, 0.4465653153153153, 0.40259740259740256, 0.3409672169262962, 0.39097744360902253, 0.3858704292527822, 0.4906321510297483, 0.39741745668519124, 0.39733201581027666]","[0.5444444444444444, 0.5372670807453417, 0.47686733556298777, 0.48434323562200804, 0.35583402951824, 0.4145437466451959, 0.4092312008978676, 0.5216075319016495, 0.408641975308642, 0.4121082621082621]","[0.5652173913043478, 0.5434782608695652, 0.5, 0.41304347826086957, 0.37777777777777777, 0.4444444444444444, 0.4222222222222222, 0.5111111111111111, 0.4666666666666667, 0.4]","[0.5449493298463551, 0.5271739130434783, 0.4674402663533098, 0.4215132693393563, 0.3592962876850345, 0.41570593149540513, 0.4041017488076312, 0.5009852529875413, 0.4327630670880099, 0.3971892841458059]","[array([[ 8,  1,  1,  2],
       [ 1,  2,  2,  4],
       [ 2,  2,  4,  2],
       [ 1,  0,  2, 12]]), array([[ 6,  1,  1,  4],
       [ 2,  4,  1,  2],
       [ 2,  2,  3,  3],
       [ 2,  0,  1, 12]]), array([[ 8,  1,  1,  1],
       [ 5,  1,  0,  4],
       [ 0,  1,  3,  6],
       [ 0,  3,  1, 11]]), array([[6, 4, 0, 1],
       [5, 2, 0, 3],
       [1, 5, 3, 1],
       [5, 1, 1, 8]]), array([[4, 3, 2, 2],
       [4, 2, 0, 4],
       [3, 1, 2, 4],
       [1, 1, 3, 9]]), array([[ 3,  2,  2,  4],
       [ 1,  5,  0,  4],
       [ 3,  1,  1,  4],
       [ 1,  1,  2, 11]]), array([[ 4,  2,  0,  5],
       [ 1,  3,  1,  4],
       [ 4,  1,  2,  3],
       [ 0,  2,  3, 10]]), array([[ 3,  2,  0,  6],
       [ 1,  6,  1,  1],
       [ 2,  4,  4,  0],
       [ 2,  2,  1, 10]]), array([[ 5,  0,  3,  3],
       [ 5,  0,  0,  4],
       [ 1,  2,  5,  2],
       [ 1,  2,  1, 11]]), array([[5, 5, 1, 0],
       [0, 5, 2, 2],
       [3, 1, 3, 3],
       [4, 2, 4, 5]])]"
