ccp_alpha value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
0.0,"[0.7524509803921569, 0.7475490196078431, 0.7794117647058824, 0.7818627450980392, 0.7897310513447433, 0.7506112469437652, 0.7555012224938875, 0.7677261613691931, 0.7579462102689487, 0.7628361858190709]","[0.7524509803921569, 0.7475490196078431, 0.7794117647058824, 0.7818627450980392, 0.7897310513447433, 0.7506112469437652, 0.7555012224938875, 0.7677261613691931, 0.7579462102689487, 0.7628361858190709]","[0.7524509803921569, 0.7475490196078431, 0.7794117647058824, 0.7818627450980392, 0.7897310513447433, 0.7506112469437652, 0.7555012224938875, 0.7677261613691931, 0.7579462102689487, 0.7628361858190709]","[0.7524509803921569, 0.7475490196078431, 0.7794117647058824, 0.7818627450980392, 0.7897310513447433, 0.7506112469437652, 0.7555012224938875, 0.7677261613691931, 0.7579462102689487, 0.7628361858190709]","[0.7557854584021665, 0.7523015179265179, 0.7812191974691974, 0.7813094887736207, 0.7931491772910537, 0.75327116087732, 0.7629829733809195, 0.7814683600713013, 0.7640761780592289, 0.7648629732367596]","[0.7481126998845824, 0.7503502480985687, 0.7658379974877294, 0.7759605724773143, 0.7942556628589557, 0.7427678908615807, 0.762990294156227, 0.755750660914115, 0.7573202776078577, 0.7565709665046665]","[0.741748086279848, 0.7382271917091618, 0.7714468177165306, 0.7745225777738174, 0.7884045475783721, 0.7443959630094819, 0.7490036099890612, 0.7609860295303064, 0.7545752272018926, 0.7549209549538949]","[0.7610693976075404, 0.7596670588398529, 0.7809723324061559, 0.789133212102239, 0.8021133624962801, 0.7531476032626065, 0.77034809853388, 0.7811152369371842, 0.7672267353880217, 0.7669302749571936]","[0.7524509803921569, 0.7475490196078431, 0.7794117647058824, 0.7818627450980392, 0.7897310513447433, 0.7506112469437652, 0.7555012224938875, 0.7677261613691931, 0.7579462102689487, 0.7628361858190709]","[0.7468690902336121, 0.7412658673384499, 0.7780936917752569, 0.7817162547073715, 0.7906854326308022, 0.7482414696982015, 0.7497532891646692, 0.7675023678708646, 0.7572488458467543, 0.7599873216529426]","[array([[ 53,  25,  10,  12],
       [ 11,  66,   1,   7],
       [  0,   1,  75,  13],
       [  0,   5,  16, 113]]), array([[ 52,  27,   7,  14],
       [ 10,  66,   2,   7],
       [  1,   0,  82,   6],
       [  0,   3,  26, 105]]), array([[ 75,  13,   6,   7],
       [ 18,  59,   1,   6],
       [  5,   1,  65,  18],
       [  6,   4,   5, 119]]), array([[ 85,   9,   6,   1],
       [ 27,  55,   1,   1],
       [  3,   0,  72,  14],
       [  2,   4,  21, 107]]), array([[ 83,  11,   5,   2],
       [ 17,  62,   1,   4],
       [  3,   0,  78,   8],
       [  2,   2,  31, 100]]), array([[ 64,  14,  10,  13],
       [ 17,  58,   0,   9],
       [  0,   1,  73,  16],
       [  1,   3,  18, 112]]), array([[ 54,  23,  10,  14],
       [  9,  70,   0,   6],
       [  2,   0,  83,   4],
       [  0,   2,  30, 102]]), array([[ 86,   8,   4,   3],
       [ 29,  54,   1,   1],
       [  5,   0,  63,  21],
       [ 12,   4,   7, 111]]), array([[ 69,  10,  10,  12],
       [ 18,  58,   4,   5],
       [  1,   0,  79,   9],
       [  3,   2,  25, 104]]), array([[ 74,   8,   6,  13],
       [ 27,  51,   1,   6],
       [  2,   0,  79,   8],
       [  0,   4,  22, 108]])]","[0.6956521739130435, 0.6956521739130435, 0.6521739130434783, 0.6521739130434783, 0.7333333333333333, 0.7333333333333333, 0.5333333333333333, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666]","[0.6956521739130435, 0.6956521739130435, 0.6521739130434783, 0.6521739130434783, 0.7333333333333333, 0.7333333333333333, 0.5333333333333333, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666]","[0.6956521739130435, 0.6956521739130435, 0.6521739130434783, 0.6521739130434783, 0.7333333333333333, 0.7333333333333333, 0.5333333333333333, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666]","[0.6956521739130435, 0.6956521739130435, 0.6521739130434783, 0.6521739130434783, 0.7333333333333333, 0.7333333333333333, 0.5333333333333333, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666]","[0.7124554367201427, 0.705316742081448, 0.6585891812865496, 0.6510416666666666, 0.7424242424242424, 0.7465277777777778, 0.5493697478991596, 0.677457264957265, 0.7315934065934065, 0.6736694677871148]","[0.6986111111111111, 0.6972222222222222, 0.634090909090909, 0.6424242424242425, 0.7399350649350649, 0.7164141414141414, 0.521969696969697, 0.6151515151515151, 0.7174242424242424, 0.6585858585858586]","[0.683531746031746, 0.6859848484848484, 0.640359477124183, 0.6453827415663984, 0.725, 0.7215410685805423, 0.5174409323116219, 0.6072286933456348, 0.7127380952380953, 0.6599431818181818]","[0.719803534061846, 0.7092760180995475, 0.6582443427409103, 0.6535326086956522, 0.7636363636363636, 0.7416666666666667, 0.5661064425770309, 0.6953941120607787, 0.7322832722832723, 0.669654528478058]","[0.6956521739130435, 0.6956521739130435, 0.6521739130434783, 0.6521739130434783, 0.7333333333333333, 0.7333333333333333, 0.5333333333333333, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666]","[0.6855590062111802, 0.6883069828722003, 0.6487780619494175, 0.6515737480783489, 0.731851851851852, 0.727897395002658, 0.5329253583085001, 0.6217629646715104, 0.7110582010582011, 0.662449494949495]","[array([[ 5,  5,  0,  2],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]]), array([[ 6,  4,  0,  2],
       [ 1,  8,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  1,  2, 12]]), array([[ 7,  4,  0,  0],
       [ 1,  6,  0,  3],
       [ 1,  0,  5,  4],
       [ 0,  0,  3, 12]]), array([[ 7,  2,  1,  1],
       [ 3,  6,  0,  1],
       [ 1,  0,  6,  3],
       [ 1,  1,  2, 11]]), array([[ 6,  3,  2,  0],
       [ 3,  7,  0,  0],
       [ 0,  0, 10,  0],
       [ 0,  1,  3, 10]]), array([[ 5,  4,  0,  2],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  2],
       [ 0,  1,  0, 14]]), array([[5, 3, 2, 1],
       [2, 3, 3, 1],
       [0, 0, 7, 3],
       [0, 1, 5, 9]]), array([[8, 1, 2, 0],
       [6, 3, 0, 0],
       [1, 0, 8, 1],
       [3, 0, 3, 9]]), array([[ 7,  1,  1,  2],
       [ 3,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  5, 10]]), array([[ 6,  1,  1,  3],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  3, 11]])]"
0.01,"[0.7524509803921569, 0.7475490196078431, 0.7794117647058824, 0.7818627450980392, 0.7897310513447433, 0.7506112469437652, 0.7555012224938875, 0.7677261613691931, 0.7579462102689487, 0.7628361858190709]","[0.7524509803921569, 0.7475490196078431, 0.7794117647058824, 0.7818627450980392, 0.7897310513447433, 0.7506112469437652, 0.7555012224938875, 0.7677261613691931, 0.7579462102689487, 0.7628361858190709]","[0.7524509803921569, 0.7475490196078431, 0.7794117647058824, 0.7818627450980392, 0.7897310513447433, 0.7506112469437652, 0.7555012224938875, 0.7677261613691931, 0.7579462102689487, 0.7628361858190709]","[0.7524509803921569, 0.7475490196078431, 0.7794117647058824, 0.7818627450980392, 0.7897310513447433, 0.7506112469437652, 0.7555012224938875, 0.7677261613691931, 0.7579462102689487, 0.7628361858190709]","[0.7557854584021665, 0.7523015179265179, 0.7812191974691974, 0.7813094887736207, 0.7931491772910537, 0.75327116087732, 0.7629829733809195, 0.7814683600713013, 0.7640761780592289, 0.7648629732367596]","[0.7481126998845824, 0.7503502480985687, 0.7658379974877294, 0.7759605724773143, 0.7942556628589557, 0.7427678908615807, 0.762990294156227, 0.755750660914115, 0.7573202776078577, 0.7565709665046665]","[0.741748086279848, 0.7382271917091618, 0.7714468177165306, 0.7745225777738174, 0.7884045475783721, 0.7443959630094819, 0.7490036099890612, 0.7609860295303064, 0.7545752272018926, 0.7549209549538949]","[0.7610693976075404, 0.7596670588398529, 0.7809723324061559, 0.789133212102239, 0.8021133624962801, 0.7531476032626065, 0.77034809853388, 0.7811152369371842, 0.7672267353880217, 0.7669302749571936]","[0.7524509803921569, 0.7475490196078431, 0.7794117647058824, 0.7818627450980392, 0.7897310513447433, 0.7506112469437652, 0.7555012224938875, 0.7677261613691931, 0.7579462102689487, 0.7628361858190709]","[0.7468690902336121, 0.7412658673384499, 0.7780936917752569, 0.7817162547073715, 0.7906854326308022, 0.7482414696982015, 0.7497532891646692, 0.7675023678708646, 0.7572488458467543, 0.7599873216529426]","[array([[ 53,  25,  10,  12],
       [ 11,  66,   1,   7],
       [  0,   1,  75,  13],
       [  0,   5,  16, 113]]), array([[ 52,  27,   7,  14],
       [ 10,  66,   2,   7],
       [  1,   0,  82,   6],
       [  0,   3,  26, 105]]), array([[ 75,  13,   6,   7],
       [ 18,  59,   1,   6],
       [  5,   1,  65,  18],
       [  6,   4,   5, 119]]), array([[ 85,   9,   6,   1],
       [ 27,  55,   1,   1],
       [  3,   0,  72,  14],
       [  2,   4,  21, 107]]), array([[ 83,  11,   5,   2],
       [ 17,  62,   1,   4],
       [  3,   0,  78,   8],
       [  2,   2,  31, 100]]), array([[ 64,  14,  10,  13],
       [ 17,  58,   0,   9],
       [  0,   1,  73,  16],
       [  1,   3,  18, 112]]), array([[ 54,  23,  10,  14],
       [  9,  70,   0,   6],
       [  2,   0,  83,   4],
       [  0,   2,  30, 102]]), array([[ 86,   8,   4,   3],
       [ 29,  54,   1,   1],
       [  5,   0,  63,  21],
       [ 12,   4,   7, 111]]), array([[ 69,  10,  10,  12],
       [ 18,  58,   4,   5],
       [  1,   0,  79,   9],
       [  3,   2,  25, 104]]), array([[ 74,   8,   6,  13],
       [ 27,  51,   1,   6],
       [  2,   0,  79,   8],
       [  0,   4,  22, 108]])]","[0.6956521739130435, 0.6956521739130435, 0.6521739130434783, 0.6521739130434783, 0.7333333333333333, 0.7333333333333333, 0.5333333333333333, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666]","[0.6956521739130435, 0.6956521739130435, 0.6521739130434783, 0.6521739130434783, 0.7333333333333333, 0.7333333333333333, 0.5333333333333333, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666]","[0.6956521739130435, 0.6956521739130435, 0.6521739130434783, 0.6521739130434783, 0.7333333333333333, 0.7333333333333333, 0.5333333333333333, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666]","[0.6956521739130435, 0.6956521739130435, 0.6521739130434783, 0.6521739130434783, 0.7333333333333333, 0.7333333333333333, 0.5333333333333333, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666]","[0.7124554367201427, 0.705316742081448, 0.6585891812865496, 0.6510416666666666, 0.7424242424242424, 0.7465277777777778, 0.5493697478991596, 0.677457264957265, 0.7315934065934065, 0.6736694677871148]","[0.6986111111111111, 0.6972222222222222, 0.634090909090909, 0.6424242424242425, 0.7399350649350649, 0.7164141414141414, 0.521969696969697, 0.6151515151515151, 0.7174242424242424, 0.6585858585858586]","[0.683531746031746, 0.6859848484848484, 0.640359477124183, 0.6453827415663984, 0.725, 0.7215410685805423, 0.5174409323116219, 0.6072286933456348, 0.7127380952380953, 0.6599431818181818]","[0.719803534061846, 0.7092760180995475, 0.6582443427409103, 0.6535326086956522, 0.7636363636363636, 0.7416666666666667, 0.5661064425770309, 0.6953941120607787, 0.7322832722832723, 0.669654528478058]","[0.6956521739130435, 0.6956521739130435, 0.6521739130434783, 0.6521739130434783, 0.7333333333333333, 0.7333333333333333, 0.5333333333333333, 0.6222222222222222, 0.7111111111111111, 0.6666666666666666]","[0.6855590062111802, 0.6883069828722003, 0.6487780619494175, 0.6515737480783489, 0.731851851851852, 0.727897395002658, 0.5329253583085001, 0.6217629646715104, 0.7110582010582011, 0.662449494949495]","[array([[ 5,  5,  0,  2],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]]), array([[ 6,  4,  0,  2],
       [ 1,  8,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  1,  2, 12]]), array([[ 7,  4,  0,  0],
       [ 1,  6,  0,  3],
       [ 1,  0,  5,  4],
       [ 0,  0,  3, 12]]), array([[ 7,  2,  1,  1],
       [ 3,  6,  0,  1],
       [ 1,  0,  6,  3],
       [ 1,  1,  2, 11]]), array([[ 6,  3,  2,  0],
       [ 3,  7,  0,  0],
       [ 0,  0, 10,  0],
       [ 0,  1,  3, 10]]), array([[ 5,  4,  0,  2],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  2],
       [ 0,  1,  0, 14]]), array([[5, 3, 2, 1],
       [2, 3, 3, 1],
       [0, 0, 7, 3],
       [0, 1, 5, 9]]), array([[8, 1, 2, 0],
       [6, 3, 0, 0],
       [1, 0, 8, 1],
       [3, 0, 3, 9]]), array([[ 7,  1,  1,  2],
       [ 3,  6,  0,  0],
       [ 0,  0,  9,  1],
       [ 0,  0,  5, 10]]), array([[ 6,  1,  1,  3],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  3, 11]])]"
0.1,"[0.6225490196078431, 0.6299019607843137, 0.5980392156862745, 0.625, 0.6259168704156479, 0.6161369193154034, 0.6234718826405868, 0.58679706601467, 0.6210268948655256, 0.6332518337408313]","[0.6225490196078431, 0.6299019607843137, 0.5980392156862745, 0.625, 0.6259168704156479, 0.6161369193154034, 0.6234718826405868, 0.58679706601467, 0.6210268948655256, 0.6332518337408313]","[0.6225490196078431, 0.6299019607843137, 0.5980392156862745, 0.625, 0.6259168704156479, 0.6161369193154034, 0.6234718826405868, 0.58679706601467, 0.6210268948655256, 0.6332518337408313]","[0.6225490196078431, 0.6299019607843137, 0.5980392156862745, 0.625, 0.6259168704156479, 0.6161369193154034, 0.6234718826405868, 0.58679706601467, 0.6210268948655256, 0.6332518337408313]","[0.473192842354333, 0.48190561160952994, 0.4684770071394895, 0.4786397853494889, 0.47826384142173617, 0.4659754772945649, 0.4741324062375316, 0.4480630893360552, 0.4718204673173617, 0.48849176547036954]","[0.5856171390239813, 0.5918484823075634, 0.5810661206150801, 0.588657903606896, 0.5880739010230611, 0.5769830714414725, 0.6258000315672135, 0.5682193659580616, 0.5833527047153818, 0.5935664734509675]","[0.5197579993260445, 0.5272699570415581, 0.5018684896642915, 0.5238330066160255, 0.5239032372510399, 0.512637627092682, 0.5319834183673469, 0.49337151138743907, 0.5182221220534621, 0.5302038204595353]","[0.5084787103247096, 0.5125630327599254, 0.5137451288271083, 0.5128158680779361, 0.5105632496444489, 0.5016011855897607, 0.48849777182238574, 0.4815070555735002, 0.5057610883196693, 0.5193812547603396]","[0.6225490196078431, 0.6299019607843137, 0.5980392156862745, 0.625, 0.6259168704156479, 0.6161369193154034, 0.6234718826405868, 0.58679706601467, 0.6210268948655256, 0.6332518337408313]","[0.555980091004237, 0.5614159428307631, 0.5333941915591776, 0.5591242414633092, 0.5588382304111661, 0.5499992084747484, 0.5408297365400928, 0.5200597012460251, 0.5539923511050955, 0.5652623768158677]","[array([[ 78,   0,  11,  11],
       [ 77,   0,   4,   4],
       [  1,   0,  66,  22],
       [  5,   0,  19, 110]]), array([[ 79,   0,   6,  15],
       [ 76,   0,   1,   8],
       [  1,   0,  66,  22],
       [  3,   0,  19, 112]]), array([[78,  0, 16,  7],
       [77,  0,  1,  6],
       [ 1,  0, 83,  5],
       [ 4,  0, 47, 83]]), array([[ 80,   0,   6,  15],
       [ 78,   0,   1,   5],
       [  2,   0,  68,  19],
       [  4,   0,  23, 107]]), array([[ 80,   0,   4,  17],
       [ 75,   0,   1,   8],
       [  2,   0,  67,  20],
       [  3,   0,  23, 109]]), array([[ 78,   0,  11,  12],
       [ 75,   0,   4,   5],
       [  1,   0,  65,  24],
       [  4,   0,  21, 109]]), array([[  0,  77,   9,  15],
       [  0,  79,   0,   6],
       [  0,   2,  69,  18],
       [  0,   2,  25, 107]]), array([[80,  0,  4, 17],
       [76,  0,  1,  8],
       [ 2,  0, 76, 11],
       [ 4,  0, 46, 84]]), array([[ 79,   0,  10,  12],
       [ 76,   0,   4,   5],
       [  1,   0,  65,  23],
       [  5,   0,  19, 110]]), array([[ 82,   0,   5,  14],
       [ 78,   0,   1,   6],
       [  2,   0,  64,  23],
       [  4,   0,  17, 113]])]","[0.6304347826086957, 0.6086956521739131, 0.5, 0.6086956521739131, 0.6, 0.6666666666666666, 0.5111111111111111, 0.5333333333333333, 0.6, 0.5777777777777777]","[0.6304347826086957, 0.6086956521739131, 0.5, 0.6086956521739131, 0.6, 0.6666666666666666, 0.5111111111111111, 0.5333333333333333, 0.6, 0.5777777777777777]","[0.6304347826086957, 0.6086956521739131, 0.5, 0.6086956521739131, 0.6, 0.6666666666666666, 0.5111111111111111, 0.5333333333333333, 0.6, 0.5777777777777777]","[0.6304347826086957, 0.6086956521739131, 0.5, 0.6086956521739131, 0.6, 0.6666666666666666, 0.5111111111111111, 0.5333333333333333, 0.6, 0.5777777777777777]","[0.4805555555555555, 0.4830182072829132, 0.3781937017231135, 0.4950657894736842, 0.47467948717948716, 0.5378472222222221, 0.37218045112781956, 0.41084529505582135, 0.45482654600301664, 0.43780637254901955]","[0.5833333333333333, 0.5583333333333333, 0.5022727272727272, 0.5795454545454546, 0.5831168831168831, 0.6434343434343435, 0.4888888888888889, 0.5234848484848486, 0.5651515151515152, 0.5424242424242425]","[0.5234848484848484, 0.5056818181818181, 0.41742803811769336, 0.5209150326797386, 0.5113820261085338, 0.5770609318996416, 0.4215298767728435, 0.44363395225464186, 0.500103519668737, 0.4833228114478114]","[0.5144927536231885, 0.5174461088783339, 0.40022992069027874, 0.5094393592677345, 0.506011396011396, 0.5586111111111111, 0.39306599832915623, 0.44775474038631935, 0.49622926093514336, 0.4707788671023966]","[0.6304347826086957, 0.6086956521739131, 0.5, 0.6086956521739131, 0.6, 0.6666666666666666, 0.5111111111111111, 0.5333333333333333, 0.6, 0.5777777777777777]","[0.5632411067193676, 0.5475955204216073, 0.42814063053943113, 0.5427394146064223, 0.5358410951678835, 0.5992831541218638, 0.4434627605983105, 0.4678455643972886, 0.5387163561076604, 0.517531799476244]","[array([[10,  0,  0,  2],
       [ 8,  0,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  3, 12]]), array([[10,  0,  0,  2],
       [ 9,  0,  0,  0],
       [ 1,  0,  6,  3],
       [ 1,  0,  2, 12]]), array([[10,  0,  1,  0],
       [ 7,  0,  0,  3],
       [ 1,  0,  7,  2],
       [ 0,  0,  9,  6]]), array([[ 9,  0,  0,  2],
       [ 8,  0,  0,  2],
       [ 0,  0,  7,  3],
       [ 2,  0,  1, 12]]), array([[ 9,  0,  2,  0],
       [10,  0,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  3, 10]]), array([[ 9,  0,  0,  2],
       [10,  0,  0,  0],
       [ 0,  0,  8,  1],
       [ 1,  0,  1, 13]]), array([[ 0,  8,  1,  2],
       [ 0,  5,  3,  1],
       [ 0,  0,  6,  4],
       [ 0,  1,  2, 12]]), array([[8, 0, 2, 1],
       [7, 0, 0, 2],
       [0, 0, 9, 1],
       [0, 0, 8, 7]]), array([[ 8,  0,  1,  2],
       [ 9,  0,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  4, 11]]), array([[ 7,  0,  1,  3],
       [ 8,  0,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  3, 11]])]"
