min_samples_leaf value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
5,"[0.8861940298507462, 0.8973880597014925, 0.8992537313432836, 0.8768656716417911, 0.8851851851851852, 0.8899253731343284, 0.8899253731343284, 0.871268656716418, 0.8955223880597015, 0.8619402985074627]","[0.8861940298507462, 0.8973880597014925, 0.8992537313432836, 0.8768656716417911, 0.8851851851851852, 0.8899253731343284, 0.8899253731343284, 0.871268656716418, 0.8955223880597015, 0.8619402985074627]","[0.8861940298507462, 0.8973880597014925, 0.8992537313432836, 0.8768656716417911, 0.8851851851851852, 0.8899253731343284, 0.8899253731343284, 0.871268656716418, 0.8955223880597015, 0.8619402985074627]","[0.8861940298507462, 0.8973880597014925, 0.8992537313432836, 0.8768656716417911, 0.8851851851851852, 0.8899253731343284, 0.8899253731343284, 0.871268656716418, 0.8955223880597015, 0.8619402985074627]","[0.8875888820081363, 0.900267817140297, 0.900092076068307, 0.8785485331977263, 0.8859486527964789, 0.890251067140863, 0.8943666333666334, 0.8740299205236092, 0.9029729422584217, 0.8637533461260056]","[0.8861940298507462, 0.8973880597014925, 0.8992537313432836, 0.8768656716417911, 0.8851851851851852, 0.8899253731343284, 0.8899253731343284, 0.8712686567164178, 0.8955223880597014, 0.8619402985074627]","[0.886126476565911, 0.897973028186834, 0.8990302156810488, 0.8768064422298687, 0.8853621793371635, 0.8898612918943682, 0.8897021534041883, 0.8712795755380436, 0.895688649227594, 0.8615740740740742]","[0.8875888820081363, 0.900267817140297, 0.900092076068307, 0.8785485331977263, 0.8859486527964789, 0.8902510671408631, 0.8943666333666334, 0.8740299205236092, 0.9029729422584217, 0.8637533461260055]","[0.8861940298507462, 0.8973880597014925, 0.8992537313432836, 0.8768656716417911, 0.8851851851851852, 0.8899253731343284, 0.8899253731343284, 0.871268656716418, 0.8955223880597015, 0.8619402985074627]","[0.8861264765659111, 0.897973028186834, 0.8990302156810487, 0.8768064422298689, 0.8853621793371634, 0.8898612918943682, 0.8897021534041882, 0.8712795755380435, 0.895688649227594, 0.861574074074074]","[array([[122,   6,   4,   2],
       [ 13, 117,   1,   3],
       [  3,   3, 123,   5],
       [  6,   5,  10, 113]]), array([[121,   9,   1,   3],
       [ 12, 119,   0,   3],
       [  3,   0, 119,  12],
       [  8,   0,   4, 122]]), array([[117,  10,   4,   3],
       [ 10, 121,   1,   2],
       [  3,   0, 128,   3],
       [  3,   4,  11, 116]]), array([[118,   9,   4,   3],
       [ 18, 112,   0,   4],
       [  3,   1, 125,   5],
       [  4,   2,  13, 115]]), array([[121,   7,   2,   5],
       [  8, 123,   1,   3],
       [  5,   0, 116,  14],
       [  4,   2,  11, 118]]), array([[121,   7,   2,   4],
       [  8, 122,   0,   4],
       [  3,   6, 119,   6],
       [  4,   5,  10, 115]]), array([[127,   3,   1,   3],
       [ 14, 118,   0,   2],
       [  4,   2, 124,   4],
       [  9,   2,  15, 108]]), array([[120,   7,   0,   7],
       [ 21, 110,   2,   1],
       [  4,   1, 125,   4],
       [  5,   6,  11, 112]]), array([[131,   3,   0,   0],
       [ 16, 111,   1,   6],
       [  7,   2, 116,   9],
       [  7,   0,   5, 122]]), array([[121,   9,   4,   0],
       [ 15, 116,   0,   3],
       [  2,   4, 119,   9],
       [  8,   7,  13, 106]])]","[0.5869565217391305, 0.6304347826086957, 0.4782608695652174, 0.6521739130434783, 0.6666666666666666, 0.7555555555555555, 0.5555555555555556, 0.6, 0.6444444444444445, 0.5777777777777777]","[0.5869565217391305, 0.6304347826086957, 0.4782608695652174, 0.6521739130434783, 0.6666666666666666, 0.7555555555555555, 0.5555555555555556, 0.6, 0.6444444444444445, 0.5777777777777777]","[0.5869565217391305, 0.6304347826086957, 0.4782608695652174, 0.6521739130434783, 0.6666666666666666, 0.7555555555555555, 0.5555555555555556, 0.6, 0.6444444444444445, 0.5777777777777777]","[0.5869565217391305, 0.6304347826086957, 0.4782608695652174, 0.6521739130434783, 0.6666666666666666, 0.7555555555555555, 0.5555555555555556, 0.6, 0.6444444444444445, 0.5777777777777777]","[0.5739850427350428, 0.6333333333333333, 0.4632936507936508, 0.6553571428571427, 0.6556776556776557, 0.7510198135198135, 0.5386904761904762, 0.5916666666666667, 0.6618055555555555, 0.6107142857142858]","[0.5694444444444444, 0.6208333333333332, 0.46212121212121215, 0.6568181818181819, 0.6694805194805195, 0.7628787878787878, 0.5424242424242425, 0.5969696969696969, 0.630050505050505, 0.5702020202020203]","[0.5705163287725956, 0.6162280701754386, 0.45662431941923776, 0.6516666666666666, 0.6520275215927389, 0.7543290043290044, 0.537459963200218, 0.5936090225563909, 0.6262879420774157, 0.5743931930138827]","[0.5829384986993683, 0.636231884057971, 0.4859385783298827, 0.6638198757763975, 0.663899063899064, 0.7564102564102565, 0.5537037037037037, 0.5977777777777777, 0.6584567901234567, 0.6076190476190476]","[0.5869565217391305, 0.6304347826086957, 0.4782608695652174, 0.6521739130434783, 0.6666666666666666, 0.7555555555555555, 0.5555555555555556, 0.6, 0.6444444444444445, 0.5777777777777777]","[0.5838232905917959, 0.6235697940503432, 0.4766038033614771, 0.6530434782608695, 0.6553001838025992, 0.7532467532467533, 0.55190094346766, 0.5982734614313562, 0.6345369596831585, 0.5792832761108623]","[array([[ 8,  3,  0,  1],
       [ 4,  4,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  1,  4, 10]]), array([[ 9,  2,  0,  1],
       [ 3,  6,  0,  0],
       [ 1,  1,  4,  4],
       [ 2,  1,  2, 10]]), array([[ 2,  9,  0,  0],
       [ 5,  5,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  4, 10]]), array([[8, 3, 0, 0],
       [3, 6, 0, 1],
       [1, 0, 7, 2],
       [2, 1, 3, 9]]), array([[ 4,  5,  1,  1],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  3, 10]]), array([[ 9,  1,  1,  0],
       [ 1,  9,  0,  0],
       [ 0,  0,  6,  3],
       [ 1,  2,  2, 10]]), array([[7, 3, 1, 0],
       [5, 3, 0, 1],
       [0, 0, 6, 4],
       [0, 1, 5, 9]]), array([[ 5,  3,  1,  2],
       [ 3,  6,  0,  0],
       [ 1,  0,  6,  3],
       [ 1,  1,  3, 10]]), array([[10,  1,  0,  0],
       [ 5,  4,  0,  0],
       [ 0,  0,  5,  5],
       [ 1,  0,  4, 10]]), array([[7, 1, 2, 1],
       [4, 4, 0, 1],
       [1, 0, 6, 3],
       [2, 0, 4, 9]])]"
10,"[0.8451492537313433, 0.8302238805970149, 0.8582089552238806, 0.835820895522388, 0.812962962962963, 0.8414179104477612, 0.8432835820895522, 0.8246268656716418, 0.8134328358208955, 0.8097014925373134]","[0.8451492537313433, 0.8302238805970149, 0.8582089552238806, 0.835820895522388, 0.812962962962963, 0.8414179104477612, 0.8432835820895522, 0.8246268656716418, 0.8134328358208955, 0.8097014925373134]","[0.8451492537313433, 0.8302238805970149, 0.8582089552238806, 0.835820895522388, 0.812962962962963, 0.8414179104477612, 0.8432835820895522, 0.8246268656716418, 0.8134328358208955, 0.8097014925373134]","[0.8451492537313433, 0.8302238805970149, 0.8582089552238806, 0.835820895522388, 0.812962962962963, 0.8414179104477612, 0.8432835820895522, 0.8246268656716418, 0.8134328358208955, 0.8097014925373134]","[0.8461365173716408, 0.8305937427131806, 0.859697622721828, 0.8386198671683835, 0.8217516231425266, 0.843353022408012, 0.8441847808643672, 0.8249784886336294, 0.8143675227109011, 0.8232303426359527]","[0.8451492537313432, 0.830223880597015, 0.8582089552238805, 0.835820895522388, 0.8129629629629629, 0.8414179104477612, 0.8432835820895522, 0.8246268656716418, 0.8134328358208955, 0.8097014925373134]","[0.8450867780498343, 0.829469707615802, 0.8582126273166121, 0.8355244679458435, 0.8118541476485879, 0.8413706992230854, 0.8431354896717176, 0.8244026946636356, 0.8132346181496609, 0.8105142236879117]","[0.8461365173716408, 0.8305937427131805, 0.8596976227218279, 0.8386198671683837, 0.8217516231425266, 0.843353022408012, 0.8441847808643672, 0.8249784886336294, 0.8143675227109011, 0.8232303426359528]","[0.8451492537313433, 0.8302238805970149, 0.8582089552238806, 0.835820895522388, 0.812962962962963, 0.8414179104477612, 0.8432835820895522, 0.8246268656716418, 0.8134328358208955, 0.8097014925373134]","[0.8450867780498342, 0.8294697076158021, 0.8582126273166121, 0.8355244679458435, 0.8118541476485878, 0.8413706992230855, 0.8431354896717178, 0.8244026946636355, 0.8132346181496609, 0.8105142236879117]","[array([[119,  12,   0,   3],
       [ 13, 114,   0,   7],
       [ 11,   0, 111,  12],
       [  3,   5,  17, 109]]), array([[108,  15,   2,   9],
       [ 22, 105,   1,   6],
       [  1,   0, 124,   9],
       [  4,   2,  20, 108]]), array([[110,  15,   4,   5],
       [ 15, 116,   1,   2],
       [  5,   3, 112,  14],
       [  4,   3,   5, 122]]), array([[107,  22,   4,   1],
       [ 15, 116,   2,   1],
       [  3,   1, 120,  10],
       [  4,   6,  19, 105]]), array([[121,   4,   3,   7],
       [ 30,  97,   1,   7],
       [  3,   1, 121,  10],
       [  9,   4,  22, 100]]), array([[119,  11,   0,   4],
       [ 17, 114,   1,   2],
       [  7,   4, 108,  15],
       [  3,   9,  12, 110]]), array([[113,  19,   0,   2],
       [ 11, 116,   0,   7],
       [  5,   0, 119,  10],
       [ 14,   1,  15, 104]]), array([[105,  22,   3,   4],
       [ 13, 118,   0,   3],
       [  7,   0, 112,  15],
       [  8,   4,  15, 107]]), array([[103,  23,   4,   4],
       [ 16, 113,   2,   3],
       [  7,   0, 116,  11],
       [  8,   6,  16, 104]]), array([[118,   7,   6,   3],
       [ 30,  98,   3,   3],
       [  5,   0, 115,  14],
       [ 14,   0,  17, 103]])]","[0.6086956521739131, 0.6086956521739131, 0.5652173913043478, 0.6304347826086957, 0.6666666666666666, 0.6222222222222222, 0.5777777777777777, 0.6444444444444445, 0.5555555555555556, 0.6]","[0.6086956521739131, 0.6086956521739131, 0.5652173913043478, 0.6304347826086957, 0.6666666666666666, 0.6222222222222222, 0.5777777777777777, 0.6444444444444445, 0.5555555555555556, 0.6]","[0.6086956521739131, 0.6086956521739131, 0.5652173913043478, 0.6304347826086957, 0.6666666666666666, 0.6222222222222222, 0.5777777777777777, 0.6444444444444445, 0.5555555555555556, 0.6]","[0.6086956521739131, 0.6086956521739131, 0.5652173913043478, 0.6304347826086957, 0.6666666666666666, 0.6222222222222222, 0.5777777777777777, 0.6444444444444445, 0.5555555555555556, 0.6]","[0.6556234335839598, 0.6013986013986014, 0.5563988095238095, 0.6312271062271062, 0.6831168831168831, 0.6832386363636364, 0.5452205882352942, 0.6501623376623377, 0.5542929292929293, 0.6017628205128205]","[0.6305555555555555, 0.6124999999999999, 0.5492424242424242, 0.6318181818181818, 0.6675324675324675, 0.6058080808080808, 0.5469696969696969, 0.6474747474747474, 0.564141414141414, 0.5845959595959596]","[0.6052615403528182, 0.6017316017316018, 0.540329571556976, 0.6297338173018754, 0.6627231591937475, 0.6134624783818332, 0.5447829131652661, 0.6445152423788105, 0.5476468611480053, 0.5862903225806452]","[0.6786735861392611, 0.6174369109151717, 0.5694228778467909, 0.6321468386685779, 0.6917941317941317, 0.6736111111111112, 0.5658496732026144, 0.6542568542568543, 0.5745230078563413, 0.6032051282051282]","[0.6086956521739131, 0.6086956521739131, 0.5652173913043478, 0.6304347826086957, 0.6666666666666666, 0.6222222222222222, 0.5777777777777777, 0.6444444444444445, 0.5555555555555556, 0.6]","[0.6018007039261117, 0.6082251082251082, 0.5561439693615692, 0.6295536442305163, 0.6667624662918782, 0.6225990258248323, 0.5703236850295673, 0.6455694375034705, 0.5537679203583095, 0.595794504181601]","[array([[8, 3, 0, 1],
       [3, 5, 1, 0],
       [1, 0, 9, 0],
       [0, 0, 9, 6]]), array([[ 5,  6,  0,  1],
       [ 3,  6,  0,  0],
       [ 1,  0,  7,  2],
       [ 1,  0,  4, 10]]), array([[ 4,  7,  0,  0],
       [ 3,  7,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  1,  3, 11]]), array([[8, 2, 0, 1],
       [3, 6, 0, 1],
       [1, 0, 6, 3],
       [1, 2, 3, 9]]), array([[8, 2, 1, 0],
       [5, 5, 0, 0],
       [0, 0, 8, 2],
       [2, 0, 3, 9]]), array([[ 6,  4,  0,  1],
       [ 3,  7,  0,  0],
       [ 1,  0,  4,  4],
       [ 1,  3,  0, 11]]), array([[ 5,  4,  1,  1],
       [ 4,  3,  1,  1],
       [ 1,  0,  6,  3],
       [ 0,  1,  2, 12]]), array([[ 6,  4,  0,  1],
       [ 1,  7,  0,  1],
       [ 2,  0,  6,  2],
       [ 3,  0,  2, 10]]), array([[6, 5, 0, 0],
       [2, 7, 0, 0],
       [2, 1, 4, 3],
       [1, 1, 5, 8]]), array([[ 8,  1,  1,  1],
       [ 4,  4,  0,  1],
       [ 0,  1,  5,  4],
       [ 1,  0,  4, 10]])]"
15,"[0.8115671641791045, 0.7966417910447762, 0.7966417910447762, 0.8097014925373134, 0.7870370370370371, 0.7985074626865671, 0.8041044776119403, 0.7835820895522388, 0.7947761194029851, 0.7985074626865671]","[0.8115671641791045, 0.7966417910447762, 0.7966417910447762, 0.8097014925373134, 0.7870370370370371, 0.7985074626865671, 0.8041044776119403, 0.7835820895522388, 0.7947761194029851, 0.7985074626865671]","[0.8115671641791045, 0.7966417910447762, 0.7966417910447762, 0.8097014925373134, 0.7870370370370371, 0.7985074626865671, 0.8041044776119403, 0.7835820895522388, 0.7947761194029851, 0.7985074626865671]","[0.8115671641791045, 0.7966417910447762, 0.7966417910447762, 0.8097014925373134, 0.7870370370370371, 0.7985074626865671, 0.8041044776119403, 0.7835820895522388, 0.7947761194029851, 0.7985074626865671]","[0.8105631246777018, 0.8006290824787626, 0.7966117194388902, 0.809824800054314, 0.7992328705435034, 0.798801844188727, 0.8075601479753022, 0.792689495828486, 0.8001973081742819, 0.7998286206547076]","[0.8115671641791045, 0.7966417910447762, 0.7966417910447762, 0.8097014925373134, 0.787037037037037, 0.7985074626865672, 0.8041044776119403, 0.7835820895522387, 0.7947761194029851, 0.7985074626865671]","[0.8104782480338443, 0.7955175923271792, 0.7960314166474685, 0.8091983062565126, 0.7890396737588901, 0.7971409487824153, 0.8040438587907783, 0.7831207675227072, 0.7947986492286019, 0.7986381819334676]","[0.8105631246777016, 0.8006290824787626, 0.7966117194388902, 0.809824800054314, 0.7992328705435034, 0.798801844188727, 0.8075601479753023, 0.792689495828486, 0.8001973081742819, 0.7998286206547076]","[0.8115671641791045, 0.7966417910447762, 0.7966417910447762, 0.8097014925373134, 0.7870370370370371, 0.7985074626865671, 0.8041044776119403, 0.7835820895522388, 0.7947761194029851, 0.7985074626865671]","[0.8104782480338443, 0.7955175923271791, 0.7960314166474686, 0.8091983062565126, 0.7890396737588901, 0.7971409487824151, 0.8040438587907783, 0.7831207675227071, 0.7947986492286019, 0.7986381819334675]","[array([[ 94,  24,   7,   9],
       [ 11, 117,   3,   3],
       [  7,   0, 113,  14],
       [ 11,   2,  10, 111]]), array([[ 93,  31,   4,   6],
       [ 12, 111,   2,   9],
       [  2,   0, 118,  14],
       [  1,   5,  23, 105]]), array([[ 98,  21,   8,   7],
       [ 21, 103,   1,   9],
       [  7,   0, 115,  12],
       [  3,   1,  19, 111]]), array([[103,  18,   4,   9],
       [ 24, 102,   1,   7],
       [  3,   0, 117,  14],
       [  1,   4,  17, 112]]), array([[105,  23,   1,   6],
       [ 20, 113,   0,   2],
       [ 16,   0,  99,  20],
       [ 15,   6,   6, 108]]), array([[102,  21,   3,   8],
       [ 15, 113,   2,   4],
       [  5,   0, 118,  11],
       [  8,   4,  27,  95]]), array([[111,  15,   3,   5],
       [ 30,  97,   0,   7],
       [  3,   1, 116,  14],
       [  8,   3,  16, 107]]), array([[107,  14,   7,   6],
       [ 32,  92,   6,   4],
       [  5,   0, 119,  10],
       [  8,   0,  24, 102]]), array([[ 99,  21,   4,  10],
       [ 14, 108,   1,  11],
       [  9,   1, 102,  22],
       [  4,   3,  10, 117]]), array([[101,  22,   2,   9],
       [ 14, 112,   1,   7],
       [  4,   0, 109,  21],
       [  6,   4,  18, 106]])]","[0.6304347826086957, 0.6739130434782609, 0.5434782608695652, 0.5869565217391305, 0.6444444444444445, 0.7333333333333333, 0.6444444444444445, 0.6222222222222222, 0.7111111111111111, 0.7333333333333333]","[0.6304347826086957, 0.6739130434782609, 0.5434782608695652, 0.5869565217391305, 0.6444444444444445, 0.7333333333333333, 0.6444444444444445, 0.6222222222222222, 0.7111111111111111, 0.7333333333333333]","[0.6304347826086957, 0.6739130434782609, 0.5434782608695652, 0.5869565217391305, 0.6444444444444445, 0.7333333333333333, 0.6444444444444445, 0.6222222222222222, 0.7111111111111111, 0.7333333333333333]","[0.6304347826086957, 0.6739130434782609, 0.5434782608695652, 0.5869565217391305, 0.6444444444444445, 0.7333333333333333, 0.6444444444444445, 0.6222222222222222, 0.7111111111111111, 0.7333333333333333]","[0.6431623931623931, 0.6690705128205128, 0.5331699346405229, 0.603611300979722, 0.6482517482517482, 0.734090909090909, 0.6307003862150921, 0.6251803751803752, 0.7139819245082403, 0.7795138888888888]","[0.6291666666666667, 0.6819444444444445, 0.528030303030303, 0.5696969696969697, 0.6448051948051948, 0.7396464646464647, 0.6330808080808081, 0.6247474747474747, 0.6979797979797979, 0.7623737373737374]","[0.6304347826086956, 0.6623376623376623, 0.5293703007518797, 0.5778711484593837, 0.6425000000000001, 0.7324118376749955, 0.6256578947368421, 0.6016483516483517, 0.6911764705882353, 0.753973609236767]","[0.6510590858416946, 0.6892419175027871, 0.5406081273088946, 0.6023012075643654, 0.6609168609168609, 0.7507407407407407, 0.6388014128210208, 0.6462722462722463, 0.7117963258314136, 0.7694444444444445]","[0.6304347826086957, 0.6739130434782609, 0.5434782608695652, 0.5869565217391305, 0.6444444444444445, 0.7333333333333333, 0.6444444444444445, 0.6222222222222222, 0.7111111111111111, 0.7333333333333333]","[0.6351606805293006, 0.6692546583850931, 0.5406791435109513, 0.5858726099135306, 0.6480740740740741, 0.7369956878728808, 0.6356140350877193, 0.6117216117216117, 0.6971241830065359, 0.7350027490378368]","[array([[ 7,  3,  1,  1],
       [ 2,  6,  1,  0],
       [ 0,  0,  6,  4],
       [ 0,  0,  5, 10]]), array([[ 5,  5,  1,  1],
       [ 2,  7,  0,  0],
       [ 1,  0,  8,  1],
       [ 0,  1,  3, 11]]), array([[ 6,  5,  0,  0],
       [ 3,  4,  0,  3],
       [ 1,  0,  5,  4],
       [ 0,  0,  5, 10]]), array([[ 6,  4,  0,  1],
       [ 3,  5,  0,  2],
       [ 0,  0,  5,  5],
       [ 0,  2,  2, 11]]), array([[7, 3, 1, 0],
       [4, 6, 0, 0],
       [1, 0, 7, 2],
       [1, 1, 3, 9]]), array([[ 7,  4,  0,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  1],
       [ 1,  1,  2, 11]]), array([[ 5,  4,  1,  1],
       [ 1,  7,  1,  0],
       [ 1,  0,  5,  4],
       [ 1,  0,  2, 12]]), array([[ 5,  3,  3,  0],
       [ 3,  4,  0,  2],
       [ 0,  0, 10,  0],
       [ 1,  0,  5,  9]]), array([[ 7,  3,  0,  1],
       [ 1,  8,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  0,  2, 13]]), array([[8, 0, 1, 2],
       [0, 8, 0, 1],
       [0, 0, 9, 1],
       [0, 1, 6, 8]])]"
20,"[0.792910447761194, 0.7798507462686567, 0.7985074626865671, 0.7723880597014925, 0.7962962962962963, 0.7723880597014925, 0.7966417910447762, 0.7761194029850746, 0.7779850746268657, 0.7705223880597015]","[0.792910447761194, 0.7798507462686567, 0.7985074626865671, 0.7723880597014925, 0.7962962962962963, 0.7723880597014925, 0.7966417910447762, 0.7761194029850746, 0.7779850746268657, 0.7705223880597015]","[0.792910447761194, 0.7798507462686567, 0.7985074626865671, 0.7723880597014925, 0.7962962962962963, 0.7723880597014925, 0.7966417910447762, 0.7761194029850746, 0.7779850746268657, 0.7705223880597015]","[0.792910447761194, 0.7798507462686567, 0.7985074626865671, 0.7723880597014925, 0.7962962962962963, 0.7723880597014925, 0.7966417910447762, 0.7761194029850746, 0.7779850746268657, 0.7705223880597015]","[0.7954357236965933, 0.7908711685207096, 0.799716191094988, 0.7768638030312599, 0.7988422343827731, 0.775195974538272, 0.8063061384056238, 0.7789182482810765, 0.7797082664532904, 0.7706224911659008]","[0.792910447761194, 0.7798507462686567, 0.7985074626865672, 0.7723880597014926, 0.7962962962962963, 0.7723880597014926, 0.7966417910447762, 0.7761194029850746, 0.7779850746268656, 0.7705223880597014]","[0.7926661185122084, 0.7776551907590088, 0.7980721982120655, 0.7710067192575067, 0.7960094356786316, 0.7723925609706279, 0.7968319455223718, 0.7736213809096814, 0.7765683343674865, 0.7702128987171167]","[0.7954357236965932, 0.7908711685207097, 0.799716191094988, 0.7768638030312599, 0.7988422343827732, 0.775195974538272, 0.8063061384056238, 0.7789182482810765, 0.7797082664532904, 0.7706224911659009]","[0.792910447761194, 0.7798507462686567, 0.7985074626865671, 0.7723880597014925, 0.7962962962962963, 0.7723880597014925, 0.7966417910447762, 0.7761194029850746, 0.7779850746268657, 0.7705223880597015]","[0.7926661185122084, 0.7776551907590089, 0.7980721982120657, 0.7710067192575066, 0.7960094356786318, 0.7723925609706279, 0.7968319455223719, 0.7736213809096814, 0.7765683343674865, 0.7702128987171167]","[array([[100,  26,   4,   4],
       [ 18, 110,   2,   4],
       [  7,   1, 117,   9],
       [ 15,   1,  20,  98]]), array([[117,   8,   5,   4],
       [ 40,  84,   1,   9],
       [  2,   0, 114,  18],
       [  5,   3,  23, 103]]), array([[102,  17,   8,   7],
       [ 27, 100,   1,   6],
       [  4,   1, 118,  11],
       [  5,   2,  19, 108]]), array([[ 87,  28,   4,  15],
       [ 16, 111,   2,   5],
       [  2,   4, 111,  17],
       [  0,   8,  21, 105]]), array([[105,  13,   7,  10],
       [ 22, 101,   1,  11],
       [  6,   0, 118,  11],
       [  3,   3,  23, 106]]), array([[103,  18,   6,   7],
       [ 28,  95,   2,   9],
       [  8,   1, 111,  14],
       [  7,   2,  20, 105]]), array([[113,  10,   4,   7],
       [ 29, 100,   1,   4],
       [ 10,   0, 117,   7],
       [  8,   3,  26,  97]]), array([[ 94,  22,   8,  10],
       [ 22, 107,   2,   3],
       [  3,   0, 123,   8],
       [  3,   8,  31,  92]]), array([[ 95,  28,   6,   5],
       [ 19, 108,   2,   5],
       [  4,   1, 118,  11],
       [  6,   4,  28,  96]]), array([[ 94,  26,   8,   6],
       [ 24, 103,   1,   6],
       [  8,   0, 114,  12],
       [  8,   5,  19, 102]])]","[0.6739130434782609, 0.5652173913043478, 0.5434782608695652, 0.6304347826086957, 0.6222222222222222, 0.8, 0.5333333333333333, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889]","[0.6739130434782609, 0.5652173913043478, 0.5434782608695652, 0.6304347826086957, 0.6222222222222222, 0.8, 0.5333333333333333, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889]","[0.6739130434782609, 0.5652173913043478, 0.5434782608695652, 0.6304347826086957, 0.6222222222222222, 0.8, 0.5333333333333333, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889]","[0.6739130434782609, 0.5652173913043478, 0.5434782608695652, 0.6304347826086957, 0.6222222222222222, 0.8, 0.5333333333333333, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889]","[0.6776556776556777, 0.5708874458874459, 0.5331699346405229, 0.640625, 0.6227855477855478, 0.8154761904761905, 0.5401709401709401, 0.7139880952380953, 0.7891483516483516, 0.6996753246753247]","[0.6722222222222222, 0.5611111111111111, 0.528030303030303, 0.6196969696969696, 0.6126623376623377, 0.7962121212121213, 0.5290404040404041, 0.7136363636363636, 0.7878787878787878, 0.7146464646464645]","[0.6692435032483758, 0.5588624338624338, 0.5293703007518797, 0.6272750546944095, 0.6022784280936455, 0.7903069593745637, 0.5073668522881417, 0.6927950217423902, 0.7723039215686276, 0.6977058029689608]","[0.6803631151457239, 0.5782044042913608, 0.5406081273088946, 0.643651185770751, 0.6447656047656047, 0.8213756613756614, 0.5675593542260209, 0.739047619047619, 0.8112942612942613, 0.7005194805194805]","[0.6739130434782609, 0.5652173913043478, 0.5434782608695652, 0.6304347826086957, 0.6222222222222222, 0.8, 0.5333333333333333, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889]","[0.6723119418551594, 0.5643547273982056, 0.5406791435109513, 0.6344531267392418, 0.6184355258268303, 0.7964439170428281, 0.5217189024535351, 0.7046633678212626, 0.7763616557734205, 0.6846603688708951]","[array([[ 8,  2,  0,  2],
       [ 3,  5,  1,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  4, 10]]), array([[8, 3, 0, 1],
       [5, 4, 0, 0],
       [1, 0, 6, 3],
       [2, 0, 5, 8]]), array([[ 6,  5,  0,  0],
       [ 3,  4,  0,  3],
       [ 1,  0,  5,  4],
       [ 0,  0,  5, 10]]), array([[ 6,  3,  0,  2],
       [ 4,  5,  0,  1],
       [ 1,  0,  7,  2],
       [ 0,  3,  1, 11]]), array([[ 7,  2,  2,  0],
       [ 7,  3,  0,  0],
       [ 1,  0,  8,  1],
       [ 0,  1,  3, 10]]), array([[ 9,  1,  0,  1],
       [ 5,  5,  0,  0],
       [ 0,  0,  9,  0],
       [ 1,  0,  1, 13]]), array([[8, 2, 1, 0],
       [6, 2, 1, 0],
       [1, 0, 7, 2],
       [3, 1, 4, 7]]), array([[ 5,  4,  2,  0],
       [ 2,  6,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  0,  4, 11]]), array([[ 9,  2,  0,  0],
       [ 3,  6,  0,  0],
       [ 0,  0, 10,  0],
       [ 1,  0,  4, 10]]), array([[7, 1, 2, 1],
       [0, 8, 0, 1],
       [1, 0, 8, 1],
       [2, 1, 4, 8]])]"
