ccp_alpha value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
0.0,"[0.8905908096280087, 0.8971553610503282, 0.8864628820960698, 0.9017467248908297, 0.8782608695652174, 0.8736383442265795, 0.9017467248908297, 0.8864628820960698, 0.8733624454148472, 0.8864628820960698]","[0.8905908096280087, 0.8971553610503282, 0.8864628820960698, 0.9017467248908297, 0.8782608695652174, 0.8736383442265795, 0.9017467248908297, 0.8864628820960698, 0.8733624454148472, 0.8864628820960698]","[0.8905908096280087, 0.8971553610503282, 0.8864628820960698, 0.9017467248908297, 0.8782608695652174, 0.8736383442265795, 0.9017467248908297, 0.8864628820960698, 0.8733624454148472, 0.8864628820960698]","[0.8905908096280087, 0.8971553610503282, 0.8864628820960698, 0.9017467248908297, 0.8782608695652174, 0.8736383442265795, 0.9017467248908297, 0.8864628820960698, 0.8733624454148472, 0.8864628820960698]","[0.8867452570911236, 0.8941064312032054, 0.8829083791790098, 0.897587856597164, 0.8728477328431372, 0.8698941709111488, 0.9016025641025641, 0.883986331160785, 0.8690874442831562, 0.8834485740431571]","[0.8880936609089385, 0.8914623511655206, 0.8806349966708896, 0.89713422541315, 0.8767505964079554, 0.8771838004695991, 0.8943621806420119, 0.8825216309153975, 0.8743754804794583, 0.8850178410428665]","[0.8872835552500011, 0.89218216092199, 0.8814837951507422, 0.8973525245831325, 0.8743270290319046, 0.8719302412475707, 0.8970835728241803, 0.8828067121229052, 0.8705888380689444, 0.8839133089133089]","[0.8909059720556098, 0.8975855983267574, 0.8869968282719356, 0.9016569626394955, 0.8795295849317988, 0.8779194553253611, 0.9026690740118688, 0.8886796296334527, 0.8768397498222114, 0.887151621828971]","[0.8905908096280087, 0.8971553610503282, 0.8864628820960698, 0.9017467248908297, 0.8782608695652174, 0.8736383442265795, 0.9017467248908297, 0.8864628820960698, 0.8733624454148472, 0.8864628820960698]","[0.8905995308840275, 0.8967580887184726, 0.8864506678481946, 0.9016934208521039, 0.8784649788810204, 0.8742119531110897, 0.9013302459844525, 0.887179563455042, 0.8739801393592292, 0.886445020287815]","[array([[ 87,   6,   5,   2],
       [  9, 118,   3,   4],
       [  4,   0,  78,   7],
       [  0,   5,   5, 124]]), array([[ 82,  14,   3,   1],
       [  6, 127,   0,   1],
       [  4,   0,  79,   6],
       [  1,   2,   9, 122]]), array([[ 86,  10,   4,   1],
       [  7, 125,   0,   2],
       [  6,   1,  75,   7],
       [  5,   3,   6, 120]]), array([[ 87,   7,   4,   3],
       [  7, 125,   0,   2],
       [  4,   0,  78,   7],
       [  2,   2,   7, 123]]), array([[ 85,  10,   3,   3],
       [  9, 123,   1,   2],
       [  4,   0,  79,   6],
       [  2,   3,  13, 117]]), array([[ 92,   4,   3,   2],
       [ 13, 117,   0,   4],
       [  3,   1,  80,   6],
       [  6,   3,  13, 112]]), array([[ 84,   7,   4,   6],
       [  5, 126,   1,   2],
       [  2,   0,  77,  10],
       [  0,   2,   6, 126]]), array([[ 86,   9,   4,   2],
       [ 11, 122,   0,   1],
       [  3,   0,  77,   9],
       [  9,   0,   4, 121]]), array([[ 91,   7,   2,   1],
       [ 12, 118,   1,   3],
       [  6,   0,  77,   6],
       [  4,   4,  12, 114]]), array([[ 87,   9,   2,   3],
       [  5, 124,   2,   3],
       [  5,   1,  79,   4],
       [  5,   5,   8, 116]])]","[0.6739130434782609, 0.6304347826086957, 0.6304347826086957, 0.5869565217391305, 0.6444444444444445, 0.6222222222222222, 0.5777777777777777, 0.7111111111111111, 0.5777777777777777, 0.6]","[0.6739130434782609, 0.6304347826086957, 0.6304347826086957, 0.5869565217391305, 0.6444444444444445, 0.6222222222222222, 0.5777777777777777, 0.7111111111111111, 0.5777777777777777, 0.6]","[0.6739130434782609, 0.6304347826086957, 0.6304347826086957, 0.5869565217391305, 0.6444444444444445, 0.6222222222222222, 0.5777777777777777, 0.7111111111111111, 0.5777777777777777, 0.6]","[0.6739130434782609, 0.6304347826086957, 0.6304347826086957, 0.5869565217391305, 0.6444444444444445, 0.6222222222222222, 0.5777777777777777, 0.7111111111111111, 0.5777777777777777, 0.6]","[0.6925213675213675, 0.6400297619047619, 0.6541666666666667, 0.5819035947712419, 0.6642857142857143, 0.6207386363636364, 0.5595238095238095, 0.7137445887445888, 0.560064935064935, 0.6058080808080808]","[0.6861111111111111, 0.6347222222222222, 0.6090909090909091, 0.5696969696969697, 0.6496753246753246, 0.6035353535353535, 0.5547979797979798, 0.7174242424242424, 0.5608585858585858, 0.6007575757575757]","[0.6828102453102454, 0.6161448450347882, 0.611497105045492, 0.5727776188660056, 0.6403921568627451, 0.6057837440726641, 0.5495082402977141, 0.705565268065268, 0.5598704834185777, 0.6]","[0.6953177257525084, 0.6468555900621118, 0.6605072463768116, 0.587205171923842, 0.6742857142857143, 0.6263047138047138, 0.573015873015873, 0.7347763347763349, 0.584126984126984, 0.6103254769921437]","[0.6739130434782609, 0.6304347826086957, 0.6304347826086957, 0.5869565217391305, 0.6444444444444445, 0.6222222222222222, 0.5777777777777777, 0.7111111111111111, 0.5777777777777777, 0.6]","[0.6783361565970263, 0.6201633528586751, 0.6275937713525371, 0.5841379105451088, 0.6427189542483659, 0.6190022039671409, 0.5674404867387324, 0.711965811965812, 0.5803589433353499, 0.6022222222222222]","[array([[8, 2, 1, 1],
       [1, 7, 0, 1],
       [1, 0, 7, 2],
       [0, 0, 6, 9]]), array([[ 5,  6,  0,  1],
       [ 1,  8,  0,  0],
       [ 1,  0,  5,  4],
       [ 1,  1,  2, 11]]), array([[ 7,  4,  0,  0],
       [ 4,  6,  0,  0],
       [ 2,  0,  4,  4],
       [ 2,  0,  1, 12]]), array([[ 6,  3,  1,  1],
       [ 4,  5,  0,  1],
       [ 0,  1,  5,  4],
       [ 2,  0,  2, 11]]), array([[8, 2, 1, 0],
       [5, 5, 0, 0],
       [0, 0, 8, 2],
       [1, 0, 5, 8]]), array([[ 7,  4,  0,  0],
       [ 2,  6,  0,  2],
       [ 2,  0,  4,  3],
       [ 1,  1,  2, 11]]), array([[ 4,  5,  2,  0],
       [ 2,  5,  1,  1],
       [ 0,  0,  5,  5],
       [ 1,  0,  2, 12]]), array([[ 7,  3,  1,  0],
       [ 2,  6,  0,  1],
       [ 1,  0,  9,  0],
       [ 1,  0,  4, 10]]), array([[ 5,  4,  2,  0],
       [ 4,  5,  0,  0],
       [ 1,  1,  5,  3],
       [ 1,  0,  3, 11]]), array([[7, 2, 1, 1],
       [2, 6, 0, 1],
       [0, 1, 5, 4],
       [0, 2, 4, 9]])]"
0.01,"[0.8161925601750547, 0.8074398249452954, 0.8253275109170306, 0.8013100436681223, 0.8195652173913044, 0.8148148148148148, 0.8231441048034934, 0.8144104803493449, 0.8100436681222707, 0.8187772925764192]","[0.8161925601750547, 0.8074398249452954, 0.8253275109170306, 0.8013100436681223, 0.8195652173913044, 0.8148148148148148, 0.8231441048034934, 0.8144104803493449, 0.8100436681222707, 0.8187772925764192]","[0.8161925601750547, 0.8074398249452954, 0.8253275109170306, 0.8013100436681223, 0.8195652173913044, 0.8148148148148148, 0.8231441048034934, 0.8144104803493449, 0.8100436681222707, 0.8187772925764192]","[0.8161925601750547, 0.8074398249452954, 0.8253275109170306, 0.8013100436681223, 0.8195652173913044, 0.8148148148148148, 0.8231441048034934, 0.8144104803493449, 0.8100436681222707, 0.8187772925764192]","[0.8148145388118673, 0.8073871806298277, 0.8222248876041749, 0.8009333938681765, 0.8185680883308075, 0.8084386475619394, 0.817318953139017, 0.8099156866720736, 0.8094638248081687, 0.8156499601184214]","[0.8107873553580413, 0.7973394264631896, 0.8199200349349038, 0.8025613394812566, 0.8163543507908844, 0.8121898757039883, 0.8214359839472124, 0.8095904530080712, 0.8092986369742122, 0.8109413993554311]","[0.8122671086800372, 0.8006772405925772, 0.8170432408823978, 0.7946346095849143, 0.8162098283595307, 0.8087289425269362, 0.8168574308447203, 0.8088098006070078, 0.8034208357150602, 0.8109667901812061]","[0.8172108444931105, 0.8107968271984876, 0.8303030672840144, 0.810490495500938, 0.8209558063574837, 0.8165069808324844, 0.8255503562732509, 0.8144701049262694, 0.8197952955198612, 0.8178401999587572]","[0.8161925601750547, 0.8074398249452954, 0.8253275109170306, 0.8013100436681223, 0.8195652173913044, 0.8148148148148148, 0.8231441048034934, 0.8144104803493449, 0.8100436681222707, 0.8187772925764192]","[0.8161832502122811, 0.8073510695141684, 0.824156173861199, 0.7992572584318832, 0.8189294318474375, 0.814098318552432, 0.821917099096896, 0.8136298514705758, 0.8094561812804291, 0.8161147697890929]","[array([[ 80,  13,   2,   5],
       [ 15, 111,   0,   8],
       [  6,   0,  68,  15],
       [  2,   5,  13, 114]]), array([[ 78,  12,   3,   7],
       [ 16, 112,   0,   6],
       [  2,   0,  63,  24],
       [  3,   1,  14, 116]]), array([[ 69,  22,   8,   2],
       [  7, 122,   1,   4],
       [  5,   0,  77,   7],
       [  2,   3,  19, 110]]), array([[ 68,  24,   5,   4],
       [  8, 121,   2,   3],
       [  2,   0,  81,   6],
       [  7,   3,  27,  97]]), array([[ 76,  19,   1,   5],
       [ 11, 120,   0,   4],
       [  4,   2,  74,   9],
       [  2,   8,  18, 107]]), array([[ 74,  19,   4,   4],
       [ 10, 121,   1,   2],
       [  3,   0,  76,  11],
       [  9,   2,  20, 103]]), array([[ 73,  19,   4,   5],
       [  9, 123,   0,   2],
       [  2,   1,  78,   8],
       [  9,   1,  21, 103]]), array([[ 72,  18,   3,   8],
       [ 12, 117,   1,   4],
       [  2,   0,  74,  13],
       [  4,   2,  18, 110]]), array([[ 73,  17,   7,   4],
       [  6, 124,   2,   2],
       [  2,   0,  77,  10],
       [  5,   4,  28,  97]]), array([[ 65,  25,   5,   6],
       [ 10, 119,   2,   3],
       [  3,   0,  76,  10],
       [  5,   4,  10, 115]])]","[0.5869565217391305, 0.5869565217391305, 0.5652173913043478, 0.5869565217391305, 0.6666666666666666, 0.8222222222222222, 0.6, 0.6444444444444445, 0.7333333333333333, 0.6666666666666666]","[0.5869565217391305, 0.5869565217391305, 0.5652173913043478, 0.5869565217391305, 0.6666666666666666, 0.8222222222222222, 0.6, 0.6444444444444445, 0.7333333333333333, 0.6666666666666666]","[0.5869565217391305, 0.5869565217391305, 0.5652173913043478, 0.5869565217391305, 0.6666666666666666, 0.8222222222222222, 0.6, 0.6444444444444445, 0.7333333333333333, 0.6666666666666666]","[0.5869565217391305, 0.5869565217391305, 0.5652173913043478, 0.5869565217391305, 0.6666666666666666, 0.8222222222222222, 0.6, 0.6444444444444445, 0.7333333333333333, 0.6666666666666666]","[0.5805555555555555, 0.5833333333333333, 0.5499999999999999, 0.5773809523809523, 0.6858630952380953, 0.8208333333333333, 0.6136363636363636, 0.6497252747252747, 0.7386675824175825, 0.6922348484848485]","[0.5722222222222222, 0.5638888888888889, 0.5484848484848485, 0.5909090909090909, 0.6724025974025973, 0.8156565656565656, 0.5964646464646465, 0.6553030303030303, 0.7373737373737373, 0.6775252525252525]","[0.573498139287613, 0.5622529644268774, 0.5392628205128205, 0.5786173898696585, 0.6622103386809269, 0.8172896008136282, 0.5816783978548685, 0.6381124913733609, 0.7220588235294119, 0.6674400552009659]","[0.5852657004830918, 0.5935441370223979, 0.5623188405797102, 0.582815734989648, 0.6932671957671959, 0.8253086419753086, 0.6427609427609428, 0.6592185592185593, 0.7674908424908425, 0.6871212121212121]","[0.5869565217391305, 0.5869565217391305, 0.5652173913043478, 0.5869565217391305, 0.6666666666666666, 0.8222222222222222, 0.6, 0.6444444444444445, 0.7333333333333333, 0.6666666666666666]","[0.5827959226128562, 0.5797817494414848, 0.5547658862876255, 0.5797651413527686, 0.662705486234898, 0.822883295194508, 0.5986983967376124, 0.6382869411854919, 0.7324618736383443, 0.6602587545282043]","[array([[ 6,  4,  0,  2],
       [ 3,  5,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  0,  4, 11]]), array([[ 6,  5,  0,  1],
       [ 4,  5,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  1,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 6,  3,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  0,  5, 10]]), array([[4, 5, 1, 1],
       [2, 6, 0, 2],
       [0, 0, 8, 2],
       [2, 1, 3, 9]]), array([[9, 1, 1, 0],
       [5, 5, 0, 0],
       [0, 0, 8, 2],
       [2, 1, 3, 8]]), array([[ 9,  1,  0,  1],
       [ 2,  8,  0,  0],
       [ 1,  0,  7,  1],
       [ 0,  0,  2, 13]]), array([[ 4,  5,  2,  0],
       [ 2,  5,  2,  0],
       [ 0,  0,  8,  2],
       [ 0,  1,  4, 10]]), array([[5, 3, 1, 2],
       [2, 6, 0, 1],
       [0, 0, 9, 1],
       [0, 3, 3, 9]]), array([[ 8,  3,  0,  0],
       [ 4,  5,  0,  0],
       [ 0,  0, 10,  0],
       [ 1,  0,  4, 10]]), array([[ 5,  2,  2,  2],
       [ 0,  8,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  1,  3, 10]])]"
0.1,"[0.5426695842450766, 0.5426695842450766, 0.5480349344978166, 0.5480349344978166, 0.5413043478260869, 0.5381263616557734, 0.5436681222707423, 0.537117903930131, 0.5436681222707423, 0.5414847161572053]","[0.5426695842450766, 0.5426695842450766, 0.5480349344978166, 0.5480349344978166, 0.5413043478260869, 0.5381263616557734, 0.5436681222707423, 0.537117903930131, 0.5436681222707423, 0.5414847161572053]","[0.5426695842450766, 0.5426695842450766, 0.5480349344978166, 0.5480349344978166, 0.5413043478260869, 0.5381263616557734, 0.5436681222707423, 0.537117903930131, 0.5436681222707423, 0.5414847161572053]","[0.5426695842450766, 0.5426695842450766, 0.5480349344978166, 0.5480349344978166, 0.5413043478260869, 0.5381263616557734, 0.5436681222707423, 0.537117903930131, 0.5436681222707423, 0.5414847161572053]","[0.2733386840985572, 0.27332559039876114, 0.27429157523137104, 0.27778370617566595, 0.2708983451536643, 0.27073684210526316, 0.27228077209462165, 0.2704095392202188, 0.2736253055411205, 0.27304307549791573]","[0.4626865671641791, 0.4626865671641791, 0.46828358208955223, 0.46828358208955223, 0.46111111111111114, 0.4608208955223881, 0.4645522388059702, 0.458955223880597, 0.4645522388059702, 0.4626865671641791]","[0.3428762414056532, 0.342794259250768, 0.3458928286761859, 0.3473053205877633, 0.3412537537537538, 0.3404473396501458, 0.3432329828024753, 0.33950777202072535, 0.3436531210724759, 0.3424632465076557]","[0.32058979141537564, 0.32057443425325155, 0.3210049876070194, 0.32509184827545184, 0.3180111008325624, 0.3161545694301112, 0.31865173328104196, 0.3164618188254089, 0.32022524840620226, 0.3195438612814035]","[0.5426695842450766, 0.5426695842450766, 0.5480349344978166, 0.5480349344978166, 0.5413043478260869, 0.5381263616557734, 0.5436681222707423, 0.537117903930131, 0.5436681222707423, 0.5414847161572053]","[0.4021480643182278, 0.402051910193461, 0.40480034098348394, 0.4064533882861161, 0.40060223266745004, 0.3975594205936343, 0.4016875082579186, 0.397327872932552, 0.4021791984603648, 0.40078668150240926]","[array([[  0,  88,   0,  12],
       [  0, 127,   0,   7],
       [  0,  23,   0,  66],
       [  0,  13,   0, 121]]), array([[  0,  87,   0,  13],
       [  0, 128,   0,   6],
       [  0,  23,   0,  66],
       [  0,  14,   0, 120]]), array([[  0,  84,   0,  17],
       [  0, 124,   0,  10],
       [  0,  20,   0,  69],
       [  0,   7,   0, 127]]), array([[  0,  91,   0,  10],
       [  0, 129,   0,   5],
       [  0,  27,   0,  62],
       [  0,  12,   0, 122]]), array([[  0,  83,   0,  18],
       [  0, 122,   0,  13],
       [  0,  22,   0,  67],
       [  0,   8,   0, 127]]), array([[  0,  89,   0,  12],
       [  0, 126,   0,   8],
       [  0,  22,   0,  68],
       [  0,  13,   0, 121]]), array([[  0,  85,   0,  16],
       [  0, 123,   0,  11],
       [  0,  21,   0,  68],
       [  0,   8,   0, 126]]), array([[  0,  88,   0,  13],
       [  0, 127,   0,   7],
       [  0,  22,   0,  67],
       [  0,  15,   0, 119]]), array([[  0,  89,   0,  12],
       [  0, 128,   0,   6],
       [  0,  21,   0,  68],
       [  0,  13,   0, 121]]), array([[  0,  90,   0,  11],
       [  0, 128,   0,   6],
       [  0,  22,   0,  67],
       [  0,  14,   0, 120]])]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.45652173913043476, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.45652173913043476, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.45652173913043476, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.45652173913043476, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.22632575757575757, 0.25, 0.21496212121212122, 0.23011363636363635, 0.2564229249011858, 0.2625, 0.24000000000000002, 0.25148809523809523, 0.24851190476190477, 0.24000000000000002]","[0.4388888888888889, 0.48333333333333334, 0.39166666666666666, 0.42500000000000004, 0.48214285714285715, 0.4666666666666667, 0.45555555555555555, 0.4722222222222222, 0.4666666666666667, 0.45555555555555555]","[0.29569892473118276, 0.3248355263157895, 0.27604166666666663, 0.29451510333863273, 0.33207070707070707, 0.32857142857142857, 0.3129310344827586, 0.32564102564102565, 0.31691919191919193, 0.3129310344827586]","[0.24777667984189725, 0.27504725897920607, 0.245800395256917, 0.25938735177865613, 0.28045674132630655, 0.3055555555555556, 0.26666666666666666, 0.2845238095238095, 0.28134920634920635, 0.26666666666666666]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.45652173913043476, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.3183730715287517, 0.3503289473684211, 0.3125, 0.32660537775627285, 0.359371492704826, 0.37460317460317455, 0.34367816091954023, 0.3630769230769231, 0.3498316498316498, 0.34367816091954023]","[array([[ 0, 10,  0,  2],
       [ 0,  8,  0,  1],
       [ 0,  2,  0,  8],
       [ 0,  2,  0, 13]]), array([[ 0, 11,  0,  1],
       [ 0,  9,  0,  0],
       [ 0,  2,  0,  8],
       [ 0,  1,  0, 14]]), array([[ 0, 10,  0,  1],
       [ 0,  7,  0,  3],
       [ 0,  3,  0,  7],
       [ 0,  2,  0, 13]]), array([[ 0,  9,  0,  2],
       [ 0,  9,  0,  1],
       [ 0,  3,  0,  7],
       [ 0,  3,  0, 12]]), array([[ 0, 11,  0,  0],
       [ 0, 10,  0,  0],
       [ 0,  1,  0,  9],
       [ 0,  1,  0, 13]]), array([[ 0,  9,  0,  2],
       [ 0, 10,  0,  0],
       [ 0,  4,  0,  5],
       [ 0,  2,  0, 13]]), array([[ 0,  9,  0,  2],
       [ 0,  8,  0,  1],
       [ 0,  2,  0,  8],
       [ 0,  1,  0, 14]]), array([[ 0, 10,  0,  1],
       [ 0,  8,  0,  1],
       [ 0,  3,  0,  7],
       [ 0,  0,  0, 15]]), array([[ 0,  9,  0,  2],
       [ 0,  9,  0,  0],
       [ 0,  4,  0,  6],
       [ 0,  2,  0, 13]]), array([[ 0,  8,  0,  3],
       [ 0,  8,  0,  1],
       [ 0,  3,  0,  7],
       [ 0,  1,  0, 14]])]"
