max_depth value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
None,"[0.8293216630196937, 0.8555798687089715, 0.8537117903930131, 0.8493449781659389, 0.8434782608695652, 0.8300653594771242, 0.8558951965065502, 0.8449781659388647, 0.8144104803493449, 0.8471615720524017]","[0.8293216630196937, 0.8555798687089715, 0.8537117903930131, 0.8493449781659389, 0.8434782608695652, 0.8300653594771242, 0.8558951965065502, 0.8449781659388647, 0.8144104803493449, 0.8471615720524017]","[0.8293216630196937, 0.8555798687089715, 0.8537117903930131, 0.8493449781659389, 0.8434782608695652, 0.8300653594771242, 0.8558951965065502, 0.8449781659388647, 0.8144104803493449, 0.8471615720524017]","[0.8293216630196937, 0.8555798687089715, 0.8537117903930131, 0.8493449781659389, 0.8434782608695652, 0.8300653594771242, 0.8558951965065502, 0.8449781659388647, 0.8144104803493449, 0.8471615720524017]","[0.8385963268943003, 0.8542452278874291, 0.8498908694093436, 0.8429393700069496, 0.8400851424940277, 0.8350170905480488, 0.8599285306096451, 0.8401071288436001, 0.8090324849403501, 0.8422026872289894]","[0.8159634412208618, 0.852826597350327, 0.8474395737410401, 0.8401528900164879, 0.8372599432227867, 0.8231273500484376, 0.8478102589732393, 0.8380323463337446, 0.8110854394176631, 0.8462833097832674]","[0.8233979483776963, 0.8509902721916076, 0.8470532569609461, 0.8412382647776495, 0.8383319047092048, 0.8270598180100442, 0.8517092362442282, 0.8389930620073351, 0.8089368567427556, 0.8422417446415977]","[0.8340256021463067, 0.8581789213952603, 0.8562268949841083, 0.8489876745962, 0.8442729690286331, 0.8344979639959694, 0.8581024932307214, 0.8444480156661838, 0.816208886446602, 0.8504702202000713]","[0.8293216630196937, 0.8555798687089715, 0.8537117903930131, 0.8493449781659389, 0.8434782608695652, 0.8300653594771242, 0.8558951965065502, 0.8449781659388647, 0.8144104803493449, 0.8471615720524017]","[0.8279894736667402, 0.8547383381635218, 0.8532955229600508, 0.8489119387487163, 0.8435240600509355, 0.8302796386373709, 0.8549147918642513, 0.8446393595861946, 0.8143506121159814, 0.8471540760882622]","[array([[ 72,  15,   2,  11],
       [  8, 118,   2,   6],
       [  3,   0,  67,  19],
       [  4,   4,   4, 122]]), array([[ 74,  11,   8,   7],
       [  8, 118,   2,   6],
       [  2,   0,  81,   6],
       [  0,   5,  11, 118]]), array([[ 79,  12,   8,   2],
       [  5, 126,   1,   2],
       [  5,   3,  74,   7],
       [  3,   7,  12, 112]]), array([[ 84,  11,   5,   1],
       [ 12, 120,   1,   1],
       [  5,   0,  67,  17],
       [  3,   3,  10, 118]]), array([[ 83,  12,   1,   5],
       [ 12, 117,   3,   3],
       [  3,   0,  70,  16],
       [  5,   1,  11, 118]]), array([[ 78,  10,   3,  10],
       [ 16, 111,   0,   7],
       [  5,   0,  71,  14],
       [  4,   4,   5, 121]]), array([[ 75,  11,   2,  13],
       [ 10, 121,   0,   3],
       [  0,   2,  75,  12],
       [  0,   3,  10, 121]]), array([[ 82,  11,   2,   6],
       [ 10, 122,   2,   0],
       [  2,   1,  70,  16],
       [  5,   3,  13, 113]]), array([[ 76,  14,   6,   5],
       [  8, 119,   1,   6],
       [  4,   0,  73,  12],
       [  5,   4,  20, 105]]), array([[ 77,  12,   7,   5],
       [  8, 119,   1,   6],
       [  5,   0,  80,   4],
       [  2,   3,  17, 112]])]","[0.6521739130434783, 0.5869565217391305, 0.6304347826086957, 0.6956521739130435, 0.6444444444444445, 0.5555555555555556, 0.5333333333333333, 0.7333333333333333, 0.6444444444444445, 0.4888888888888889]","[0.6521739130434783, 0.5869565217391305, 0.6304347826086957, 0.6956521739130435, 0.6444444444444445, 0.5555555555555556, 0.5333333333333333, 0.7333333333333333, 0.6444444444444445, 0.4888888888888889]","[0.6521739130434783, 0.5869565217391305, 0.6304347826086957, 0.6956521739130435, 0.6444444444444445, 0.5555555555555556, 0.5333333333333333, 0.7333333333333333, 0.6444444444444445, 0.4888888888888889]","[0.6521739130434783, 0.5869565217391305, 0.6304347826086957, 0.6956521739130435, 0.6444444444444445, 0.5555555555555556, 0.5333333333333333, 0.7333333333333333, 0.6444444444444445, 0.4888888888888889]","[0.6611111111111111, 0.5842086834733894, 0.6297348484848485, 0.7083333333333333, 0.6435314685314686, 0.5547979797979798, 0.5266955266955267, 0.7390873015873016, 0.635576923076923, 0.49816017316017314]","[0.6458333333333334, 0.5680555555555555, 0.6234848484848484, 0.6901515151515152, 0.647077922077922, 0.5237373737373737, 0.5381313131313131, 0.7234848484848484, 0.6553030303030303, 0.4914141414141414]","[0.6503189792663476, 0.5672428062133944, 0.6260032412409322, 0.6905601497893588, 0.6446969696969697, 0.5303030303030303, 0.5295977011494253, 0.7275776662752215, 0.6392611964694344, 0.4916666666666667]","[0.6572463768115941, 0.5974150529777128, 0.6313405797101449, 0.7129399585921324, 0.6456876456876456, 0.5615488215488216, 0.5314413981080648, 0.7482363315696648, 0.6460683760683761, 0.49206349206349204]","[0.6521739130434783, 0.5869565217391305, 0.6304347826086957, 0.6956521739130435, 0.6444444444444445, 0.5555555555555556, 0.5333333333333333, 0.7333333333333333, 0.6444444444444445, 0.4888888888888889]","[0.6511337632619096, 0.584187232205135, 0.6302871484461505, 0.6963237838094527, 0.6444444444444444, 0.5504569504569504, 0.5298339719029375, 0.7372256740566766, 0.6388531715762837, 0.48787878787878786]","[array([[ 7,  3,  0,  2],
       [ 2,  6,  0,  1],
       [ 0,  0,  6,  4],
       [ 1,  0,  3, 11]]), array([[ 5,  6,  0,  1],
       [ 4,  5,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 2,  6,  0,  2],
       [ 1,  0,  5,  4],
       [ 0,  0,  5, 10]]), array([[ 8,  1,  1,  1],
       [ 4,  5,  0,  1],
       [ 0,  1,  8,  1],
       [ 3,  0,  1, 11]]), array([[6, 3, 1, 1],
       [3, 7, 0, 0],
       [0, 0, 7, 3],
       [2, 0, 3, 9]]), array([[ 3,  6,  0,  2],
       [ 6,  4,  0,  0],
       [ 1,  0,  5,  3],
       [ 0,  1,  1, 13]]), array([[4, 5, 1, 1],
       [2, 5, 0, 2],
       [0, 0, 7, 3],
       [3, 1, 3, 8]]), array([[ 8,  2,  1,  0],
       [ 2,  6,  0,  1],
       [ 2,  0,  7,  1],
       [ 2,  0,  1, 12]]), array([[5, 4, 0, 2],
       [3, 6, 0, 0],
       [0, 0, 9, 1],
       [2, 0, 4, 9]]), array([[5, 2, 1, 3],
       [4, 4, 0, 1],
       [0, 0, 6, 4],
       [2, 1, 5, 7]])]"
5,"[0.811816192560175, 0.8008752735229759, 0.8165938864628821, 0.7925764192139738, 0.8065217391304348, 0.8235294117647058, 0.8100436681222707, 0.7925764192139738, 0.8122270742358079, 0.7947598253275109]","[0.811816192560175, 0.8008752735229759, 0.8165938864628821, 0.7925764192139738, 0.8065217391304348, 0.8235294117647058, 0.8100436681222707, 0.7925764192139738, 0.8122270742358079, 0.7947598253275109]","[0.811816192560175, 0.8008752735229759, 0.8165938864628821, 0.7925764192139738, 0.8065217391304348, 0.8235294117647058, 0.8100436681222707, 0.7925764192139738, 0.8122270742358079, 0.7947598253275109]","[0.811816192560175, 0.8008752735229759, 0.8165938864628821, 0.7925764192139738, 0.8065217391304348, 0.8235294117647058, 0.8100436681222707, 0.7925764192139738, 0.8122270742358079, 0.7947598253275109]","[0.8092541603523226, 0.7938981321879406, 0.8119953275519181, 0.7891113981477759, 0.8047513935157418, 0.8311208869717899, 0.8118226815700745, 0.7914684859659296, 0.8154965887388729, 0.801739514353367]","[0.8168145228911621, 0.793221952037565, 0.8163327317135537, 0.7894966567761925, 0.804531670395504, 0.8089962727616046, 0.7979925298416141, 0.784664257973676, 0.7975799194039813, 0.7789970909718843]","[0.8108064109368784, 0.7883084449755712, 0.8124026235327179, 0.785210700256195, 0.8033536876720739, 0.8148437975051546, 0.7964504640952956, 0.786903642838307, 0.801056243498104, 0.7820433020070948]","[0.8179323899418801, 0.8056571667502518, 0.8227380614202482, 0.7961094348731741, 0.8111302655907175, 0.8261488331246648, 0.8120739470945877, 0.7941488672794921, 0.8126903835380381, 0.7968185111413463]","[0.811816192560175, 0.8008752735229759, 0.8165938864628821, 0.7925764192139738, 0.8065217391304348, 0.8235294117647058, 0.8100436681222707, 0.7925764192139738, 0.8122270742358079, 0.7947598253275109]","[0.8126899081512201, 0.7986614504439427, 0.817858639395987, 0.7901567688336656, 0.8073970535509774, 0.8198675263505723, 0.8033285497425884, 0.7920920409588096, 0.8072379557298822, 0.7878648099144504]","[array([[ 82,   9,   3,   6],
       [ 18, 110,   0,   6],
       [  6,   1,  77,   5],
       [  9,   6,  17, 102]]), array([[ 61,  22,  14,   3],
       [  9, 121,   2,   2],
       [  3,   0,  76,  10],
       [  6,   2,  18, 108]]), array([[ 80,  11,   8,   2],
       [ 22, 104,   2,   6],
       [  6,   0,  74,   9],
       [  5,   2,  11, 116]]), array([[ 65,  28,   4,   4],
       [ 10, 121,   1,   2],
       [  3,   1,  77,   8],
       [ 10,   4,  20, 100]]), array([[ 81,   7,   4,   9],
       [ 20, 107,   1,   7],
       [  4,   1,  70,  14],
       [  4,   4,  14, 113]]), array([[ 64,  24,   3,  10],
       [  6, 125,   0,   3],
       [  5,   1,  71,  13],
       [  4,   7,   5, 118]]), array([[ 56,  25,   4,  16],
       [  8, 124,   0,   2],
       [  2,   0,  76,  11],
       [  1,   2,  16, 115]]), array([[ 71,  14,   5,  11],
       [ 18, 109,   1,   6],
       [  1,   1,  68,  19],
       [  4,   3,  12, 115]]), array([[ 60,  25,   3,  13],
       [  8, 124,   0,   2],
       [  2,   2,  71,  14],
       [  5,   3,   9, 117]]), array([[ 54,  33,   3,  11],
       [  8, 123,   0,   3],
       [  2,   0,  71,  16],
       [  5,   5,   8, 116]])]","[0.6086956521739131, 0.6521739130434783, 0.6086956521739131, 0.6086956521739131, 0.6666666666666666, 0.6444444444444445, 0.5777777777777777, 0.5777777777777777, 0.7111111111111111, 0.6888888888888889]","[0.6086956521739131, 0.6521739130434783, 0.6086956521739131, 0.6086956521739131, 0.6666666666666666, 0.6444444444444445, 0.5777777777777777, 0.5777777777777777, 0.7111111111111111, 0.6888888888888889]","[0.6086956521739131, 0.6521739130434783, 0.6086956521739131, 0.6086956521739131, 0.6666666666666666, 0.6444444444444445, 0.5777777777777777, 0.5777777777777777, 0.7111111111111111, 0.6888888888888889]","[0.6086956521739131, 0.6521739130434783, 0.6086956521739131, 0.6086956521739131, 0.6666666666666666, 0.6444444444444445, 0.5777777777777777, 0.5777777777777777, 0.7111111111111111, 0.6888888888888889]","[0.6265756302521008, 0.6547619047619048, 0.60625, 0.6167557932263815, 0.6731601731601732, 0.6586134453781513, 0.5746794871794871, 0.5705399584076055, 0.70625, 0.7055147058823529]","[0.5944444444444444, 0.6597222222222222, 0.6007575757575757, 0.6053030303030302, 0.6698051948051947, 0.6325757575757576, 0.5737373737373738, 0.5608585858585858, 0.7002525252525253, 0.6868686868686869]","[0.6020114942528736, 0.6388253241800153, 0.6029569892473118, 0.6083176691729323, 0.6636523125996809, 0.6319444444444444, 0.5533773291925466, 0.5629814425770309, 0.7024936061381075, 0.6902960526315789]","[0.6305261234928754, 0.6677018633540373, 0.6103260869565217, 0.6123252990260662, 0.6852332852332852, 0.657516339869281, 0.588974358974359, 0.5774988446557073, 0.7138888888888889, 0.7029084967320262]","[0.6086956521739131, 0.6521739130434783, 0.6086956521739131, 0.6086956521739131, 0.6666666666666666, 0.6444444444444445, 0.5777777777777777, 0.5777777777777777, 0.7111111111111111, 0.6888888888888889]","[0.6115692153923038, 0.642970848671774, 0.6089294062646096, 0.6077762340634194, 0.6680545808966861, 0.6382716049382716, 0.5637163561076604, 0.5748560535325241, 0.7118499573742542, 0.6899853801169591]","[array([[ 8,  3,  0,  1],
       [ 4,  4,  0,  1],
       [ 2,  0,  6,  2],
       [ 3,  0,  2, 10]]), array([[ 5,  5,  1,  1],
       [ 1,  8,  0,  0],
       [ 1,  0,  6,  3],
       [ 0,  1,  3, 11]]), array([[ 7,  4,  0,  0],
       [ 2,  6,  0,  2],
       [ 1,  0,  5,  4],
       [ 0,  0,  5, 10]]), array([[ 5,  4,  0,  2],
       [ 2,  6,  0,  2],
       [ 0,  0,  7,  3],
       [ 2,  1,  2, 10]]), array([[7, 2, 2, 0],
       [4, 6, 0, 0],
       [0, 0, 8, 2],
       [0, 1, 4, 9]]), array([[ 4,  5,  0,  2],
       [ 3,  7,  0,  0],
       [ 0,  0,  6,  3],
       [ 0,  2,  1, 12]]), array([[ 3,  6,  1,  1],
       [ 2,  5,  0,  2],
       [ 0,  0,  8,  2],
       [ 0,  1,  4, 10]]), array([[ 5,  3,  2,  1],
       [ 3,  5,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  0,  4, 11]]), array([[ 6,  3,  0,  2],
       [ 4,  5,  0,  0],
       [ 0,  0,  9,  1],
       [ 2,  0,  1, 12]]), array([[ 7,  1,  1,  2],
       [ 1,  7,  0,  1],
       [ 0,  1,  6,  3],
       [ 0,  1,  3, 11]])]"
15,"[0.8336980306345733, 0.8555798687089715, 0.8471615720524017, 0.8537117903930131, 0.8565217391304348, 0.8562091503267973, 0.8187772925764192, 0.8209606986899564, 0.8013100436681223, 0.8318777292576419]","[0.8336980306345733, 0.8555798687089715, 0.8471615720524017, 0.8537117903930131, 0.8565217391304348, 0.8562091503267973, 0.8187772925764192, 0.8209606986899564, 0.8013100436681223, 0.8318777292576419]","[0.8336980306345733, 0.8555798687089715, 0.8471615720524017, 0.8537117903930131, 0.8565217391304348, 0.8562091503267973, 0.8187772925764192, 0.8209606986899564, 0.8013100436681223, 0.8318777292576419]","[0.8336980306345733, 0.8555798687089715, 0.8471615720524017, 0.8537117903930131, 0.8565217391304348, 0.8562091503267973, 0.8187772925764192, 0.8209606986899564, 0.8013100436681223, 0.8318777292576419]","[0.8309328870649625, 0.855688196695391, 0.8419778693994818, 0.8480383509362039, 0.8516478273634763, 0.8539447572208202, 0.8253407977870343, 0.8253966462285874, 0.7984135458673288, 0.8260707435976258]","[0.8398951869864163, 0.8512326010397451, 0.8400138311667826, 0.846932112714877, 0.8566074584986588, 0.8500849711836855, 0.8021757106114771, 0.8079746721947056, 0.7959002130298557, 0.8319465499291838]","[0.8306726410283936, 0.8488847620710444, 0.8399646481329661, 0.846292270084607, 0.8537360127343709, 0.8517979358735287, 0.8072558835799651, 0.8133250883865868, 0.7959331940464175, 0.8274963019218599]","[0.8428458255302729, 0.8599413474246211, 0.8479930998963061, 0.8564019747915025, 0.857929389312977, 0.8562053531167975, 0.8220748804399084, 0.8232994300521588, 0.8012773286753005, 0.8359759942087196]","[0.8336980306345733, 0.8555798687089715, 0.8471615720524017, 0.8537117903930131, 0.8565217391304348, 0.8562091503267973, 0.8187772925764192, 0.8209606986899564, 0.8013100436681223, 0.8318777292576419]","[0.8334254075376583, 0.8538718212756452, 0.8466454565952942, 0.8539430548026736, 0.8568671962852054, 0.856018376444535, 0.8142557938839767, 0.8189356596144639, 0.8000280284639828, 0.8325304423879797]","[array([[ 86,   8,   4,   2],
       [  8, 119,   2,   5],
       [  7,   1,  79,   2],
       [ 10,   7,  20,  97]]), array([[ 70,  12,  11,   7],
       [  6, 122,   1,   5],
       [  0,   1,  82,   6],
       [  2,   4,  11, 117]]), array([[ 76,  15,   8,   2],
       [  9, 121,   1,   3],
       [  3,   2,  74,  10],
       [  2,   3,  12, 117]]), array([[ 89,   6,   5,   1],
       [ 15, 117,   1,   1],
       [  5,   0,  67,  17],
       [  4,   2,  10, 118]]), array([[ 87,   8,   4,   2],
       [ 14, 117,   1,   3],
       [  1,   1,  76,  11],
       [  2,   5,  14, 114]]), array([[ 84,   7,   4,   6],
       [  6, 122,   1,   5],
       [  6,   0,  72,  12],
       [  5,   6,   8, 115]]), array([[ 63,  27,   2,   9],
       [  8, 125,   0,   1],
       [  1,   1,  68,  19],
       [  2,   2,  11, 119]]), array([[ 71,  19,   2,   9],
       [  5, 124,   1,   4],
       [  3,   0,  67,  19],
       [  3,   5,  12, 114]]), array([[ 71,  22,   3,   5],
       [  9, 119,   1,   5],
       [  4,   1,  72,  12],
       [  7,   6,  16, 105]]), array([[ 78,   7,  10,   6],
       [ 19, 110,   1,   4],
       [  2,   0,  78,   9],
       [  2,   4,  13, 115]])]","[0.6521739130434783, 0.6956521739130435, 0.6739130434782609, 0.6739130434782609, 0.6222222222222222, 0.7333333333333333, 0.6222222222222222, 0.5555555555555556, 0.6222222222222222, 0.6]","[0.6521739130434783, 0.6956521739130435, 0.6739130434782609, 0.6739130434782609, 0.6222222222222222, 0.7333333333333333, 0.6222222222222222, 0.5555555555555556, 0.6222222222222222, 0.6]","[0.6521739130434783, 0.6956521739130435, 0.6739130434782609, 0.6739130434782609, 0.6222222222222222, 0.7333333333333333, 0.6222222222222222, 0.5555555555555556, 0.6222222222222222, 0.6]","[0.6521739130434783, 0.6956521739130435, 0.6739130434782609, 0.6739130434782609, 0.6222222222222222, 0.7333333333333333, 0.6222222222222222, 0.5555555555555556, 0.6222222222222222, 0.6]","[0.6625, 0.6959511077158137, 0.6734848484848485, 0.7140756302521007, 0.6275793650793651, 0.7313131313131314, 0.6231737012987013, 0.558526999316473, 0.6124999999999999, 0.6075320512820512]","[0.6583333333333333, 0.6861111111111111, 0.6734848484848485, 0.6651515151515152, 0.6314935064935066, 0.7335858585858586, 0.6108585858585859, 0.552020202020202, 0.6404040404040404, 0.5891414141414141]","[0.6564814814814814, 0.6834718670076726, 0.6726190476190476, 0.6658456486042693, 0.6174242424242423, 0.7317460317460318, 0.6079749103942653, 0.5442810457516339, 0.6033868092691622, 0.5896547118145996]","[0.6663043478260869, 0.6996877802504401, 0.675494071146245, 0.7165692363902083, 0.641305114638448, 0.7325252525252525, 0.6360930735930735, 0.5535049745576062, 0.6270370370370371, 0.607991452991453]","[0.6521739130434783, 0.6956521739130435, 0.6739130434782609, 0.6739130434782609, 0.6222222222222222, 0.7333333333333333, 0.6222222222222222, 0.5555555555555556, 0.6222222222222222, 0.6]","[0.6545893719806763, 0.6908734571333259, 0.6739130434782609, 0.6738773470407654, 0.6191919191919192, 0.7322751322751322, 0.6205097570688969, 0.5434858387799564, 0.6034462269756388, 0.5966686702731584]","[array([[8, 3, 0, 1],
       [2, 6, 0, 1],
       [2, 0, 7, 1],
       [3, 0, 3, 9]]), array([[ 8,  3,  0,  1],
       [ 2,  7,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  2, 12]]), array([[ 8,  3,  0,  0],
       [ 1,  8,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  0,  5, 10]]), array([[ 8,  1,  1,  1],
       [ 5,  4,  0,  1],
       [ 1,  0,  8,  1],
       [ 3,  0,  1, 11]]), array([[5, 4, 2, 0],
       [3, 7, 0, 0],
       [0, 0, 8, 2],
       [1, 1, 4, 8]]), array([[ 6,  3,  0,  2],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  1],
       [ 1,  1,  1, 12]]), array([[ 5,  5,  1,  0],
       [ 2,  5,  0,  2],
       [ 0,  0,  7,  3],
       [ 0,  1,  3, 11]]), array([[ 4,  4,  0,  3],
       [ 1,  7,  0,  1],
       [ 1,  0,  4,  5],
       [ 1,  0,  4, 10]]), array([[3, 6, 0, 2],
       [1, 8, 0, 0],
       [0, 1, 8, 1],
       [2, 0, 4, 9]]), array([[ 6,  1,  2,  2],
       [ 4,  4,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  4, 10]])]"
20,"[0.811816192560175, 0.8161925601750547, 0.8493449781659389, 0.8318777292576419, 0.8282608695652174, 0.8257080610021786, 0.87117903930131, 0.8187772925764192, 0.8296943231441049, 0.8318777292576419]","[0.811816192560175, 0.8161925601750547, 0.8493449781659389, 0.8318777292576419, 0.8282608695652174, 0.8257080610021786, 0.87117903930131, 0.8187772925764192, 0.8296943231441049, 0.8318777292576419]","[0.811816192560175, 0.8161925601750547, 0.8493449781659389, 0.8318777292576419, 0.8282608695652174, 0.8257080610021786, 0.87117903930131, 0.8187772925764192, 0.8296943231441049, 0.8318777292576419]","[0.811816192560175, 0.8161925601750547, 0.8493449781659389, 0.8318777292576419, 0.8282608695652174, 0.8257080610021786, 0.87117903930131, 0.8187772925764192, 0.8296943231441049, 0.8318777292576419]","[0.8070484088511023, 0.8345435117375821, 0.8433896429315358, 0.8310055979892936, 0.8218526513609395, 0.8332766708989524, 0.87674272742874, 0.8176817177768506, 0.828182227746805, 0.825842058161137]","[0.8130085527419084, 0.8021993962770417, 0.8421553374522427, 0.8335573495300226, 0.8230501889140225, 0.8212247344137399, 0.8608699604657766, 0.8094906212070142, 0.8295292090000548, 0.8301178222802994]","[0.8087672258224168, 0.8090117113456582, 0.8425937159619297, 0.8272211726230732, 0.8223593204082754, 0.8238983011749128, 0.8655352029253509, 0.8124292471770845, 0.8251948711507535, 0.8272156556542929]","[0.8150523833021636, 0.8267425522707431, 0.8490860919853791, 0.8413106836663891, 0.8285649722244331, 0.8344464285910437, 0.8746407050174089, 0.8207580452783543, 0.8351152888630969, 0.8327850386895722]","[0.811816192560175, 0.8161925601750547, 0.8493449781659389, 0.8318777292576419, 0.8282608695652174, 0.8257080610021786, 0.87117903930131, 0.8187772925764192, 0.8296943231441049, 0.8318777292576419]","[0.8121527130938943, 0.8126561846725098, 0.8490191542846625, 0.8317705485158685, 0.8283173153405283, 0.8266276559836477, 0.8698183271679327, 0.8185766358388429, 0.8293082260138516, 0.8317036295752983]","[array([[ 76,  15,   3,   6],
       [ 14, 115,   0,   5],
       [  7,   0,  77,   5],
       [  9,   5,  17, 103]]), array([[ 62,  26,   2,  10],
       [  6, 124,   0,   4],
       [  0,   4,  71,  14],
       [  0,   8,  10, 116]]), array([[ 78,  16,   5,   2],
       [ 10, 121,   1,   2],
       [  5,   1,  73,  10],
       [  5,   2,  10, 117]]), array([[ 76,  21,   3,   1],
       [  8, 121,   4,   1],
       [  2,   0,  81,   6],
       [  6,   2,  23, 103]]), array([[ 81,  12,   4,   4],
       [  9, 120,   1,   5],
       [  7,   0,  70,  12],
       [  7,   4,  14, 110]]), array([[ 81,   7,   3,  10],
       [ 20, 106,   0,   8],
       [  5,   0,  71,  14],
       [  5,   3,   5, 121]]), array([[ 75,  11,   2,  13],
       [  4, 128,   0,   2],
       [  1,   1,  75,  12],
       [  1,   2,  10, 121]]), array([[ 75,  10,   5,  11],
       [ 11, 117,   2,   4],
       [  1,   1,  68,  19],
       [  4,   3,  12, 115]]), array([[ 74,  14,   7,   6],
       [  8, 119,   2,   5],
       [  2,   0,  80,   7],
       [  2,   5,  20, 107]]), array([[ 75,  12,   8,   6],
       [ 13, 115,   1,   5],
       [  2,   0,  78,   9],
       [  6,   3,  12, 113]])]","[0.6086956521739131, 0.5217391304347826, 0.6521739130434783, 0.6739130434782609, 0.6222222222222222, 0.6, 0.5111111111111111, 0.5333333333333333, 0.7333333333333333, 0.6222222222222222]","[0.6086956521739131, 0.5217391304347826, 0.6521739130434783, 0.6739130434782609, 0.6222222222222222, 0.6, 0.5111111111111111, 0.5333333333333333, 0.7333333333333333, 0.6222222222222222]","[0.6086956521739131, 0.5217391304347826, 0.6521739130434783, 0.6739130434782609, 0.6222222222222222, 0.6, 0.5111111111111111, 0.5333333333333333, 0.7333333333333333, 0.6222222222222222]","[0.6086956521739131, 0.5217391304347826, 0.6521739130434783, 0.6739130434782609, 0.6222222222222222, 0.6, 0.5111111111111111, 0.5333333333333333, 0.7333333333333333, 0.6222222222222222]","[0.6091269841269842, 0.5293242296918768, 0.6432178932178932, 0.681456043956044, 0.6464285714285715, 0.5927579365079365, 0.49986471861471865, 0.5115121806298277, 0.7528409090909091, 0.627435064935065]","[0.6013888888888889, 0.5125, 0.6484848484848484, 0.6613636363636364, 0.6269480519480519, 0.571969696969697, 0.5154040404040404, 0.5103535353535353, 0.7424242424242423, 0.621969696969697]","[0.6038128034498271, 0.49582236842105265, 0.6445724506167968, 0.665607210626186, 0.6203921568627451, 0.5764986824769434, 0.5025926886180969, 0.5085696778711485, 0.7278691896338956, 0.6146464646464646]","[0.6169772256728778, 0.5410957861405431, 0.6514524123219776, 0.6841256569517439, 0.6568253968253969, 0.5973544973544973, 0.506890331890332, 0.525338350828547, 0.7777777777777778, 0.6355459355459355]","[0.6086956521739131, 0.5217391304347826, 0.6521739130434783, 0.6739130434782609, 0.6222222222222222, 0.6, 0.5111111111111111, 0.5333333333333333, 0.7333333333333333, 0.6222222222222222]","[0.6113512069875994, 0.5091733409610985, 0.6505831752316061, 0.6738099166735418, 0.6231633986928105, 0.5929805299370517, 0.5044872718193952, 0.5268821973233738, 0.7343388637506284, 0.619438832772166]","[array([[ 7,  4,  0,  1],
       [ 3,  5,  0,  1],
       [ 2,  0,  6,  2],
       [ 2,  0,  3, 10]]), array([[ 3,  8,  0,  1],
       [ 3,  6,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  2,  2, 11]]), array([[ 8,  3,  0,  0],
       [ 3,  7,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  4, 10]]), array([[ 6,  2,  1,  2],
       [ 4,  5,  0,  1],
       [ 1,  0,  8,  1],
       [ 2,  0,  1, 12]]), array([[7, 2, 2, 0],
       [5, 5, 0, 0],
       [0, 0, 8, 2],
       [2, 0, 4, 8]]), array([[ 5,  4,  0,  2],
       [ 7,  3,  0,  0],
       [ 0,  0,  6,  3],
       [ 0,  1,  1, 13]]), array([[3, 6, 1, 1],
       [2, 5, 0, 2],
       [0, 0, 7, 3],
       [3, 1, 3, 8]]), array([[ 4,  4,  2,  1],
       [ 4,  4,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  0,  4, 11]]), array([[ 7,  2,  2,  0],
       [ 3,  6,  0,  0],
       [ 0,  0, 10,  0],
       [ 1,  0,  4, 10]]), array([[ 5,  3,  1,  2],
       [ 2,  6,  0,  1],
       [ 0,  1,  7,  2],
       [ 0,  1,  4, 10]])]"
