min_samples_leaf value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
5,"[0.7768052516411379, 0.7724288840262582, 0.8078602620087336, 0.8078602620087336, 0.7521739130434782, 0.7559912854030502, 0.7903930131004366, 0.7794759825327511, 0.7489082969432315, 0.7794759825327511]","[0.7768052516411379, 0.7724288840262582, 0.8078602620087336, 0.8078602620087336, 0.7521739130434782, 0.7559912854030502, 0.7903930131004366, 0.7794759825327511, 0.7489082969432315, 0.7794759825327511]","[0.7768052516411379, 0.7724288840262582, 0.8078602620087336, 0.8078602620087336, 0.7521739130434782, 0.7559912854030502, 0.7903930131004366, 0.7794759825327511, 0.7489082969432315, 0.7794759825327511]","[0.7768052516411379, 0.7724288840262582, 0.8078602620087336, 0.8078602620087336, 0.7521739130434782, 0.7559912854030502, 0.7903930131004366, 0.7794759825327511, 0.7489082969432315, 0.7794759825327511]","[0.7720199190787427, 0.7749193563332983, 0.805249270527401, 0.8021725748998477, 0.7499181578225695, 0.7571744850685334, 0.7887593704978879, 0.7901541095890412, 0.7418671866356897, 0.7793422775514574]","[0.7802951534462519, 0.7621050645648164, 0.7991747376146301, 0.8018309691945213, 0.7384441065829429, 0.7414252992463425, 0.7793590590821616, 0.7552850664908852, 0.7395284535161549, 0.7621641209903315]","[0.7740767244140629, 0.765504776062899, 0.7971923167019908, 0.7999490809612253, 0.7418503802209113, 0.7457923748060062, 0.7828140452307727, 0.7598640973569258, 0.7404189255018976, 0.7620420873141494]","[0.7791868510107666, 0.7772633599014769, 0.80988056182178, 0.810912809126386, 0.7511934500921074, 0.7567322490413656, 0.7917641130203896, 0.7849778668421369, 0.7495120662062097, 0.7832119890906079]","[0.7768052516411379, 0.7724288840262582, 0.8078602620087336, 0.8078602620087336, 0.7521739130434782, 0.7559912854030502, 0.7903930131004366, 0.7794759825327511, 0.7489082969432315, 0.7794759825327511]","[0.7761031799457865, 0.7717924002625929, 0.8041356451981941, 0.8073436656868525, 0.7493827081387497, 0.7529655970799612, 0.789955824092311, 0.7701387958498749, 0.7489599211927281, 0.7731624562319437]","[array([[ 70,  20,   3,   7],
       [ 20, 109,   0,   5],
       [  2,   0,  78,   9],
       [  6,   6,  24,  98]]), array([[ 71,  15,   3,  11],
       [ 28, 102,   0,   4],
       [  3,   0,  62,  24],
       [  1,   4,  11, 118]]), array([[ 61,  29,   5,   6],
       [  9, 122,   1,   2],
       [  4,   1,  76,   8],
       [  3,   3,  17, 111]]), array([[ 70,  25,   5,   1],
       [ 12, 119,   1,   2],
       [  5,   1,  73,  10],
       [  4,   2,  20, 108]]), array([[ 60,  24,   4,  13],
       [ 25, 107,   0,   3],
       [  2,   0,  63,  24],
       [  1,   5,  13, 116]]), array([[ 60,  24,   2,  15],
       [ 19, 111,   0,   4],
       [  2,   0,  63,  25],
       [  2,   4,  15, 113]]), array([[ 70,  20,   2,   9],
       [ 21, 111,   0,   2],
       [  5,   0,  65,  19],
       [  6,   1,  11, 116]]), array([[ 52,  34,   2,  13],
       [  7, 124,   0,   3],
       [  4,   0,  61,  24],
       [  2,   2,  10, 120]]), array([[ 69,  21,   6,   5],
       [ 24, 105,   1,   4],
       [  7,   0,  61,  21],
       [  5,   5,  16, 108]]), array([[ 54,  36,  10,   1],
       [  6, 121,   3,   4],
       [  5,   0,  67,  17],
       [  2,   4,  13, 115]])]","[0.5652173913043478, 0.6304347826086957, 0.6304347826086957, 0.717391304347826, 0.7111111111111111, 0.7111111111111111, 0.5111111111111111, 0.6, 0.6888888888888889, 0.6]","[0.5652173913043478, 0.6304347826086957, 0.6304347826086957, 0.717391304347826, 0.7111111111111111, 0.7111111111111111, 0.5111111111111111, 0.6, 0.6888888888888889, 0.6]","[0.5652173913043478, 0.6304347826086957, 0.6304347826086957, 0.717391304347826, 0.7111111111111111, 0.7111111111111111, 0.5111111111111111, 0.6, 0.6888888888888889, 0.6]","[0.5652173913043478, 0.6304347826086957, 0.6304347826086957, 0.717391304347826, 0.7111111111111111, 0.7111111111111111, 0.5111111111111111, 0.6, 0.6888888888888889, 0.6]","[0.5803571428571429, 0.6346153846153846, 0.6341269841269841, 0.7224969474969475, 0.7157148407148407, 0.7222222222222222, 0.5071428571428571, 0.6444444444444445, 0.6854895104895105, 0.6125]","[0.5694444444444444, 0.6194444444444445, 0.6303030303030303, 0.7151515151515151, 0.7126623376623378, 0.6919191919191919, 0.49696969696969695, 0.595959595959596, 0.6974747474747475, 0.603030303030303]","[0.5626424501424502, 0.6087662337662338, 0.6171345029239765, 0.7168481548699335, 0.7095221711926517, 0.6954545454545453, 0.4989224137931034, 0.5882352941176471, 0.6896217817270449, 0.6056913674560733]","[0.578416149068323, 0.6415830546265329, 0.6394064872325742, 0.7270398683442162, 0.7244064577397912, 0.7185185185185186, 0.5206349206349207, 0.6414814814814815, 0.6913597513597514, 0.6077777777777779]","[0.5652173913043478, 0.6304347826086957, 0.6304347826086957, 0.717391304347826, 0.7111111111111111, 0.7111111111111111, 0.5111111111111111, 0.6, 0.6888888888888889, 0.6]","[0.560776662950576, 0.6194240542066629, 0.6211797609966946, 0.7202977458639102, 0.7132038569109508, 0.7042424242424243, 0.513007662835249, 0.5918300653594771, 0.6881091617933723, 0.6020711314828961]","[array([[8, 2, 0, 2],
       [4, 4, 1, 0],
       [0, 0, 7, 3],
       [2, 0, 6, 7]]), array([[ 6,  5,  0,  1],
       [ 2,  7,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  1,  2, 12]]), array([[ 5,  6,  0,  0],
       [ 0,  9,  0,  1],
       [ 1,  0,  5,  4],
       [ 1,  0,  4, 10]]), array([[ 8,  2,  0,  1],
       [ 3,  6,  0,  1],
       [ 0,  1,  8,  1],
       [ 2,  1,  1, 11]]), array([[ 7,  2,  2,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  3, 10]]), array([[ 6,  3,  0,  2],
       [ 2,  8,  0,  0],
       [ 1,  0,  5,  3],
       [ 0,  1,  1, 13]]), array([[5, 4, 1, 1],
       [4, 3, 1, 1],
       [1, 0, 6, 3],
       [4, 0, 2, 9]]), array([[ 3,  5,  0,  3],
       [ 1,  7,  0,  1],
       [ 1,  0,  6,  3],
       [ 1,  3,  0, 11]]), array([[ 6,  3,  0,  2],
       [ 2,  7,  0,  0],
       [ 1,  0,  8,  1],
       [ 2,  0,  3, 10]]), array([[6, 1, 3, 1],
       [2, 6, 0, 1],
       [0, 0, 6, 4],
       [2, 1, 3, 9]])]"
10,"[0.7833698030634574, 0.7483588621444202, 0.7991266375545851, 0.7663755458515283, 0.7695652173913043, 0.7581699346405228, 0.777292576419214, 0.7860262008733624, 0.7751091703056768, 0.75764192139738]","[0.7833698030634574, 0.7483588621444202, 0.7991266375545851, 0.7663755458515283, 0.7695652173913043, 0.7581699346405228, 0.777292576419214, 0.7860262008733624, 0.7751091703056768, 0.75764192139738]","[0.7833698030634574, 0.7483588621444202, 0.7991266375545851, 0.7663755458515283, 0.7695652173913043, 0.7581699346405228, 0.777292576419214, 0.7860262008733624, 0.7751091703056768, 0.75764192139738]","[0.7833698030634574, 0.7483588621444202, 0.7991266375545851, 0.7663755458515283, 0.7695652173913043, 0.7581699346405228, 0.777292576419214, 0.7860262008733624, 0.7751091703056768, 0.75764192139738]","[0.7785173160173161, 0.7559010825511295, 0.7948881127356312, 0.7629568254720187, 0.7809307342665663, 0.7595399736042233, 0.7745565410199557, 0.783393998311931, 0.7734386626970142, 0.771640479124847]","[0.7871608250880429, 0.7450633070602045, 0.7953695063452345, 0.753016746836515, 0.7522576976798804, 0.748167577951825, 0.7589634843913705, 0.7777322780911329, 0.7693030287432567, 0.7332467294188751]","[0.7809403155520531, 0.744812110968217, 0.7932362905268491, 0.7554383411592414, 0.759564009824335, 0.7522109087211533, 0.7627115083814899, 0.7800719328178662, 0.7678353297142936, 0.7368388639231823]","[0.7858412193204315, 0.7598915060479965, 0.8017857436334946, 0.7652953424624098, 0.7786176847075745, 0.7594577024538819, 0.7751149798119656, 0.7862401853536134, 0.7753330102852338, 0.7657484941581475]","[0.7833698030634574, 0.7483588621444202, 0.7991266375545851, 0.7663755458515283, 0.7695652173913043, 0.7581699346405228, 0.777292576419214, 0.7860262008733624, 0.7751091703056768, 0.75764192139738]","[0.7829221598472962, 0.7483276627921599, 0.7986035436659101, 0.7634061340815779, 0.7672072966182203, 0.7572067489178022, 0.7723552602610683, 0.7856413936736136, 0.7720045781619271, 0.7470300831298191]","[array([[ 72,  18,   3,   7],
       [ 19, 109,   0,   6],
       [  2,   0,  78,   9],
       [  6,   5,  24,  99]]), array([[ 75,  16,   2,   7],
       [ 41,  88,   0,   5],
       [  2,   0,  63,  24],
       [  3,   3,  12, 116]]), array([[ 67,  27,   5,   2],
       [ 17, 113,   1,   3],
       [  4,   2,  76,   7],
       [  3,   4,  17, 110]]), array([[ 62,  29,   7,   3],
       [ 18, 110,   0,   6],
       [  2,   0,  64,  23],
       [  0,   4,  15, 115]]), array([[ 63,  17,   1,  20],
       [ 25, 107,   0,   3],
       [  2,   0,  60,  27],
       [  1,   2,   8, 124]]), array([[ 68,  23,   2,   8],
       [ 20, 106,   0,   8],
       [  2,   0,  63,  25],
       [  4,   4,  15, 111]]), array([[ 58,  33,   3,   7],
       [ 13, 119,   0,   2],
       [  6,   0,  63,  20],
       [  5,   2,  11, 116]]), array([[ 75,  18,   4,   4],
       [ 16, 111,   0,   7],
       [  2,   0,  64,  23],
       [  4,   4,  16, 110]]), array([[ 61,  23,   6,  11],
       [ 14, 115,   1,   4],
       [  2,   0,  74,  13],
       [  2,  10,  17, 105]]), array([[ 48,  40,   5,   8],
       [  8, 121,   0,   5],
       [  2,   0,  60,  27],
       [  2,   5,   9, 118]])]","[0.5217391304347826, 0.6086956521739131, 0.6521739130434783, 0.6739130434782609, 0.6666666666666666, 0.7777777777777778, 0.5333333333333333, 0.7777777777777778, 0.6888888888888889, 0.6]","[0.5217391304347826, 0.6086956521739131, 0.6521739130434783, 0.6739130434782609, 0.6666666666666666, 0.7777777777777778, 0.5333333333333333, 0.7777777777777778, 0.6888888888888889, 0.6]","[0.5217391304347826, 0.6086956521739131, 0.6521739130434783, 0.6739130434782609, 0.6666666666666666, 0.7777777777777778, 0.5333333333333333, 0.7777777777777778, 0.6888888888888889, 0.6]","[0.5217391304347826, 0.6086956521739131, 0.6521739130434783, 0.6739130434782609, 0.6666666666666666, 0.7777777777777778, 0.5333333333333333, 0.7777777777777778, 0.6888888888888889, 0.6]","[0.5263888888888889, 0.6041666666666666, 0.6537698412698413, 0.685515873015873, 0.6613636363636363, 0.784077380952381, 0.5259920634920635, 0.7777777777777778, 0.708008658008658, 0.6072368421052632]","[0.5347222222222222, 0.5847222222222221, 0.653030303030303, 0.6590909090909091, 0.6577922077922078, 0.7651515151515151, 0.5297979797979798, 0.7618686868686868, 0.6964646464646465, 0.5858585858585859]","[0.5202561960456697, 0.5842304625199362, 0.643640350877193, 0.6652614447068614, 0.6589135456195347, 0.7694717916492111, 0.5242200328407225, 0.7657761828814461, 0.6727225672877847, 0.5904024767801858]","[0.5344202898550725, 0.6123188405797101, 0.657263630089717, 0.6812456866804694, 0.6651851851851851, 0.7859656084656084, 0.5395943562610229, 0.7777777777777778, 0.7159018759018759, 0.6040935672514619]","[0.5217391304347826, 0.6086956521739131, 0.6521739130434783, 0.6739130434782609, 0.6666666666666666, 0.7777777777777778, 0.5333333333333333, 0.7777777777777778, 0.6888888888888889, 0.6]","[0.5180196868984054, 0.6009985437903058, 0.6458810068649885, 0.6707721103654783, 0.6652550917523694, 0.7774294403326663, 0.5332457580733443, 0.773237639553429, 0.6751092707614447, 0.5953216374269006]","[array([[5, 5, 0, 2],
       [3, 5, 1, 0],
       [0, 0, 7, 3],
       [1, 0, 7, 7]]), array([[ 7,  4,  0,  1],
       [ 4,  5,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  1,  2, 12]]), array([[ 6,  5,  0,  0],
       [ 0,  9,  0,  1],
       [ 1,  0,  5,  4],
       [ 1,  0,  4, 10]]), array([[ 7,  1,  1,  2],
       [ 4,  5,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  1,  1, 12]]), array([[ 6,  3,  1,  1],
       [ 4,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  2, 11]]), array([[ 8,  3,  0,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  6,  3],
       [ 0,  1,  1, 13]]), array([[4, 5, 1, 1],
       [2, 5, 1, 1],
       [1, 0, 6, 3],
       [2, 2, 2, 9]]), array([[ 7,  2,  2,  0],
       [ 1,  7,  0,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  0, 14]]), array([[ 4,  5,  0,  2],
       [ 1,  8,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  1,  3, 11]]), array([[ 5,  2,  1,  3],
       [ 3,  5,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  1,  3, 11]])]"
15,"[0.7680525164113785, 0.737417943107221, 0.7510917030567685, 0.7467248908296943, 0.7282608695652174, 0.7429193899782135, 0.7510917030567685, 0.7467248908296943, 0.7205240174672489, 0.7292576419213974]","[0.7680525164113785, 0.737417943107221, 0.7510917030567685, 0.7467248908296943, 0.7282608695652174, 0.7429193899782135, 0.7510917030567685, 0.7467248908296943, 0.7205240174672489, 0.7292576419213974]","[0.7680525164113785, 0.737417943107221, 0.7510917030567685, 0.7467248908296943, 0.7282608695652174, 0.7429193899782135, 0.7510917030567685, 0.7467248908296943, 0.7205240174672489, 0.7292576419213974]","[0.7680525164113785, 0.737417943107221, 0.7510917030567685, 0.7467248908296943, 0.7282608695652174, 0.7429193899782135, 0.7510917030567685, 0.7467248908296943, 0.7205240174672489, 0.7292576419213974]","[0.7749295112781955, 0.7341105302575428, 0.7443945517138153, 0.7426649639391066, 0.7344628099173555, 0.7514544219831014, 0.7445874825022423, 0.7425970434784834, 0.7192228546458613, 0.7342565785680254]","[0.7520304376991448, 0.725569344289787, 0.7534393196992012, 0.7489825873414108, 0.7180296494068883, 0.7281045268705975, 0.7387378935780549, 0.7321765989277109, 0.7103981151091799, 0.7131442160650745]","[0.7584428661225643, 0.7262234142668925, 0.7469522466333043, 0.7439693775334782, 0.722355818089431, 0.7345536901063423, 0.7403241001862554, 0.7352151950806116, 0.7125590360472227, 0.7176419690943431]","[0.771830835293924, 0.7373719906692993, 0.7539074178289602, 0.7526308016546891, 0.7338265660558151, 0.7486171774916267, 0.7495446227184557, 0.7453810168688276, 0.7220611343684086, 0.7339446124354592]","[0.7680525164113785, 0.737417943107221, 0.7510917030567685, 0.7467248908296943, 0.7282608695652174, 0.7429193899782135, 0.7510917030567685, 0.7467248908296943, 0.7205240174672489, 0.7292576419213974]","[0.7651263675690769, 0.734084309119986, 0.7507355304312577, 0.7478701954597553, 0.7270274555938493, 0.7406505789430007, 0.7489100115653836, 0.743924447879727, 0.7188401512556083, 0.7255716776874823]","[array([[ 61,  22,   2,  15],
       [ 14, 113,   0,   7],
       [  3,   0,  62,  24],
       [  2,   5,  12, 115]]), array([[ 56,  23,   7,  14],
       [ 19, 110,   2,   3],
       [  1,   0,  65,  23],
       [  0,   9,  19, 106]]), array([[ 64,  22,   8,   7],
       [ 28,  96,   1,   9],
       [  4,   0,  77,   8],
       [  6,   2,  19, 107]]), array([[ 69,  21,   5,   6],
       [ 30,  95,   1,   8],
       [  6,   0,  73,  10],
       [  6,   2,  21, 105]]), array([[ 63,  21,   1,  16],
       [ 32,  95,   0,   8],
       [  3,   0,  61,  25],
       [  1,   5,  13, 116]]), array([[ 61,  22,   1,  17],
       [ 20, 106,   0,   8],
       [  1,   1,  60,  28],
       [  2,   4,  14, 114]]), array([[ 60,  22,   6,  13],
       [ 28, 105,   0,   1],
       [  2,   0,  64,  23],
       [  2,   3,  14, 115]]), array([[ 60,  23,   4,  14],
       [ 23, 109,   1,   1],
       [  2,   0,  61,  26],
       [  2,   5,  15, 112]]), array([[ 61,  22,   6,  12],
       [ 26,  97,   1,  10],
       [  2,   0,  61,  26],
       [  2,   5,  16, 111]]), array([[ 61,  23,   6,  11],
       [ 30,  96,   0,   8],
       [  2,   0,  56,  31],
       [  1,   4,   8, 121]])]","[0.6086956521739131, 0.5869565217391305, 0.5869565217391305, 0.7391304347826086, 0.6666666666666666, 0.6222222222222222, 0.6, 0.7555555555555555, 0.7333333333333333, 0.6444444444444445]","[0.6086956521739131, 0.5869565217391305, 0.5869565217391305, 0.7391304347826086, 0.6666666666666666, 0.6222222222222222, 0.6, 0.7555555555555555, 0.7333333333333333, 0.6444444444444445]","[0.6086956521739131, 0.5869565217391305, 0.5869565217391305, 0.7391304347826086, 0.6666666666666666, 0.6222222222222222, 0.6, 0.7555555555555555, 0.7333333333333333, 0.6444444444444445]","[0.6086956521739131, 0.5869565217391305, 0.5869565217391305, 0.7391304347826086, 0.6666666666666666, 0.6222222222222222, 0.6, 0.7555555555555555, 0.7333333333333333, 0.6444444444444445]","[0.6145833333333334, 0.6053921568627451, 0.590625, 0.7546741452991452, 0.6620046620046619, 0.6044719169719169, 0.6039724980901451, 0.7569444444444444, 0.7318181818181818, 0.6851190476190476]","[0.5847222222222223, 0.586111111111111, 0.5840909090909091, 0.7378787878787879, 0.6649350649350649, 0.6126262626262626, 0.5858585858585859, 0.728030303030303, 0.7308080808080808, 0.634090909090909]","[0.5841933264533884, 0.5762810559006211, 0.5868279569892473, 0.7421123372948499, 0.6612617402091086, 0.6017609474832477, 0.5857638888888889, 0.7328615656789031, 0.7261298407308594, 0.6512218045112782]","[0.6180124223602484, 0.6084825234441602, 0.589945652173913, 0.7460168153102936, 0.6689458689458689, 0.6128815628815628, 0.6145318733554028, 0.7561728395061729, 0.734949494949495, 0.6683421516754849]","[0.6086956521739131, 0.5869565217391305, 0.5869565217391305, 0.7391304347826086, 0.6666666666666666, 0.6222222222222222, 0.6, 0.7555555555555555, 0.7333333333333333, 0.6444444444444445]","[0.5967940952124557, 0.5806609505806103, 0.5878915381019167, 0.738758273664526, 0.6657530470395968, 0.6110435821515765, 0.5983024691358024, 0.7450194112732812, 0.7291310714061139, 0.6475939849624059]","[array([[ 5,  5,  0,  2],
       [ 3,  5,  0,  1],
       [ 0,  0,  5,  5],
       [ 0,  0,  2, 13]]), array([[ 6,  4,  0,  2],
       [ 2,  7,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  3,  2, 10]]), array([[7, 4, 0, 0],
       [1, 6, 0, 3],
       [1, 0, 5, 4],
       [1, 0, 5, 9]]), array([[ 9,  1,  0,  1],
       [ 2,  6,  0,  2],
       [ 0,  0,  8,  2],
       [ 2,  1,  1, 11]]), array([[ 6,  3,  1,  1],
       [ 4,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  3, 10]]), array([[ 3,  6,  0,  2],
       [ 4,  6,  0,  0],
       [ 0,  0,  7,  2],
       [ 0,  1,  2, 12]]), array([[ 5,  4,  1,  1],
       [ 2,  5,  1,  1],
       [ 0,  0,  6,  4],
       [ 0,  2,  2, 11]]), array([[ 6,  2,  2,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  0, 15]]), array([[ 6,  3,  0,  2],
       [ 2,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]]), array([[ 7,  0,  1,  3],
       [ 2,  6,  0,  1],
       [ 0,  0,  5,  5],
       [ 0,  1,  3, 11]])]"
20,"[0.737417943107221, 0.7396061269146609, 0.7445414847161572, 0.7336244541484717, 0.7217391304347827, 0.710239651416122, 0.7532751091703057, 0.7096069868995634, 0.7139737991266376, 0.7314410480349345]","[0.737417943107221, 0.7396061269146609, 0.7445414847161572, 0.7336244541484717, 0.7217391304347827, 0.710239651416122, 0.7532751091703057, 0.7096069868995634, 0.7139737991266376, 0.7314410480349345]","[0.737417943107221, 0.7396061269146609, 0.7445414847161572, 0.7336244541484717, 0.7217391304347827, 0.710239651416122, 0.7532751091703057, 0.7096069868995634, 0.7139737991266376, 0.7314410480349345]","[0.737417943107221, 0.7396061269146609, 0.7445414847161572, 0.7336244541484717, 0.7217391304347827, 0.710239651416122, 0.7532751091703057, 0.7096069868995634, 0.7139737991266376, 0.7314410480349345]","[0.7290265985657027, 0.7353715148542755, 0.7469660830125947, 0.7278707657144665, 0.7266719003700682, 0.7109860647790577, 0.7554244235611332, 0.7039446133063154, 0.7096102629947094, 0.7350021108922038]","[0.7274723293644139, 0.7248977024987423, 0.7365361976412298, 0.7332456916662655, 0.7057049150607945, 0.6961459205622055, 0.7366565769439597, 0.6972522801500342, 0.7041915243008453, 0.7169544285469969]","[0.7274399314149537, 0.7246876248592495, 0.732048007318433, 0.7270142965656692, 0.7052155281060977, 0.6952614734112964, 0.7411287190863036, 0.6949459742199071, 0.7049307890916442, 0.7215617174833237]","[0.7353962228570302, 0.7391818612865682, 0.7466524617636632, 0.7373950054917163, 0.7250896950333032, 0.7112729936557591, 0.7563366744784288, 0.7064659938737798, 0.7150852712807598, 0.7334435995413188]","[0.737417943107221, 0.7396061269146609, 0.7445414847161572, 0.7336244541484717, 0.7217391304347827, 0.710239651416122, 0.7532751091703057, 0.7096069868995634, 0.7139737991266376, 0.7314410480349345]","[0.7356242669822799, 0.7343793155549261, 0.7364803629068211, 0.7320692139485663, 0.7132606999411604, 0.7030862138549241, 0.7502900938856101, 0.7028202508978921, 0.7123086244561546, 0.7280549403548001]","[array([[ 59,  24,   7,  10],
       [ 25, 104,   1,   4],
       [  3,   0,  65,  21],
       [  2,   5,  18, 109]]), array([[ 52,  38,   7,   3],
       [ 16, 110,   2,   6],
       [  2,   0,  65,  22],
       [  1,   3,  19, 111]]), array([[ 47,  37,   5,  12],
       [ 17, 114,   1,   2],
       [  1,   1,  76,  11],
       [  0,  13,  17, 104]]), array([[ 60,  18,   9,  14],
       [ 31,  93,   1,   9],
       [  2,   0,  74,  13],
       [  0,   2,  23, 109]]), array([[ 46,  37,   4,  14],
       [ 14, 112,   1,   8],
       [  1,   1,  65,  22],
       [  0,   6,  20, 109]]), array([[ 47,  37,   6,  11],
       [ 17, 107,   1,   9],
       [  1,   1,  65,  23],
       [  0,   6,  21, 107]]), array([[ 69,  23,   5,   4],
       [ 25, 103,   0,   6],
       [  3,   0,  54,  32],
       [  3,   3,   9, 119]]), array([[ 47,  37,   4,  13],
       [ 19, 108,   1,   6],
       [  2,   0,  66,  21],
       [  2,   5,  23, 104]]), array([[ 60,  21,   8,  12],
       [ 30,  95,   1,   8],
       [  2,   0,  61,  26],
       [  1,   5,  17, 111]]), array([[ 58,  27,   3,  13],
       [ 23, 101,   0,  10],
       [  3,   0,  60,  26],
       [  1,   4,  13, 116]])]","[0.5652173913043478, 0.6304347826086957, 0.5869565217391305, 0.717391304347826, 0.6222222222222222, 0.6666666666666666, 0.5333333333333333, 0.7111111111111111, 0.7333333333333333, 0.7111111111111111]","[0.5652173913043478, 0.6304347826086957, 0.5869565217391305, 0.717391304347826, 0.6222222222222222, 0.6666666666666666, 0.5333333333333333, 0.7111111111111111, 0.7333333333333333, 0.7111111111111111]","[0.5652173913043478, 0.6304347826086957, 0.5869565217391305, 0.717391304347826, 0.6222222222222222, 0.6666666666666666, 0.5333333333333333, 0.7111111111111111, 0.7333333333333333, 0.7111111111111111]","[0.5652173913043478, 0.6304347826086957, 0.5869565217391305, 0.717391304347826, 0.6222222222222222, 0.6666666666666666, 0.5333333333333333, 0.7111111111111111, 0.7333333333333333, 0.7111111111111111]","[0.5433114035087718, 0.6346153846153846, 0.6224323062558357, 0.7377705627705627, 0.6121794871794872, 0.6694444444444445, 0.5252403846153846, 0.7152777777777778, 0.7318181818181818, 0.7433261183261183]","[0.5375000000000001, 0.6194444444444445, 0.5969696969696969, 0.709090909090909, 0.6217532467532467, 0.6626262626262627, 0.5353535353535354, 0.6876262626262626, 0.7308080808080808, 0.7141414141414142]","[0.5362369828314101, 0.6087662337662338, 0.5832354720472581, 0.715431627196333, 0.6002893632369336, 0.6420405982905983, 0.5206264684193377, 0.6651629072681704, 0.7261298407308594, 0.7182539682539683]","[0.554681540808543, 0.6415830546265329, 0.6214732269719482, 0.7292207792207792, 0.6293447293447294, 0.68, 0.528525641025641, 0.7228395061728395, 0.734949494949495, 0.7303992303992304]","[0.5652173913043478, 0.6304347826086957, 0.5869565217391305, 0.717391304347826, 0.6222222222222222, 0.6666666666666666, 0.5333333333333333, 0.7111111111111111, 0.7333333333333333, 0.7111111111111111]","[0.5551095828387523, 0.6194240542066629, 0.5799190188187641, 0.7156585954539918, 0.609809750730467, 0.6506410256410257, 0.5225105230764541, 0.6805680868838764, 0.7291310714061139, 0.7100529100529099]","[array([[ 5,  5,  0,  2],
       [ 5,  3,  0,  1],
       [ 0,  0,  6,  4],
       [ 0,  0,  3, 12]]), array([[ 6,  5,  0,  1],
       [ 2,  7,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  1,  2, 12]]), array([[5, 5, 0, 1],
       [0, 9, 0, 1],
       [1, 0, 5, 4],
       [0, 3, 4, 8]]), array([[ 7,  1,  1,  2],
       [ 2,  6,  0,  2],
       [ 0,  0,  8,  2],
       [ 1,  0,  2, 12]]), array([[ 3,  6,  2,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  1,  3, 10]]), array([[ 3,  6,  0,  2],
       [ 2,  8,  0,  0],
       [ 0,  1,  7,  1],
       [ 0,  1,  2, 12]]), array([[4, 5, 1, 1],
       [1, 7, 1, 0],
       [0, 0, 4, 6],
       [3, 1, 2, 9]]), array([[ 3,  5,  2,  1],
       [ 1,  7,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  0,  0, 15]]), array([[ 6,  3,  0,  2],
       [ 2,  7,  0,  0],
       [ 0,  0,  8,  2],
       [ 0,  0,  3, 12]]), array([[ 6,  1,  0,  4],
       [ 1,  7,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  1,  3, 11]])]"
