ccp_alpha value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
0.0,"[0.8583162217659137, 0.8480492813141683, 0.8683127572016461, 0.8724279835390947, 0.8507157464212679, 0.8477366255144033, 0.8706365503080082, 0.8583162217659137, 0.8706365503080082, 0.8459958932238193]","[0.8583162217659137, 0.8480492813141683, 0.8683127572016461, 0.8724279835390947, 0.8507157464212679, 0.8477366255144033, 0.8706365503080082, 0.8583162217659137, 0.8706365503080082, 0.8459958932238193]","[0.8583162217659137, 0.8480492813141683, 0.8683127572016461, 0.8724279835390947, 0.8507157464212679, 0.8477366255144033, 0.8706365503080082, 0.8583162217659137, 0.8706365503080082, 0.8459958932238193]","[0.8583162217659137, 0.8480492813141683, 0.8683127572016461, 0.8724279835390947, 0.8507157464212679, 0.8477366255144033, 0.8706365503080082, 0.8583162217659137, 0.8706365503080082, 0.8459958932238193]","[0.8647177875119052, 0.8465936118996511, 0.8656642322778005, 0.8777825684264315, 0.8504763773423227, 0.8433688844904286, 0.8696592752812, 0.8522371285430986, 0.8679714627730157, 0.8521531349794238]","[0.8433055311676909, 0.8425812115891133, 0.8661602700781805, 0.8621179815209665, 0.8423280423280424, 0.8475035536602702, 0.8631035996488147, 0.8562115891132572, 0.8641791044776119, 0.8331870061457418]","[0.8489880521025341, 0.8439856728403371, 0.8643286962769046, 0.8676248792675799, 0.8448739078999048, 0.8426571040155569, 0.8659172954750284, 0.8539280910893243, 0.8650317714617869, 0.83827089166623]","[0.8644230559014954, 0.8495638410931403, 0.8717183526954568, 0.8753519221015557, 0.8513494383308826, 0.8548308311574895, 0.8707343489958514, 0.8594832272450342, 0.8738522328124637, 0.85040120060944]","[0.8583162217659137, 0.8480492813141683, 0.8683127572016461, 0.8724279835390947, 0.8507157464212679, 0.8477366255144033, 0.8706365503080082, 0.8583162217659137, 0.8706365503080082, 0.8459958932238193]","[0.8568105672561718, 0.8481703395748658, 0.8683150441090104, 0.8719271866394602, 0.8495540087238211, 0.8486372189615677, 0.8703274369315361, 0.8586681024944292, 0.8710987204123121, 0.8442122787500639]","[array([[122,   8,   0,   4],
       [ 16,  59,   1,   9],
       [  8,   0, 111,  15],
       [  2,   1,   5, 126]]), array([[118,  11,   2,   3],
       [ 13,  67,   2,   3],
       [  6,   0, 114,  14],
       [  8,   4,   8, 114]]), array([[118,  12,   3,   1],
       [ 10,  71,   1,   2],
       [  4,   2, 124,   4],
       [  6,   3,  16, 109]]), array([[122,   4,   4,   4],
       [ 15,  64,   0,   5],
       [  7,   0, 116,  11],
       [  3,   3,   6, 122]]), array([[123,   8,   2,   2],
       [ 14,  64,   2,   4],
       [  3,   0, 122,  10],
       [  7,   4,  17, 107]]), array([[107,  22,   1,   4],
       [  7,  71,   1,   5],
       [  3,   2, 112,  17],
       [  2,   2,   8, 122]]), array([[118,   8,   2,   6],
       [ 13,  67,   0,   5],
       [  3,   1, 122,   8],
       [  5,   2,  10, 117]]), array([[117,  13,   3,   1],
       [ 11,  71,   0,   3],
       [  2,   2, 117,  13],
       [  2,   5,  14, 113]]), array([[122,  11,   0,   1],
       [ 11,  68,   0,   6],
       [  8,   2, 116,   8],
       [  7,   3,   6, 118]]), array([[125,   5,   2,   2],
       [ 19,  60,   0,   6],
       [  8,   0, 121,   5],
       [  5,   4,  19, 106]])]","[0.6304347826086957, 0.6086956521739131, 0.6521739130434783, 0.7391304347826086, 0.7777777777777778, 0.6666666666666666, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666, 0.6222222222222222]","[0.6304347826086957, 0.6086956521739131, 0.6521739130434783, 0.7391304347826086, 0.7777777777777778, 0.6666666666666666, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666, 0.6222222222222222]","[0.6304347826086957, 0.6086956521739131, 0.6521739130434783, 0.7391304347826086, 0.7777777777777778, 0.6666666666666666, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666, 0.6222222222222222]","[0.6304347826086957, 0.6086956521739131, 0.6521739130434783, 0.7391304347826086, 0.7777777777777778, 0.6666666666666666, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666, 0.6222222222222222]","[0.6305147058823529, 0.6051136363636364, 0.6464646464646465, 0.775, 0.7982600732600732, 0.6896464646464646, 0.6272281639928698, 0.700595238095238, 0.662293956043956, 0.6145104895104896]","[0.6180555555555556, 0.6041666666666666, 0.6507575757575758, 0.7295454545454545, 0.7879870129870129, 0.6853535353535354, 0.6224747474747474, 0.7113636363636363, 0.6618686868686868, 0.6262626262626263]","[0.6226618937048504, 0.6013888888888889, 0.6478127136021872, 0.7391743297815405, 0.7723039215686275, 0.651218487394958, 0.6218137254901961, 0.702095363801353, 0.6585879209518049, 0.6120729228146108]","[0.6303815004262574, 0.6121541501976284, 0.6484409310496267, 0.7684782608695653, 0.8066585266585267, 0.7136924803591471, 0.6396712220241632, 0.7115343915343916, 0.6724175824175824, 0.6296037296037297]","[0.6304347826086957, 0.6086956521739131, 0.6521739130434783, 0.7391304347826086, 0.7777777777777778, 0.6666666666666666, 0.6444444444444445, 0.7111111111111111, 0.6666666666666666, 0.6222222222222222]","[0.628747980885718, 0.6077294685990339, 0.6496131633431405, 0.7419619266414085, 0.771677559912854, 0.6537628384687209, 0.6389324618736383, 0.7076742011769235, 0.6662913669870717, 0.6167981871306679]","[array([[ 7,  3,  0,  2],
       [ 3,  5,  0,  1],
       [ 1,  0,  6,  3],
       [ 1,  0,  3, 11]]), array([[ 7,  4,  0,  1],
       [ 3,  6,  0,  0],
       [ 1,  0,  5,  4],
       [ 1,  1,  3, 10]]), array([[ 7,  3,  1,  0],
       [ 1,  8,  0,  1],
       [ 1,  0,  5,  4],
       [ 2,  0,  3, 10]]), array([[ 9,  2,  0,  0],
       [ 3,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 3,  0,  0, 12]]), array([[10,  0,  1,  0],
       [ 3,  6,  0,  1],
       [ 0,  0, 10,  0],
       [ 0,  1,  4,  9]]), array([[ 4,  7,  0,  0],
       [ 0, 10,  0,  0],
       [ 1,  0,  7,  1],
       [ 1,  1,  4,  9]]), array([[ 6,  3,  1,  1],
       [ 3,  4,  1,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  2, 12]]), array([[ 6,  3,  1,  1],
       [ 2,  6,  0,  1],
       [ 0,  0,  9,  1],
       [ 1,  1,  2, 11]]), array([[ 7,  3,  1,  0],
       [ 2,  7,  0,  0],
       [ 2,  0,  5,  3],
       [ 2,  0,  2, 11]]), array([[8, 3, 0, 0],
       [3, 4, 0, 2],
       [0, 1, 8, 1],
       [2, 0, 5, 8]])]"
0.01,"[0.8275154004106776, 0.8090349075975359, 0.8374485596707819, 0.8189300411522634, 0.8241308793456033, 0.8127572016460906, 0.8213552361396304, 0.8172484599589322, 0.8254620123203286, 0.8439425051334702]","[0.8275154004106776, 0.8090349075975359, 0.8374485596707819, 0.8189300411522634, 0.8241308793456033, 0.8127572016460906, 0.8213552361396304, 0.8172484599589322, 0.8254620123203286, 0.8439425051334702]","[0.8275154004106776, 0.8090349075975359, 0.8374485596707819, 0.8189300411522634, 0.8241308793456033, 0.8127572016460906, 0.8213552361396304, 0.8172484599589322, 0.8254620123203286, 0.8439425051334702]","[0.8275154004106776, 0.8090349075975359, 0.8374485596707819, 0.8189300411522634, 0.8241308793456033, 0.8127572016460906, 0.8213552361396304, 0.8172484599589322, 0.8254620123203286, 0.8439425051334702]","[0.8240842046802459, 0.8213541116983901, 0.8373888393922829, 0.8219856446181386, 0.8370499718844607, 0.8067584147408523, 0.8200951910140767, 0.8104811228781426, 0.8275397315157836, 0.8400185050144416]","[0.8217734855136084, 0.7899253731343283, 0.8315120824449183, 0.8058368869936035, 0.8160052910052911, 0.8069029850746269, 0.8118744512730466, 0.8145961369622476, 0.8199078138718173, 0.8420763827919228]","[0.8226461560586045, 0.7976431873768809, 0.8320233681556807, 0.810746975063829, 0.8193173917654545, 0.8066956660074069, 0.8150612251568403, 0.8105310345085626, 0.8209225724667784, 0.8402635523667981]","[0.8272436761683322, 0.8155227863938099, 0.8419882131127577, 0.8215636989490439, 0.8332756105317037, 0.8135055283368006, 0.8218523100926571, 0.822530844020415, 0.8290529693890352, 0.845401628018571]","[0.8275154004106776, 0.8090349075975359, 0.8374485596707819, 0.8189300411522634, 0.8241308793456033, 0.8127572016460906, 0.8213552361396304, 0.8172484599589322, 0.8254620123203286, 0.8439425051334702]","[0.8270936900873957, 0.8061307997596697, 0.8370532897642403, 0.8175009808095226, 0.8213320890661461, 0.8129851244261201, 0.8208262462042254, 0.8180035142087606, 0.8242473064396972, 0.8438521082387719]","[array([[119,   9,   1,   5],
       [ 15,  65,   1,   4],
       [  2,   2, 113,  17],
       [  6,   6,  16, 106]]), array([[120,   6,   3,   5],
       [ 28,  51,   0,   6],
       [  1,   1, 113,  19],
       [  8,   0,  16, 110]]), array([[116,  12,   5,   1],
       [ 15,  65,   1,   3],
       [  7,   0, 122,   5],
       [  2,   5,  23, 104]]), array([[121,   9,   3,   1],
       [ 26,  57,   0,   1],
       [  4,   1, 112,  17],
       [  5,   2,  19, 108]]), array([[121,   7,   3,   4],
       [ 14,  62,   4,   4],
       [  3,   1, 127,   4],
       [  8,   1,  33,  93]]), array([[109,  16,   2,   7],
       [ 18,  63,   0,   3],
       [  4,   0, 112,  18],
       [  1,   6,  16, 111]]), array([[114,  13,   3,   4],
       [ 18,  61,   1,   5],
       [  5,   1, 115,  13],
       [  8,   1,  15, 110]]), array([[102,  26,   2,   4],
       [ 10,  67,   4,   4],
       [  3,   1, 117,  13],
       [  1,   3,  18, 112]]), array([[113,  14,   3,   4],
       [ 14,  65,   3,   3],
       [  2,   0, 124,   8],
       [  5,   1,  28, 100]]), array([[107,  16,   5,   6],
       [ 11,  70,   1,   3],
       [  0,   0, 120,  14],
       [  3,   3,  14, 114]])]","[0.717391304347826, 0.6086956521739131, 0.5869565217391305, 0.6956521739130435, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555, 0.6888888888888889, 0.5777777777777777]","[0.717391304347826, 0.6086956521739131, 0.5869565217391305, 0.6956521739130435, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555, 0.6888888888888889, 0.5777777777777777]","[0.717391304347826, 0.6086956521739131, 0.5869565217391305, 0.6956521739130435, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555, 0.6888888888888889, 0.5777777777777777]","[0.717391304347826, 0.6086956521739131, 0.5869565217391305, 0.6956521739130435, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555, 0.6888888888888889, 0.5777777777777777]","[0.7760416666666666, 0.618014705882353, 0.576388888888889, 0.7034722222222223, 0.7243589743589743, 0.7738320707070707, 0.6722222222222223, 0.7541666666666667, 0.6970779220779221, 0.5674603174603174]","[0.6902777777777778, 0.5861111111111111, 0.5757575757575757, 0.6840909090909091, 0.7126623376623377, 0.7752525252525252, 0.6752525252525252, 0.7484848484848485, 0.6946969696969696, 0.5747474747474748]","[0.6987595737595738, 0.5922453703703703, 0.5754195270785659, 0.6894152046783626, 0.7077135774218154, 0.7723758320532514, 0.6707070707070707, 0.7487649605296665, 0.6803571428571429, 0.5644861392832995]","[0.7554347826086957, 0.6164322250639386, 0.5863526570048309, 0.7095410628019323, 0.7447293447293447, 0.7731902356902357, 0.6888888888888889, 0.7603703703703704, 0.731948051948052, 0.5770723104056438]","[0.717391304347826, 0.6086956521739131, 0.5869565217391305, 0.6956521739130435, 0.7111111111111111, 0.7777777777777778, 0.6888888888888889, 0.7555555555555555, 0.6888888888888889, 0.5777777777777777]","[0.7074519683215336, 0.603894927536232, 0.5860610884489106, 0.6986219171116196, 0.7161157725230952, 0.7733265062297321, 0.6860606060606061, 0.7557026851144498, 0.693015873015873, 0.5713845691533318]","[array([[11,  0,  0,  1],
       [ 4,  4,  0,  1],
       [ 0,  0,  6,  4],
       [ 1,  0,  2, 12]]), array([[ 8,  2,  0,  2],
       [ 5,  4,  0,  0],
       [ 1,  0,  5,  4],
       [ 1,  0,  3, 11]]), array([[ 7,  4,  0,  0],
       [ 4,  5,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  1,  4, 10]]), array([[ 7,  3,  0,  1],
       [ 4,  5,  0,  1],
       [ 1,  0,  8,  1],
       [ 2,  0,  1, 12]]), array([[ 7,  3,  1,  0],
       [ 4,  6,  0,  0],
       [ 1,  0,  9,  0],
       [ 1,  0,  3, 10]]), array([[ 6,  3,  0,  2],
       [ 2,  8,  0,  0],
       [ 0,  0,  8,  1],
       [ 1,  0,  1, 13]]), array([[ 6,  3,  1,  1],
       [ 2,  5,  1,  1],
       [ 1,  0,  8,  1],
       [ 0,  1,  2, 12]]), array([[ 8,  2,  1,  0],
       [ 1,  6,  1,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  2, 12]]), array([[ 6,  5,  0,  0],
       [ 3,  6,  0,  0],
       [ 1,  0,  9,  0],
       [ 0,  0,  5, 10]]), array([[5, 2, 0, 4],
       [4, 4, 0, 1],
       [0, 2, 8, 0],
       [0, 0, 6, 9]])]"
0.1,"[0.49691991786447637, 0.4887063655030801, 0.4897119341563786, 0.5041152263374485, 0.47648261758691207, 0.4876543209876543, 0.49075975359342916, 0.4887063655030801, 0.4928131416837782, 0.4989733059548255]","[0.49691991786447637, 0.4887063655030801, 0.4897119341563786, 0.5041152263374485, 0.47648261758691207, 0.4876543209876543, 0.49075975359342916, 0.4887063655030801, 0.4928131416837782, 0.4989733059548255]","[0.49691991786447637, 0.4887063655030801, 0.4897119341563786, 0.5041152263374485, 0.47648261758691207, 0.4876543209876543, 0.49075975359342916, 0.4887063655030801, 0.4928131416837782, 0.4989733059548255]","[0.49691991786447637, 0.4887063655030801, 0.4897119341563786, 0.5041152263374485, 0.47648261758691207, 0.4876543209876543, 0.49075975359342916, 0.4887063655030801, 0.4928131416837782, 0.4989733059548255]","[0.24883872166480864, 0.2445834604821483, 0.24526515151515152, 0.25262286732874967, 0.23848428523149712, 0.24523261407366684, 0.2454554686706611, 0.24447791164658633, 0.24642796896086372, 0.24994499170644188]","[0.45149253731343286, 0.44402985074626866, 0.44402985074626866, 0.457089552238806, 0.43148148148148147, 0.4421641791044776, 0.44589552238805974, 0.44402985074626866, 0.44776119402985076, 0.4533582089552239]","[0.32073292326704866, 0.31504922644163147, 0.3154466150979617, 0.32522097404655426, 0.3064739924696695, 0.31444991789819376, 0.3163616686343959, 0.3152987169768944, 0.31788356000954426, 0.3219732107719121]","[0.2738758825715347, 0.26919247395981827, 0.2704981917944881, 0.2786128742555758, 0.2633568793967453, 0.27046230687959966, 0.27015222013855106, 0.26907630522088355, 0.27122256953392804, 0.27509346109784977]","[0.49691991786447637, 0.4887063655030801, 0.4897119341563786, 0.5041152263374485, 0.47648261758691207, 0.4876543209876543, 0.49075975359342916, 0.4887063655030801, 0.4928131416837782, 0.4989733059548255]","[0.35300379234319934, 0.34674822458462934, 0.3478999705607149, 0.3586799219937306, 0.33843753769656754, 0.34680073249677335, 0.3481927194826206, 0.3470228178636866, 0.34986773750537115, 0.3543688726360264]","[array([[121,   0,   0,  13],
       [ 81,   0,   0,   4],
       [ 38,   0,   0,  96],
       [ 13,   0,   0, 121]]), array([[112,   0,   0,  22],
       [ 75,   0,   0,  10],
       [ 31,   0,   0, 103],
       [  8,   0,   0, 126]]), array([[111,   0,   0,  23],
       [ 78,   0,   0,   6],
       [ 26,   0,   0, 108],
       [  7,   0,   0, 127]]), array([[123,   0,   0,  11],
       [ 80,   0,   0,   4],
       [ 40,   0,   0,  94],
       [ 12,   0,   0, 122]]), array([[106,   0,   0,  29],
       [ 76,   0,   0,   8],
       [ 30,   0,   0, 105],
       [  8,   0,   0, 127]]), array([[110,   0,   0,  24],
       [ 74,   0,   0,  10],
       [ 23,   0,   0, 111],
       [  7,   0,   0, 127]]), array([[113,   0,   0,  21],
       [ 78,   0,   0,   7],
       [ 30,   0,   0, 104],
       [  8,   0,   0, 126]]), array([[119,   0,   0,  15],
       [ 81,   0,   0,   4],
       [ 34,   0,   0, 100],
       [ 15,   0,   0, 119]]), array([[119,   0,   0,  15],
       [ 80,   0,   0,   5],
       [ 28,   0,   0, 106],
       [ 13,   0,   0, 121]]), array([[118,   0,   0,  16],
       [ 76,   0,   0,   9],
       [ 26,   0,   0, 108],
       [  9,   0,   0, 125]])]","[0.5, 0.5217391304347826, 0.5, 0.45652173913043476, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.5111111111111111]","[0.5, 0.5217391304347826, 0.5, 0.45652173913043476, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.5111111111111111]","[0.5, 0.5217391304347826, 0.5, 0.45652173913043476, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.5111111111111111]","[0.5, 0.5217391304347826, 0.5, 0.45652173913043476, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.5111111111111111]","[0.25, 0.25946969696969696, 0.24905303030303028, 0.23011363636363635, 0.2672924901185771, 0.24000000000000002, 0.2525, 0.27529761904761907, 0.24851190476190477, 0.24949392712550605]","[0.42500000000000004, 0.44166666666666665, 0.44393939393939397, 0.40454545454545454, 0.48214285714285715, 0.41515151515151516, 0.43787878787878787, 0.4772727272727273, 0.42121212121212126, 0.4318181818181818]","[0.31390977443609025, 0.32654600301659126, 0.3181818181818182, 0.29073359073359073, 0.3423202614379085, 0.3040322580645161, 0.32016129032258067, 0.3485576923076923, 0.30912698412698414, 0.31626016260162604]","[0.29773156899810965, 0.30879446640316205, 0.28532608695652173, 0.2675395256916996, 0.3007465963987703, 0.28444444444444444, 0.2966666666666667, 0.3247354497354497, 0.298015873015873, 0.29523166891587943]","[0.5, 0.5217391304347826, 0.5, 0.45652173913043476, 0.5333333333333333, 0.4888888888888889, 0.5111111111111111, 0.5555555555555556, 0.4888888888888889, 0.5111111111111111]","[0.37218045112781956, 0.3875663977965768, 0.36231884057971014, 0.3344972301494041, 0.38286129266521424, 0.35949820788530473, 0.37526881720430105, 0.40918803418803423, 0.3664550264550265, 0.37427280939476054]","[array([[10,  0,  0,  2],
       [ 8,  0,  0,  1],
       [ 3,  0,  0,  7],
       [ 2,  0,  0, 13]]), array([[10,  0,  0,  2],
       [ 9,  0,  0,  0],
       [ 2,  0,  0,  8],
       [ 1,  0,  0, 14]]), array([[10,  0,  0,  1],
       [ 7,  0,  0,  3],
       [ 3,  0,  0,  7],
       [ 2,  0,  0, 13]]), array([[ 9,  0,  0,  2],
       [ 9,  0,  0,  1],
       [ 3,  0,  0,  7],
       [ 3,  0,  0, 12]]), array([[11,  0,  0,  0],
       [10,  0,  0,  0],
       [ 1,  0,  0,  9],
       [ 1,  0,  0, 13]]), array([[ 8,  0,  0,  3],
       [ 9,  0,  0,  1],
       [ 2,  0,  0,  7],
       [ 1,  0,  0, 14]]), array([[ 9,  0,  0,  2],
       [ 8,  0,  0,  1],
       [ 2,  0,  0,  8],
       [ 1,  0,  0, 14]]), array([[10,  0,  0,  1],
       [ 8,  0,  0,  1],
       [ 3,  0,  0,  7],
       [ 0,  0,  0, 15]]), array([[ 9,  0,  0,  2],
       [ 9,  0,  0,  0],
       [ 4,  0,  0,  6],
       [ 2,  0,  0, 13]]), array([[ 8,  0,  0,  3],
       [ 8,  0,  0,  1],
       [ 3,  0,  0,  7],
       [ 0,  0,  0, 15]])]"
