min_samples_leaf value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
5,"[0.8829568788501027, 0.891170431211499, 0.8683127572016461, 0.8765432098765432, 0.8732106339468303, 0.8662551440329218, 0.8767967145790554, 0.8809034907597536, 0.8562628336755647, 0.8501026694045175]","[0.8829568788501027, 0.891170431211499, 0.8683127572016461, 0.8765432098765432, 0.8732106339468303, 0.8662551440329218, 0.8767967145790554, 0.8809034907597536, 0.8562628336755647, 0.8501026694045175]","[0.8829568788501027, 0.891170431211499, 0.8683127572016461, 0.8765432098765432, 0.8732106339468303, 0.8662551440329218, 0.8767967145790554, 0.8809034907597536, 0.8562628336755647, 0.8501026694045175]","[0.8829568788501027, 0.891170431211499, 0.8683127572016461, 0.8765432098765432, 0.8732106339468303, 0.8662551440329218, 0.8767967145790554, 0.8809034907597536, 0.8562628336755647, 0.8501026694045175]","[0.8802743012098457, 0.8968268154530586, 0.8635950527590381, 0.8771776934555797, 0.893733153638814, 0.869195676044044, 0.8771665717569078, 0.8793446464162844, 0.8577586512866016, 0.8489922955862175]","[0.8785996488147498, 0.8817603160667252, 0.8672707889125799, 0.8680703624733475, 0.8626984126984126, 0.8587420042643923, 0.869776119402985, 0.8821115013169446, 0.8489683933274803, 0.8422958735733098]","[0.8790022795905149, 0.8871452519134486, 0.8638326830700925, 0.8717324505166941, 0.8724115971899222, 0.8629578269908045, 0.8723906522626039, 0.8790261056547546, 0.8521007849561335, 0.8442976034648666]","[0.8848000280980931, 0.8934331639848404, 0.8736400739473642, 0.8768873326999809, 0.8826501083128008, 0.866860674413607, 0.8777070508085297, 0.8855969604239021, 0.8578206100402844, 0.8505678379894851]","[0.8829568788501027, 0.891170431211499, 0.8683127572016461, 0.8765432098765432, 0.8732106339468303, 0.8662551440329218, 0.8767967145790554, 0.8809034907597536, 0.8562628336755647, 0.8501026694045175]","[0.8834000207306163, 0.8905301826994928, 0.869475061570622, 0.8760065010590202, 0.8731986797023517, 0.8657885666015165, 0.8762175647431901, 0.8815509158146508, 0.8558523507403729, 0.8490015623325287]","[array([[118,   9,   0,   7],
       [  9,  71,   1,   4],
       [  4,   1, 120,   9],
       [  5,   4,   4, 121]]), array([[125,   2,   5,   2],
       [ 14,  67,   1,   3],
       [  2,   1, 125,   6],
       [  5,   2,  10, 117]]), array([[120,  11,   2,   1],
       [ 10,  72,   0,   2],
       [  6,   4, 116,   8],
       [  8,   7,   5, 114]]), array([[121,   5,   3,   5],
       [ 13,  66,   0,   5],
       [  5,   0, 123,   6],
       [  3,   4,  11, 116]]), array([[127,   0,   4,   4],
       [ 17,  64,   1,   2],
       [  7,   0, 122,   6],
       [  8,   0,  13, 114]]), array([[117,   7,   5,   5],
       [  8,  66,   2,   8],
       [  2,   0, 123,   9],
       [  7,   1,  11, 115]]), array([[125,   4,   2,   3],
       [ 11,  68,   3,   3],
       [  6,   0, 121,   7],
       [  5,   6,  10, 113]]), array([[114,  13,   2,   5],
       [  3,  76,   1,   5],
       [  4,   0, 116,  14],
       [  5,   4,   2, 123]]), array([[120,   7,   6,   1],
       [ 14,  66,   0,   5],
       [  5,   1, 120,   8],
       [  8,   3,  12, 111]]), array([[120,   8,   2,   4],
       [ 14,  65,   1,   5],
       [  2,   2, 123,   7],
       [  9,   3,  16, 106]])]","[0.5869565217391305, 0.6739130434782609, 0.5217391304347826, 0.6086956521739131, 0.6666666666666666, 0.7555555555555555, 0.5777777777777777, 0.6222222222222222, 0.6888888888888889, 0.6444444444444445]","[0.5869565217391305, 0.6739130434782609, 0.5217391304347826, 0.6086956521739131, 0.6666666666666666, 0.7555555555555555, 0.5777777777777777, 0.6222222222222222, 0.6888888888888889, 0.6444444444444445]","[0.5869565217391305, 0.6739130434782609, 0.5217391304347826, 0.6086956521739131, 0.6666666666666666, 0.7555555555555555, 0.5777777777777777, 0.6222222222222222, 0.6888888888888889, 0.6444444444444445]","[0.5869565217391305, 0.6739130434782609, 0.5217391304347826, 0.6086956521739131, 0.6666666666666666, 0.7555555555555555, 0.5777777777777777, 0.6222222222222222, 0.6888888888888889, 0.6444444444444445]","[0.6012820512820513, 0.7058385854341737, 0.5026737967914439, 0.6233766233766234, 0.6674436674436675, 0.7475233100233101, 0.5666666666666667, 0.6601731601731602, 0.7138888888888888, 0.6469017094017094]","[0.5861111111111111, 0.6555555555555556, 0.49924242424242427, 0.6151515151515151, 0.6626623376623376, 0.7545454545454545, 0.564141414141414, 0.6002525252525253, 0.6606060606060606, 0.6419191919191919]","[0.5818035426731079, 0.6623331479421579, 0.4986920426065163, 0.611656524678837, 0.6592304625199362, 0.749223602484472, 0.5647485080988917, 0.615470985691574, 0.6544650751547303, 0.6373633358759216]","[0.6040133779264214, 0.6985484411155767, 0.5171019659510708, 0.6166007905138339, 0.6860571527238193, 0.7603341103341104, 0.5777777777777777, 0.6463684463684464, 0.7191358024691359, 0.6534188034188034]","[0.5869565217391305, 0.6739130434782609, 0.5217391304347826, 0.6086956521739131, 0.6666666666666666, 0.7555555555555555, 0.5777777777777777, 0.6222222222222222, 0.6888888888888889, 0.6444444444444445]","[0.584499054820416, 0.6694787686801761, 0.5170691674839272, 0.6057582973219272, 0.6700567074251285, 0.7558546123763515, 0.5772094344984371, 0.6186018371312489, 0.6757048826014344, 0.6423086702262903]","[array([[8, 2, 0, 2],
       [4, 4, 0, 1],
       [2, 0, 7, 1],
       [1, 0, 6, 8]]), array([[10,  1,  0,  1],
       [ 4,  5,  0,  0],
       [ 1,  0,  5,  4],
       [ 2,  1,  1, 11]]), array([[ 4,  6,  1,  0],
       [ 4,  4,  0,  2],
       [ 1,  0,  5,  4],
       [ 0,  1,  3, 11]]), array([[8, 1, 0, 2],
       [4, 5, 0, 1],
       [0, 0, 7, 3],
       [2, 1, 4, 8]]), array([[ 7,  3,  1,  0],
       [ 5,  5,  0,  0],
       [ 1,  0,  8,  1],
       [ 0,  1,  3, 10]]), array([[ 9,  2,  0,  0],
       [ 2,  8,  0,  0],
       [ 1,  0,  6,  2],
       [ 0,  1,  3, 11]]), array([[ 6,  3,  1,  1],
       [ 5,  4,  0,  0],
       [ 0,  0,  6,  4],
       [ 1,  1,  3, 10]]), array([[ 6,  2,  0,  3],
       [ 0,  5,  0,  4],
       [ 2,  0,  5,  3],
       [ 1,  0,  2, 12]]), array([[10,  1,  0,  0],
       [ 6,  3,  0,  0],
       [ 1,  0,  6,  3],
       [ 1,  0,  2, 12]]), array([[ 6,  3,  0,  2],
       [ 2,  5,  0,  2],
       [ 0,  1,  8,  1],
       [ 0,  0,  5, 10]])]"
10,"[0.8049281314168378, 0.8234086242299795, 0.845679012345679, 0.8209876543209876, 0.8302658486707567, 0.8415637860082305, 0.8151950718685832, 0.8049281314168378, 0.8336755646817249, 0.8316221765913757]","[0.8049281314168378, 0.8234086242299795, 0.845679012345679, 0.8209876543209876, 0.8302658486707567, 0.8415637860082305, 0.8151950718685832, 0.8049281314168378, 0.8336755646817249, 0.8316221765913757]","[0.8049281314168378, 0.8234086242299795, 0.845679012345679, 0.8209876543209876, 0.8302658486707567, 0.8415637860082305, 0.8151950718685832, 0.8049281314168378, 0.8336755646817249, 0.8316221765913757]","[0.8049281314168378, 0.8234086242299795, 0.845679012345679, 0.8209876543209876, 0.8302658486707567, 0.8415637860082305, 0.8151950718685832, 0.8049281314168378, 0.8336755646817249, 0.8316221765913757]","[0.8093346606147467, 0.819866979655712, 0.8450270178993583, 0.8168650181517828, 0.831021872428222, 0.8353017836267851, 0.8153347313282672, 0.8017266419081219, 0.8397931172468986, 0.8309804785280344]","[0.795873573309921, 0.811589113257243, 0.8389747690120825, 0.8110341151385928, 0.8193121693121693, 0.8374644633972992, 0.8030509218612818, 0.8001755926251097, 0.8198419666374013, 0.8244293239683934]","[0.7989792133326707, 0.814829986261516, 0.8412466545799879, 0.8125993644097975, 0.8228880187294001, 0.83604293386191, 0.8067191296687134, 0.7999359221921986, 0.8262920954987105, 0.8264959741519547]","[0.8143494624560298, 0.8232074628928029, 0.8462300718670563, 0.8237441352455876, 0.8342572824360734, 0.8429085889007715, 0.8151770985171801, 0.8075161473997609, 0.8384702119040635, 0.8350913492983786]","[0.8049281314168378, 0.8234086242299795, 0.845679012345679, 0.8209876543209876, 0.8302658486707567, 0.8415637860082305, 0.8151950718685832, 0.8049281314168378, 0.8336755646817249, 0.8316221765913757]","[0.8057478435517991, 0.8226106214295126, 0.8452361112443416, 0.8209215915020431, 0.8299978815462989, 0.8419043707364006, 0.8130709570154678, 0.8051073751990124, 0.8331462759546678, 0.8320712723107335]","[array([[118,  12,   4,   0],
       [ 21,  60,   0,   4],
       [ 16,   1, 104,  13],
       [ 10,   6,   8, 110]]), array([[111,  15,   2,   6],
       [ 20,  59,   1,   5],
       [  3,   0, 119,  12],
       [  8,   1,  13, 112]]), array([[118,   9,   4,   3],
       [ 15,  65,   2,   2],
       [  4,   1, 118,  11],
       [  4,   3,  17, 110]]), array([[113,  15,   4,   2],
       [ 22,  60,   1,   1],
       [  7,   1, 118,   8],
       [  2,   4,  20, 108]]), array([[114,  14,   1,   6],
       [ 16,  60,   1,   7],
       [  3,   0, 111,  21],
       [  5,   1,   8, 121]]), array([[115,  13,   2,   4],
       [ 11,  67,   0,   6],
       [  8,   2, 117,   7],
       [  5,   6,  13, 110]]), array([[111,  11,   3,   9],
       [ 20,  58,   1,   6],
       [  2,   0, 124,   8],
       [  5,   2,  23, 104]]), array([[111,  17,   3,   3],
       [ 15,  64,   1,   5],
       [  5,   3, 104,  22],
       [  8,   2,  11, 113]]), array([[113,  10,   2,   9],
       [ 19,  58,   0,   8],
       [  7,   0, 116,  11],
       [  8,   0,   7, 119]]), array([[115,  15,   3,   1],
       [ 16,  64,   0,   5],
       [  7,   0, 111,  16],
       [ 10,   2,   7, 115]])]","[0.5869565217391305, 0.6739130434782609, 0.6304347826086957, 0.6739130434782609, 0.6888888888888889, 0.7555555555555555, 0.6222222222222222, 0.7111111111111111, 0.6, 0.5111111111111111]","[0.5869565217391305, 0.6739130434782609, 0.6304347826086957, 0.6739130434782609, 0.6888888888888889, 0.7555555555555555, 0.6222222222222222, 0.7111111111111111, 0.6, 0.5111111111111111]","[0.5869565217391305, 0.6739130434782609, 0.6304347826086957, 0.6739130434782609, 0.6888888888888889, 0.7555555555555555, 0.6222222222222222, 0.7111111111111111, 0.6, 0.5111111111111111]","[0.5869565217391305, 0.6739130434782609, 0.6304347826086957, 0.6739130434782609, 0.6888888888888889, 0.7555555555555555, 0.6222222222222222, 0.7111111111111111, 0.6, 0.5111111111111111]","[0.6014132925897631, 0.6795634920634921, 0.6362920168067228, 0.6830128205128204, 0.6815247252747253, 0.7541132478632478, 0.6040499533146593, 0.6808823529411765, 0.6495614035087719, 0.5148268398268399]","[0.5861111111111111, 0.6513888888888889, 0.6136363636363636, 0.6734848484848485, 0.685064935064935, 0.7494949494949494, 0.6047979797979799, 0.6808080808080808, 0.5601010101010102, 0.5179292929292929]","[0.5834438549955792, 0.6581625074272133, 0.6119711042311662, 0.6749999999999999, 0.6769205622752533, 0.7492518059855522, 0.5965909090909091, 0.6792542016806722, 0.5483096686950643, 0.509004884004884]","[0.6100574617198659, 0.682712215320911, 0.6436107051516259, 0.6797658862876255, 0.6895299145299145, 0.7550094966761633, 0.6157173980703393, 0.698954248366013, 0.643859649122807, 0.5123328523328523]","[0.5869565217391305, 0.6739130434782609, 0.6304347826086957, 0.6739130434782609, 0.6888888888888889, 0.7555555555555555, 0.6222222222222222, 0.7111111111111111, 0.6, 0.5111111111111111]","[0.587350555491485, 0.671239246686817, 0.6251121730156594, 0.6739130434782609, 0.6832443427409103, 0.7529297098956543, 0.6111672278338945, 0.7032446311858076, 0.5722034407632784, 0.5043956043956044]","[array([[8, 3, 0, 1],
       [4, 4, 0, 1],
       [2, 0, 7, 1],
       [3, 0, 4, 8]]), array([[ 7,  3,  0,  2],
       [ 4,  5,  0,  0],
       [ 0,  1,  6,  3],
       [ 1,  0,  1, 13]]), array([[ 5,  6,  0,  0],
       [ 2,  7,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  1,  2, 12]]), array([[ 8,  2,  0,  1],
       [ 2,  7,  0,  1],
       [ 1,  0,  6,  3],
       [ 2,  1,  2, 10]]), array([[ 5,  4,  1,  1],
       [ 2,  8,  0,  0],
       [ 1,  0,  7,  2],
       [ 0,  1,  2, 11]]), array([[10,  0,  1,  0],
       [ 2,  8,  0,  0],
       [ 0,  0,  5,  4],
       [ 1,  1,  2, 11]]), array([[ 4,  4,  3,  0],
       [ 2,  5,  0,  2],
       [ 0,  0,  7,  3],
       [ 1,  0,  2, 12]]), array([[ 6,  4,  1,  0],
       [ 4,  4,  0,  1],
       [ 0,  0,  8,  2],
       [ 0,  0,  1, 14]]), array([[ 9,  1,  0,  1],
       [ 7,  2,  0,  0],
       [ 0,  0,  4,  6],
       [ 2,  0,  1, 12]]), array([[8, 2, 0, 1],
       [4, 4, 0, 1],
       [0, 1, 5, 4],
       [3, 0, 6, 6]])]"
15,"[0.7967145790554415, 0.7946611909650924, 0.7962962962962963, 0.7942386831275721, 0.7995910020449898, 0.7880658436213992, 0.7905544147843943, 0.7741273100616016, 0.7926078028747433, 0.8008213552361396]","[0.7967145790554415, 0.7946611909650924, 0.7962962962962963, 0.7942386831275721, 0.7995910020449898, 0.7880658436213992, 0.7905544147843943, 0.7741273100616016, 0.7926078028747433, 0.8008213552361396]","[0.7967145790554415, 0.7946611909650924, 0.7962962962962963, 0.7942386831275721, 0.7995910020449898, 0.7880658436213992, 0.7905544147843943, 0.7741273100616016, 0.7926078028747433, 0.8008213552361396]","[0.7967145790554415, 0.7946611909650924, 0.7962962962962963, 0.7942386831275721, 0.7995910020449898, 0.7880658436213992, 0.7905544147843943, 0.7741273100616016, 0.7926078028747433, 0.8008213552361396]","[0.7954725368408232, 0.7903450688970934, 0.7907324828090548, 0.7923999822196834, 0.8031120417695616, 0.7926037839378175, 0.7890819582814446, 0.7702433321287911, 0.7871136099336009, 0.8041237787205155]","[0.7937884108867428, 0.7811676909569798, 0.7908670931058991, 0.7912224591329069, 0.7859126984126984, 0.7722992181947406, 0.7785118525021949, 0.7711150131694469, 0.7900570676031607, 0.786764705882353]","[0.794343891402715, 0.7813765705838878, 0.7894142304943212, 0.7898114566852334, 0.7902864051559593, 0.7779951730276403, 0.7822390276114507, 0.7702972178622994, 0.7877495947359813, 0.7923934900699552]","[0.7985681550541831, 0.799817315971682, 0.7995994610254746, 0.7973602636711296, 0.8060806959141965, 0.793089894643479, 0.791291352244279, 0.7748822739226743, 0.7952224429302234, 0.8024362726841507]","[0.7967145790554415, 0.7946611909650924, 0.7962962962962963, 0.7942386831275721, 0.7995910020449898, 0.7880658436213992, 0.7905544147843943, 0.7741273100616016, 0.7926078028747433, 0.8008213552361396]","[0.7973259498081335, 0.7925092159639163, 0.79645990929434, 0.7936046953904438, 0.7986934772947264, 0.7867052388398117, 0.7896220566417816, 0.7740943735872344, 0.7931110517731299, 0.7993067440692125]","[array([[103,  18,   3,  10],
       [ 16,  65,   0,   4],
       [  8,   0, 111,  15],
       [ 11,   2,  12, 109]]), array([[103,  20,   8,   3],
       [ 23,  55,   3,   4],
       [  2,   0, 128,   4],
       [  2,   4,  27, 101]]), array([[103,  23,   6,   2],
       [ 15,  62,   1,   6],
       [  9,   0, 119,   6],
       [  9,   3,  19, 103]]), array([[107,  20,   2,   5],
       [ 15,  64,   1,   4],
       [  8,   1, 118,   7],
       [ 10,   1,  26,  97]]), array([[110,  14,   2,   9],
       [ 20,  55,   1,   8],
       [  6,   0, 105,  24],
       [  4,   2,   8, 121]]), array([[112,  12,   3,   7],
       [ 23,  52,   0,   9],
       [ 11,   1, 105,  17],
       [  7,   1,  12, 114]]), array([[107,  14,   6,   7],
       [ 24,  56,   0,   5],
       [  8,   1, 108,  17],
       [  4,   2,  14, 114]]), array([[ 99,  23,   5,   7],
       [ 13,  63,   1,   8],
       [  6,   1, 108,  19],
       [  7,   0,  20, 107]]), array([[104,  17,   5,   8],
       [ 11,  65,   2,   7],
       [  6,   3, 112,  13],
       [  1,   7,  21, 105]]), array([[113,  11,   6,   4],
       [ 23,  55,   1,   6],
       [  2,   0, 113,  19],
       [  9,   1,  15, 109]])]","[0.6739130434782609, 0.6086956521739131, 0.45652173913043476, 0.6956521739130435, 0.7111111111111111, 0.7333333333333333, 0.5333333333333333, 0.7333333333333333, 0.6666666666666666, 0.6666666666666666]","[0.6739130434782609, 0.6086956521739131, 0.45652173913043476, 0.6956521739130435, 0.7111111111111111, 0.7333333333333333, 0.5333333333333333, 0.7333333333333333, 0.6666666666666666, 0.6666666666666666]","[0.6739130434782609, 0.6086956521739131, 0.45652173913043476, 0.6956521739130435, 0.7111111111111111, 0.7333333333333333, 0.5333333333333333, 0.7333333333333333, 0.6666666666666666, 0.6666666666666666]","[0.6739130434782609, 0.6086956521739131, 0.45652173913043476, 0.6956521739130435, 0.7111111111111111, 0.7333333333333333, 0.5333333333333333, 0.7333333333333333, 0.6666666666666666, 0.6666666666666666]","[0.6784313725490195, 0.6036324786324787, 0.4201388888888889, 0.7027777777777777, 0.7082167832167832, 0.7835972850678733, 0.5310800310800311, 0.7049565018315018, 0.6583333333333333, 0.6917483660130719]","[0.6736111111111112, 0.6097222222222222, 0.43939393939393934, 0.6984848484848484, 0.7103896103896103, 0.7300505050505051, 0.5381313131313131, 0.7141414141414142, 0.6590909090909091, 0.6401515151515151]","[0.6730711722488039, 0.604527417027417, 0.4222810346549486, 0.699790236460717, 0.7086700336700336, 0.7258771929824561, 0.5301200409896062, 0.7020687237026648, 0.6578947368421053, 0.6409412955465588]","[0.6754901960784314, 0.613433667781494, 0.4368961352657005, 0.6980676328502416, 0.714063714063714, 0.7880643539467068, 0.5418803418803418, 0.7190221815221816, 0.6688888888888889, 0.6885039941902688]","[0.6739130434782609, 0.6086956521739131, 0.45652173913043476, 0.6956521739130435, 0.7111111111111111, 0.7333333333333333, 0.5333333333333333, 0.7333333333333333, 0.6666666666666666, 0.6666666666666666]","[0.6716572186394841, 0.6088368153585545, 0.4398846716659646, 0.6960998905581535, 0.7119341563786008, 0.7320245057087161, 0.5327965646806226, 0.7194732741156302, 0.667056530214425, 0.6564777327935223]","[array([[ 7,  3,  0,  2],
       [ 1,  7,  0,  1],
       [ 1,  0,  6,  3],
       [ 1,  0,  3, 11]]), array([[7, 3, 0, 2],
       [4, 5, 0, 0],
       [1, 0, 7, 2],
       [0, 1, 5, 9]]), array([[ 1, 10,  0,  0],
       [ 3,  5,  0,  2],
       [ 1,  0,  5,  4],
       [ 1,  0,  4, 10]]), array([[ 8,  2,  0,  1],
       [ 1,  7,  0,  2],
       [ 1,  0,  7,  2],
       [ 2,  0,  3, 10]]), array([[ 8,  2,  1,  0],
       [ 3,  7,  0,  0],
       [ 0,  0,  7,  3],
       [ 0,  1,  3, 10]]), array([[10,  0,  0,  1],
       [ 5,  5,  0,  0],
       [ 1,  0,  7,  1],
       [ 1,  0,  3, 11]]), array([[4, 4, 2, 1],
       [2, 5, 1, 1],
       [1, 0, 7, 2],
       [4, 0, 3, 8]]), array([[ 6,  3,  1,  1],
       [ 3,  4,  0,  2],
       [ 0,  0, 10,  0],
       [ 0,  0,  2, 13]]), array([[ 7,  3,  0,  1],
       [ 3,  6,  0,  0],
       [ 0,  1,  6,  3],
       [ 0,  0,  4, 11]]), array([[ 8,  1,  0,  2],
       [ 5,  3,  0,  1],
       [ 1,  0,  7,  2],
       [ 1,  0,  2, 12]])]"
20,"[0.7659137577002053, 0.7679671457905544, 0.7921810699588477, 0.7592592592592593, 0.7648261758691206, 0.7530864197530864, 0.7926078028747433, 0.7679671457905544, 0.7782340862422998, 0.7761806981519507]","[0.7659137577002053, 0.7679671457905544, 0.7921810699588477, 0.7592592592592593, 0.7648261758691206, 0.7530864197530864, 0.7926078028747433, 0.7679671457905544, 0.7782340862422998, 0.7761806981519507]","[0.7659137577002053, 0.7679671457905544, 0.7921810699588477, 0.7592592592592593, 0.7648261758691206, 0.7530864197530864, 0.7926078028747433, 0.7679671457905544, 0.7782340862422998, 0.7761806981519507]","[0.7659137577002053, 0.7679671457905544, 0.7921810699588477, 0.7592592592592593, 0.7648261758691206, 0.7530864197530864, 0.7926078028747433, 0.7679671457905544, 0.7782340862422998, 0.7761806981519507]","[0.7576834391442856, 0.768917703429841, 0.78708338472189, 0.7625652427407699, 0.7598486381614324, 0.7546906528234749, 0.8060133950605414, 0.7769426166878582, 0.779360849962768, 0.771013673214529]","[0.7615013169446884, 0.7633669885864793, 0.7860252309879175, 0.7561744847192609, 0.7476851851851852, 0.736140724946695, 0.7728489903424056, 0.7504609306409131, 0.76301580333626, 0.7805092186128182]","[0.7582327619160883, 0.7605882209940136, 0.7859957314879341, 0.7508564964447317, 0.7502130769196085, 0.741550568132586, 0.7807766749746949, 0.7559041415779384, 0.7663517198535021, 0.7736131995490858]","[0.7657232284809568, 0.7749159652667482, 0.791525868847147, 0.7756463719665007, 0.7650324607419748, 0.7563603147948676, 0.8006167817965223, 0.7742927860513082, 0.7796869914451232, 0.7795397902722698]","[0.7659137577002053, 0.7679671457905544, 0.7921810699588477, 0.7592592592592593, 0.7648261758691206, 0.7530864197530864, 0.7926078028747433, 0.7679671457905544, 0.7782340862422998, 0.7761806981519507]","[0.764379384778282, 0.765331051592004, 0.7912484035508754, 0.7583748831388628, 0.7616531592431941, 0.751556253947315, 0.7898960911252274, 0.7644234269545606, 0.7746164395318347, 0.7761235790137586]","[array([[ 90,  23,   5,  16],
       [ 19,  61,   1,   4],
       [  4,   0, 119,  11],
       [  4,   6,  21, 103]]), array([[103,  21,   7,   3],
       [ 18,  61,   3,   3],
       [  3,   0, 123,   8],
       [ 15,   4,  28,  87]]), array([[ 98,  19,   8,   9],
       [ 16,  61,   1,   6],
       [  6,   0, 116,  12],
       [  4,   2,  18, 110]]), array([[ 83,  26,   5,  20],
       [ 16,  61,   1,   6],
       [  0,   5, 104,  25],
       [  1,   4,   8, 121]]), array([[107,  18,   5,   5],
       [ 25,  49,   3,   7],
       [  5,   0, 120,  10],
       [  6,   2,  29,  98]]), array([[108,  12,   2,  12],
       [ 31,  48,   0,   5],
       [  8,   0, 107,  19],
       [  8,   5,  18, 103]]), array([[116,   8,   3,   7],
       [ 30,  49,   0,   6],
       [  4,   0, 114,  16],
       [ 11,   0,  16, 107]]), array([[113,  10,   5,   6],
       [ 29,  49,   2,   5],
       [  7,   0, 117,  10],
       [ 10,   2,  27,  95]]), array([[115,  12,   3,   4],
       [ 26,  52,   1,   6],
       [  3,   0, 118,  13],
       [  7,   3,  30,  94]]), array([[ 94,  28,   2,  10],
       [ 10,  70,   0,   5],
       [  8,   0, 112,  14],
       [  8,   4,  20, 102]])]","[0.6086956521739131, 0.6304347826086957, 0.5217391304347826, 0.6086956521739131, 0.7111111111111111, 0.7555555555555555, 0.6222222222222222, 0.7555555555555555, 0.7555555555555555, 0.7111111111111111]","[0.6086956521739131, 0.6304347826086957, 0.5217391304347826, 0.6086956521739131, 0.7111111111111111, 0.7555555555555555, 0.6222222222222222, 0.7555555555555555, 0.7555555555555555, 0.7111111111111111]","[0.6086956521739131, 0.6304347826086957, 0.5217391304347826, 0.6086956521739131, 0.7111111111111111, 0.7555555555555555, 0.6222222222222222, 0.7555555555555555, 0.7555555555555555, 0.7111111111111111]","[0.6086956521739131, 0.6304347826086957, 0.5217391304347826, 0.6086956521739131, 0.7111111111111111, 0.7555555555555555, 0.6222222222222222, 0.7555555555555555, 0.7555555555555555, 0.7111111111111111]","[0.5972222222222222, 0.6262987012987012, 0.5109477124183007, 0.6588383838383838, 0.7284340659340659, 0.7496392496392497, 0.6086675579322639, 0.7583333333333333, 0.7712912087912087, 0.7146825396825397]","[0.6097222222222223, 0.6333333333333333, 0.5053030303030303, 0.578030303030303, 0.7175324675324675, 0.7535353535353535, 0.5946969696969697, 0.759090909090909, 0.7628787878787878, 0.7202020202020202]","[0.5991114149008886, 0.6278485757121439, 0.50625, 0.590462643094222, 0.7098188405797101, 0.7509080957356818, 0.5900974025974026, 0.7468409586056646, 0.7521227621483375, 0.7134425012374196]","[0.605072463768116, 0.6341050254093732, 0.5203182722364308, 0.6501756697408871, 0.7401953601953601, 0.7584415584415584, 0.6182570806100218, 0.7748148148148148, 0.7943223443223444, 0.7163668430335096]","[0.6086956521739131, 0.6304347826086957, 0.5217391304347826, 0.6086956521739131, 0.7111111111111111, 0.7555555555555555, 0.6222222222222222, 0.7555555555555555, 0.7555555555555555, 0.7111111111111111]","[0.6026925020060032, 0.6305586337266149, 0.5190217391304348, 0.6022488654067601, 0.7118389694041868, 0.7562853493887978, 0.6104617604617605, 0.753522149600581, 0.7577561807331629, 0.7099807512511687]","[array([[ 5,  5,  0,  2],
       [ 3,  5,  0,  1],
       [ 0,  0,  8,  2],
       [ 1,  0,  4, 10]]), array([[ 6,  4,  0,  2],
       [ 3,  6,  0,  0],
       [ 1,  0,  7,  2],
       [ 1,  1,  3, 10]]), array([[ 5,  6,  0,  0],
       [ 3,  4,  0,  3],
       [ 1,  0,  5,  4],
       [ 0,  0,  5, 10]]), array([[ 6,  3,  0,  2],
       [ 4,  4,  0,  2],
       [ 0,  0,  5,  5],
       [ 0,  2,  0, 13]]), array([[8, 2, 1, 0],
       [4, 6, 0, 0],
       [0, 0, 9, 1],
       [2, 0, 3, 9]]), array([[ 7,  2,  0,  2],
       [ 2,  8,  0,  0],
       [ 2,  0,  7,  0],
       [ 0,  1,  2, 12]]), array([[ 6,  2,  2,  1],
       [ 4,  3,  1,  1],
       [ 0,  0,  7,  3],
       [ 1,  0,  2, 12]]), array([[ 7,  2,  2,  0],
       [ 2,  6,  0,  1],
       [ 0,  0, 10,  0],
       [ 1,  0,  3, 11]]), array([[ 9,  2,  0,  0],
       [ 3,  6,  0,  0],
       [ 1,  0,  9,  0],
       [ 1,  0,  4, 10]]), array([[ 7,  2,  0,  2],
       [ 1,  7,  0,  1],
       [ 1,  0,  8,  1],
       [ 0,  1,  4, 10]])]"
