ccp_alpha value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
0.0,"[0.8140043763676149, 0.8227571115973742, 0.8296943231441049, 0.8253275109170306, 0.7760869565217391, 0.8082788671023965, 0.8078602620087336, 0.7707423580786026, 0.8209606986899564, 0.8034934497816594]","[0.8140043763676149, 0.8227571115973742, 0.8296943231441049, 0.8253275109170306, 0.7760869565217391, 0.8082788671023965, 0.8078602620087336, 0.7707423580786026, 0.8209606986899564, 0.8034934497816594]","[0.8140043763676149, 0.8227571115973742, 0.8296943231441049, 0.8253275109170306, 0.7760869565217391, 0.8082788671023965, 0.8078602620087336, 0.7707423580786026, 0.8209606986899564, 0.8034934497816594]","[0.8140043763676149, 0.8227571115973742, 0.8296943231441049, 0.8253275109170306, 0.7760869565217391, 0.8082788671023965, 0.8078602620087336, 0.7707423580786026, 0.8209606986899564, 0.8034934497816594]","[0.814757315408357, 0.8269107688568729, 0.8256544925662572, 0.8254870886971437, 0.7869964895795135, 0.8207784216486748, 0.8142949767949768, 0.7768199944209871, 0.8190386138060273, 0.7974571620813398]","[0.8082710045279222, 0.8147740231427134, 0.8232018237879465, 0.8094856399944874, 0.7773148663180925, 0.79288869185426, 0.7944002454077372, 0.7721033003853799, 0.8126333512103516, 0.805312421649678]","[0.8106037845969296, 0.818869788518319, 0.8242640699686088, 0.814616458642678, 0.7746161672035912, 0.7989821805892837, 0.800855278887594, 0.7696825165923038, 0.8152881409373253, 0.7985927398071269]","[0.8161375893300583, 0.8252788149363056, 0.8303881579504492, 0.8254552011770123, 0.7925642835267825, 0.8134014456199449, 0.8101222302095666, 0.7845595478496965, 0.8205227813147074, 0.8079620267545602]","[0.8140043763676149, 0.8227571115973742, 0.8296943231441049, 0.8253275109170306, 0.7760869565217391, 0.8082788671023965, 0.8078602620087336, 0.7707423580786026, 0.8209606986899564, 0.8034934497816594]","[0.8142045332192761, 0.821962205832927, 0.829903645218128, 0.8226916364823044, 0.7763986637212461, 0.8034321657395238, 0.8057752985337873, 0.7727730276841023, 0.8202181031099769, 0.8033987789272945]","[array([[ 76,  16,   3,   5],
       [ 20, 109,   0,   5],
       [  2,   0,  70,  17],
       [  6,   3,   8, 117]]), array([[ 73,  17,   3,   7],
       [ 13, 111,   0,  10],
       [  1,   0,  71,  17],
       [  3,   1,   9, 121]]), array([[ 76,  16,   4,   5],
       [ 17, 114,   0,   3],
       [  6,   1,  72,  10],
       [  5,   2,   9, 118]]), array([[ 72,  19,   5,   5],
       [ 12, 119,   0,   3],
       [  4,   1,  64,  20],
       [  0,   3,   8, 123]]), array([[ 82,   9,   5,   5],
       [ 38,  89,   0,   8],
       [  2,   0,  68,  19],
       [  6,   3,   8, 118]]), array([[ 59,  29,   3,  10],
       [  5, 120,   0,   9],
       [  5,   0,  71,  14],
       [  3,   5,   5, 121]]), array([[ 64,  24,   2,  11],
       [ 15, 115,   0,   4],
       [  3,   0,  69,  17],
       [  8,   1,   3, 122]]), array([[ 81,  11,   4,   5],
       [ 33,  95,   1,   5],
       [  2,   0,  68,  19],
       [ 11,   2,  12, 109]]), array([[ 74,  21,   2,   4],
       [ 13, 115,   4,   2],
       [  4,   1,  70,  14],
       [  4,   5,   8, 117]]), array([[ 71,  14,  12,   4],
       [ 21, 106,   1,   6],
       [  2,   0,  80,   7],
       [  1,   5,  17, 111]])]","[0.7391304347826086, 0.6521739130434783, 0.6304347826086957, 0.7608695652173914, 0.6, 0.7333333333333333, 0.5777777777777777, 0.5111111111111111, 0.6666666666666666, 0.5777777777777777]","[0.7391304347826086, 0.6521739130434783, 0.6304347826086957, 0.7608695652173914, 0.6, 0.7333333333333333, 0.5777777777777777, 0.5111111111111111, 0.6666666666666666, 0.5777777777777777]","[0.7391304347826086, 0.6521739130434783, 0.6304347826086957, 0.7608695652173914, 0.6, 0.7333333333333333, 0.5777777777777777, 0.5111111111111111, 0.6666666666666666, 0.5777777777777777]","[0.7391304347826086, 0.6521739130434783, 0.6304347826086957, 0.7608695652173914, 0.6, 0.7333333333333333, 0.5777777777777777, 0.5111111111111111, 0.6666666666666666, 0.5777777777777777]","[0.7434348739495799, 0.6785714285714285, 0.6366421568627451, 0.766540404040404, 0.6011072261072261, 0.7490079365079365, 0.5720779220779221, 0.5196459790209791, 0.6675595238095238, 0.5875]","[0.7208333333333332, 0.6180555555555556, 0.6234848484848484, 0.7568181818181818, 0.5970779220779221, 0.7196969696969697, 0.5752525252525252, 0.49469696969696964, 0.6363636363636364, 0.5775252525252526]","[0.7254273504273505, 0.6157738095238094, 0.626946669209255, 0.7608928847044296, 0.5978533289746104, 0.724182615629984, 0.5731149975251608, 0.4963517665130568, 0.647124183006536, 0.5744711042311662]","[0.7387194008037998, 0.6712732919254658, 0.6320332480818415, 0.7638888888888888, 0.6069671069671069, 0.7436507936507937, 0.580952380952381, 0.5213306138306139, 0.6908730158730159, 0.5888888888888889]","[0.7391304347826086, 0.6521739130434783, 0.6304347826086957, 0.7608695652173914, 0.6, 0.7333333333333333, 0.5777777777777777, 0.5111111111111111, 0.6666666666666666, 0.5777777777777777]","[0.7328130806391676, 0.6315993788819876, 0.6282286726583315, 0.7616077360301172, 0.6022786434685747, 0.728628389154705, 0.5788263762855415, 0.507305000853388, 0.6743413217138707, 0.575931659213393]","[array([[11,  1,  0,  0],
       [ 2,  6,  0,  1],
       [ 1,  0,  5,  4],
       [ 0,  0,  3, 12]]), array([[ 9,  2,  0,  1],
       [ 4,  5,  0,  0],
       [ 1,  0,  3,  6],
       [ 1,  0,  1, 13]]), array([[ 8,  3,  0,  0],
       [ 1,  6,  0,  3],
       [ 1,  0,  5,  4],
       [ 2,  0,  3, 10]]), array([[ 8,  1,  0,  2],
       [ 2,  7,  0,  1],
       [ 0,  1,  8,  1],
       [ 1,  1,  1, 12]]), array([[6, 3, 2, 0],
       [4, 6, 0, 0],
       [0, 0, 6, 4],
       [2, 0, 3, 9]]), array([[ 6,  3,  0,  2],
       [ 2,  8,  0,  0],
       [ 0,  0,  6,  3],
       [ 0,  1,  1, 13]]), array([[6, 4, 1, 0],
       [3, 5, 0, 1],
       [0, 0, 6, 4],
       [2, 1, 3, 9]]), array([[6, 2, 2, 1],
       [5, 3, 0, 1],
       [0, 0, 5, 5],
       [2, 0, 4, 9]]), array([[ 6,  5,  0,  0],
       [ 6,  3,  0,  0],
       [ 0,  0,  8,  2],
       [ 2,  0,  0, 13]]), array([[5, 2, 2, 2],
       [3, 5, 0, 1],
       [0, 0, 7, 3],
       [0, 1, 5, 9]])]"
0.01,"[0.7943107221006565, 0.811816192560175, 0.8165938864628821, 0.7641921397379913, 0.7869565217391304, 0.8082788671023965, 0.7991266375545851, 0.7925764192139738, 0.7729257641921398, 0.7729257641921398]","[0.7943107221006565, 0.811816192560175, 0.8165938864628821, 0.7641921397379913, 0.7869565217391304, 0.8082788671023965, 0.7991266375545851, 0.7925764192139738, 0.7729257641921398, 0.7729257641921398]","[0.7943107221006565, 0.811816192560175, 0.8165938864628821, 0.7641921397379913, 0.7869565217391304, 0.8082788671023965, 0.7991266375545851, 0.7925764192139738, 0.7729257641921398, 0.7729257641921398]","[0.7943107221006565, 0.811816192560175, 0.8165938864628821, 0.7641921397379913, 0.7869565217391304, 0.8082788671023965, 0.7991266375545851, 0.7925764192139738, 0.7729257641921398, 0.7729257641921398]","[0.7903741792927422, 0.8369603773574869, 0.8192462828295788, 0.768065640121735, 0.7903891949274114, 0.8089190619074652, 0.7989244891418804, 0.7929618524071297, 0.7829325111843655, 0.7718278752409516]","[0.7949115378165353, 0.7914740902230422, 0.8022545798098173, 0.7735011531506999, 0.773948818102784, 0.8087331494343464, 0.7897096036117112, 0.784664257973676, 0.781399695813955, 0.7718202014734427]","[0.791465903638878, 0.7921645260183595, 0.8052206948824148, 0.7632123920562229, 0.767631027188532, 0.8070205630945355, 0.7922155411759737, 0.7877270102191056, 0.7734930339330878, 0.7674981103552532]","[0.7949371062475914, 0.8289981216060345, 0.8193975432828493, 0.7850865196501251, 0.7974545308254807, 0.8151381564108297, 0.7993594826706656, 0.7925637981591447, 0.7944474059778134, 0.7751032066248426]","[0.7943107221006565, 0.811816192560175, 0.8165938864628821, 0.7641921397379913, 0.7869565217391304, 0.8082788671023965, 0.7991266375545851, 0.7925764192139738, 0.7729257641921398, 0.7729257641921398]","[0.7934000469375737, 0.8001197952988188, 0.8124666422170165, 0.767238374400587, 0.7793051782847822, 0.809936395231151, 0.7972305830319567, 0.7915179743902286, 0.7748074676060511, 0.7703697102324675]","[array([[ 71,  15,   3,  11],
       [ 15, 115,   0,   4],
       [  6,   1,  77,   5],
       [  6,  11,  17, 100]]), array([[ 48,  33,   6,  13],
       [  1, 128,   0,   5],
       [  1,   0,  73,  15],
       [  1,   3,   8, 122]]), array([[ 60,  35,   4,   2],
       [  7, 125,   0,   2],
       [  6,   1,  72,  10],
       [  4,   4,   9, 117]]), array([[ 77,  12,   8,   4],
       [ 37,  95,   1,   1],
       [  1,   2,  78,   8],
       [  9,   1,  24, 100]]), array([[ 51,  29,  13,   8],
       [  6, 126,   1,   2],
       [  2,   0,  75,  12],
       [  1,   2,  22, 110]]), array([[ 82,   8,   3,   8],
       [ 23, 107,   0,   4],
       [  5,   0,  73,  12],
       [  8,   5,  12, 109]]), array([[ 67,  25,   3,   6],
       [ 15, 116,   0,   3],
       [  1,   2,  70,  16],
       [  1,   5,  15, 113]]), array([[ 71,  21,   4,   5],
       [ 13, 115,   1,   5],
       [  0,   2,  68,  19],
       [  6,   7,  12, 109]]), array([[ 87,   4,   5,   5],
       [ 36,  91,   0,   7],
       [  5,   0,  72,  12],
       [  9,   5,  16, 104]]), array([[ 62,  21,   4,  14],
       [ 14, 110,   1,   9],
       [  1,   1,  78,   9],
       [  2,   4,  24, 104]])]","[0.6304347826086957, 0.6086956521739131, 0.6304347826086957, 0.5217391304347826, 0.6666666666666666, 0.5333333333333333, 0.6222222222222222, 0.5555555555555556, 0.6222222222222222, 0.6666666666666666]","[0.6304347826086957, 0.6086956521739131, 0.6304347826086957, 0.5217391304347826, 0.6666666666666666, 0.5333333333333333, 0.6222222222222222, 0.5555555555555556, 0.6222222222222222, 0.6666666666666666]","[0.6304347826086957, 0.6086956521739131, 0.6304347826086957, 0.5217391304347826, 0.6666666666666666, 0.5333333333333333, 0.6222222222222222, 0.5555555555555556, 0.6222222222222222, 0.6666666666666666]","[0.6304347826086957, 0.6086956521739131, 0.6304347826086957, 0.5217391304347826, 0.6666666666666666, 0.5333333333333333, 0.6222222222222222, 0.5555555555555556, 0.6222222222222222, 0.6666666666666666]","[0.6323529411764706, 0.6331272893772893, 0.6267628205128205, 0.49989973262032084, 0.6620046620046619, 0.5098484848484848, 0.6815476190476191, 0.5562094155844156, 0.6188186813186813, 0.6600961538461538]","[0.6041666666666666, 0.5902777777777778, 0.628030303030303, 0.5098484848484848, 0.6649350649350649, 0.520959595959596, 0.633080808080808, 0.5603535353535354, 0.6224747474747475, 0.6585858585858586]","[0.6035433411113992, 0.5717893217893217, 0.6223257418909592, 0.5018640350877193, 0.6612617402091086, 0.5146730462519936, 0.6239224137931034, 0.5503200204813108, 0.6123188405797101, 0.6543052003410059]","[0.6395566922421143, 0.6333014811275681, 0.6305183946488294, 0.5067862125087189, 0.6689458689458689, 0.5251851851851852, 0.6865079365079366, 0.5554653679653679, 0.6309523809523809, 0.6691595441595442]","[0.6304347826086957, 0.6086956521739131, 0.6304347826086957, 0.5217391304347826, 0.6666666666666666, 0.5333333333333333, 0.6222222222222222, 0.5555555555555556, 0.6222222222222222, 0.6666666666666666]","[0.6222001781064356, 0.5836156597026162, 0.626038947400006, 0.5112032799389779, 0.6657530470395968, 0.5286549707602339, 0.6226372924648788, 0.548010468225522, 0.6183574879227053, 0.6633475419153169]","[array([[ 9,  2,  0,  1],
       [ 5,  3,  0,  1],
       [ 2,  0,  6,  2],
       [ 1,  0,  3, 11]]), array([[ 5,  5,  0,  2],
       [ 2,  7,  0,  0],
       [ 1,  0,  3,  6],
       [ 0,  1,  1, 13]]), array([[ 6,  5,  0,  0],
       [ 1,  8,  0,  1],
       [ 1,  0,  5,  4],
       [ 2,  0,  3, 10]]), array([[ 3,  5,  1,  2],
       [ 4,  4,  0,  2],
       [ 0,  0,  7,  3],
       [ 1,  1,  3, 10]]), array([[ 6,  3,  1,  1],
       [ 4,  6,  0,  0],
       [ 0,  0,  8,  2],
       [ 1,  0,  3, 10]]), array([[ 3,  5,  0,  3],
       [ 7,  3,  0,  0],
       [ 1,  0,  7,  1],
       [ 0,  1,  3, 11]]), array([[5, 4, 1, 1],
       [0, 7, 1, 1],
       [0, 0, 7, 3],
       [0, 1, 5, 9]]), array([[4, 4, 2, 1],
       [1, 7, 0, 1],
       [0, 0, 5, 5],
       [2, 0, 4, 9]]), array([[6, 3, 0, 2],
       [5, 4, 0, 0],
       [0, 0, 9, 1],
       [2, 0, 4, 9]]), array([[ 6,  2,  1,  2],
       [ 3,  5,  0,  1],
       [ 0,  1,  8,  1],
       [ 0,  0,  4, 11]])]"
0.1,"[0.5448577680525164, 0.5470459518599562, 0.5502183406113537, 0.5458515283842795, 0.5391304347826087, 0.5403050108932462, 0.5502183406113537, 0.5458515283842795, 0.5414847161572053, 0.5414847161572053]","[0.5448577680525164, 0.5470459518599562, 0.5502183406113537, 0.5458515283842795, 0.5391304347826087, 0.5403050108932462, 0.5502183406113537, 0.5458515283842795, 0.5414847161572053, 0.5414847161572053]","[0.5448577680525164, 0.5470459518599562, 0.5502183406113537, 0.5458515283842795, 0.5391304347826087, 0.5403050108932462, 0.5502183406113537, 0.5458515283842795, 0.5414847161572053, 0.5414847161572053]","[0.5448577680525164, 0.5470459518599562, 0.5502183406113537, 0.5458515283842795, 0.5391304347826087, 0.5403050108932462, 0.5502183406113537, 0.5458515283842795, 0.5414847161572053, 0.5414847161572053]","[0.2745451025938831, 0.2739835059455313, 0.27543327225530617, 0.2746392267635134, 0.2697602299372211, 0.27192671621207476, 0.2757454128440367, 0.2733479755538579, 0.2724326923076923, 0.27304307549791573]","[0.4645522388059702, 0.4664179104477612, 0.4701492537313433, 0.46641791044776115, 0.45925925925925926, 0.4626865671641791, 0.4701492537313433, 0.4664179104477612, 0.4626865671641791, 0.4626865671641791]","[0.34426918550445534, 0.3450820046598748, 0.34728970543577287, 0.3450966361927091, 0.33985691657470596, 0.3418356497303866, 0.3474264705882353, 0.3445644250045562, 0.342265168128655, 0.3424632465076557]","[0.3220047592786025, 0.32134608137156406, 0.3223411221153802, 0.32141184616865326, 0.31667505253499867, 0.31754405204721586, 0.32270642201834865, 0.3199006875477464, 0.3188295263688277, 0.3195438612814035]","[0.5448577680525164, 0.5470459518599562, 0.5502183406113537, 0.5458515283842795, 0.5391304347826087, 0.5403050108932462, 0.5502183406113537, 0.5458515283842795, 0.5414847161572053, 0.5414847161572053]","[0.4037818018170417, 0.40473513019188817, 0.4064351137850966, 0.403868552400201, 0.39896246728335044, 0.39918062800759746, 0.40659517081941954, 0.4032457026254195, 0.40055486925100237, 0.40078668150240926]","[array([[  0,  88,   0,  12],
       [  0, 128,   0,   6],
       [  0,  23,   0,  66],
       [  0,  13,   0, 121]]), array([[  0,  84,   0,  16],
       [  0, 124,   0,  10],
       [  0,  21,   0,  68],
       [  0,   8,   0, 126]]), array([[  0,  84,   0,  17],
       [  0, 125,   0,   9],
       [  0,  20,   0,  69],
       [  0,   7,   0, 127]]), array([[  0,  88,   0,  13],
       [  0, 127,   0,   7],
       [  0,  23,   0,  66],
       [  0,  11,   0, 123]]), array([[  0,  83,   0,  18],
       [  0, 121,   0,  14],
       [  0,  22,   0,  67],
       [  0,   8,   0, 127]]), array([[  0,  89,   0,  12],
       [  0, 127,   0,   7],
       [  0,  22,   0,  68],
       [  0,  13,   0, 121]]), array([[  0,  85,   0,  16],
       [  0, 126,   0,   8],
       [  0,  21,   0,  68],
       [  0,   8,   0, 126]]), array([[  0,  84,   0,  17],
       [  0, 125,   0,   9],
       [  0,  20,   0,  69],
       [  0,   9,   0, 125]]), array([[  0,  89,   0,  12],
       [  0, 127,   0,   7],
       [  0,  21,   0,  68],
       [  0,  13,   0, 121]]), array([[  0,  90,   0,  11],
       [  0, 128,   0,   6],
       [  0,  22,   0,  67],
       [  0,  14,   0, 120]])]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.43478260869565216, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.43478260869565216, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.43478260869565216, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.43478260869565216, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.22632575757575757, 0.2481060606060606, 0.21496212121212122, 0.2159090909090909, 0.2564229249011858, 0.25892857142857145, 0.24000000000000002, 0.25148809523809523, 0.24851190476190477, 0.24000000000000002]","[0.4388888888888889, 0.48333333333333334, 0.39166666666666666, 0.4, 0.48214285714285715, 0.4666666666666667, 0.45555555555555555, 0.4722222222222222, 0.4666666666666667, 0.45555555555555555]","[0.29569892473118276, 0.32464846980976014, 0.27604166666666663, 0.27884615384615385, 0.33207070707070707, 0.3276143790849673, 0.3129310344827586, 0.32564102564102565, 0.31691919191919193, 0.3129310344827586]","[0.24777667984189725, 0.2702569169960474, 0.245800395256917, 0.24209486166007907, 0.28045674132630655, 0.29894179894179895, 0.26666666666666666, 0.2845238095238095, 0.28134920634920635, 0.26666666666666666]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.43478260869565216, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.3183730715287517, 0.34771820045312335, 0.3125, 0.3093645484949833, 0.359371492704826, 0.3714596949891068, 0.34367816091954023, 0.3630769230769231, 0.3498316498316498, 0.34367816091954023]","[array([[ 0, 10,  0,  2],
       [ 0,  8,  0,  1],
       [ 0,  2,  0,  8],
       [ 0,  2,  0, 13]]), array([[ 0, 10,  0,  2],
       [ 0,  9,  0,  0],
       [ 0,  2,  0,  8],
       [ 0,  1,  0, 14]]), array([[ 0, 10,  0,  1],
       [ 0,  7,  0,  3],
       [ 0,  3,  0,  7],
       [ 0,  2,  0, 13]]), array([[ 0,  9,  0,  2],
       [ 0,  8,  0,  2],
       [ 0,  2,  0,  8],
       [ 0,  3,  0, 12]]), array([[ 0, 11,  0,  0],
       [ 0, 10,  0,  0],
       [ 0,  1,  0,  9],
       [ 0,  1,  0, 13]]), array([[ 0,  9,  0,  2],
       [ 0, 10,  0,  0],
       [ 0,  3,  0,  6],
       [ 0,  2,  0, 13]]), array([[ 0,  9,  0,  2],
       [ 0,  8,  0,  1],
       [ 0,  2,  0,  8],
       [ 0,  1,  0, 14]]), array([[ 0, 10,  0,  1],
       [ 0,  8,  0,  1],
       [ 0,  3,  0,  7],
       [ 0,  0,  0, 15]]), array([[ 0,  9,  0,  2],
       [ 0,  9,  0,  0],
       [ 0,  4,  0,  6],
       [ 0,  2,  0, 13]]), array([[ 0,  8,  0,  3],
       [ 0,  8,  0,  1],
       [ 0,  3,  0,  7],
       [ 0,  1,  0, 14]])]"
