ccp_alpha value,Train_Accuracy,Train_Precision_micro,Train_Recall_micro,Train_f1_micro,Train_Precision_macro,Train_Recall_macro,Train_f1_macro,Train_Precision_weighted,Train_Recall_weighted,Train_f1_weighted,Train_Confusion_Matrix,Test_Accuracy,Test_Precision_micro,Test_Recall_micro,Test_f1_micro,Test_Precision_macro,Test_Recall_macro,Test_f1_macro,Test_Precision_weighted,Test_Recall_weighted,Test_f1_weighted,Test_Confusion_Matrix
0.0,"[0.8927789934354485, 0.8949671772428884, 0.8930131004366813, 0.8930131004366813, 0.8804347826086957, 0.8867102396514162, 0.8951965065502183, 0.8755458515283843, 0.8777292576419214, 0.888646288209607]","[0.8927789934354485, 0.8949671772428884, 0.8930131004366813, 0.8930131004366813, 0.8804347826086957, 0.8867102396514162, 0.8951965065502183, 0.8755458515283843, 0.8777292576419214, 0.888646288209607]","[0.8927789934354485, 0.8949671772428884, 0.8930131004366813, 0.8930131004366813, 0.8804347826086957, 0.8867102396514162, 0.8951965065502183, 0.8755458515283843, 0.8777292576419214, 0.888646288209607]","[0.8927789934354485, 0.8949671772428884, 0.8930131004366813, 0.8930131004366813, 0.8804347826086957, 0.8867102396514162, 0.8951965065502183, 0.8755458515283843, 0.8777292576419214, 0.888646288209607]","[0.8978256481834795, 0.8925539762170197, 0.8926960436497657, 0.8913539888224017, 0.8793280966178162, 0.886566947001328, 0.8977261608254758, 0.8722359939371233, 0.87375, 0.8846530173425327]","[0.8836651014589971, 0.8943296159651183, 0.8861741050006392, 0.8911665252555777, 0.8763103463904444, 0.8874657241843588, 0.8850498038232467, 0.8753557415946189, 0.8726206408163875, 0.8871593473283267]","[0.8887591503101677, 0.893031750296374, 0.8881912187569122, 0.8900718249447667, 0.8770075103039876, 0.8852884327314812, 0.8896644656343614, 0.8729808586618738, 0.8731670862498044, 0.885655720375859]","[0.8951510992928667, 0.8963248790237658, 0.8951044689668588, 0.8966431011667874, 0.8826804104739904, 0.8921940022764356, 0.8965669230870822, 0.8773332949382547, 0.8775, 0.8896647819340309]","[0.8927789934354485, 0.8949671772428884, 0.8930131004366813, 0.8930131004366813, 0.8804347826086957, 0.8867102396514162, 0.8951965065502183, 0.8755458515283843, 0.8777292576419214, 0.888646288209607]","[0.8922717332190693, 0.895191760494953, 0.8929954625002915, 0.8936273254842868, 0.8807289142650654, 0.8878251337442734, 0.8942294721699586, 0.8755744346772841, 0.8775974731936365, 0.8889012607691822]","[array([[ 86,   9,   2,   3],
       [  4, 128,   0,   2],
       [  7,   1,  72,   9],
       [  4,   7,   1, 122]]), array([[ 85,   7,   3,   5],
       [ 12, 117,   0,   5],
       [  4,   0,  82,   3],
       [  3,   1,   5, 125]]), array([[ 89,   8,   1,   3],
       [  7, 127,   0,   0],
       [  8,   1,  73,   7],
       [  5,   4,   5, 120]]), array([[ 91,   7,   2,   1],
       [ 10, 124,   0,   0],
       [  5,   3,  77,   4],
       [  6,   4,   7, 117]]), array([[ 89,   5,   4,   3],
       [ 10, 119,   0,   6],
       [  3,   1,  74,  11],
       [  5,   1,   6, 123]]), array([[ 92,   5,   3,   1],
       [ 12, 120,   0,   2],
       [  4,   2,  79,   5],
       [ 10,   3,   5, 116]]), array([[ 81,   8,   4,   8],
       [  2, 129,   0,   3],
       [  3,   1,  75,  10],
       [  2,   2,   5, 125]]), array([[ 88,   7,   3,   3],
       [  7, 123,   0,   4],
       [  4,   4,  78,   3],
       [  2,   6,  14, 112]]), array([[ 82,  12,   2,   5],
       [  9, 121,   3,   1],
       [  5,   0,  77,   7],
       [  4,   2,   6, 122]]), array([[ 89,   6,   6,   0],
       [  8, 122,   1,   3],
       [  2,   2,  78,   7],
       [  7,   4,   5, 118]])]","[0.6521739130434783, 0.6739130434782609, 0.6304347826086957, 0.717391304347826, 0.5111111111111111, 0.7111111111111111, 0.5111111111111111, 0.5555555555555556, 0.6888888888888889, 0.6444444444444445]","[0.6521739130434783, 0.6739130434782609, 0.6304347826086957, 0.717391304347826, 0.5111111111111111, 0.7111111111111111, 0.5111111111111111, 0.5555555555555556, 0.6888888888888889, 0.6444444444444445]","[0.6521739130434783, 0.6739130434782609, 0.6304347826086957, 0.717391304347826, 0.5111111111111111, 0.7111111111111111, 0.5111111111111111, 0.5555555555555556, 0.6888888888888889, 0.6444444444444445]","[0.6521739130434783, 0.6739130434782609, 0.6304347826086957, 0.717391304347826, 0.5111111111111111, 0.7111111111111111, 0.5111111111111111, 0.5555555555555556, 0.6888888888888889, 0.6444444444444445]","[0.6538461538461537, 0.6918859649122806, 0.6541666666666667, 0.7340909090909091, 0.5184343434343435, 0.7107142857142856, 0.5113636363636364, 0.5689102564102564, 0.7044205794205793, 0.646590909090909]","[0.6499999999999999, 0.6569444444444444, 0.6174242424242424, 0.7113636363636364, 0.4993506493506493, 0.7012626262626263, 0.5191919191919192, 0.5452020202020202, 0.6840909090909091, 0.6618686868686868]","[0.6512280701754386, 0.6502673796791444, 0.6157575757575757, 0.7193236714975846, 0.5037854251012146, 0.6981659015693391, 0.5141733644455967, 0.5476839826839827, 0.6884199945481804, 0.6481481481481481]","[0.653288740245262, 0.6937643020594966, 0.6594202898550725, 0.7361660079051383, 0.5409652076318744, 0.7241269841269841, 0.51010101010101, 0.5789173789173789, 0.7085470085470085, 0.6514141414141414]","[0.6521739130434783, 0.6739130434782609, 0.6304347826086957, 0.717391304347826, 0.5111111111111111, 0.7111111111111111, 0.5111111111111111, 0.5555555555555556, 0.6888888888888889, 0.6444444444444445]","[0.6520823798627002, 0.6617453305432844, 0.6273254281949934, 0.7237975215290906, 0.5203562753036437, 0.7103938887109592, 0.5095689415108653, 0.5588513708513709, 0.6936948192570382, 0.6419753086419753]","[array([[ 8,  2,  0,  2],
       [ 3,  6,  0,  0],
       [ 1,  0,  6,  3],
       [ 1,  1,  3, 10]]), array([[ 7,  4,  0,  1],
       [ 2,  7,  0,  0],
       [ 1,  0,  4,  5],
       [ 0,  1,  1, 13]]), array([[ 7,  4,  0,  0],
       [ 3,  7,  0,  0],
       [ 2,  0,  4,  4],
       [ 2,  1,  1, 11]]), array([[ 6,  4,  0,  1],
       [ 2,  7,  0,  1],
       [ 1,  0,  8,  1],
       [ 3,  0,  0, 12]]), array([[5, 5, 1, 0],
       [8, 2, 0, 0],
       [1, 0, 7, 2],
       [1, 2, 2, 9]]), array([[ 8,  2,  0,  1],
       [ 5,  5,  0,  0],
       [ 1,  0,  7,  1],
       [ 0,  0,  3, 12]]), array([[5, 4, 1, 1],
       [2, 5, 0, 2],
       [0, 0, 6, 4],
       [3, 1, 4, 7]]), array([[7, 1, 3, 0],
       [4, 4, 0, 1],
       [1, 1, 5, 3],
       [2, 0, 4, 9]]), array([[ 7,  1,  3,  0],
       [ 3,  6,  0,  0],
       [ 0,  0,  7,  3],
       [ 1,  0,  3, 11]]), array([[7, 2, 0, 2],
       [1, 7, 0, 1],
       [0, 2, 7, 1],
       [2, 1, 4, 8]])]"
0.01,"[0.8555798687089715, 0.8533916849015317, 0.8493449781659389, 0.8668122270742358, 0.8586956521739131, 0.8627450980392157, 0.8100436681222707, 0.8427947598253275, 0.8580786026200873, 0.8580786026200873]","[0.8555798687089715, 0.8533916849015317, 0.8493449781659389, 0.8668122270742358, 0.8586956521739131, 0.8627450980392157, 0.8100436681222707, 0.8427947598253275, 0.8580786026200873, 0.8580786026200873]","[0.8555798687089715, 0.8533916849015317, 0.8493449781659389, 0.8668122270742358, 0.8586956521739131, 0.8627450980392157, 0.8100436681222707, 0.8427947598253275, 0.8580786026200873, 0.8580786026200873]","[0.8555798687089715, 0.8533916849015317, 0.8493449781659389, 0.8668122270742358, 0.8586956521739131, 0.8627450980392157, 0.8100436681222707, 0.8427947598253275, 0.8580786026200873, 0.8580786026200873]","[0.8532733473326711, 0.8525434528468088, 0.8457405856694704, 0.8606346280827086, 0.8545217135493163, 0.8696155100286205, 0.8145863237639553, 0.8442165082906676, 0.859219564808357, 0.8677980789217234]","[0.8554129632735201, 0.8519042428307898, 0.8443178063404193, 0.8631764694161853, 0.8616644623263825, 0.8529411523241877, 0.797485068815451, 0.8318996435112236, 0.857440395641107, 0.8512867302158692]","[0.852047603257689, 0.8503966754469944, 0.844354514756477, 0.8616847752778523, 0.855911469482898, 0.8591010638640928, 0.80129462913317, 0.8359635525764558, 0.8538273775306655, 0.8536439938251446]","[0.8605167936657824, 0.8543429967170106, 0.8504393527985971, 0.8673037221826327, 0.8641605400365028, 0.8667269588104604, 0.8137036766190985, 0.8444421275288866, 0.8664115488709495, 0.8664502255278046]","[0.8555798687089715, 0.8533916849015317, 0.8493449781659389, 0.8668122270742358, 0.8586956521739131, 0.8627450980392157, 0.8100436681222707, 0.8427947598253275, 0.8580786026200873, 0.8580786026200873]","[0.8555831928756906, 0.8523053292117999, 0.8491040018689415, 0.8668376925818839, 0.8595677676360906, 0.8626384640502013, 0.8074214103955061, 0.8416234955353141, 0.8581933272383261, 0.8568476969572194]","[array([[ 87,   7,   4,   2],
       [  7, 124,   0,   3],
       [ 10,   0,  75,   4],
       [  9,  10,  10, 105]]), array([[ 74,  12,   6,   8],
       [  9, 117,   0,   8],
       [  1,   0,  82,   6],
       [  2,   4,  11, 117]]), array([[ 80,  14,   5,   2],
       [  8, 123,   0,   3],
       [  6,   2,  74,   7],
       [  6,   6,  10, 112]]), array([[ 88,   7,   3,   3],
       [  8, 125,   1,   0],
       [  1,   1,  73,  14],
       [  4,   3,  16, 111]]), array([[ 86,   4,   3,   8],
       [  9, 122,   1,   3],
       [  2,   0,  80,   7],
       [  2,   3,  23, 107]]), array([[ 81,   7,   3,  10],
       [  3, 123,   0,   8],
       [  5,   0,  71,  14],
       [  4,   4,   5, 121]]), array([[ 66,  24,   5,   6],
       [  7, 119,   5,   3],
       [  1,   1,  69,  18],
       [  2,   6,   9, 117]]), array([[ 75,  15,   2,   9],
       [  6, 123,   3,   2],
       [  0,   2,  70,  17],
       [  4,   1,  11, 118]]), array([[ 80,   9,   7,   5],
       [  5, 127,   1,   1],
       [  0,   2,  80,   7],
       [  1,   6,  21, 106]]), array([[ 73,  17,   5,   6],
       [  2, 127,   1,   4],
       [  0,   2,  78,   9],
       [  0,   6,  13, 115]])]","[0.6521739130434783, 0.6739130434782609, 0.5869565217391305, 0.6956521739130435, 0.6444444444444445, 0.6666666666666666, 0.5555555555555556, 0.5777777777777777, 0.6666666666666666, 0.6444444444444445]","[0.6521739130434783, 0.6739130434782609, 0.5869565217391305, 0.6956521739130435, 0.6444444444444445, 0.6666666666666666, 0.5555555555555556, 0.5777777777777777, 0.6666666666666666, 0.6444444444444445]","[0.6521739130434783, 0.6739130434782609, 0.5869565217391305, 0.6956521739130435, 0.6444444444444445, 0.6666666666666666, 0.5555555555555556, 0.5777777777777777, 0.6666666666666666, 0.6444444444444445]","[0.6521739130434783, 0.6739130434782609, 0.5869565217391305, 0.6956521739130435, 0.6444444444444445, 0.6666666666666666, 0.5555555555555556, 0.5777777777777777, 0.6666666666666666, 0.6444444444444445]","[0.6740196078431372, 0.6758753501400561, 0.5798611111111112, 0.6946486928104575, 0.6658730158730158, 0.6700937950937951, 0.5328947368421053, 0.604020979020979, 0.6741071428571428, 0.6658653846153846]","[0.6541666666666667, 0.6652777777777779, 0.5757575757575757, 0.678030303030303, 0.6568181818181819, 0.6446969696969697, 0.5242424242424242, 0.5803030303030303, 0.6641414141414141, 0.6446969696969697]","[0.6562044055371695, 0.6603163992869875, 0.5766221303609654, 0.6829749872870582, 0.63923273657289, 0.6524122807017543, 0.5229618163054696, 0.5816430020283976, 0.647742474916388, 0.6478295607015228]","[0.6743393009377664, 0.682197661673365, 0.5848429951690821, 0.6980321113952827, 0.6737213403880071, 0.6689594356261023, 0.5475633528265107, 0.6081807081807082, 0.7087301587301588, 0.6613247863247863]","[0.6521739130434783, 0.6739130434782609, 0.5869565217391305, 0.6956521739130435, 0.6444444444444445, 0.6666666666666666, 0.5555555555555556, 0.5777777777777777, 0.6666666666666666, 0.6444444444444445]","[0.6547175328744297, 0.6688851429900023, 0.5847692895266399, 0.6935486656938502, 0.636535379369139, 0.6629186602870814, 0.5452356381148952, 0.5839613170241974, 0.6651430694908956, 0.645881899424468]","[array([[9, 2, 0, 1],
       [2, 6, 0, 1],
       [3, 0, 6, 1],
       [3, 0, 3, 9]]), array([[ 7,  4,  0,  1],
       [ 2,  7,  0,  0],
       [ 1,  0,  5,  4],
       [ 0,  1,  2, 12]]), array([[ 7,  4,  0,  0],
       [ 3,  5,  0,  2],
       [ 1,  0,  5,  4],
       [ 1,  0,  4, 10]]), array([[ 6,  2,  1,  2],
       [ 4,  5,  0,  1],
       [ 0,  1,  8,  1],
       [ 2,  0,  0, 13]]), array([[8, 1, 1, 1],
       [5, 5, 0, 0],
       [0, 0, 9, 1],
       [1, 1, 5, 7]]), array([[ 6,  3,  0,  2],
       [ 5,  5,  0,  0],
       [ 0,  0,  6,  3],
       [ 0,  1,  1, 13]]), array([[ 4,  5,  1,  1],
       [ 4,  3,  0,  2],
       [ 0,  0,  6,  4],
       [ 0,  1,  2, 12]]), array([[5, 4, 0, 2],
       [2, 6, 0, 1],
       [2, 0, 6, 2],
       [2, 3, 1, 9]]), array([[ 6,  3,  2,  0],
       [ 5,  4,  0,  0],
       [ 0,  0, 10,  0],
       [ 1,  0,  4, 10]]), array([[ 6,  1,  2,  2],
       [ 2,  6,  0,  1],
       [ 0,  0,  7,  3],
       [ 0,  1,  4, 10]])]"
0.1,"[0.5426695842450766, 0.5361050328227571, 0.5480349344978166, 0.5524017467248908, 0.5478260869565217, 0.5424836601307189, 0.5393013100436681, 0.5414847161572053, 0.5436681222707423, 0.5436681222707423]","[0.5426695842450766, 0.5361050328227571, 0.5480349344978166, 0.5524017467248908, 0.5478260869565217, 0.5424836601307189, 0.5393013100436681, 0.5414847161572053, 0.5436681222707423, 0.5436681222707423]","[0.5426695842450766, 0.5361050328227571, 0.5480349344978166, 0.5524017467248908, 0.5478260869565217, 0.5424836601307189, 0.5393013100436681, 0.5414847161572053, 0.5436681222707423, 0.5436681222707423]","[0.5426695842450766, 0.5361050328227571, 0.5480349344978166, 0.5524017467248908, 0.5478260869565217, 0.5424836601307189, 0.5393013100436681, 0.5414847161572053, 0.5436681222707423, 0.5436681222707423]","[0.2733386840985572, 0.26973277726289774, 0.27429157523137104, 0.2782400986284481, 0.2743205390264214, 0.27311939268461005, 0.27162313145322853, 0.27280183727034124, 0.2736253055411205, 0.27425383946682125]","[0.4626865671641791, 0.457089552238806, 0.46828358208955223, 0.47201492537313433, 0.4666666666666667, 0.4645522388059702, 0.46082089552238803, 0.4626865671641791, 0.4645522388059702, 0.4645522388059702]","[0.3428762414056532, 0.33862397508130637, 0.3458928286761859, 0.3492761353245961, 0.3454314701752015, 0.3432224636469998, 0.3409783602560195, 0.34227261636064177, 0.3436531210724759, 0.3438513116642384]","[0.32058979141537564, 0.31636054401075103, 0.3210049876070194, 0.32562596695381707, 0.3220284588571034, 0.3189368071436841, 0.31788209270508844, 0.31926153881419844, 0.32022524840620226, 0.3209608252275462]","[0.5426695842450766, 0.5361050328227571, 0.5480349344978166, 0.5524017467248908, 0.5478260869565217, 0.5424836601307189, 0.5393013100436681, 0.5414847161572053, 0.5436681222707423, 0.5436681222707423]","[0.4021480643182278, 0.3971607235089283, 0.40480034098348394, 0.4087598439606627, 0.4055065084665409, 0.4008000882675205, 0.39904891069263426, 0.40056358595917896, 0.4021791984603648, 0.4024111420350039]","[array([[  0,  88,   0,  12],
       [  0, 127,   0,   7],
       [  0,  23,   0,  66],
       [  0,  13,   0, 121]]), array([[  0,  87,   0,  13],
       [  0, 125,   0,   9],
       [  0,  23,   0,  66],
       [  0,  14,   0, 120]]), array([[  0,  84,   0,  17],
       [  0, 124,   0,  10],
       [  0,  20,   0,  69],
       [  0,   7,   0, 127]]), array([[  0,  88,   0,  13],
       [  0, 130,   0,   4],
       [  0,  23,   0,  66],
       [  0,  11,   0, 123]]), array([[  0,  83,   0,  18],
       [  0, 125,   0,  10],
       [  0,  22,   0,  67],
       [  0,   8,   0, 127]]), array([[  0,  89,   0,  12],
       [  0, 128,   0,   6],
       [  0,  22,   0,  68],
       [  0,  13,   0, 121]]), array([[  0,  88,   0,  13],
       [  0, 127,   0,   7],
       [  0,  23,   0,  66],
       [  0,  14,   0, 120]]), array([[  0,  88,   0,  13],
       [  0, 129,   0,   5],
       [  0,  22,   0,  67],
       [  0,  15,   0, 119]]), array([[  0,  89,   0,  12],
       [  0, 128,   0,   6],
       [  0,  21,   0,  68],
       [  0,  13,   0, 121]]), array([[  0,  90,   0,  11],
       [  0, 129,   0,   5],
       [  0,  22,   0,  67],
       [  0,  14,   0, 120]])]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.43478260869565216, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.43478260869565216, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.43478260869565216, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.43478260869565216, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.22632575757575757, 0.25, 0.21496212121212122, 0.2159090909090909, 0.2564229249011858, 0.25892857142857145, 0.24107142857142858, 0.25148809523809523, 0.24851190476190477, 0.24000000000000002]","[0.4388888888888889, 0.48333333333333334, 0.39166666666666666, 0.4, 0.48214285714285715, 0.4666666666666667, 0.45555555555555555, 0.4722222222222222, 0.4666666666666667, 0.45555555555555555]","[0.29569892473118276, 0.3248355263157895, 0.27604166666666663, 0.27884615384615385, 0.33207070707070707, 0.3276143790849673, 0.3128205128205128, 0.32564102564102565, 0.31691919191919193, 0.3129310344827586]","[0.24777667984189725, 0.27504725897920607, 0.245800395256917, 0.24209486166007907, 0.28045674132630655, 0.29894179894179895, 0.2706349206349206, 0.2845238095238095, 0.28134920634920635, 0.26666666666666666]","[0.45652173913043476, 0.5, 0.43478260869565216, 0.43478260869565216, 0.5111111111111111, 0.5111111111111111, 0.4888888888888889, 0.5111111111111111, 0.4888888888888889, 0.4888888888888889]","[0.3183730715287517, 0.3503289473684211, 0.3125, 0.3093645484949833, 0.359371492704826, 0.3714596949891068, 0.34598290598290604, 0.3630769230769231, 0.3498316498316498, 0.34367816091954023]","[array([[ 0, 10,  0,  2],
       [ 0,  8,  0,  1],
       [ 0,  2,  0,  8],
       [ 0,  2,  0, 13]]), array([[ 0, 11,  0,  1],
       [ 0,  9,  0,  0],
       [ 0,  2,  0,  8],
       [ 0,  1,  0, 14]]), array([[ 0, 10,  0,  1],
       [ 0,  7,  0,  3],
       [ 0,  3,  0,  7],
       [ 0,  2,  0, 13]]), array([[ 0,  9,  0,  2],
       [ 0,  8,  0,  2],
       [ 0,  2,  0,  8],
       [ 0,  3,  0, 12]]), array([[ 0, 11,  0,  0],
       [ 0, 10,  0,  0],
       [ 0,  1,  0,  9],
       [ 0,  1,  0, 13]]), array([[ 0,  9,  0,  2],
       [ 0, 10,  0,  0],
       [ 0,  3,  0,  6],
       [ 0,  2,  0, 13]]), array([[ 0, 10,  0,  1],
       [ 0,  8,  0,  1],
       [ 0,  2,  0,  8],
       [ 0,  1,  0, 14]]), array([[ 0, 10,  0,  1],
       [ 0,  8,  0,  1],
       [ 0,  3,  0,  7],
       [ 0,  0,  0, 15]]), array([[ 0,  9,  0,  2],
       [ 0,  9,  0,  0],
       [ 0,  4,  0,  6],
       [ 0,  2,  0, 13]]), array([[ 0,  8,  0,  3],
       [ 0,  8,  0,  1],
       [ 0,  3,  0,  7],
       [ 0,  1,  0, 14]])]"
